Store Number,State,City,Group Number
692,KY,DANVILLE,1
694,KY,HENDERSON,1
699,MS,OXFORD,1
702,KY,WINCHESTER,1
710,TN,HERMITAGE,1
712,AL,SCOTTSBORO,1
715,AL,TUSCALOOSA,1
719,KY,RICHMOND,1
724,TN,JEFFERSON CITY,1
726,AL,ALEXANDER CITY,1
728,SC,HILTON HEAD ISLAND,1
730,AL,SYLACAUGA,1
737,TN,LEWISBURG,1
739,KY,MIDDLESBORO,1
741,TN,LENOIR CITY,1
742,TN,KINGSPORT,1
745,GA,STOCKBRIDGE,1
752,TX,PASADENA,1
754,GA,STATESBORO,1
758,GA,AMERICUS,1
759,FL,WAUCHULA,1
762,AL,BIRMINGHAM,1
765,TX,SAN ANTONIO,1
768,TX,KATY,1
769,FL,VENICE,1
775,IL,GALESBURG,1
782,TX,UVALDE,1
801,MO,MARYVILLE,1
802,WI,MONROE,1
808,TX,LAKE JACKSON,1
813,TX,BROWNWOOD,1
818,FL,PANAMA CITY BEACH,1
822,TX,AMARILLO,1
833,IL,CARMI,1
834,MO,BETHANY,1
839,LA,BATON ROUGE,1
840,GA,WARNER ROBINS,1
847,WI,DODGEVILLE,1
848,MS,SOUTHAVEN,1
851,NM,RUIDOSO DOWNS,1
860,FL,DE LAND,1
861,TX,LUBBOCK,1
872,TX,PEARLAND,1
874,MS,NATCHEZ,1
877,NC,MONROE,1
882,WI,PRAIRIE DU CHIEN,1
902,IN,GREENCASTLE,1
912,LA,NEW ORLEANS (EAST),1
913,IA,DECORAH,1
915,TX,STAFFORD,1
919,FL,FORT WALTON BEACH,1
923,IN,NOBLESVILLE,1
940,TX,WESTWORTH VILLAGE,1
950,TN,BARTLETT,1
952,GA,MOULTRIE,1
966,CO,CORTEZ,1
967,FL,SPRING HILL,1
971,WI,VIROQUA,1
977,FL,FERNANDINA BEACH,1
987,FL,FORT MYERS,1
996,IN,SPENCER,1
1004,FL,BRADENTON,1
1005,IA,WAVERLY,1
1007,WI,RICHLAND CENTER,1
1008,CO,LOVELAND (N),1
1013,IN,CLINTON,1
1022,TX,TYLER,1
1023,VA,GALAX,1
1027,NC,CONCORD,1
1034,NC,SHELBY,1
1037,SC,SUMMERVILLE (E),1
1038,MN,WASECA,1
1045,CO,LAFAYETTE,1
1046,TX,CARRIZO SPRINGS,1
1047,GA,MORROW,1
1048,KY,WILLIAMSBURG,1
1053,KY,LA GRANGE,1
1067,TX,HALLETTSVILLE,1
1069,MS,NEWTON,1
1072,GA,TIFTON,1
1095,CO,GLENWOOD SPRINGS,1
1099,KS,WICHITA (S),1
1100,AL,HAMILTON,1
1102,LA,BAKER,1
1103,TX,HOUSTON (TC JESTER),1
1111,GA,HARTWELL,1
1116,OK,DUNCAN,1
1140,KY,MOUNT STERLING,1
1142,IN,SCOTTSBURG,1
1144,SC,YORK,1
1152,IA,SIOUX CENTER,1
1156,NC,MOORESVILLE,1
1161,MO,SAINT CHARLES,1
1164,SC,COLUMBIA,1
1165,KY,RADCLIFF,1
1172,FL,JACKSONVILLE BEACH,1
1180,IN,GREENSBURG,1
1186,TX,LIBERTY,1
1192,MS,MAGEE,1
1197,NC,ROCKY MOUNT,1
1201,AL,GARDENDALE,1
1206,LA,BATON ROUGE,1
1210,KY,NICHOLASVILLE,1
1222,FL,PENSACOLA,1
1224,FL,PENSACOLA (E),1
1225,FL,ORANGE PARK,1
1229,AL,HOOVER,1
1233,KY,PAINTSVILLE,1
1248,TN,MEMPHIS (SE),1
1249,TX,SAN ANGELO,1
1252,CO,HIGHLANDS RANCH,1
1256,IL,JOLIET,1
1277,WI,BLACK RIVER FALLS,1
1292,VA,CHRISTIANSBURG,1
1294,IN,MARION,1
1295,OK,MADILL,1
1302,VA,NORTON,1
1306,NM,ALAMOGORDO,1
1310,IN,TERRE HAUTE,1
1311,GA,COLUMBUS,1
1318,TN,KNOXVILLE,1
1320,TN,KNOXVILLE (SE),1
1321,NC,SMITHFIELD,1
1344,VA,STAUNTON,1
1353,LA,HARAHAN,1
1354,NC,WASHINGTON,1
1362,FL,DESTIN,1
1366,WI,MERRILL,1
1376,TN,HENDERSONVILLE,1
1378,IN,GOSHEN,1
1379,NC,GREENVILLE,1
1382,SC,GREENWOOD,1
1385,NC,GASTONIA,1
1394,WI,GREENFIELD,1
1403,GA,CORNELIA,1
1405,TX,BAY CITY,1
1411,AZ,SAHUARITA,1
1412,WY,LARAMIE,1
1422,MI,ALMA,1
1423,MI,SAINT JOHNS,1
1432,MI,CADILLAC,1
1434,CO,COLORADO SPRINGS,1
1440,UT,TOOELE,1
1442,AZ,PAGE,1
1444,FL,JACKSONVILLE,1
1452,NC,CHARLOTTE,1
1459,IN,INDIANAPOLIS,1
1461,WY,ROCK SPRINGS,1
1473,MN,MANKATO,1
1476,IN,CLARKSVILLE,1
1481,AL,HOMEWOOD,1
1492,CO,AURORA,1
1493,AL,MONROEVILLE,1
1501,FL,TAMPA,1
1511,FL,MIRAMAR,1
1512,AZ,CHANDLER,1
1515,WI,GERMANTOWN,1
1518,IN,INDIANAPOLIS,1
1521,OH,CINCINNATI (NW),1
1523,VA,GLEN ALLEN,1
1535,SD,SIOUX FALLS,1
1540,MI,SOUTH HAVEN,1
1542,MI,GAYLORD,1
1547,IN,LAFAYETTE,1
1551,WI,FRANKLIN,1
1557,IN,FISHERS (INDY),1
1561,TN,MEMPHIS,1
1564,OH,NEW BOSTON,1
1567,ND,DICKINSON,1
1571,WI,MUKWONAGO,1
1574,CA,BAKERSFIELD (S),1
1579,NC,OXFORD,1
1580,IN,INDIANAPOLIS,1
1581,ND,FARGO,1
1589,FL,DELRAY BEACH,1
1593,MI,COLDWATER,1
1601,IN,CARMEL (WESTFIELD),1
1608,CA,RED BLUFF,1
1611,MI,FORT GRATIOT,1
1613,NC,HIGH POINT,1
1618,IN,MERRILLVILLE,1
1621,IA,CENTERVILLE,1
1623,PA,WILKES-BARRE,1
1627,MN,DILWORTH,1
1629,IN,BRAZIL,1
1631,VA,HAMPTON,1
1635,WI,WAUKESHA,1
1649,ND,JAMESTOWN,1
1655,IN,CRAWFORDSVILLE,1
1656,PA,MEADVILLE,1
1662,NC,STATESVILLE,1
1672,WI,ASHLAND,1
1674,MD,HAGERSTOWN,1
1677,NY,NEW HARTFORD,1
1689,CO,AURORA (S),1
1695,ND,DEVILS LAKE,1
1701,GA,ELBERTON,1
1703,WV,MARTINSBURG,1
1714,WV,FAIRMONT,1
1722,MN,MARSHALL,1
1726,VA,HARRISONBURG,1
1743,KY,HARLAN,1
1749,NH,SOMERSWORTH,1
1754,MI,HOWELL,1
1763,VA,BLUEFIELD,1
1769,PA,DU BOIS,1
1770,PA,CRANBERRY TOWNSHIP,1
1783,IN,PRINCETON,1
1784,OR,SALEM,1
1787,IA,CARROLL,1
1793,OR,WOODBURN,1
1806,NY,GLOVERSVILLE,1
1811,VA,NORFOLK,1
1816,NC,KNIGHTDALE,1
1820,PA,KITTANNING,1
1822,PR,FAJARDO,1
1831,NY,Liverpool,1
1832,CA,PALM SPRINGS,1
1833,VA,FREDERICKSBURG,1
1841,VA,CHESAPEAKE,1
1850,PA,CHAMBERSBURG,1
1858,MN,MONTEVIDEO,1
1862,CA,RIALTO,1
1872,MT,HELENA,1
1874,FL,ENGLEWOOD,1
1888,UT,NORTH LOGAN,1
1889,OR,ISLAND CITY,1
1892,IL,HODGKINS,1
1896,CO,COLORADO SPRINGS,1
1901,MT,BUTTE,1
1910,CA,CRESCENT CITY,1
1912,CA,CORONA,1
1913,OH,BOWLING GREEN,1
1914,CA,HIGHLAND,1
1919,ME,LINCOLN,1
1923,MI,COMSTOCK PARK,1
1925,OR,NEWPORT,1
1928,MI,FLINT,1
1936,MI,SAULT SAINTE MARIE,1
1941,CA,GLENDORA,1
1948,WV,WEIRTON,1
1950,NC,AHOSKIE,1
1955,IL,ROCKFORD,1
1959,NY,WALLKILL (MIDDLETOWN),1
1969,VA,MIDLOTHIAN,1
1974,ME,HOULTON,1
1981,MD,CALIFORNIA,1
1984,MA,NORTH ADAMS,1
1985,MD,LAUREL,1
1987,MI,LAPEER,1
1991,IN,BLOOMINGTON,1
1994,NY,PLATTSBURGH,1
1996,FL,HALLANDALE,1
1997,NY,LATHAM,1
2000,NC,KITTY HAWK,1
2001,CA,FRESNO,1
2008,PA,GROVE CITY,1
2013,ME,WATERVILLE,1
2030,CA,SONORA,1
2032,CA,OXNARD,1
2037,WA,ABERDEEN,1
2039,CA,MERCED,1
2040,NJ,BURLINGTON,1
2052,CA,UKIAH,1
2058,NC,RALEIGH (NE),1
2059,PA,GREENSBURG,1
2067,PR,MAYAGUEZ,1
2072,PR,GUAYAMA,1
2073,OH,BROOKLYN,1
2074,AK,WASILLA,1
2082,CA,CERRITOS,1
2083,WV,MORGANTOWN (S),1
2084,MT,BOZEMAN,1
2092,NY,OGDENSBURG,1
2098,OH,COLUMBUS (NE),1
2100,MI,CHEBOYGAN,1
2101,WA,KENNEWICK,1
2102,MI,LUDINGTON,1
2110,CA,PARAMOUNT,1
2111,AL,HOOVER (E),1
2113,AZ,PHOENIX (CHRISTOWN),1
2121,WA,SHELTON,1
2130,NH,PORTSMOUTH,1
2132,LA,BATON ROUGE,1
2135,NY,COBLESKILL,1
2136,VA,CULPEPER,1
2137,NC,DURHAM,1
2142,NH,SALEM,1
2154,GA,DULUTH (NW),1
2156,NY,MIDDLE ISLAND,1
2157,MA,NORTH DARTMOUTH,1
2158,MA,NORTHBOROUGH,1
2163,CT,SHELTON,1
2181,CA,INDIO,1
2194,VA,ALEXANDRIA,1
2195,NJ,HOWELL,1
2198,MN,BLOOMINGTON,1
2213,MO,SAINT LOUIS (S),1
2218,CA,FOOTHILL RANCH,1
2234,NY,ROME,1
2237,FL,LEHIGH ACRES,1
2241,WA,SUNNYSIDE,1
2249,WA,CHEHALIS,1
2256,NC,HENDERSON,1
2261,RI,NORTH KINGSTOWN,1
2262,NY,ONEONTA,1
2265,SC,SIMPSONVILLE,1
2269,WA,YAKIMA,1
2270,CO,DURANGO,1
2273,MI,BURTON,1
2281,PA,WEST MIFFLIN,1
2288,CA,POMONA,1
2292,CA,COVINA,1
2302,PR,BARCELONETA,1
2306,AL,NORTHPORT,1
2310,TN,KNOXVILLE (E),1
2314,HI,WAIPAHU,1
2321,HI,KAILUA KONA,1
2322,TN,MEMPHIS (E),1
2348,SC,JAMES ISLAND,1
2351,NY,CATSKILL,1
2357,MD,GERMANTOWN,1
2361,OH,NORTH CANTON,1
2370,NY,TROY,1
2388,IN,PORTLAND,1
2391,FL,NEW PORT RICHEY,1
2403,WA,PUYALLUP,1
2406,FL,DELRAY BEACH,1
2417,MI,PETOSKEY,1
2423,PR,CAROLINA,1
2424,NY,TICONDEROGA,1
2426,OH,COLUMBUS,1
2427,TX,DALLAS,1
2438,VA,STAFFORD,1
2446,PA,QUAKERTOWN,1
2447,OH,CINCINNATI,1
2460,DE,SEAFORD,1
2471,OH,COLUMBUS (NW),1
2473,HI,HILO,1
2475,GA,CONYERS,1
2476,WA,COLLEGE PLACE,1
2493,MI,GRAND RAPIDS,1
2497,NJ,PHILLIPSBURG (POHATCONG),1
2499,FL,ORLANDO (APOPKA-VINELAND),1
2503,NJ,HACKETTSTOWN,1
2504,NY,KINGSTON,1
2505,TX,MISSOURI CITY,1
2510,WI,MINOCQUA,1
2515,AZ,PHOENIX,1
2518,NJ,HAMILTON,1
2520,VA,FREDERICKSBURG (E),1
2533,FL,GULF BREEZE,1
2534,AL,DOTHAN,1
2540,PA,CLARION,1
2543,PA,PITTSTON,1
2544,IN,PORTAGE,1
2554,AZ,AVONDALE,1
2557,CA,BAKERSFIELD,1
2558,MI,STERLING HEIGHTS,1
2564,VA,LURAY,1
2566,WV,CHARLES TOWN,1
2567,MI,GRANDVILLE,1
2580,NC,CLINTON,1
2585,CT,STRATFORD,1
2588,PA,NORTH VERSAILLES,1
2596,WA,MOUNT VERNON,1
2597,PA,CRANBERRY,1
2609,CA,LAKEWOOD,1
2620,MI,HASTINGS,1
2626,FL,LIVE OAK,1
2629,MA,NORTHBRIDGE,1
2632,AZ,PHOENIX (SUNNYSLOPE),1
2633,NJ,PISCATAWAY,1
2637,NY,MONROE,1
2639,NH,GILFORD,1
2650,PA,PHILADELPHIA,1
2653,NM,PORTALES,1
2665,LA,SLIDELL,1
2672,CO,LAMAR,1
2682,VT,BERLIN,1
2684,WV,NEW MARTINSVILLE,1
2689,CA,FRESNO,1
2692,MI,CHESTERFIELD,1
2693,MI,FENTON,1
2696,WV,MOOREFIELD,1
2697,CA,ANTIOCH,1
2699,GA,GAINESVILLE,1
2708,CA,TEMECULA,1
2720,MS,MADISON,1
2721,PR,CAYEY,1
2722,AK,FAIRBANKS,1
2727,FL,FLORIDA CITY,1
2730,NC,TARBORO,1
2735,CA,SACRAMENTO (W),1
2749,NC,SPRUCE PINE,1
2751,CO,ENGLEWOOD (N),1
2753,GA,CLAYTON,1
2754,GA,WAYNESBORO,1
2771,IN,MONTICELLO,1
2772,NC,SOUTHPORT,1
2774,OH,COLUMBUS N,1
2778,AZ,COOLIDGE,1
2781,ID,NAMPA,1
2782,ID,MOUNTAIN HOME,1
2786,IN,AVON,1
2788,IN,BROWNSBURG,1
2790,MD,Hagerstown,1
2793,NC,KERNERSVILLE,1
2794,UT,EPHRAIM,1
2801,GA,ALBANY (GILLIONVILLE),1
2807,VA,HARRISONBURG,1
2816,IL,NILES,1
2820,MN,WORTHINGTON,1
2821,VA,RICHMOND,1
2830,PA,EDDYSTONE,1
2831,ID,JEROME,1
2839,MO,SPRINGFIELD,1
2840,GA,BRUNSWICK,1
2846,MS,OLIVE BRANCH,1
2850,MD,HAMPSTEAD,1
2852,WV,MOUNDSVILLE,1
2857,MO,KANSAS CITY,1
2858,GA,STATESBORO,1
2864,TX,SAN ANTONIO,1
2869,MI,LANSING (W),1
2872,MI,BELLEVILLE,1
2874,NY,GLENVILLE,1
2883,TX,PLANO,1
2885,RI,NEWPORT,1
2886,CA,PICO RIVERA,1
2889,IA,CLINTON,1
2906,NY,RIVERHEAD,1
2910,OH,SALEM,1
2931,MD,FRUITLAND,1
2932,TN,KNOXVILLE,1
2935,IA,KNOXVILLE,1
2937,MN,HIBBING,1
2938,LA,LAFAYETTE,1
2948,CA,SANTA FE SPRINGS,1
2950,CA,PALMDALE,1
2953,MA,SWANSEA,1
2954,CT,NORWALK,1
2959,MI,ROSEVILLE,1
2964,MA,LEOMINSTER,1
2973,TX,MURPHY,1
2976,TX,MESQUITE,1
2977,TX,ARLINGTON,1
2981,TX,KELLER,1
2984,OK,LAWTON,1
2985,CA,FRESNO,1
2995,TX,PLANO (E),1
3013,FL,PINELLAS PARK,1
3014,TX,DALLAS (LEDBETTER),1
3017,TN,SPRING HILL,1
3023,CA,SAN JOSE (EVERGREEN),1
3043,TX,FORT WORTH,1
3044,TX,FORT WORTH SE (BERRY-287),1
3047,CA,TURLOCK,1
3053,WA,EVERETT,1
3066,FL,SARASOTA,1
3074,GA,LAWRENCEVILLE (GA29),1
3075,FL,PANAMA CITY,1
3078,NJ,EAST BRUNSWICK,1
3083,CO,COLORADO SPRINGS (PLATTE),1
3087,CA,OXNARD,1
3093,ID,MERIDIAN (S),1
3106,TX,SAN ANTONIO (CITY SOUTH),1
3107,TX,SAN ANTONIO,1
3119,FL,PANAMA CITY BEACH(W),1
3132,CA,POMONA,1
3133,CA,LA PUENTE,1
3137,TN,FAIRVIEW,1
3138,CA,BAKERSFIELD,1
3140,CA,BAKERSFIELD (DAY),1
3141,CA,BAKERSFIELD,1
3147,CA,SIMI VALLEY (TAPO),1
3156,VA,HAMPTON,1
3159,NJ,TETERBORO,1
3161,FL,PASADENA,1
3178,OR,GRESHAM (E),1
3179,CA,THOUSAND OAKS,1
3182,NC,CHAPEL HILL (CHATHAM COUNTY),1
3184,AL,HOOVER (LORNA),1
3198,TX,CARROLLTON,1
3201,GA,MCDONOUGH,1
3202,OK,OKLAHOMA CITY,1
3205,GA,LITHIA SPRINGS,1
3215,WV,GRANVILLE,1
3217,WA,OTHELLO,1
3219,VA,WILLIAMSBURG (N),1
3228,PA,DELMONT,1
3232,UT,WEST JORDAN,1
3233,MN,BEMIDJI,1
3235,FL,NORTH MIAMI BEACH,1
3236,NJ,FREEHOLD,1
3239,OR,SPRINGFIELD,1
3255,IL,SAVOY,1
3265,VA,YORKTOWN,1
3268,WI,ANTIGO,1
3270,VA,WYTHEVILLE,1
3271,AL,CALERA,1
3273,KS,OVERLAND PARK (S),1
3281,PA,HARBORCREEK,1
3285,TX,CEDAR HILL,1
3298,TX,KEMAH,1
3299,VA,CHESAPEAKE,1
3311,FL,MIAMI GARDENS (PRO PLAYER),1
3319,TX,HARKER HEIGHTS,1
3322,WI,PEWAUKEE,1
3324,WI,SHEBOYGAN (N),1
3328,MI,GREENVILLE,1
3330,VA,CHESAPEAKE,1
3334,NY,MALONE,1
3336,MI,WOODHAVEN,1
3348,FL,LAKE PARK (P.B. GARD),1
3359,SC,FORT MILL,1
3364,MN,WEST ST. PAUL,1
3366,UT,CENTERVILLE,1
3371,NC,CHARLOTTE (W),1
3382,CO,PUEBLO WEST,1
3397,FL,MIAMI GARDENS,1
3402,GA,STOCKBRIDGE (S),1
3414,FL,PALM HARBOR,1
3415,FL,TARPON SPRINGS,1
3424,AL,BIRMINGHAM,1
3432,TX,DESOTO,1
3439,FL,NAVARRE,1
3443,NJ,RIVERDALE,1
3445,OH,HOLLAND,1
3452,TX,HOUSTON (RIPPLE),1
3454,UT,PERRY (BRIGHAM CITY),1
3457,OK,TULSA (N),1
3472,ID,POST FALLS,1
3473,NV,LAS VEGAS (W CENTRAL),1
3477,CA,LONG BEACH (N),1
3478,HI,HONOLULU,1
3500,TX,HOUSTON,1
3509,TX,HOUSTON (BEECHNUT),1
3520,NJ,SECAUCUS,1
3523,CA,SANTA CLARITA (E),1
3529,IN,LAWRENCE,1
3530,TX,ROCKWALL (S),1
3533,CO,DENVER (N),1
3548,CT,WATERBURY,1
3560,MA,FALL RIVER (S),1
3561,MA,EAST FALMOUTH,1
3566,CO,DENVER,1
3581,OH,ZANESVILLE (S),1
3584,TX,HOUSTON,1
3585,TX,SPRING,1
3589,UT,SALT LAKE CITY,1
3593,MS,HORN LAKE,1
3599,TN,BARTLETT,1
3605,VA,TIMBERLAKE,1
3606,FL,DEBARY,1
3609,GA,ELLENWOOD,1
3616,LA,AMITE,1
3617,FL,ORLANDO (CURRY.FRD. E),1
3633,PA,WAYNESBORO,1
3637,OK,YUKON,1
3640,TX,HOUSTON,1
3644,VA,CHESAPEAKE (S),1
3650,CA,VENTURA (W),1
3653,TX,BURLESON,1
3661,TX,EL PASO (VISTA SOL),1
3700,NC,INDIAN TRAIL,1
3701,NC,MOUNT OLIVE,1
3703,LA,KENNER (WILL & ESPL),1
3705,WA,YELM,1
3717,TN,NASHVILLE (HARDING),1
3726,MI,GRAND BLANC,1
3747,IN,MUNCIE,1
3748,GA,ACWORTH (N),1
3749,OH,CINCINNATI(EVENDALE),1
3754,WA,CHELAN,1
3764,TX,LINDALE,1
3770,VA,STUART,1
3786,GA,BUFORD (E),1
3789,UT,OGDEN,1
3794,WA,FEDERAL WAY (S),1
3795,NJ,NORTH BERGEN,1
3799,AZ,MESA (COUNTRY CLUB),1
3803,CT,WEST HAVEN,1
3812,OH,COLUMBUS (U. ARLING),1
3817,FL,ORLANDO (AVALON PKWY),1
3827,TX,RICHMOND,1
3838,PA,TARENTUM,1
3851,IN,LAFAYETTE (S),1
3853,SD,HURON,1
3860,OH,YOUNGSTOWN,1
3861,AZ,GILBERT,1
3867,CO,WESTMINSTER,1
3869,VA,RICHMOND,1
4046,TX,GARLAND (MILLER),1
4053,IN,INDIANAPOLIS (N. MICHIGAN RD.),1
4063,FL,FT. MYERS BEACH,1
4064,VA,VIRGINIA BEACH,1
4102,TX,CASTROVILLE,1
4104,TX,DENTON,1
4105,TX,EL PASO,1
4129,LA,PONCHATOULA,1
4131,TX,SAN ANTONIO,1
4134,CA,STANTON,1
4137,WA,TACOMA,1
4142,FL,ORLANDO (PERSHING),1
4148,NC,CHARLOTTE,1
4153,NJ,OLD BRIDGE,1
4159,FL,KISSIMMEE,1
4165,TX,FT. WORTH,1
4166,TN,SWEETWATER,1
4184,NY,LEVITTOWN (LI),1
4187,AL,FLORENCE,1
4193,TX,TYLER,1
4194,TX,VICTORIA (EAST),1
4195,OK,CHOCTAW,1
4197,FL,ORLANDO (ADANSON),1
4200,GA,COLUMBUS (GATEWAY),1
4208,UT,SALT LAKE CITY,1
4216,IN,COLUMBUS (N),1
4218,AZ,SURPRISE (GREENWAY),1
4232,AZ,PHOENIX (P.V.),1
4237,SC,INDIAN LAND,1
4243,MI,CLIO,1
4250,NC,MORRISVILLE,1
4262,FL,THE VILLAGES  (N),1
4274,NC,DENVER,1
4275,AZ,PEORIA,1
4279,TX,MIDLOTHIAN,1
4281,WI,LADYSMITH,1
4284,CO,LAKEWOOD (2ND ST),1
4298,TX,HUMBLE,1
4309,CA,ORANGEVALE,1
4332,FL,ORLANDO (TURKEY LAKE),1
4333,AL,FAIRHOPE,1
4334,NC,WEAVERVILLE,1
4340,CA,HESPERIA,1
4357,FL,PENSACOLA (PINEFOREST),1
4359,AK,ANCHORAGE,1
4365,FL,ORLANDO,1
4372,WV,KINGWOOD,1
4380,FL,CORAL SPRINGS,1
4383,MI,DEARBORN,1
4387,MA,WORCESTER,1
4389,NH,WOODSVILLE,1
4392,CA,VICTORVILLE (W),1
4395,ID,POST FALLS (W),1
4412,MT,LAUREL,1
4423,WV,MARTINSBURG (N),1
4424,MI,WARREN,1
4428,NC,ASHEVILLE,1
4431,NC,MOORESVILLE,1
4435,TN,NASHVILLE,1
4450,KY,MIDDLETOWN,1
4468,TX,KATY,1
4474,AK,KENAI,1
4476,VA,CHESTERFIELD,1
4477,NC,HIGH POINT,1
4482,TN,MT JULIET,1
4483,TN,WHITE HOUSE,1
4494,ID,CALDWELL,1
4498,FL,CORAL SPRINGS (WILES),1
4501,PA,WEST BROWNSVILLE,1
4503,TX,GRAND PRAIRIE,1
4504,AL,BIRMINGHAM (GREEN S),1
4511,IL,SILVIS,1
4514,VA,WINCHESTER (S),1
4520,FL,TALLAHASSEE (FALLS),1
4533,TN,OAKLAND,1
4545,NC,WILSON,1
4561,FL,Jacksonville,1
4570,NY,NAPANOCH,1
4574,NC,CONCORD,1
4589,TN,CLARKSVILLE,1
4590,MO,Lee's Summit,1
4611,KS,SHAWNEE,1
4617,FL,POMPANO BEACH,1
4638,VA,RUCKERSVILLE,1
4643,PA,ECONOMY,1
4644,PA,MOON TOWNSHIP,1
4657,AL,MOBILE,1
4659,LA,BATON ROUGE (LEE),1
4667,FL,CLEARWATER (HIGHLAND),1
4679,LA,DENHAM SPRINGS (WATSON),1
4683,LA,BATON ROUGE (BURBANK,1
4686,AR,BENTONVILLE,1
4689,UT,CEDAR HILL,1
4690,FL,ST PETERSBURG,1
4696,UT,HEBER CITY,1
4700,UT,PLEASANT GROVE,1
4706,UT,MAGNA,1
4762,CA,DIAMOND BAR,1
4848,NC,CHARLOTTE,1
4865,SD,SIOUX FALLS (NW),1
5005,FL,JACKSONVILLE (WILSON),1
5021,TX,DALLAS (GUS),1
5025,IN,FORT WAYNE (E),1
5029,OH,OREGON,1
5034,FL,FORT MYERS,1
5040,PA,CARNEGIE,1
5045,TX,TOMBALL (HOUSTON),1
5046,NC,CLAYTON,1
5056,LA,PRAIRIEVILLE,1
5058,TN,NASHVILLE,1
5063,NC,CHARLOTTE,1
5065,MI,KALAMAZOO (NW),1
5091,TX,CYPRESS,1
5100,AL,CENTER POINT (20TH),1
5110,UT,DRAPER,1
5111,NJ,WATCHUNG,1
5115,IA,DAVENPORT (W),1
5118,NC,RALEIGH,1
5119,TN,NASHVILLE,1
5122,TN,MEMPHIS,1
5125,LA,OPELOUSAS,1
5127,WI,LA CROSSE (S),1
5129,MD,LANDOVER HILLS,1
5130,PA,PHILADELPHIA,1
5131,PA,BENSALEM,1
5132,FL,WINTER SPRINGS,1
5133,CA,ANDERSON,1
5157,IL,MORTON,1
5167,UT,PAYSON,1
5168,UT,RICHFIELD,1
5175,TN,ALGOOD (C'VILLE),1
5179,FL,ORLANDO,1
5185,OH,COLUMBUS (WSW),1
5189,AZ,PHOENIX,1
5196,TN,MEMPHIS (ELVIS),1
5201,NJ,EDISON,1
