Store,DC,Item #,Item Desc.,Whpk Return Qty
5236,6066,555365897,FBZ FR HVY DTY 27OZ,27
137,6094,555365897,FBZ FR HVY DTY 27OZ,21
1338,6054,555365897,FBZ FR HVY DTY 27OZ,24
1339,6070,555365897,FBZ FR HVY DTY 27OZ,23
4593,6070,555365897,FBZ FR HVY DTY 27OZ,22
6964,6018,551860453,PENN HM EB 5W20 SN,41
794,6035,551860453,PENN HM EB 5W20 SN,32
186,6035,551860453,PENN HM EB 5W20 SN,41
5045,7036,551860453,PENN HM EB 5W20 SN,39
5054,7035,551860453,PENN HM EB 5W20 SN,40
5330,6031,551860453,PENN HM EB 5W20 SN,44
4325,6031,551860453,PENN HM EB 5W20 SN,41
3260,6037,551860453,PENN HM EB 5W20 SN,42
880,6068,551860453,PENN HM EB 5W20 SN,38
321,7036,551860453,PENN HM EB 5W20 SN,41
5388,7036,551860453,PENN HM EB 5W20 SN,38
1231,6019,551860453,PENN HM EB 5W20 SN,40
4223,6039,583476965,CP 1300MA AC ADPT,30
3634,6080,577604154,MS 20OZ CINNAMON,208
3144,6037,574789979,NB TEETHER SET,16
3472,6037,574789979,NB TEETHER SET,16
855,6054,554896387,CR SC MW OL LLP 1L,17
1112,6054,554896387,CR SC MW OL LLP 1L,17
1259,6039,565836962,KG 35CT ROLLING STRG,5
4435,6066,672846210,GLD CND MW/WS 2CT,19
310,6048,672846210,GLD CND MW/WS 2CT,25
6807,6018,672846210,GLD CND MW/WS 2CT,32
1114,6018,672846210,GLD CND MW/WS 2CT,33
5632,6021,672846210,GLD CND MW/WS 2CT,23
522,7036,672846210,GLD CND MW/WS 2CT,23
752,7036,672846210,GLD CND MW/WS 2CT,25
1342,6048,672846210,GLD CND MW/WS 2CT,24
4298,7036,672846210,GLD CND MW/WS 2CT,22
375,6006,672846210,GLD CND MW/WS 2CT,24
424,6006,672846210,GLD CND MW/WS 2CT,25
2566,7045,672846210,GLD CND MW/WS 2CT,23
4483,6066,672846210,GLD CND MW/WS 2CT,23
3044,6068,672846210,GLD CND MW/WS 2CT,21
3202,6068,672846210,GLD CND MW/WS 2CT,22
3055,6094,672846210,GLD CND MW/WS 2CT,23
5276,6092,672846210,GLD CND MW/WS 2CT,22
1088,6011,672846210,GLD CND MW/WS 2CT,24
1507,6035,672846210,GLD CND MW/WS 2CT,22
5740,6011,672846210,GLD CND MW/WS 2CT,22
990,6011,672846210,GLD CND MW/WS 2CT,23
998,6035,672846210,GLD CND MW/WS 2CT,23
3224,6036,672846210,GLD CND MW/WS 2CT,23
1118,6036,672846210,GLD CND MW/WS 2CT,24
5414,7034,672846210,GLD CND MW/WS 2CT,24
5229,7034,672846210,GLD CND MW/WS 2CT,16
3310,7035,672846210,GLD CND MW/WS 2CT,23
613,7035,672846210,GLD CND MW/WS 2CT,21
295,6069,672846210,GLD CND MW/WS 2CT,23
3794,6037,672846210,GLD CND MW/WS 2CT,23
2001,6021,672846210,GLD CND MW/WS 2CT,23
321,7036,672846210,GLD CND MW/WS 2CT,24
3035,6023,672846210,GLD CND MW/WS 2CT,23
1923,6043,672846210,GLD CND MW/WS 2CT,22
3004,6092,672846210,GLD CND MW/WS 2CT,22
972,6068,672846210,GLD CND MW/WS 2CT,23
3700,6070,672846210,GLD CND MW/WS 2CT,22
1200,6019,552559710,GLD SPRAY CASH 2CT,34
867,6019,552559710,GLD SPRAY CASH 2CT,35
1058,6019,552559710,GLD SPRAY CASH 2CT,33
