Store no.,Returns volume number,Returns volume,Avg units Per day ,DotCom Units Per Day ,Marketplace Total  ,Marketplace Per Day,NPS ,Wait Time 
459,31584,High,416,30,910,12,48,7.69
548,29881,High,393,29,849,11,49,8.18
1340,24692,Medium,325,17,484,6,35,9.47
1720,44560,High,586,46,1138,15,56,8.13
2475,32833,High,432,29,398,5,64,10.54
3388,31054,High,409,25,612,8,60,9.19
3389,27029,High,356,20,603,8,69,7.82
3786,44966,High,592,56,1455,19,53,7.01
4472,20980,Medium,276,15,513,7,61,10.95
4558,26033,High,343,22,142,2,33,11.23
5252,38836,High,511,37,876,12,45,6.13
575,41352,High,544,48,1096,14,67,6.99
618,33002,High,434,34,818,11,46,7.28
937,33494,High,441,34,893,12,42,7.22
1181,27939,High,368,37,787,10,31,9.91
1586,34628,High,456,34,937,12,38,7.69
3403,41286,High,543,55,1157,15,66,6.58
3471,20915,Medium,275,25,34,0,84,6.04
3611,27032,High,356,21,588,8,64,6.00
3748,34942,High,460,51,1279,17,69,6.69
5275,37711,High,496,44,884,12,59,6.55
5390,28579,High,376,28,614,8,42,7.91
754,27042,High,356,30,917,12,56,9.56
1024,13312,Low,175,9,260,3,59,7.88
1143,10792,Low,142,8,237,3,64,9.92
1227,31280,High,412,32,784,10,66,5.48
1293,17805,Medium,234,14,473,6,54,8.44
1658,12121,Low,159,7,34,0,43,5.75
2754,8701,Low,114,6,205,3,56,8.27
3570,35991,High,474,50,970,13,72,6.04
4144,18193,Medium,239,16,363,5,63,6.04
5735,23152,Medium,305,28,665,9,64,7.34
555,21538,Medium,283,17,463,6,45,9.64
758,12427,Low,164,11,233,3,63,8.57
907,17822,Medium,235,15,388,5,46,6.43
1076,15185,Low,200,14,0,0,60,4.00
1153,16173,Low,213,11,80,1,48,16.48
1367,36537,High,481,39,1076,14,63,5.59
2733,18390,Medium,242,18,447,6,58,5.30
2890,23105,Medium,304,26,1067,14,51,9.33
3750,24088,Medium,317,25,629,8,78,4.93
7246,6675,Low,88,6,157,2,29,8.44
588,26159,High,344,25,741,10,59,7.80
843,5693,Low,75,3,144,2,50,7.81
889,17436,Low,229,15,375,5,63,7.12
899,21617,Medium,284,20,482,6,35,9.46
952,16360,Low,215,13,351,5,79,5.85
1006,12347,Low,162,9,266,4,50,11.31
1072,23476,Medium,309,19,479,6,81,6.14
2615,25359,Medium,334,31,547,7,51,6.12
5797,9176,Low,121,5,192,3,100,7.30
7194,10413,Low,137,7,188,2,76,6.83
7245,6081,Low,80,5,158,2,85,4.08
556,20397,Medium,268,21,636,8,50,8.41
593,16009,Low,211,14,373,5,46,7.50
639,27998,High,368,30,711,9,53,7.23
686,11259,Low,148,9,216,3,60,4.67
836,24391,Medium,321,25,607,8,76,7.07
862,27340,High,360,21,676,9,76,6.49
864,19382,Medium,255,15,391,5,61,8.20
1018,12029,Low,158,11,199,3,70,6.05
1061,8685,Low,114,6,115,2,100,4.60
2630,15639,Low,206,15,323,4,61,10.12
5392,8818,Low,116,8,221,3,64,13.42
110,39920,High,525,62,1092,14,47,5.48
705,36895,High,485,36,1194,16,60,6.61
800,28948,High,381,23,792,10,53,6.93
942,44133,High,581,51,1103,15,60,5.81
959,16007,Low,211,14,337,4,46,7.14
2695,51587,High,679,55,1428,19,73,6.53
2843,37277,High,490,29,846,11,66,5.79
4262,40787,High,537,29,1004,13,58,8.72
5299,45795,High,603,48,919,12,71,7.40
538,24954,Medium,328,22,621,8,49,8.71
551,24113,Medium,317,20,574,8,72,6.00
697,42197,High,555,37,1071,14,55,6.33
960,23722,Medium,312,20,587,8,61,6.40
1081,38197,High,503,42,1015,13,60,6.99
1283,17704,Medium,233,12,373,5,64,5.97
1297,20904,Medium,275,18,506,7,57,5.80
1847,31998,High,421,25,759,10,54,7.41
3877,14003,Low,184,9,247,3,33,10.65
4368,25118,Medium,330,23,628,8,42,8.67
5326,37110,High,488,31,1009,13,60,7.73
563,39100,High,514,37,1080,14,64,5.86
579,34428,High,453,33,1057,14,61,8.20
582,35343,High,465,38,877,12,53,7.76
613,38621,High,508,40,1005,13,75,6.82
857,27153,High,357,24,21,0,58,8.04
860,28669,High,377,26,704,9,64,5.39
1079,27393,High,360,23,738,10,68,6.12
1182,40440,High,532,40,1192,16,54,7.99
1391,22301,Medium,293,17,500,7,63,7.23
3207,41291,High,543,47,1476,19,61,7.38
3310,25450,Medium,335,24,604,8,83,5.01
928,58734,High,773,85,1961,26,58,6.36
977,13293,Low,175,9,275,4,84,6.48
1082,35741,High,470,43,962,13,58,7.18
1172,36542,High,481,44,918,12,49,7.73
1173,26378,High,347,23,528,7,62,9.94
1444,25370,Medium,334,24,550,7,58,7.23
3309,18416,Medium,242,18,349,5,69,5.35
3702,29034,High,382,27,753,10,60,7.62
4444,32597,High,429,38,828,11,71,5.04
5037,23297,Medium,307,26,620,8,60,5.79
5054,33516,High,441,35,860,11,55,7.63
767,26090,High,343,23,697,9,53,7.25
1083,26340,High,347,24,621,8,53,8.41
1090,17823,Medium,235,14,380,5,65,5.98
1205,17022,Low,224,16,408,5,81,8.81
1219,18912,Medium,249,14,485,6,52,10.29
1225,26995,High,355,23,607,8,66,7.32
2626,16799,Low,221,12,436,6,79,5.45
2920,34026,High,448,48,868,11,73,4.35
3308,34593,High,455,40,852,11,85,4.87
6978,29139,High,383,30,710,9,59,7.69
967,33973,High,447,32,914,12,59,8.94
988,49689,High,654,62,1495,20,65,5.84
994,53169,High,700,59,1494,20,56,7.40
1029,19459,Medium,256,17,516,7,90,5.83
1085,34579,High,455,26,812,11,62,7.32
1104,33658,High,443,28,816,11,64,5.93
1213,41244,High,543,41,1236,16,56,5.84
3415,18119,Medium,238,17,531,7,66,6.67
3526,23572,Medium,310,20,652,9,74,5.74
5266,33375,High,439,30,783,10,58,7.50
5772,26311,High,346,24,815,11,74,5.64
1390,34629,High,456,31,933,12,51,9.31
1513,24966,Medium,329,25,728,10,73,7.10
1536,38365,High,505,41,1182,16,48,9.34
1712,32414,High,427,26,861,11,52,6.77
2081,31910,High,420,37,739,10,50,9.37
2796,42323,High,557,46,1209,16,68,6.00
3372,21205,Medium,279,17,593,8,59,9.21
4690,16678,Low,219,14,438,6,22,11.25
5218,27716,High,365,19,524,7,40,9.89
1482,17853,Medium,235,12,340,4,52,10.11
1501,29159,High,384,35,777,10,33,6.63
1960,30408,High,400,35,825,11,45,10.63
2627,22935,Medium,302,20,561,7,47,5.72
2740,45439,High,598,59,1331,18,62,7.80
3197,21229,Medium,279,16,391,5,36,9.78
3418,48454,High,638,62,1306,17,63,8.07
4681,24153,Medium,318,27,591,8,73,5.93
5036,33886,High,446,34,805,11,70,6.63
5220,17666,Medium,232,13,370,5,47,7.81
5964,17688,Medium,233,12,324,4,63,9.61
547,27642,High,364,24,547,7,44,11.06
706,39717,High,523,32,927,12,53,7.27
713,8852,Low,116,7,210,3,58,3.94
718,29742,High,391,28,776,10,59,10.25
725,39967,High,526,39,1063,14,67,9.48
779,34094,High,449,32,833,11,54,6.51
925,17524,Medium,231,13,368,5,27,9.09
1245,39331,High,518,36,1005,13,43,10.19
2387,40615,High,534,45,942,12,53,10.14
3463,29959,High,394,28,711,9,63,8.10
605,23421,Medium,308,23,576,8,64,9.74
606,14286,Low,188,12,317,4,42,7.17
635,22309,Medium,294,23,544,7,42,9.44
728,14836,Low,195,11,287,4,39,11.88
1011,22501,Medium,296,22,626,8,70,6.36
1383,20391,Medium,268,14,334,4,50,5.80
2832,15926,Low,210,13,323,4,55,7.09
2860,26701,High,351,24,458,6,49,10.93
4556,11687,Low,154,11,305,4,73,8.56
6395,18951,Medium,249,16,460,6,54,7.39
7181,13953,Low,184,10,282,4,72,9.91
631,23460,Medium,309,23,625,8,64,6.91
640,30612,High,403,37,841,11,54,6.06
641,16864,Low,222,10,284,4,53,4.94
1123,24716,Medium,325,27,639,8,61,6.17
1244,24678,Medium,325,24,609,8,57,7.72
2265,31478,High,414,38,1047,14,46,7.57
2687,21802,Medium,287,24,553,7,43,7.29
3191,10844,Low,143,11,298,4,68,8.27
3192,16870,Low,222,20,503,7,60,8.32
3222,16799,Low,221,18,415,5,60,6.84
4583,23891,Medium,314,36,676,9,56,7.04
5487,22728,Medium,299,26,552,7,68,5.93
628,32869,High,432,33,918,12,45,8.49
632,23987,Medium,316,28,543,7,36,8.50
1037,29293,High,385,31,285,4,50,9.76
1146,22032,Medium,290,22,517,7,48,6.23
1358,17778,Medium,234,13,371,5,81,5.54
1359,21276,Medium,280,16,480,6,48,7.58
1748,24927,Medium,328,28,620,8,39,12.11
2348,16486,Low,217,16,324,4,16,16.45
2928,28752,High,378,35,868,11,39,9.14
3367,16316,Low,215,15,165,2,7,16.66
4384,21480,Medium,283,24,457,6,38,15.89
574,32378,High,426,30,861,11,62,6.05
586,26507,High,349,22,634,8,70,5.84
621,14774,Low,194,9,276,4,77,4.65
625,21061,Medium,277,19,458,6,75,7.94
643,20703,Medium,272,16,438,6,56,7.33
1829,14085,Low,185,9,264,3,46,5.52
2712,34106,High,449,33,796,10,52,7.02
4664,24721,Medium,325,23,640,8,62,7.11
5087,37823,High,498,34,1100,14,52,6.82
5705,26494,High,349,25,747,10,76,4.35
511,28821,High,379,30,912,12,51,7.09
616,21588,Medium,284,14,400,5,52,6.71
627,11283,Low,148,6,196,3,64,10.18
630,28603,High,376,27,709,9,60,6.25
634,22093,Medium,291,22,519,7,77,6.98
642,12266,Low,161,7,212,3,61,8.22
1017,14354,Low,189,13,334,4,69,7.40
1030,26781,High,352,25,595,8,48,5.96
1135,15742,Low,207,12,340,4,50,9.63
2703,19704,Medium,259,12,456,6,49,8.80
4457,7713,Low,101,4,131,2,78,5.45
7188,9975,Low,131,8,119,2,61,13.00
396,28373,High,373,27,860,11,80,5.69
514,22548,Medium,297,21,615,8,42,6.81
624,14389,Low,189,12,283,4,58,8.23
644,17731,Medium,233,15,358,5,50,6.65
795,8758,Low,115,5,74,1,64,8.29
1130,15370,Low,202,14,392,5,55,9.44
1270,22763,Medium,300,19,504,7,62,7.48
1382,23542,Medium,310,19,657,9,53,6.27
4487,20185,Medium,266,21,395,5,39,7.55
6576,19934,Medium,262,21,304,4,67,5.32
6887,12481,Low,164,14,250,3,28,8.31
881,36401,High,479,43,969,13,48,12.43
1164,24655,Medium,324,21,520,7,35,6.79
1183,23709,Medium,312,17,528,7,29,10.10
1286,18603,Medium,245,15,447,6,32,10.34
1339,34235,High,450,37,871,11,60,5.96
2214,22613,Medium,298,21,490,6,37,9.66
4420,13480,Low,177,11,296,4,52,6.69
4440,32357,High,426,34,784,10,59,6.91
4506,24109,Medium,317,27,632,8,45,7.11
4521,26596,High,350,21,599,8,60,6.42
585,26844,High,353,34,706,9,57,6.14
629,11904,Low,157,11,286,4,32,8.50
638,20423,Medium,269,16,439,6,49,6.75
1035,29665,High,390,31,730,10,58,13.62
1144,14953,Low,197,11,98,1,57,3.86
1281,25014,Medium,329,22,561,7,60,6.76
1603,10383,Low,137,6,154,2,33,5.26
2806,32355,High,426,30,821,11,53,7.30
3733,34219,High,450,52,1115,15,48,7.44
4237,43935,High,578,66,1869,25,61,7.43
4593,22898,Medium,301,22,687,9,58,7.19
1036,26108,High,344,23,565,7,39,4.90
1179,17502,Low,230,18,440,6,35,8.14
1217,18307,Medium,241,18,467,6,63,7.31
1242,29294,High,385,27,653,9,65,5.94
1317,27266,High,359,24,631,8,47,7.65
1663,28657,High,377,28,636,8,70,5.72
1795,12705,Low,167,8,284,4,39,7.08
2440,15779,Low,208,11,321,4,67,6.88
4334,20288,Medium,267,18,479,6,50,6.49
4428,11524,Low,152,11,267,4,70,8.45
1166,6946,Low,91,4,133,2,85,8.71
1268,16254,Low,214,13,318,4,35,9.03
1348,34835,High,458,42,934,12,55,5.57
1352,13311,Low,175,7,214,3,74,9.29
1392,28586,High,376,31,592,8,49,6.61
1767,25650,Medium,337,22,728,10,74,5.21
2580,14359,Low,189,14,269,4,74,7.56
2772,21767,Medium,286,20,619,8,72,5.68
4065,27523,High,362,43,864,11,64,6.22
4273,32775,High,431,30,832,11,54,6.56
7243,7609,Low,100,4,166,2,85,8.10
1155,23407,Medium,308,18,518,7,72,6.31
1238,27388,High,360,26,633,8,42,11.29
1261,22134,Medium,291,24,504,7,40,11.65
1312,14669,Low,193,12,229,3,70,5.72
1774,26401,High,347,25,570,8,59,9.12
2929,24380,Medium,321,27,587,8,80,8.82
3595,23841,Medium,314,22,521,7,63,9.35
5489,11215,Low,148,9,184,2,100,6.61
5787,12614,Low,166,12,219,3,33,4.19
6879,20649,Medium,272,20,378,5,64,5.13
6958,19253,Medium,253,21,413,5,38,14.20
1455,27839,High,366,21,505,7,44,11.21
1801,37866,High,498,34,1067,14,69,6.35
2978,26003,High,342,21,493,6,57,8.29
3284,23779,Medium,313,22,476,6,63,8.74
3285,27867,High,367,27,751,10,32,7.84
3631,23056,Medium,303,24,445,6,91,5.46
4279,23822,Medium,313,26,486,6,39,8.65
4503,28237,High,372,24,516,7,62,6.18
5147,27144,High,357,15,141,2,65,8.32
251,18583,Medium,245,15,420,6,69,5.72
265,18952,Medium,249,15,282,4,53,7.08
412,23174,Medium,305,18,397,5,70,6.71
516,19611,Medium,258,16,471,6,49,8.50
827,19548,Medium,257,18,392,5,77,5.87
1022,22508,Medium,296,14,369,5,68,8.80
1044,24868,Medium,327,28,495,7,67,7.05
2688,35870,High,472,38,782,10,68,8.30
3764,21068,Medium,277,15,391,5,68,6.83
6467,22737,Medium,299,16,356,5,68,8.26
220,31906,High,420,33,907,12,43,5.77
228,26994,High,355,24,587,8,80,5.60
353,10711,Low,141,7,164,2,86,7.08
371,30660,High,403,26,668,9,62,7.30
590,32779,High,431,37,780,10,58,7.10
804,15397,Low,203,12,236,3,68,4.92
963,24398,Medium,321,28,558,7,64,7.69
3431,24519,Medium,323,30,570,8,65,7.50
4509,23033,Medium,303,32,517,7,64,4.06
5359,21527,Medium,283,23,526,7,73,4.68
284,39030,High,514,61,1200,16,77,5.88
471,25560,Medium,336,19,557,7,38,12.85
896,35523,High,467,32,872,11,59,8.63
3014,21254,Medium,280,12,137,2,35,7.09
3432,19147,Medium,252,16,462,6,39,10.48
3433,21276,Medium,280,18,456,6,50,5.76
5288,21401,Medium,282,16,421,6,61,3.88
5810,18689,Medium,246,16,381,5,67,9.63
266,27900,High,367,43,784,10,33,12.17
807,32436,High,427,24,627,8,73,5.85
880,29733,High,391,27,794,10,64,8.83
1178,32978,High,434,38,946,12,65,7.84
2649,49763,High,655,73,2123,28,44,9.22
2834,40024,High,527,60,1070,14,54,9.10
3044,14590,Low,192,6,180,2,100,6.57
3274,33841,High,445,46,922,12,65,6.14
5080,29285,High,385,34,781,10,51,6.60
5416,30411,High,400,21,501,7,58,7.94
202,36577,High,481,52,1175,15,57,10.64
1117,37996,High,500,37,898,12,44,7.36
2918,35511,High,467,50,977,13,46,5.98
2973,33346,High,439,40,950,13,47,6.25
3406,25999,High,342,22,499,7,47,7.74
3482,33354,High,439,40,799,11,47,8.62
5210,20469,Medium,269,22,416,5,41,10.50
5672,25583,Medium,337,35,628,8,52,5.62
5673,26255,High,345,34,614,8,73,9.23
206,31870,High,419,38,835,11,38,8.58
467,29951,High,394,33,643,8,64,5.45
3286,22386,Medium,295,23,423,6,61,8.29
4627,31902,High,420,34,873,11,58,6.61
5211,31745,High,418,38,767,10,59,9.11
5311,35832,High,471,51,944,12,54,5.03
5707,28729,High,378,33,691,9,50,7.63
6963,29185,High,384,44,741,10,43,6.99
217,23358,Medium,307,20,427,6,51,5.73
426,29049,High,382,34,674,9,71,7.50
1216,27532,High,362,25,512,7,36,12.58
2105,27466,High,361,40,644,8,50,8.88
2427,20616,Medium,271,14,209,3,52,23.29
2996,18681,Medium,246,15,353,5,50,8.73
4240,48170,High,634,97,1497,20,70,4.37
5092,30945,High,407,36,778,10,66,6.04
5889,18717,Medium,246,12,330,4,19,9.77
260,32040,High,422,37,675,9,70,8.81
286,18822,Medium,248,13,318,4,71,8.13
565,18868,Medium,248,13,399,5,34,9.14
1118,23877,Medium,314,17,475,6,56,9.32
2667,29545,High,389,15,377,5,26,13.50
4164,17515,Low,230,16,253,3,62,7.12
4215,11209,Low,147,7,198,3,50,10.70
5191,32507,High,428,39,829,11,69,7.91
2086,31460,High,414,43,831,11,7,11.43
2463,36047,High,474,55,997,13,54,7.01
2883,42390,High,558,57,1384,18,55,6.25
2926,23318,Medium,307,31,758,10,79,5.86
3777,42796,High,563,57,1213,16,53,6.50
5866,35117,High,462,44,1020,13,59,6.39
6300,51549,High,678,85,1768,23,49,6.90
7178,20574,Medium,271,21,229,3,73,7.53
211,13675,Low,180,11,166,2,88,4.79
248,13246,Low,174,9,222,3,74,6.89
320,4513,Low,59,2,63,1,100,10.43
561,7181,Low,94,5,130,2,83,4.61
610,20361,Medium,268,17,387,5,76,9.57
746,26693,High,351,30,658,9,48,4.67
939,26955,High,355,22,582,8,59,7.71
1254,23445,Medium,308,17,449,6,81,12.70
5389,20247,Medium,266,21,451,6,57,8.73
6929,23836,Medium,314,21,511,7,59,6.57
7156,19065,Medium,251,24,433,6,56,6.04
421,24244,Medium,319,21,415,5,49,5.23
940,24664,Medium,325,26,559,7,53,15.35
972,29843,High,393,24,636,8,64,7.76
2980,40348,High,531,52,1020,13,73,5.98
3773,21728,Medium,286,23,461,6,69,7.12
4165,16237,Low,214,8,165,2,20,7.64
5247,28512,High,375,39,831,11,47,9.31
5312,19547,Medium,257,11,197,3,76,5.36
5316,33375,High,439,41,813,11,66,6.62
5764,27995,High,368,39,665,9,37,8.54
259,40813,High,537,61,1046,14,64,7.25
789,37359,High,492,33,901,12,70,6.74
1055,43429,High,571,47,1165,15,45,8.09
1800,23482,Medium,309,14,283,4,68,8.64
3224,30353,High,399,21,604,8,47,9.87
3225,33698,High,443,35,746,10,76,7.89
5823,33923,High,446,51,1047,14,49,8.34
5987,24057,Medium,317,27,581,8,63,11.05
8930,15300,Low,201,20,341,4,40,11.53
297,32628,High,429,31,727,10,50,6.26
744,42625,High,561,49,1007,13,65,8.12
849,32396,High,426,34,877,12,55,8.72
1103,36271,High,477,29,811,11,43,9.98
1279,26826,High,353,16,416,5,62,7.50
1837,31755,High,418,29,663,9,48,8.23
4298,28892,High,380,28,593,8,47,7.24
6579,27902,High,367,24,570,8,74,4.58
194,35477,High,467,23,423,6,47,7.10
522,18247,Medium,240,16,362,5,67,5.89
1137,22489,Medium,296,13,381,5,36,8.89
1186,15279,Low,201,12,274,4,55,8.40
2439,20930,Medium,275,21,560,7,76,6.00
3298,26021,High,342,24,591,8,50,6.04
3500,31793,High,418,23,678,9,59,6.84
5116,33194,High,437,35,890,12,70,7.64
462,28625,High,377,27,538,7,63,6.09
482,6191,Low,81,3,82,1,89,4.95
504,21154,Medium,278,15,328,4,42,13.74
527,16211,Low,213,9,285,4,55,4.66
529,29517,High,388,22,616,8,58,7.87
808,30680,High,404,25,637,8,58,8.06
1405,17419,Low,229,9,268,4,69,7.73
5388,36835,High,485,38,803,11,78,8.05
546,33533,High,441,36,951,13,50,10.17
872,27869,High,367,25,616,8,49,7.20
915,33488,High,441,29,758,10,63,10.67
2505,39625,High,521,45,1114,15,52,10.13
2993,43333,High,570,58,1423,19,59,9.23
3510,29380,High,387,34,709,9,75,5.29
3572,45502,High,599,54,1355,18,57,9.62
5449,29206,High,384,30,635,8,68,7.99
752,37241,High,490,33,361,5,69,6.93
1062,47482,High,625,59,1324,17,48,8.29
2724,22487,Medium,296,13,419,6,35,15.15
3425,29685,High,391,21,551,7,41,9.64
4526,21435,Medium,282,15,423,6,39,10.46
5612,30434,High,400,19,501,7,47,11.67
5959,39343,High,518,51,1192,16,48,7.43
772,32585,High,429,26,733,10,63,10.13
2066,27642,High,364,20,517,7,46,6.73
2718,27387,High,360,25,770,10,33,10.82
3296,33863,High,446,34,732,10,25,8.83
3302,22725,Medium,299,19,394,5,58,9.40
3584,35690,High,470,41,1054,14,50,12.12
3827,42424,High,558,63,1283,17,54,12.71
344,14477,Low,190,6,162,2,57,3.38
768,45518,High,599,44,1182,16,54,11.20
1040,42903,High,565,44,1058,14,52,7.39
1409,27564,High,363,33,810,11,43,10.61
3226,42606,High,561,52,1190,16,57,7.10
3640,28054,High,369,31,275,4,72,9.14
4111,42017,High,553,61,1240,16,53,5.89
4512,40765,High,536,44,919,12,56,6.16
5246,11379,Low,150,5,156,2,90,4.46
703,29605,High,390,34,755,10,57,6.31
2257,22394,Medium,295,21,301,4,54,10.98
3297,35343,High,465,40,851,11,49,7.14
4416,25088,Medium,330,20,494,7,70,7.71
4538,31811,High,419,27,694,9,65,10.56
5045,46642,High,614,54,1196,16,68,7.95
5091,52374,High,689,76,1507,20,50,7.33
440,16174,Low,213,9,178,2,59,5.85
442,19474,Medium,256,11,310,4,50,5.08
458,15100,Low,199,8,207,3,57,8.60
464,29958,High,394,22,482,6,73,9.88
470,24009,Medium,316,14,409,5,76,5.19
490,19527,Medium,257,18,380,5,57,6.26
791,21551,Medium,284,12,283,4,48,7.62
1494,35724,High,470,26,536,7,50,8.06
5460,17871,Medium,235,13,243,3,59,8.94
5898,36527,High,481,38,801,11,76,6.19
395,38242,High,503,36,803,11,81,10.57
397,33500,High,441,29,710,9,74,4.56
429,31269,High,411,19,505,7,89,5.22
452,43415,High,571,36,838,11,57,6.80
1958,24279,Medium,319,23,551,7,69,8.33
3320,35535,High,468,24,587,8,44,7.94
3567,21523,Medium,283,16,321,4,76,3.79
3886,45465,High,598,41,954,13,59,6.26
4508,22373,Medium,294,15,338,4,76,5.05
5165,33490,High,441,21,530,7,80,6.09
5809,32378,High,426,24,530,7,76,6.47
330,26776,High,352,22,535,7,60,9.62
385,6200,Low,82,3,99,1,44,11.58
437,15805,Low,208,9,214,3,38,8.06
463,15683,Low,206,9,230,3,60,4.75
503,5892,Low,78,3,86,1,78,7.50
524,8083,Low,106,4,64,1,-33,24.33
1067,6384,Low,84,3,115,2,78,4.64
1098,12339,Low,162,8,226,3,43,12.68
4194,16812,Low,221,11,262,3,45,8.00
293,6010,Low,79,3,101,1,100,3.80
321,20568,Medium,271,18,453,6,74,5.73
322,33211,High,437,33,810,11,79,5.80
446,5018,Low,66,3,77,1,70,4.36
473,6720,Low,88,3,103,1,67,5.00
567,5553,Low,73,3,102,1,100,3.50
846,12949,Low,170,10,231,3,57,8.75
951,6316,Low,83,3,105,1,60,4.67
1042,24370,Medium,321,18,508,7,52,7.57
1150,34744,High,457,40,802,11,53,6.50
4183,17603,Low,232,15,280,4,41,6.18
413,14797,Low,195,8,152,2,65,4.90
456,43897,High,578,38,897,12,66,5.60
595,42668,High,561,36,835,11,63,6.84
1000,39330,High,518,25,629,8,81,5.74
1041,38690,High,509,26,607,8,75,5.32
1296,24854,Medium,327,15,434,6,62,7.79
2763,30318,High,399,20,397,5,40,5.49
2765,16610,Low,219,12,232,3,81,5.91
4112,45190,High,595,34,769,10,78,4.92
5808,19263,Medium,253,10,188,2,75,8.75
600,10184,Low,134,7,175,2,17,8.37
755,28299,High,372,35,617,8,57,5.18
793,14114,Low,186,17,273,4,38,11.02
812,9178,Low,121,8,133,2,82,10.18
822,18306,Medium,241,10,197,3,56,7.19
900,5608,Low,74,4,69,1,58,4.05
1516,11443,Low,151,9,148,2,64,6.88
3383,20693,Medium,272,15,342,5,40,8.21
3384,8049,Low,106,5,113,1,27,7.04
5216,23754,Medium,313,19,453,6,58,6.24
549,20057,Medium,264,17,342,5,47,9.85
821,10490,Low,138,6,98,1,52,6.12
861,22002,Medium,290,22,448,6,69,6.13
927,15998,Low,210,10,231,3,64,4.60
945,22345,Medium,294,22,450,6,25,11.44
1051,10089,Low,133,6,177,2,53,9.59
2653,8172,Low,108,6,214,3,86,4.00
3826,18937,Medium,249,12,259,3,53,6.69
4299,28162,High,371,34,590,8,60,6.02
6898,24671,Medium,325,37,704,9,63,7.63
513,14759,Low,194,15,218,3,70,4.14
537,24633,Medium,324,26,700,9,54,10.73
608,29935,High,394,40,696,9,60,9.97
626,5168,Low,68,3,96,1,71,6.25
897,8110,Low,107,3,106,1,20,4.80
898,5264,Low,69,2,52,1,80,15.00
2891,16255,Low,214,13,316,4,60,8.00
3645,14093,Low,185,8,187,2,55,8.27
438,4038,Low,53,3,80,1,62,7.38
535,32305,High,425,40,775,10,52,5.30
536,20962,Medium,276,21,341,4,59,6.74
601,25899,Medium,341,23,485,6,89,7.83
1078,3063,Low,40,2,43,1,75,5.40
1249,13981,Low,184,6,200,3,60,7.07
1257,4429,Low,58,3,68,1,60,3.29
1272,9287,Low,122,7,167,2,69,5.71
3381,7492,Low,99,5,121,2,77,7.59
