STORE,HVDC,FDD
116,6/3/24,5/20/24
117,5/20/24,
118,7/22/24,7/22/24
119,5/20/24,5/20/24
120,7/22/24,7/22/24
121,7/15/24,7/15/24
122,4/15/24,4/15/24
123,Complete,7/15/24
124,5/20/24,5/20/24
125,5/20/24,5/20/24
126,5/20/24,5/20/24
127,5/20/24,5/20/24
128,7/22/24,5/20/24
129,Complete,9/16/24
130,5/20/24,7/15/24
131,Complete,8/19/24
132,Complete,7/15/24
133,5/20/24,5/20/24
134,Complete,9/16/24
135,3/18/24,8/5/24
136,7/15/24,7/15/24
137,7/15/24,7/15/24
138,3/18/24,3/18/24
139,Complete,9/16/24
140,6/3/24,6/3/24
141,5/20/24,5/20/24
143,7/22/24,6/17/24
144,5/20/24,5/20/24
145,4/15/24,8/5/24
146,Complete,8/19/24
147,Complete,9/16/24
148,Complete,5/20/24
149,6/3/24,6/3/24
150,Complete,7/15/24
151,Complete,7/15/24
152,4/15/24,8/5/24
153,7/22/24,7/22/24
154,6/3/24,6/3/24
155,7/22/24,7/22/24
157,5/20/24,5/20/24
158,Complete,9/16/24
159,3/18/24,8/5/24
160,5/20/24,5/20/24
161,7/22/24,7/22/24
162,Complete,9/16/24
163,6/3/24,6/3/24
164,7/22/24,7/22/24
165,6/3/24,6/3/24
166,5/20/24,8/5/24
167,5/20/24,5/20/24
168,7/15/24,7/15/24
169,5/20/24,5/20/24
170,6/3/24,6/3/24
171,5/20/24,5/20/24
172,4/15/24,8/5/24
173,4/15/24,8/5/24
174,5/20/24,4/29/24
175,7/22/24,7/22/24
176,7/22/24,
177,7/22/24,7/22/24
178,7/15/24,7/15/24
179,7/15/24,3/18/24
180,6/3/24,6/3/24
181,5/20/24,5/20/24
182,7/22/24,7/22/24
183,7/22/24,7/22/24
184,3/18/24,3/18/24
185,Complete,9/16/24
186,7/15/24,7/15/24
188,4/15/24,4/15/24
189,3/18/24,8/5/24
190,7/22/24,7/22/24
192,7/22/24,6/17/24
194,6/3/24,6/3/24
195,3/18/24,3/18/24
196,4/15/24,4/15/24
197,7/22/24,8/5/24
198,4/15/24,4/15/24
199,7/22/24,7/22/24
200,4/15/24,8/5/24
201,4/15/24,4/15/24
202,Complete,8/19/24
203,3/18/24,8/5/24
204,4/15/24,4/15/24
205,7/22/24,7/22/24
206,Complete,9/16/24
207,7/15/24,7/15/24
209,5/20/24,5/20/24
210,Complete,7/15/24
211,5/6/24,5/6/24
212,Complete,9/16/24
213,4/15/24,4/15/24
214,6/3/24,6/3/24
216,4/15/24,4/15/24
217,Complete,
218,7/22/24,7/22/24
219,3/18/24,8/5/24
220,Complete,
221,Complete,9/16/24
222,4/15/24,4/15/24
224,4/15/24,4/15/24
225,Complete,9/16/24
226,5/20/24,5/20/24
227,Complete,9/16/24
228,Complete,
229,7/22/24,7/22/24
230,5/20/24,5/20/24
231,Complete,9/16/24
232,Complete,9/16/24
233,4/15/24,4/15/24
234,3/18/24,3/18/24
236,6/3/24,6/3/24
237,4/15/24,4/15/24
238,7/22/24,6/17/24
239,7/22/24,7/22/24
240,Complete,8/19/24
241,,
242,3/18/24,3/18/24
243,4/15/24,8/5/24
244,6/3/24,6/3/24
245,,
246,7/15/24,7/15/24
247,7/15/24,
248,5/6/24,5/6/24
249,6/3/24,6/3/24
250,3/18/24,3/18/24
251,Complete,8/19/24
252,4/15/24,4/15/24
253,4/15/24,8/5/24
254,4/15/24,4/15/24
256,4/15/24,4/15/24
257,4/15/24,4/15/24
258,7/22/24,7/22/24
259,Complete,8/19/24
260,Complete,
261,5/20/24,5/20/24
262,4/15/24,4/15/24
264,7/22/24,6/17/24
265,Complete,8/19/24
266,Complete,
267,7/15/24,7/15/24
268,7/22/24,7/22/24
269,Complete,9/16/24
271,Complete,
272,6/3/24,6/17/24
273,7/22/24,7/22/24
274,7/22/24,
275,6/3/24,6/3/24
276,5/20/24,5/20/24
277,Complete,9/16/24
278,6/3/24,5/20/24
279,5/20/24,5/20/24
280,5/6/24,5/6/24
281,5/20/24,5/20/24
282,6/3/24,6/17/24
283,6/3/24,6/3/24
284,Complete,
285,6/3/24,6/3/24
286,Complete,
287,7/22/24,7/22/24
288,6/3/24,6/3/24
289,5/20/24,5/20/24
290,5/6/24,5/6/24
292,5/6/24,5/6/24
293,6/3/24,
294,4/15/24,4/15/24
295,4/15/24,8/5/24
296,5/20/24,5/20/24
297,6/3/24,6/3/24
298,8/5/24,6/17/24
299,6/3/24,6/17/24
300,8/5/24,8/5/24
301,8/5/24,8/5/24
302,4/15/24,4/15/24
303,7/22/24,7/22/24
304,6/3/24,6/17/24
305,7/22/24,7/22/24
306,8/5/24,6/17/24
307,6/3/24,5/20/24
308,8/5/24,6/17/24
309,7/22/24,7/22/24
310,6/3/24,6/3/24
311,7/22/24,7/22/24
312,6/3/24,6/3/24
313,4/15/24,8/5/24
314,7/22/24,6/17/24
315,8/5/24,6/17/24
316,8/5/24,8/5/24
317,4/15/24,4/15/24
318,5/20/24,5/20/24
319,3/18/24,3/18/24
320,5/6/24,5/6/24
321,6/3/24,6/3/24
322,5/6/24,5/6/24
323,6/3/24,6/3/24
324,7/15/24,7/15/24
325,3/18/24,8/5/24
326,3/18/24,8/5/24
328,4/15/24,4/15/24
329,8/5/24,8/5/24
330,6/3/24,5/6/24
331,6/3/24,6/3/24
332,7/22/24,6/17/24
333,4/15/24,4/15/24
334,4/15/24,4/15/24
335,7/22/24,7/22/24
336,5/20/24,5/20/24
337,4/15/24,8/5/24
338,3/18/24,3/18/24
339,5/20/24,
340,5/20/24,7/15/24
341,3/18/24,8/5/24
342,3/18/24,8/5/24
343,4/15/24,4/15/24
344,6/3/24,6/3/24
345,5/6/24,6/3/24
346,7/15/24,7/15/24
347,7/22/24,7/22/24
348,5/20/24,5/20/24
350,8/5/24,8/5/24
351,6/3/24,6/3/24
352,4/15/24,4/15/24
353,Complete,
354,4/15/24,8/5/24
355,8/5/24,8/5/24
356,8/5/24,8/5/24
357,3/18/24,8/5/24
358,5/20/24,5/20/24
359,5/20/24,5/20/24
360,7/15/24,7/15/24
361,4/15/24,4/15/24
362,7/22/24,7/22/24
363,3/18/24,8/5/24
364,6/3/24,6/3/24
365,7/22/24,7/22/24
366,6/3/24,6/3/24
368,7/15/24,7/15/24
369,7/15/24,7/15/24
370,7/15/24,7/15/24
371,Complete,
372,8/5/24,8/5/24
373,5/20/24,5/20/24
374,7/15/24,7/15/24
375,7/22/24,6/17/24
376,6/3/24,5/20/24
377,,2/19/24
378,3/18/24,3/18/24
379,5/20/24,3/18/24
381,5/6/24,5/6/24
382,3/18/24,3/18/24
383,6/3/24,6/3/24
384,6/3/24,6/3/24
385,5/6/24,5/6/24
386,6/3/24,6/3/24
387,7/15/24,7/15/24
388,5/20/24,5/20/24
389,Complete,7/15/24
390,7/22/24,6/17/24
391,7/22/24,7/22/24
392,Complete,9/16/24
393,7/22/24,7/22/24
394,7/22/24,6/17/24
395,5/6/24,5/6/24
396,3/18/24,3/18/24
397,5/6/24,5/6/24
398,Complete,8/19/24
399,Complete,8/19/24
400,6/3/24,6/3/24
401,7/22/24,7/22/24
402,7/22/24,7/22/24
403,7/22/24,7/22/24
404,5/6/24,5/6/24
405,6/3/24,6/3/24
406,6/3/24,6/17/24
407,5/6/24,5/6/24
408,6/3/24,6/3/24
409,7/22/24,7/22/24
410,7/22/24,7/22/24
411,7/22/24,
412,5/6/24,5/6/24
413,5/6/24,5/6/24
414,Complete,9/16/24
415,7/22/24,7/22/24
416,6/3/24,6/17/24
417,Complete,8/19/24
418,8/5/24,8/5/24
419,7/15/24,7/15/24
420,Complete,9/16/24
421,Complete,
422,4/15/24,4/15/24
423,8/19/24,8/19/24
424,8/19/24,8/19/24
425,8/19/24,8/19/24
426,Complete,
427,Complete,8/19/24
428,7/22/24,7/22/24
429,5/6/24,5/6/24
430,7/22/24,7/22/24
431,4/15/24,4/15/24
432,8/5/24,8/5/24
433,7/22/24,6/17/24
434,7/22/24,6/17/24
435,4/15/24,4/15/24
436,4/15/24,4/15/24
437,6/3/24,6/3/24
438,Complete,
440,6/3/24,5/6/24
442,5/6/24,5/6/24
443,5/6/24,5/6/24
444,7/15/24,3/18/24
445,4/15/24,6/3/24
446,6/3/24,6/3/24
447,5/6/24,5/6/24
448,6/3/24,5/20/24
449,6/3/24,6/3/24
450,6/3/24,5/20/24
451,3/18/24,8/5/24
452,5/6/24,5/6/24
453,7/22/24,7/22/24
454,4/15/24,4/15/24
456,5/6/24,5/6/24
457,6/3/24,6/3/24
458,6/3/24,5/6/24
459,3/18/24,3/18/24
461,5/6/24,5/6/24
462,6/3/24,6/3/24
463,5/6/24,5/6/24
464,6/3/24,5/6/24
465,5/6/24,5/6/24
466,7/22/24,7/22/24
467,Complete,
468,5/20/24,5/20/24
469,6/3/24,6/3/24
470,6/3/24,5/6/24
471,Complete,
472,7/15/24,7/15/24
473,5/6/24,
475,5/6/24,5/6/24
476,5/6/24,5/6/24
477,8/5/24,6/17/24
478,5/6/24,
479,Complete,9/16/24
480,4/15/24,8/5/24
481,4/15/24,4/15/24
482,6/3/24,
483,8/19/24,8/19/24
484,3/18/24,3/18/24
485,7/22/24,7/22/24
486,3/18/24,3/18/24
488,8/19/24,6/3/24
489,7/22/24,7/22/24
490,6/3/24,5/6/24
491,4/15/24,4/15/24
492,4/15/24,4/15/24
493,6/3/24,6/3/24
494,8/5/24,8/5/24
495,7/22/24,7/22/24
497,6/3/24,6/3/24
498,7/22/24,7/22/24
499,7/15/24,7/15/24
500,7/15/24,7/15/24
501,7/22/24,8/19/24
502,7/22/24,7/22/24
503,6/3/24,6/3/24
504,6/3/24,6/3/24
505,6/3/24,6/3/24
506,4/15/24,4/15/24
507,6/3/24,6/3/24
508,5/6/24,5/6/24
510,3/18/24,3/18/24
511,,2/19/24
512,7/15/24,7/15/24
513,Complete,5/6/24
514,3/18/24,3/18/24
515,6/3/24,6/3/24
516,5/6/24,5/6/24
517,Complete,9/16/24
518,3/18/24,8/5/24
519,6/3/24,6/3/24
520,3/18/24,3/18/24
521,6/3/24,6/3/24
522,6/3/24,6/3/24
523,6/3/24,6/3/24
524,5/6/24,5/6/24
525,5/20/24,4/29/24
526,6/3/24,6/3/24
527,6/3/24,6/3/24
528,9/16/24,9/16/24
529,6/3/24,6/3/24
530,5/20/24,5/20/24
531,7/22/24,7/22/24
532,7/22/24,7/22/24
533,7/22/24,7/22/24
535,Complete,5/6/24
536,Complete,5/6/24
537,5/6/24,5/6/24
538,6/3/24,6/3/24
539,6/3/24,6/3/24
540,7/22/24,7/22/24
541,7/22/24,7/22/24
542,7/22/24,7/22/24
543,7/22/24,6/3/24
544,Complete,9/16/24
545,6/3/24,
546,6/3/24,6/3/24
547,9/16/24,5/20/24
548,3/18/24,3/18/24
549,7/15/24,7/15/24
550,4/15/24,4/15/24
551,6/3/24,6/3/24
552,6/3/24,6/3/24
553,7/22/24,7/22/24
554,5/6/24,5/6/24
555,6/3/24,6/3/24
556,6/3/24,6/3/24
557,3/18/24,3/18/24
558,7/15/24,8/5/24
559,7/22/24,7/22/24
560,3/18/24,3/18/24
561,5/6/24,
562,8/5/24,8/5/24
563,5/20/24,4/29/24
564,Complete,7/15/24
565,5/6/24,5/6/24
566,4/15/24,4/15/24
567,5/6/24,
568,6/3/24,6/17/24
569,6/3/24,6/3/24
571,6/3/24,6/3/24
572,Complete,6/3/24
573,3/18/24,3/18/24
574,,2/19/24
575,8/5/24,8/5/24
576,7/15/24,7/15/24
577,3/18/24,3/18/24
578,6/3/24,6/3/24
579,6/3/24,6/3/24
580,5/20/24,5/20/24
581,7/22/24,8/5/24
582,5/20/24,4/29/24
583,6/3/24,6/3/24
584,7/15/24,7/15/24
585,,2/19/24
586,,2/19/24
587,6/3/24,6/17/24
588,8/19/24,6/3/24
589,6/3/24,6/3/24
590,Complete,
591,6/3/24,6/3/24
592,7/15/24,7/15/24
593,6/3/24,6/3/24
594,8/5/24,8/5/24
595,5/6/24,5/6/24
596,4/15/24,4/15/24
598,8/5/24,8/5/24
599,6/3/24,6/3/24
600,Complete,9/16/24
601,5/6/24,5/6/24
602,6/3/24,6/3/24
603,7/22/24,7/22/24
604,8/19/24,8/19/24
605,6/3/24,6/3/24
606,6/3/24,
607,Complete,
608,5/6/24,5/6/24
609,7/22/24,8/5/24
610,Complete,5/6/24
611,7/15/24,7/15/24
612,4/15/24,4/15/24
613,5/20/24,4/29/24
614,8/5/24,8/5/24
615,8/5/24,8/5/24
616,6/3/24,2/19/24
617,4/15/24,
618,8/5/24,8/5/24
619,6/3/24,6/17/24
620,6/3/24,6/3/24
621,,2/19/24
622,Complete,7/15/24
623,9/16/24,9/16/24
624,3/18/24,2/19/24
625,,2/19/24
626,7/15/24,7/15/24
627,,2/19/24
628,6/3/24,2/19/24
629,3/18/24,2/19/24
630,,2/19/24
631,3/18/24,3/18/24
632,6/3/24,2/19/24
633,7/22/24,7/22/24
634,,2/19/24
635,6/3/24,6/3/24
636,7/22/24,7/22/24
637,8/5/24,8/5/24
638,,2/19/24
639,6/3/24,6/3/24
640,3/18/24,3/18/24
641,3/18/24,3/18/24
642,,2/19/24
643,,2/19/24
644,3/18/24,3/18/24
645,8/5/24,8/5/24
646,7/22/24,7/22/24
647,7/22/24,8/5/24
648,4/15/24,8/5/24
649,5/20/24,4/29/24
651,6/3/24,6/3/24
652,8/5/24,8/5/24
653,4/15/24,6/17/24
655,4/15/24,4/15/24
656,7/22/24,6/17/24
657,6/3/24,6/17/24
658,8/5/24,8/5/24
659,6/3/24,6/17/24
660,7/22/24,7/22/24
661,7/22/24,6/17/24
662,7/22/24,6/17/24
663,6/3/24,6/3/24
664,8/5/24,8/5/24
665,6/3/24,6/3/24
666,9/16/24,5/20/24
667,7/22/24,6/17/24
668,6/3/24,6/17/24
669,8/5/24,3/18/24
670,7/22/24,6/17/24
671,6/3/24,6/17/24
672,6/3/24,6/3/24
673,4/15/24,6/17/24
674,6/3/24,6/17/24
675,7/22/24,7/22/24
676,6/3/24,6/3/24
677,7/22/24,7/22/24
678,6/3/24,6/3/24
680,6/3/24,6/3/24
681,8/5/24,6/17/24
682,6/3/24,6/17/24
683,7/22/24,6/17/24
684,7/22/24,7/22/24
685,6/3/24,6/3/24
686,6/3/24,6/3/24
687,6/3/24,6/17/24
688,6/3/24,6/17/24
689,6/3/24,6/3/24
690,6/3/24,6/3/24
691,8/5/24,6/17/24
692,6/3/24,6/3/24
693,6/3/24,
694,4/15/24,4/15/24
695,6/3/24,6/17/24
696,6/3/24,
697,6/3/24,6/3/24
698,6/3/24,6/17/24
699,7/22/24,7/22/24
700,8/19/24,8/19/24
701,4/15/24,4/15/24
702,6/3/24,6/3/24
703,6/3/24,6/3/24
705,5/20/24,5/20/24
706,5/20/24,5/20/24
707,7/22/24,7/22/24
708,7/22/24,7/22/24
709,6/3/24,6/3/24
710,6/3/24,6/17/24
711,6/3/24,6/3/24
712,8/5/24,6/17/24
713,5/20/24,
714,7/22/24,7/22/24
715,7/22/24,7/22/24
716,7/22/24,7/22/24
717,,
718,5/20/24,5/20/24
719,6/3/24,6/3/24
720,6/3/24,6/3/24
721,9/16/24,9/16/24
722,8/5/24,8/5/24
723,8/19/24,8/19/24
724,6/3/24,6/3/24
725,5/20/24,5/20/24
726,8/5/24,8/5/24
727,8/5/24,8/5/24
728,6/3/24,6/3/24
729,6/3/24,6/3/24
730,8/5/24,8/5/24
731,8/19/24,8/19/24
733,8/5/24,8/5/24
734,8/19/24,8/19/24
735,8/5/24,6/17/24
736,6/3/24,6/17/24
737,7/22/24,6/17/24
738,7/22/24,6/17/24
739,6/3/24,6/3/24
740,8/19/24,8/19/24
741,6/3/24,6/3/24
742,6/3/24,6/3/24
743,Complete,9/16/24
744,6/3/24,6/3/24
745,8/5/24,8/5/24
746,5/6/24,5/6/24
748,7/22/24,8/5/24
749,7/22/24,4/15/24
750,7/22/24,7/22/24
751,7/22/24,8/5/24
752,6/3/24,6/3/24
753,,7/22/24
754,6/3/24,3/18/24
755,7/15/24,7/15/24
756,8/5/24,3/18/24
757,5/6/24,5/6/24
758,8/5/24,8/5/24
759,9/16/24,9/16/24
760,4/15/24,
761,7/22/24,7/22/24
762,8/5/24,8/5/24
764,8/19/24,8/19/24
765,5/6/24,5/6/24
766,7/22/24,7/22/24
767,6/3/24,6/3/24
768,6/3/24,6/3/24
769,9/16/24,9/16/24
770,8/5/24,8/5/24
771,5/20/24,4/29/24
772,6/3/24,6/3/24
773,6/3/24,6/3/24
774,8/5/24,8/5/24
775,7/22/24,7/22/24
776,8/5/24,8/5/24
777,6/3/24,6/3/24
778,9/16/24,9/16/24
779,5/20/24,5/20/24
780,3/18/24,3/18/24
781,5/6/24,5/6/24
782,5/6/24,5/6/24
783,3/18/24,8/5/24
784,7/22/24,8/5/24
785,8/19/24,8/19/24
786,7/22/24,7/22/24
787,8/5/24,8/5/24
788,5/20/24,5/20/24
789,Complete,8/19/24
790,8/5/24,8/5/24
791,5/6/24,5/6/24
792,7/22/24,7/22/24
793,7/15/24,7/15/24
794,7/15/24,7/15/24
795,3/18/24,2/19/24
796,7/22/24,7/22/24
797,7/22/24,8/5/24
798,4/15/24,4/15/24
799,8/5/24,8/5/24
800,5/20/24,6/3/24
801,3/18/24,3/18/24
802,7/22/24,7/22/24
803,7/22/24,7/22/24
804,Complete,
805,4/15/24,8/5/24
806,7/15/24,7/15/24
807,Complete,
808,6/3/24,6/3/24
809,8/5/24,8/5/24
810,,4/15/24
811,9/16/24,9/16/24
812,7/15/24,7/15/24
813,5/6/24,5/6/24
814,9/16/24,9/16/24
815,3/18/24,8/5/24
816,7/22/24,7/22/24
817,5/20/24,5/20/24
818,8/19/24,8/19/24
819,9/16/24,9/16/24
820,3/18/24,8/5/24
821,7/15/24,7/15/24
822,7/15/24,7/15/24
823,7/15/24,7/15/24
824,7/15/24,7/15/24
825,6/3/24,6/3/24
826,7/15/24,7/15/24
827,Complete,8/19/24
828,Complete,2/19/24
829,7/15/24,7/15/24
830,7/22/24,
833,4/15/24,4/15/24
834,3/18/24,8/5/24
835,7/15/24,7/15/24
836,6/3/24,6/3/24
837,5/20/24,5/20/24
838,7/15/24,7/15/24
839,7/22/24,7/22/24
840,3/18/24,8/5/24
841,7/22/24,7/22/24
842,8/19/24,8/19/24
843,8/19/24,8/19/24
844,7/22/24,7/22/24
845,3/18/24,3/18/24
846,5/6/24,5/6/24
847,,
848,7/22/24,7/22/24
849,6/3/24,6/3/24
850,7/15/24,7/15/24
851,7/15/24,7/15/24
852,7/22/24,7/22/24
853,8/19/24,8/19/24
854,Complete,2/19/24
855,8/5/24,8/5/24
856,8/5/24,8/5/24
857,5/20/24,4/29/24
858,8/19/24,6/3/24
859,5/20/24,5/20/24
860,5/20/24,4/29/24
861,7/15/24,7/15/24
862,6/3/24,6/3/24
863,8/5/24,8/5/24
864,6/3/24,6/3/24
865,5/6/24,5/6/24
866,8/19/24,8/19/24
867,8/5/24,8/5/24
868,7/15/24,7/15/24
869,7/15/24,7/15/24
870,4/15/24,4/15/24
871,5/20/24,8/5/24
872,6/3/24,6/3/24
873,7/15/24,7/15/24
874,7/22/24,7/22/24
875,7/22/24,7/22/24
876,6/3/24,6/3/24
877,,2/19/24
878,3/18/24,3/18/24
879,6/3/24,6/17/24
880,Complete,
881,3/18/24,2/19/24
882,,
884,Complete,2/19/24
885,8/5/24,8/5/24
886,7/22/24,4/15/24
887,7/22/24,7/22/24
888,3/18/24,3/18/24
889,6/3/24,6/3/24
890,5/20/24,4/29/24
891,7/22/24,7/22/24
892,7/22/24,4/15/24
893,Complete,
894,7/15/24,7/15/24
895,4/15/24,
896,Complete,
897,5/6/24,5/6/24
898,5/6/24,5/6/24
899,6/3/24,6/3/24
900,Complete,9/16/24
901,5/6/24,5/6/24
902,Complete,2/19/24
903,7/22/24,7/22/24
904,8/19/24,8/19/24
905,8/19/24,8/5/24
906,7/15/24,7/15/24
907,6/3/24,8/5/24
908,5/20/24,5/20/24
909,7/22/24,7/22/24
910,7/22/24,7/22/24
911,7/22/24,7/22/24
912,7/22/24,7/22/24
913,,
914,5/20/24,5/20/24
915,6/3/24,6/3/24
916,7/22/24,7/22/24
917,5/6/24,5/6/24
918,6/3/24,8/19/24
919,8/19/24,8/19/24
920,6/3/24,8/5/24
921,8/19/24,8/19/24
922,4/15/24,4/15/24
923,Complete,2/19/24
924,8/5/24,8/5/24
925,9/16/24,5/20/24
927,Complete,7/15/24
928,6/3/24,6/3/24
929,9/16/24,4/29/24
930,8/19/24,8/19/24
931,5/20/24,4/29/24
932,8/5/24,8/5/24
933,7/22/24,7/22/24
934,8/19/24,8/19/24
935,7/22/24,7/22/24
936,4/15/24,4/15/24
937,8/5/24,8/5/24
938,8/19/24,8/19/24
939,5/6/24,5/6/24
940,Complete,
941,9/16/24,5/20/24
942,5/20/24,5/20/24
943,5/20/24,4/29/24
944,8/19/24,8/19/24
945,7/15/24,7/15/24
947,Complete,9/16/24
948,,7/22/24
950,7/22/24,7/22/24
951,6/3/24,
952,6/3/24,6/3/24
953,8/19/24,8/19/24
954,7/22/24,7/22/24
955,5/20/24,5/20/24
956,5/20/24,4/29/24
957,7/22/24,7/22/24
958,,
959,5/20/24,6/3/24
960,6/3/24,6/3/24
961,7/22/24,7/22/24
962,7/15/24,7/15/24
963,Complete,
964,7/15/24,7/15/24
965,,
966,7/15/24,7/15/24
967,5/20/24,5/20/24
968,5/20/24,5/20/24
969,7/22/24,7/22/24
970,7/22/24,7/22/24
971,,
972,Complete,
973,9/16/24,4/29/24
974,5/20/24,4/29/24
975,Complete,9/16/24
976,7/22/24,7/22/24
977,6/3/24,6/3/24
978,7/15/24,7/15/24
979,,
980,8/19/24,8/19/24
981,7/22/24,7/22/24
982,,4/15/24
984,8/19/24,8/19/24
985,7/22/24,8/5/24
986,8/19/24,8/19/24
987,9/16/24,9/16/24
988,5/20/24,5/20/24
989,7/22/24,7/22/24
990,8/19/24,8/19/24
991,8/19/24,8/19/24
992,7/15/24,7/15/24
993,7/15/24,8/5/24
994,5/20/24,5/20/24
995,Complete,2/19/24
996,4/15/24,4/15/24
997,,
998,3/18/24,3/18/24
999,5/6/24,5/6/24
1000,5/6/24,5/6/24
1001,8/19/24,8/19/24
1002,4/15/24,4/15/24
1003,7/22/24,7/22/24
1004,9/16/24,9/16/24
1005,,4/15/24
1006,8/5/24,6/3/24
1007,,
1008,8/19/24,8/19/24
1009,7/15/24,3/18/24
1010,,7/22/24
1011,6/3/24,6/3/24
1012,,
1013,4/15/24,4/15/24
1014,3/18/24,3/18/24
1015,7/15/24,7/15/24
1016,7/22/24,7/22/24
1017,,2/19/24
1018,6/3/24,6/3/24
1019,8/19/24,8/19/24
1020,,4/15/24
1021,4/15/24,8/5/24
1022,5/6/24,8/19/24
1023,,7/22/24
1024,6/3/24,6/3/24
1025,7/22/24,7/22/24
1026,4/15/24,4/15/24
1027,,7/22/24
1028,7/22/24,7/22/24
1029,5/20/24,5/20/24
1030,,2/19/24
1032,8/19/24,8/19/24
1033,Complete,2/19/24
1034,,2/19/24
1035,3/18/24,2/19/24
1036,,2/19/24
1037,6/3/24,2/19/24
1038,,4/15/24
1039,,7/22/24
1040,6/3/24,6/3/24
1041,5/6/24,5/6/24
1042,5/6/24,5/6/24
1043,Complete,9/16/24
1044,5/6/24,6/3/24
1045,8/19/24,8/5/24
1046,5/6/24,
1047,8/5/24,8/5/24
1048,6/3/24,6/3/24
1051,7/15/24,7/15/24
1052,7/22/24,7/22/24
1053,6/3/24,6/3/24
1054,3/18/24,3/18/24
1055,Complete,8/19/24
1056,Complete,9/16/24
1057,8/5/24,8/19/24
1058,9/16/24,9/16/24
1059,7/22/24,7/22/24
1060,,7/22/24
1061,6/3/24,6/3/24
1062,6/3/24,6/3/24
1063,8/19/24,
1064,,7/22/24
1065,5/20/24,5/20/24
1066,8/19/24,8/19/24
1067,5/6/24,5/6/24
1068,5/20/24,4/29/24
1069,7/22/24,7/22/24
1070,3/18/24,3/18/24
1071,4/15/24,4/15/24
1072,6/3/24,6/3/24
1073,5/6/24,5/6/24
1074,7/22/24,7/22/24
1075,4/15/24,6/17/24
1076,6/3/24,8/5/24
1077,6/3/24,6/3/24
1078,5/6/24,5/6/24
1079,5/20/24,4/29/24
1080,6/3/24,6/3/24
1081,6/3/24,6/3/24
1082,6/3/24,6/3/24
1083,6/3/24,6/3/24
1084,5/20/24,4/29/24
1085,5/20/24,5/20/24
1086,5/20/24,5/20/24
1087,9/16/24,4/29/24
1088,7/22/24,8/19/24
1089,8/5/24,6/17/24
1090,6/3/24,6/3/24
1091,8/19/24,8/19/24
