Fiscal Year Name,,,
Fiscal Month Friendly Name Abbr,,,
,,FY2025,
,,Nov,
,,,
Store,Dept,Inventory Dollars,Format
94,93,"137,356",WM Supercenter
94,94,"32,567",WM Supercenter
94,98,"32,941",WM Supercenter
95,80,"17,611",WM Supercenter
95,93,"72,450",WM Supercenter
95,94,"20,025",WM Supercenter
95,98,"28,948",WM Supercenter
96,80,"13,431",WM Supercenter
96,93,"105,723",WM Supercenter
96,94,"35,042",WM Supercenter
96,98,"24,234",WM Supercenter
97,80,41,WM Supercenter
97,93,"65,329",WM Supercenter
97,94,,WM Supercenter
97,98,"14,325",WM Supercenter
98,80,"9,568",WM Supercenter
98,93,"72,223",WM Supercenter
98,94,"20,914",WM Supercenter
98,98,"19,310",WM Supercenter
99,80,"12,137",WM Supercenter
99,93,"50,323",WM Supercenter
99,94,"25,214",WM Supercenter
99,98,"15,892",WM Supercenter
100,80,"29,380",WM Supercenter
100,93,"167,580",WM Supercenter
100,94,"22,219",WM Supercenter
100,98,"33,899",WM Supercenter
101,80,"8,167",WM Supercenter
101,93,"66,204",WM Supercenter
101,94,"20,043",WM Supercenter
101,98,"25,385",WM Supercenter
102,80,"7,205",WM Supercenter
102,93,"62,080",WM Supercenter
102,94,"13,146",WM Supercenter
102,98,"10,954",WM Supercenter
103,80,"10,322",WM Supercenter
103,93,"107,782",WM Supercenter
103,94,"25,173",WM Supercenter
103,98,"33,543",WM Supercenter
104,80,"15,182",WM Supercenter
104,93,"77,596",WM Supercenter
104,94,"20,483",WM Supercenter
104,98,"26,677",WM Supercenter
105,80,"14,684",WM Supercenter
105,93,"115,459",WM Supercenter
105,94,"30,096",WM Supercenter
105,98,"35,959",WM Supercenter
106,80,"9,796",WM Supercenter
106,93,"57,441",WM Supercenter
106,94,"17,221",WM Supercenter
106,98,"9,114",WM Supercenter
107,80,"12,920",WM Supercenter
107,93,"72,833",WM Supercenter
107,94,"18,344",WM Supercenter
107,98,"27,505",WM Supercenter
108,80,"8,620",WM Supercenter
108,93,"63,229",WM Supercenter
108,94,"23,385",WM Supercenter
108,98,"25,160",WM Supercenter
109,80,"7,755",WM Supercenter
109,93,"45,243",WM Supercenter
109,94,"17,901",WM Supercenter
109,98,"9,621",WM Supercenter
110,80,"12,665",WM Supercenter
110,93,"96,218",WM Supercenter
110,94,"18,364",WM Supercenter
110,98,"26,642",WM Supercenter
111,80,"12,706",WM Supercenter
111,93,"62,486",WM Supercenter
111,94,"17,171",WM Supercenter
111,98,"21,522",WM Supercenter
112,80,"17,020",WM Supercenter
112,93,"86,019",WM Supercenter
112,94,"28,846",WM Supercenter
112,98,"28,289",WM Supercenter
113,80,"12,681",WM Supercenter
113,93,"106,316",WM Supercenter
113,94,"36,165",WM Supercenter
