Store Number,Impacted IDC
90,Houston
92,Houston
96,Houston
100,Houston
103,Houston
108,Houston
109,Houston
111,Houston
113,Houston
116,Houston
121,Houston
123,Houston
125,Houston
129,Houston
130,Houston
131,Houston
132,Houston
134,Houston
136,Houston
137,Houston
139,Houston
140,Houston
141,Houston
144,Houston
146,Houston
147,Houston
148,Houston
150,Houston
151,Houston
158,Houston
162,Houston
163,Houston
165,Houston
168,Houston
178,Houston
179,Houston
180,Houston
181,Houston
184,Houston
185,Houston
186,Houston
194,Houston
195,Houston
202,Houston
206,Houston
207,Houston
209,Houston
210,Houston
211,Houston
212,Houston
214,Houston
217,Houston
220,Houston
221,Houston
225,Houston
226,Houston
227,Houston
228,Houston
230,Houston
231,Houston
232,Houston
234,Houston
236,Houston
240,Houston
242,Houston
246,Houston
247,Houston
248,Houston
249,Houston
251,Houston
259,Houston
260,Houston
265,Houston
266,Houston
267,Houston
269,Houston
271,Houston
275,Houston
276,Houston
277,Houston
278,Houston
280,Houston
284,Houston
285,Houston
286,Houston
288,Houston
290,Houston
292,Houston
293,Houston
297,Houston
319,Houston
320,Houston
321,Houston
322,Houston
324,Houston
330,Houston
338,Houston
340,Houston
341,Houston
342,Houston
344,Houston
345,Houston
346,Houston
350,Houston
351,Houston
353,Houston
358,Houston
359,Houston
360,Houston
364,Houston
368,Houston
369,Houston
370,Houston
371,Houston
372,Houston
373,Houston
374,Houston
376,Houston
378,Houston
381,Houston
382,Houston
383,Houston
384,Houston
385,Houston
387,Houston
388,Houston
389,Houston
392,Houston
395,Houston
397,Houston
398,Houston
399,Houston
400,Houston
404,Houston
407,Houston
412,Houston
413,Houston
414,Houston
417,Houston
418,Houston
419,Houston
420,Houston
421,Houston
426,Houston
427,Houston
429,Houston
437,Houston
438,Houston
440,Houston
442,Houston
443,Houston
444,Houston
446,Houston
447,Houston
448,Houston
452,Houston
456,Houston
458,Houston
461,Houston
462,Houston
463,Houston
464,Houston
465,Houston
467,Houston
470,Houston
471,Houston
472,Houston
473,Houston
475,Houston
476,Houston
478,Houston
479,Houston
482,Houston
484,Houston
486,Houston
490,Houston
499,Houston
500,Houston
503,Houston
504,Houston
508,Houston
512,Houston
513,Houston
516,Houston
517,Houston
522,Houston
523,Houston
524,Houston
527,Houston
529,Houston
535,Houston
536,Houston
537,Houston
544,Houston
546,Houston
549,Houston
554,Houston
557,Houston
558,Houston
560,Houston
561,Houston
564,Houston
565,Houston
567,Houston
572,Houston
573,Houston
576,Houston
577,Houston
590,Houston
592,Houston
595,Houston
598,Houston
600,Houston
601,Houston
602,Houston
607,Houston
608,Houston
610,Houston
611,Houston
622,Houston
626,Houston
637,Houston
651,Houston
652,Houston
664,Houston
703,Houston
743,Houston
744,Houston
746,Houston
752,Houston
755,Houston
757,Houston
765,Houston
768,Houston
770,Houston
772,Houston
781,Houston
782,Houston
789,Houston
790,Houston
791,Houston
793,Houston
794,Houston
799,Houston
801,Houston
804,Houston
806,Houston
807,Houston
808,Houston
812,Houston
813,Houston
821,Houston
822,Houston
823,Houston
824,Houston
827,Houston
829,Houston
835,Houston
838,Houston
842,Houston
846,Houston
849,Houston
850,Houston
851,Houston
861,Houston
865,Houston
867,Houston
868,Houston
869,Houston
872,Houston
873,Houston
880,Houston
885,Houston
888,Houston
893,Houston
894,Houston
896,Houston
897,Houston
898,Houston
900,Houston
901,Houston
905,Houston
914,Houston
915,Houston
917,Houston
918,Houston
921,Houston
924,Houston
927,Houston
939,Houston
940,Houston
945,Houston
947,Houston
951,Houston
953,Houston
962,Houston
963,Houston
964,Houston
972,Houston
975,Houston
978,Houston
980,Houston
984,Houston
986,Houston
992,Houston
993,Houston
998,Houston
999,Houston
1000,Houston
1001,Houston
1008,Houston
1009,Houston
1014,Houston
1015,Houston
1019,Houston
1022,Houston
1040,Houston
1041,Houston
1042,Houston
1043,Houston
1044,Houston
1045,Houston
1046,Houston
1051,Houston
1054,Houston
1055,Houston
1056,Houston
1058,Houston
1062,Houston
1067,Houston
1073,Houston
1078,Houston
1094,Houston
1095,Houston
1098,Houston
1099,Houston
1103,Houston
1116,Houston
1117,Houston
1118,Houston
1120,Houston
1126,Houston
1129,Houston
1137,Houston
1147,Houston
1148,Houston
1150,Houston
1151,Houston
1154,Houston
1178,Houston
1185,Houston
1186,Houston
1187,Houston
1198,Houston
1199,Houston
1200,Houston
1214,Houston
1216,Houston
1221,Houston
1231,Houston
1232,Houston
1235,Houston
1249,Houston
1252,Houston
1253,Houston
1254,Houston
1257,Houston
1272,Houston
1273,Houston
1279,Houston
1280,Houston
1282,Houston
1295,Houston
1296,Houston
1303,Houston
1306,Houston
1308,Houston
1313,Houston
1315,Houston
1326,Houston
1347,Houston
1380,Houston
1384,Houston
1397,Houston
1405,Houston
1409,Houston
1412,Houston
1414,Houston
1434,Houston
1437,Houston
1455,Houston
1457,Houston
1460,Houston
1485,Houston
1492,Houston
1494,Houston
1507,Houston
1508,Houston
1516,Houston
1543,Houston
1550,Houston
1585,Houston
1597,Houston
1599,Houston
1604,Houston
1617,Houston
1626,Houston
1637,Houston
1659,Houston
1671,Houston
1689,Houston
1691,Houston
1778,Houston
1800,Houston
1801,Houston
1802,Houston
1803,Houston
1808,Houston
1837,Houston
1896,Houston
1943,Houston
1956,Houston
1958,Houston
2066,Houston
2086,Houston
2105,Houston
2125,Houston
2131,Houston
2133,Houston
2175,Houston
2201,Houston
2223,Houston
2239,Houston
2257,Houston
2293,Houston
2379,Houston
2393,Houston
2394,Houston
2395,Houston
2397,Houston
2404,Houston
2427,Houston
2428,Houston
2432,Houston
2433,Houston
2439,Houston
2442,Houston
2451,Houston
2463,Houston
2490,Houston
2505,Houston
2562,Houston
2579,Houston
2599,Houston
2608,Houston
2612,Houston
2649,Houston
2652,Houston
2653,Houston
2656,Houston
2667,Houston
2672,Houston
2686,Houston
2688,Houston
2702,Houston
2718,Houston
2724,Houston
2729,Houston
2734,Houston
2741,Houston
2742,Houston
2744,Houston
2745,Houston
2751,Houston
2752,Houston
2763,Houston
2765,Houston
2769,Houston
2784,Houston
2803,Houston
2804,Houston
2834,Houston
2835,Houston
2839,Houston
2847,Houston
2855,Houston
2856,Houston
2857,Houston
2864,Houston
2875,Houston
2876,Houston
2877,Houston
2878,Houston
2880,Houston
2883,Houston
2891,Houston
2892,Houston
2893,Houston
2918,Houston
2923,Houston
2924,Houston
2926,Houston
2955,Houston
2973,Houston
2974,Houston
2975,Houston
2976,Houston
2977,Houston
2978,Houston
2979,Houston
2980,Houston
2981,Houston
2984,Houston
2991,Houston
2993,Houston
2994,Houston
2995,Houston
2996,Houston
3014,Houston
3015,Houston
3018,Houston
3019,Houston
3043,Houston
3044,Houston
3055,Houston
3056,Houston
3057,Houston
3058,Houston
3062,Houston
3082,Houston
3083,Houston
3103,Houston
3106,Houston
3107,Houston
3111,Houston
3112,Houston
3126,Houston
3127,Houston
3128,Houston
3135,Houston
3136,Houston
3151,Houston
3152,Houston
3153,Houston
3154,Houston
3155,Houston
3164,Houston
3169,Houston
3170,Houston
3172,Houston
3173,Houston
3175,Houston
3176,Houston
3177,Houston
3198,Houston
3199,Houston
3202,Houston
3204,Houston
3213,Houston
3224,Houston
3225,Houston
3226,Houston
3227,Houston
3229,Houston
3231,Houston
3238,Houston
3267,Houston
3273,Houston
3274,Houston
3275,Houston
3278,Houston
3279,Houston
3283,Houston
3284,Houston
3285,Houston
3286,Houston
3287,Houston
3295,Houston
3296,Houston
3297,Houston
3298,Houston
3302,Houston
3313,Houston
3317,Houston
3319,Houston
3320,Houston
3327,Houston
3340,Houston
3341,Houston
3381,Houston
3382,Houston
3383,Houston
3384,Houston
3385,Houston
3390,Houston
3391,Houston
3392,Houston
3395,Houston
3406,Houston
3419,Houston
3423,Houston
3425,Houston
3427,Houston
3430,Houston
3431,Houston
3432,Houston
3433,Houston
3449,Houston
3450,Houston
3452,Houston
3457,Houston
3479,Houston
3482,Houston
3492,Houston
3500,Houston
3508,Houston
3509,Houston
3510,Houston
3512,Houston
3517,Houston
3518,Houston
3521,Houston
3530,Houston
3533,Houston
3542,Houston
3566,Houston
3567,Houston
3569,Houston
3572,Houston
3574,Houston
3579,Houston
3582,Houston
3584,Houston
3585,Houston
3591,Houston
3594,Houston
3596,Houston
3615,Houston
3623,Houston
3631,Houston
3637,Houston
3640,Houston
3645,Houston
3653,Houston
3654,Houston
3661,Houston
3723,Houston
3731,Houston
3732,Houston
3740,Houston
3746,Houston
3752,Houston
3763,Houston
3764,Houston
3773,Houston
3777,Houston
3778,Houston
3805,Houston
3823,Houston
3824,Houston
3826,Houston
3827,Houston
3828,Houston
3867,Houston
3870,Houston
3872,Houston
3886,Houston
3888,Houston
4046,Houston
4055,Houston
4056,Houston
4057,Houston
4102,Houston
4103,Houston
4104,Houston
4105,Houston
4108,Houston
4111,Houston
4112,Houston
4114,Houston
4115,Houston
4130,Houston
4131,Houston
4138,Houston
4139,Houston
4162,Houston
4163,Houston
4164,Houston
4165,Houston
4182,Houston
4183,Houston
4193,Houston
4194,Houston
4195,Houston
4196,Houston
4198,Houston
4201,Houston
4209,Houston
4215,Houston
4219,Houston
4240,Houston
4241,Houston
4279,Houston
4284,Houston
4288,Houston
4298,Houston
4299,Houston
4321,Houston
4322,Houston
4335,Houston
4341,Houston
4358,Houston
4366,Houston
4367,Houston
4371,Houston
4373,Houston
4375,Houston
4376,Houston
4377,Houston
4381,Houston
4390,Houston
4412,Houston
4415,Houston
4416,Houston
4453,Houston
4464,Houston
4465,Houston
4466,Houston
4468,Houston
4470,Houston
4471,Houston
4475,Houston
4478,Houston
4491,Houston
4503,Houston
4508,Houston
4509,Houston
4512,Houston
4516,Houston
4526,Houston
4538,Houston
4553,Houston
4554,Houston
4567,Houston
4579,Houston
4585,Houston
4590,Houston
4599,Houston
4600,Houston
4601,Houston
4605,Houston
4611,Houston
4615,Houston
4618,Houston
4625,Houston
4626,Houston
4627,Houston
4637,Houston
4639,Houston
4653,Houston
4655,Houston
4674,Houston
4676,Houston
4686,Houston
4734,Houston
4747,Houston
5003,Houston
5021,Houston
5033,Houston
5045,Houston
5049,Houston
5051,Houston
5071,Houston
5080,Houston
5091,Houston
5092,Houston
5093,Houston
5094,Houston
5108,Houston
5116,Houston
5123,Houston
5137,Houston
5141,Houston
5144,Houston
5145,Houston
5146,Houston
5147,Houston
5149,Houston
5155,Houston
5165,Houston
5170,Houston
5191,Houston
5204,Houston
5207,Houston
5210,Houston
5211,Houston
5216,Houston
5219,Houston
5224,Houston
5226,Houston
5232,Houston
5245,Houston
5246,Houston
5247,Houston
5260,Houston
5261,Houston
5286,Houston
5287,Houston
5288,Houston
5290,Houston
5307,Houston
5308,Houston
5311,Houston
5312,Houston
5314,Houston
5316,Houston
5317,Houston
5323,Houston
5334,Houston
5336,Houston
5341,Houston
5353,Houston
5359,Houston
5361,Houston
5364,Houston
5370,Houston
5388,Houston
5389,Houston
5416,Houston
5430,Houston
5441,Houston
5449,Houston
5458,Houston
5460,Houston
5479,Houston
5480,Houston
5490,Houston
5491,Houston
5492,Houston
5612,Houston
5613,Houston
5614,Houston
5624,Houston
5657,Houston
5672,Houston
5673,Houston
5675,Houston
5676,Houston
5692,Houston
5693,Houston
5700,Houston
5702,Houston
5707,Houston
5713,Houston
5715,Houston
5717,Houston
5726,Houston
5737,Houston
5738,Houston
5764,Houston
5782,Houston
5791,Houston
5805,Houston
5808,Houston
5809,Houston
5810,Houston
5823,Houston
5824,Houston
5828,Houston
5837,Houston
5840,Houston
5855,Houston
5863,Houston
5866,Houston
5889,Houston
5898,Houston
5947,Houston
5957,Houston
5959,Houston
5960,Houston
5962,Houston
5963,Houston
5987,Houston
5990,Houston
5991,Houston
6078,Houston
6098,Houston
6159,Houston
6170,Houston
6172,Houston
6286,Houston
6300,Houston
6392,Houston
6459,Houston
6467,Houston
6500,Houston
6578,Houston
6579,Houston
6585,Houston
6587,Houston
6786,Houston
6813,Houston
6850,Houston
6851,Houston
6898,Houston
6929,Houston
6942,Houston
6953,Houston
6960,Houston
6963,Houston
6966,Houston
6971,Houston
7129,Houston
7156,Houston
7178,Houston
7220,Houston
7224,Houston
7229,Houston
7232,Houston
7240,Houston
7242,Houston
7249,Houston
7251,Houston
7281,Houston
7294,Houston
7308,Houston
7309,Houston
7311,Houston
7326,Houston
7347,Houston
7349,Houston
7357,Houston
7361,Houston
7362,Houston
8930,Houston
