DC,Type,Sub Type,Qty,PO,Status
6072,Grocery,Full,55,4500753135,Feb. 2022
7010,Grocery,Mechanized,55,4500753135,Feb. 2022
6070,Regional,Door Per Store,11,Coming Soon,Coming Soon
6040,Regional,Batch,37,Coming Soon,Coming Soon
7012,Grocery,Full,38,Coming Soon,Coming Soon
6043,Regional,Door Per Store,40,Coming Soon,Coming Soon
6080,Regional,Door Per Store,41,Coming Soon,Coming Soon
6012,Regional,Batch,43,Coming Soon,Coming Soon
6030,Regional,Batch,43,Coming Soon,Coming Soon
6095,Grocery,Full,45,Coming Soon,Coming Soon
6097,Grocery,Full,45,Coming Soon,Coming Soon
7045,Regional,Door Per Store,45,Coming Soon,Coming Soon
6009,Regional,Door Per Store,46,Coming Soon,Coming Soon
7036,Regional,Door Per Store,46,Coming Soon,Coming Soon
6039,Regional,Batch,48,Coming Soon,Coming Soon
6020,Regional,Door Per Store,49,Coming Soon,Coming Soon
6031,Regional,Door Per Store,49,Coming Soon,Coming Soon
7019,Grocery,Mechanized,49,Coming Soon,Coming Soon
6016,Regional,Batch,50,Coming Soon,Coming Soon
6019,Regional,Batch,50,Coming Soon,Coming Soon
7026,Regional,Door Per Store,50,Coming Soon,Coming Soon
7035,Regional,Door Per Store,50,Coming Soon,Coming Soon
6023,Regional,Batch,51,Coming Soon,Coming Soon
6027,Regional,Door Per Store,51,Coming Soon,Coming Soon
6092,Regional,Door Per Store,52,Coming Soon,Coming Soon
6066,Regional,Door Per Store,54,Coming Soon,Coming Soon
6068,Regional,Door Per Store,54,Coming Soon,Coming Soon
6006,Regional,Batch,55,Coming Soon,Coming Soon
6025,Regional,Batch,55,Coming Soon,Coming Soon
6069,Regional,Door Per Store,55,Coming Soon,Coming Soon
6010,Regional,Batch,56,Coming Soon,Coming Soon
7042,Imports,Walmart Storage,57,Coming Soon,Coming Soon
6035,Regional,Batch,58,Coming Soon,Coming Soon
6054,Regional,Door Per Store,60,Coming Soon,Coming Soon
6024,Regional,Batch,61,Coming Soon,Coming Soon
7038,Regional,Door Per Store,64,Coming Soon,Coming Soon
6026,Regional,Batch,68,Coming Soon,Coming Soon
6011,Regional,Batch,Coming Soon,Coming Soon,Coming Soon
6017,Regional,Batch,Coming Soon,Coming Soon,Coming Soon
6018,Regional,Batch,Coming Soon,Coming Soon,Coming Soon
6021,Regional,Batch,Coming Soon,Coming Soon,Coming Soon
6036,Regional,Batch,Coming Soon,Coming Soon,Coming Soon
6037,Regional,Batch,Coming Soon,Coming Soon,Coming Soon
6048,Regional,Door Per Store,Coming Soon,Coming Soon,Coming Soon
6055,Grocery,Full,Coming Soon,Coming Soon,Coming Soon
6060,Imports,Walmart Storage,Coming Soon,Coming Soon,Coming Soon
6061,Imports,Walmart Storage,Coming Soon,Coming Soon,Coming Soon
6084,Grocery,Full,Coming Soon,Coming Soon,Coming Soon
6087,Regional,Puerto Rico,Coming Soon,Coming Soon,Coming Soon
6088,Imports,Walmart Storage,Coming Soon,Coming Soon,Coming Soon
6091,Grocery,Fresh,Coming Soon,Coming Soon,Coming Soon
6094,Regional,Door Per Store,Coming Soon,Coming Soon,Coming Soon
7033,Regional,Door Per Store,Coming Soon,Coming Soon,Coming Soon
7034,Regional,Door Per Store,Coming Soon,Coming Soon,Coming Soon
7039,Regional,Door Per Store,Coming Soon,Coming Soon,Coming Soon
7077,Grocery,Mechanized,Coming Soon,Coming Soon,Coming Soon
7078,Imports,Walmart Storage,Coming Soon,Coming Soon,Coming Soon
7084,Grocery,Perishable,Coming Soon,Coming Soon,Coming Soon
7085,Imports,3rd Party,Coming Soon,Coming Soon,Coming Soon
7086,Imports,3rd Party,Coming Soon,Coming Soon,Coming Soon
7089,Imports,3rd Party,Coming Soon,Coming Soon,Coming Soon
7092,Imports,Walmart Storage,Coming Soon,Coming Soon,Coming Soon
7093,Imports,3rd Party,Coming Soon,Coming Soon,Coming Soon
7094,Imports,3rd Party,Coming Soon,Coming Soon,Coming Soon
7095,Grocery,Imports,Coming Soon,Coming Soon,Coming Soon
9604,Imports,Frozen,Coming Soon,Coming Soon,Coming Soon
9631,Imports,Imports,Coming Soon,Coming Soon,Coming Soon
4867,Imports,Import,Coming Soon,Coming Soon,Coming Soon
