Store Nbr,EG Ship Qty,LoCo Ship Qty,Total Qty,,,,,,,
90,16,9,25,,,,,,,
91,16,0,16,,,,,,,
92,10,0,10,,,,,,,
93,0,9,9,,,,,,,
94,28,0,28,,,,,,,
95,6,9,15,,,,,,,
96,8,0,8,,,,,,,
97,10,0,10,,,,,,,
98,10,0,10,,,,,,,
99,6,9,15,,,,,,,
100,24,0,24,,,,,,,
101,16,0,16,,,,,,,
102,10,18,28,,,,,,,
103,16,0,16,,,,,,,
104,16,9,25,,,,,,,
105,16,9,25,,,,,,,
106,0,0,0,,,,,,,
107,0,0,0,,,,,,,
108,10,0,10,,,,,,,
109,8,0,8,,,,,,,
110,14,0,14,,,,,,,
111,8,9,17,,,,,,,
112,16,9,25,,,,,,,
113,8,18,26,,,,,,,
114,10,18,28,,,,,,,
115,12,18,30,,,,,,,
116,6,0,6,,,,,,,
117,6,0,6,,,,,,,
118,10,0,10,,,,,,,
119,20,9,29,,,,,,,
120,12,0,12,,,,,,,
121,10,0,10,,,,,,,
122,6,9,15,,,,,,,
123,6,9,15,,,,,,,
124,16,9,25,,,,,,,
125,8,9,17,,,,,,,
126,10,0,10,,,,,,,
127,16,0,16,,,,,,,
128,12,0,12,,,,,,,
129,28,0,28,,,,,,,
130,16,0,16,,,,,,,
131,20,0,20,,,,,,,
132,6,0,6,,,,,,,
133,6,0,6,,,,,,,
134,16,0,16,,,,,,,
135,8,9,17,,,,,,,
136,0,0,0,,,,,,,
137,6,0,6,,,,,,,
138,6,9,15,,,,,,,
139,6,0,6,,,,,,,
140,20,0,20,,,,,,,
141,20,0,20,,,,,,,
143,0,0,0,,,,,,,
144,16,0,16,,,,,,,
145,6,0,6,,,,,,,
146,16,0,16,,,,,,,
147,14,0,14,,,,,,,
148,28,0,28,,,,,,,
149,6,18,24,,,,,,,
150,10,0,10,,,,,,,
151,24,0,24,,,,,,,
152,16,9,25,,,,,,,
153,16,0,16,,,,,,,
154,0,9,9,,,,,,,
155,16,9,25,,,,,,,
157,40,0,40,,,,,,,
158,10,0,10,,,,,,,
159,6,18,24,,,,,,,
160,12,18,30,,,,,,,
161,8,0,8,,,,,,,
162,0,0,0,,,,,,,
163,20,0,20,,,,,,,
164,6,0,6,,,,,,,
165,10,0,10,,,,,,,
166,0,27,27,,,,,,,
167,6,0,6,,,,,,,
168,20,0,20,,,,,,,
169,12,0,12,,,,,,,
170,16,0,16,,,,,,,
171,10,0,10,,,,,,,
172,12,0,12,,,,,,,
173,0,9,9,,,,,,,
174,32,0,32,,,,,,,
175,16,0,16,,,,,,,
176,0,0,0,,,,,,,
177,12,18,30,,,,,,,
178,6,9,15,,,,,,,
179,12,0,12,,,,,,,
180,12,0,12,,,,,,,
181,10,0,10,,,,,,,
182,30,0,30,,,,,,,
183,6,0,6,,,,,,,
184,12,0,12,,,,,,,
185,24,0,24,,,,,,,
186,6,0,6,,,,,,,
188,16,0,16,,,,,,,
189,6,0,6,,,,,,,
190,16,0,16,,,,,,,
192,36,0,36,,,,,,,
194,10,0,10,,,,,,,
195,16,0,16,,,,,,,
196,0,0,0,,,,,,,
197,12,0,12,,,,,,,
199,0,9,9,,,,,,,
200,8,0,8,,,,,,,
201,24,0,24,,,,,,,
202,0,0,0,,,,,,,
203,20,0,20,,,,,,,
204,8,0,8,,,,,,,
205,12,0,12,,,,,,,
206,16,0,16,,,,,,,
207,6,0,6,,,,,,,
209,6,0,6,,,,,,,
210,8,0,8,,,,,,,
211,24,0,24,,,,,,,
212,8,18,26,,,,,,,
213,8,9,17,,,,,,,
214,20,0,20,,,,,,,
216,12,0,12,,,,,,,
217,12,0,12,,,,,,,
218,12,0,12,,,,,,,
219,12,0,12,,,,,,,
220,60,0,60,,,,,,,
221,8,9,17,,,,,,,
222,8,0,8,,,,,,,
224,8,0,8,,,,,,,
225,8,0,8,,,,,,,
226,12,0,12,,,,,,,
227,14,0,14,,,,,,,
228,28,0,28,,,,,,,
229,6,0,6,,,,,,,
230,0,9,9,,,,,,,
231,24,0,24,,,,,,,
232,10,0,10,,,,,,,
233,0,18,18,,,,,,,
234,16,0,16,,,,,,,
236,20,0,20,,,,,,,
237,6,0,6,,,,,,,
238,8,0,8,,,,,,,
239,20,0,20,,,,,,,
240,6,0,6,,,,,,,
242,10,0,10,,,,,,,
243,8,0,8,,,,,,,
244,6,0,6,,,,,,,
246,8,0,8,,,,,,,
247,6,0,6,,,,,,,
248,28,0,28,,,,,,,
249,20,0,20,,,,,,,
250,0,9,9,,,,,,,
251,32,0,32,,,,,,,
253,0,0,0,,,,,,,
254,0,27,27,,,,,,,
256,12,0,12,,,,,,,
257,8,9,17,,,,,,,
258,12,0,12,,,,,,,
259,16,0,16,,,,,,,
260,16,0,16,,,,,,,
261,20,0,20,,,,,,,
262,6,18,24,,,,,,,
264,50,0,50,,,,,,,
265,10,0,10,,,,,,,
266,8,0,8,,,,,,,
267,10,0,10,,,,,,,
268,12,0,12,,,,,,,
269,20,0,20,,,,,,,
271,8,0,8,,,,,,,
272,20,0,20,,,,,,,
273,6,0,6,,,,,,,
274,6,0,6,,,,,,,
275,24,0,24,,,,,,,
276,8,18,26,,,,,,,
277,12,0,12,,,,,,,
278,6,18,24,,,,,,,
279,6,9,15,,,,,,,
280,8,0,8,,,,,,,
281,24,0,24,,,,,,,
282,24,0,24,,,,,,,
283,6,0,6,,,,,,,
284,20,0,20,,,,,,,
285,12,0,12,,,,,,,
286,16,9,25,,,,,,,
287,24,0,24,,,,,,,
288,14,0,14,,,,,,,
289,0,0,0,,,,,,,
290,6,9,15,,,,,,,
292,10,18,28,,,,,,,
293,6,0,6,,,,,,,
294,6,18,24,,,,,,,
295,12,0,12,,,,,,,
296,12,0,12,,,,,,,
297,20,0,20,,,,,,,
298,16,9,25,,,,,,,
299,10,0,10,,,,,,,
300,6,0,6,,,,,,,
301,10,0,10,,,,,,,
302,0,0,0,,,,,,,
303,6,0,6,,,,,,,
304,16,0,16,,,,,,,
305,16,0,16,,,,,,,
306,8,18,26,,,,,,,
307,8,0,8,,,,,,,
308,24,0,24,,,,,,,
309,6,0,6,,,,,,,
310,6,0,6,,,,,,,
311,0,0,0,,,,,,,
312,0,0,0,,,,,,,
313,16,0,16,,,,,,,
314,12,0,12,,,,,,,
315,10,0,10,,,,,,,
316,6,18,24,,,,,,,
317,0,27,27,,,,,,,
318,16,0,16,,,,,,,
319,10,0,10,,,,,,,
320,6,0,6,,,,,,,
321,20,0,20,,,,,,,
322,20,0,20,,,,,,,
323,6,0,6,,,,,,,
324,6,0,6,,,,,,,
325,6,0,6,,,,,,,
326,6,0,6,,,,,,,
328,0,0,0,,,,,,,
329,16,0,16,,,,,,,
330,16,9,25,,,,,,,
331,20,0,20,,,,,,,
332,6,0,6,,,,,,,
333,6,0,6,,,,,,,
335,16,9,25,,,,,,,
336,12,0,12,,,,,,,
337,6,18,24,,,,,,,
338,6,0,6,,,,,,,
339,6,0,6,,,,,,,
340,12,0,12,,,,,,,
341,6,0,6,,,,,,,
342,6,0,6,,,,,,,
343,8,0,8,,,,,,,
344,6,0,6,,,,,,,
345,28,0,28,,,,,,,
346,12,0,12,,,,,,,
347,0,0,0,,,,,,,
348,40,0,40,,,,,,,
350,0,0,0,,,,,,,
351,0,0,0,,,,,,,
352,0,0,0,,,,,,,
353,16,0,16,,,,,,,
354,6,0,6,,,,,,,
355,14,0,14,,,,,,,
356,8,0,8,,,,,,,
357,10,0,10,,,,,,,
358,8,0,8,,,,,,,
359,14,0,14,,,,,,,
360,8,0,8,,,,,,,
361,10,0,10,,,,,,,
362,6,18,24,,,,,,,
363,8,9,17,,,,,,,
364,16,0,16,,,,,,,
365,10,0,10,,,,,,,
366,12,18,30,,,,,,,
368,6,0,6,,,,,,,
369,6,0,6,,,,,,,
370,6,0,6,,,,,,,
371,30,0,30,,,,,,,
372,6,0,6,,,,,,,
373,6,9,15,,,,,,,
374,6,18,24,,,,,,,
375,6,9,15,,,,,,,
376,16,0,16,,,,,,,
377,0,0,0,,,,,,,
378,0,9,9,,,,,,,
379,6,0,6,,,,,,,
381,36,0,36,,,,,,,
382,10,0,10,,,,,,,
383,12,0,12,,,,,,,
384,12,0,12,,,,,,,
385,8,0,8,,,,,,,
386,6,0,6,,,,,,,
387,6,0,6,,,,,,,
388,10,0,10,,,,,,,
389,12,0,12,,,,,,,
390,10,0,10,,,,,,,
391,16,9,25,,,,,,,
392,8,0,8,,,,,,,
393,20,0,20,,,,,,,
394,6,0,6,,,,,,,
395,6,0,6,,,,,,,
396,28,0,28,,,,,,,
397,0,0,0,,,,,,,
398,12,0,12,,,,,,,
399,24,0,24,,,,,,,
400,32,0,32,,,,,,,
401,10,0,10,,,,,,,
402,6,0,6,,,,,,,
403,8,9,17,,,,,,,
404,10,0,10,,,,,,,
405,28,0,28,,,,,,,
406,20,9,29,,,,,,,
407,64,0,64,,,,,,,
408,12,0,12,,,,,,,
409,6,18,24,,,,,,,
410,12,0,12,,,,,,,
411,0,0,0,,,,,,,
412,14,0,14,,,,,,,
413,6,0,6,,,,,,,
414,16,0,16,,,,,,,
415,8,0,8,,,,,,,
416,40,0,40,,,,,,,
417,20,0,20,,,,,,,
418,0,0,0,,,,,,,
419,8,0,8,,,,,,,
420,16,0,16,,,,,,,
421,44,0,44,,,,,,,
422,0,9,9,,,,,,,
423,28,0,28,,,,,,,
424,16,0,16,,,,,,,
425,6,0,6,,,,,,,
426,12,0,12,,,,,,,
427,24,0,24,,,,,,,
428,12,0,12,,,,,,,
429,6,0,6,,,,,,,
430,6,0,6,,,,,,,
431,12,18,30,,,,,,,
432,10,18,28,,,,,,,
433,16,0,16,,,,,,,
434,6,0,6,,,,,,,
435,6,9,15,,,,,,,
436,0,18,18,,,,,,,
437,10,0,10,,,,,,,
438,6,0,6,,,,,,,
440,10,0,10,,,,,,,
442,20,9,29,,,,,,,
443,8,0,8,,,,,,,
444,10,0,10,,,,,,,
445,24,0,24,,,,,,,
446,6,0,6,,,,,,,
447,28,0,28,,,,,,,
448,6,0,6,,,,,,,
449,0,0,0,,,,,,,
450,16,0,16,,,,,,,
451,6,18,24,,,,,,,
452,8,0,8,,,,,,,
453,8,9,17,,,,,,,
454,0,9,9,,,,,,,
456,6,18,24,,,,,,,
457,20,0,20,,,,,,,
458,16,0,16,,,,,,,
459,52,0,52,,,,,,,
461,0,0,0,,,,,,,
462,20,0,20,,,,,,,
463,20,0,20,,,,,,,
464,20,9,29,,,,,,,
465,24,0,24,,,,,,,
466,10,0,10,,,,,,,
467,10,0,10,,,,,,,
468,16,0,16,,,,,,,
469,16,0,16,,,,,,,
470,0,0,0,,,,,,,
471,20,0,20,,,,,,,
472,10,18,28,,,,,,,
473,0,0,0,,,,,,,
475,10,0,10,,,,,,,
476,20,0,20,,,,,,,
477,6,0,6,,,,,,,
478,6,0,6,,,,,,,
479,28,0,28,,,,,,,
481,6,0,6,,,,,,,
482,0,0,0,,,,,,,
483,20,0,20,,,,,,,
484,6,0,6,,,,,,,
485,10,0,10,,,,,,,
486,6,0,6,,,,,,,
488,18,0,18,,,,,,,
489,24,0,24,,,,,,,
490,6,0,6,,,,,,,
491,8,9,17,,,,,,,
492,0,0,0,,,,,,,
493,8,0,8,,,,,,,
494,36,0,36,,,,,,,
495,28,0,28,,,,,,,
497,6,0,6,,,,,,,
498,8,0,8,,,,,,,
499,0,27,27,,,,,,,
500,68,0,68,,,,,,,
501,24,0,24,,,,,,,
502,10,0,10,,,,,,,
503,6,0,6,,,,,,,
504,6,0,6,,,,,,,
505,28,0,28,,,,,,,
506,6,0,6,,,,,,,
507,12,0,12,,,,,,,
508,20,0,20,,,,,,,
510,14,0,14,,,,,,,
511,58,0,58,,,,,,,
512,36,0,36,,,,,,,
513,36,0,36,,,,,,,
514,18,0,18,,,,,,,
515,16,0,16,,,,,,,
516,30,0,30,,,,,,,
517,10,0,10,,,,,,,
518,24,0,24,,,,,,,
519,6,18,24,,,,,,,
520,52,0,52,,,,,,,
521,10,0,10,,,,,,,
522,28,0,28,,,,,,,
523,12,0,12,,,,,,,
524,12,18,30,,,,,,,
525,0,0,0,,,,,,,
526,10,18,28,,,,,,,
527,12,0,12,,,,,,,
528,32,0,32,,,,,,,
529,16,0,16,,,,,,,
530,20,0,20,,,,,,,
531,6,0,6,,,,,,,
532,20,0,20,,,,,,,
533,8,0,8,,,,,,,
535,28,0,28,,,,,,,
536,24,0,24,,,,,,,
537,86,0,86,,,,,,,
538,20,0,20,,,,,,,
539,16,0,16,,,,,,,
540,8,0,8,,,,,,,
541,20,0,20,,,,,,,
542,6,0,6,,,,,,,
543,6,0,6,,,,,,,
544,12,0,12,,,,,,,
545,6,0,6,,,,,,,
546,16,0,16,,,,,,,
547,52,0,52,,,,,,,
548,28,0,28,,,,,,,
549,52,0,52,,,,,,,
550,0,0,0,,,,,,,
551,60,0,60,,,,,,,
552,0,0,0,,,,,,,
553,8,0,8,,,,,,,
554,8,0,8,,,,,,,
555,72,0,72,,,,,,,
556,36,0,36,,,,,,,
557,12,0,12,,,,,,,
558,16,9,25,,,,,,,
559,0,0,0,,,,,,,
560,16,0,16,,,,,,,
561,12,0,12,,,,,,,
562,6,0,6,,,,,,,
563,24,0,24,,,,,,,
564,16,0,16,,,,,,,
565,24,0,24,,,,,,,
566,0,0,0,,,,,,,
567,8,0,8,,,,,,,
568,6,9,15,,,,,,,
569,16,9,25,,,,,,,
571,20,0,20,,,,,,,
572,16,0,16,,,,,,,
573,10,0,10,,,,,,,
574,40,0,40,,,,,,,
575,24,0,24,,,,,,,
576,6,0,6,,,,,,,
577,6,0,6,,,,,,,
578,26,0,26,,,,,,,
579,32,0,32,,,,,,,
580,16,0,16,,,,,,,
581,0,0,0,,,,,,,
582,18,0,18,,,,,,,
583,8,0,8,,,,,,,
584,12,0,12,,,,,,,
585,24,0,24,,,,,,,
586,128,0,128,,,,,,,
587,12,0,12,,,,,,,
588,44,0,44,,,,,,,
589,12,18,30,,,,,,,
590,10,0,10,,,,,,,
591,12,0,12,,,,,,,
592,16,0,16,,,,,,,
593,44,0,44,,,,,,,
594,48,0,48,,,,,,,
595,20,0,20,,,,,,,
596,0,0,0,,,,,,,
598,10,18,28,,,,,,,
599,16,9,25,,,,,,,
600,24,0,24,,,,,,,
601,24,0,24,,,,,,,
602,6,0,6,,,,,,,
603,8,18,26,,,,,,,
604,24,0,24,,,,,,,
605,48,0,48,,,,,,,
606,10,0,10,,,,,,,
607,6,0,6,,,,,,,
608,36,0,36,,,,,,,
609,0,0,0,,,,,,,
610,28,0,28,,,,,,,
611,32,0,32,,,,,,,
612,0,0,0,,,,,,,
613,16,0,16,,,,,,,
614,18,9,27,,,,,,,
615,22,0,22,,,,,,,
616,72,0,72,,,,,,,
617,6,0,6,,,,,,,
618,40,0,40,,,,,,,
619,12,0,12,,,,,,,
620,6,0,6,,,,,,,
621,24,0,24,,,,,,,
622,12,18,30,,,,,,,
623,52,0,52,,,,,,,
624,50,0,50,,,,,,,
625,100,0,100,,,,,,,
626,8,0,8,,,,,,,
627,32,0,32,,,,,,,
628,72,0,72,,,,,,,
629,16,0,16,,,,,,,
630,46,0,46,,,,,,,
631,40,0,40,,,,,,,
632,18,0,18,,,,,,,
633,6,0,6,,,,,,,
634,38,0,38,,,,,,,
635,40,0,40,,,,,,,
636,0,0,0,,,,,,,
637,6,0,6,,,,,,,
638,24,0,24,,,,,,,
639,32,0,32,,,,,,,
640,32,0,32,,,,,,,
641,12,0,12,,,,,,,
642,12,18,30,,,,,,,
643,12,0,12,,,,,,,
644,18,0,18,,,,,,,
645,8,0,8,,,,,,,
647,0,0,0,,,,,,,
648,12,0,12,,,,,,,
649,50,0,50,,,,,,,
651,16,9,25,,,,,,,
652,12,0,12,,,,,,,
653,28,0,28,,,,,,,
655,12,0,12,,,,,,,
656,28,0,28,,,,,,,
657,20,0,20,,,,,,,
658,16,0,16,,,,,,,
659,20,0,20,,,,,,,
660,8,0,8,,,,,,,
661,12,18,30,,,,,,,
662,12,18,30,,,,,,,
663,14,0,14,,,,,,,
664,10,9,19,,,,,,,
665,16,9,25,,,,,,,
666,40,0,40,,,,,,,
667,20,0,20,,,,,,,
668,12,0,12,,,,,,,
669,16,0,16,,,,,,,
670,40,0,40,,,,,,,
671,30,0,30,,,,,,,
672,10,0,10,,,,,,,
673,40,0,40,,,,,,,
674,28,0,28,,,,,,,
675,6,9,15,,,,,,,
676,8,9,17,,,,,,,
677,28,0,28,,,,,,,
678,12,18,30,,,,,,,
680,12,0,12,,,,,,,
681,20,0,20,,,,,,,
682,20,0,20,,,,,,,
683,16,0,16,,,,,,,
684,30,0,30,,,,,,,
685,14,0,14,,,,,,,
686,12,18,30,,,,,,,
687,12,0,12,,,,,,,
688,16,0,16,,,,,,,
689,32,0,32,,,,,,,
690,8,9,17,,,,,,,
691,20,0,20,,,,,,,
692,20,0,20,,,,,,,
693,0,9,9,,,,,,,
694,0,27,27,,,,,,,
695,20,0,20,,,,,,,
696,0,9,9,,,,,,,
697,32,0,32,,,,,,,
698,20,0,20,,,,,,,
699,12,0,12,,,,,,,
700,24,0,24,,,,,,,
701,6,9,15,,,,,,,
702,12,0,12,,,,,,,
703,16,0,16,,,,,,,
705,52,0,52,,,,,,,
706,60,0,60,,,,,,,
707,6,18,24,,,,,,,
708,40,0,40,,,,,,,
709,16,9,25,,,,,,,
710,16,0,16,,,,,,,
711,16,0,16,,,,,,,
712,16,0,16,,,,,,,
713,6,0,6,,,,,,,
714,10,0,10,,,,,,,
715,20,9,29,,,,,,,
716,8,18,26,,,,,,,
718,24,0,24,,,,,,,
719,16,0,16,,,,,,,
720,12,0,12,,,,,,,
721,32,0,32,,,,,,,
722,36,0,36,,,,,,,
723,28,0,28,,,,,,,
724,12,0,12,,,,,,,
725,32,0,32,,,,,,,
726,22,0,22,,,,,,,
727,8,0,8,,,,,,,
728,14,0,14,,,,,,,
729,16,0,16,,,,,,,
730,16,0,16,,,,,,,
731,16,0,16,,,,,,,
733,12,0,12,,,,,,,
734,36,0,36,,,,,,,
735,24,0,24,,,,,,,
736,20,0,20,,,,,,,
737,12,0,12,,,,,,,
738,16,0,16,,,,,,,
739,16,0,16,,,,,,,
740,6,0,6,,,,,,,
741,12,0,12,,,,,,,
742,10,18,28,,,,,,,
743,24,0,24,,,,,,,
744,20,0,20,,,,,,,
745,40,0,40,,,,,,,
746,10,18,28,,,,,,,
748,6,0,6,,,,,,,
750,0,0,0,,,,,,,
751,0,0,0,,,,,,,
752,28,0,28,,,,,,,
753,6,0,6,,,,,,,
754,52,0,52,,,,,,,
755,16,0,16,,,,,,,
756,16,0,16,,,,,,,
757,24,0,24,,,,,,,
758,28,0,28,,,,,,,
759,32,0,32,,,,,,,
760,0,0,0,,,,,,,
761,6,9,15,,,,,,,
762,20,0,20,,,,,,,
764,24,0,24,,,,,,,
765,16,0,16,,,,,,,
766,8,0,8,,,,,,,
767,52,0,52,,,,,,,
768,20,0,20,,,,,,,
769,14,0,14,,,,,,,
770,10,9,19,,,,,,,
771,28,0,28,,,,,,,
772,8,0,8,,,,,,,
773,8,0,8,,,,,,,
774,6,0,6,,,,,,,
775,8,0,8,,,,,,,
776,8,0,8,,,,,,,
777,24,0,24,,,,,,,
778,12,18,30,,,,,,,
779,28,0,28,,,,,,,
780,44,0,44,,,,,,,
781,20,0,20,,,,,,,
782,6,9,15,,,,,,,
783,0,0,0,,,,,,,
784,0,0,0,,,,,,,
785,12,18,30,,,,,,,
786,6,9,15,,,,,,,
787,32,0,32,,,,,,,
788,6,9,15,,,,,,,
789,30,0,30,,,,,,,
790,6,0,6,,,,,,,
791,24,0,24,,,,,,,
793,0,0,0,,,,,,,
794,10,0,10,,,,,,,
795,36,0,36,,,,,,,
796,8,9,17,,,,,,,
797,6,9,15,,,,,,,
798,0,0,0,,,,,,,
799,24,0,24,,,,,,,
800,24,0,24,,,,,,,
801,6,0,6,,,,,,,
802,0,0,0,,,,,,,
803,16,9,25,,,,,,,
804,20,0,20,,,,,,,
805,0,0,0,,,,,,,
806,28,0,28,,,,,,,
807,12,0,12,,,,,,,
808,16,0,16,,,,,,,
809,28,0,28,,,,,,,
810,6,9,15,,,,,,,
811,32,0,32,,,,,,,
812,8,0,8,,,,,,,
813,28,0,28,,,,,,,
814,32,0,32,,,,,,,
815,8,0,8,,,,,,,
816,20,0,20,,,,,,,
817,16,0,16,,,,,,,
818,14,0,14,,,,,,,
819,32,0,32,,,,,,,
820,6,0,6,,,,,,,
821,24,0,24,,,,,,,
822,20,0,20,,,,,,,
823,10,0,10,,,,,,,
824,8,0,8,,,,,,,
825,6,9,15,,,,,,,
826,36,0,36,,,,,,,
827,20,0,20,,,,,,,
828,8,18,26,,,,,,,
829,6,0,6,,,,,,,
830,0,0,0,,,,,,,
833,0,9,9,,,,,,,
834,8,0,8,,,,,,,
835,10,0,10,,,,,,,
836,32,0,32,,,,,,,
837,0,0,0,,,,,,,
838,16,0,16,,,,,,,
839,16,0,16,,,,,,,
840,0,0,0,,,,,,,
841,0,0,0,,,,,,,
842,16,0,16,,,,,,,
843,12,0,12,,,,,,,
844,16,0,16,,,,,,,
845,0,9,9,,,,,,,
846,6,0,6,,,,,,,
848,36,0,36,,,,,,,
849,28,0,28,,,,,,,
850,12,0,12,,,,,,,
851,12,0,12,,,,,,,
852,6,0,6,,,,,,,
853,28,0,28,,,,,,,
854,6,0,6,,,,,,,
855,20,0,20,,,,,,,
856,28,0,28,,,,,,,
857,24,0,24,,,,,,,
858,14,0,14,,,,,,,
859,12,0,12,,,,,,,
860,32,0,32,,,,,,,
861,14,0,14,,,,,,,
862,130,0,130,,,,,,,
863,14,0,14,,,,,,,
864,52,0,52,,,,,,,
865,36,0,36,,,,,,,
866,28,0,28,,,,,,,
867,8,0,8,,,,,,,
868,24,0,24,,,,,,,
869,12,0,12,,,,,,,
870,6,0,6,,,,,,,
871,6,0,6,,,,,,,
872,14,0,14,,,,,,,
873,6,0,6,,,,,,,
874,16,0,16,,,,,,,
875,10,0,10,,,,,,,
876,12,0,12,,,,,,,
877,42,0,42,,,,,,,
878,16,0,16,,,,,,,
879,30,0,30,,,,,,,
880,8,0,8,,,,,,,
881,26,0,26,,,,,,,
884,8,18,26,,,,,,,
885,0,0,0,,,,,,,
886,6,0,6,,,,,,,
887,12,0,12,,,,,,,
888,6,0,6,,,,,,,
889,32,0,32,,,,,,,
890,36,0,36,,,,,,,
891,6,18,24,,,,,,,
892,8,0,8,,,,,,,
893,0,0,0,,,,,,,
894,8,0,8,,,,,,,
895,0,18,18,,,,,,,
896,44,0,44,,,,,,,
897,12,0,12,,,,,,,
898,6,0,6,,,,,,,
899,32,0,32,,,,,,,
900,8,0,8,,,,,,,
901,24,0,24,,,,,,,
902,12,0,12,,,,,,,
903,20,0,20,,,,,,,
904,16,0,16,,,,,,,
905,16,0,16,,,,,,,
906,8,0,8,,,,,,,
907,24,0,24,,,,,,,
908,20,0,20,,,,,,,
909,6,0,6,,,,,,,
910,8,9,17,,,,,,,
911,16,0,16,,,,,,,
912,0,0,0,,,,,,,
914,10,9,19,,,,,,,
915,10,0,10,,,,,,,
916,20,0,20,,,,,,,
917,6,0,6,,,,,,,
918,16,9,25,,,,,,,
919,52,0,52,,,,,,,
920,0,0,0,,,,,,,
921,8,9,17,,,,,,,
922,16,0,16,,,,,,,
923,16,0,16,,,,,,,
924,8,18,26,,,,,,,
925,16,0,16,,,,,,,
927,6,0,6,,,,,,,
928,12,0,12,,,,,,,
929,60,0,60,,,,,,,
930,44,0,44,,,,,,,
931,32,0,32,,,,,,,
932,50,0,50,,,,,,,
933,6,0,6,,,,,,,
934,16,0,16,,,,,,,
935,0,18,18,,,,,,,
936,0,0,0,,,,,,,
937,24,0,24,,,,,,,
938,20,0,20,,,,,,,
939,8,0,8,,,,,,,
940,20,0,20,,,,,,,
941,44,0,44,,,,,,,
942,52,0,52,,,,,,,
943,24,0,24,,,,,,,
944,28,0,28,,,,,,,
945,16,0,16,,,,,,,
947,16,0,16,,,,,,,
948,6,0,6,,,,,,,
950,24,0,24,,,,,,,
951,6,0,6,,,,,,,
952,24,0,24,,,,,,,
953,16,0,16,,,,,,,
954,12,0,12,,,,,,,
955,64,0,64,,,,,,,
956,6,0,6,,,,,,,
957,0,0,0,,,,,,,
958,0,0,0,,,,,,,
959,20,0,20,,,,,,,
960,16,0,16,,,,,,,
961,16,0,16,,,,,,,
962,6,0,6,,,,,,,
963,24,0,24,,,,,,,
964,32,0,32,,,,,,,
965,6,0,6,,,,,,,
966,20,0,20,,,,,,,
967,32,0,32,,,,,,,
968,28,0,28,,,,,,,
969,20,0,20,,,,,,,
970,20,0,20,,,,,,,
971,0,0,0,,,,,,,
972,28,0,28,,,,,,,
973,40,0,40,,,,,,,
974,24,0,24,,,,,,,
975,20,0,20,,,,,,,
976,10,0,10,,,,,,,
977,6,0,6,,,,,,,
978,0,0,0,,,,,,,
980,44,0,44,,,,,,,
981,24,0,24,,,,,,,
982,0,0,0,,,,,,,
984,20,9,29,,,,,,,
985,6,0,6,,,,,,,
986,6,0,6,,,,,,,
987,12,0,12,,,,,,,
