Store,Dept,Inventory Dollars,Format
330,80,8691.44,WM Supercenter
331,80,9984.33,WM Supercenter
332,80,17817.81,WM Supercenter
333,80,15352.71,WM Supercenter
334,80,9255.5,WM Supercenter
335,80,8095.4,WM Supercenter
336,80,9046.23,WM Supercenter
337,80,8490.49,WM Supercenter
338,80,10990.27,WM Supercenter
340,80,13860.88,WM Supercenter
341,80,8352.26,WM Supercenter
342,80,9765.97,WM Supercenter
343,80,16012.65,WM Supercenter
344,80,6818.83,WM Supercenter
345,80,11541.13,WM Supercenter
346,80,6157.02,WM Supercenter
347,80,10660.22,WM Supercenter
348,80,12384.4,WM Supercenter
350,80,14986.88,WM Supercenter
351,80,33276.11,WM Supercenter
353,80,10777.07,WM Supercenter
354,80,11218.84,WM Supercenter
355,80,7358.48,WM Supercenter
356,80,18064.02,WM Supercenter
357,80,12917.89,WM Supercenter
358,80,10435.2,WM Supercenter
359,80,20142.37,WM Supercenter
360,80,13942.5,WM Supercenter
361,80,24622.4,WM Supercenter
362,80,10186.74,WM Supercenter
363,80,11571.78,WM Supercenter
364,80,10760.32,WM Supercenter
365,80,18429.26,WM Supercenter
366,80,15831.06,WM Supercenter
368,80,12793.92,WM Supercenter
369,80,11907.28,WM Supercenter
370,80,8543.67,WM Supercenter
371,80,16646.83,WM Supercenter
372,80,17511.99,WM Supercenter
373,80,3789.43,WM Supercenter
374,80,12231.08,WM Supercenter
375,80,16758.46,WM Supercenter
376,80,16559.86,WM Supercenter
377,80,6565.97,Neighborhood Market
378,80,9111.03,WM Supercenter
379,80,14620.57,WM Supercenter
381,80,13485.45,WM Supercenter
382,80,15278.77,WM Supercenter
383,80,14623.25,WM Supercenter
384,80,14904.65,WM Supercenter
386,80,12508.35,WM Supercenter
387,80,10546.18,WM Supercenter
388,80,12237.25,WM Supercenter
389,80,17758.91,WM Supercenter
390,80,8352.72,WM Supercenter
391,80,11523.8,WM Supercenter
392,80,11769.36,WM Supercenter
393,80,14089.46,WM Supercenter
394,80,14314.73,WM Supercenter
395,80,10955.36,WM Supercenter
396,80,16308.89,WM Supercenter
397,80,11903.33,WM Supercenter
398,80,12158.46,WM Supercenter
399,80,9915.56,WM Supercenter
400,80,15901.19,WM Supercenter
401,80,8916.51,WM Supercenter
402,80,29548.93,WM Supercenter
403,80,15181.31,WM Supercenter
404,80,12717.91,WM Supercenter
405,80,22676.56,WM Supercenter
406,80,14477.02,WM Supercenter
407,80,22161.53,WM Supercenter
408,80,25403.66,WM Supercenter
409,80,2125.38,WM Supercenter
410,80,24168.66,WM Supercenter
412,80,12559.32,WM Supercenter
413,80,8979.54,WM Supercenter
414,80,16965.81,WM Supercenter
415,80,10370.86,WM Supercenter
416,80,13230.09,WM Supercenter
417,80,14590.67,WM Supercenter
418,80,12506.3,WM Supercenter
419,80,11996.17,WM Supercenter
420,80,13909.21,WM Supercenter
421,80,9173.41,WM Supercenter
422,80,11415.63,WM Supercenter
423,80,15147.92,WM Supercenter
424,80,15665.43,WM Supercenter
425,80,11009.9,WM Supercenter
426,80,14420.03,WM Supercenter
427,80,22133.27,WM Supercenter
428,80,13576.42,WM Supercenter
429,80,11036.43,WM Supercenter
430,80,16878.76,WM Supercenter
431,80,15758.6,WM Supercenter
432,80,14394.93,WM Supercenter
433,80,19923.6,WM Supercenter
434,80,9515.56,WM Supercenter
435,80,16570.3,WM Supercenter
436,80,11729.91,WM Supercenter
437,80,10779.62,WM Supercenter
438,80,2796.21,WM Supercenter
440,80,10109.54,WM Supercenter
442,80,8481.98,WM Supercenter
443,80,9188.51,WM Supercenter
444,80,21038.83,WM Supercenter
445,80,33948.44,WM Supercenter
447,80,10656.67,WM Supercenter
448,80,31026.59,WM Supercenter
449,80,15779.55,WM Supercenter
450,80,13472.5,WM Supercenter
451,80,8636.95,WM Supercenter
452,80,20791.13,WM Supercenter
454,80,8048.54,WM Supercenter
456,80,11234.91,WM Supercenter
457,80,19342.08,WM Supercenter
458,80,7479.48,WM Supercenter
459,80,13892.21,WM Supercenter
461,80,8780.24,WM Supercenter
462,80,15001.49,WM Supercenter
463,80,11220.07,WM Supercenter
464,80,8686.37,WM Supercenter
465,80,8129.97,WM Supercenter
466,80,13791.68,WM Supercenter
467,80,16330.59,WM Supercenter
468,80,10626.68,WM Supercenter
469,80,16138.03,WM Supercenter
470,80,9414.39,WM Supercenter
471,80,17775.48,WM Supercenter
472,80,15227.92,WM Supercenter
475,80,11091.84,WM Supercenter
476,80,8614.77,WM Supercenter
477,80,16397.68,WM Supercenter
479,80,11085.37,WM Supercenter
481,80,23912.13,WM Supercenter
483,80,17348.14,WM Supercenter
484,80,16595.45,WM Supercenter
485,80,13315.76,WM Supercenter
486,80,15781.04,WM Supercenter
488,80,8540.01,WM Supercenter
489,80,14877.9,WM Supercenter
