Store,City,State,Next Major Touch Program Year,Projected Possession Date
554,LAREDO,TX,2024,4/8/2024
561,EASTLAND,TX,2024,7/15/2024
564,OKLAHOMA CITY,OK,2024,3/4/2024
568,CARTHAGE,TN,2024,1/15/2024
572,KILGORE,TX,2024,7/8/2024
583,ONEIDA,TN,2024,5/20/2024
587,SPARTA,TN,2024,7/15/2024
599,KINGSPORT,TN,2024,7/15/2024
600,PAMPA,TX,2024,7/29/2024
606,SAVANNAH,GA,2024,6/24/2024
612,CHARLESTON,IL,2024,5/6/2024
623,NORTH FORT MYERS,FL,2024,7/29/2024
624,NEWBERRY,SC,2024,4/1/2024
631,EASLEY,SC,2024,5/27/2024
640,GREENVILLE,SC,2024,1/15/2024
643,MYRTLE BEACH,SC,2024,1/8/2024
644,ANDERSON,SC,2024,7/15/2024
657,COOKEVILLE,TN,2024,5/6/2024
663,ATHENS,TN,2024,6/3/2024
666,SEBRING,FL,2024,7/15/2024
667,TULLAHOMA,TN,2024,7/22/2024
676,ROCKWOOD,TN,2024,7/15/2024
681,GUNTERSVILLE,AL,2024,1/8/2024
690,ELIZABETHTON,TN,2024,3/18/2024
695,MADISON,TN,2024,7/29/2024
703,TOMBALL,TX,2024,5/6/2024
707,CLARKSDALE,MS,2024,6/24/2024
710,HERMITAGE,TN,2024,1/15/2024
712,SCOTTSBORO,AL,2024,1/29/2024
714,HELENA-WEST HELENA,AR,2024,7/15/2024
726,ALEXANDER CITY,AL,2024,1/22/2024
736,RUSSELLVILLE,KY,2024,4/1/2024
737,LEWISBURG,TN,2024,7/8/2024
741,LENOIR CITY,TN,2024,3/11/2024
748,NEWTON,IA,2024,7/8/2024
754,STATESBORO,GA,2024,3/25/2024
764,BESSEMER,AL,2024,3/11/2024
765,SAN ANTONIO,TX,2024,1/29/2024
768,KATY,TX,2024,1/15/2024
771,MERRITT ISLAND,FL,2024,6/24/2024
772,HOUSTON,TX,2024,1/15/2024
773,EUNICE,LA,2024,7/15/2024
793,CANYON,TX,2024,4/22/2024
795,BARNWELL,SC,2024,7/22/2024
797,WEST BURLINGTON,IA,2024,7/15/2024
798,MARSHALL,IL,2024,2/19/2024
808,LAKE JACKSON,TX,2024,1/29/2024
811,ARCADIA,FL,2024,7/15/2024
813,BROWNWOOD,TX,2024,3/4/2024
816,BROOKHAVEN,MS,2024,7/29/2024
821,CLOVIS,NM,2024,1/29/2024
822,AMARILLO,TX,2024,1/8/2024
833,CARMI,IL,2024,1/8/2024
834,BETHANY,MO,2024,1/22/2024
868,CARLSBAD,NM,2024,2/5/2024
875,RIDGELAND,MS,2024,3/4/2024
903,JACKSON,MS,2024,7/22/2024
911,MARRERO,LA,2024,2/12/2024
916,HATTIESBURG,MS,2024,2/26/2024
920,WARNER ROBINS,GA,2024,3/4/2024
944,CRESTVIEW,FL,2024,4/15/2024
962,TRINIDAD,CO,2024,3/11/2024
971,VIROQUA,WI,2024,1/29/2024
982,OWATONNA,MN,2024,5/13/2024
995,FRANKLIN,IN,2024,3/18/2024
999,SAN ANTONIO,TX,2024,7/22/2024
1000,BROWNSVILLE,TX,2024,4/8/2024
1005,WAVERLY,IA,2024,5/13/2024
1007,RICHLAND CENTER,WI,2024,5/13/2024
1008,LOVELAND,CO,2024,1/22/2024
1014,INDEPENDENCE,MO,2024,5/27/2024
1017,MANNING,SC,2024,7/29/2024
1032,LYNN HAVEN,FL,2024,7/8/2024
1038,WASECA,MN,2024,1/29/2024
1044,TYLER,TX,2024,6/3/2024
1045,LAFAYETTE,CO,2024,3/18/2024
1051,LEVELLAND,TX,2024,4/15/2024
1052,FAYETTE,AL,2024,7/8/2024
1062,FRIENDSWOOD,TX,2024,7/15/2024
1066,PASCAGOULA,MS,2024,3/18/2024
1073,LAMPASAS,TX,2024,7/22/2024
1084,ORLANDO,FL,2024,1/29/2024
1094,RAYTOWN,MO,2024,3/4/2024
1106,VIDALIA,LA,2024,6/10/2024
1113,LONDON,KY,2024,4/22/2024
1115,HOHENWALD,TN,2024,1/22/2024
1120,GLADSTONE,MO,2024,3/11/2024
1121,MILLEDGEVILLE,GA,2024,2/5/2024
1122,EASTANOLLEE,GA,2024,6/10/2024
1124,HARTSELLE,AL,2024,5/6/2024
1126,BOERNE,TX,2024,7/29/2024
1137,HOUSTON,TX,2024,7/15/2024
1142,SCOTTSBURG,IN,2024,1/8/2024
1144,YORK,SC,2024,6/12/2023
1146,MONCKS CORNER,SC,2024,2/26/2024
1150,COLLEGE STATION,TX,2024,2/19/2024
1151,KANSAS CITY,KS,2024,2/19/2024
1152,SIOUX CENTER,IA,2024,1/29/2024
1154,FREDERICKSBURG,TX,2024,7/29/2024
1156,MOORESVILLE,NC,2024,8/5/2024
1163,NEW ORLEANS,LA,2024,3/18/2024
1171,SARASOTA,FL,2024,3/11/2024
1172,JACKSONVILLE,FL,2024,1/29/2024
1179,ARDEN,NC,2024,3/4/2024
1192,MAGEE,MS,2024,1/15/2024
1193,MONROE,LA,2024,7/22/2024
1196,NEW ROADS,LA,2024,6/3/2024
1202,WISCONSIN RAPIDS,WI,2024,5/13/2024
1204,LAKE CHARLES,LA,2024,2/12/2024
1223,TALLAHASSEE,FL,2024,6/24/2024
1229,HOOVER,AL,2024,1/8/2024
1236,GOLDSBORO,NC,2024,2/26/2024
1237,ERWIN,NC,2024,5/27/2024
1247,HAZARD,KY,2024,7/1/2024
1252,HIGHLANDS RANCH,CO,2024,1/15/2024
1259,CORBIN,KY,2024,7/15/2024
1263,EVANSVILLE,IN,2024,6/17/2024
1272,SNYDER,TX,2024,5/6/2024
1277,BLACK RIVER FALLS,WI,2024,1/22/2024
1282,CONCORDIA,KS,2024,7/15/2024
1288,ROXBORO,NC,2024,5/20/2024
1316,STURGEON BAY,WI,2024,1/22/2024
1317,ASHEVILLE,NC,2024,7/1/2024
1318,KNOXVILLE,TN,2024,1/8/2024
1328,WINSLOW,AZ,2024,7/15/2024
1329,LOGANSPORT,IN,2024,6/17/2024
1337,ELKIN,NC,2024,4/22/2024
1352,WALLACE,NC,2024,7/8/2024
1358,WALTERBORO,SC,2024,7/29/2024
1366,MERRILL,WI,2024,1/29/2024
1379,GREENVILLE,NC,2024,1/29/2024
1383,BEAUFORT,SC,2024,7/15/2024
1424,COLONIAL HEIGHTS,VA,2024,5/27/2024
1426,ASHLAND,KY,2024,7/8/2024
1428,MOUNT PLEASANT,MI,2024,7/15/2024
1437,GUYMON,OK,2024,7/8/2024
1473,MANKATO,MN,2024,1/15/2024
1481,HOMEWOOD,AL,2024,1/8/2024
1486,FARMVILLE,VA,2024,5/6/2024
1509,MAQUOKETA,IA,2024,3/18/2024
1512,CHANDLER,AZ,2024,1/29/2024
1523,GLEN ALLEN,VA,2024,1/15/2024
1524,CHESTER,VA,2024,7/15/2024
1540,SOUTH HAVEN,MI,2024,1/22/2024
1546,IOWA FALLS,IA,2024,2/19/2024
1567,DICKINSON,ND,2024,4/29/2024
1569,MAYSVILLE,KY,2024,7/8/2024
1583,MADERA,CA,2024,7/29/2024
1593,COLDWATER,MI,2024,1/8/2024
1599,OVERLAND PARK,KS,2024,6/17/2024
1601,CARMEL,IN,2024,1/22/2024
1603,CHESTER,SC,2024,7/22/2024
1618,MERRILLVILLE,IN,2024,1/15/2024
1621,CENTERVILLE,IA,2024,5/6/2024
1623,WILKES BARRE,PA,2024,1/15/2024
1630,YREKA,CA,2024,5/13/2024
1631,HAMPTON,VA,2024,5/20/2024
1635,WAUKESHA,WI,2024,1/8/2024
1638,EUFAULA,AL,2024,5/13/2024
1641,WILLIAMSTON,NC,2024,4/1/2024
1646,MESA,AZ,2024,7/15/2024
1652,DUBLIN,VA,2024,3/11/2024
1658,THOMSON,GA,2024,5/13/2024
1672,ASHLAND,WI,2024,1/29/2024
1688,VIRGINIA BEACH,VA,2024,5/27/2024
1689,AURORA,CO,2024,1/8/2024
1693,REDLANDS,CA,2024,6/24/2024
1694,MARION,NC,2024,4/15/2024
1696,FERGUS FALLS,MN,2024,7/15/2024
1699,LAYTON,UT,2024,3/25/2024
1701,ELBERTON,GA,2024,5/27/2024
1703,MARTINSBURG,WV,2024,3/4/2024
1708,RIVERDALE,UT,2024,7/15/2024
1711,BIRMINGHAM,AL,2024,7/8/2024
1734,CHAMPAIGN,IL,2024,2/12/2024
1747,PERRIS,CA,2024,2/26/2024
1755,ROHNERT PARK,CA,2024,5/13/2024
1780,CHARLOTTESVILLE,VA,2024,6/10/2024
1787,CARROLL,IA,2024,1/22/2024
1803,SAN ANTONIO,TX,2024,7/29/2024
1805,LA QUINTA,CA,2024,7/15/2024
1811,NORFOLK,VA,2024,1/29/2024
1816,KNIGHTDALE,NC,2024,1/8/2024
1831,LIVERPOOL,NY,2024,6/17/2024
1849,WINSTON SALEM,NC,2024,2/12/2024
1851,NORTH LAUDERDALE,FL,2024,8/12/2024
1855,EDEN PRAIRIE,MN,2024,5/13/2024
1858,MONTEVIDEO,MN,2024,5/6/2024
1872,HELENA,MT,2024,7/8/2024
1885,BUTLER,PA,2024,1/29/2024
1890,SALISBURY,MD,2024,4/29/2024
1896,COLORADO SPRINGS,CO,2024,4/8/2024
1910,CRESCENT CITY,CA,2024,1/22/2024
1912,CORONA,CA,2024,5/22/2023
1923,COMSTOCK PARK,MI,2024,5/20/2024
1926,OSWEGO,NY,2024,7/15/2024
1936,SAULT SAINTE MARIE,MI,2024,5/6/2024
1953,LOUISBURG,NC,2024,6/10/2024
1959,MIDDLETOWN,NY,2024,5/6/2024
1969,MIDLOTHIAN,VA,2024,1/15/2024
1981,CALIFORNIA,MD,2024,1/29/2024
1985,LAUREL,MD,2024,1/22/2024
1996,HALLANDALE BEACH,FL,2024,2/5/2024
2008,GROVE CITY,PA,2024,1/22/2024
2032,OXNARD,CA,2024,7/22/2024
2040,BURLINGTON,NJ,2024,4/8/2024
2059,GREENSBURG,PA,2024,4/15/2024
2061,PLAINWELL,MI,2024,8/5/2024
2062,BENTON HARBOR,MI,2024,3/18/2024
2066,HOUSTON,TX,2024,1/15/2024
2067,MAYAGUEZ,Puerto Rico,2024,8/7/2023
2072,GUAYAMA,Puerto Rico,2024,8/7/2023
2085,ISABELA,Puerto Rico,2024,3/11/2024
2102,LUDINGTON,MI,2024,1/22/2024
2112,SCOTTSDALE,AZ,2024,5/20/2024
2113,PHOENIX,AZ,2024,1/15/2024
2136,CULPEPER,VA,2024,1/15/2024
2143,SKOWHEGAN,ME,2024,2/5/2024
2152,ALBANY,NY,2024,7/15/2024
2158,NORTHBOROUGH,MA,2024,1/29/2024
2160,PETERSBURG,VA,2024,5/20/2024
2178,CALAIS,ME,2024,2/5/2024
2183,OXFORD,ME,2024,6/17/2024
2213,SAINT LOUIS,MO,2024,1/15/2024
2233,FREDERICK,MD,2024,5/20/2024
2237,LEHIGH ACRES,FL,2024,4/15/2024
2250,CINCINNATI,OH,2024,7/15/2024
2270,DURANGO,CO,2024,1/8/2024
2273,BURTON,MI,2024,1/22/2024
2295,RICHMOND,VA,2024,7/15/2024
2302,BARCELONETA,Puerto Rico,2024,8/7/2023
2311,HUNTINGTON,IN,2024,5/13/2024
2314,WAIPAHU,HI,2024,6/5/2023
2328,GREENVILLE,SC,2024,7/15/2024
2329,ORANGE,MA,2024,6/3/2024
2333,APPLE VALLEY,CA,2024,5/6/2024
2334,LANCASTER,PA,2024,8/5/2024
2339,WEST LAFAYETTE,IN,2024,5/13/2024
2348,CHARLESTON,SC,2024,1/8/2024
2351,CATSKILL,NY,2024,1/15/2024
2354,ROCHESTER HILLS,MI,2024,2/5/2024
2367,PINE CITY,MN,2024,7/15/2024
2400,CHILLICOTHE,OH,2024,7/8/2024
2417,PETOSKEY,MI,2024,1/8/2024
2450,BELLINGHAM,WA,2024,3/4/2024
2469,LONGVIEW,WA,2024,6/3/2024
2476,COLLEGE PLACE,WA,2024,6/17/2024
2488,DECATUR,AL,2024,7/29/2024
2493,GRAND RAPIDS,MI,2024,1/8/2024
2503,HACKETTSTOWN,NJ,2024,7/29/2024
2504,KINGSTON,NY,2024,1/8/2024
2510,MINOCQUA,WI,2024,1/29/2024
2535,SAINT CLAIR,PA,2024,7/8/2024
2550,VANCOUVER,WA,2024,1/15/2024
2554,AVONDALE,AZ,2024,1/29/2024
2559,STERLING HEIGHTS,MI,2024,2/19/2024
2562,GOODLAND,KS,2024,3/4/2024
2580,CLINTON,NC,2024,1/22/2024
2588,NORTH VERSAILLES,PA,2024,4/1/2024
2608,MILES CITY,MT,2024,2/5/2024
2609,LAKEWOOD,CA,2024,4/24/2023
2611,MOUNT PLEASANT,PA,2024,4/22/2024
2613,BUCYRUS,OH,2024,5/20/2024
2619,MIDLAND,MI,2024,5/13/2024
2620,HASTINGS,MI,2024,1/8/2024
2629,WHITINSVILLE,MA,2024,4/29/2024
2632,PHOENIX,AZ,2024,1/29/2024
2636,HUNTINGTON BEACH,CA,2024,7/15/2024
2639,GILFORD,NH,2024,7/15/2024
2643,WOODBURY,MN,2024,3/11/2024
2644,SAGINAW,MI,2024,2/5/2024
2662,COVINGTON,VA,2024,2/19/2024
2671,CHANDLER,AZ,2024,3/18/2024
2682,BERLIN,VT,2024,1/15/2024
2684,NEW MARTINSVILLE,WV,2024,1/15/2024
2687,GREER,SC,2024,4/29/2024
2696,MOOREFIELD,WV,2024,1/15/2024
2705,FRANKLIN,VA,2024,7/15/2024
2713,BIRMINGHAM,AL,2024,4/8/2024
2715,DIBERVILLE,MS,2024,7/15/2024
2717,HATTIESBURG,MS,2024,6/10/2024
2720,MADISON,MS,2024,4/15/2024
2723,SUMITON,AL,2024,3/18/2024
2749,SPRUCE PINE,NC,2024,1/15/2024
2754,WAYNESBORO,GA,2024,1/15/2024
2760,JACKSON,AL,2024,7/15/2024
2767,MESA,AZ,2024,7/15/2024
2768,MESA,AZ,2024,7/15/2024
2772,SOUTHPORT,NC,2024,9/2/2024
2774,DUBLIN,OH,2024,1/8/2024
2777,SURPRISE,AZ,2024,6/10/2024
2787,INDIANAPOLIS,IN,2024,7/15/2024
2801,ALBANY,GA,2024,1/8/2024
2804,OKLAHOMA CITY,OK,2024,1/15/2024
2810,SPENCER,WV,2024,4/29/2024
2812,ROCHESTER,MN,2024,7/15/2024
2821,RICHMOND,VA,2024,1/15/2024
2826,COACHELLA,CA,2024,5/13/2024
2827,CORALVILLE,IA,2024,1/29/2024
2846,OLIVE BRANCH,MS,2024,1/15/2024
2873,TROY,MI,2024,6/3/2024
2882,MAPLE GROVE,MN,2024,7/1/2024
2892,PARKER,CO,2024,7/29/2024
2903,CHELMSFORD,MA,2024,5/13/2024
2910,SALEM,OH,2024,3/4/2024
2911,CENTRAL SQUARE,NY,2024,7/15/2024
2912,TAYLOR,MI,2024,6/10/2024
2921,HARRISVILLE,UT,2024,4/29/2024
2924,ALBUQUERQUE,NM,2024,7/1/2024
2935,KNOXVILLE,IA,2024,1/29/2024
2946,FORT LAUDERDALE,FL,2024,9/9/2024
2948,SANTA FE SPRINGS,CA,2024,8/7/2023
2955,KANSAS CITY,MO,2024,1/29/2024
2963,CORAL SPRINGS,FL,2024,6/17/2024
2964,LEOMINSTER,MA,2024,7/29/2024
2981,KELLER,TX,2024,6/23/2024
2984,LAWTON,OK,2024,1/29/2024
2998,LOMA LINDA,CA,2024,7/8/2024
3011,BOYNTON BEACH,FL,2024,4/22/2024
3015,DALLAS,TX,2024,3/4/2024
3022,STOCKTON,CA,2024,7/29/2024
3047,TURLOCK,CA,2024,1/22/2024
3056,SPRING BRANCH,TX,2024,8/26/2024
3057,HELOTES,TX,2024,4/22/2024
3058,SAN ANTONIO,TX,2024,4/8/2024
3075,PANAMA CITY,FL,2024,3/11/2024
3082,COLORADO SPRINGS,CO,2024,7/15/2024
3083,COLORADO SPRINGS,CO,2024,3/25/2024
3088,ST CLOUD,MN,2024,3/11/2024
3098,BELLEVUE,WA,2024,6/10/2024
3107,SAN ANTONIO,TX,2024,1/8/2024
3112,SAN ANTONIO,TX,2024,7/8/2024
3146,CORVALLIS,OR,2024,6/3/2024
3155,DERBY,KS,2024,4/15/2024
3157,NEWPORT NEWS,VA,2024,5/6/2024
3167,NEW ORLEANS,LA,2024,7/15/2024
3175,COLORADO SPRINGS,CO,2024,1/15/2024
3178,GRESHAM,OR,2024,3/18/2024
3182,CHAPEL HILL,NC,2024,1/29/2024
3192,GREENVILLE,SC,2024,7/22/2024
3198,CARROLLTON,TX,2024,9/11/2023
3202,OKLAHOMA CITY,OK,2024,5/13/2024
3213,THE WOODLANDS,TX,2024,7/29/2024
3237,SIOUX FALLS,SD,2024,2/5/2024
3241,GLENDALE,AZ,2024,3/4/2024
3245,HAYWARD,WI,2024,7/29/2024
3268,ANTIGO,WI,2024,5/6/2024
3269,MEXICO,ME,2024,3/4/2024
3299,CHESAPEAKE,VA,2024,1/8/2024
3302,HOUSTON,TX,2024,6/10/2024
3303,GRUNDY,VA,2024,6/24/2024
3311,MIAMI GARDENS,FL,2024,9/4/2023
3313,CENTENNIAL,CO,2024,4/22/2024
3314,GLENDALE,AZ,2024,7/15/2024
3328,GREENVILLE,MI,2024,7/15/2024
3329,POTSDAM,NY,2024,2/12/2024
3330,CHESAPEAKE,VA,2024,1/29/2024
3359,FORT MILL,SC,2024,1/15/2024
3367,NORTH CHARLESTON,SC,2024,6/10/2024
3386,SPRINGVILLE,AL,2024,7/15/2024
3388,LAWRENCEVILLE,GA,2024,7/8/2024
3392,BEDFORD,TX,2024,4/29/2024
3424,BIRMINGHAM,AL,2024,1/15/2024
3430,OKLAHOMA CITY,OK,2024,1/15/2024
3433,RED OAK,TX,2024,4/29/2024
3442,MURRELLS INLET,SC,2024,2/26/2024
3452,HOUSTON,TX,2024,2/5/2024
3453,WYOMING,MI,2024,4/15/2024
3503,THOMASVILLE,NC,2024,7/8/2024
3529,INDIANAPOLIS,IN,2024,1/8/2024
3561,TEATICKET,MA,2024,9/9/2024
3572,PEARLAND,TX,2024,3/4/2024
3582,COLORADO SPRINGS,CO,2024,7/15/2024
3589,SALT LAKE CITY,UT,2024,1/29/2024
3599,BARTLETT,TN,2024,1/22/2024
3600,FAYETTEVILLE,NC,2024,7/22/2024
3612,BURLINGTON,NC,2024,2/12/2024
3623,LAREDO,TX,2024,4/22/2024
3638,FLORENCE,SC,2024,2/12/2024
3730,PRESCOTT VALLEY,AZ,2024,3/4/2024
3734,VERMILLION,SD,2024,6/24/2024
3742,WOODLAND,WA,2024,4/8/2024
3764,LINDALE,TX,2024,2/5/2024
3772,JONESVILLE,VA,2024,3/4/2024
3785,PENSACOLA,FL,2024,3/18/2024
3801,MARYSVILLE,WA,2024,6/10/2024
3802,MIDDLETOWN,DE,2024,7/8/2024
3826,LUBBOCK,TX,2024,3/11/2024
3828,LONGVIEW,TX,2024,4/15/2024
3838,TARENTUM,PA,2024,1/15/2024
3845,GLENDALE,AZ,2024,5/13/2024
3851,LAFAYETTE,IN,2024,1/8/2024
3862,HOLLY HILL,FL,2024,5/13/2024
3886,EDINBURG,TX,2024,4/29/2024
3889,APEX,NC,2024,3/18/2024
3896,PEORIA,AZ,2024,7/22/2024
4054,INDIANAPOLIS,IN,2024,2/19/2024
4063,FORT MYERS BEACH,FL,2024,2/5/2024
4102,CASTROVILLE,TX,2024,1/8/2024
4103,DEVINE,TX,2024,5/27/2024
4115,CIBOLO,TX,2024,7/29/2024
4157,CARY,NC,2024,4/29/2024
4160,ORLANDO,FL,2024,3/11/2024
4162,SAN ANTONIO,TX,2024,4/22/2024
4183,BRYAN,TX,2024,4/22/2024
4184,LEVITTOWN,NY,2024,4/15/2024
4187,FLORENCE,AL,2024,1/22/2024
4188,FLORENCE,AL,2024,5/6/2024
4189,HELENA,AL,2024,6/10/2024
4191,RICHMOND,VA,2024,2/19/2024
4198,OLATHE,KS,2024,3/4/2024
4218,SURPRISE,AZ,2024,1/15/2024
4230,FORT WAYNE,IN,2024,1/29/2024
4235,TERRE HAUTE,IN,2024,7/15/2024
4237,INDIAN LAND,SC,2024,1/22/2024
4243,CLIO,MI,2024,5/20/2024
4247,HAVRE,MT,2024,3/18/2024
4249,SMELTERVILLE,ID,2024,3/11/2024
4250,MORRISVILLE,NC,2024,1/15/2024
4259,SHELBYVILLE,IL,2024,2/5/2024
4275,PEORIA,AZ,2024,2/19/2024
4281,LADYSMITH,WI,2024,1/29/2024
4293,PHOENIX,AZ,2024,4/29/2024
4336,EL MIRAGE,AZ,2024,5/6/2024
4373,WAKE VILLAGE,TX,2024,7/15/2024
4380,CORAL SPRINGS,FL,2024,1/29/2024
4389,WOODSVILLE,NH,2024,1/15/2024
4392,VICTORVILLE,CA,2024,1/15/2024
4399,ELKHART,IN,2024,7/15/2024
4425,ORLANDO,FL,2024,7/1/2024
4427,TALLAHASSEE,FL,2024,7/15/2024
4431,MOORESVILLE,NC,2024,1/8/2024
4450,MIDDLETOWN,KY,2024,1/22/2024
4453,GREENVILLE,TX,2024,3/11/2024
4469,CLARKSVILLE,TN,2024,7/22/2024
4474,KENAI,AK,2024,1/15/2024
4476,CHESTERFIELD,VA,2024,4/8/2024
4497,HUEYTOWN,AL,2024,4/22/2024
4512,KATY,TX,2024,7/15/2024
4526,HOUSTON,TX,2024,3/25/2024
4538,KATY,TX,2024,7/29/2024
4545,WILSON,NC,2024,1/15/2024
4564,GOLDSBORO,NC,2024,6/3/2024
4574,CONCORD,NC,2024,1/15/2024
4581,MOBILE,AL,2024,2/12/2024
4589,CLARKSVILLE,TN,2024,1/22/2024
4591,CLARKSVILLE,TN,2024,4/8/2024
4594,CHERRYVILLE,NC,2024,7/29/2024
4623,NEWPORT NEWS,VA,2024,7/8/2024
4636,APPOMATTOX,VA,2024,1/22/2024
4644,MOON TOWNSHIP,PA,2024,5/6/2024
4648,MOBILE,AL,2024,5/20/2024
4660,CLINTON TOWNSHIP,MI,2024,1/22/2024
4678,HURRICANE,UT,2024,4/8/2024
4756,ALABASTER,AL,2024,2/26/2024
4865,SIOUX FALLS,SD,2024,1/29/2024
5014,GREENSBORO,NC,2024,2/12/2024
5022,NEW ORLEANS,LA,2024,3/25/2024
5034,FORT MYERS,FL,2024,2/5/2024
5044,GALENA,IL,2024,2/5/2024
5045,TOMBALL,TX,2024,3/11/2024
5064,KALAMAZOO,MI,2024,5/6/2024
5097,SAGINAW,MI,2024,4/29/2024
5105,FRONT ROYAL,VA,2024,5/20/2024
5122,MEMPHIS,TN,2024,1/29/2024
5124,GLENDALE,AZ,2024,6/3/2024
5125,OPELOUSAS,LA,2024,1/22/2024
5174,SEMMES,AL,2024,2/12/2024
5189,PHOENIX,AZ,2024,1/29/2024
5199,ANTIOCH,IL,2024,6/17/2024
5203,LONDON,OH,2024,7/8/2024
5207,OVERLAND PARK,KS,2024,7/1/2024
5221,TAMPA,FL,2024,1/8/2024
5256,TUSCALOOSA,AL,2024,6/17/2024
5257,MESA,AZ,2024,5/6/2024
5264,OSPREY,FL,2024,2/5/2024
5273,SEQUIM,WA,2024,4/29/2024
5286,THE VILLAGE,OK,2024,1/29/2024
5290,SAN ANTONIO,TX,2024,6/17/2024
5301,WEST PALM BEACH,FL,2024,2/12/2024
5303,PRESCOTT,AZ,2024,1/22/2024
5321,FORT MYERS,FL,2024,7/29/2024
5323,OKLAHOMA CITY,OK,2024,1/29/2024
5332,MESA,AZ,2024,7/15/2024
5346,MEBANE,NC,2024,6/10/2024
5349,MESA,AZ,2024,5/13/2024
5353,SPRING,TX,2024,1/29/2024
5379,CONNELLSVILLE,PA,2024,6/24/2024
5392,BAXLEY,GA,2024,4/22/2024
5403,URBANA,IL,2024,5/27/2024
5411,IONIA,MI,2024,5/20/2024
5418,LOUISVILLE,KY,2024,5/13/2024
5419,HERNANDO,MS,2024,1/29/2024
5422,BAINBRIDGE,GA,2024,7/15/2024
5424,EAGLE POINT,OR,2024,5/6/2024
5443,INDIANAPOLIS,IN,2024,7/15/2024
5444,IRONWOOD,MI,2024,1/29/2024
5447,KEARNY,NJ,2024,7/1/2024
5466,GROVE CITY,OH,2024,7/1/2024
5483,GREENWOOD,IN,2024,2/5/2024
5488,NORFOLK,VA,2024,5/27/2024
