Market Number,Store Number,Total Season Pallets Shipped ,Total Season Pallets Sold ,FY26 Projected Pallet Ships 
81,476,12,11,11
81,781,17,15,17
81,813,30,30,30
81,917,12,10,12
81,1073,9,7,8
81,1232,16,16,17
81,1303,17,16,16
81,3319,23,20,22
81,6286,13,13,14
82,1129,6,6,6
82,1253,8,9,9
82,2133,10,9,9
82,2991,12,12,12
82,4130,16,13,15
82,4163,10,11,10
82,4219,15,13,13
82,4554,6,6,6
82,5317,9,8,8
83,77,14,11,11
83,280,16,15,15
83,475,10,10,12
83,1185,6,5,5
83,3169,12,11,11
83,3170,9,9,9
83,3569,12,12,12
83,5479,11,9,10
83,5480,13,12,11
84,330,15,14,14
84,437,18,15,15
84,463,15,15,16
84,524,6,5,6
84,1067,0,1,1
84,1098,10,10,10
84,4194,11,10,10
85,321,10,10,9
85,322,16,15,15
85,846,16,15,14
85,1042,25,18,17
85,1150,14,12,12
85,4183,9,9,9
86,999,13,13,14
86,1235,9,9,9
86,2239,12,12,11
86,2599,11,10,9
86,3058,15,14,16
86,3106,24,24,26
86,3888,17,17,18
86,4102,11,13,14
86,5145,15,13,13
87,292,3,8,9
87,404,13,13,14
87,765,13,13,13
87,865,23,21,22
87,1347,9,9,8
87,1803,10,9,9
87,2404,8,8,8
87,2769,9,9,10
87,3391,14,11,12
87,4055,15,15,15
87,4115,12,14,14
88,443,9,8,8
88,447,40,33,35
88,461,61,49,50
88,554,16,17,19
88,782,8,10,11
88,3518,67,59,63
88,3623,21,20,21
88,5713,30,24,24
89,110,27,26,26
89,705,39,35,38
89,800,22,19,20
89,942,29,28,28
89,959,24,23,24
89,2695,32,28,29
89,2843,28,27,27
89,4262,30,28,31
89,5299,26,25,25
90,817,34,32,33
90,908,22,21,22
90,1086,32,21,21
90,1220,24,21,23
90,2881,28,23,23
90,4332,11,11,12
90,4365,32,29,29
90,5214,15,12,12
90,5250,47,44,44
90,5420,15,11,10
91,890,33,34,29
91,943,22,22,22
91,955,28,28,29
91,1084,0,0,0
91,3782,24,23,24
91,4588,21,19,21
91,5871,16,15,15
91,5894,17,16,16
92,174,20,19,20
92,649,32,31,31
92,771,14,14,14
92,931,38,33,32
92,956,0,0,0
92,973,24,22,23
92,974,37,30,30
92,1068,27,22,23
92,1702,19,19,19
92,3538,31,26,26
92,5455,38,36,36
93,538,16,14,15
93,551,33,27,29
93,697,34,32,34
93,960,27,26,26
93,1081,20,18,16
93,1283,22,23,22
93,1297,39,35,37
93,1847,31,29,29
93,3877,16,15,14
93,4368,32,30,31
93,5326,31,31,32
94,563,24,24,24
94,579,21,20,21
94,582,22,22,25
94,613,22,20,20
94,857,18,17,17
94,860,34,33,32
94,1079,24,23,23
94,1182,40,34,32
94,1391,19,18,18
94,3207,33,29,31
94,3310,33,32,34
96,2499,12,11,10
96,3162,11,11,10
96,4142,14,10,11
96,4160,10,8,9
96,4197,12,9,8
96,4211,9,8,8
96,4425,12,12,12
96,5106,10,9,9
96,5132,13,11,12
96,5179,17,15,16
96,5365,13,9,8
96,5366,14,9,8
96,6894,16,15,16
97,488,15,12,11
97,858,13,11,12
97,1077,16,13,12
97,1223,17,16,15
97,1375,35,33,36
97,1408,16,13,14
97,3307,16,15,16
97,4427,13,10,9
97,4520,15,10,10
97,5172,15,14,15
97,5422,21,19,21
98,928,25,23,23
98,977,0,1,1
98,1082,14,13,13
98,1172,19,16,16
98,1173,14,13,14
98,1444,19,18,19
98,3309,15,15,16
98,3702,20,19,19
98,4444,16,19,19
98,5037,28,25,26
98,5054,17,17,17
101,767,39,33,35
101,1083,31,31,30
101,1090,17,22,21
101,1205,21,20,21
101,1219,26,22,24
101,1225,25,24,26
101,2626,22,21,21
101,2920,22,22,23
101,3308,24,23,23
101,6978,21,20,22
102,2392,5,3,2
102,3066,11,7,5
102,4354,12,9,9
102,5321,12,9,10
102,5451,17,15,16
102,5453,16,14,16
102,5622,11,11,12
102,5826,12,10,10
102,6937,12,9,9
102,6941,18,16,16
102,6968,17,14,14
102,7221,13,10,10
102,7298,13,9,9
102,7307,12,7,8
103,2907,22,19,18
103,2930,10,6,6
103,3183,11,10,9
103,3935,18,14,13
103,4140,18,15,15
103,4498,10,7,7
103,4563,18,15,14
103,4595,7,7,6
103,4617,9,6,5
103,4826,17,14,13
103,5615,18,11,10
103,5719,18,14,13
103,5945,16,13,13
104,967,35,32,35
104,988,30,28,28
