Store Number,WM Item #,Item Desc,Kayak Type,# Pallets,Total Qty,DTS PO #,MABD
2549,666249755,LIFETIME YUKON ANG,KAYAK 10FT SOT PRO ANG,1,6,818216208,45374
2549,666249756,TAHOMA EF *NP,KAYAK 10FT SOT,1,7,818216208,45374
2549,666249757,LIFETIME KOKANEE TND,KAYAK TANDEM,1,6,818216208,45374
2549,666249758,TAMARACK ANGLER *NP ,KAYAK 10FT SOT ANG,1,7,818216208,45374
11,564205159,LAG BLUE WAVE,KAYAK 6FT SOT,1,12,818215984,45360
11,578512200,LIFETIME PACER 8 FT,KAYAK 8FT SIS,3,24,818215984,45360
11,654988685,LIFETIME TAHOMA PRO,KAYAK 10FT SOT,1,7,818215984,45360
11,654988686,LIFTIME WAVE,KAYAK 6FT SOT,1,12,818215984,45360
11,666238607,LIFETIME DAYLITE 8 F,KAYAK 8FT SOT,1,8,818215984,45360
11,666249752,LIFETIME CHARGER *NP,KAYAK 10FT SIS,1,7,818215984,45360
11,666249753,TAHOMA AF *NP ,KAYAK 10FT SOT,1,7,818215984,45360
11,666249754,LIFETIME TAMARACK PRO *NP ,KAYAK 10FT SOT PRO ANG,1,7,818215984,45360
11,666249755,LIFETIME YUKON ANG,KAYAK 10FT SOT PRO ANG,1,6,818215984,45360
11,666249756,TAHOMA EF *NP,KAYAK 10FT SOT,1,7,818215984,45360
11,666249757,LIFETIME KOKANEE TND,KAYAK TANDEM,2,12,818215984,45360
11,666249758,TAMARACK ANGLER *NP ,KAYAK 10FT SOT ANG,1,7,818215984,45360
1772,564205159,LAG BLUE WAVE,KAYAK 6FT SOT,1,12,818216384,45374
1772,578512200,LIFETIME PACER 8 FT,KAYAK 8FT SIS,1,8,818216384,45374
1772,654988685,LIFETIME TAHOMA PRO,KAYAK 10FT SOT,1,7,818216384,45374
1772,654988686,LIFTIME WAVE,KAYAK 6FT SOT,1,12,818216384,45374
1772,666237632,LIFETIME HORIZON 10,PADDLE BOARDS,1,5,818216384,45374
1772,666238607,LIFETIME DAYLITE 8 F,KAYAK 8FT SOT,1,8,818216384,45374
1772,666249752,LIFETIME CHARGER *NP,KAYAK 10FT SIS,1,7,818216384,45374
1772,666249753,TAHOMA AF *NP ,KAYAK 10FT SOT,2,14,818216384,45374
1772,666249754,LIFETIME TAMARACK PRO *NP ,KAYAK 10FT SOT PRO ANG,1,7,818216384,45374
1772,666249755,LIFETIME YUKON ANG,KAYAK 10FT SOT PRO ANG,1,6,818216384,45374
1772,666249756,TAHOMA EF *NP,KAYAK 10FT SOT,1,7,818216384,45374
1772,666249757,LIFETIME KOKANEE TND,KAYAK TANDEM,1,6,818216384,45374
1772,666249758,TAMARACK ANGLER *NP ,KAYAK 10FT SOT ANG,1,7,818216384,45374
2047,564205159,LAG BLUE WAVE,KAYAK 6FT SOT,1,12,818216149,45381
2047,578512200,LIFETIME PACER 8 FT,KAYAK 8FT SIS,1,8,818216149,45381
2047,654988683,LIFETIME CHARGER,KAYAK 10FT SIS,1,7,818216149,45381
2047,654988684,LIFETIME GUSTER,KAYAK 10FT SIS,1,6,818216149,45381
2047,654988686,LIFTIME WAVE,KAYAK 6FT SOT,1,12,818216149,45381
2047,666237632,LIFETIME HORIZON 10,PADDLE BOARDS,1,5,818216149,45381
2047,666238607,LIFETIME DAYLITE 8 F,KAYAK 8FT SOT,2,16,818216149,45381
2047,666249752,LIFETIME CHARGER *NP,KAYAK 10FT SIS,1,7,818216149,45381
2047,666249753,TAHOMA AF *NP ,KAYAK 10FT SOT,1,7,818216149,45381
2047,666249754,LIFETIME TAMARACK PRO *NP ,KAYAK 10FT SOT PRO ANG,1,7,818216149,45381
2047,666249755,LIFETIME YUKON ANG,KAYAK 10FT SOT PRO ANG,1,6,818216149,45381
2047,666249756,TAHOMA EF *NP,KAYAK 10FT SOT,1,7,818216149,45381
2047,666249757,LIFETIME KOKANEE TND,KAYAK TANDEM,1,6,818216149,45381
2047,666249758,TAMARACK ANGLER *NP ,KAYAK 10FT SOT ANG,1,7,818216149,45381
2121,564205159,LAG BLUE WAVE,KAYAK 6FT SOT,1,12,818216136,45360
2121,578512200,LIFETIME PACER 8 FT,KAYAK 8FT SIS,1,8,818216136,45360
2121,654988683,LIFETIME CHARGER,KAYAK 10FT SIS,1,7,818216136,45360
2121,654988684,LIFETIME GUSTER,KAYAK 10FT SIS,1,6,818216136,45360
2121,654988686,LIFTIME WAVE,KAYAK 6FT SOT,1,12,818216136,45360
2121,666237632,LIFETIME HORIZON 10,PADDLE BOARDS,1,5,818216136,45360
2121,666238607,LIFETIME DAYLITE 8 F,KAYAK 8FT SOT,1,8,818216136,45360
2121,666249752,LIFETIME CHARGER *NP,KAYAK 10FT SIS,1,7,818216136,45360
2121,666249753,TAHOMA AF *NP ,KAYAK 10FT SOT,1,7,818216136,45360
2121,666249754,LIFETIME TAMARACK PRO *NP ,KAYAK 10FT SOT PRO ANG,1,7,818216136,45360
2121,666249755,LIFETIME YUKON ANG,KAYAK 10FT SOT PRO ANG,1,6,818216136,45360
2121,666249756,TAHOMA EF *NP,KAYAK 10FT SOT,1,7,818216136,45360
2121,666249757,LIFETIME KOKANEE TND,KAYAK TANDEM,1,6,818216136,45360
2121,666249758,TAMARACK ANGLER *NP ,KAYAK 10FT SOT ANG,1,7,818216136,45360
2188,564205159,LAG BLUE WAVE,KAYAK 6FT SOT,1,12,820101211,45388
2188,578512200,LIFETIME PACER 8 FT,KAYAK 8FT SIS,2,16,820101211,45388
2188,654988684,LIFETIME GUSTER,KAYAK 10FT SIS,1,6,820101211,45388
2188,666237632,LIFETIME HORIZON 10,PADDLE BOARDS,1,5,820101211,45388
2188,666238607,LIFETIME DAYLITE 8 F,KAYAK 8FT SOT,2,16,820101211,45388
2188,666249752,LIFETIME CHARGER *NP,KAYAK 10FT SIS,3,21,820101211,45388
2188,666249753,TAHOMA AF *NP ,KAYAK 10FT SOT,3,21,820101211,45388
2188,666249754,LIFETIME TAMARACK PRO *NP ,KAYAK 10FT SOT PRO ANG,1,7,820101211,45388
2188,666249755,LIFETIME YUKON ANG,KAYAK 10FT SOT PRO ANG,1,6,820101211,45388
2188,666249758,TAMARACK ANGLER *NP ,KAYAK 10FT SOT ANG,1,7,820101211,45388
2116,564205159,LAG BLUE WAVE,KAYAK 6FT SOT,1,12,818216204,45381
2116,578512200,LIFETIME PACER 8 FT,KAYAK 8FT SIS,1,8,818216204,45381
2116,654988683,LIFETIME CHARGER,KAYAK 10FT SIS,1,7,818216204,45381
2116,654988684,LIFETIME GUSTER,KAYAK 10FT SIS,1,6,818216204,45381
2116,654988686,LIFTIME WAVE,KAYAK 6FT SOT,1,12,818216204,45381
2116,666237632,LIFETIME HORIZON 10,PADDLE BOARDS,1,5,818216204,45381
2116,666238607,LIFETIME DAYLITE 8 F,KAYAK 8FT SOT,1,8,818216204,45381
2116,666249752,LIFETIME CHARGER *NP,KAYAK 10FT SIS,1,7,818216204,45381
2116,666249753,TAHOMA AF *NP ,KAYAK 10FT SOT,1,7,818216204,45381
2116,666249754,LIFETIME TAMARACK PRO *NP ,KAYAK 10FT SOT PRO ANG,1,7,818216204,45381
2116,666249755,LIFETIME YUKON ANG,KAYAK 10FT SOT PRO ANG,1,6,818216204,45381
2116,666249756,TAHOMA EF *NP,KAYAK 10FT SOT,1,7,818216204,45381
2116,666249757,LIFETIME KOKANEE TND,KAYAK TANDEM,1,6,818216204,45381
2116,666249758,TAMARACK ANGLER *NP ,KAYAK 10FT SOT ANG,1,7,818216204,45381
2480,564205159,LAG BLUE WAVE,KAYAK 6FT SOT,1,12,818216151,45374
2480,578512200,LIFETIME PACER 8 FT,KAYAK 8FT SIS,1,8,818216151,45374
2480,654988683,LIFETIME CHARGER,KAYAK 10FT SIS,2,14,818216151,45374
2480,654988684,LIFETIME GUSTER,KAYAK 10FT SIS,1,6,818216151,45374
2480,654988686,LIFTIME WAVE,KAYAK 6FT SOT,1,12,818216151,45374
2480,666237632,LIFETIME HORIZON 10,PADDLE BOARDS,1,5,818216151,45374
2480,666249752,LIFETIME CHARGER *NP,KAYAK 10FT SIS,1,7,818216151,45374
2480,666249753,TAHOMA AF *NP ,KAYAK 10FT SOT,1,7,818216151,45374
2480,666249754,LIFETIME TAMARACK PRO *NP ,KAYAK 10FT SOT PRO ANG,1,7,818216151,45374
2480,666249755,LIFETIME YUKON ANG,KAYAK 10FT SOT PRO ANG,1,6,818216151,45374
2480,666249756,TAHOMA EF *NP,KAYAK 10FT SOT,1,7,818216151,45374
2480,666249757,LIFETIME KOKANEE TND,KAYAK TANDEM,1,6,818216151,45374
2480,666249758,TAMARACK ANGLER *NP ,KAYAK 10FT SOT ANG,1,7,818216151,45374
2,564205159,LAG BLUE WAVE,KAYAK 6FT SOT,1,12,818216226,45360
2,578512200,LIFETIME PACER 8 FT,KAYAK 8FT SIS,1,8,818216226,45360
2,654988683,LIFETIME CHARGER,KAYAK 10FT SIS,1,7,818216226,45360
2,654988684,LIFETIME GUSTER,KAYAK 10FT SIS,1,6,818216226,45360
2,654988686,LIFTIME WAVE,KAYAK 6FT SOT,1,12,818216226,45360
2,666237632,LIFETIME HORIZON 10,PADDLE BOARDS,1,5,818216226,45360
2,666238607,LIFETIME DAYLITE 8 F,KAYAK 8FT SOT,1,8,818216226,45360
2,666249752,LIFETIME CHARGER *NP,KAYAK 10FT SIS,1,7,818216226,45360
2,666249753,TAHOMA AF *NP ,KAYAK 10FT SOT,1,7,818216226,45360
2,666249754,LIFETIME TAMARACK PRO *NP ,KAYAK 10FT SOT PRO ANG,1,7,818216226,45360
2,666249755,LIFETIME YUKON ANG,KAYAK 10FT SOT PRO ANG,1,6,818216226,45360
2,666249756,TAHOMA EF *NP,KAYAK 10FT SOT,1,7,818216226,45360
2,666249757,LIFETIME KOKANEE TND,KAYAK TANDEM,1,6,818216226,45360
2,666249758,TAMARACK ANGLER *NP ,KAYAK 10FT SOT ANG,1,7,818216226,45360
2249,564205159,LAG BLUE WAVE,KAYAK 6FT SOT,1,12,818216367,45360
2249,578512200,LIFETIME PACER 8 FT,KAYAK 8FT SIS,1,8,818216367,45360
2249,654988683,LIFETIME CHARGER,KAYAK 10FT SIS,1,7,818216367,45360
2249,654988684,LIFETIME GUSTER,KAYAK 10FT SIS,1,6,818216367,45360
2249,654988686,LIFTIME WAVE,KAYAK 6FT SOT,1,12,818216367,45360
2249,666237632,LIFETIME HORIZON 10,PADDLE BOARDS,1,5,818216367,45360
2249,666238607,LIFETIME DAYLITE 8 F,KAYAK 8FT SOT,2,16,818216367,45360
2249,666249752,LIFETIME CHARGER *NP,KAYAK 10FT SIS,1,7,818216367,45360
2249,666249753,TAHOMA AF *NP ,KAYAK 10FT SOT,1,7,818216367,45360
2249,666249754,LIFETIME TAMARACK PRO *NP ,KAYAK 10FT SOT PRO ANG,1,7,818216367,45360
2249,666249755,LIFETIME YUKON ANG,KAYAK 10FT SOT PRO ANG,1,6,818216367,45360
2249,666249756,TAHOMA EF *NP,KAYAK 10FT SOT,1,7,818216367,45360
2249,666249757,LIFETIME KOKANEE TND,KAYAK TANDEM,1,6,818216367,45360
2249,666249758,TAMARACK ANGLER *NP ,KAYAK 10FT SOT ANG,1,7,818216367,45360
1871,564205159,LAG BLUE WAVE,KAYAK 6FT SOT,1,12,818216372,45381
1871,578512200,LIFETIME PACER 8 FT,KAYAK 8FT SIS,1,8,818216372,45381
1871,654988683,LIFETIME CHARGER,KAYAK 10FT SIS,1,7,818216372,45381
1871,654988684,LIFETIME GUSTER,KAYAK 10FT SIS,1,6,818216372,45381
1871,654988686,LIFTIME WAVE,KAYAK 6FT SOT,1,12,818216372,45381
1871,666237632,LIFETIME HORIZON 10,PADDLE BOARDS,1,5,818216372,45381
1871,666238607,LIFETIME DAYLITE 8 F,KAYAK 8FT SOT,1,8,818216372,45381
1871,666249752,LIFETIME CHARGER *NP,KAYAK 10FT SIS,1,7,818216372,45381
1871,666249753,TAHOMA AF *NP ,KAYAK 10FT SOT,1,7,818216372,45381
1871,666249754,LIFETIME TAMARACK PRO *NP ,KAYAK 10FT SOT PRO ANG,1,7,818216372,45381
1871,666249755,LIFETIME YUKON ANG,KAYAK 10FT SOT PRO ANG,1,6,818216372,45381
1871,666249756,TAHOMA EF *NP,KAYAK 10FT SOT,1,7,818216372,45381
1871,666249757,LIFETIME KOKANEE TND,KAYAK TANDEM,1,6,818216372,45381
1871,666249758,TAMARACK ANGLER *NP ,KAYAK 10FT SOT ANG,1,7,818216372,45381
2325,564205159,LAG BLUE WAVE,KAYAK 6FT SOT,1,12,818216013,45360
2325,578512200,LIFETIME PACER 8 FT,KAYAK 8FT SIS,1,8,818216013,45360
2325,654988683,LIFETIME CHARGER,KAYAK 10FT SIS,1,7,818216013,45360
2325,654988684,LIFETIME GUSTER,KAYAK 10FT SIS,1,6,818216013,45360
2325,654988686,LIFTIME WAVE,KAYAK 6FT SOT,1,12,818216013,45360
2325,666237632,LIFETIME HORIZON 10,PADDLE BOARDS,1,5,818216013,45360
2325,666238607,LIFETIME DAYLITE 8 F,KAYAK 8FT SOT,1,8,818216013,45360
2325,666249752,LIFETIME CHARGER *NP,KAYAK 10FT SIS,1,7,818216013,45360
2325,666249753,TAHOMA AF *NP ,KAYAK 10FT SOT,1,7,818216013,45360
2325,666249754,LIFETIME TAMARACK PRO *NP ,KAYAK 10FT SOT PRO ANG,1,7,818216013,45360
2325,666249755,LIFETIME YUKON ANG,KAYAK 10FT SOT PRO ANG,1,6,818216013,45360
2325,666249756,TAHOMA EF *NP,KAYAK 10FT SOT,1,7,818216013,45360
2325,666249757,LIFETIME KOKANEE TND,KAYAK TANDEM,1,6,818216013,45360
2325,666249758,TAMARACK ANGLER *NP ,KAYAK 10FT SOT ANG,1,7,818216013,45360
37,564205159,LAG BLUE WAVE,KAYAK 6FT SOT,1,12,818216003,45367
37,578512200,LIFETIME PACER 8 FT,KAYAK 8FT SIS,2,16,818216003,45367
37,654988685,LIFETIME TAHOMA PRO,KAYAK 10FT SOT,1,7,818216003,45367
37,654988686,LIFTIME WAVE,KAYAK 6FT SOT,1,12,818216003,45367
37,666237632,LIFETIME HORIZON 10,PADDLE BOARDS,1,5,818216003,45367
37,666238607,LIFETIME DAYLITE 8 F,KAYAK 8FT SOT,2,16,818216003,45367
37,666249752,LIFETIME CHARGER *NP,KAYAK 10FT SIS,1,7,818216003,45367
37,666249753,TAHOMA AF *NP ,KAYAK 10FT SOT,1,7,818216003,45367
37,666249754,LIFETIME TAMARACK PRO *NP ,KAYAK 10FT SOT PRO ANG,1,7,818216003,45367
37,666249755,LIFETIME YUKON ANG,KAYAK 10FT SOT PRO ANG,1,6,818216003,45367
