Store,Week 18 Coloring Book Fixture
1657,Yes
1659,Yes
1660,Yes
1663,Yes
1666,Yes
1670,Yes
1671,Yes
1673,Yes
1679,Yes
1681,Yes
1682,Yes
1685,Yes
1686,Yes
1689,Yes
1708,Yes
1709,Yes
1710,Yes
1711,Yes
1714,Yes
1718,Yes
1720,Yes
1722,Yes
1724,Yes
1728,Yes
1731,Yes
1734,Yes
1738,Yes
1744,Yes
1746,Yes
1747,Yes
1748,Yes
1749,Yes
1754,Yes
1755,Yes
1756,Yes
1758,Yes
1759,Yes
1762,Yes
1763,Yes
1764,Yes
1765,Yes
1768,Yes
1770,Yes
1775,Yes
1781,Yes
1784,Yes
1785,Yes
1788,Yes
1789,Yes
1791,Yes
1792,Yes
1793,Yes
1794,Yes
1795,Yes
1796,Yes
1799,Yes
1801,Yes
1803,Yes
1804,Yes
1805,Yes
1811,Yes
1812,Yes
1814,Yes
1815,Yes
1817,Yes
1826,Yes
1827,Yes
1828,Yes
1831,Yes
1832,Yes
1833,Yes
1834,Yes
1835,Yes
1836,Yes
1841,Yes
1842,Yes
1847,Yes
1849,Yes
1851,Yes
1856,Yes
1859,Yes
1860,Yes
1861,Yes
1862,Yes
1863,Yes
1864,Yes
1870,Yes
1872,Yes
1878,Yes
1880,Yes
1883,Yes
1884,Yes
1885,Yes
1892,Yes
1894,Yes
1897,Yes
1899,Yes
1902,Yes
1904,Yes
1909,Yes
1910,Yes
1913,Yes
1914,Yes
1918,Yes
1920,Yes
1923,Yes
1924,Yes
1928,Yes
1929,Yes
1936,Yes
1937,Yes
1940,Yes
1942,Yes
1947,Yes
1949,Yes
1955,Yes
1956,Yes
1958,Yes
1959,Yes
1961,Yes
1962,Yes
1965,Yes
1969,Yes
1973,Yes
1976,Yes
1978,Yes
1981,Yes
1982,Yes
1985,Yes
1986,Yes
1988,Yes
1991,Yes
1992,Yes
1993,Yes
1995,Yes
1997,Yes
2001,Yes
2002,Yes
2004,Yes
2010,Yes
2019,Yes
2021,Yes
2027,Yes
2031,Yes
2032,Yes
2036,Yes
2038,Yes
2040,Yes
2046,Yes
2048,Yes
2049,Yes
2050,Yes
2056,Yes
2066,Yes
2068,Yes
2069,Yes
2071,Yes
2082,Yes
2083,Yes
2086,Yes
2088,Yes
2091,Yes
2093,Yes
2096,Yes
2101,Yes
2104,Yes
2105,Yes
2107,Yes
2111,Yes
2115,Yes
2116,Yes
2123,Yes
2124,Yes
2125,Yes
2126,Yes
2127,Yes
2128,Yes
2130,Yes
2131,Yes
2133,Yes
2134,Yes
2136,Yes
2146,Yes
2149,Yes
2152,Yes
2153,Yes
2161,Yes
2169,Yes
2177,Yes
2181,Yes
2185,Yes
2189,Yes
2197,Yes
2202,Yes
2208,Yes
2209,Yes
2213,Yes
2215,Yes
2218,Yes
2221,Yes
2222,Yes
2223,Yes
2231,Yes
2233,Yes
2238,Yes
2239,Yes
2243,Yes
2245,Yes
2247,Yes
2249,Yes
2252,Yes
2257,Yes
2263,Yes
2265,Yes
2266,Yes
2269,Yes
2273,Yes
2278,Yes
2281,Yes
2283,Yes
2285,Yes
2286,Yes
2288,Yes
2292,Yes
2297,Yes
2307,Yes
2310,Yes
2311,Yes
2312,Yes
2316,Yes
2318,Yes
2322,Yes
2323,Yes
2332,Yes
2334,Yes
2336,Yes
2339,Yes
2348,Yes
2351,Yes
2354,Yes
2359,Yes
2361,Yes
2365,Yes
2366,Yes
2368,Yes
2373,Yes
2386,Yes
2387,Yes
2399,Yes
2400,Yes
2401,Yes
2402,Yes
2405,Yes
2417,Yes
2418,Yes
2420,Yes
2423,Yes
2426,Yes
2428,Yes
2429,Yes
2436,Yes
2439,Yes
2441,Yes
2443,Yes
2446,Yes
2448,Yes
2450,Yes
2453,Yes
2460,Yes
2463,Yes
2464,Yes
2472,Yes
2475,Yes
2485,Yes
2491,Yes
2497,Yes
2501,Yes
2503,Yes
2505,Yes
2507,Yes
2508,Yes
2512,Yes
2515,Yes
2518,Yes
2519,Yes
2522,Yes
2528,Yes
2529,Yes
2537,Yes
2538,Yes
2539,Yes
2544,Yes
2548,Yes
2549,Yes
2554,Yes
2557,Yes
2560,Yes
2561,Yes
2585,Yes
2587,Yes
2592,Yes
2593,Yes
2596,Yes
2597,Yes
2599,Yes
2600,Yes
2605,Yes
2612,Yes
2614,Yes
2616,Yes
2618,Yes
2629,Yes
2633,Yes
2636,Yes
2637,Yes
2641,Yes
2643,Yes
2649,Yes
2650,Yes
2651,Yes
2667,Yes
2671,Yes
2678,Yes
2680,Yes
2687,Yes
2690,Yes
2692,Yes
2693,Yes
2697,Yes
2702,Yes
2706,Yes
2708,Yes
2713,Yes
2718,Yes
2720,Yes
2722,Yes
2724,Yes
2725,Yes
2726,Yes
2727,Yes
2729,Yes
2735,Yes
2756,Yes
2757,Yes
2758,Yes
2763,Yes
2764,Yes
2767,Yes
2768,Yes
2769,Yes
2777,Yes
2780,Yes
2786,Yes
2787,Yes
2788,Yes
2789,Yes
2793,Yes
2803,Yes
2804,Yes
2808,Yes
2812,Yes
2815,Yes
2816,Yes
2817,Yes
2818,Yes
2827,Yes
2828,Yes
2834,Yes
2842,Yes
2844,Yes
2852,Yes
2854,Yes
2855,Yes
2857,Yes
2861,Yes
2862,Yes
2865,Yes
2869,Yes
2872,Yes
2881,Yes
2882,Yes
2883,Yes
2886,Yes
2891,Yes
2903,Yes
2906,Yes
2910,Yes
2912,Yes
2914,Yes
2916,Yes
2918,Yes
2921,Yes
2922,Yes
2924,Yes
2928,Yes
2929,Yes
2931,Yes
2932,Yes
2938,Yes
2945,Yes
2946,Yes
2947,Yes
2950,Yes
2951,Yes
2952,Yes
2955,Yes
2958,Yes
2962,Yes
2966,Yes
2967,Yes
2973,Yes
2978,Yes
2980,Yes
2985,Yes
2986,Yes
2987,Yes
2989,Yes
2990,Yes
2991,Yes
2993,Yes
3004,Yes
3014,Yes
3017,Yes
3044,Yes
3055,Yes
3056,Yes
3058,Yes
3059,Yes
3106,Yes
3112,Yes
3136,Yes
3151,Yes
3163,Yes
3182,Yes
3206,Yes
3209,Yes
3212,Yes
3213,Yes
3214,Yes
3218,Yes
3220,Yes
3222,Yes
3225,Yes
3226,Yes
3232,Yes
3233,Yes
3236,Yes
3237,Yes
3248,Yes
3254,Yes
3258,Yes
3261,Yes
3262,Yes
3266,Yes
3267,Yes
3273,Yes
3274,Yes
3276,Yes
3277,Yes
3278,Yes
3281,Yes
3283,Yes
3285,Yes
3286,Yes
3291,Yes
3293,Yes
3294,Yes
3296,Yes
3297,Yes
3302,Yes
3304,Yes
3307,Yes
3310,Yes
3313,Yes
3319,Yes
3320,Yes
3322,Yes
3328,Yes
3339,Yes
3342,Yes
3348,Yes
3350,Yes
3351,Yes
3352,Yes
3360,Yes
3363,Yes
3366,Yes
3367,Yes
3370,Yes
3379,Yes
3380,Yes
3382,Yes
3383,Yes
3388,Yes
3389,Yes
3390,Yes
3400,Yes
3401,Yes
3402,Yes
3407,Yes
3409,Yes
3417,Yes
3425,Yes
3431,Yes
3432,Yes
3433,Yes
3434,Yes
3435,Yes
3436,Yes
3439,Yes
3443,Yes
3445,Yes
3453,Yes
3454,Yes
3460,Yes
3461,Yes
3462,Yes
3463,Yes
3464,Yes
3465,Yes
3469,Yes
3471,Yes
3475,Yes
3476,Yes
3477,Yes
3484,Yes
3487,Yes
3488,Yes
3492,Yes
3497,Yes
3498,Yes
3500,Yes
3502,Yes
3510,Yes
3511,Yes
3513,Yes
3515,Yes
3516,Yes
3518,Yes
3520,Yes
3523,Yes
3524,Yes
3525,Yes
3529,Yes
3531,Yes
3535,Yes
3537,Yes
3538,Yes
3564,Yes
3567,Yes
3569,Yes
3572,Yes
3573,Yes
3580,Yes
3581,Yes
3583,Yes
3584,Yes
3585,Yes
3587,Yes
3588,Yes
3591,Yes
3595,Yes
3608,Yes
3611,Yes
3612,Yes
3616,Yes
3621,Yes
3623,Yes
3624,Yes
3626,Yes
3627,Yes
3630,Yes
3639,Yes
3640,Yes
3645,Yes
3648,Yes
3658,Yes
3659,Yes
3700,Yes
3708,Yes
3720,Yes
3729,Yes
3731,Yes
3733,Yes
3739,Yes
3747,Yes
3750,Yes
3751,Yes
3757,Yes
3762,Yes
3765,Yes
3771,Yes
3773,Yes
3777,Yes
3778,Yes
3780,Yes
3782,Yes
3784,Yes
3786,Yes
3790,Yes
3792,Yes
3794,Yes
3796,Yes
3799,Yes
3802,Yes
3812,Yes
3824,Yes
3829,Yes
3831,Yes
3833,Yes
3835,Yes
3838,Yes
3840,Yes
3842,Yes
3857,Yes
3864,Yes
3867,Yes
3872,Yes
3874,Yes
3877,Yes
3883,Yes
3884,Yes
3888,Yes
3891,Yes
3893,Yes
3894,Yes
3896,Yes
3897,Yes
4049,Yes
4055,Yes
4065,Yes
4108,Yes
4111,Yes
4112,Yes
4115,Yes
4118,Yes
4131,Yes
4137,Yes
4165,Yes
4185,Yes
4200,Yes
4201,Yes
4202,Yes
4216,Yes
4219,Yes
4224,Yes
4235,Yes
4237,Yes
4240,Yes
4243,Yes
4255,Yes
4256,Yes
4258,Yes
4260,Yes
4272,Yes
4274,Yes
4277,Yes
4278,Yes
4279,Yes
4286,Yes
4288,Yes
4298,Yes
4299,Yes
4330,Yes
4332,Yes
4333,Yes
4335,Yes
4337,Yes
4352,Yes
4356,Yes
4359,Yes
4365,Yes
4381,Yes
4383,Yes
4387,Yes
4392,Yes
4416,Yes
4417,Yes
4436,Yes
4438,Yes
4440,Yes
4444,Yes
4450,Yes
4451,Yes
4475,Yes
4476,Yes
4482,Yes
4497,Yes
4503,Yes
4506,Yes
4512,Yes
4520,Yes
4521,Yes
4526,Yes
4529,Yes
4531,Yes
4538,Yes
4553,Yes
4554,Yes
4567,Yes
4599,Yes
4600,Yes
4627,Yes
4631,Yes
4653,Yes
4660,Yes
4677,Yes
4678,Yes
4687,Yes
4697,Yes
4849,Yes
4865,Yes
5025,Yes
5029,Yes
5030,Yes
5035,Yes
5036,Yes
5038,Yes
5041,Yes
5045,Yes
5046,Yes
5048,Yes
5056,Yes
5057,Yes
5058,Yes
5066,Yes
5070,Yes
5073,Yes
5075,Yes
5076,Yes
5078,Yes
5080,Yes
5082,Yes
5091,Yes
5099,Yes
5104,Yes
5115,Yes
5116,Yes
5123,Yes
5127,Yes
5130,Yes
5134,Yes
5136,Yes
5137,Yes
5141,Yes
5144,Yes
5145,Yes
5152,Yes
5154,Yes
5156,Yes
5160,Yes
5165,Yes
5174,Yes
5175,Yes
5178,Yes
5184,Yes
5185,Yes
5186,Yes
5189,Yes
5190,Yes
5191,Yes
5193,Yes
5195,Yes
5196,Yes
5199,Yes
5202,Yes
5210,Yes
5214,Yes
5215,Yes
5218,Yes
5227,Yes
5229,Yes
5233,Yes
5252,Yes
5253,Yes
5254,Yes
5260,Yes
5261,Yes
5262,Yes
5266,Yes
5270,Yes
5272,Yes
5274,Yes
5275,Yes
5278,Yes
5280,Yes
5285,Yes
5287,Yes
5288,Yes
5292,Yes
5299,Yes
5300,Yes
5301,Yes
5305,Yes
5307,Yes
5311,Yes
5313,Yes
5326,Yes
5330,Yes
5331,Yes
5337,Yes
5338,Yes
5342,Yes
5343,Yes
5344,Yes
5361,Yes
5363,Yes
5368,Yes
5369,Yes
5373,Yes
5385,Yes
5390,Yes
5391,Yes
5394,Yes
5396,Yes
5397,Yes
5398,Yes
5404,Yes
5409,Yes
5417,Yes
5418,Yes
5420,Yes
5425,Yes
5426,Yes
5428,Yes
5441,Yes
5443,Yes
5448,Yes
5471,Yes
5476,Yes
5480,Yes
5481,Yes
5483,Yes
5487,Yes
5488,Yes
5491,Yes
5494,Yes
5499,Yes
5612,Yes
5625,Yes
5628,Yes
5686,Yes
5701,Yes
5703,Yes
5707,Yes
5713,Yes
5764,Yes
5781,Yes
5787,Yes
5795,Yes
5806,Yes
5809,Yes
5810,Yes
5814,Yes
5839,Yes
5841,Yes
5842,Yes
5844,Yes
5845,Yes
5853,Yes
5859,Yes
5879,Yes
5932,Yes
5936,Yes
5947,Yes
5977,Yes
6286,Yes
6300,Yes
6394,Yes
6395,Yes
6467,Yes
6469,Yes
6579,Yes
6807,Yes
6879,Yes
6898,Yes
6929,Yes
6958,Yes
6964,Yes
6978,Yes
7178,Yes
7185,Yes
7199,Yes
7280,Yes
7281,Yes
7294,Yes
7301,Yes
7326,Yes
