Store,Market,Store Type,Fixture Required?,Already Ordered?,,
2258,283,W/M,Yes,No,,
2264,189,W/M,Yes,No,,
2295,287,SUP,Yes,No,,
2312,312,SUP,Yes,No,,
2321,470,W/M,Yes,No,,
2437,286,SUP,Yes,No,,
2438,291,SUP,Yes,No,,
2520,291,SUP,Yes,No,,
2529,289,SUP,Yes,No,,
2565,315,SUP,Yes,No,,
2647,286,SUP,Yes,No,,
2705,314,SUP,Yes,No,,
2749,124,SUP,Yes,No,,
2761,311,SUP,Yes,No,,
2762,312,SUP,Yes,No,,
2795,287,SUP,Yes,No,,
2807,315,SUP,Yes,No,,
2808,290,SUP,Yes,No,,
2821,290,SUP,Yes,No,,
2947,476,W/M,Yes,No,,
3077,292,SUP,Yes,No,,
3156,502,WNM,Yes,No,,
3157,502,WNM,Yes,No,,
3214,289,SUP,Yes,No,,
3216,289,SUP,Yes,No,,
3219,288,SUP,Yes,No,,
3243,312,SUP,Yes,No,,
3265,288,SUP,Yes,No,,
3270,311,SUP,Yes,No,,
3299,502,WNM,Yes,No,,
3330,502,WNM,Yes,No,,
3344,286,SUP,Yes,No,,
3381,74,SUP,Yes,No,,
3384,70,SUP,Yes,No,,
3528,143,SUP,Yes,No,,
3573,286,SUP,Yes,No,,
3588,291,SUP,Yes,No,,
3603,509,WNM,Yes,No,,
3605,509,WNM,Yes,No,,
3614,509,WNM,Yes,No,,
3622,509,WNM,Yes,No,,
3639,292,SUP,Yes,No,,
3644,289,SUP,Yes,No,,
3831,288,SUP,Yes,No,,
3869,287,SUP,Yes,No,,
3880,502,WNM,Yes,No,,
3885,502,WNM,Yes,No,,
4064,289,SUP,Yes,No,,
4164,55,SUP,Yes,No,,
4177,#N/A,#N/A,Yes,No,,
4184,502,WNM,Yes,No,,
4191,287,SUP,Yes,No,,
4220,502,WNM,Yes,No,,
4258,291,SUP,Yes,No,,
4388,502,WNM,Yes,No,,
4476,290,SUP,Yes,No,,
4514,286,SUP,Yes,No,,
4623,288,SUP,Yes,No,,
4638,291,SUP,Yes,No,,
4682,315,SUP,Yes,No,,
4697,315,SUP,Yes,No,,
5105,286,SUP,Yes,No,,
5117,315,SUP,Yes,No,,
5126,3,SUP,Yes,No,,
5227,292,W/M,Yes,No,,
5253,289,SUP,Yes,No,,
5293,172,SUP,Yes,No,,
5343,291,SUP,Yes,No,,
5488,288,SUP,Yes,No,,
5731,291,SUP,Yes,No,,
5753,283,SUP,Yes,No,,
5754,502,WNM,Yes,No,,
5755,502,WNM,Yes,No,,
5829,509,WNM,Yes,No,,
5847,290,SUP,Yes,No,,
5880,292,SUP,Yes,No,,
5922,289,SUP,Yes,No,,
5936,283,SUP,Yes,No,,
5969,292,SUP,Yes,No,,
6226,502,WNM,Yes,No,,
6798,502,WNM,Yes,No,,
6936,502,WNM,Yes,No,,
7032,287,SUP,Yes,No,,
7174,502,WNM,Yes,No,,
7177,502,WNM,Yes,No,,
112,138,SUP,Yes,Yes,,
143,253,SUP,Yes,Yes,,
155,136,SUP,Yes,Yes,,
182,136,SUP,Yes,Yes,,
196,271,SUP,Yes,Yes,,
197,278,SUP,Yes,Yes,,
198,272,SUP,Yes,Yes,,
200,275,SUP,Yes,Yes,,
201,341,SUP,Yes,Yes,,
224,272,SUP,Yes,Yes,,
256,341,SUP,Yes,Yes,,
258,4,SUP,Yes,Yes,,
282,253,SUP,Yes,Yes,,
294,253,SUP,Yes,Yes,,
299,254,SUP,Yes,Yes,,
302,271,SUP,Yes,Yes,,
333,254,SUP,Yes,Yes,,
334,275,SUP,Yes,Yes,,
361,341,SUP,Yes,Yes,,
365,140,SUP,Yes,Yes,,
391,4,SUP,Yes,Yes,,
410,146,SUP,Yes,Yes,,
430,253,SUP,Yes,Yes,,
431,253,SUP,Yes,Yes,,
481,273,SUP,Yes,Yes,,
491,253,SUP,Yes,Yes,,
495,138,SUP,Yes,Yes,,
497,242,SUP,Yes,Yes,,
501,141,SUP,Yes,Yes,,
507,260,SUP,Yes,Yes,,
519,260,SUP,Yes,Yes,,
526,242,SUP,Yes,Yes,,
571,260,SUP,Yes,Yes,,
589,256,SUP,Yes,Yes,,
598,429,SUP,Yes,Yes,,
603,278,SUP,Yes,Yes,,
612,273,SUP,Yes,Yes,,
645,433,SUP,Yes,Yes,,
653,253,SUP,Yes,Yes,,
655,253,SUP,Yes,Yes,,
665,257,SUP,Yes,Yes,,
689,257,SUP,Yes,Yes,,
694,254,SUP,Yes,Yes,,
699,136,SUP,Yes,Yes,,
701,254,SUP,Yes,Yes,,
702,259,SUP,Yes,Yes,,
708,140,SUP,Yes,Yes,,
709,256,SUP,Yes,Yes,,
711,257,SUP,Yes,Yes,,
719,257,SUP,Yes,Yes,,
720,260,SUP,Yes,Yes,,
729,256,SUP,Yes,Yes,,
774,433,SUP,Yes,Yes,,
775,279,SUP,Yes,Yes,,
776,432,SUP,Yes,Yes,,
786,264,SUP,Yes,Yes,,
796,279,SUP,Yes,Yes,,
816,141,SUP,Yes,Yes,,
825,257,SUP,Yes,Yes,,
848,144,SUP,Yes,Yes,,
852,262,SUP,Yes,Yes,,
867,429,SUP,Yes,Yes,,
875,140,SUP,Yes,Yes,,
877,309,SUP,Yes,Yes,,
887,141,SUP,Yes,Yes,,
891,279,SUP,Yes,Yes,,
903,140,SUP,Yes,Yes,,
916,141,SUP,Yes,Yes,,
948,304,SUP,Yes,Yes,,
969,143,SUP,Yes,Yes,,
970,143,SUP,Yes,Yes,,
981,138,SUP,Yes,Yes,,
1003,262,SUP,Yes,Yes,,
1025,141,SUP,Yes,Yes,,
1027,306,SUP,Yes,Yes,,
1028,278,SUP,Yes,Yes,,
1034,305,SUP,Yes,Yes,,
1039,304,SUP,Yes,Yes,,
1048,257,SUP,Yes,Yes,,
1053,242,SUP,Yes,Yes,,
1060,304,SUP,Yes,Yes,,
1064,304,SUP,Yes,Yes,,
1066,143,SUP,Yes,Yes,,
1071,341,SUP,Yes,Yes,,
1088,143,SUP,Yes,Yes,,
1093,246,SUP,Yes,Yes,,
1096,304,SUP,Yes,Yes,,
1097,309,SUP,Yes,Yes,,
1113,258,SUP,Yes,Yes,,
1125,278,SUP,Yes,Yes,,
1140,259,SUP,Yes,Yes,,
1155,310,SUP,Yes,Yes,,
1156,306,SUP,Yes,Yes,,
1165,256,SUP,Yes,Yes,,
1170,256,SUP,Yes,Yes,,
1179,294,SUP,Yes,Yes,,
1191,296,SUP,Yes,Yes,,
1195,143,SUP,Yes,Yes,,
1197,301,SUP,Yes,Yes,,
1209,305,SUP,Yes,Yes,,
1210,260,SUP,Yes,Yes,,
1211,270,SUP,Yes,Yes,,
1217,294,SUP,Yes,Yes,,
1228,269,SUP,Yes,Yes,,
1233,258,SUP,Yes,Yes,,
1236,302,SUP,Yes,Yes,,
1237,299,SUP,Yes,Yes,,
1238,310,SUP,Yes,Yes,,
1242,294,SUP,Yes,Yes,,
1247,258,SUP,Yes,Yes,,
1256,266,SUP,Yes,Yes,,
1261,310,SUP,Yes,Yes,,
1268,300,SUP,Yes,Yes,,
1271,138,SUP,Yes,Yes,,
1287,296,SUP,Yes,Yes,,
1298,302,SUP,Yes,Yes,,
1300,302,SUP,Yes,Yes,,
1307,262,SUP,Yes,Yes,,
1312,310,SUP,Yes,Yes,,
1317,294,SUP,Yes,Yes,,
1322,308,SUP,Yes,Yes,,
1326,429,SUP,Yes,Yes,,
1332,426,SUP,Yes,Yes,,
1337,304,SUP,Yes,Yes,,
1346,143,SUP,Yes,Yes,,
1348,300,SUP,Yes,Yes,,
1354,301,SUP,Yes,Yes,,
1355,302,SUP,Yes,Yes,,
1372,299,SUP,Yes,Yes,,
1377,270,SUP,Yes,Yes,,
1379,301,SUP,Yes,Yes,,
1385,305,SUP,Yes,Yes,,
1392,300,SUP,Yes,Yes,,
1395,272,SUP,Yes,Yes,,
1401,265,SUP,Yes,Yes,,
1404,269,SUP,Yes,Yes,,
1413,270,SUP,Yes,Yes,,
1418,341,SUP,Yes,Yes,,
1420,264,SUP,Yes,Yes,,
1421,278,SUP,Yes,Yes,,
1422,204,SUP,Yes,Yes,,
1426,259,SUP,Yes,Yes,,
1428,204,SUP,Yes,Yes,,
1452,309,W/M,Yes,Yes,,
1454,275,SUP,Yes,Yes,,
1460,429,SUP,Yes,Yes,,
1464,305,SUP,Yes,Yes,,
1489,269,W/M,Yes,Yes,,
1490,263,SUP,Yes,Yes,,
1497,266,SUP,Yes,Yes,,
1498,298,SUP,Yes,Yes,,
1505,258,SUP,Yes,Yes,,
1510,225,SUP,Yes,Yes,,
1527,301,SUP,Yes,Yes,,
1531,270,SUP,Yes,Yes,,
1552,308,SUP,Yes,Yes,,
1553,264,SUP,Yes,Yes,,
1556,266,SUP,Yes,Yes,,
1558,298,SUP,Yes,Yes,,
1585,429,SUP,Yes,Yes,,
1602,275,SUP,Yes,Yes,,
1610,192,W/M,Yes,Yes,,
1611,205,SUP,Yes,Yes,,
1613,308,SUP,Yes,Yes,,
1614,297,SUP,Yes,Yes,,
1619,192,SUP,Yes,Yes,,
1637,432,SUP,Yes,Yes,,
1661,302,SUP,Yes,Yes,,
1662,304,SUP,Yes,Yes,,
1663,294,SUP,Yes,Yes,,
1664,299,SUP,Yes,Yes,,
1666,306,SUP,Yes,Yes,,
1668,269,SUP,Yes,Yes,,
1671,433,SUP,Yes,Yes,,
1673,192,SUP,Yes,Yes,,
1677,189,SUP,Yes,Yes,,
1681,268,SUP,Yes,Yes,,
1690,275,SUP,Yes,Yes,,
1694,124,SUP,Yes,Yes,,
1705,191,SUP,Yes,Yes,,
1731,192,SUP,Yes,Yes,,
1734,246,SUP,Yes,Yes,,
1735,269,SUP,Yes,Yes,,
1737,268,SUP,Yes,Yes,,
1740,263,SUP,Yes,Yes,,
1744,192,SUP,Yes,Yes,,
1752,204,SUP,Yes,Yes,,
1761,341,SUP,Yes,Yes,,
1774,310,SUP,Yes,Yes,,
1779,265,W/M,Yes,Yes,,
1781,190,SUP,Yes,Yes,,
1790,197,SUP,Yes,Yes,,
1806,189,SUP,Yes,Yes,,
1810,164,SUP,Yes,Yes,,
1813,192,SUP,Yes,Yes,,
1814,264,SUP,Yes,Yes,,
1816,297,W/M,Yes,Yes,,
1830,191,SUP,Yes,Yes,,
1831,191,SUP,Yes,Yes,,
1835,190,SUP,Yes,Yes,,
1836,202,SUP,Yes,Yes,,
1842,298,SUP,Yes,Yes,,
1848,264,SUP,Yes,Yes,,
1849,308,SUP,Yes,Yes,,
1870,475,SUP,Yes,Yes,,
1871,187,SUP,Yes,Yes,,
1892,268,SUP,Yes,Yes,,
1897,268,SUP,Yes,Yes,,
1898,264,SUP,Yes,Yes,,
1909,195,SUP,Yes,Yes,,
1923,200,SUP,Yes,Yes,,
1926,191,SUP,Yes,Yes,,
1928,205,SUP,Yes,Yes,,
1938,268,SUP,Yes,Yes,,
1940,188,SUP,Yes,Yes,,
1942,200,SUP,Yes,Yes,,
1943,433,SUP,Yes,Yes,,
1949,194,SUP,Yes,Yes,,
1955,263,SUP,Yes,Yes,,
1959,164,SUP,Yes,Yes,,
1961,225,SUP,Yes,Yes,,
1966,194,SUP,Yes,Yes,,
1973,194,SUP,Yes,Yes,,
1976,190,SUP,Yes,Yes,,
1987,205,SUP,Yes,Yes,,
1993,195,SUP,Yes,Yes,,
1994,187,SUP,Yes,Yes,,
1997,188,SUP,Yes,Yes,,
1998,267,SUP,Yes,Yes,,
2005,306,SUP,Yes,Yes,,
2006,475,SUP,Yes,Yes,,
2007,473,SUP,Yes,Yes,,
2010,201,SUP,Yes,Yes,,
2037,472,SUP,Yes,Yes,,
2056,188,SUP,Yes,Yes,,
2058,297,SUP,Yes,Yes,,
2079,196,SUP,Yes,Yes,,
2080,202,SUP,Yes,Yes,,
2088,195,SUP,Yes,Yes,,
2093,189,SUP,Yes,Yes,,
2097,188,SUP,Yes,Yes,,
2101,475,SUP,Yes,Yes,,
2104,164,SUP,Yes,Yes,,
2107,195,SUP,Yes,Yes,,
2116,187,SUP,Yes,Yes,,
2121,472,SUP,Yes,Yes,,
2134,306,SUP,Yes,Yes,,
2137,296,SUP,Yes,Yes,,
2146,189,SUP,Yes,Yes,,
2152,188,SUP,Yes,Yes,,
2156,171,W/M,Yes,Yes,,
2159,194,SUP,Yes,Yes,,
2166,191,SUP,Yes,Yes,,
2187,473,SUP,Yes,Yes,,
2196,472,SUP,Yes,Yes,,
2204,267,SUP,Yes,Yes,,
2210,195,SUP,Yes,Yes,,
2215,265,SUP,Yes,Yes,,
2231,279,SUP,Yes,Yes,,
2234,189,SUP,Yes,Yes,,
2238,200,SUP,Yes,Yes,,
2241,475,SUP,Yes,Yes,,
2247,299,SUP,Yes,Yes,,
2249,467,SUP,Yes,Yes,,
2262,190,SUP,Yes,Yes,,
2269,473,SUP,Yes,Yes,,
2273,205,SUP,Yes,Yes,,
2285,189,SUP,Yes,Yes,,
2286,171,W/M,Yes,Yes,,
2317,472,W/M,Yes,Yes,,
2319,472,W/M,Yes,Yes,,
2325,472,SUP,Yes,Yes,,
2338,196,SUP,Yes,Yes,,
2351,188,SUP,Yes,Yes,,
2354,205,SUP,Yes,Yes,,
2355,195,SUP,Yes,Yes,,
2370,188,SUP,Yes,Yes,,
2385,514,SUP,Yes,Yes,,
2403,514,SUP,Yes,Yes,,
2405,194,SUP,Yes,Yes,,
2414,500,WNM,Yes,Yes,,
2425,495,WNM,Yes,Yes,,
2432,433,SUP,Yes,Yes,,
2444,189,SUP,Yes,Yes,,
2450,471,W/M,Yes,Yes,,
2469,467,SUP,Yes,Yes,,
2472,308,SUP,Yes,Yes,,
2476,475,SUP,Yes,Yes,,
2491,246,SUP,Yes,Yes,,
2493,200,SUP,Yes,Yes,,
2496,124,SUP,Yes,Yes,,
2504,188,SUP,Yes,Yes,,
2516,514,SUP,Yes,Yes,,
2531,164,W/M,Yes,Yes,,
2539,474,SUP,Yes,Yes,,
2547,164,SUP,Yes,Yes,,
2549,474,SUP,Yes,Yes,,
2550,476,SUP,Yes,Yes,,
2559,206,SUP,Yes,Yes,,
2567,200,SUP,Yes,Yes,,
2571,514,W/M,Yes,Yes,,
2581,191,SUP,Yes,Yes,,
2583,172,W/M,Yes,Yes,,
2586,195,SUP,Yes,Yes,,
2594,471,W/M,Yes,Yes,,
2595,471,SUP,Yes,Yes,,
2596,471,SUP,Yes,Yes,,
2619,204,SUP,Yes,Yes,,
2628,260,SUP,Yes,Yes,,
2631,197,SUP,Yes,Yes,,
2637,164,SUP,Yes,Yes,,
2638,259,SUP,Yes,Yes,,
2644,204,SUP,Yes,Yes,,
2693,205,SUP,Yes,Yes,,
2704,298,SUP,Yes,Yes,,
2715,143,SUP,Yes,Yes,,
2717,141,SUP,Yes,Yes,,
2720,140,SUP,Yes,Yes,,
2728,275,SUP,Yes,Yes,,
2730,301,SUP,Yes,Yes,,
2755,140,SUP,Yes,Yes,,
2772,300,SUP,Yes,Yes,,
2783,260,SUP,Yes,Yes,,
2785,192,SUP,Yes,Yes,,
2793,308,SUP,Yes,Yes,,
2816,267,W/M,Yes,Yes,,
2817,238,SUP,Yes,Yes,,
2836,299,SUP,Yes,Yes,,
2844,188,SUP,Yes,Yes,,
2847,433,SUP,Yes,Yes,,
2859,194,SUP,Yes,Yes,,
2866,203,W/M,Yes,Yes,,
2867,203,W/M,Yes,Yes,,
2869,203,SUP,Yes,Yes,,
2873,206,SUP,Yes,Yes,,
2874,189,SUP,Yes,Yes,,
2905,164,W/M,Yes,Yes,,
2906,171,W/M,Yes,Yes,,
2911,191,SUP,Yes,Yes,,
2912,197,SUP,Yes,Yes,,
2915,171,W/M,Yes,Yes,,
2916,172,W/M,Yes,Yes,,
2917,171,W/M,Yes,Yes,,
2929,310,SUP,Yes,Yes,,
2939,140,SUP,Yes,Yes,,
2956,262,SUP,Yes,Yes,,
2959,206,SUP,Yes,Yes,,
2967,225,SUP,Yes,Yes,,
2992,190,SUP,Yes,Yes,,
3004,268,SUP,Yes,Yes,,
3053,471,SUP,Yes,Yes,,
3059,140,SUP,Yes,Yes,,
3098,550,WNM,Yes,Yes,,
3110,495,WNM,Yes,Yes,,
3145,550,WNM,Yes,Yes,,
3151,432,SUP,Yes,Yes,,
3152,491,WNM,Yes,Yes,,
3153,491,WNM,Yes,Yes,,
3154,491,WNM,Yes,Yes,,
3166,495,WNM,Yes,Yes,,
3172,491,WNM,Yes,Yes,,
3173,491,WNM,Yes,Yes,,
3182,296,SUP,Yes,Yes,,
3210,275,SUP,Yes,Yes,,
3218,467,SUP,Yes,Yes,,
3255,246,SUP,Yes,Yes,,
3261,475,SUP,Yes,Yes,,
3267,432,SUP,Yes,Yes,,
3278,433,SUP,Yes,Yes,,
3294,242,SUP,Yes,Yes,,
3304,298,SUP,Yes,Yes,,
3305,298,SUP,Yes,Yes,,
3329,187,SUP,Yes,Yes,,
3332,191,SUP,Yes,Yes,,
3336,197,SUP,Yes,Yes,,
3362,253,SUP,Yes,Yes,,
3363,254,SUP,Yes,Yes,,
3371,306,SUP,Yes,Yes,,
3380,475,SUP,Yes,Yes,,
3395,429,SUP,Yes,Yes,,
3400,265,SUP,Yes,Yes,,
3411,500,WNM,Yes,Yes,,
3420,172,W/M,Yes,Yes,,
3434,270,SUP,Yes,Yes,,
3453,200,SUP,Yes,Yes,,
3456,500,WNM,Yes,Yes,,
3459,278,SUP,Yes,Yes,,
3460,278,SUP,Yes,Yes,,
3503,308,SUP,Yes,Yes,,
3504,498,WNM,Yes,Yes,,
3525,514,SUP,Yes,Yes,,
3531,467,SUP,Yes,Yes,,
3537,467,SUP,Yes,Yes,,
3583,188,SUP,Yes,Yes,,
3593,492,WNM,Yes,Yes,,
3595,310,SUP,Yes,Yes,,
3597,270,SUP,Yes,Yes,,
3600,500,WNM,Yes,Yes,,
3601,266,SUP,Yes,Yes,,
3602,275,SUP,Yes,Yes,,
3607,195,SUP,Yes,Yes,,
3612,296,SUP,Yes,Yes,,
3626,308,SUP,Yes,Yes,,
3658,298,SUP,Yes,Yes,,
3700,309,SUP,Yes,Yes,,
3705,467,SUP,Yes,Yes,,
3725,267,SUP,Yes,Yes,,
3726,205,SUP,Yes,Yes,,
3757,471,SUP,Yes,Yes,,
3790,265,SUP,Yes,Yes,,
3794,514,SUP,Yes,Yes,,
3801,471,SUP,Yes,Yes,,
3823,433,SUP,Yes,Yes,,
3837,263,SUP,Yes,Yes,,
3842,192,SUP,Yes,Yes,,
3850,467,SUP,Yes,Yes,,
3864,302,SUP,Yes,Yes,,
3876,200,SUP,Yes,Yes,,
3889,299,SUP,Yes,Yes,,
3891,269,SUP,Yes,Yes,,
3893,269,SUP,Yes,Yes,,
3894,259,SUP,Yes,Yes,,
3990,544,WNM,Yes,Yes,,
4049,266,SUP,Yes,Yes,,
4065,300,SUP,Yes,Yes,,
4118,256,SUP,Yes,Yes,,
4137,467,SUP,Yes,Yes,,
4138,491,WNM,Yes,Yes,,
4139,491,WNM,Yes,Yes,,
4147,500,WNM,Yes,Yes,,
4148,499,WNM,Yes,Yes,,
4157,500,WNM,Yes,Yes,,
4224,304,SUP,Yes,Yes,,
4243,205,SUP,Yes,Yes,,
4250,297,SUP,Yes,Yes,,
4273,300,SUP,Yes,Yes,,
4274,305,SUP,Yes,Yes,,
4286,265,SUP,Yes,Yes,,
4323,262,SUP,Yes,Yes,,
4334,294,SUP,Yes,Yes,,
4358,432,SUP,Yes,Yes,,
4383,197,SUP,Yes,Yes,,
4394,474,SUP,Yes,Yes,,
4403,187,SUP,Yes,Yes,,
4405,264,SUP,Yes,Yes,,
4410,304,SUP,Yes,Yes,,
4413,494,WNM,Yes,Yes,,
4424,206,SUP,Yes,Yes,,
4428,294,SUP,Yes,Yes,,
4431,499,WNM,Yes,Yes,,
4432,498,WNM,Yes,Yes,,
4439,201,SUP,Yes,Yes,,
4450,242,SUP,Yes,Yes,,
4458,299,SUP,Yes,Yes,,
4459,301,SUP,Yes,Yes,,
4477,308,SUP,Yes,Yes,,
4484,297,SUP,Yes,Yes,,
4499,299,SUP,Yes,Yes,,
4511,279,SUP,Yes,Yes,,
4524,494,WNM,Yes,Yes,,
4529,266,SUP,Yes,Yes,,
4531,265,SUP,Yes,Yes,,
4545,500,WNM,Yes,Yes,,
4564,299,SUP,Yes,Yes,,
4574,306,SUP,Yes,Yes,,
4586,543,WNM,Yes,Yes,,
4594,305,SUP,Yes,Yes,,
4597,195,SUP,Yes,Yes,,
4600,433,SUP,Yes,Yes,,
4607,494,WNM,Yes,Yes,,
4619,492,WNM,Yes,Yes,,
4641,270,SUP,Yes,Yes,,
4695,272,SUP,Yes,Yes,,
4699,262,SUP,Yes,Yes,,
4757,550,WNM,Yes,Yes,,
4848,499,WNM,Yes,Yes,,
5013,509,WNM,Yes,Yes,,
5014,509,WNM,Yes,Yes,,
5027,194,SUP,Yes,Yes,,
5038,262,SUP,Yes,Yes,,
5041,514,SUP,Yes,Yes,,
5046,299,SUP,Yes,Yes,,
5059,566,WNM,Yes,Yes,,
5060,270,SUP,Yes,Yes,,
5063,309,SUP,Yes,Yes,,
5064,201,SUP,Yes,Yes,,
5065,201,SUP,Yes,Yes,,
5073,514,W/M,Yes,Yes,,
5078,473,SUP,Yes,Yes,,
5079,143,SUP,Yes,Yes,,
5085,305,SUP,Yes,Yes,,
5097,204,SUP,Yes,Yes,,
5118,297,SUP,Yes,Yes,,
5135,494,WNM,Yes,Yes,,
5141,432,SUP,Yes,Yes,,
5160,202,SUP,Yes,Yes,,
5183,494,WNM,Yes,Yes,,
5199,269,SUP,Yes,Yes,,
5202,171,W/M,Yes,Yes,,
5236,254,SUP,Yes,Yes,,
5240,190,SUP,Yes,Yes,,
5242,191,SUP,Yes,Yes,,
5254,297,SUP,Yes,Yes,,
5272,472,SUP,Yes,Yes,,
5273,472,SUP,Yes,Yes,,
5280,201,SUP,Yes,Yes,,
5292,297,SUP,Yes,Yes,,
5295,172,SUP,Yes,Yes,,
5297,494,WNM,Yes,Yes,,
5298,305,SUP,Yes,Yes,,
5320,298,SUP,Yes,Yes,,
5346,296,SUP,Yes,Yes,,
5352,264,SUP,Yes,Yes,,
5361,432,SUP,Yes,Yes,,
5393,509,WNM,Yes,Yes,,
5398,263,SUP,Yes,Yes,,
5399,279,SUP,Yes,Yes,,
5402,267,SUP,Yes,Yes,,
5403,246,SUP,Yes,Yes,,
5404,238,SUP,Yes,Yes,,
5417,242,SUP,Yes,Yes,,
5418,242,SUP,Yes,Yes,,
5419,144,SUP,Yes,Yes,,
5442,264,SUP,Yes,Yes,,
5459,544,WNM,Yes,Yes,,
5461,476,SUP,Yes,Yes,,
5462,476,SUP,Yes,Yes,,
5472,202,SUP,Yes,Yes,,
5481,305,SUP,Yes,Yes,,
5485,268,SUP,Yes,Yes,,
5486,266,SUP,Yes,Yes,,
5497,187,SUP,Yes,Yes,,
5617,267,SUP,Yes,Yes,,
5628,471,SUP,Yes,Yes,,
5645,495,WNM,Yes,Yes,,
5646,495,WNM,Yes,Yes,,
5678,550,WNM,Yes,Yes,,
5732,190,SUP,Yes,Yes,,
5743,299,SUP,Yes,Yes,,
5776,543,WNM,Yes,Yes,,
5781,267,SUP,Yes,Yes,,
5787,310,SUP,Yes,Yes,,
5842,197,SUP,Yes,Yes,,
5844,206,SUP,Yes,Yes,,
5851,301,SUP,Yes,Yes,,
5853,467,SUP,Yes,Yes,,
5879,306,SUP,Yes,Yes,,
5883,474,SUP,Yes,Yes,,
5929,476,SUP,Yes,Yes,,
5965,266,SUP,Yes,Yes,,
6165,543,WNM,Yes,Yes,,
6166,543,WNM,Yes,Yes,,
6176,509,WNM,Yes,Yes,,
6233,499,WNM,Yes,Yes,,
6243,509,WNM,Yes,Yes,,
6263,509,WNM,Yes,Yes,,
6264,509,WNM,Yes,Yes,,
6323,543,WNM,Yes,Yes,,
6469,140,SUP,Yes,Yes,,
6586,499,WNM,Yes,Yes,,
6789,308,SUP,Yes,Yes,,
6814,509,WNM,Yes,Yes,,
6828,509,WNM,Yes,Yes,,
6849,543,WNM,Yes,Yes,,
6879,310,SUP,Yes,Yes,,
6931,256,SUP,Yes,Yes,,
6958,310,SUP,Yes,Yes,,
6964,144,SUP,Yes,Yes,,
7004,499,WNM,Yes,Yes,,
7009,302,SUP,Yes,Yes,,
7062,499,WNM,Yes,Yes,,
7137,496,WNM,Yes,Yes,,
7146,499,WNM,Yes,Yes,,
7179,302,SUP,Yes,Yes,,
7180,499,WNM,Yes,Yes,,
7205,499,WNM,Yes,Yes,,
7206,499,WNM,Yes,Yes,,
7218,496,WNM,Yes,Yes,,
7222,500,WNM,Yes,Yes,,
7235,500,WNM,Yes,Yes,,
7290,242,SUP,Yes,Yes,,
7296,498,WNM,Yes,Yes,,
7315,498,WNM,Yes,Yes,,
7329,500,WNM,Yes,Yes,,
7334,500,WNM,Yes,Yes,,
7337,500,WNM,Yes,Yes,,
7340,500,WNM,Yes,Yes,,
8331,171,SUP,Yes,Yes,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
