Market,Region,Store Nbr,Tier,Details
267,25,1998,Tier 1,ISA On in Total Store
246,21,3851,Tier 1,ISA On in Total Store
249,25,5443,Tier 1,ISA On in Total Store
134,13,4295,Tier 1,ISA On in Total Store
297,26,1816,Tier 1,ISA On in Total Store
368,46,3407,Tier 1,ISA On in Total Store
29,4,605,Tier 1,ISA On in Total Store
197,19,2631,Tier 1,ISA On in Total Store
403,54,1686,Tier 1,ISA On in Total Store
509,59,5014,Tier 1,ISA On in Total Store
58,64,7251,Tier 1,ISA On in Total Store
109,9,5932,Tier 1,ISA On in Total Store
102,72,4354,Tier 1,ISA On in Total Store
174,17,2090,Tier 1,ISA On in Total Store
514,60,2403,Tier 1,ISA On in Total Store
30,3,5735,Tier 1,ISA On in Total Store
44,5,4279,Tier 1,ISA On in Total Store
1,14,2748,Tier 1,ISA On in Total Store
92,9,931,Tier 1,ISA On in Total Store
362,40,2490,Tier 1,ISA On in Total Store
446,57,2526,Tier 1,ISA On in Total Store
184,16,2142,Tier 2,GM Pause
462,57,1756,Tier 1,ISA On in Total Store
38,4,511,Tier 1,ISA On in Total Store
24,2,2941,Tier 1,ISA On in Total Store
5,12,375,Tier 1,ISA On in Total Store
81,5,1303,Tier 1,ISA On in Total Store
329,12,229,Tier 1,ISA On in Total Store
459,57,2479,Tier 1,ISA On in Total Store
89,9,800,Tier 1,ISA On in Total Store
450,56,1587,Tier 1,ISA On in Total Store
105,9,987,Tier 1,ISA On in Total Store
265,25,4531,Tier 1,ISA On in Total Store
515,61,3133,Tier 1,ISA On in Total Store
308,26,2793,Tier 1,ISA On in Total Store
310,26,1312,Tier 1,ISA On in Total Store
20,2,1340,Tier 1,ISA On in Total Store
130,13,1206,Tier 1,ISA On in Total Store
205,19,2354,Tier 1,ISA On in Total Store
153,12,3717,Tier 1,ISA On in Total Store
147,12,684,Tier 1,ISA On in Total Store
23,2,1766,Tier 1,ISA On in Total Store
548,72,5831,Tier 1,ISA On in Total Store
50,5,3044,Tier 1,ISA On in Total Store
507,64,4390,Tier 2,GM Pause
412,52,3761,Tier 1,ISA On in Total Store
29,4,1383,Tier 1,ISA On in Total Store
359,40,820,Tier 1,ISA On in Total Store
466,57,2636,Tier 1,ISA On in Total Store
116,9,3347,Tier 1,ISA On in Total Store
257,41,1048,Tier 1,ISA On in Total Store
543,64,5722,Tier 1,ISA On in Total Store
111,9,1390,Tier 1,ISA On in Total Store
580,25,2563,Tier 1,ISA On in Total Store
110,9,5671,Tier 1,ISA On in Total Store
552,61,4127,Tier 1,ISA On in Total Store
409,44,1221,Tier 1,ISA On in Total Store
132,13,402,Tier 1,ISA On in Total Store
232,22,2255,Tier 1,ISA On in Total Store
55,5,2667,Tier 1,ISA On in Total Store
2,14,562,Tier 1,ISA On in Total Store
16,3,5363,Tier 1,ISA On in Total Store
266,25,4049,Tier 1,ISA On in Total Store
132,13,543,Tier 1,ISA On in Total Store
32,3,758,Tier 1,ISA On in Total Store
345,44,136,Tier 1,ISA On in Total Store
441,53,1799,Tier 1,ISA On in Total Store
496,59,3713,Tier 1,ISA On in Total Store
5,12,7324,Tier 1,ISA On in Total Store
170,22,5131,Tier 1,ISA On in Total Store
173,17,2163,Tier 1,ISA On in Total Store
479,5,5312,Tier 1,ISA On in Total Store
506,6,3107,Tier 2,GM Pause
352,44,2803,Tier 1,ISA On in Total Store
8,14,4407,Tier 1,ISA On in Total Store
415,52,2004,Tier 1,ISA On in Total Store
298,26,1558,Tier 1,ISA On in Total Store
298,26,3305,Tier 1,ISA On in Total Store
553,9,1996,Tier 1,ISA On in Total Store
143,13,1066,Tier 1,ISA On in Total Store
300,26,1268,Tier 1,ISA On in Total Store
305,4,1464,Tier 1,ISA On in Total Store
178,22,2195,Tier 1,ISA On in Total Store
110,9,2727,Tier 1,ISA On in Total Store
202,19,2080,Tier 1,ISA On in Total Store
202,19,1771,Tier 1,ISA On in Total Store
511,56,2989,Tier 1,ISA On in Total Store
202,19,5472,Tier 1,ISA On in Total Store
65,6,3640,Tier 1,ISA On in Total Store
267,25,1933,Tier 1,ISA On in Total Store
127,42,6932,Tier 1,ISA On in Total Store
173,17,3547,Tier 1,ISA On in Total Store
263,53,5398,Tier 1,ISA On in Total Store
97,3,1223,Tier 1,ISA On in Total Store
238,19,1618,Tier 1,ISA On in Total Store
353,44,7326,Tier 1,ISA On in Total Store
497,59,3638,Tier 1,ISA On in Total Store
262,25,1003,Tier 1,ISA On in Total Store
63,6,3425,Tier 1,ISA On in Total Store
191,17,2911,Tier 1,ISA On in Total Store
105,9,819,Tier 1,ISA On in Total Store
221,21,3784,Tier 1,ISA On in Total Store
51,5,3406,Tier 1,ISA On in Total Store
339,40,1161,Tier 1,ISA On in Total Store
215,20,1895,Tier 1,ISA On in Total Store
214,20,1894,Tier 1,ISA On in Total Store
219,21,2098,Tier 1,ISA On in Total Store
14,14,3785,Tier 1,ISA On in Total Store
314,75,2805,Tier 1,ISA On in Total Store
107,9,2176,Tier 1,ISA On in Total Store
32,3,555,Tier 1,ISA On in Total Store
553,9,1590,Tier 1,ISA On in Total Store
200,19,3453,Tier 1,ISA On in Total Store
410,44,72,Tier 1,ISA On in Total Store
447,57,1574,Tier 1,ISA On in Total Store
546,72,4517,Tier 1,ISA On in Total Store
551,61,5603,Tier 1,ISA On in Total Store
165,22,2109,Tier 1,ISA On in Total Store
63,6,5612,Tier 1,ISA On in Total Store
364,46,3730,Tier 1,ISA On in Total Store
14,14,1174,Tier 1,ISA On in Total Store
238,19,4631,Tier 1,ISA On in Total Store
96,72,2499,Tier 1,ISA On in Total Store
137,12,2690,Tier 1,ISA On in Total Store
143,13,5079,Tier 1,ISA On in Total Store
359,40,29,Tier 1,ISA On in Total Store
300,26,1352,Tier 1,ISA On in Total Store
260,41,2783,Tier 1,ISA On in Total Store
272,25,224,Tier 1,ISA On in Total Store
370,46,5329,Tier 1,ISA On in Total Store
141,13,874,Tier 1,ISA On in Total Store
223,21,5409,Tier 1,ISA On in Total Store
197,19,3476,Tier 1,ISA On in Total Store
278,25,199,Tier 1,ISA On in Total Store
65,6,4111,Tier 1,ISA On in Total Store
105,9,5347,Tier 1,ISA On in Total Store
201,19,1540,Tier 1,ISA On in Total Store
70,46,3383,Tier 1,ISA On in Total Store
296,26,1287,Tier 1,ISA On in Total Store
305,4,1385,Tier 1,ISA On in Total Store
92,9,1068,Tier 1,ISA On in Total Store
492,72,5122,Tier 1,ISA On in Total Store
495,59,5646,Tier 1,ISA On in Total Store
5,12,433,Tier 1,ISA On in Total Store
267,25,5781,Tier 1,ISA On in Total Store
35,2,631,Tier 1,ISA On in Total Store
165,22,1869,Tier 2,GM Pause
482,25,2786,Tier 1,ISA On in Total Store
26,2,3611,Tier 1,ISA On in Total Store
312,75,1652,Tier 1,ISA On in Total Store
2,14,1158,Tier 1,ISA On in Total Store
140,13,3059,Tier 1,ISA On in Total Store
262,25,4323,Tier 1,ISA On in Total Store
84,6,1098,Tier 1,ISA On in Total Store
247,21,1294,Tier 1,ISA On in Total Store
145,12,6807,Tier 1,ISA On in Total Store
548,72,4141,Tier 1,ISA On in Total Store
268,25,1938,Tier 1,ISA On in Total Store
242,41,5418,Tier 1,ISA On in Total Store
498,59,5467,Tier 1,ISA On in Total Store
20,2,2584,Tier 1,ISA On in Total Store
235,20,2588,Tier 1,ISA On in Total Store
194,17,5027,Tier 1,ISA On in Total Store
430,54,1538,Tier 1,ISA On in Total Store
369,46,3465,Tier 1,ISA On in Total Store
221,21,3571,Tier 1,ISA On in Total Store
300,26,2772,Tier 1,ISA On in Total Store
370,46,5124,Tier 1,ISA On in Total Store
145,12,94,Tier 1,ISA On in Total Store
104,9,1029,Tier 1,ISA On in Total Store
215,20,2323,Tier 1,ISA On in Total Store
110,9,4161,Tier 1,ISA On in Total Store
410,44,382,Tier 1,ISA On in Total Store
225,21,1443,Tier 1,ISA On in Total Store
49,5,3432,Tier 1,ISA On in Total Store
401,54,3789,Tier 1,ISA On in Total Store
90,9,908,Tier 1,ISA On in Total Store
288,75,5488,Tier 1,ISA On in Total Store
394,57,3728,Tier 1,ISA On in Total Store
552,61,5980,Tier 1,ISA On in Total Store
53,5,2463,Tier 1,ISA On in Total Store
435,53,1551,Tier 1,ISA On in Total Store
197,19,5842,Tier 1,ISA On in Total Store
266,25,4529,Tier 1,ISA On in Total Store
554,59,2731,Tier 1,ISA On in Total Store
464,57,2546,Tier 1,ISA On in Total Store
497,59,377,Tier 1,ISA On in Total Store
253,41,655,Tier 1,ISA On in Total Store
164,17,2104,Tier 1,ISA On in Total Store
350,44,947,Tier 1,ISA On in Total Store
27,3,952,Tier 1,ISA On in Total Store
544,72,4504,Tier 1,ISA On in Total Store
218,21,2400,Tier 1,ISA On in Total Store
283,75,2194,Tier 1,ISA On in Total Store
422,52,5625,Tier 1,ISA On in Total Store
35,2,2687,Tier 1,ISA On in Total Store
304,4,1131,Tier 1,ISA On in Total Store
107,9,3348,Tier 1,ISA On in Total Store
801,29,2423,Tier 1,ISA On in Total Store
87,6,2769,Tier 1,ISA On in Total Store
260,41,1210,Tier 1,ISA On in Total Store
132,13,2938,Tier 1,ISA On in Total Store
305,4,5481,Tier 1,ISA On in Total Store
217,21,2774,Tier 1,ISA On in Total Store
96,72,5366,Tier 1,ISA On in Total Store
195,17,3607,Tier 1,ISA On in Total Store
119,2,3659,Tier 1,ISA On in Total Store
92,9,174,Tier 1,ISA On in Total Store
103,72,4617,Tier 1,ISA On in Total Store
580,25,4216,Tier 1,ISA On in Total Store
246,21,3255,Tier 1,ISA On in Total Store
300,26,1392,Tier 1,ISA On in Total Store
310,26,5787,Tier 1,ISA On in Total Store
225,21,2967,Tier 1,ISA On in Total Store
251,25,1991,Tier 1,ISA On in Total Store
9,61,4473,Tier 1,ISA On in Total Store
215,20,5285,Tier 1,ISA On in Total Store
214,20,2073,Tier 1,ISA On in Total Store
129,13,502,Tier 1,ISA On in Total Store
364,46,1328,Tier 1,ISA On in Total Store
561,64,2976,Tier 1,ISA On in Total Store
209,20,2359,Tier 1,ISA On in Total Store
561,64,2974,Tier 1,ISA On in Total Store
292,75,5880,Tier 1,ISA On in Total Store
127,42,87,Tier 1,ISA On in Total Store
42,4,585,Tier 1,ISA On in Total Store
581,57,5215,Tier 1,ISA On in Total Store
130,13,935,Tier 1,ISA On in Total Store
235,20,5339,Tier 1,ISA On in Total Store
494,59,5183,Tier 1,ISA On in Total Store
323,42,1,Tier 1,ISA On in Total Store
335,40,313,Tier 1,ISA On in Total Store
272,25,436,Tier 1,ISA On in Total Store
58,64,3653,Tier 1,ISA On in Total Store
109,9,2946,Tier 1,ISA On in Total Store
453,56,1651,Tier 1,ISA On in Total Store
71,46,549,Tier 1,ISA On in Total Store
323,42,4108,Tier 1,ISA On in Total Store
107,9,814,Tier 1,ISA On in Total Store
471,60,5195,Tier 1,ISA On in Total Store
472,60,5273,Tier 1,ISA On in Total Store
55,5,4164,Tier 1,ISA On in Total Store
447,57,1600,Tier 1,ISA On in Total Store
293,75,3804,Tier 1,ISA On in Total Store
259,41,4461,Tier 1,ISA On in Total Store
24,2,575,Tier 1,ISA On in Total Store
297,26,5292,Tier 1,ISA On in Total Store
141,13,816,Tier 1,ISA On in Total Store
275,25,1602,Tier 1,ISA On in Total Store
566,59,5107,Tier 1,ISA On in Total Store
77,6,5245,Tier 1,ISA On in Total Store
502,59,6936,Tier 1,ISA On in Total Store
445,57,3276,Tier 1,ISA On in Total Store
73,46,2891,Tier 1,ISA On in Total Store
8,14,930,Tier 1,ISA On in Total Store
59,6,4298,Tier 1,ISA On in Total Store
89,9,5299,Tier 1,ISA On in Total Store
375,46,2270,Tier 1,ISA On in Total Store
129,13,542,Tier 1,ISA On in Total Store
59,6,1103,Tier 1,ISA On in Total Store
458,57,5023,Tier 1,ISA On in Total Store
58,64,3594,Tier 1,ISA On in Total Store
222,21,1264,Tier 1,ISA On in Total Store
552,61,5609,Tier 1,ISA On in Total Store
131,13,2132,Tier 1,ISA On in Total Store
499,59,7206,Tier 1,ISA On in Total Store
300,26,1348,Tier 1,ISA On in Total Store
450,56,2039,Tier 1,ISA On in Total Store
548,72,5670,Tier 1,ISA On in Total Store
62,6,5449,Tier 1,ISA On in Total Store
123,2,724,Tier 1,ISA On in Total Store
81,5,6286,Tier 1,ISA On in Total Store
474,60,2865,Tier 1,ISA On in Total Store
55,5,565,Tier 1,ISA On in Total Store
217,21,2471,Tier 1,ISA On in Total Store
306,4,1666,Tier 1,ISA On in Total Store
179,16,1924,Tier 1,ISA On in Total Store
309,26,1097,Tier 1,ISA On in Total Store
347,44,28,Tier 1,ISA On in Total Store
247,21,2679,Tier 1,ISA On in Total Store
312,75,2312,Tier 1,ISA On in Total Store
279,25,891,Tier 2,GM Pause
462,57,3796,Tier 1,ISA On in Total Store
125,13,553,Tier 1,ISA On in Total Store
335,40,152,Tier 1,ISA On in Total Store
49,5,3014,Tier 1,ISA On in Total Store
27,3,843,Tier 1,ISA On in Total Store
218,21,3515,Tier 2,GM Pause
178,22,5142,Tier 1,ISA On in Total Store
297,26,4250,Tier 1,ISA On in Total Store
58,64,7347,Tier 1,ISA On in Total Store
267,25,5617,Tier 1,ISA On in Total Store
441,53,1305,Tier 1,ISA On in Total Store
266,25,3601,Tier 1,ISA On in Total Store
478,60,2075,Tier 1,ISA On in Total Store
375,46,2656,Tier 1,ISA On in Total Store
197,19,3336,Tier 1,ISA On in Total Store
217,21,3812,Tier 1,ISA On in Total Store
278,25,1125,Tier 1,ISA On in Total Store
5,12,298,Tier 1,ISA On in Total Store
550,61,5994,Tier 1,ISA On in Total Store
561,64,5021,Tier 1,ISA On in Total Store
92,9,5455,Tier 1,ISA On in Total Store
28,3,686,Tier 1,ISA On in Total Store
442,53,1678,Tier 1,ISA On in Total Store
473,60,5078,Tier 1,ISA On in Total Store
102,72,7307,Tier 1,ISA On in Total Store
159,16,2341,Tier 1,ISA On in Total Store
144,12,175,Tier 1,ISA On in Total Store
430,54,1604,Tier 1,ISA On in Total Store
168,22,2145,Tier 1,ISA On in Total Store
467,60,3218,Tier 1,ISA On in Total Store
477,60,1920,Tier 1,ISA On in Total Store
180,16,2202,Tier 1,ISA On in Total Store
442,53,2936,Tier 1,ISA On in Total Store
344,44,622,Tier 1,ISA On in Total Store
20,2,3067,Tier 1,ISA On in Total Store
259,41,702,Tier 1,ISA On in Total Store
50,5,1178,Tier 1,ISA On in Total Store
42,4,4593,Tier 1,ISA On in Total Store
13,14,2111,Tier 1,ISA On in Total Store
172,17,2583,Tier 1,ISA On in Total Store
297,26,1614,Tier 1,ISA On in Total Store
179,16,1974,Tier 1,ISA On in Total Store
463,57,2181,Tier 1,ISA On in Total Store
58,64,5614,Tier 1,ISA On in Total Store
446,57,2621,Tier 1,ISA On in Total Store
297,26,2058,Tier 1,ISA On in Total Store
509,59,3614,Tier 1,ISA On in Total Store
491,61,5991,Tier 1,ISA On in Total Store
364,46,1417,Tier 1,ISA On in Total Store
187,17,1994,Tier 1,ISA On in Total Store
22,2,856,Tier 1,ISA On in Total Store
463,57,5156,Tier 1,ISA On in Total Store
8,14,5348,Tier 1,ISA On in Total Store
103,72,3183,Tier 1,ISA On in Total Store
341,25,747,Tier 1,ISA On in Total Store
2,14,5113,Tier 1,ISA On in Total Store
48,5,963,Tier 1,ISA On in Total Store
285,75,2272,Tier 1,ISA On in Total Store
299,26,1321,Tier 1,ISA On in Total Store
311,20,3270,Tier 1,ISA On in Total Store
47,44,38,Tier 1,ISA On in Total Store
481,61,3139,Tier 1,ISA On in Total Store
310,26,6958,Tier 1,ISA On in Total Store
329,12,36,Tier 1,ISA On in Total Store
167,22,4687,Tier 1,ISA On in Total Store
4,12,153,Tier 1,ISA On in Total Store
215,20,2914,Tier 1,ISA On in Total Store
94,3,3310,Tier 1,ISA On in Total Store
217,21,1595,Tier 1,ISA On in Total Store
183,16,1788,Tier 1,ISA On in Total Store
425,53,1971,Tier 1,ISA On in Total Store
180,16,2046,Tier 1,ISA On in Total Store
544,72,5062,Tier 1,ISA On in Total Store
153,12,710,Tier 1,ISA On in Total Store
494,59,4054,Tier 1,ISA On in Total Store
222,21,2542,Tier 1,ISA On in Total Store
39,2,1270,Tier 1,ISA On in Total Store
136,12,707,Tier 1,ISA On in Total Store
116,9,580,Tier 1,ISA On in Total Store
39,2,514,Tier 1,ISA On in Total Store
553,9,3163,Tier 1,ISA On in Total Store
379,47,1659,Tier 1,ISA On in Total Store
221,21,1441,Tier 1,ISA On in Total Store
174,17,2003,Tier 1,ISA On in Total Store
214,20,2266,Tier 1,ISA On in Total Store
