Store,Commodity,Delivery Saturday,Delivery Sunday,Delivery Monday,Delivery Tuesday,Delivery Wednesday,Delivery Thursday,Delivery Friday
342,HVDC,1,1,1,1,1,Closed,1
342,FDD,1,1,0,1,1,Closed,1
344,HVDC,1,1,1,1,1,Closed,1
346,HVDC,1,1,1,1,1,Closed,1
351,FDD,1,1,1,0,1,Closed,1
352,HVDC,1,0,1,0,1,Closed,1
352,MP,0,0,0,0,0,Closed,0
369,FDD,1,1,1,1,1,Closed,1
370,HVDC,1,1,0,1,1,Closed,1
370,FDD,1,1,0,1,0,Closed,1
373,HVDC,1,1,1,1,1,Closed,1
373,FDD,1,1,0,1,1,Closed,1
378,HVDC,1,1,0,1,1,Closed,1
385,HVDC,0,1,0,1,0,Closed,1
385,FDD,0,1,0,1,0,Closed,1
397,FDD,1,1,0,1,1,Closed,1
401,FDD,0,1,1,1,1,Closed,1
409,FDD,1,0,1,1,1,Closed,1
411,HVDC,0,0,1,0,1,Closed,1
413,FDD,1,0,1,1,1,Closed,1
429,FDD,1,1,1,1,1,Closed,1
438,HVDC,1,1,1,1,1,Closed,1
438,FDD,0,1,1,1,1,Closed,1
443,FDD,1,0,1,1,1,Closed,1
446,HVDC,1,0,1,0,1,Closed,1
453,HVDC,1,0,1,0,1,Closed,0
453,Only Dairy Deli,1,0,1,0,1,Closed,0
466,FDD,1,0,1,1,1,Closed,1
470,FDD,1,1,1,1,1,Closed,1
473,HVDC,1,0,1,0,1,Closed,1
476,FDD,1,1,1,0,1,Closed,1
480,HVDC,0,0,1,0,1,Closed,1
480,FDD,1,0,1,1,1,Closed,1
480,MP,0,0,0,0,0,Closed,0
482,HVDC,1,0,0,1,0,Closed,1
498,FDD,1,1,1,0,1,Closed,1
523,FDD,1,1,1,1,1,Closed,1
545,HVDC,1,0,1,1,1,Closed,0
552,HVDC,1,1,1,1,1,Closed,1
554,MP,0,0,0,0,0,Closed,0
567,HVDC,0,1,0,1,0,Closed,1
606,HVDC,0,1,0,1,1,Closed,1
607,HVDC,0,1,0,1,0,Closed,1
617,HVDC,1,0,0,1,1,Closed,0
626,HVDC,1,0,1,0,1,Closed,1
626,Only Dairy Deli,1,1,1,0,1,Closed,1
646,HVDC,1,1,1,1,1,Closed,1
686,FDD,0,1,1,1,1,Closed,1
693,HVDC,1,0,1,1,1,Closed,1
696,HVDC,1,1,0,1,1,Closed,1
748,HVDC,1,1,1,1,1,Closed,1
751,FDD,0,1,1,1,1,Closed,1
757,FDD,1,1,1,0,1,Closed,1
760,HVDC,0,1,0,1,0,Closed,1
782,FDD,1,1,0,1,1,Closed,1
783,HVDC,1,1,0,1,0,Closed,1
783,FDD,1,1,1,1,1,Closed,0
783,MP,0,0,0,0,0,Closed,0
792,HVDC,1,1,0,1,0,Closed,1
792,FDD,1,1,0,1,1,Closed,1
798,HVDC,1,1,1,1,1,Closed,1
803,FDD,1,1,1,1,1,Closed,1
834,HVDC,1,1,0,1,1,Closed,1
834,FDD,1,0,1,1,1,Closed,1
837,HVDC,1,0,0,1,0,Closed,1
837,FDD,1,0,0,1,1,Closed,0
841,HVDC,0,1,1,0,1,Closed,1
843,HVDC,1,1,0,1,1,Closed,1
845,HVDC,1,0,1,0,1,Closed,1
863,FDD,1,1,0,1,1,Closed,1
871,HVDC,0,1,0,1,0,Closed,1
871,MP,0,0,0,0,0,Closed,0
873,HVDC,1,1,1,1,1,Closed,1
893,HVDC,0,0,1,0,1,Closed,1
895,HVDC,0,0,1,0,1,Closed,1
900,FDD,1,0,1,1,1,Closed,1
917,HVDC,1,1,1,1,1,Closed,1
917,FDD,1,1,1,0,1,Closed,1
951,HVDC,1,0,1,1,1,Closed,1
956,HVDC,1,1,1,1,1,Closed,1
957,HVDC,0,1,0,1,0,Closed,1
957,FDD,0,1,1,1,0,Closed,1
957,MP,0,0,0,0,0,Closed,0
971,HVDC,1,1,1,1,1,Closed,1
977,HVDC,0,1,1,1,0,Closed,1
978,FDD,1,1,1,1,1,Closed,1
986,MP,0,0,0,0,0,Closed,1
996,HVDC,1,1,0,1,1,Closed,0
996,FDD,0,1,1,1,1,Closed,1
1013,HVDC,1,0,1,1,1,Closed,0
1013,Only Dairy Deli,1,0,0,1,1,Closed,0
1018,FDD,1,1,1,1,1,Closed,1
1038,HVDC,1,1,1,1,1,Closed,1
1041,FDD,1,1,1,1,1,Closed,1
1051,FDD,1,0,1,1,1,Closed,1
1052,FDD,1,1,0,1,1,Closed,1
1063,HVDC,1,1,0,1,0,Closed,1
1067,HVDC,1,1,0,1,0,Closed,1
1067,FDD,1,1,1,1,1,Closed,0
1069,FDD,1,1,1,0,1,Closed,1
1078,HVDC,0,0,1,0,1,Closed,1
1084,FDD,0,1,1,1,1,Closed,1
1095,HVDC,1,1,1,1,1,Closed,1
1095,MP,0,0,0,0,0,Closed,1
1098,FDD,1,1,0,1,1,Closed,1
1108,FDD,1,1,0,1,1,Closed,1
1138,FDD,1,1,1,0,1,Closed,1
1166,HVDC,1,0,1,0,1,Closed,1
1169,HVDC,1,1,1,1,1,Closed,1
1169,FDD,1,1,1,0,1,Closed,1
1189,HVDC,1,1,0,1,1,Closed,0
1189,FDD,1,0,1,1,1,Closed,1
1196,FDD,1,0,1,0,1,Closed,1
1211,HVDC,1,1,1,1,1,Closed,1
1211,FDD,1,1,1,0,1,Closed,1
1214,HVDC,1,1,1,0,1,Closed,1
1235,HVDC,1,1,1,1,1,Closed,1
1255,FDD,1,1,1,1,1,Closed,1
1257,HVDC,1,1,1,1,1,Closed,1
1257,FDD,0,1,1,1,1,Closed,1
1272,FDD,1,0,1,1,1,Closed,1
1282,HVDC,1,1,1,1,1,Closed,1
1296,FDD,1,1,0,1,1,Closed,1
1323,HVDC,1,1,1,0,1,Closed,1
1323,MP,0,0,0,0,0,Closed,0
1336,HVDC,1,1,1,1,1,Closed,1
1347,FDD,1,1,0,1,1,Closed,1
1365,HVDC,1,1,0,1,1,Closed,1
1389,HVDC,1,1,1,1,1,Closed,1
1389,FDD,1,1,1,1,1,Closed,1
1435,FDD,1,0,1,1,1,Closed,1
1451,HVDC,1,1,0,1,1,Closed,1
1451,FDD,1,1,1,1,1,Closed,1
1475,HVDC,1,1,1,1,1,Closed,1
1475,FDD,1,1,0,1,1,Closed,1
1489,MP,0,0,0,0,0,Closed,0
1504,FDD,1,1,1,1,1,Closed,1
1506,HVDC,1,0,1,1,1,Closed,1
1537,HVDC,1,1,1,1,1,Closed,1
1546,HVDC,0,1,0,1,0,Closed,1
1546,MP,1,0,1,0,1,Closed,0
1550,HVDC,1,0,0,1,0,Closed,1
1610,HVDC,0,1,0,0,1,Closed,1
1615,FDD,1,1,1,1,1,Closed,1
1615,MP,0,0,1,0,0,Closed,1
1616,HVDC,1,1,1,1,1,Closed,1
1616,MP,0,1,0,1,0,Closed,1
1625,HVDC,1,1,1,1,1,Closed,1
1670,MP,0,0,0,0,0,Closed,0
1683,HVDC,1,0,1,1,1,Closed,1
1691,HVDC,0,1,1,1,1,Closed,1
1691,FDD,0,0,1,0,1,Closed,1
1693,MP,0,0,1,0,1,Closed,1
1697,FDD,1,1,0,1,1,Closed,1
1697,MP,1,0,0,1,0,Closed,1
1701,HVDC,0,1,0,1,0,Closed,1
1701,FZ only,0,1,0,1,1,Closed,1
1701,Only Dairy Deli,0,1,0,1,0,Closed,1
1713,HVDC,0,1,1,1,1,Closed,1
1755,MP,1,0,1,0,0,Closed,1
1779,MP,0,0,0,0,0,Closed,0
1785,HVDC,1,1,1,1,1,Closed,1
1795,HVDC,0,1,0,1,1,Closed,1
1808,HVDC,1,0,1,0,1,Closed,1
1808,MP,0,0,0,0,0,Closed,1
1816,HVDC,1,1,1,1,0,Closed,1
1816,FDD,1,0,1,1,1,Closed,1
1829,FDD,1,1,1,1,1,Closed,1
1838,HVDC,1,1,1,1,1,Closed,1
1838,MP,0,0,0,1,0,Closed,1
1857,HVDC,1,0,1,0,1,Closed,1
1865,HVDC,1,1,1,1,1,Closed,1
1895,HVDC,1,1,1,1,0,Closed,1
1917,MP,0,0,1,0,0,Closed,1
1919,HVDC,1,1,0,1,0,Closed,1
1919,FDD,1,0,1,1,1,Closed,1
1922,MP,0,1,0,1,0,Closed,1
1933,MP,0,0,0,0,0,Closed,0
1950,FDD,0,1,1,1,1,Closed,1
1958,FDD,1,1,0,1,1,Closed,1
1963,FDD,1,1,0,1,0,Closed,1
1963,MP,1,1,0,1,0,Closed,1
1972,FDD,1,1,0,1,1,Closed,1
1972,MP,1,1,0,1,0,Closed,1
1979,MP,1,0,0,1,0,Closed,1
2008,HVDC,1,1,1,1,1,Closed,1
2008,MP,0,0,0,0,0,Closed,0
2009,HVDC,1,1,0,1,1,Closed,1
2020,HVDC,0,1,1,1,0,Closed,1
2020,MP,0,0,1,0,0,Closed,1
2031,MP,1,0,0,1,0,Closed,1
2039,FDD,1,1,1,1,1,Closed,1
2041,HVDC,1,1,0,1,1,Closed,1
2043,HVDC,1,0,0,1,0,Closed,1
2044,MP,0,0,1,0,0,Closed,1
2052,MP,0,0,1,0,1,Closed,1
2053,FDD,1,0,1,1,1,Closed,1
2054,MP,1,0,1,0,0,Closed,1
2057,HVDC,0,1,1,0,1,Closed,1
2090,HVDC,1,1,0,1,1,Closed,1
2092,HVDC,1,1,1,1,1,Closed,1
2092,MP,0,0,1,0,0,Closed,1
2118,HVDC,1,0,1,1,1,Closed,1
2128,FDD,1,1,1,0,1,Closed,1
2130,HVDC,1,1,1,1,1,Closed,1
2130,FDD,1,0,1,1,1,Closed,1
2138,HVDC,1,1,1,1,1,Closed,1
2139,MP,0,0,0,0,0,Closed,0
2150,MP,0,0,1,0,0,Closed,1
2161,HVDC,1,1,1,1,1,Closed,1
2163,MP,0,0,0,0,0,Closed,0
2170,MP,0,0,0,0,0,Closed,0
2178,HVDC,1,1,1,1,1,Closed,1
2178,FDD,1,1,1,0,1,Closed,1
2180,HVDC,1,1,1,1,1,Closed,1
2190,HVDC,1,1,0,1,1,Closed,1
2190,MP,0,0,0,1,0,Closed,1
2206,MP,0,0,1,0,0,Closed,1
2207,HVDC,1,1,1,1,1,Closed,1
2227,MP,0,0,0,0,0,Closed,0
2228,MP,0,0,0,0,0,Closed,1
2254,HVDC,1,1,1,1,1,Closed,1
2264,FDD,1,1,1,1,1,Closed,1
2264,MP,0,1,0,0,1,Closed,0
2280,FDD,1,0,1,1,1,Closed,1
2288,MP,0,1,0,0,1,Closed,0
2297,FDD,0,1,1,1,1,Closed,1
2317,MP,0,0,1,0,1,Closed,1
2319,MP,0,0,0,0,0,Closed,0
2332,HVDC,1,1,1,1,1,Closed,1
2333,FDD,1,1,1,1,1,Closed,1
2341,MP,0,0,0,0,0,Closed,0
2395,HVDC,1,0,1,1,1,Closed,1
2404,FDD,1,0,1,1,1,Closed,1
2406,HVDC,1,1,0,1,1,Closed,1
2419,MP,0,0,0,0,0,Closed,0
2422,HVDC,1,0,1,1,1,Closed,1
2451,HVDC,1,1,0,1,1,Closed,0
2458,FDD,1,1,1,1,1,Closed,1
2471,FDD,1,1,1,1,1,Closed,1
2487,HVDC,1,1,1,0,1,Closed,1
2490,HVDC,1,1,1,1,1,Closed,1
2493,HVDC,1,1,1,1,1,Closed,1
2495,MP,1,0,0,1,0,Closed,1
2499,HVDC,1,1,1,1,1,Closed,1
2507,FDD,1,1,1,1,1,Closed,1
2507,MP,1,0,1,1,1,Closed,1
2527,HVDC,1,1,0,1,1,Closed,1
2527,MP,0,1,0,1,0,Closed,1
2530,MP,0,0,0,0,0,Closed,0
2538,HVDC,0,1,1,1,1,Closed,1
2538,FDD,1,0,1,1,1,Closed,1
2538,MP,0,0,0,0,0,Closed,1
2556,FDD,1,1,1,1,1,Closed,1
2556,MP,1,1,1,1,1,Closed,1
2558,HVDC,1,1,0,1,1,Closed,1
2571,MP,0,0,0,0,0,Closed,0
2582,HVDC,0,1,1,0,1,Closed,1
2590,HVDC,1,0,1,1,1,Closed,1
2594,MP,0,0,0,0,0,Closed,0
2598,MP,0,0,1,0,0,Closed,1
2603,HVDC,1,1,1,1,1,Closed,1
2603,MP,0,0,0,0,0,Closed,0
2604,HVDC,0,1,1,1,1,Closed,1
2608,FDD,1,1,1,0,1,Closed,1
2618,FDD,1,1,1,1,1,Closed,1
2621,FDD,1,1,1,0,1,Closed,1
2621,MP,1,0,1,0,1,Closed,1
2636,MP,0,0,1,0,1,Closed,1
2639,FDD,0,1,1,1,1,Closed,1
2640,MP,0,0,0,0,0,Closed,0
2659,HVDC,0,1,1,0,1,Closed,1
2660,FDD,1,1,1,1,1,Closed,1
2660,MP,0,0,0,0,0,Closed,0
2682,HVDC,1,1,1,1,1,Closed,1
2683,HVDC,1,1,0,1,1,Closed,1
2683,FDD,1,0,1,0,1,Closed,1
2699,HVDC,1,0,1,1,1,Closed,1
2719,MP,0,0,0,0,0,Closed,0
2731,HVDC,1,0,1,1,1,Closed,1
2741,HVDC,0,1,0,1,1,Closed,1
2743,HVDC,1,0,1,1,1,Closed,1
2758,FDD,1,1,0,1,1,Closed,1
2765,FDD,1,0,1,1,1,Closed,1
2785,HVDC,0,1,0,1,1,Closed,1
2805,HVDC,1,1,1,1,1,Closed,1
2815,MP,0,0,0,0,0,Closed,0
2816,MP,0,0,0,0,0,Closed,0
2825,MP,0,0,0,0,0,Closed,0
2835,HVDC,1,0,1,0,1,Closed,1
2835,FDD,1,1,0,1,1,Closed,1
2865,MP,0,0,0,0,0,Closed,0
2866,HVDC,0,1,0,1,1,Closed,0
2866,FDD,0,1,0,1,0,Closed,1
2867,HVDC,1,0,1,1,0,Closed,1
2885,HVDC,0,1,1,1,1,Closed,0
2885,MP,0,0,0,0,0,Closed,1
2897,HVDC,1,1,0,1,1,Closed,1
2897,MP,0,0,0,0,0,Closed,0
2898,HVDC,0,1,0,1,1,Closed,1
2898,FDD,0,1,0,1,1,Closed,1
2898,MP,0,0,0,0,0,Closed,1
2899,HVDC,1,0,1,0,1,Closed,1
2900,MP,0,0,0,0,0,Closed,0
2901,HVDC,1,1,0,1,1,Closed,1
2902,HVDC,1,1,1,1,1,Closed,1
2902,MP,0,0,0,0,0,Closed,0
2904,MP,0,0,0,0,0,Closed,0
2916,MP,0,0,0,0,0,Closed,0
2917,MP,0,0,0,0,0,Closed,0
2919,HVDC,1,1,0,1,1,Closed,1
2947,HVDC,1,1,1,1,1,Closed,1
2947,MP,0,0,0,0,0,Closed,0
2952,MP,0,1,1,0,0,Closed,1
2954,MP,0,0,0,0,0,Closed,0
2965,MP,0,0,0,0,0,Closed,0
2968,HVDC,1,1,1,1,1,Closed,1
2979,HVDC,1,1,1,1,1,Closed,1
2981,HVDC,1,1,0,1,1,Closed,0
2995,HVDC,0,1,1,0,1,Closed,1
3011,HVDC,1,0,1,1,1,Closed,1
3023,HVDC,1,1,1,1,1,Closed,1
3026,HVDC,1,1,1,0,1,Closed,1
3049,HVDC,0,1,1,1,1,Closed,1
3050,HVDC,1,0,1,0,1,Closed,1
3060,FDD,1,1,1,0,1,Closed,1
3066,HVDC,1,1,0,1,1,Closed,1
3071,HVDC,0,1,1,1,1,Closed,1
3090,HVDC,1,0,1,0,1,Closed,1
3094,HVDC,1,0,1,1,1,Closed,1
3094,FDD,1,1,1,0,1,Closed,1
3099,HVDC,1,1,1,1,1,Closed,1
3106,FDD,1,1,1,1,1,Closed,1
3110,HVDC,1,1,0,1,1,Closed,1
3111,HVDC,0,1,1,0,1,Closed,1
3126,HVDC,1,1,1,0,1,Closed,1
3133,HVDC,1,1,0,1,1,Closed,1
3144,HVDC,1,1,1,0,1,Closed,1
3145,HVDC,0,1,1,1,1,Closed,1
3146,HVDC,1,0,1,0,1,Closed,1
3146,FDD,1,1,1,1,1,Closed,1
3147,HVDC,1,1,1,1,1,Closed,1
3147,FDD,1,1,0,1,1,Closed,1
3152,HVDC,1,0,1,0,1,Closed,1
3155,HVDC,1,0,1,0,1,Closed,1
3155,FDD,1,1,0,1,1,Closed,1
3161,HVDC,1,1,1,0,1,Closed,1
3164,HVDC,0,1,0,1,1,Closed,0
3170,FDD,0,1,1,1,1,Closed,1
3177,HVDC,1,0,1,1,1,Closed,1
3185,HVDC,1,1,0,1,1,Closed,1
3199,HVDC,1,0,1,1,1,Closed,1
3200,MP,0,0,0,0,0,Closed,0
3229,FDD,1,1,0,1,1,Closed,1
3252,MP,0,0,0,0,0,Closed,0
3276,MP,1,0,1,0,1,Closed,0
3287,HVDC,0,1,0,1,1,Closed,1
3291,MP,0,0,0,0,0,Closed,0
3322,HVDC,1,1,1,0,1,Closed,1
3327,HVDC,0,1,0,1,1,Closed,1
3356,HVDC,0,1,1,1,1,Closed,1
3356,FDD,1,1,0,0,1,Closed,1
3384,FDD,1,1,0,1,1,Closed,1
3411,HVDC,1,1,1,1,1,Closed,1
3414,HVDC,0,1,1,1,1,Closed,1
3420,MP,0,0,0,0,0,Closed,0
3454,FDD,1,1,1,1,1,Closed,1
3456,HVDC,1,0,1,1,1,Closed,1
3493,MP,0,1,0,0,1,Closed,1
3494,MP,0,1,0,0,1,Closed,0
3508,HVDC,1,1,1,1,1,Closed,1
3512,HVDC,1,1,0,1,1,Closed,0
3530,HVDC,1,0,1,1,1,Closed,1
3543,MP,0,0,0,0,0,Closed,0
3545,FDD,1,1,1,1,1,Closed,1
3546,HVDC,1,0,1,1,0,Closed,1
3548,MP,0,0,0,0,0,Closed,0
3563,FDD,1,1,1,1,1,Closed,1
3574,HVDC,1,0,1,1,1,Closed,1
3579,HVDC,1,0,1,1,1,Closed,1
3589,FDD,1,1,1,1,1,Closed,1
3603,HVDC,1,0,1,0,1,Closed,1
3604,HVDC,1,1,1,1,1,Closed,1
3623,FDD,1,1,0,1,1,Closed,1
3650,FDD,1,1,0,1,0,Closed,1
3650,MP,1,1,0,1,0,Closed,1
3723,HVDC,1,1,0,1,0,Closed,1
3734,HVDC,1,1,1,1,1,Closed,1
3736,HVDC,1,1,1,1,1,Closed,1
3740,HVDC,1,1,1,1,1,Closed,1
3743,HVDC,1,1,0,1,1,Closed,1
3758,HVDC,1,0,1,0,1,Closed,1
3758,FDD,1,0,1,1,1,Closed,1
3803,MP,1,0,0,1,0,Closed,1
3844,HVDC,1,1,1,1,1,Closed,1
3847,FDD,1,1,1,1,1,Closed,1
3880,HVDC,1,0,1,1,1,Closed,1
3988,HVDC,1,0,1,0,1,Closed,1
4048,HVDC,1,1,1,1,1,Closed,1
4053,HVDC,1,1,1,1,1,Closed,1
4056,HVDC,1,0,1,1,1,Closed,1
4103,FDD,1,1,1,1,1,Closed,1
4127,HVDC,1,0,1,1,1,Closed,1
4139,HVDC,1,0,1,1,1,Closed,1
4147,HVDC,1,0,1,0,1,Closed,1
4157,HVDC,1,1,1,0,1,Closed,1
4160,HVDC,1,1,1,1,1,Closed,1
4176,HVDC,1,1,1,1,1,Closed,1
4178,HVDC,1,0,1,0,1,Closed,1
4180,HVDC,1,0,1,1,1,Closed,1
4182,HVDC,1,0,1,1,1,Closed,1
4196,HVDC,1,0,1,1,1,Closed,1
4198,HVDC,1,1,1,1,1,Closed,1
4208,HVDC,1,0,1,1,1,Closed,1
4218,HVDC,1,0,1,1,1,Closed,1
4233,HVDC,1,1,0,1,0,Closed,1
4249,FDD,1,1,0,1,1,Closed,1
4264,HVDC,1,0,1,0,1,Closed,1
4275,HVDC,1,1,0,1,0,Closed,1
4341,HVDC,1,1,1,1,1,Closed,1
4350,FDD,1,1,0,1,1,Closed,1
4367,HVDC,1,1,0,1,1,Closed,1
4375,HVDC,0,1,0,1,1,Closed,1
4376,HVDC,1,1,0,1,1,Closed,1
4413,HVDC,1,0,1,1,1,Closed,0
4414,HVDC,1,1,1,1,1,Closed,1
4428,HVDC,1,0,1,1,1,Closed,1
4428,FDD,1,0,1,1,1,Closed,1
4445,HVDC,0,1,1,1,1,Closed,1
4468,HVDC,1,0,1,0,1,Closed,1
4469,HVDC,1,1,1,1,1,Closed,1
4471,HVDC,0,1,1,0,1,Closed,1
4471,FDD,1,1,1,0,1,Closed,1
4488,FDD,1,1,0,1,1,Closed,1
4491,FDD,1,1,0,1,1,Closed,1
4508,FDD,1,1,0,1,1,Closed,1
4524,HVDC,0,1,1,1,1,Closed,1
4545,HVDC,1,1,1,1,1,Closed,1
4554,HVDC,1,1,1,1,1,Closed,1
4556,FDD,0,1,1,1,1,Closed,1
4569,FDD,1,0,1,1,1,Closed,1
4579,HVDC,1,1,1,1,1,Closed,1
4606,HVDC,1,0,1,0,1,Closed,1
4606,FDD,1,1,1,0,1,Closed,1
4607,HVDC,1,0,1,1,1,Closed,0
4618,HVDC,0,1,1,1,1,Closed,1
4625,HVDC,1,1,0,1,0,Closed,1
4625,FDD,1,1,1,1,1,Closed,0
4626,HVDC,0,1,1,1,1,Closed,1
4639,FDD,1,0,1,1,1,Closed,1
4648,HVDC,1,1,1,0,1,Closed,1
4677,FDD,1,1,1,0,1,Closed,1
4689,HVDC,1,1,1,1,1,Closed,1
4689,FDD,1,1,1,1,1,Closed,1
4699,FDD,1,1,1,0,1,Closed,1
4700,HVDC,1,0,1,0,1,Closed,1
4700,FDD,1,1,0,1,1,Closed,1
4706,HVDC,1,0,1,1,1,Closed,1
4747,HVDC,1,1,1,1,1,Closed,1
4759,HVDC,1,1,0,1,1,Closed,1
4762,HVDC,1,0,1,0,1,Closed,1
5003,FDD,1,0,1,1,1,Closed,1
5007,HVDC,1,1,1,1,1,Closed,1
5008,HVDC,1,1,0,1,1,Closed,1
5032,MP,0,0,0,0,0,Closed,0
5043,HVDC,1,1,1,1,1,Closed,1
5044,HVDC,1,0,1,1,1,Closed,1
5062,HVDC,0,1,1,1,1,Closed,1
5072,MP,0,0,1,1,0,Closed,1
5073,MP,0,0,0,0,0,Closed,0
5089,HVDC,0,1,1,1,1,Closed,1
5100,HVDC,1,1,1,1,1,Closed,1
5103,MP,0,0,0,0,0,Closed,0
5110,HVDC,1,0,1,0,1,Closed,1
5111,MP,0,0,0,0,0,Closed,0
5119,HVDC,0,1,0,1,1,Closed,1
5125,HVDC,0,1,1,1,1,Closed,1
5130,MP,0,0,0,0,0,Closed,0
5135,HVDC,1,1,0,1,1,Closed,1
5146,FDD,1,1,0,1,1,Closed,1
5149,HVDC,0,1,1,1,1,Closed,1
5178,FDD,1,0,1,1,1,Closed,1
5200,HVDC,0,1,1,1,1,Closed,1
5202,MP,0,0,0,0,0,Closed,0
5205,HVDC,1,0,1,1,1,Closed,1
5206,HVDC,1,0,1,1,1,Closed,1
5207,HVDC,1,1,0,1,1,Closed,1
5224,HVDC,0,0,1,0,1,Closed,1
5226,HVDC,1,0,1,0,1,Closed,1
5229,MP,0,0,0,0,0,Closed,0
5245,FDD,1,1,1,1,1,Closed,1
5267,HVDC,1,0,1,1,1,Closed,1
5276,MP,0,0,0,0,0,Closed,0
5290,HVDC,1,1,1,1,1,Closed,1
5297,HVDC,1,0,1,1,1,Closed,1
5304,HVDC,1,1,0,1,1,Closed,1
5306,HVDC,1,1,1,1,1,Closed,1
5306,FDD,1,1,1,1,1,Closed,1
5310,HVDC,0,1,1,1,1,Closed,1
5321,HVDC,1,1,1,1,1,Closed,1
5323,HVDC,1,1,1,1,1,Closed,1
5332,HVDC,1,1,1,1,1,Closed,1
5350,FDD,0,1,1,1,1,Closed,1
5386,HVDC,1,1,1,1,1,Closed,1
5386,FDD,1,1,1,1,1,Closed,1
5411,FDD,1,1,1,1,1,Closed,1
5434,MP,1,0,0,1,0,Closed,1
5440,MP,0,0,0,0,0,Closed,1
5460,FDD,1,0,1,1,1,Closed,1
5482,HVDC,1,1,0,1,1,Closed,1
5490,HVDC,1,1,1,0,1,Closed,1
5600,HVDC,1,1,0,1,1,Closed,1
5602,HVDC,1,1,1,1,1,Closed,1
5603,HVDC,1,1,0,1,1,Closed,1
5608,HVDC,1,1,1,1,1,Closed,1
5610,HVDC,1,1,1,1,1,Closed,1
5611,HVDC,1,1,0,1,1,Closed,1
5623,HVDC,0,1,1,0,1,Closed,1
5627,HVDC,1,0,1,1,1,Closed,1
5629,FDD,1,1,0,1,1,Closed,1
5629,MP,0,0,0,0,0,Closed,0
5637,HVDC,1,0,1,1,1,Closed,1
5640,HVDC,1,1,0,1,1,Closed,1
5643,HVDC,1,0,1,1,1,Closed,1
5658,HVDC,1,0,1,1,1,Closed,1
5659,HVDC,1,0,1,1,1,Closed,1
5659,FDD,1,1,1,0,1,Closed,1
5664,HVDC,1,1,1,1,1,Closed,1
5675,HVDC,0,1,0,1,1,Closed,1
5678,HVDC,1,0,1,1,1,Closed,1
5683,HVDC,1,1,1,1,1,Closed,1
5695,HVDC,1,1,1,1,0,Closed,1
5700,HVDC,1,1,0,1,0,Closed,1
5726,HVDC,1,1,1,1,1,Closed,1
5741,HVDC,1,1,1,1,1,Closed,1
5755,HVDC,1,1,1,1,1,Closed,1
5759,HVDC,1,1,1,1,1,Closed,1
5773,HVDC,1,1,1,1,1,Closed,1
5782,HVDC,0,1,1,1,1,Closed,1
5805,HVDC,1,1,1,1,1,Closed,1
5806,HVDC,1,1,1,1,1,Closed,1
5808,FDD,1,1,0,1,1,Closed,1
5813,HVDC,1,0,1,0,1,Closed,1
5815,HVDC,1,1,0,1,1,Closed,1
5848,MP,1,0,1,0,0,Closed,1
5855,HVDC,1,0,1,0,1,Closed,1
5863,HVDC,1,1,1,0,1,Closed,1
5886,HVDC,1,1,1,1,1,Closed,1
5893,HVDC,1,1,1,1,1,Closed,1
5938,MP,0,1,0,0,1,Closed,0
5956,FDD,0,1,1,1,1,Closed,1
5990,HVDC,1,0,1,1,1,Closed,1
5993,HVDC,1,0,1,0,1,Closed,1
5994,HVDC,0,1,1,0,1,Closed,1
