Region,Market,Store,Labor Status,,,,,,,,,,,,
14,15,944,,,,,,,,,,,,,
7,71,945,,,,,,,,,,,,,
44,350,947,,,,,,,,,,,,,
26,304,948,,,,,,,,,,,,,
6,85,951,,,,,,,,,,,,,
7,505,964,,,,,,,,,,,,,
54,378,1008,,,,,,,,,,,,,
5,45,1022,,,,,,,,,,,,,
26,304,1039,,,,,,,,,,,,,
6,65,1040,,,,,,,,,,,,,
6,569,1041,,,,,,,,,,,,,
6,85,1042,,,,,,,,,,,,,
7,88,1046,,,,,,,,,,,,,
42,325,1065,,,,,,,,,,,,,
6,84,1067,,,,,,,,,,,,,
12,124,1080,,,,,,,,,,,,,
12,120,1089,,,,,,,,,,,,,
6,59,1103,,,,,,,,,,,,,
42,326,1105,,,,,,,,,,,,,
26,304,1131,,,,,,,,,,,,,
42,328,1147,,,,,,,,,,,,,
44,349,1148,,,,,,,,,,,,,
4,310,1155,,,,,,,,,,,,,
12,123,1159,,,,,,,,,,,,,
4,300,1166,,,,,,,,,,,,,
12,121,1194,,,,,,,,,,,,,
26,301,1197,,,,,,,,,,,,,
7,506,1198,,,,,,,,,,,,,
26,305,1209,,,,,,,,,,,,,
4,294,1217,,,,,,,,,,,,,
7,86,1235,,,,,,,,,,,,,
7,74,1249,,,,,,,,,,,,,
5,76,1254,,,,,,,,,,,,,
26,309,1255,,,,,,,,,,,,,
4,300,1268,,,,,,,,,,,,,
6,59,1279,,,,,,,,,,,,,
26,302,1300,,,,,,,,,,,,,
7,81,1303,,,,,,,,,,,,,
47,381,1315,,,,,,,,,,,,,
12,122,1319,,,,,,,,,,,,,
12,122,1320,,,,,,,,,,,,,
7,87,1347,,,,,,,,,,,,,
4,300,1348,,,,,,,,,,,,,
26,301,1354,,,,,,,,,,,,,
26,305,1385,,,,,,,,,,,,,
47,381,1412,,,,,,,,,,,,,
19,203,1423,,,,,,,,,,,,,
47,381,1456,,,,,,,,,,,,,
47,381,1457,,,,,,,,,,,,,
47,381,1461,,,,,,,,,,,,,
12,121,1467,,,,,,,,,,,,,
12,119,1469,,,,,,,,,,,,,
47,382,1485,,,,,,,,,,,,,
6,78,1494,,,,,,,,,,,,,
47,382,1508,,,,,,,,,,,,,
19,202,1593,,,,,,,,,,,,,
12,119,1606,,,,,,,,,,,,,
26,308,1613,,,,,,,,,,,,,
19,202,1642,,,,,,,,,,,,,
54,376,1689,,,,,,,,,,,,,
19,202,1771,,,,,,,,,,,,,
26,306,1821,,,,,,,,,,,,,
6,59,1837,,,,,,,,,,,,,
26,301,1950,,,,,,,,,,,,,
6,80,1958,,,,,,,,,,,,,
9,553,1996,,,,,,,,,,,,,
26,301,2000,,,,,,,,,,,,,
12,122,2065,,,,,,,,,,,,,
26,306,2134,,,,,,,,,,,,,
9,118,2237,,,,,,,,,,,,,
7,86,2239,,,,,,,,,,,,,
12,122,2310,,,,,,,,,,,,,
7,87,2404,,,,,,,,,,,,,
12,124,2496,,,,,,,,,,,,,
6,62,2505,,,,,,,,,,,,,
42,326,2575,,,,,,,,,,,,,
42,326,2587,,,,,,,,,,,,,
7,86,2599,,,,,,,,,,,,,
7,505,2612,,,,,,,,,,,,,
26,298,2704,,,,,,,,,,,,,
26,301,2730,,,,,,,,,,,,,
6,569,2763,,,,,,,,,,,,,
7,87,2769,,,,,,,,,,,,,
12,122,2932,,,,,,,,,,,,,
7,82,2991,,,,,,,,,,,,,
6,62,2993,,,,,,,,,,,,,
7,86,3106,,,,,,,,,,,,,
7,505,3136,,,,,,,,,,,,,
6,65,3226,,,,,,,,,,,,,
44,349,3229,,,,,,,,,,,,,
42,324,3230,,,,,,,,,,,,,
12,123,3234,,,,,,,,,,,,,
7,77,3279,,,,,,,,,,,,,
6,67,3297,,,,,,,,,,,,,
7,81,3319,,,,,,,,,,,,,
6,80,3320,,,,,,,,,,,,,
42,327,3331,,,,,,,,,,,,,
26,309,3371,,,,,,,,,,,,,
13,68,3390,,,,,,,,,,,,,
7,87,3391,,,,,,,,,,,,,
6,62,3510,,,,,,,,,,,,,
6,80,3567,,,,,,,,,,,,,
13,68,3585,,,,,,,,,,,,,
13,68,3591,,,,,,,,,,,,,
4,310,3595,,,,,,,,,,,,,
12,119,3659,,,,,,,,,,,,,
12,120,3660,,,,,,,,,,,,,
7,505,3763,,,,,,,,,,,,,
12,124,3829,,,,,,,,,,,,,
12,119,3835,,,,,,,,,,,,,
12,124,3852,,,,,,,,,,,,,
7,86,3888,,,,,,,,,,,,,
6,65,4111,,,,,,,,,,,,,
7,82,4163,,,,,,,,,,,,,
12,121,4166,,,,,,,,,,,,,
42,326,4168,,,,,,,,,,,,,
7,82,4219,,,,,,,,,,,,,
26,304,4224,,,,,,,,,,,,,
12,119,4226,,,,,,,,,,,,,
6,59,4298,,,,,,,,,,,,,
7,71,4299,,,,,,,,,,,,,
4,294,4428,,,,,,,,,,,,,
42,324,4460,,,,,,,,,,,,,
26,308,4477,,,,,,,,,,,,,
12,122,4635,,,,,,,,,,,,,
6,67,5091,,,,,,,,,,,,,
7,86,5145,,,,,,,,,,,,,
7,70,5216,,,,,,,,,,,,,
42,324,5244,,,,,,,,,,,,,
7,77,5245,,,,,,,,,,,,,
6,65,5246,,,,,,,,,,,,,
12,119,5251,,,,,,,,,,,,,
42,323,5260,,,,,,,,,,,,,
12,119,5263,,,,,,,,,,,,,
13,68,5287,,,,,,,,,,,,,
42,325,5433,,,,,,,,,,,,,
40,336,5477,,,,,,,,,,,,,
7,83,5479,,,,,,,,,,,,,
42,324,5706,,,,,,,,,,,,,
7,88,5713,,,,,,,,,,,,,
4,310,5787,,,,,,,,,,,,,
6,569,5808,,,,,,,,,,,,,
6,78,5898,,,,,,,,,,,,,
5,45,6467,,,,,,,,,,,,,
26,308,6789,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
