Region,Market,Store,Labor Status,,,,,,,,,,,,
16,183,2659,Pending,,,,,,,,,,,,
47,427,1636,Pending,,,,,,,,,,,,
56,468,2069,Pending,,,,,,,,,,,,
3,112,5220,Pending,,,,,,,,,,,,
7,74,1249,Pending,,,,,,,,,,,,
3,95,1213,Pending,,,,,,,,,,,,
7,74,1078,Pending,,,,,,,,,,,,
7,81,813,Pending,,,,,,,,,,,,
7,73,626,Pending,,,,,,,,,,,,
7,74,536,Pending,,,,,,,,,,,,
6,61,482,Pending,,,,,,,,,,,,
7,77,478,Pending,,,,,,,,,,,,
6,85,473,Pending,,,,,,,,,,,,
6,85,446,Pending,,,,,,,,,,,,
7,77,290,,,,,,,,,,,,,
4,39,6576,Cancelled,,,,,,,,,,,,
2,19,5709,Pending,,,,,,,,,,,,
2,19,3201,Pending,,,,,,,,,,,,
16,159,3200,Pending,,,,,,,,,,,,
60,467,2469,Cancelled,,,,,,,,,,,,
4,41,2214,Pending,,,,,,,,,,,,
16,160,2095,Pending,,,,,,,,,,,,
2,21,1400,Pending,,,,,,,,,,,,
4,41,1183,Cancelled,,,,,,,,,,,,
2,21,1111,Pending,,,,,,,,,,,,
2,21,780,Pending,,,,,,,,,,,,
20,258,545,Pending,,,,,,,,,,,,
42,321,230,Pending,,,,,,,,,,,,
19,204,2644,Pending,,,,,,,,,,,,
16,188,1940,Pending,,,,,,,,,,,,
19,204,5097,Pending,,,,,,,,,,,,
52,412,5806,Pending,,,,,,,,,,,,
19,205,4243,Pending,,,,,,,,,,,,
19,203,1733,Pending,,,,,,,,,,,,
9,110,4303,Pending,,,,,,,,,,,,
47,427,4569,Pending,,,,,,,,,,,,
44,409,3283,Pending,,,,,,,,,,,,
60,475,3380,Pending,,,,,,,,,,,,
54,391,3805,Pending,,,,,,,,,,,,
75,291,5343,Pending,,,,,,,,,,,,
75,508,5779,Pending,,,,,,,,,,,,
14,1,6173,Pending,,,,,,,,,,,,
14,1,866,Pending,,,,,,,,,,,,
75,291,1833,Pending,,,,,,,,,,,,
75,291,2520,Pending,,,,,,,,,,,,
54,389,3018,Pending,,,,,,,,,,,,
44,409,4321,Pending,,,,,,,,,,,,
60,473,5078,Pending,,,,,,,,,,,,
14,1,853,Pending,,,,,,,,,,,,
44,409,1507,Pending,,,,,,,,,,,,
60,473,2269,Pending,,,,,,,,,,,,
76,292,3077,Pending,,,,,,,,,,,,
75,291,4258,Pending,,,,,,,,,,,,
54,391,4335,Pending,,,,,,,,,,,,
60,475,2241,Pending,,,,,,,,,,,,
14,14,2739,Pending,,,,,,,,,,,,
44,409,3492,Pending,,,,,,,,,,,,
76,292,3639,Pending,,,,,,,,,,,,
54,391,5123,Pending,,,,,,,,,,,,
75,291,5731,Pending,,,,,,,,,,,,
54,391,1896,Pending,,,,,,,,,,,,
76,292,2038,Pending,,,,,,,,,,,,
75,291,2136,Pending,,,,,,,,,,,,
44,409,2428,Pending,,,,,,,,,,,,
60,475,3261,Pending,,,,,,,,,,,,
14,14,7247,Pending,,,,,,,,,,,,
19,205,1928,Pending,,,,,,,,,,,,
19,205,2273,Pending,,,,,,,,,,,,
19,205,3726,Pending,,,,,,,,,,,,
19,205,2693,Pending,,,,,,,,,,,,
19,203,2700,Pending,,,,,,,,,,,,
19,203,2618,Pending,,,,,,,,,,,,
19,203,5893,Pending,,,,,,,,,,,,
17,163,2719,Pending,,,,,,,,,,,,
19,203,5048,Pending,,,,,,,,,,,,
17,163,2965,Pending,,,,,,,,,,,,
19,203,1754,Pending,,,,,,,,,,,,
17,173,3543,Pending,,,,,,,,,,,,
19,203,2866,Pending,,,,,,,,,,,,
41,580,617,Pending,,,,,,,,,,,,
17,173,3546,Pending,,,,,,,,,,,,
19,203,4540,Pending,,,,,,,,,,,,
17,173,3803,Pending,,,,,,,,,,,,
9,109,3625,Pending,,,,,,,,,,,,
19,205,3632,Pending,,,,,,,,,,,,
19,200,5386,Pending,,,,,,,,,,,,
17,162,2282,Pending,,,,,,,,,,,,
19,205,1592,Pending,,,,,,,,,,,,
19,200,1942,Pending,,,,,,,,,,,,
17,163,2899,Pending,,,,,,,,,,,,
52,426,2714,Pending,,,,,,,,,,,,
76,280,1703,Cancelled,,,,,,,,,,,,
5,52,3286,Cancelled,,,,,,,,,,,,
20,258,552,Pending,,,,,,,,,,,,
41,254,333,Pending,,,,,,,,,,,,
41,257,689,Pending,,,,,,,,,,,,
20,316,2548,Cancelled,,,,,,,,,,,,
