Store # ,LAST STRIPING DATE ,City ,State ,Approved Budget- 2024
5334,5/20/2022,Aurora,CO,"$15,000"
5341,7/22/2022,BROOMFIELD,CO,"$15,000"
5828,9/5/2020,PUEBLO,CO,"$8,500"
1980,8/17/2020,PUTNAM,CT,"$15,000"
2022,10/14/2021,NORTH WINDHAM,CT,"$15,000"
2200,10/18/2021,GROTON,CT,"$11,500"
2232,8/1/2019,BRANFORD,CT,"$11,500"
2284,6/21/2021,NAUGATUCK,CT,"$15,000"
2331,10/21/2021,WATERFORD,CT,"$15,000"
2371,8/1/2019,WALLINGFORD,CT,"$15,000"
2900,6/13/2021,ROCKY HILL,CT,"$11,500"
3547,11/8/2018,NORWALK,CT,"$11,500"
3548,8/3/2018,WATERBURY,CT,"$11,500"
3803,6/30/2021,WEST HAVEN,CT,"$11,500"
5095,7/20/2022,HARTFORD,CT,"$15,000"
5439,6/21/2021,NEW HAVEN,CT,"$15,000"
1741,9/17/2019,MILFORD,DE,"$11,500"
2460,5/27/2020,SEAFORD,DE,"$15,000"
2555,7/17/2019,NEW CASTLE,DE,"$11,500"
2791,5/15/2019,GEORGETOWN,DE,"$15,000"
5436,5/20/2020,WILMINGTON,DE,"$11,500"
525,8/31/2022,Lake Mary,FL,"$8,500"
538,4/8/2022,Gainesville,FL,"$15,000"
580,10/7/2022,BARTOW,FL,"$15,000"
613,4/28/2020,Ormond Beach,FL,"$15,000"
649,4/7/2020,Titusville,FL,"$15,000"
718,10/5/2022,Auburndale,FL,"$15,000"
759,12/28/2021,Wauchula,FL,"$15,000"
814,7/25/2019,Okeechobee,FL,"$15,000"
860,10/28/2021,Deland,FL,"$15,000"
919,5/4/2018,Fort Walton Beach,FL,"$15,000"
931,5/16/2022,Vero Beach,FL,"$15,000"
959,11/15/2022,Bushnell,FL,"$15,000"
994,10/28/2021,New Port Richey,FL,"$15,000"
1077,11/6/2020,TALLAHASSEE,FL,"$15,000"
1082,5/26/2020,Jacksonville,FL,"$15,000"
1083,5/19/2020,JACKSONVILLE,FL,"$15,000"
1087,4/13/2021,STUART,FL,"$15,000"
1119,2/9/2021,NAPLES,FL,"$11,500"
1182,12/3/2020,Palm Coast,FL,"$15,000"
1207,11/4/2022,Callaway,FL,"$15,000"
1219,12/4/2020,Jacksonville,FL,"$15,000"
1222,3/19/2021,PENSACOLA,FL,"$15,000"
1224,4/19/2019,Pensacola,FL,"$15,000"
1375,10/9/2019,MARIANNA,FL,"$15,000"
1398,10/6/2021,Lake Worth,FL,"$15,000"
1436,8/8/2018,Greenacres,FL,"$15,000"
1482,4/3/2018,Tampa,FL,"$11,500"
1501,6/27/2018,Tampa,FL,"$11,500"
1511,12/31/2019,Miramar,FL,"$15,000"
1680,4/29/2019,KENDALL,FL,"$15,000"
1847,11/16/2022,OCALA,FL,"$15,000"
1874,10/27/2021,ENGLEWOOD,FL,"$15,000"
1957,2/9/2021,NAPLES,FL,"$15,000"
2091,3/2/2021,DORAL,FL,"$15,000"
2114,4/21/2020,CHIPLEY,FL,"$15,000"
2391,6/2/2021,NEW PORT RICHEY,FL,"$8,500"
2396,7/27/2021,BOYNTON BEACH,FL,"$8,500"
2459,9/30/2021,SARASOTA,FL,"$15,000"
2533,8/16/2019,GULF BREEZE,FL,"$15,000"
2727,7/15/2020,FLORIDA CITY,FL,"$15,000"
2789,8/30/2018,BOYNTON BEACH,FL,"$15,000"
2843,10/3/2022,SUMMERFIELD,FL,"$15,000"
2907,12/20/2022,MIAMI GARDENS,FL,"$8,500"
2930,10/12/2021,TAMARAC,FL,"$8,500"
3013,12/30/2021,PINELLAS PARK,FL,"$8,500"
3119,2/16/2022,PANAMA CITY BEACH,FL,"$15,000"
3161,9/30/2021,PASADENA,FL,"$8,500"
3163,10/7/2020,HOLLYWOOD,FL,"$15,000"
3183,10/22/2018,HOMESTEAD,FL,"$8,500"
3207,5/3/2022,SANFORD,FL,"$15,000"
3308,7/2/2021,MIDDLEBURG,FL,"$15,000"
3348,7/11/2022,LAKE PARK,FL,"$15,000"
3372,11/2/2022,LARGO,FL,"$15,000"
3387,10/15/2020,NORTH PORT,FL,"$15,000"
3397,3/31/2020,MIAMI GARDENS,FL,"$15,000"
3415,5/26/2020,TARPON SPRINGS,FL,"$15,000"
3417,7/16/2018,NAPLES,FL,"$15,000"
3439,4/21/2020,NAVARRE,FL,"$15,000"
3484,11/6/2020,PENSACOLA,FL,"$15,000"
3538,8/27/2019,MELBOURNE,FL,"$15,000"
3702,12/28/2021,JACKSONVILLE,FL,"$15,000"
3858,11/2/2021,BOCA RATON,FL,"$15,000"
3935,3/29/2019,Miami,FL,"$8,500"
4141,11/17/2020,Largo,FL,"$8,500"
4159,5/25/2022,KISSIMMEE,FL,"$8,500"
4211,3/28/2022,ORLANDO,FL,"$8,500"
4446,10/23/2020,WEST PALM BEACH,FL,"$15,000"
4681,6/14/2022,TAMPA,FL,"$15,000"
5055,10/6/2021,NAPLES,FL,"$15,000"
5265,10/5/2022,SAINT CLOUD,FL,"$8,500"
5325,3/9/2021,MARGATE,FL,"$15,000"
5326,11/17/2022,OCALA,FL,"$15,000"
5365,6/16/2021,MELBOURNE,FL,"$8,500"
5391,7/3/2018,NAPLES,FL,"$15,000"
5455,5/13/2022,PALM BAY,FL,"$15,000"
5615,9/3/2021,HIALEAH GARDENS,FL,"$8,500"
5671,10/22/2018,HOMESTEAD,FL,"$15,000"
5704,5/26/2020,Port St Lucie,FL,"$8,500"
5719,12/15/2021,MIAMI,FL,"$8,500"
5727,12/15/2021,BRADENTON,FL,"$15,000"
5771,7/20/2018,Pensacola (E Nine Mile),FL,"$8,500"
5826,5/26/2022,BRANDON,FL,"$8,500"
5882,10/28/2021,PALM SPRINGS,FL,"$15,000"
5911,11/12/2021,BOYNTON BEACH,FL,"$15,000"
5912,10/24/2018,MIAMI,FL,"$15,000"
6190,10/6/2021,LABELLE,FL,"$15,000"
6398,8/5/2021,DELTONA,FL,"$8,500"
6531,3/19/2021,PENSACOLA,FL,"$8,500"
6548,10/13/2022,TAMPA,FL,"$8,500"
6941,3/19/2018,CAPE CORAL,FL,"$8,500"
6968,9/19/2022,RIVERVIEW,FL,"$8,500"
7221,1/4/2022,NORTH PORT,FL,"$8,500"
7298,2/16/2022,Sarasota (Palmer Crossing),FL,"$8,500"
494,1/12/2022,NEWNAN,GA,"$15,000"
518,11/10/2022,CANTON,GA,"$15,000"
520,5/23/2022,Winder,GA,"$15,000"
575,4/8/2022,Woodstock,GA,"$15,000"
605,8/27/2021,SAVANNAH,GA,"$15,000"
614,6/15/2020,LAGRANGE,GA,"$15,000"
618,8/22/2022,HIRAM,GA,"$15,000"
639,4/11/2022,Brunswick,GA,"$15,000"
658,8/1/2022,ROME,GA,"$15,000"
686,8/13/2019,FITZGERALD,GA,"$15,000"
722,9/20/2022,CARROLLTON,GA,"$15,000"
727,6/2/2021,CEDARTOWN,GA,"$15,000"
758,9/14/2018,AMERICUS,GA,"$15,000"
780,10/13/2022,MONROE,GA,"$15,000"
787,5/3/2022,RIVERDALE,GA,"$15,000"
840,8/5/2019,WARNER ROBINS,GA,"$8,500"
843,11/1/2018,Camilla,GA,"$15,000"
856,5/10/2021,BREMEN,GA,"$15,000"
864,5/13/2020,Vidalia,GA,"$15,000"
907,11/2/2021,Forsyth,GA,"$15,000"
937,11/5/2021,MARIETTA,GA,"$15,000"
1006,11/8/2019,CORDELE,GA,"$15,000"
1011,8/9/2019,RINCON,GA,"$15,000"
1018,8/16/2019,Eastman,GA,"$15,000"
1070,10/19/2022,EAST ELLIJAY,GA,"$15,000"
1072,8/14/2019,TIFTON,GA,"$15,000"
1111,5/14/2020,HARTWELL,GA,"$15,000"
1112,10/8/2020,THOMASTON,GA,"$15,000"
1153,2/7/2022,Macon,GA,"$15,000"
1215,4/14/2021,CALHOUN,GA,"$15,000"
1227,5/13/2020,AUGUSTA,GA,"$15,000"
1338,6/2/2021,COLUMBUS,GA,"$11,500"
1400,5/27/2021,Athens,GA,"$15,000"
1578,5/13/2022,Roswell,GA,"$15,000"
1766,11/12/2021,Marietta,GA,"$15,000"
2154,5/23/2019,DULUTH,GA,"$15,000"
2731,5/24/2019,GAINESVILLE,GA,"$8,500"
2753,5/14/2020,CLAYTON,GA,"$15,000"
2811,9/1/2022,Athens,GA,"$15,000"
2941,4/14/2021,Alpharetta,GA,"$15,000"
2988,12/15/2021,LA FAYETTE,GA,"$15,000"
3118,6/10/2021,DECATUR,GA,"$15,000"
3205,5/9/2019,LITHIA SPRINGS,GA,"$15,000"
3402,11/19/2018,STOCKBRIDGE,GA,"$15,000"
3471,12/21/2021,KENNESAW,GA,"$15,000"
3485,5/29/2018,BLAIRSVILLE,GA,"$15,000"
3609,11/17/2021,ELLENWOOD,GA,"$15,000"
3627,4/14/2020,OAKWOOD,GA,"$15,000"
3710,1/14/2022,DECATUR,GA,"$15,000"
3874,9/28/2018,Dawsonville,GA,"$15,000"
4200,5/3/2019,COLUMBUS,GA,"$15,000"
4409,5/10/2022,ROCKMART,GA,"$15,000"
4421,8/22/2022,COLUMBUS,GA,"$8,500"
4528,9/14/2021,DALTON,GA,"$8,500"
5390,7/15/2022,MARIETTA,GA,"$15,000"
5709,12/11/2020,LOCUST GROVE,GA,"$15,000"
5786,6/24/2022,JASPER,GA,"$15,000"
5812,8/16/2021,BLUE RIDGE,GA,"$15,000"
5814,5/27/2021,Holly Springs,GA,"$15,000"
5907,6/1/2021,COLUMBUS,GA,"$8,500"
7185,4/14/2021,Cumming,GA,"$15,000"
7246,8/16/2021,Cochran,GA,"$15,000"
2308,6/29/2021,Lihue,HI,"$11,500"
2321,6/29/2021,Kailua Kona,HI,"$11,500"
3883,9/16/2020,Kapolei,HI,"$11,500"
581,7/20/2021,MARSHALLTOWN,IA,"$15,000"
751,7/14/2021,PELLA,IA,"$15,000"
841,10/4/2022,TIPTON,IA,"$11,500"
892,8/5/2021,Ankeny,IA,"$15,000"
985,6/18/2021,FAIRFIELD,IA,"$15,000"
1389,8/3/2021,Boone,IA,"$15,000"
1415,6/2/2021,SPIRIT LAKE,IA,"$15,000"
1491,10/30/2020,Indianola,IA,"$15,000"
1496,9/28/2022,WATERLOO,IA,"$15,000"
1526,6/1/2021,STORM LAKE,IA,"$15,000"
1625,9/7/2022,LE MARS,IA,"$15,000"
1721,8/10/2021,IOWA CITY,IA,"$15,000"
1723,5/11/2022,DES MOINES,IA,"$15,000"
1732,5/2/2020,Denison,IA,"$15,000"
1965,11/1/2021,COUNCIL BLUFFS,IA,"$15,000"
2764,4/27/2022,ALTOONA,IA,"$15,000"
2889,7/29/2021,CLINTON,IA,"$15,000"
3150,4/30/2020,COUNCIL BLUFFS,IA,"$15,000"
5115,9/10/2021,DAVENPORT,IA,"$15,000"
5748,11/9/2022,GRIMES,IA,"$15,000"
1878,6/17/2021,Rexburg,ID,"$11,500"
1900,11/5/2020,BURLEY,ID,"$15,000"
1902,10/23/2021,AMMON,ID,"$15,000"
1905,6/28/2021,BLACKFOOT,ID,"$15,000"
2781,8/19/2020,NAMPA,ID,"$15,000"
2782,10/8/2021,MOUNTAIN HOME,ID,"$15,000"
2831,7/18/2019,Jerome,ID,"$15,000"
2861,3/13/2022,BOISE,ID,"$15,000"
3093,9/30/2021,MERIDIAN,ID,"$15,000"
3472,9/2/2021,Post Falls,ID,"$15,000"
3511,10/23/2020,Hayden,ID,"$15,000"
3739,6/7/2022,NAMPA,ID,"$15,000"
3897,8/18/2022,TWIN FALLS,ID,"$15,000"
4395,7/10/2021,Post Falls,ID,"$15,000"
5494,10/23/2021,IDAHO FALLS,ID,"$15,000"
5869,7/8/2021,Moscow,ID,"$15,000"
34,3/12/2020,CHARLESTON,IL,"$15,000"
199,3/31/2020,LINCOLN,IL,"$15,000"
200,8/12/2021,JACKSONVILLE,IL,"$15,000"
201,6/21/2022,BELLEVILLE,IL,"$15,000"
222,3/26/2019,SPARTA,IL,"$15,000"
253,3/10/2020,JERSEYVILLE,IL,"$15,000"
256,8/19/2020,GLEN CARBON,IL,"$15,000"
262,10/17/2022,BENTON,IL,"$15,000"
352,10/19/2022,CHESTER,IL,"$11,500"
361,3/17/2021,COLLINSVILLE,IL,"$15,000"
435,10/23/2020,HIGHLAND,IL,"$15,000"
550,9/27/2021,LAWRENCEVILLE,IL,"$15,000"
775,8/18/2020,GALESBURG,IL,"$15,000"
792,8/4/2022,ALEDO,IL,"$11,500"
1028,4/27/2021,EAST PEORIA,IL,"$15,000"
1125,10/7/2022,NORMAL,IL,"$15,000"
1211,7/29/2021,HARVARD,IL,"$15,000"
1228,10/11/2022,ROUND LAKE BEACH,IL,"$15,000"
1256,9/29/2022,JOLIET,IL,"$15,000"
1323,5/7/2021,PEORIA,IL,"$11,500"
1377,8/2/2021,JOHNSBURG,IL,"$15,000"
1404,5/5/2021,LAKE ZURICH,IL,"$15,000"
1413,10/19/2021,CRYSTAL LAKE,IL,"$15,000"
1420,10/19/2021,STREAMWOOD,IL,"$15,000"
1421,5/7/2021,WASHINGTON,IL,"$15,000"
1451,5/7/2021,BEARDSTOWN,IL,"$15,000"
1489,10/13/2021,VERNON HILLS,IL,"$11,500"
1490,7/21/2022,ROCKFORD,IL,"$15,000"
1497,3/30/2021,Richton Park,IL,"$15,000"
1548,4/6/2021,WATSEKA,IL,"$15,000"
1596,9/22/2021,BOLINGBROOK,IL,"$15,000"
1602,8/17/2021,SPRINGFIELD,IL,"$15,000"
1668,10/4/2022,GURNEE,IL,"$15,000"
1713,5/27/2020,CANTON,IL,"$11,500"
1737,7/27/2021,VILLA PARK,IL,"$15,000"
1740,9/28/2022,FREEPORT,IL,"$15,000"
1779,5/12/2021,BRIDGEVIEW,IL,"$11,500"
1898,4/8/2021,SAINT CHARLES,IL,"$15,000"
1933,6/14/2021,NORTHLAKE,IL,"$11,500"
1938,5/11/2022,BEDFORD PARK,IL,"$15,000"
2215,10/20/2021,DARIEN,IL,"$15,000"
2231,4/21/2020,Moline,IL,"$15,000"
2815,4/11/2022,ROLLING MEADOWS,IL,"$11,500"
2816,5/7/2021,NILES,IL,"$11,500"
2934,9/29/2021,PARIS,IL,"$15,000"
3004,8/2/2022,CICERO,IL,"$15,000"
3210,8/10/2021,SPRINGFIELD,IL,"$15,000"
3255,5/30/2020,SAVOY,IL,"$15,000"
3400,4/13/2022,OSWEGO,IL,"$15,000"
3460,10/17/2021,PEORIA,IL,"$15,000"
3597,9/26/2022,BELVIDERE,IL,"$15,000"
3601,6/6/2022,CRESTWOOD,IL,"$15,000"
3725,10/18/2021,NILES,IL,"$15,000"
3837,9/14/2021,ROSCOE,IL,"$15,000"
3891,7/8/2022,WAUKEGAN,IL,"$15,000"
4323,8/5/2022,KANKAKEE,IL,"$15,000"
4511,4/22/2020,SILVIS,IL,"$15,000"
4529,4/12/2021,NEW LENOX,IL,"$15,000"
4641,6/2/2022,HUNTLEY,IL,"$15,000"
4699,10/18/2021,STREATOR,IL,"$15,000"
5060,10/20/2021,ALGONQUIN,IL,"$15,000"
5157,5/5/2021,MORTON,IL,"$15,000"
5399,8/9/2022,DIXON,IL,"$15,000"
492,9/28/2021,VINCENNES,IN,"$15,000"
617,3/24/2020,SULLIVAN,IN,"$11,500"
884,10/12/2022,SHELBYVILLE,IN,"$15,000"
902,10/9/2018,GREENCASTLE,IN,"$15,000"
923,9/7/2022,NOBLESVILLE,IN,"$15,000"
1141,4/3/2020,GREENFIELD,IN,"$15,000"
1162,10/20/2022,WASHINGTON,IN,"$15,000"
1356,5/14/2021,MARTINSVILLE,IN,"$15,000"
1371,5/13/2020,COLUMBUS,IN,"$15,000"
1388,5/28/2020,KENDALLVILLE,IN,"$15,000"
1419,6/22/2021,FORT WAYNE,IN,"$15,000"
1476,4/26/2021,CLARKSVILLE,IN,"$15,000"
1479,4/26/2022,VALPARAISO,IN,"$15,000"
1480,10/9/2021,WINCHESTER,IN,"$15,000"
1547,8/24/2020,LAFAYETTE,IN,"$15,000"
1557,5/12/2021,FISHERS,IN,"$15,000"
1629,4/28/2020,BRAZIL,IN,"$11,500"
1639,5/26/2021,ROCHESTER,IN,"$15,000"
1655,5/28/2020,CRAWFORDSVILLE,IN,"$15,000"
1676,11/9/2022,TELL CITY,IN,"$15,000"
1783,4/2/2020,PRINCETON,IN,"$15,000"
1804,9/27/2022,FORT WAYNE,IN,"$15,000"
1991,6/24/2021,BLOOMINGTON,IN,"$15,000"
2544,9/22/2020,PORTAGE,IN,"$15,000"
2771,5/17/2021,MONTICELLO,IN,"$15,000"
3747,4/23/2020,MUNCIE,IN,"$15,000"
3781,10/23/2020,INDIANAPOLIS,IN,"$15,000"
4053,4/3/2020,INDIANAPOLIS,IN,"$8,500"
4231,8/27/2020,FORT WAYNE,IN,"$15,000"
4417,3/17/2022,CAMBY,IN,"$15,000"
5025,5/30/2021,FORT WAYNE,IN,"$15,000"
5408,4/15/2021,INDIANAPOLIS,IN,"$8,500"
5452,8/19/2022,EVANSVILLE,IN,"$8,500"
6390,3/24/2020,INDIANAPOLIS,IN,"$8,500"
6476,5/8/2020,DANVILLE,IN,"$15,000"
26,1/13/2021,LEAVENWORTH,KS,"$15,000"
42,5/17/2021,COFFEYVILLE,KS,"$15,000"
111,7/14/2021,CHANUTE,KS,"$15,000"
346,9/24/2018,Augusta,KS,"$11,500"
369,1/25/2022,WINFIELD,KS,"$15,000"
370,5/8/2020,WELLINGTON,KS,"$15,000"
592,11/22/2021,DERBY,KS,"$15,000"
794,6/24/2021,HUTCHINSON,KS,"$15,000"
799,9/14/2018,LIBERAL,KS,"$15,000"
993,7/14/2021,MCPHERSON,KS,"$15,000"
1054,6/20/2022,ATCHISON,KS,"$15,000"
1187,12/1/2021,IOLA,KS,"$15,000"
1214,8/10/2021,COLBY,KS,"$15,000"
1802,11/24/2020,TOPEKA,KS,"$15,000"
2131,10/24/2018,TOPEKA,KS,"$15,000"
2428,7/14/2021,Newton,KS,"$15,000"
2893,4/1/2021,INDEPENDENCE,KS,"$15,000"
3103,11/22/2019,GODDARD,KS,"$15,000"
3273,10/2/2018,OVERLAND PARK,KS,"$15,000"
3283,6/24/2021,WICHITA,KS,"$15,000"
3492,4/6/2020,WICHITA,KS,"$15,000"
4625,10/8/2021,GARDEN CITY,KS,"$8,500"
5441,11/24/2020,TOPEKA,KS,"$15,000"
5855,4/6/2020,WICHITA,KS,"$8,500"
143,7/30/2021,BENTON,KY,"$15,000"
410,7/27/2021,MURRAY,KY,"$15,000"
430,3/30/2022,MAYFIELD,KY,"$15,000"
491,7/28/2021,PADUCAH,KY,"$15,000"
497,4/17/2020,SHELBYVILLE,KY,"$15,000"
519,11/8/2021,HARRODSBURG,KY,"$15,000"
571,6/8/2021,GEORGETOWN,KY,"$15,000"
589,3/27/2020,LOUISVILLE,KY,"$15,000"
655,11/9/2021,Hanson,KY,"$15,000"
665,5/3/2022,CAMPBELLSVILLE,KY,"$15,000"
692,5/19/2021,DANVILLE,KY,"$15,000"
702,10/27/2022,WINCHESTER,KY,"$15,000"
719,5/20/2021,RICHMOND,KY,"$15,000"
729,7/13/2022,BARDSTOWN,KY,"$15,000"
760,3/9/2020,HARDINSBURG,KY,"$11,500"
1048,3/10/2020,WILLIAMSBURG,KY,"$15,000"
1053,4/2/2020,LA GRANGE,KY,"$15,000"
1140,8/25/2021,MOUNT STERLING,KY,"$15,000"
1190,9/27/2021,BEREA,KY,"$15,000"
1210,10/21/2022,NICHOLASVILLE,KY,"$15,000"
