Store,Store City,Store State,Launch Week,Launch Date
35,MANHATTAN,KS,Week 8,3/22/2022
80,COLUMBIA,MO,Week 8,3/22/2022
113,CHICKASHA,OK,Week 8,3/22/2022
168,OWASSO,OK,Week 8,3/22/2022
184,BLUE SPRINGS,MO,Week 8,3/22/2022
211,HILLSBORO,TX,Week 8,3/22/2022
248,MEXIA,TX,Week 8,3/22/2022
277,MOORE,OK,Week 8,3/22/2022
292,LOCKHART,TX,Week 8,3/22/2022
297,PORTER,TX,Week 8,3/22/2022
381,COPPERAS COVE,TX,Week 8,3/22/2022
384,LUMBERTON,TX,Week 8,3/22/2022
400,CONROE,TX,Week 8,3/22/2022
407,KILLEEN,TX,Week 8,3/22/2022
413,PORT ISABEL,TX,Week 8,3/22/2022
440,ROCKPORT,TX,Week 8,3/22/2022
443,HONDO,TX,Week 8,3/22/2022
447,DEL RIO,TX,Week 8,3/22/2022
463,BEEVILLE,TX,Week 8,3/22/2022
464,CORPUS CHRISTI,TX,Week 8,3/22/2022
465,FLORESVILLE,TX,Week 8,3/22/2022
504,GALVESTON,TX,Week 8,3/22/2022
508,KERRVILLE,TX,Week 8,3/22/2022
513,BIG SPRING,TX,Week 8,3/22/2022
544,OKLAHOMA CITY,OK,Week 8,3/22/2022
548,LAWRENCEVILLE,GA,Week 8,3/22/2022
560,SAINT JOSEPH,MO,Week 8,3/22/2022
598,KEARNEY,NE,Week 8,3/22/2022
600,PAMPA,TX,Week 8,3/22/2022
601,SAN ANGELO,TX,Week 8,3/22/2022
603,PEKIN,IL,Week 8,3/22/2022
610,STEPHENVILLE,TX,Week 8,3/22/2022
635,SAVANNAH,GA,Week 8,3/22/2022
640,GREENVILLE,SC,Week 8,3/22/2022
664,HAYS,KS,Week 8,3/22/2022
672,ALCOA,TN,Week 8,3/22/2022
743,OKLAHOMA CITY,OK,Week 8,3/22/2022
752,PASADENA,TX,Week 8,3/22/2022
765,SAN ANTONIO,TX,Week 8,3/22/2022
782,UVALDE,TX,Week 8,3/22/2022
808,LAKE JACKSON,TX,Week 8,3/22/2022
810,MASON CITY,IA,Week 8,3/22/2022
865,NEW BRAUNFELS,TX,Week 8,3/22/2022
894,TULSA,OK,Week 8,3/22/2022
913,DECORAH,IA,Week 8,3/22/2022
970,PICAYUNE,MS,Week 8,3/22/2022
1008,LOVELAND,CO,Week 8,3/22/2022
1015,EL PASO,TX,Week 8,3/22/2022
1045,LAFAYETTE,CO,Week 8,3/22/2022
1047,MORROW,GA,Week 8,3/22/2022
1062,FRIENDSWOOD,TX,Week 8,3/22/2022
1126,BOERNE,TX,Week 8,3/22/2022
1154,FREDERICKSBURG,TX,Week 8,3/22/2022
1195,WAVELAND,MS,Week 8,3/22/2022
1216,CARROLLTON,TX,Week 8,3/22/2022
1227,AUGUSTA,GA,Week 8,3/22/2022
1315,CHEYENNE,WY,Week 8,3/22/2022
1326,GRAND ISLAND,NE,Week 8,3/22/2022
1405,BAY CITY,TX,Week 8,3/22/2022
1412,LARAMIE,WY,Week 8,3/22/2022
1428,MOUNT PLEASANT,MI,Week 8,3/22/2022
1446,RICE LAKE,WI,Week 8,3/22/2022
1452,CHARLOTTE,NC,Week 8,3/22/2022
1460,HASTINGS,NE,Week 8,3/22/2022
1500,WATERTOWN,SD,Week 8,3/22/2022
1520,ABERDEEN,SD,Week 8,3/22/2022
1554,STOCKTON,CA,Week 8,3/22/2022
1567,DICKINSON,ND,Week 8,3/22/2022
1583,MADERA,CA,Week 8,3/22/2022
1587,MODESTO,CA,Week 8,3/22/2022
1591,HARRISBURG,PA,Week 8,3/22/2022
1608,RED BLUFF,CA,Week 8,3/22/2022
1627,DILWORTH,MN,Week 8,3/22/2022
1651,AMERICAN CANYON,CA,Week 8,3/22/2022
1669,EAU CLAIRE,WI,Week 8,3/22/2022
1690,DECATUR,IL,Week 8,3/22/2022
1700,POWAY,CA,Week 8,3/22/2022
1701,ELBERTON,GA,Week 8,3/22/2022
