DC Number,Vendor,Expected Install Start Date,Expected Install Complete Dates
7013,SICK,4/22/2024,5/15/2024
7019,Omron,4/8/2024,4/15/2024
7021,SICK,6/26/2024,7/30/2024
7047,SICK,9/17/2024,9/23/2024
7048,SICK,7/31/2024,8/17/2024
7084,Omron,4/22/2024,4/28/2024
8852,SICK,9/6/2024,9/16/2024
6012,SICK,3/20/2024,3/29/2024
6017,SICK,6/13/2024,6/28/2024
6018,SICK,6/3/2024,6/8/2024
6021,SICK,8/19/2024,9/6/2024
6031,SICK,5/15/2024,5/31/2024
6037,SICK,6/20/2024,6/26/2024
6043,Omron,3/17/2024,3/25/2024
6048,Omron,3/3/2024,3/9/2024
6068,SICK,4/20/2024,5/1/2024
7026,SICK,6/1/2024,6/19/2024
7033,SICK,9/23/2024,10/10/2024
7039,SICK,8/19/2024,9/12/2024
9193,SICK,8/2/2024,8/17/2024
9195,SICK,10/10/2024,10/22/2024
6003,SICK,6/8/2024,6/12/2024
8348,SICK,4/13/2024,4/19/2024
6022,SICK,7/30/2024,8/2/2024
6083,SICK,1/27/2024,2/23/2024
6099,Omron,1/28/2024,2/7/2024
7036,SICK,2/5/2024,2/14/2024
6016,SICK,2/15/2024,2/21/2024
6066,Omron,2/11/2024,2/20/2024
6042,SICK,2/21/2024,3/19/2024
9153,SICK,2/23/2024,3/4/2024
6087,Omron,TBD,TBD
6026,TBD,TBD,TBD
4807 (RREW),TBD,TBD,TBD
10567 (RREW),TBD,TBD,TBD
10574  (RREW),TBD,TBD,TBD
10590 (RREW),TBD,TBD,TBD
10591  (RREW),TBD,TBD,TBD
10592 (RREW),TBD,TBD,TBD
10593 (RREW),TBD,TBD,TBD
10615 (RREW),TBD,TBD,TBD
10616 (RREW),TBD,TBD,TBD
10617 (RREW),TBD,TBD,TBD
10642 (RREW),TBD,TBD,TBD
10643 (RREW),TBD,TBD,TBD
10644 (RREW),TBD,TBD,TBD
10645 (RREW),TBD,TBD,TBD
10651 (RREW),TBD,TBD,TBD
10652 (RREW),TBD,TBD,TBD
10653 (RREW),TBD,TBD,TBD
10654 (RREW),TBD,TBD,TBD
10655 (RREW),TBD,TBD,TBD
10656 (RREW),TBD,TBD,TBD
10657 (RREW),TBD,TBD,TBD
10658 (RREW),TBD,TBD,TBD
10659 (RREW),TBD,TBD,TBD
10660 (RREW),TBD,TBD,TBD
10661 (RREW),TBD,TBD,TBD
10662 (RREW),TBD,TBD,TBD
10663 (RREW),TBD,TBD,TBD
10664 (RREW),TBD,TBD,TBD
10665 (RREW),TBD,TBD,TBD
10666 (RREW),TBD,TBD,TBD
10667 (RREW),TBD,TBD,TBD
10805 (RREW),TBD,TBD,TBD
10954 (RREW),TBD,TBD,TBD
