Store Number,Group,Fixture Delivery Date,Anchoring Date
7294,2,"Thursday, July 10","Monday, July 14"
1099,2,"Thursday, July 10","Monday, July 14"
72,2,"Thursday, July 10","Monday, July 14"
3336,2,"Thursday, July 10","Tuesday, July 15"
1754,2,"Thursday, July 10","Tuesday, July 15"
1432,2,"Thursday, July 10","Tuesday, July 15"
1928,2,"Thursday, July 10","Tuesday, July 15"
2692,2,"Thursday, July 10","Tuesday, July 15"
3445,2,"Thursday, July 10","Tuesday, July 15"
188,2,"Thursday, July 10","Tuesday, July 15"
801,2,"Thursday, July 10","Tuesday, July 15"
913,2,"Thursday, July 10","Tuesday, July 15"
1571,2,"Thursday, July 10","Tuesday, July 15"
3432,2,"Thursday, July 10","Tuesday, July 15"
5416,2,"Thursday, July 10","Tuesday, July 15"
4165,2,"Thursday, July 10","Tuesday, July 15"
4298,2,"Thursday, July 10","Tuesday, July 15"
3298,2,"Thursday, July 10","Tuesday, July 15"
808,2,"Thursday, July 10","Tuesday, July 15"
872,2,"Thursday, July 10","Tuesday, July 15"
5612,2,"Thursday, July 10","Tuesday, July 15"
3827,2,"Thursday, July 10","Tuesday, July 15"
5091,2,"Thursday, July 10","Tuesday, July 15"
397,2,"Thursday, July 10","Tuesday, July 15"
2665,2,"Thursday, July 10","Tuesday, July 15"
839,2,"Thursday, July 10","Tuesday, July 15"
4679,2,"Thursday, July 10","Tuesday, July 15"
1192,2,"Thursday, July 10","Tuesday, July 15"
1116,2,"Thursday, July 10","Tuesday, July 15"
4195,2,"Thursday, July 10","Tuesday, July 15"
4383,2,"Thursday, July 10","Wednesday, July 16"
2869,2,"Thursday, July 10","Wednesday, July 16"
2644,2,"Thursday, July 10","Wednesday, July 16"
1987,2,"Thursday, July 10","Wednesday, July 16"
2959,2,"Thursday, July 10","Wednesday, July 16"
5029,2,"Thursday, July 10","Wednesday, July 16"
2857,2,"Thursday, July 10","Wednesday, July 16"
3500,2,"Thursday, July 10","Wednesday, July 16"
1405,2,"Thursday, July 10","Wednesday, July 16"
915,2,"Thursday, July 10","Wednesday, July 16"
1102,2,"Thursday, July 10","Wednesday, July 16"
5056,2,"Thursday, July 10","Wednesday, July 16"
5893,2,"Thursday, July 10","Thursday, July 17"
2693,2,"Thursday, July 10","Thursday, July 17"
5844,2,"Thursday, July 10","Thursday, July 17"
4424,2,"Thursday, July 10","Thursday, July 17"
2505,2,"Thursday, July 10","Thursday, July 17"
1206,2,"Thursday, July 10","Thursday, July 17"
3726,2,"Thursday, July 10","Friday, July 18"
4660,2,"Thursday, July 10","Friday, July 18"
5449,2,"Thursday, July 10","Friday, July 18"
4683,2,"Thursday, July 10","Friday, July 18"
8331,3,"Wednesday, July 16","Monday, July 21"
2262,3,"Wednesday, July 16","Monday, July 21"
3159,3,"Wednesday, July 16","Monday, July 21"
2137,3,"Wednesday, July 16","Monday, July 21"
2058,3,"Wednesday, July 16","Monday, July 21"
1237,3,"Wednesday, July 16","Monday, July 21"
3889,3,"Wednesday, July 16","Monday, July 21"
1354,3,"Wednesday, July 16","Monday, July 21"
1197,3,"Wednesday, July 16","Monday, July 21"
1662,3,"Wednesday, July 16","Monday, July 21"
4274,3,"Wednesday, July 16","Monday, July 21"
1034,3,"Wednesday, July 16","Monday, July 21"
1027,3,"Wednesday, July 16","Monday, July 21"
6789,3,"Wednesday, July 16","Monday, July 21"
877,3,"Wednesday, July 16","Monday, July 21"
3219,3,"Wednesday, July 16","Monday, July 21"
3265,3,"Wednesday, July 16","Monday, July 21"
1688,3,"Wednesday, July 16","Monday, July 21"
1841,3,"Wednesday, July 16","Monday, July 21"
2136,3,"Wednesday, July 16","Monday, July 21"
1292,3,"Wednesday, July 16","Monday, July 21"
1344,3,"Wednesday, July 16","Monday, July 21"
1656,3,"Wednesday, July 16","Monday, July 21"
2357,3,"Wednesday, July 16","Monday, July 21"
4514,3,"Wednesday, July 16","Monday, July 21"
1714,3,"Wednesday, July 16","Monday, July 21"
3215,3,"Wednesday, July 16","Monday, July 21"
2684,3,"Wednesday, July 16","Monday, July 21"
1948,3,"Wednesday, July 16","Monday, July 21"
1770,3,"Wednesday, July 16","Monday, July 21"
2281,3,"Wednesday, July 16","Monday, July 21"
739,3,"Wednesday, July 16","Monday, July 21"
154,3,"Wednesday, July 16","Monday, July 21"
2426,3,"Wednesday, July 16","Monday, July 21"
1564,3,"Wednesday, July 16","Monday, July 21"
2098,3,"Wednesday, July 16","Monday, July 21"
3749,3,"Wednesday, July 16","Monday, July 21"
1521,3,"Wednesday, July 16","Monday, July 21"
3747,3,"Wednesday, July 16","Monday, July 21"
1547,3,"Wednesday, July 16","Monday, July 21"
1294,3,"Wednesday, July 16","Monday, July 21"
5025,3,"Wednesday, July 16","Monday, July 21"
1140,3,"Wednesday, July 16","Monday, July 21"
1892,3,"Wednesday, July 16","Monday, July 21"
3255,3,"Wednesday, July 16","Monday, July 21"
775,3,"Wednesday, July 16","Monday, July 21"
497,3,"Wednesday, July 16","Monday, July 21"
1180,3,"Wednesday, July 16","Monday, July 21"
1459,3,"Wednesday, July 16","Monday, July 21"
1580,3,"Wednesday, July 16","Monday, July 21"
902,3,"Wednesday, July 16","Monday, July 21"
430,3,"Wednesday, July 16","Monday, July 21"
571,3,"Wednesday, July 16","Monday, July 21"
222,3,"Wednesday, July 16","Monday, July 21"
923,3,"Wednesday, July 16","Monday, July 21"
2788,3,"Wednesday, July 16","Monday, July 21"
1783,3,"Wednesday, July 16","Monday, July 21"
3520,3,"Wednesday, July 16","Tuesday, July 22"
2256,3,"Wednesday, July 16","Tuesday, July 22"
4250,3,"Wednesday, July 16","Tuesday, July 22"
1321,3,"Wednesday, July 16","Tuesday, July 22"
5851,3,"Wednesday, July 16","Tuesday, July 22"
3701,3,"Wednesday, July 16","Tuesday, July 22"
5745,3,"Wednesday, July 16","Tuesday, July 22"
1385,3,"Wednesday, July 16","Tuesday, July 22"
1613,3,"Wednesday, July 16","Tuesday, July 22"
3700,3,"Wednesday, July 16","Tuesday, July 22"
7032,3,"Wednesday, July 16","Tuesday, July 22"
4064,3,"Wednesday, July 16","Tuesday, July 22"
3644,3,"Wednesday, July 16","Tuesday, July 22"
2520,3,"Wednesday, July 16","Tuesday, July 22"
1726,3,"Wednesday, July 16","Tuesday, July 22"
2597,3,"Wednesday, July 16","Tuesday, July 22"
2566,3,"Wednesday, July 16","Tuesday, July 22"
2083,3,"Wednesday, July 16","Tuesday, July 22"
2852,3,"Wednesday, July 16","Tuesday, July 22"
1820,3,"Wednesday, July 16","Tuesday, July 22"
1023,3,"Wednesday, July 16","Tuesday, July 22"
2471,3,"Wednesday, July 16","Tuesday, July 22"
2447,3,"Wednesday, July 16","Tuesday, July 22"
1378,3,"Wednesday, July 16","Tuesday, July 22"
4511,3,"Wednesday, July 16","Tuesday, July 22"
995,3,"Wednesday, July 16","Tuesday, July 22"
655,3,"Wednesday, July 16","Tuesday, July 22"
1518,3,"Wednesday, July 16","Tuesday, July 22"
4216,3,"Wednesday, July 16","Tuesday, July 22"
5118,3,"Wednesday, July 16","Wednesday, July 23"
5046,3,"Wednesday, July 16","Wednesday, July 23"
7009,3,"Wednesday, July 16","Wednesday, July 23"
5298,3,"Wednesday, July 16","Wednesday, July 23"
2793,3,"Wednesday, July 16","Wednesday, July 23"
4638,3,"Wednesday, July 16","Wednesday, July 23"
2807,3,"Wednesday, July 16","Wednesday, July 23"
4423,3,"Wednesday, July 16","Wednesday, July 23"
3581,3,"Wednesday, July 16","Wednesday, July 23"
2540,3,"Wednesday, July 16","Wednesday, July 23"
1302,3,"Wednesday, July 16","Wednesday, July 23"
5185,3,"Wednesday, July 16","Wednesday, July 23"
2311,3,"Wednesday, July 16","Wednesday, July 23"
1310,3,"Wednesday, July 16","Wednesday, July 23"
1557,3,"Wednesday, July 16","Wednesday, July 23"
5292,3,"Wednesday, July 16","Thursday, July 24"
4643,3,"Wednesday, July 16","Thursday, July 24"
1763,3,"Wednesday, July 16","Thursday, July 24"
1991,3,"Wednesday, July 16","Thursday, July 24"
1601,3,"Wednesday, July 16","Thursday, July 24"
3270,3,"Wednesday, July 16","Friday, July 25"
4235,3,"Wednesday, July 16","Friday, July 25"
1655,3,"Wednesday, July 16","Friday, July 25"
628,4,"Thursday, July 24","Monday, July 28"
641,4,"Thursday, July 24","Monday, July 28"
631,4,"Thursday, July 24","Monday, July 28"
643,4,"Thursday, July 24","Monday, July 28"
630,4,"Thursday, July 24","Monday, July 28"
396,4,"Thursday, July 24","Monday, July 28"
616,4,"Thursday, July 24","Monday, July 28"
638,4,"Thursday, July 24","Monday, July 28"
4334,4,"Thursday, July 24","Monday, July 28"
1984,4,"Thursday, July 24","Monday, July 28"
4387,4,"Thursday, July 24","Monday, July 28"
2157,4,"Thursday, July 24","Monday, July 28"
1994,4,"Thursday, July 24","Monday, July 28"
1997,4,"Thursday, July 24","Monday, July 28"
2446,4,"Thursday, July 24","Monday, July 28"
2195,4,"Thursday, July 24","Monday, July 28"
1850,4,"Thursday, July 24","Monday, July 28"
1769,4,"Thursday, July 24","Monday, July 28"
2931,4,"Thursday, July 24","Monday, July 28"
1677,4,"Thursday, July 24","Monday, July 28"
2786,4,"Thursday, July 24","Monday, July 28"
1412,4,"Thursday, July 24","Monday, July 28"
4412,4,"Thursday, July 24","Monday, July 28"
1901,4,"Thursday, July 24","Monday, July 28"
35,4,"Thursday, July 24","Monday, July 28"
26,4,"Thursday, July 24","Monday, July 28"
1581,4,"Thursday, July 24","Monday, July 28"
637,4,"Thursday, July 24","Monday, July 28"
1535,4,"Thursday, July 24","Monday, July 28"
2935,4,"Thursday, July 24","Monday, July 28"
581,4,"Thursday, July 24","Monday, July 28"
2889,4,"Thursday, July 24","Monday, July 28"
2827,4,"Thursday, July 24","Monday, July 28"
2937,4,"Thursday, July 24","Monday, July 28"
1722,4,"Thursday, July 24","Monday, July 28"
5334,4,"Thursday, July 24","Monday, July 28"
3566,4,"Thursday, July 24","Monday, July 28"
5232,4,"Thursday, July 24","Monday, July 28"
3382,4,"Thursday, July 24","Monday, July 28"
1888,4,"Thursday, July 24","Monday, July 28"
3366,4,"Thursday, July 24","Monday, July 28"
1440,4,"Thursday, July 24","Monday, July 28"
3232,4,"Thursday, July 24","Monday, July 28"
3533,4,"Thursday, July 24","Monday, July 28"
3093,4,"Thursday, July 24","Monday, July 28"
5435,4,"Thursday, July 24","Monday, July 28"
1608,4,"Thursday, July 24","Monday, July 28"
2557,4,"Thursday, July 24","Monday, July 28"
2001,4,"Thursday, July 24","Monday, July 28"
2110,4,"Thursday, July 24","Monday, July 28"
2886,4,"Thursday, July 24","Monday, July 28"
5394,4,"Thursday, July 24","Monday, July 28"
1914,4,"Thursday, July 24","Monday, July 28"
2708,4,"Thursday, July 24","Monday, July 28"
5425,4,"Thursday, July 24","Monday, July 28"
1862,4,"Thursday, July 24","Monday, July 28"
1832,4,"Thursday, July 24","Monday, July 28"
3705,4,"Thursday, July 24","Monday, July 28"
2074,4,"Thursday, July 24","Monday, July 28"
2596,4,"Thursday, July 24","Monday, July 28"
2037,4,"Thursday, July 24","Monday, July 28"
2269,4,"Thursday, July 24","Monday, July 28"
3472,4,"Thursday, July 24","Monday, July 28"
2101,4,"Thursday, July 24","Monday, July 28"
1793,4,"Thursday, July 24","Monday, July 28"
3794,4,"Thursday, July 24","Monday, July 28"
1037,4,"Thursday, July 24","Tuesday, July 29"
2265,4,"Thursday, July 24","Tuesday, July 29"
624,4,"Thursday, July 24","Tuesday, July 29"
1144,4,"Thursday, July 24","Tuesday, July 29"
3560,4,"Thursday, July 24","Tuesday, July 29"
3334,4,"Thursday, July 24","Tuesday, July 29"
2370,4,"Thursday, July 24","Tuesday, July 29"
1806,4,"Thursday, July 24","Tuesday, July 29"
1461,4,"Thursday, July 24","Tuesday, July 29"
2084,4,"Thursday, July 24","Tuesday, July 29"
1627,4,"Thursday, July 24","Tuesday, July 29"
3233,4,"Thursday, July 24","Tuesday, July 29"
4284,4,"Thursday, July 24","Tuesday, July 29"
3454,4,"Thursday, July 24","Tuesday, July 29"
5234,4,"Thursday, July 24","Tuesday, July 29"
5763,4,"Thursday, July 24","Tuesday, July 29"
4340,4,"Thursday, July 24","Tuesday, July 29"
2181,4,"Thursday, July 24","Tuesday, July 29"
5853,4,"Thursday, July 24","Tuesday, July 29"
4359,4,"Thursday, July 24","Tuesday, July 29"
2121,4,"Thursday, July 24","Tuesday, July 29"
4395,4,"Thursday, July 24","Tuesday, July 29"
2241,4,"Thursday, July 24","Tuesday, July 29"
1382,4,"Thursday, July 24","Wednesday, July 30"
2234,4,"Thursday, July 24","Wednesday, July 30"
1649,4,"Thursday, July 24","Wednesday, July 30"
3789,4,"Thursday, July 24","Wednesday, July 30"
