Store,Market,Store Type,Launch Date ,
2614,168,SUP,2/22,
2641,168,SUP,2/22,
2651,175,SUP,2/22,
2665,125,SUP,2/22,
2678,201,SUP,2/22,
2679,247,SUP,2/22,
2691,243,SUP,2/22,
2703,38,SUP,2/22,
2706,125,SUP,2/22,
2712,37,SUP,2/22,
2725,217,SUP,2/22,
2726,219,SUP,2/22,
2732,22,SUP,2/22,
2733,32,SUP,2/22,
2743,492,WNM,2/22,
2745,537,WNM,2/22,
2756,280,SUP,2/22,
2764,414,SUP,2/22,
2774,217,SUP,2/22,
2786,482,SUP,2/22,
2787,249,SUP,2/22,
2801,546,WNM,2/22,
2803,352,SUP,2/22,
2804,352,SUP,2/22,
2818,238,SUP,2/22,
2822,131,SUP,2/22,
2830,166,W/M,2/22,
2838,396,SUP,2/22,
2846,144,SUP,2/22,
2855,362,SUP,2/22,
2872,197,SUP,2/22,
2875,533,WNM,2/22,
2876,533,WNM,2/22,
2877,533,WNM,2/22,
2878,533,WNM,2/22,
2884,394,SUP,2/22,
2887,496,WNM,2/22,
2903,157,W/M,2/22,
2913,129,SUP,2/22,
2918,51,SUP,2/22,
2919,542,WNM,2/22,
2921,401,SUP,2/22,
2923,382,SUP,2/22,
2938,132,SUP,2/22,
2940,542,WNM,2/22,
2953,160,SUP,2/22,
2955,362,SUP,2/22,
3072,554,WNM,2/22,
3074,554,WNM,2/22,
3078,175,SUP,2/22,
3103,409,SUP,2/22,
3155,491,WNM,2/22,
3188,20,SUP,2/22,
3200,159,W/M,2/22,
3201,19,SUP,2/22,
3202,533,WNM,2/22,
3228,231,SUP,2/22,
3250,209,SUP,2/22,
3252,167,W/M,2/22,
3273,362,SUP,2/22,
3275,533,WNM,2/22,
3292,176,W/M,2/22,
3327,533,WNM,2/22,
3350,394,SUP,2/22,
3351,394,SUP,2/22,
3354,397,WNM,2/22,
3355,397,WNM,2/22,
3356,397,WNM,2/22,
3359,499,WNM,2/22,
3366,401,SUP,2/22,
3382,389,SUP,2/22,
3385,526,WNM,2/22,
3388,25,SUP,2/22,
3389,25,SUP,2/22,
3401,19,SUP,2/22,
3402,19,SUP,2/22,
3428,375,SUP,2/22,
3430,352,SUP,2/22,
3435,249,SUP,2/22,
3436,201,SUP,2/22,
3442,496,WNM,2/22,
3445,207,SUP,2/22,
3447,219,SUP,2/22,
3462,24,SUP,2/22,
3469,175,SUP,2/22,
3471,26,SUP,2/22,
3473,394,SUP,2/22,
3476,197,SUP,2/22,
3483,129,SUP,2/22,
3502,223,SUP,2/22,
3512,526,WNM,2/22,
3529,249,SUP,2/22,
3560,160,SUP,2/22,
3564,170,SUP,2/22,
3570,30,SUP,2/22,
3571,221,SUP,2/22,
3574,504,WNM,2/22,
3599,492,WNM,2/22,
3609,19,SUP,2/22,
3615,533,WNM,2/22,
3634,232,SUP,2/22,
3637,533,WNM,2/22,
3638,497,WNM,2/22,
3655,397,WNM,2/22,
3703,543,WNM,2/22,
3710,20,SUP,2/22,
3722,215,SUP,2/22,
3727,541,WNM,2/22,
3733,42,SUP,2/22,
3736,541,WNM,2/22,
3743,542,WNM,2/22,
3745,542,WNM,2/22,
3749,225,SUP,2/22,
3750,32,SUP,2/22,
3783,223,SUP,2/22,
3784,221,SUP,2/22,
3786,25,SUP,2/22,
3788,397,WNM,2/22,
3789,401,SUP,2/22,
3812,217,SUP,2/22,
3848,401,SUP,2/22,
4054,494,WNM,2/22,
4108,323,SUP,2/22,
4144,30,SUP,2/22,
4195,352,SUP,2/22,
4198,485,WNM,2/22,
4200,16,SUP,2/22,
4206,554,WNM,2/22,
4216,580,SUP,2/22,
4230,248,SUP,2/22,
4231,248,SUP,2/22,
4237,42,SUP,2/22,
4276,226,SUP,2/22,
4283,16,SUP,2/22,
4295,134,SUP,2/22,
4321,409,SUP,2/22,
4339,397,WNM,2/22,
4356,396,SUP,2/22,
4375,534,WNM,2/22,
4399,247,SUP,2/22,
4412,382,SUP,2/22,
4417,251,SUP,2/22,
4421,546,WNM,2/22,
4423,280,SUP,2/22,
4426,546,WNM,2/22,
4443,497,WNM,2/22,
4460,324,SUP,2/22,
4475,362,SUP,2/22,
4479,207,SUP,2/22,
4516,537,WNM,2/22,
4517,546,WNM,2/22,
4530,546,WNM,2/22,
4557,396,SUP,2/22,
4585,507,WNM,2/22,
4601,387,SUP,2/22,
4609,225,SUP,2/22,
4659,541,WNM,2/22,
4664,37,SUP,2/22,
4676,526,WNM,2/22,
4679,131,SUP,2/22,
4683,130,SUP,2/22,
5025,248,SUP,2/22,
5028,207,SUP,2/22,
5029,207,SUP,2/22,
5030,207,SUP,2/22,
5070,396,SUP,2/22,
5081,543,WNM,2/22,
5087,37,SUP,2/22,
5090,440,SUP,2/22,
5092,53,SUP,2/22,
5102,543,WNM,2/22,
5104,221,SUP,2/22,
5111,176,W/M,2/22,
5115,418,SUP,2/22,
5129,508,W/M,2/22,
5148,566,WNM,2/22,
5155,387,SUP,2/22,
5180,485,WNM,2/22,
5182,566,WNM,2/22,
5184,219,SUP,2/22,
5185,217,SUP,2/22,
5201,175,W/M,2/22,
5205,557,WNM,2/22,
5206,557,WNM,2/22,
5207,485,WNM,2/22,
5228,282,W/M,2/22,
5234,401,SUP,2/22,
5241,231,SUP,2/22,
5244,324,SUP,2/22,
5258,397,WNM,2/22,
5259,397,WNM,2/22,
5269,397,WNM,2/22,
5281,175,W/M,2/22,
5286,533,WNM,2/22,
5304,9,WNM,2/22,
5306,397,WNM,2/22,
5307,410,SUP,2/22,
5308,485,WNM,2/22,
5314,533,WNM,2/22,
5323,533,WNM,2/22,
5328,541,WNM,2/22,
5363,16,SUP,2/22,
5368,477,SUP,2/22,
5379,235,SUP,2/22,
5382,282,SUP,2/22,
5408,494,WNM,2/22,
5409,223,SUP,2/22,
5423,397,WNM,2/22,
5430,384,SUP,2/22,
5440,477,W/M,2/22,
5441,411,SUP,2/22,
5443,249,SUP,2/22,
5464,543,WNM,2/22,
5466,219,SUP,2/22,
5483,249,SUP,2/22,
5491,385,SUP,2/22,
5667,435,SUP,2/22,
5668,435,SUP,2/22,
5669,435,SUP,2/22,
5695,495,WNM,2/22,
5697,495,WNM,2/22,
5705,37,SUP,2/22,
5706,324,SUP,2/22,
5709,19,SUP,2/22,
5722,543,WNM,2/22,
5735,30,SUP,2/22,
5737,537,WNM,2/22,
5738,534,WNM,2/22,
5761,197,SUP,2/22,
5767,494,WNM,2/22,
5774,543,WNM,2/22,
5782,526,WNM,2/22,
5797,27,SUP,2/22,
5804,494,WNM,2/22,
5813,554,WNM,2/22,
5814,26,SUP,2/22,
5828,490,WNM,2/22,
5840,507,WNM,2/22,
5855,491,WNM,2/22,
5857,219,SUP,2/22,
5861,467,SUP,2/22,
5863,533,WNM,2/22,
5888,234,SUP,2/22,
5907,546,WNM,2/22,
5923,496,WNM,2/22,
5968,283,SUP,2/22,
5990,491,WNM,2/22,
5991,491,WNM,2/22,
6172,485,WNM,2/22,
6390,494,WNM,2/22,
6392,411,SUP,2/22,
6470,494,WNM,2/22,
6476,482,SUP,2/22,
6576,39,SUP,2/22,
6577,543,WNM,2/22,
6585,485,WNM,2/22,
6588,543,WNM,2/22,
6807,145,SUP,2/22,
6887,39,SUP,2/22,
6962,499,WNM,2/22,
6998,19,SUP,2/22,
7162,496,WNM,2/22,
7188,38,SUP,2/22,
7233,541,WNM,2/22,
7241,541,WNM,2/22,
7242,537,WNM,2/22,
7262,541,WNM,2/22,
7301,132,SUP,2/22,
7326,353,SUP,2/22,
7339,554,WNM,2/22,
1,323,SUP,3/2,
2,322,SUP,3/2,
3,21,SUP,3/2,
4,323,SUP,3/2,
5,326,SUP,3/2,
10,347,SUP,3/2,
11,328,SUP,3/2,
16,321,SUP,3/2,
23,135,SUP,3/2,
24,326,SUP,3/2,
26,411,SUP,3/2,
28,347,SUP,3/2,
35,407,SUP,3/2,
36,329,SUP,3/2,
43,407,SUP,3/2,
45,329,SUP,3/2,
52,325,SUP,3/2,
58,325,SUP,3/2,
70,329,SUP,3/2,
72,410,SUP,3/2,
73,356,SUP,3/2,
90,347,SUP,3/2,
93,145,SUP,3/2,
97,146,SUP,3/2,
103,351,SUP,3/2,
105,4,SUP,3/2,
107,146,SUP,3/2,
113,349,SUP,3/2,
119,328,SUP,3/2,
128,329,SUP,3/2,
129,350,SUP,3/2,
130,347,SUP,3/2,
139,353,SUP,3/2,
141,321,SUP,3/2,
151,351,SUP,3/2,
157,328,SUP,3/2,
164,4,SUP,3/2,
169,326,SUP,3/2,
170,134,SUP,3/2,
184,361,SUP,3/2,
186,409,SUP,3/2,
192,147,SUP,3/2,
216,271,SUP,3/2,
218,147,SUP,3/2,
231,350,SUP,3/2,
234,360,SUP,3/2,
261,325,SUP,3/2,
264,149,SUP,3/2,
269,349,SUP,3/2,
276,351,SUP,3/2,
278,127,SUP,3/2,
296,325,SUP,3/2,
304,149,SUP,3/2,
308,152,SUP,3/2,
310,132,SUP,3/2,
314,151,SUP,3/2,
331,66,SUP,3/2,
346,409,SUP,3/2,
358,321,SUP,3/2,
373,322,SUP,3/2,
374,347,SUP,3/2,
377,497,WNM,3/2,
378,411,SUP,3/2,
386,132,SUP,3/2,
388,321,SUP,3/2,
405,134,SUP,3/2,
424,8,SUP,3/2,
432,10,SUP,3/2,
448,127,SUP,3/2,
450,127,SUP,3/2,
459,25,SUP,3/2,
468,47,SUP,3/2,
469,66,SUP,3/2,
472,356,SUP,3/2,
477,119,SUP,3/2,
484,411,SUP,3/2,
485,129,SUP,3/2,
486,362,SUP,3/2,
494,16,SUP,3/2,
499,344,SUP,3/2,
510,21,SUP,3/2,
511,38,SUP,3/2,
514,39,SUP,3/2,
520,25,SUP,3/2,
521,66,SUP,3/2,
530,327,SUP,3/2,
532,130,SUP,3/2,
533,132,SUP,3/2,
540,129,SUP,3/2,
541,128,SUP,3/2,
543,132,SUP,3/2,
549,71,SUP,3/2,
555,32,SUP,3/2,
556,28,SUP,3/2,
558,407,SUP,3/2,
560,360,SUP,3/2,
566,580,SUP,3/2,
581,414,SUP,3/2,
593,28,SUP,3/2,
611,387,SUP,3/2,
614,16,SUP,3/2,
616,38,SUP,3/2,
620,124,SUP,3/2,
624,39,SUP,3/2,
625,37,SUP,3/2,
628,36,SUP,3/2,
629,42,SUP,3/2,
631,35,SUP,3/2,
632,36,SUP,3/2,
638,42,SUP,3/2,
639,28,SUP,3/2,
640,35,SUP,3/2,
641,35,SUP,3/2,
652,406,SUP,3/2,
656,151,SUP,3/2,
658,120,SUP,3/2,
664,406,SUP,3/2,
667,151,SUP,3/2,
676,121,SUP,3/2,
677,146,SUP,3/2,
678,123,SUP,3/2,
687,121,SUP,3/2,
690,124,SUP,3/2,
691,3,SUP,3/2,
692,260,SUP,3/2,
695,149,SUP,3/2,
712,5,SUP,3/2,
714,327,SUP,3/2,
715,11,SUP,3/2,
716,136,SUP,3/2,
722,22,SUP,3/2,
724,123,SUP,3/2,
727,22,SUP,3/2,
734,7,SUP,3/2,
735,151,SUP,3/2,
739,258,SUP,3/2,
742,124,SUP,3/2,
753,415,SUP,3/2,
754,30,SUP,3/2,
758,32,SUP,3/2,
766,137,SUP,3/2,
780,25,SUP,3/2,
797,418,SUP,3/2,
821,71,SUP,3/2,
823,345,SUP,3/2,
829,385,W/M,3/2,
836,28,SUP,3/2,
838,345,SUP,3/2,
843,27,SUP,3/2,
844,262,SUP,3/2,
862,28,SUP,3/2,
864,28,SUP,3/2,
868,387,SUP,3/2,
874,141,SUP,3/2,
878,24,SUP,3/2,
881,41,SUP,3/2,
889,27,SUP,3/2,
894,356,SUP,3/2,
902,251,SUP,3/2,
905,379,SUP,3/2,
906,384,SUP,3/2,
911,128,SUP,3/2,
921,388,SUP,3/2,
922,243,SUP,3/2,
932,16,SUP,3/2,
936,273,SUP,3/2,
952,27,SUP,3/2,
953,378,SUP,3/2,
975,350,SUP,3/2,
980,378,SUP,3/2,
984,391,SUP,3/2,
992,356,SUP,3/2,
1006,27,SUP,3/2,
1008,378,SUP,3/2,
1011,29,SUP,3/2,
1014,361,SUP,3/2,
1019,389,SUP,3/2,
1026,580,SUP,3/2,
1033,243,SUP,3/2,
1036,294,SUP,3/2,
1037,36,SUP,3/2,
1045,379,SUP,3/2,
1058,388,SUP,3/2,
1072,27,SUP,3/2,
1106,141,SUP,3/2,
1111,21,SUP,3/2,
1112,16,SUP,3/2,
1116,349,SUP,3/2,
1120,360,SUP,3/2,
1122,18,SUP,3/2,
1123,35,SUP,3/2,
1130,39,SUP,3/2,
1132,298,SUP,3/2,
1133,309,SUP,3/2,
1135,38,SUP,3/2,
1138,441,W/M,3/2,
1142,243,SUP,3/2,
1144,42,SUP,3/2,
1146,36,SUP,3/2,
1151,362,SUP,3/2,
1153,32,SUP,3/2,
1160,243,SUP,3/2,
1164,41,SUP,3/2,
1176,441,SUP,3/2,
1181,23,SUP,3/2,
1183,41,SUP,3/2,
1190,257,SUP,3/2,
1200,391,SUP,3/2,
1202,438,SUP,3/2,
1204,66,SUP,3/2,
1215,120,SUP,3/2,
1231,379,SUP,3/2,
1244,35,SUP,3/2,
1252,380,SUP,3/2,
1255,309,SUP,3/2,
1263,254,SUP,3/2,
1264,222,SUP,3/2,
1273,389,SUP,3/2,
1274,441,SUP,3/2,
1275,482,SUP,3/2,
1276,444,SUP,3/2,
1280,388,SUP,3/2,
1281,42,SUP,3/2,
1285,418,SUP,3/2,
1288,296,SUP,3/2,
1289,221,SUP,3/2,
1294,247,SUP,3/2,
1299,364,SUP,3/2,
1304,247,SUP,3/2,
1305,441,SUP,3/2,
1306,387,SUP,3/2,
1308,380,SUP,3/2,
1310,251,SUP,3/2,
1315,381,SUP,3/2,
1319,122,SUP,3/2,
1321,299,SUP,3/2,
1323,278,W/M,3/2,
1327,243,SUP,3/2,
1329,247,SUP,3/2,
1330,222,SUP,3/2,
1331,223,SUP,3/2,
1335,315,SUP,3/2,
1339,41,SUP,3/2,
1341,254,SUP,3/2,
1351,317,SUP,3/2,
1356,251,SUP,3/2,
1360,317,SUP,3/2,
1361,426,SUP,3/2,
1370,365,SUP,3/2,
1376,152,SUP,3/2,
1383,29,SUP,3/2,
1396,441,SUP,3/2,
1397,384,SUP,3/2,
1400,21,SUP,3/2,
1403,18,SUP,3/2,
1407,221,SUP,3/2,
1410,223,SUP,3/2,
1412,381,SUP,3/2,
1414,384,SUP,3/2,
1423,203,SUP,3/2,
1429,213,SUP,3/2,
1430,439,SUP,3/2,
1432,204,SUP,3/2,
1433,222,SUP,3/2,
1434,391,SUP,3/2,
1438,405,SUP,3/2,
1439,405,SUP,3/2,
1443,225,SUP,3/2,
1448,213,SUP,3/2,
1449,439,SUP,3/2,
1458,120,SUP,3/2,
1461,381,SUP,3/2,
1466,121,SUP,3/2,
1478,259,SUP,3/2,
1485,382,SUP,3/2,
1492,376,SUP,3/2,
1496,415,SUP,3/2,
1502,301,SUP,3/2,
1508,382,SUP,3/2,
1515,442,SUP,3/2,
1518,482,SUP,3/2,
1519,218,SUP,3/2,
1528,415,SUP,3/2,
1530,136,SUP,3/2,
1537,234,W/M,3/2,
1545,412,SUP,3/2,
1547,246,SUP,3/2,
1568,229,SUP,3/2,
1570,248,SUP,3/2,
1571,442,SUP,3/2,
1578,23,SUP,3/2,
1586,26,SUP,3/2,
1593,202,SUP,3/2,
1594,219,SUP,3/2,
1597,356,SUP,3/2,
1604,430,SUP,3/2,
1607,237,SUP,3/2,
1609,419,SUP,3/2,
1617,381,SUP,3/2,
1622,213,SUP,3/2,
1635,442,SUP,3/2,
1642,202,SUP,3/2,
1643,439,SUP,3/2,
1644,232,SUP,3/2,
1650,444,SUP,3/2,
1653,320,SUP,3/2,
1655,482,SUP,3/2,
1656,228,SUP,3/2,
1659,379,SUP,3/2,
1665,239,SUP,3/2,
1669,438,SUP,3/2,
1679,438,SUP,3/2,
1689,376,SUP,3/2,
1695,427,SUP,3/2,
1698,183,SUP,3/2,
1707,208,SUP,3/2,
1709,248,SUP,3/2,
1715,285,W/M,3/2,
1718,222,SUP,3/2,
1721,418,SUP,3/2,
1733,203,SUP,3/2,
1739,227,SUP,3/2,
1742,165,SUP,3/2,
1748,36,SUP,3/2,
1749,183,SUP,3/2,
1750,222,SUP,3/2,
1754,203,SUP,3/2,
1758,239,SUP,3/2,
1759,288,SUP,3/2,
1762,157,SUP,3/2,
1764,413,SUP,3/2,
1765,237,SUP,3/2,
1766,23,SUP,3/2,
1767,300,SUP,3/2,
1768,582,SUP,3/2,
1769,231,SUP,3/2,
1770,229,SUP,3/2,
1772,468,SUP,3/2,
1775,478,SUP,3/2,
1776,442,SUP,3/2,
1782,216,SUP,3/2,
1783,580,SUP,3/2,
1788,183,SUP,3/2,
1793,477,SUP,3/2,
1794,232,SUP,3/2,
1795,294,W/M,3/2,
1796,184,SUP,3/2,
1797,179,SUP,3/2,
1809,202,SUP,3/2,
1817,475,SUP,3/2,
1819,436,SUP,3/2,
1820,229,SUP,3/2,
1823,234,SUP,3/2,
1827,582,SUP,3/2,
1828,439,SUP,3/2,
1829,37,SUP,3/2,
1834,468,SUP,3/2,
1839,214,SUP,3/2,
1843,477,W/M,3/2,
1850,234,SUP,3/2,
1856,179,SUP,3/2,
1857,209,W/M,3/2,
1863,209,SUP,3/2,
1868,180,SUP,3/2,
1872,383,SUP,3/2,
1873,161,SUP,3/2,
1880,468,SUP,3/2,
1885,229,SUP,3/2,
1887,232,W/M,3/2,
1890,285,SUP,3/2,
1894,214,SUP,3/2,
1896,391,SUP,3/2,
1901,383,SUP,3/2,
1911,215,SUP,3/2,
1921,178,W/M,3/2,
1930,184,W/M,3/2,
1935,237,SUP,3/2,
1937,216,SUP,3/2,
1939,180,SUP,3/2,
1951,399,SUP,3/2,
1953,297,SUP,3/2,
1954,183,SUP,3/2,
1962,247,SUP,3/2,
1964,161,SUP,3/2,
1965,432,SUP,3/2,
1970,159,SUP,3/2,
1975,181,SUP,3/2,
1980,162,SUP,3/2,
1981,508,SUP,3/2,
1982,439,SUP,3/2,
1984,154,SUP,3/2,
1986,213,SUP,3/2,
1991,251,SUP,3/2,
2000,301,SUP,3/2,
2004,415,SUP,3/2,
2008,229,W/M,3/2,
2012,156,SUP,3/2,
2013,179,SUP,3/2,
2021,160,SUP,3/2,
2022,162,SUP,3/2,
2023,233,SUP,3/2,
2027,280,SUP,3/2,
2036,317,SUP,3/2,
2046,180,SUP,3/2,
2049,237,SUP,3/2,
2055,183,SUP,3/2,
2064,226,SUP,3/2,
2069,468,SUP,3/2,
2073,214,SUP,3/2,
2084,382,SUP,3/2,
2095,160,SUP,3/2,
2108,165,SUP,3/2,
2109,165,W/M,3/2,
2115,216,SUP,3/2,
2118,156,W/M,3/2,
2125,380,SUP,3/2,
2128,159,SUP,3/2,
2130,183,SUP,3/2,
2144,173,W/M,3/2,
2147,383,SUP,3/2,
2149,216,SUP,3/2,
2153,183,SUP,3/2,
2154,24,SUP,3/2,
2155,156,SUP,3/2,
2158,156,SUP,3/2,
2163,173,W/M,3/2,
2169,232,SUP,3/2,
2174,154,SUP,3/2,
2184,160,W/M,3/2,
2185,232,SUP,3/2,
2193,208,SUP,3/2,
2199,216,SUP,3/2,
2200,162,W/M,3/2,
2202,180,SUP,3/2,
2207,403,SUP,3/2,
2208,226,SUP,3/2,
2209,216,SUP,3/2,
2214,41,SUP,3/2,
2223,585,SUP,3/2,
2224,181,W/M,3/2,
2228,154,W/M,3/2,
2230,237,SUP,3/2,
2232,163,W/M,3/2,
2236,167,W/M,3/2,
2252,168,SUP,3/2,
2256,296,SUP,3/2,
2259,383,SUP,3/2,
2261,161,SUP,3/2,
2263,167,SUP,3/2,
2265,35,SUP,3/2,
2266,214,SUP,3/2,
2267,156,W/M,3/2,
2270,375,SUP,3/2,
2272,285,SUP,3/2,
2276,238,SUP,3/2,
2278,228,SUP,3/2,
2281,235,SUP,3/2,
2284,173,SUP,3/2,
2289,154,SUP,3/2,
2294,174,SUP,3/2,
2299,163,SUP,3/2,
2307,582,SUP,3/2,
2311,248,SUP,3/2,
2315,478,W/M,3/2,
2316,214,SUP,3/2,
2320,468,SUP,3/2,
2328,497,WNM,3/2,
2329,156,SUP,3/2,
2330,183,SUP,3/2,
2331,162,SUP,3/2,
2335,441,SUP,3/2,
2336,159,SUP,3/2,
2339,246,SUP,3/2,
2340,233,SUP,3/2,
2348,36,SUP,3/2,
2350,207,SUP,3/2,
2360,23,SUP,3/2,
2365,174,SUP,3/2,
2366,160,SUP,3/2,
2371,163,SUP,3/2,
2386,154,SUP,3/2,
2395,507,WNM,3/2,
2399,184,SUP,3/2,
2400,218,SUP,3/2,
2412,293,SUP,3/2,
2417,196,SUP,3/2,
2419,285,W/M,3/2,
2420,235,SUP,3/2,
2428,409,SUP,3/2,
2429,223,SUP,3/2,
2431,492,WNM,3/2,
2436,293,SUP,3/2,
2440,294,SUP,3/2,
2442,485,WNM,3/2,
2452,444,SUP,3/2,
2455,383,SUP,3/2,
2460,285,SUP,3/2,
2474,320,SUP,3/2,
2475,20,SUP,3/2,
2480,226,SUP,3/2,
2481,232,SUP,3/2,
2503,174,SUP,3/2,
2511,582,SUP,3/2,
2519,233,SUP,3/2,
2528,232,SUP,3/2,
2535,232,SUP,3/2,
2545,196,SUP,3/2,
2560,285,SUP,3/2,
2566,280,SUP,3/2,
2575,326,SUP,3/2,
2580,300,SUP,3/2,
2584,20,SUP,3/2,
2585,173,W/M,3/2,
2587,326,SUP,3/2,
2597,228,SUP,3/2,
2604,174,W/M,3/2,
2605,218,SUP,3/2,
2610,316,SUP,3/2,
2613,213,SUP,3/2,
2615,27,SUP,3/2,
2618,203,SUP,3/2,
2620,202,SUP,3/2,
2629,156,SUP,3/2,
2630,28,SUP,3/2,
2639,181,SUP,3/2,
2656,375,SUP,3/2,
2658,444,SUP,3/2,
2660,157,W/M,3/2,
2663,237,SUP,3/2,
2682,181,SUP,3/2,
2687,35,SUP,3/2,
2699,554,WNM,3/2,
2700,203,SUP,3/2,
2719,163,W/M,3/2,
2729,378,SUP,3/2,
2734,353,SUP,3/2,
2741,534,WNM,3/2,
2744,537,WNM,3/2,
2747,161,W/M,3/2,
2751,380,SUP,3/2,
2752,585,SUP,3/2,
2753,18,SUP,3/2,
2773,546,WNM,3/2,
2790,280,SUP,3/2,
2797,154,W/M,3/2,
2806,42,SUP,3/2,
2811,21,SUP,3/2,
2812,425,SUP,3/2,
2813,440,SUP,3/2,
2823,216,SUP,3/2,
2825,175,W/M,3/2,
2827,418,SUP,3/2,
2832,29,SUP,3/2,
2840,546,WNM,3/2,
2841,558,W/M,3/2,
2845,296,SUP,3/2,
2849,316,SUP,3/2,
2850,293,SUP,3/2,
2852,216,SUP,3/2,
2857,360,SUP,3/2,
