Store,,DEC,73,YTD,74,DEC,75,YTD,76,DEC,77,YTD,78,DEC,79,YTD,80,DEC,81,YTD,82,DEC,83,YTD,84,DEC,85,YTD,86,DEC,87,YTD,88,DEC,89,YTD,90,DEC,91,YTD,92
3402,,-11.04%,R,-6.69%,R,-5.32%,R,-0.98%,R,3.82%,,-4.58%,R,-13.31%,R,-0.93%,R,29,G,177,,32.47%,,43.46%,,23,G,147,G,77.06%,,69.46%,,1:20:51,R,1:24:45,R,2366/2576,R,2453/2576,R
3709,,1.02%,,10.52%,G,2.05%,,40.16%,G,17.66%,,56.48%,G,-15.15%,R,25.94%,G,12,,155,,35.03%,,34.01%,,9,,64,,34.34%,R,51.69%,,0:25:07,G,0:25:19,G,1341/2576,,45/2576,G
Total,B,-1.44%,,4.36%,,0.15%,R,26.11%,G,10.89%,,28.45%,G,-8.08%,R,22.21%,,0.64,,0.46,,33.19%,,36.73%,,0.36,G,0.23,,53.30%,,50.43%,,0:48:14,,0:51:53,,315/394,,54/394,G
1184,,3.76%,G,4.82%,,8.34%,,14.04%,,11.64%,,8.21%,,-1.39%,,11.36%,,7,,110,,39.55%,,46.46%,G,1,R,53,,54.52%,,45.49%,,0:54:24,,0:53:51,,1345/2576,,1375/2576,
1340,,-1.06%,,12.22%,G,-8.56%,R,24.46%,,-12.68%,R,18.51%,G,7.47%,,29.31%,G,4,,80,,34.76%,,40.11%,,4,,59,,39.30%,,43.83%,,1:35:41,R,1:17:23,R,2221/2576,R,504/2576,G
2475,,-0.15%,,9.85%,G,4.23%,,25.44%,,12.75%,,13.46%,,-19.54%,R,26.43%,G,1,R,8,R,40.31%,,36.29%,,1,R,10,R,67.96%,,49.12%,,1:21:42,R,1:07:18,R,1920/2576,,718/2576,
2584,,10.18%,G,7.28%,,56.07%,G,29.55%,G,128.96%,G,24.42%,G,19.22%,,18.11%,,18,,252,,42.06%,,39.44%,,7,,77,,92.76%,G,41.69%,,0:35:12,G,0:41:15,,16/2576,G,277/2576,G
Total,B,2.69%,G,8.65%,G,11.22%,,22.60%,,20.68%,,14.63%,G,-0.26%,,21.18%,,0.25,,0.34,,39.27%,,40.33%,,0.11,,0.15,,64.81%,,45.21%,,1:05:37,R,1:01:00,R,186/394,,69/394,G
3,,1.40%,,1.62%,,11.10%,,21.88%,,8.45%,,4.09%,,7.26%,,11.80%,,22,,306,G,28.09%,,38.22%,,10,G,314,G,82.40%,,81.15%,G,0:45:15,,0:41:46,,1020/2576,,929/2576,
510,,-5.76%,,3.62%,,-14.10%,R,3.43%,R,-15.15%,R,-7.33%,R,1.17%,,12.49%,,3,,12,R,15.97%,R,16.58%,R,1,R,6,R,46.06%,,51.99%,,1:04:01,R,0:48:39,,2488/2576,R,2258/2576,R
1111,,-3.90%,,1.82%,,3.66%,,23.76%,,7.62%,,14.69%,,-8.06%,R,16.97%,,2,R,14,R,23.56%,R,30.73%,,0,R,22,,101.92%,G,99.43%,G,0:27:03,G,0:29:50,G,1764/2576,,857/2576,
1121,,-6.14%,,1.12%,,8.74%,,-10.66%,R,-10.03%,R,-12.81%,R,-0.92%,,12.34%,,0,R,23,R,20.47%,R,20.32%,R,0,R,12,R,64.19%,,43.66%,,0:30:38,G,0:24:45,G,1943/2576,,2329/2576,R
1363,,3.25%,G,10.92%,G,12.65%,,22.96%,,7.93%,,9.96%,,16.58%,,28.61%,G,12,,198,,23.11%,R,25.74%,R,2,,74,,64.67%,,62.55%,,0:18:13,G,0:19:56,G,816/2576,,290/2576,G
1400,,1.62%,,3.26%,,21.13%,,10.19%,,3.88%,,-1.98%,,59.59%,G,13.63%,,1,R,15,R,15.45%,R,20.20%,R,0,R,7,R,51.50%,,34.02%,,0:55:12,,0:53:30,,1055/2576,,2156/2576,R
2811,,-4.03%,,7.33%,,2.19%,,18.83%,,2.63%,,0.06%,,-8.72%,R,29.94%,G,3,,25,R,23.31%,R,25.30%,R,2,,10,R,49.16%,,38.73%,,0:40:33,,0:38:57,,2059/2576,,1067/2576,
3627,,5.33%,G,6.14%,,36.40%,G,16.61%,,27.30%,,3.34%,,16.71%,,19.94%,,0,R,78,,27.54%,,29.76%,,4,,81,,31.21%,R,28.55%,R,0:29:23,G,0:29:12,G,272/2576,G,1014/2576,
5482,,-1.73%,,1.83%,,8.61%,,2.87%,R,4.05%,,-1.59%,,10.26%,,3.79%,R,4,,129,,33.33%,,28.64%,,2,,44,,19.52%,R,29.04%,R,0:36:07,,0:42:18,,1420/2576,,2242/2576,R
Total,B,-0.83%,,4.19%,,11.00%,,13.19%,,5.47%,,1.18%,R,9.91%,,16.77%,,0.17,R,0.27,,23.85%,R,27.08%,R,0.08,,0.19,,55.20%,,51.84%,,0:37:38,G,0:36:06,G,215/394,,259/394,
594,,-4.62%,,0.39%,,83.05%,G,7.34%,R,134.78%,G,-8.69%,R,9.65%,,20.92%,,6,,144,,52.49%,G,36.37%,,5,,42,,27.27%,R,34.66%,,0:39:22,,0:40:34,,327/2576,G,2001/2576,
722,,2.04%,,9.08%,G,7.85%,,37.91%,G,14.62%,,38.24%,G,16.43%,,17.53%,,44,G,519,G,32.36%,,35.43%,,41,G,174,G,63.80%,,59.56%,,0:53:28,,1:03:01,,1013/2576,,210/2576,G
727,,-2.62%,,9.52%,G,28.18%,,40.97%,G,29.24%,G,27.27%,G,-25.85%,R,29.33%,G,8,,189,,39.45%,,31.29%,,1,R,54,,61.47%,,48.30%,,0:30:03,G,0:33:25,G,709/2576,,81/2576,G
787,,-5.42%,,-0.94%,R,9.91%,,6.77%,R,21.06%,,6.12%,,-11.58%,R,-1.69%,R,17,,83,,36.61%,,43.15%,,1,R,6,R,51.83%,,38.98%,,0:38:47,,0:42:58,,1491/2576,,2237/2576,R
855,,-1.51%,,-6.93%,R,15.60%,,0.35%,R,18.09%,,1.89%,,12.01%,,-4.52%,R,30,G,100,,38.95%,,33.03%,,2,,15,R,19.91%,R,34.42%,,0:34:13,G,0:53:09,,801/2576,,2508/2576,R
856,,-6.37%,,1.86%,,6.94%,,13.48%,,12.91%,,8.49%,,-9.51%,R,3.47%,R,85,G,287,G,28.75%,,38.67%,,79,G,362,G,39.57%,,47.66%,,0:45:31,,0:50:31,,1693/2576,,1603/2576,
1488,,6.25%,G,6.89%,,22.69%,,31.85%,G,22.60%,,24.95%,G,6.99%,,26.97%,G,13,,155,,46.08%,G,37.35%,,5,,27,,68.63%,,41.29%,,0:48:33,,0:46:16,,428/2576,G,349/2576,G
2732,,3.28%,G,1.32%,,21.62%,,13.65%,,18.52%,,9.94%,,-1.41%,,11.95%,,9,,168,,33.15%,,37.46%,,18,G,58,,52.69%,,48.75%,,0:46:01,,0:49:18,,640/2576,,1602/2576,
4409,,2.27%,,0.85%,,5.72%,,1.51%,R,-6.91%,R,-9.32%,R,13.73%,,5.17%,,10,,133,,23.79%,R,28.27%,,2,,83,,70.00%,,71.78%,,1:17:07,R,1:23:37,R,1722/2576,,2398/2576,R
Total,B,-0.88%,,2.31%,,18.00%,,15.37%,,23.18%,G,9.46%,,1.15%,,9.33%,,0.82,,0.60,,35.63%,,36.51%,,0.57,G,0.27,,48.96%,R,47.08%,,0:44:04,,0:49:42,,90/394,,263/394,
1578,,-1.63%,,3.64%,,10.35%,,19.76%,,-6.74%,R,14.89%,,28.38%,G,31.12%,G,30,G,222,,17.77%,R,29.20%,,5,,53,,52.89%,,19.46%,R,0:51:18,,0:51:24,,1398/2576,,966/2576,
3205,,3.57%,G,10.05%,G,-6.97%,R,35.31%,G,18.95%,,42.02%,G,20.27%,,33.48%,G,3,,10,R,32.15%,,39.02%,,9,,30,,52.11%,,28.36%,R,0:52:29,,0:51:20,,1475/2576,,331/2576,G
5390,,-1.48%,,3.31%,,-0.62%,R,2.17%,R,1.10%,,-9.54%,R,-6.93%,,12.93%,,19,,431,G,30.91%,,31.96%,,11,G,53,,55.31%,,37.26%,,1:03:26,R,1:03:16,,1991/2576,,2161/2576,R
Total,B,0.13%,,5.59%,,0.26%,R,15.78%,,3.45%,R,8.95%,,10.76%,,24.04%,G,0.58,,0.67,,26.97%,R,33.23%,,0.28,,0.14,,53.53%,,29.03%,R,0:56:10,,0:55:41,,308/394,,180/394,
575,,6.93%,G,6.46%,,6.83%,,13.91%,,25.74%,,7.52%,,8.61%,,4.37%,R,14,,115,,34.97%,,40.19%,,6,,71,,35.20%,R,32.87%,R,0:49:37,,0:50:55,,1030/2576,,1419/2576,
878,,5.74%,G,7.44%,,11.67%,,-0.23%,R,12.10%,,-16.21%,R,34.62%,G,34.74%,G,9,,74,,24.05%,R,23.45%,R,7,,55,,26.43%,R,8.67%,R,0:39:16,,0:42:57,,812/2576,,1814/2576,
1314,,3.90%,G,7.39%,,7.59%,,12.75%,,4.29%,,-2.70%,R,-7.85%,,13.88%,,29,G,181,,26.18%,,27.82%,,14,G,141,G,25.55%,R,15.51%,R,0:43:45,,0:39:05,,1374/2576,,1346/2576,
1373,,11.97%,G,23.69%,G,9.47%,,28.64%,G,11.68%,,17.08%,,29.01%,G,35.09%,G,13,,352,G,37.57%,,45.07%,G,4,,69,,84.76%,,53.51%,,0:50:56,,0:45:59,,744/2576,,90/2576,G
2154,,5.95%,G,16.28%,G,38.27%,G,53.78%,G,40.45%,G,48.51%,G,33.16%,G,61.67%,G,7,,32,R,16.47%,R,20.75%,R,2,,25,,43.11%,,34.51%,,1:02:15,R,0:53:56,,416/2576,G,250/2576,G
2941,,13.08%,G,9.88%,G,27.05%,,33.10%,G,29.39%,G,17.77%,G,27.84%,G,48.21%,G,19,,91,,35.82%,,27.75%,,8,,32,,100.86%,G,51.79%,,0:30:36,G,0:34:30,G,51/2576,G,184/2576,G
3462,,23.47%,G,13.17%,G,55.73%,G,24.10%,,61.23%,G,20.64%,G,60.98%,G,44.64%,G,8,,37,R,19.75%,R,22.25%,R,1,R,15,R,17.95%,R,16.25%,R,0:35:15,G,0:40:44,,90/2576,G,496/2576,G
4436,,17.98%,G,13.27%,G,48.50%,G,29.61%,G,69.72%,G,17.54%,G,14.93%,,25.64%,,0,R,1,R,26.84%,,25.87%,R,0,R,10,R,29.00%,R,26.89%,R,0:42:41,,0:46:01,,275/2576,G,546/2576,
7185,,-3.65%,,0.17%,,-2.24%,R,3.59%,R,9.14%,,-4.64%,R,-7.04%,,3.66%,R,5,,29,R,26.50%,,33.98%,,6,,20,,62.15%,,69.35%,,0:45:31,,0:55:11,,2005/2576,,2402/2576,R
Total,B,8.89%,G,11.68%,G,19.68%,,22.28%,,24.99%,G,12.58%,G,22.63%,G,31.11%,G,0.39,,0.31,,27.01%,R,29.86%,,0.18,,0.15,,48.33%,R,35.16%,R,0:46:48,,0:46:22,,48/394,G,47/394,G
459,,-13.60%,R,1.07%,,-39.38%,R,-19.99%,R,-53.32%,R,-33.36%,R,-15.65%,R,0.18%,R,0,R,2,R,24.19%,R,29.18%,,0,R,12,R,43.01%,,36.09%,,1:17:08,R,1:11:00,R,2574/2576,R,2556/2576,R
520,,-3.11%,,7.70%,,9.86%,,15.78%,,-0.58%,,5.50%,,26.43%,G,19.57%,,5,,89,,24.57%,R,28.31%,,0,R,37,,72.20%,,60.12%,,0:51:40,,1:01:11,,1613/2576,,1242/2576,
548,,11.06%,G,11.29%,G,76.60%,G,39.88%,G,56.36%,G,21.63%,G,33.00%,G,31.26%,G,41,G,295,G,20.60%,R,25.17%,R,4,,76,,45.16%,,43.49%,,1:07:34,R,1:06:23,R,174/2576,G,265/2576,G
780,,-8.83%,,9.80%,G,-0.27%,R,21.25%,,5.71%,,9.44%,,-26.69%,R,13.32%,,18,,164,,32.95%,,50.60%,G,7,,109,G,91.95%,,75.05%,,0:32:02,G,0:35:52,G,1944/2576,,380/2576,G
1720,,0.30%,,8.95%,G,1.20%,R,22.65%,,9.85%,,12.43%,,-14.77%,R,25.32%,,17,,284,G,31.20%,,43.19%,,9,,57,,72.00%,,64.33%,,0:42:09,,0:51:28,,1581/2576,,420/2576,G
3388,,9.25%,G,6.80%,,70.36%,G,28.37%,G,96.23%,G,14.69%,,22.01%,,23.93%,,87,G,288,G,37.80%,,40.86%,,20,G,87,,79.38%,,52.96%,,0:43:38,,0:53:36,,21/2576,G,390/2576,G
3389,,-3.15%,,5.42%,,-6.11%,R,11.55%,,-6.29%,R,-1.12%,,-1.84%,,9.90%,,7,,139,,34.58%,,38.01%,,3,,17,R,42.09%,,44.86%,,0:32:00,G,0:38:13,,1975/2576,,1580/2576,
3786,,-7.80%,,10.20%,G,7.05%,,27.49%,G,-16.24%,R,3.08%,,19.96%,,35.94%,G,2,R,16,R,34.50%,,37.20%,,2,,10,R,84.24%,,64.07%,,1:10:45,R,1:12:07,R,2023/2576,,735/2576,
5252,,-4.83%,,1.84%,,13.85%,,19.31%,,8.15%,,11.25%,,-6.41%,,17.41%,,82,G,618,G,47.35%,G,45.59%,G,15,G,247,G,108.41%,G,96.06%,G,0:39:38,,0:42:43,,997/2576,,757/2576,
Total,B,-2.75%,,6.71%,G,10.09%,,17.35%,,5.17%,R,4.85%,,3.88%,,19.50%,,0.96,,0.63,,31.92%,,36.86%,,0.22,,0.22,,70.80%,,58.54%,,0:48:30,,0:53:26,,244/394,,115/394,
518,,3.74%,G,9.69%,G,23.02%,,27.40%,,9.36%,,17.27%,,16.54%,,18.22%,,43,G,228,,38.51%,,42.54%,,22,G,77,,111.94%,G,100.25%,G,0:35:53,G,0:42:37,,213/2576,G,168/2576,G
615,,4.01%,G,10.29%,G,14.54%,,22.09%,,17.45%,,12.94%,,5.93%,,28.64%,G,37,G,246,,32.57%,,40.91%,,7,,144,G,68.05%,,58.84%,,0:43:21,,0:43:17,,663/2576,,276/2576,G
937,,14.52%,G,7.41%,,119.54%,G,27.84%,G,153.68%,G,8.21%,,64.85%,G,61.32%,G,2,R,41,,30.15%,,29.66%,,9,,21,,34.93%,R,9.76%,R,1:08:04,R,0:58:57,,152/2576,G,780/2576,
1586,,14.05%,G,21.22%,G,21.39%,,42.36%,G,26.49%,,29.24%,G,9.35%,,50.12%,G,1,R,353,G,17.58%,R,26.14%,R,0,R,110,G,66.98%,,54.78%,,0:43:36,,0:47:44,,634/2576,,53/2576,G
3403,,0.33%,,14.18%,G,26.66%,,50.93%,G,39.02%,G,37.43%,G,7.11%,,52.51%,G,109,G,948,G,37.32%,,39.15%,,20,G,287,G,94.56%,G,79.20%,,0:29:04,G,0:35:32,G,160/2576,G,5/2576,G
5275,,4.06%,G,11.06%,G,27.80%,,46.36%,G,18.68%,,26.43%,G,24.89%,G,39.89%,G,8,,170,,33.11%,,34.38%,,4,,49,,87.16%,,42.71%,,0:34:04,G,0:38:34,,206/2576,G,67/2576,G
Total,B,5.60%,G,12.24%,G,26.35%,G,35.76%,G,26.08%,G,22.79%,G,15.76%,,37.54%,G,1.11,G,1.00,G,33.22%,,36.87%,,0.34,,0.35,G,85.89%,G,65.96%,,0:39:48,G,0:42:51,G,3/394,G,2/394,G
1024,,-12.22%,R,0.03%,R,0.23%,R,10.99%,,7.17%,,-1.48%,,-6.18%,,8.00%,,5,,64,,12.00%,R,14.82%,R,1,R,1,R,33.41%,R,41.26%,,0:59:58,,0:46:20,,2453/2576,R,2259/2576,R
1143,,3.28%,G,-1.61%,R,52.54%,G,0.78%,R,168.75%,G,-2.84%,R,31.62%,G,-0.82%,R,16,,36,R,27.49%,,23.19%,R,0,R,20,,15.37%,R,8.92%,R,0:53:19,,0:55:46,,303/2576,G,2539/2576,R
1227,,-8.16%,,0.38%,,-4.94%,R,6.60%,R,4.69%,,-7.29%,R,-0.42%,,15.32%,,1,R,41,,21.22%,R,26.14%,R,0,R,31,,3.48%,R,2.36%,R,1:17:12,R,1:29:05,R,2506/2576,R,2450/2576,R
3570,,0.99%,,1.86%,,38.46%,G,24.47%,,33.82%,G,23.84%,G,28.65%,G,20.84%,,44,G,132,,31.18%,,31.99%,,0,R,45,,84.63%,,45.55%,,0:45:00,,0:44:50,,221/2576,G,839/2576,
Total,B,-4.73%,,0.28%,R,16.32%,,10.47%,R,31.24%,G,3.69%,,8.51%,,11.71%,,0.55,,0.21,R,22.73%,R,24.40%,R,0.01,R,0.07,R,27.42%,R,19.45%,R,0:58:51,R,1:00:19,,221/394,,389/394,R
555,,-1.54%,,2.32%,,2.88%,,13.76%,,30.88%,G,14.25%,,-3.42%,,11.72%,,17,,23,R,19.79%,R,20.85%,R,1,R,6,R,17.29%,R,34.12%,,0:39:49,,0:36:49,G,1629/2576,,1720/2576,
758,,5.64%,G,3.13%,,17.05%,,10.30%,,6.47%,,5.47%,,11.38%,,11.74%,,2,R,8,R,35.91%,,36.15%,,1,R,26,,68.11%,,74.96%,,0:51:35,,0:51:27,,937/2576,,1844/2576,
1076,,-2.69%,,-0.62%,R,-10.39%,R,2.10%,R,-10.63%,R,0.17%,,9.04%,,1.35%,R,51,G,229,,44.88%,G,58.35%,G,19,G,75,,48.78%,,26.82%,R,0:46:31,,0:41:15,,1805/2576,,2169/2576,R
1153,,-0.08%,,-5.38%,R,37.22%,G,-10.68%,R,25.37%,,-19.49%,R,9.40%,,-14.77%,R,91,G,251,,35.94%,,30.66%,,6,,19,R,32.81%,R,24.63%,R,0:30:29,G,0:34:51,G,226/2576,G,2494/2576,R
1367,,-1.99%,,1.82%,,7.71%,,10.67%,,3.16%,,1.54%,,7.69%,,20.14%,,2,R,15,R,47.96%,G,43.30%,,3,,19,R,44.39%,,39.99%,,0:56:41,,1:00:40,,1632/2576,,2000/2576,
2733,,-4.44%,,7.32%,,11.95%,,20.38%,,3.30%,,14.80%,,13.06%,,13.53%,,26,,58,,35.02%,,33.42%,,17,G,32,,92.42%,G,72.01%,,0:51:29,,0:49:44,,1214/2576,,811/2576,
2890,,-4.57%,,8.36%,G,12.70%,,31.13%,G,14.78%,,26.81%,G,-7.19%,,35.63%,G,18,,93,,49.30%,G,48.38%,G,16,G,29,,30.63%,R,34.11%,,0:44:22,,0:44:35,,1254/2576,,237/2576,G
3750,,3.43%,G,-1.33%,R,18.72%,,8.94%,,15.95%,,0.17%,,12.18%,,9.85%,,24,,39,R,63.71%,G,67.42%,G,18,G,39,,59.14%,,55.49%,,0:26:47,G,0:29:11,G,299/2576,G,1926/2576,
Total,B,-0.87%,,1.93%,,10.90%,,11.79%,R,8.86%,,5.55%,,5.17%,,12.71%,,0.96,,0.27,,40.88%,G,40.76%,,0.34,,0.09,R,47.93%,R,46.72%,,0:45:10,,0:45:52,,165/394,,334/394,R
&nbsp;,B,0.49%,,5.88%,G,13.29%,,18.67%,,14.07%,,9.26%,G,7.23%,,19.64%,,0.73,,0.49,,32.65%,,34.60%,,0.30,,0.21,,59.92%,,50.11%,,0:46:45,,0:48:50,,9/34,,8/34,
588,,-2.13%,,4.02%,,9.45%,,23.93%,,1.53%,,9.80%,,19.02%,,28.21%,G,7,,302,G,40.87%,,45.59%,G,2,,16,R,58.45%,,57.56%,,0:47:24,,0:42:49,,1337/2576,,634/2576,
889,,-5.18%,,1.75%,,10.42%,,21.61%,,-18.18%,R,4.37%,,15.35%,,26.33%,G,12,,71,,32.19%,,38.28%,,18,G,72,,29.61%,R,29.76%,R,0:38:54,,0:32:36,G,1489/2576,,976/2576,
899,,-2.77%,,5.24%,,20.44%,,26.28%,,10.24%,,9.16%,,21.49%,,19.07%,,133,G,1316,G,35.61%,,46.97%,G,25,G,259,G,101.65%,G,71.04%,,0:56:00,,0:44:02,,657/2576,,384/2576,G
952,,-5.92%,,8.04%,G,2.04%,,15.87%,,-2.56%,R,3.45%,,-4.27%,,17.68%,,26,,221,,40.15%,,38.17%,,18,G,124,G,81.04%,,77.30%,,0:48:12,,0:44:28,,1848/2576,,800/2576,
1006,,-9.72%,,3.38%,,19.91%,,15.71%,,34.52%,G,12.09%,,-13.58%,R,5.98%,,22,,172,,35.71%,,35.87%,,1,R,11,R,30.00%,R,28.32%,R,0:43:39,,0:39:42,,1358/2576,,1458/2576,
1072,,-3.92%,,-1.50%,R,-3.74%,R,4.92%,R,-6.87%,R,0.61%,,-6.17%,,-4.49%,R,28,,327,G,27.89%,,31.58%,,11,G,51,,53.16%,,48.28%,,1:08:04,R,1:05:50,R,2236/2576,R,2393/2576,R
2615,,7.82%,G,-1.35%,R,17.11%,,15.85%,,16.51%,,13.71%,,11.45%,,12.69%,,5,,208,,22.92%,R,31.96%,,1,R,51,,9.49%,R,34.86%,,0:38:45,,0:42:13,,813/2576,,1575/2576,
Total,B,-3.06%,,2.69%,,10.23%,,18.15%,,3.69%,R,7.69%,,7.16%,,14.88%,,1.11,G,1.13,G,33.89%,,38.90%,,0.36,G,0.25,,54.59%,,49.80%,,0:48:52,,0:45:10,,242/394,,154/394,
556,,0.36%,,2.78%,,-5.57%,R,5.62%,R,0.00%,,9.29%,,-13.52%,R,-7.50%,R,11,,119,,31.52%,,42.45%,,33,G,361,G,46.68%,,48.52%,,0:30:58,G,0:32:46,G,1748/2576,,1726/2576,
593,,-1.33%,,5.79%,,14.12%,,9.31%,,14.71%,,8.32%,,-9.65%,R,-0.21%,R,20,,113,,41.28%,,45.77%,G,14,G,171,G,54.45%,,44.16%,,0:46:28,,0:46:56,,1081/2576,,1537/2576,
639,,-1.21%,,8.05%,G,0.69%,R,19.08%,,3.10%,,5.68%,,17.25%,,31.15%,G,1,R,4,R,24.96%,R,41.02%,,1,R,9,R,62.56%,,63.57%,,0:59:25,,1:10:49,R,1934/2576,,1040/2576,
686,,-4.95%,,-0.54%,R,-6.44%,R,5.40%,R,-6.33%,R,2.78%,,-10.76%,R,-4.39%,R,66,G,417,G,32.70%,,43.47%,,12,G,134,G,21.27%,R,23.21%,R,0:24:50,G,0:28:11,G,1990/2576,,1991/2576,
836,,2.27%,,4.25%,,-1.95%,R,7.45%,R,5.35%,,-11.16%,R,10.38%,,17.51%,,16,,41,,46.26%,G,52.49%,G,12,G,41,,48.37%,,45.59%,,0:45:56,,1:11:10,R,1378/2576,,1967/2576,
862,,-0.48%,,4.00%,,11.52%,,19.79%,,3.87%,,8.99%,,14.99%,,16.52%,,26,,56,,19.33%,R,28.72%,,0,R,22,,38.65%,,19.66%,R,1:04:59,R,0:57:55,,1563/2576,,1417/2576,
864,,-6.79%,,7.10%,,7.83%,,17.85%,,5.59%,,10.00%,,6.28%,,12.47%,,1,R,4,R,24.03%,R,26.06%,R,0,R,0,R,9.98%,R,3.69%,R,0:40:51,,0:42:41,,1999/2576,,1323/2576,
1018,,-3.93%,,1.82%,,5.47%,,6.91%,R,6.64%,,4.57%,,5.25%,,-1.04%,R,21,,185,,20.53%,R,25.47%,R,1,R,6,R,22.58%,R,22.31%,R,0:38:27,,0:34:41,G,1753/2576,,2146/2576,R
2630,,-12.49%,R,-1.90%,R,-17.92%,R,2.28%,R,-18.35%,R,-7.70%,R,-21.59%,R,-3.53%,R,0,R,52,,19.20%,R,26.12%,R,0,R,2,R,66.67%,,66.98%,,0:23:19,G,0:28:27,G,2517/2576,R,2406/2576,R
5392,,1.87%,,6.69%,,15.42%,,25.53%,,11.62%,,12.53%,,11.32%,,16.96%,,4,,84,,22.22%,R,28.89%,,31,G,146,G,89.83%,,81.82%,G,0:55:42,,1:07:20,R,951/2576,,690/2576,
Total,B,-2.49%,,4.04%,,1.77%,R,12.07%,R,1.67%,R,4.49%,,2.07%,,8.75%,R,0.55,,0.32,,28.22%,,36.32%,,0.35,,0.27,,46.61%,R,42.30%,R,0:44:56,,0:48:11,,331/394,R,312/394,
110,,-0.47%,,0.79%,,22.11%,,9.05%,,-42.24%,R,-11.45%,R,197.35%,G,31.12%,G,35,G,368,G,23.84%,R,35.70%,,3,,252,G,13.17%,R,29.35%,R,1:55:07,R,2:00:47,R,1186/2576,,2027/2576,
942,,-8.95%,,4.37%,,-28.53%,R,3.67%,R,-3.64%,R,-6.85%,R,-37.65%,R,3.06%,R,59,G,791,G,24.07%,R,46.23%,G,66,G,527,G,31.54%,R,59.03%,,1:20:51,R,1:16:46,R,2509/2576,R,1969/2576,
959,,-2.47%,,3.52%,,15.12%,,19.67%,,-1.79%,R,7.31%,,9.78%,,14.74%,,61,G,653,G,46.38%,G,49.34%,G,35,G,189,G,87.57%,,86.32%,G,0:46:10,,0:45:35,,917/2576,,746/2576,
2695,,3.80%,G,10.83%,G,24.25%,,29.78%,G,14.23%,,16.53%,,27.29%,G,17.69%,,629,G,4470,G,50.32%,G,58.24%,G,4,,461,G,28.37%,R,48.03%,,0:42:07,,0:39:50,,290/2576,G,86/2576,G
2843,,14.04%,G,11.61%,G,14.42%,,20.77%,,8.94%,,9.21%,,4.75%,,19.18%,,50,G,354,G,47.73%,G,41.89%,,22,G,320,G,63.85%,,76.56%,,0:58:46,,0:46:49,,680/2576,,362/2576,G
4262,,8.79%,G,8.12%,G,8.17%,,18.62%,,5.19%,,5.38%,,25.37%,G,21.55%,,118,G,930,G,28.60%,,47.75%,G,18,G,343,G,98.33%,G,84.98%,G,0:52:53,,0:54:05,,849/2576,,576/2576,
