Store,Item(s)  Removed
363,Nectarine / Peach/HoneyCrisp
3783,Nectarine/Honeycrisp
4235,Nectarine/Honeycrisp
3300,Nectarine
386,Nectarine
952,Nectarine
882,Nectarine/Honeycrisp
4460,Nectarine
221,Nectarine / Peach
938,Nectarine/Honeycrisp
315,Nectarine / Peach
343,Nectarine / Peach
1002,Nectarine / Peach
2576,Nectarine
2312,Nectarine
1193,Nectarine
2926,Nectarine/Honeycrisp
171,Nectarine / Peach
2697,Nectarine
930,Nectarine/Honeycrisp
181,Nectarine
416,Nectarine
1460,Nectarine
1557,Nectarine
1351,Nectarine / Peach
1254,Nectarine
5287,Nectarine/Honeycrisp
139,Nectarine
838,Nectarine
3351,Nectarine
692,Nectarine / Peach
1413,Nectarine
603,Nectarine
212,Nectarine / Peach
257,Nectarine
431,Nectarine / Peach/HoneyCrisp
616,Nectarine/Honeycrisp
773,Nectarine
877,Nectarine
965,Nectarine
1327,Nectarine
1449,Nectarine
1529,Nectarine / Peach
1635,Nectarine
2209,Nectarine
2784,Nectarine
3210,Nectarine/Honeycrisp
3219,Nectarine
5085,Nectarine
5747,Nectarine/Honeycrisp
2845,Nectarine
1564,Nectarine
2684,Nectarine
4295,Nectarine
269,Nectarine
5957,Nectarine
1148,Nectarine / Peach
2532,Nectarine
2033,Nectarine
1156,Nectarine
5777,Nectarine/Honeycrisp
5080,Nectarine
4697,Nectarine
153,Nectarine
922,Nectarine
1888,Nectarine
1356,Nectarine
1017,Nectarine
2986,Nectarine / Peach/HoneyCrisp
5379,Nectarine
3842,Nectarine / Peach
870,Nectarine / Peach
3580,Nectarine / Peach
1966,Nectarine / Peach
5311,Nectarine
143,Nectarine
781,Nectarine / Peach
2804,Nectarine
5728,Nectarine
224,Nectarine / Peach
318,Nectarine
2914,Nectarine
3445,Nectarine / Peach
2024,Nectarine
1190,Nectarine / Peach
242,Nectarine
2087,Nectarine
2272,Nectarine
2992,Nectarine / Peach
4330,Nectarine
3867,Nectarine
744,Nectarine
3625,Nectarine
1802,Nectarine
723,Nectarine
1331,Nectarine
1556,Nectarine / Peach
2069,Nectarine / Peach/HoneyCrisp
5186,Nectarine
1601,Nectarine
277,Nectarine
5672,Nectarine
329,Nectarine
3150,Nectarine
5060,Nectarine / Peach
3486,Nectarine
7280,Nectarine
72,Nectarine/Honeycrisp
3243,Nectarine / Peach
2929,Nectarine / Peach
5469,Nectarine
5857,Nectarine/Honeycrisp
1602,Nectarine / Peach/HoneyCrisp
109,Nectarine
434,Nectarine
574,Nectarine
729,Nectarine
1158,Nectarine
1985,Nectarine
2647,Nectarine
1688,Nectarine / Peach
1472,Nectarine
1287,Nectarine
1758,Nectarine
4623,Nectarine
6286,Nectarine
667,Nectarine / Peach
738,Nectarine
2111,Nectarine / Peach/HoneyCrisp
2455,Nectarine / Peach
2836,Nectarine
2638,Nectarine
573,Nectarine / Peach
1112,Nectarine / Peach
5136,Nectarine / Peach
7290,Nectarine
531,Nectarine
5466,Nectarine
689,Peach
2610,Peach
2464,Peach / HoneyCrisp
1773,Peach
3893,Peach
735,Peach
2808,Peach
1633,Peach / HoneyCrisp
2131,Peach
5115,Peach
1379,Peach
5851,Peach
655,Peach
4384,Peach
1575,Peach
775,Peach
1310,Peach
5497,Peach
1652,Peach / HoneyCrisp
5151,Peach
628,Peach
5458,Peach
2528,Peach
5487,Peach
1339,Peach
423,Peach
1064,Peach
1995,Peach
3712,Peach / HoneyCrisp
1341,Peach / HoneyCrisp
6879,Peach
1151,Peach / HoneyCrisp
4224,Peach
4187,Peach
20,Peach
1120,Peach
2933,Peach
4865,Peach
517,Peach
1763,Peach
1305,Peach / HoneyCrisp
1552,Peach / HoneyCrisp
2821,Peach / HoneyCrisp
739,Peach
1499,Peach
1673,Peach
1969,Peach
3208,Peach
5027,Peach
5442,Peach
587,Peach
1772,Peach / HoneyCrisp
4695,Peach
2318,Peach
5705,Peach
314,Peach
2565,Peach / HoneyCrisp
1322,Peach
1545,Peach
188,Peach / HoneyCrisp
5076,Peach
1056,Peach
2472,Peach / HoneyCrisp
2545,Peach
6898,Peach
407,Peach
4309,Peach
1640,Peach
2004,Peach
2855,Peach
1241,Peach
5261,Peach
2457,Peach / HoneyCrisp
3514,Peach
5667,Peach
3216,Peach
6931,Peach
719,Peach
226,Peach
51,Peach / HoneyCrisp
4274,Peach
2050,Peach
2690,Peach / HoneyCrisp
5397,Peach
5732,Peach
1806,Peach
179,Peach
7326,Peach
1080,Peach
1003,Peach
1376,Peach
2053,Peach
264,Peach
481,Peach
1227,Peach
1280,Peach
2757,Peach
295,Peach
786,Peach
1326,Peach
2088,Peach
3644,Peach
4393,Peach
694,Peach
1581,Peach
1554,Peach / HoneyCrisp
4208,Peach
1905,Peach
5847,Peach
1377,Peach
1515,Peach
5133,Peach / HoneyCrisp
1096,Peach
5703,Peach
690,Peach
4144,Peach
2089,Peach
3503,Peach / HoneyCrisp
3081,Peach
4564,Peach
5477,Peach
3454,Peach
1011,Peach
691,Peach
5141,Peach
60,Peach
631,Peach
657,Peach
891,Peach
1447,Peach
1613,Peach
1682,Peach
1823,Peach
2399,Peach
2957,Peach
5173,Peach
6300,Peach
3232,Peach
1424,Peach
4410,Peach
5192,Peach
5922,Peach
592,Peach / HoneyCrisp
672,Peach
5768,Peach
851,Peach
5253,Peach
2859,Peach
4567,Peach
1830,Peach
2812,Peach / HoneyCrisp
4239,Peach / HoneyCrisp
201,Peach
709,Peach
1584,Peach
5046,Peach
2046,Peach
37,Peach
1945,Peach
2453,Peach
1009,Peach
1293,Peach
1848,Peach
3241,Peach
2145,Peach
95,Peach
1183,Peach
3630,Peach
3804,Peach
122,Peach
683,Peach
3708,Peach
7009,Peach
35,Peach
5167,Peach
5280,Peach / HoneyCrisp
2160,Peach
5118,Peach
2889,Peach
262,Peach / HoneyCrisp
711,Peach
1165,Peach
1179,Peach
3897,Peach
