Store,DSL Gen,DSL Start date,Resource Link,Toolkit Link by Gen,RDC,APD Phase 1,APD Phase 2,APD Phase 3,HVDC Start Date,FDD Start Date,CoSTL Install Date,Digital Lock Install Date,Digital Lock Survey Date,Next Gen Cash Recycler Install Date
31,,,,,6094,1/1/2028,4/1/2029,,Completed,Completed,,,,
32,,,,,6094,1/1/2028,4/1/2029,,Completed,Completed,,,,
33,,,,,6018,3/17/2025,11/13/2026,3/13/2028,Completed,Completed,7/15/2024,,,
34,,,,,6094,1/1/2028,4/1/2029,,Completed,Completed,,,,
35,,,,,6035,8/15/2024,1/26/2026,5/26/2027,Completed,Completed,,,Week 33,
36,,,,,6018,3/17/2025,11/13/2026,3/13/2028,7/22/2024,7/22/2024,7/24/2024,,,8/19/2024
37,,,,,6069,4/1/2028,7/1/2029,,8/5/2024,8/5/2024,,,,
38,,,,,6018,3/17/2025,11/13/2026,3/13/2028,9/16/2024,9/16/2024,,,,
39,,,,,6035,8/15/2024,1/26/2026,5/26/2027,Completed,Completed,,,,
40,,,,,6069,4/1/2028,7/1/2029,,8/5/2024,8/5/2024,,,,
41,,,,,6094,1/1/2028,4/1/2029,,7/15/2024,7/15/2024,,,Week 33,
42,,,,,6094,1/1/2028,4/1/2029,,7/15/2024,7/15/2024,,,,
43,,,,,6035,8/15/2024,1/26/2026,5/26/2027,8/5/2024,8/5/2024,,,,
44,,,,,6069,4/1/2028,7/1/2029,,,,1/12/2025,,,
45,,,,,6018,3/17/2025,11/13/2026,3/13/2028,Completed,Completed,7/21/2024,,,8/21/2024
46,,,,,6069,4/1/2028,7/1/2029,,Completed,Completed,,,,
47,,,,,6094,1/1/2028,4/1/2029,,Completed,Completed,,,,10/26/2023
48,,,,,6094,1/1/2028,4/1/2029,,7/15/2024,7/15/2024,,,,
49,,,,,6036,Complete,12/5/2024,4/5/2026,9/16/2024,9/16/2024,,,,
50,,,,,6094,1/1/2028,4/1/2029,,7/15/2024,7/15/2024,,,,
51,,,,,6069,4/1/2028,7/1/2029,,8/5/2024,8/5/2024,,,,8/20/2024
52,,,,,6018,3/17/2025,11/13/2026,3/13/2028,Completed,Completed,7/17/2024,,,
54,,,,,6094,1/1/2028,4/1/2029,,Completed,Completed,7/17/2023,LIVE,,5/6/2024
55,,,,,6094,1/1/2028,4/1/2029,,Completed,Completed,5/8/2024,,,
56,,,,,6069,4/1/2028,7/1/2029,,Completed,Completed,,,,
57,,,,,6018,3/17/2025,11/13/2026,3/13/2028,,,7/29/2024,,,
58,,,,,6018,3/17/2025,11/13/2026,3/13/2028,Completed,Completed,7/15/2024,,,
59,,,,,6094,1/1/2028,4/1/2029,,7/15/2024,7/15/2024,,,Week 33,
60,,,,,6069,4/1/2028,7/1/2029,,8/5/2024,8/5/2024,,,,
61,,,,,6035,8/15/2024,1/26/2026,5/26/2027,Completed,Completed,,,,
62,,,,,6018,3/17/2025,11/13/2026,3/13/2028,7/22/2024,7/22/2024,7/10/2024,,,8/20/2024
63,,,,,6094,1/1/2028,4/1/2029,,7/15/2024,7/15/2024,,,,
64,,,,,6018,3/17/2025,11/13/2026,3/13/2028,7/22/2024,7/22/2024,,,,8/2/2024
65,,,,,6069,4/1/2028,7/1/2029,,8/5/2024,8/5/2024,1/12/2025,,,
66,,,,,6094,1/1/2028,4/1/2029,,Completed,Completed,5/7/2024,,,
67,,,,,6094,1/1/2028,4/1/2029,,Completed,Completed,5/6/2024,,,
68,,,,,6018,3/17/2025,11/13/2026,3/13/2028,7/22/2024,7/22/2024,7/22/2024,,,
69,,,,,6069,4/1/2028,7/1/2029,,Completed,Completed,,,,
70,,,,,6018,3/17/2025,11/13/2026,3/13/2028,7/22/2024,7/22/2024,,,,8/5/2024
71,,,,,6018,3/17/2025,11/13/2026,3/13/2028,Completed,Completed,7/30/2024,,,
72,,,,,6094,1/1/2028,4/1/2029,,7/15/2024,7/15/2024,,,,
73,,,,,6094,1/1/2028,4/1/2029,,7/15/2024,7/15/2024,,,,
74,,,,,6018,3/17/2025,11/13/2026,3/13/2028,7/22/2024,7/22/2024,7/23/2024,,,8/19/2024
75,,,,,6048,11/1/2026,2/1/2028,,7/22/2024,7/22/2024,,,,
76,,,,,6094,1/1/2028,4/1/2029,,Completed,Completed,5/5/2024,,,
77,,,,,6016,Complete,11/12/2024,3/12/2026,Completed,Completed,,,,
78,,,,,6069,4/1/2028,7/1/2029,,Completed,Completed,,,,
79,,,,,6094,1/1/2028,4/1/2029,,7/15/2024,7/15/2024,,LIVE,,
80,,,,,6069,4/1/2028,7/1/2029,,8/5/2024,8/5/2024,,,Week 33,
81,,,,,6094,1/1/2028,4/1/2029,,Completed,Completed,,,,
82,,,,,6069,4/1/2028,7/1/2029,,8/5/2024,8/5/2024,,,,
83,,,,,6018,3/17/2025,11/13/2026,3/13/2028,Completed,Completed,7/31/2024,,,
85,,,,,6018,3/17/2025,11/13/2026,3/13/2028,Completed,Completed,7/10/2024,,,
86,,,,,6069,4/1/2028,7/1/2029,,Completed,Completed,,LIVE,,
87,,,,,6036,Complete,12/5/2024,4/5/2026,9/16/2024,9/16/2024,,,,7/22/2024
88,,,,,6069,4/1/2028,7/1/2029,,8/5/2024,8/5/2024,,,,
89,,,,,6069,4/1/2028,7/1/2029,,8/5/2024,8/5/2024,1/12/2025,,,
90,,,,,6094,1/1/2028,4/1/2029,,7/15/2024,7/15/2024,,,,
91,,,,,6018,3/17/2025,11/13/2026,3/13/2028,7/22/2024,7/22/2024,,,,8/6/2024
92,,,,,6094,1/1/2028,4/1/2029,,7/15/2024,7/15/2024,,,,
93,,,,,6018,3/17/2025,11/13/2026,3/13/2028,7/22/2024,7/22/2024,,,,8/24/2024
94,,,,,6018,3/17/2025,11/13/2026,3/13/2028,7/22/2024,7/22/2024,,TBD,,8/23/2024
95,,,,,6069,4/1/2028,7/1/2029,,8/5/2024,8/5/2024,,,,
96,,,,,6035,8/15/2024,1/26/2026,5/26/2027,Completed,Completed,,,,
97,,,,,6018,3/17/2025,11/13/2026,3/13/2028,7/22/2024,7/22/2024,,,,8/23/2024
98,,,,,6011,Complete,9/12/2025,1/12/2027,Completed,Completed,,,,
99,,,,,6069,4/1/2028,7/1/2029,,8/5/2024,8/5/2024,,,,
100,Gen 3,5/19/2024,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6094,1/1/2028,4/1/2029,,Completed,Completed,7/28/2024,LIVE,,
101,,,,,6069,4/1/2028,7/1/2029,,8/5/2024,8/5/2024,1/12/2025,,,
102,,,,,6018,3/17/2025,11/13/2026,3/13/2028,Completed,Completed,8/4/2024,,,
103,,,,,6094,1/1/2028,4/1/2029,,Completed,Completed,,,,
104,,,,,6066,7/1/2027,10/1/2028,,7/22/2024,7/22/2024,,,,7/30/2024
105,,,,,6006,8/22/2024,4/2/2026,8/2/2027,7/22/2024,7/22/2024,,,,8/3/2024
106,,,,,6066,7/1/2027,10/1/2028,,7/22/2024,7/22/2024,,,,
107,,,,,6066,7/1/2027,10/1/2028,,7/22/2024,7/22/2024,,,,8/17/2024
108,,,,,6094,1/1/2028,4/1/2029,,7/15/2024,7/15/2024,,,,
109,,,,,6035,8/15/2024,1/26/2026,5/26/2027,8/5/2024,8/5/2024,,,,
110,,,,,6020,Complete,9/1/2024,In Progress,6/24/2024,6/24/2024,7/24/2024,,,
111,,,,,6035,8/15/2024,1/26/2026,5/26/2027,7/15/2024,7/15/2024,,,,
112,,,,,6006,8/22/2024,4/2/2026,8/2/2027,7/22/2024,7/22/2024,,,,
113,,,,,6068,4/1/2028,7/1/2029,,Completed,Completed,,,,
114,,,,,6006,8/22/2024,4/2/2026,8/2/2027,7/22/2024,7/22/2024,,,,
115,,,,,6006,8/22/2024,4/2/2026,8/2/2027,7/22/2024,7/22/2024,,,,
116,,,,,6036,Complete,12/5/2024,4/5/2026,9/16/2024,9/16/2024,,,,
117,,,,,6018,3/17/2025,11/13/2026,3/13/2028,,,,,,
118,,,,,6006,8/22/2024,4/2/2026,8/2/2027,7/22/2024,7/22/2024,,,,7/29/2024
119,,,,,6018,3/17/2025,11/13/2026,3/13/2028,Completed,Completed,7/16/2024,,,
120,,,,,6066,7/1/2027,10/1/2028,,7/22/2024,7/22/2024,,,,7/31/2024
121,,,,,6094,1/1/2028,4/1/2029,,7/15/2024,7/15/2024,,,,
122,,,,,6069,4/1/2028,7/1/2029,,Completed,Completed,,,,
123,,,,,6094,1/1/2028,4/1/2029,,7/15/2024,7/15/2024,,,,
124,,,,,6018,3/17/2025,11/13/2026,3/13/2028,Completed,Completed,7/21/2024,8/26/2024,,
125,,,,,6094,1/1/2028,4/1/2029,,Completed,Completed,4/30/2024,,,
126,,,,,6018,3/17/2025,11/13/2026,3/13/2028,Completed,Completed,6/23/2024,8/28/2024,,
127,,,,,6018,3/17/2025,11/13/2026,3/13/2028,Completed,Completed,7/9/2024,,,8/9/2024
128,,,,,6018,3/17/2025,11/13/2026,3/13/2028,Completed,Completed,7/15/2024,,,8/22/2024
129,,,,,6068,4/1/2028,7/1/2029,,Completed,Completed,,,,
130,,,,,6094,1/1/2028,4/1/2029,,7/15/2024,7/15/2024,,,,8/16/2024
131,,,,,6036,Complete,12/5/2024,4/5/2026,9/16/2024,9/16/2024,,,,
132,,,,,6094,1/1/2028,4/1/2029,,7/15/2024,7/15/2024,,,,
133,,,,,6018,3/17/2025,11/13/2026,3/13/2028,9/16/2024,9/16/2024,7/17/2024,,,
134,,,,,6012,12/18/2024,6/18/2026,10/18/2027,Completed,Completed,,,,8/21/2024
135,,,,,6009,10/1/2026,1/1/2028,,8/5/2024,8/5/2024,,,,
136,,,,,6094,1/1/2028,4/1/2029,,7/15/2024,7/15/2024,,,,
137,,,,,6094,1/1/2028,4/1/2029,,7/15/2024,7/15/2024,,,,
138,,,,,6069,4/1/2028,7/1/2029,,Completed,Completed,,,,
139,,,,,6068,4/1/2028,7/1/2029,,Completed,Completed,,,,
140,,,,,6036,Complete,12/5/2024,4/5/2026,6/24/2024,6/24/2024,9/8/2024,,Week 33,6/26/2024
141,,,,,6094,1/1/2028,4/1/2029,,Completed,Completed,7/19/2023,,Week 33,
143,,,,,6066,7/1/2027,10/1/2028,,6/24/2024,6/24/2024,7/14/2024,,,8/13/2024
144,,,,,6094,1/1/2028,4/1/2029,,Completed,Completed,,LIVE,,
145,,,,,6009,10/1/2026,1/1/2028,,8/5/2024,8/5/2024,,,,
146,,,,,6036,Complete,12/5/2024,4/5/2026,9/16/2024,9/16/2024,9/29/2024,,,
147,,,,,6068,4/1/2028,7/1/2029,,Completed,Completed,,,,
148,,,,,6036,Complete,12/5/2024,4/5/2026,9/16/2024,9/16/2024,9/30/2024,,,
149,,,,,6048,11/1/2026,2/1/2028,,6/24/2024,6/24/2024,,,,7/23/2024
150,,,,,6012,12/18/2024,6/18/2026,10/18/2027,7/15/2024,7/15/2024,,,,8/20/2024
151,,,,,6094,1/1/2028,4/1/2029,,7/15/2024,7/15/2024,,,,8/17/2024
152,,,,,6069,4/1/2028,7/1/2029,,8/5/2024,8/5/2024,,,,
153,,,,,6006,8/22/2024,4/2/2026,8/2/2027,7/22/2024,7/22/2024,,,,7/31/2024
154,,,,,6039,Complete,4/18/2025,8/18/2026,6/24/2024,6/24/2024,7/30/2024,,Week 33,
155,,,,,6018,3/17/2025,11/13/2026,3/13/2028,7/22/2024,7/22/2024,,,,
157,,,,,6018,3/17/2025,11/13/2026,3/13/2028,Completed,Completed,7/30/2024,,,
158,,,,,6036,Complete,12/5/2024,4/5/2026,Completed,Completed,,,,
159,,,,,6069,4/1/2028,7/1/2029,,8/5/2024,8/5/2024,,,Week 33,
160,,,,,6018,3/17/2025,11/13/2026,3/13/2028,Completed,Completed,,,,
161,,,,,6066,7/1/2027,10/1/2028,,7/22/2024,7/22/2024,,,,
162,,,,,6068,4/1/2028,7/1/2029,,Completed,Completed,,,,
163,,,,,6036,Complete,12/5/2024,4/5/2026,6/24/2024,6/24/2024,,,Week 33,
164,,,,,6006,8/22/2024,4/2/2026,8/2/2027,7/22/2024,7/22/2024,,,,8/2/2024
165,,,,,6036,Complete,12/5/2024,4/5/2026,6/24/2024,6/24/2024,9/18/2024,,,
166,,,,,6069,4/1/2028,7/1/2029,,8/5/2024,8/5/2024,,,,
167,,,,,6018,3/17/2025,11/13/2026,3/13/2028,Completed,Completed,,,,8/5/2024
168,,,,,6094,1/1/2028,4/1/2029,,7/15/2024,7/15/2024,,,,
169,,,,,6018,3/17/2025,11/13/2026,3/13/2028,Completed,Completed,8/4/2024,,,
170,,,,,6048,11/1/2026,2/1/2028,,6/24/2024,6/24/2024,,,,7/22/2024
171,,,,,6018,3/17/2025,11/13/2026,3/13/2028,Completed,Completed,7/14/2024,,,
172,,,,,6069,4/1/2028,7/1/2029,,8/5/2024,8/5/2024,,,,
173,,,,,6069,4/1/2028,7/1/2029,,8/5/2024,8/5/2024,,,,
174,,,,,7038,1/1/2028,4/1/2029,,Completed,Completed,9/24/2024,,,
175,,,,,6018,3/17/2025,11/13/2026,3/13/2028,7/22/2024,7/22/2024,,,,
176,,,,,6006,8/22/2024,4/2/2026,8/2/2027,,,,,,
177,,,,,6066,7/1/2027,10/1/2028,,7/22/2024,7/22/2024,,,,8/12/2024
178,,,,,6094,1/1/2028,4/1/2029,,7/15/2024,7/15/2024,,,,
179,,,,,6094,1/1/2028,4/1/2029,,Completed,Completed,,,Week 33,
180,,,,,6036,Complete,12/5/2024,4/5/2026,6/24/2024,6/24/2024,9/25/2024,,,
181,,,,,6036,Complete,12/5/2024,4/5/2026,9/16/2024,9/16/2024,9/15/2024,,,
182,,,,,6018,3/17/2025,11/13/2026,3/13/2028,7/22/2024,7/22/2024,,,,7/27/2024
183,,,,,6011,Complete,9/12/2025,1/12/2027,7/22/2024,7/22/2024,,,,
184,,,,,6035,8/15/2024,1/26/2026,5/26/2027,Completed,Completed,,,,
185,,,,,6068,4/1/2028,7/1/2029,,Completed,Completed,9/3/2024,,,
186,,,,,6035,8/15/2024,1/26/2026,5/26/2027,7/15/2024,7/15/2024,,,,
188,,,,,6069,4/1/2028,7/1/2029,,Completed,Completed,,,Week 33,8/19/2024
189,,,,,6009,10/1/2026,1/1/2028,,8/5/2024,8/5/2024,,,,
190,,,,,6018,3/17/2025,11/13/2026,3/13/2028,7/22/2024,7/22/2024,,,Week 33,8/21/2024
192,,,,,6066,7/1/2027,10/1/2028,,6/24/2024,6/24/2024,,,Week 33,
194,,,,,7036,4/1/2028,7/1/2029,,6/24/2024,6/24/2024,9/16/2024,9/11/2024,,
195,,,,,6035,8/15/2024,1/26/2026,5/26/2027,Completed,Completed,,,Week 33,
196,,,,,6066,7/1/2027,10/1/2028,,Completed,Completed,,,,
197,,,,,6009,10/1/2026,1/1/2028,,8/5/2024,8/5/2024,,,,
198,,,,,6069,4/1/2028,7/1/2029,,Completed,Completed,,,,
199,,,,,6092,4/1/2028,7/1/2029,,7/22/2024,7/22/2024,,,,
200,,,,,6009,10/1/2026,1/1/2028,,8/5/2024,8/5/2024,,,,
201,,,,,6069,4/1/2028,7/1/2029,,Completed,Completed,,,,
202,Gen 2,4/7/2024,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,6068,4/1/2028,7/1/2029,,9/16/2024,9/16/2024,3/11/2024,,,
203,,,,,6009,10/1/2026,1/1/2028,,8/5/2024,8/5/2024,,,,
204,,,,,6066,7/1/2027,10/1/2028,,Completed,Completed,9/11/2024,,,
205,,,,,6011,Complete,9/12/2025,1/12/2027,7/22/2024,7/22/2024,,,,
206,,,,,6068,4/1/2028,7/1/2029,,Completed,Completed,3/12/2024,,,
207,,,,,6094,1/1/2028,4/1/2029,,7/15/2024,7/15/2024,,,,
209,,,,,6094,1/1/2028,4/1/2029,,Completed,Completed,5/1/2024,,,8/12/2024
210,,,,,6094,1/1/2028,4/1/2029,,,,,,Week 33,
211,,,,,6036,Complete,12/5/2024,4/5/2026,Completed,Completed,,,,
212,,,,,6068,4/1/2028,7/1/2029,,Completed,Completed,,,,
213,,,,,6069,4/1/2028,7/1/2029,,Completed,Completed,,,,
214,,,,,6036,Complete,12/5/2024,4/5/2026,6/24/2024,6/24/2024,,,,
216,,,,,6066,7/1/2027,10/1/2028,,Completed,Completed,,,,
217,,,,,6068,4/1/2028,7/1/2029,,9/16/2024,9/16/2024,3/4/2024,TBD,,6/14/2024
218,,,,,6006,8/22/2024,4/2/2026,8/2/2027,7/22/2024,7/22/2024,,,,
219,,,,,6069,4/1/2028,7/1/2029,,8/5/2024,8/5/2024,1/12/2025,,,
220,Gen 2,6/4/2023,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,6068,4/1/2028,7/1/2029,,Completed,Completed,3/4/2024,,,
221,,,,,6094,1/1/2028,4/1/2029,,Completed,Completed,,,,
222,,,,,6069,4/1/2028,7/1/2029,,Completed,Completed,,,,
224,,,,,6069,4/1/2028,7/1/2029,,Completed,Completed,,,,
225,,,,,6068,4/1/2028,7/1/2029,,Completed,Completed,,,,
226,,,,,6036,Complete,12/5/2024,4/5/2026,9/16/2024,9/16/2024,,,,
227,,,,,6094,1/1/2028,4/1/2029,,Completed,Completed,,,,
228,Gen 2,4/30/2023,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,6036,Complete,12/5/2024,4/5/2026,Completed,Completed,3/10/2024,,,
229,,,,,6018,3/17/2025,11/13/2026,3/13/2028,7/22/2024,7/22/2024,7/28/2024,,,8/23/2024
230,,,,,6094,1/1/2028,4/1/2029,,Completed,Completed,5/7/2024,,,
231,,,,,6068,4/1/2028,7/1/2029,,Completed,Completed,,,,
232,,,,,6068,4/1/2028,7/1/2029,,Completed,Completed,,,,
233,,,,,6066,7/1/2027,10/1/2028,,Completed,Completed,,,,
234,,,,,6035,8/15/2024,1/26/2026,5/26/2027,Completed,Completed,,TBD,,
236,,,,,6036,Complete,12/5/2024,4/5/2026,6/24/2024,6/24/2024,9/9/2024,,,6/25/2024
237,,,,,6066,7/1/2027,10/1/2028,,Completed,Completed,,,,
238,,,,,6006,8/22/2024,4/2/2026,8/2/2027,6/24/2024,6/24/2024,,,,
239,,,,,6011,Complete,9/12/2025,1/12/2027,7/22/2024,7/22/2024,,,,
240,,,,,6036,Complete,12/5/2024,4/5/2026,9/16/2024,9/16/2024,9/23/2024,,,
242,,,,,6035,8/15/2024,1/26/2026,5/26/2027,Completed,Completed,,,,
243,,,,,6069,4/1/2028,7/1/2029,,8/5/2024,8/5/2024,,,,
244,,,,,6048,11/1/2026,2/1/2028,,6/24/2024,6/24/2024,,,,
246,,,,,6094,1/1/2028,4/1/2029,,7/15/2024,7/15/2024,,,,
247,,,,,6094,1/1/2028,4/1/2029,,,,,,,8/12/2024
248,,,,,6036,Complete,12/5/2024,4/5/2026,Completed,Completed,,,,
249,,,,,7036,4/1/2028,7/1/2029,,6/24/2024,6/24/2024,9/8/2024,,,
250,,,,,6069,4/1/2028,7/1/2029,,Completed,Completed,,,,
251,,,,,6036,Complete,12/5/2024,4/5/2026,9/16/2024,9/16/2024,9/8/2024,,,
252,,,,,6069,4/1/2028,7/1/2029,,Completed,Completed,,,,
253,,,,,6069,4/1/2028,7/1/2029,,8/5/2024,8/5/2024,,,,
254,,,,,6066,7/1/2027,10/1/2028,,Completed,Completed,,,,
256,,,,,6069,4/1/2028,7/1/2029,,Completed,Completed,,,,
257,,,,,6066,7/1/2027,10/1/2028,,Completed,Completed,,,,8/17/2024
258,,,,,6006,8/22/2024,4/2/2026,8/2/2027,7/22/2024,7/22/2024,,,,
259,,,,,6036,Complete,12/5/2024,4/5/2026,9/16/2024,9/16/2024,3/3/2024,,,
260,,,,,6036,Complete,12/5/2024,4/5/2026,9/16/2024,9/16/2024,3/11/2024,,,
261,,,,,6018,3/17/2025,11/13/2026,3/13/2028,Completed,Completed,7/28/2024,,,8/10/2024
262,,,,,6066,7/1/2027,10/1/2028,,Completed,Completed,,,,
264,,,,,6066,7/1/2027,10/1/2028,,6/24/2024,6/24/2024,9/11/2024,,,
265,Gen 2,4/30/2023,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,6036,Complete,12/5/2024,4/5/2026,9/16/2024,9/16/2024,6/9/2024,,,
266,Gen 2,4/30/2023,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,6036,Complete,12/5/2024,4/5/2026,9/16/2024,9/16/2024,6/3/2024,LIVE,,
267,,,,,6094,1/1/2028,4/1/2029,,7/15/2024,7/15/2024,,,,
268,,,,,6006,8/22/2024,4/2/2026,8/2/2027,7/22/2024,7/22/2024,,,,
269,,,,,6068,4/1/2028,7/1/2029,,Completed,Completed,,,,8/16/2024
271,,,,,6068,4/1/2028,7/1/2029,,Completed,Completed,,,,
272,Gen 2,5/30/2023,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-2.html,6066,7/1/2027,10/1/2028,,6/24/2024,6/24/2024,6/24/2024,LIVE,,
273,,,,,6006,8/22/2024,4/2/2026,8/2/2027,7/22/2024,7/22/2024,,,,7/30/2024
274,,,,,6006,8/22/2024,4/2/2026,8/2/2027,,,,,,
275,,,,,6036,Complete,12/5/2024,4/5/2026,6/24/2024,6/24/2024,9/10/2024,,,6/27/2024
276,,,,,6094,1/1/2028,4/1/2029,,Completed,Completed,,,,8/15/2024
277,,,,,6068,4/1/2028,7/1/2029,,Completed,Completed,,,,
278,,,,,6036,Complete,12/5/2024,4/5/2026,9/16/2024,9/16/2024,,,,
279,,,,,6018,3/17/2025,11/13/2026,3/13/2028,Completed,Completed,5/13/2024,,,
280,,,,,7036,4/1/2028,7/1/2029,,Completed,Completed,9/16/2024,,,
281,,,,,6018,3/17/2025,11/13/2026,3/13/2028,Completed,Completed,7/22/2024,,,
282,,,,,6066,7/1/2027,10/1/2028,,6/24/2024,6/24/2024,,,,
283,,,,,6048,11/1/2026,2/1/2028,,,,,,,
284,,,,,6036,Complete,12/5/2024,4/5/2026,9/16/2024,9/16/2024,2/27/2024,,,
285,,,,,6036,Complete,12/5/2024,4/5/2026,6/24/2024,6/24/2024,9/8/2024,,,
286,,,,,6036,Complete,12/5/2024,4/5/2026,9/16/2024,9/16/2024,3/12/2024,,,
287,,,,,6006,8/22/2024,4/2/2026,8/2/2027,7/22/2024,7/22/2024,,,,
288,,,,,6036,Complete,12/5/2024,4/5/2026,6/24/2024,6/24/2024,9/11/2024,,,
289,,,,,6018,3/17/2025,11/13/2026,3/13/2028,Completed,Completed,7/7/2024,,,
290,,,,,6016,Complete,11/12/2024,3/12/2026,Completed,Completed,9/22/2024,,,
292,,,,,6016,Complete,11/12/2024,3/12/2026,Completed,Completed,,9/10/2024,,
293,,,,,7036,4/1/2028,7/1/2029,,,,,,,
294,,,,,6066,7/1/2027,10/1/2028,,Completed,Completed,9/18/2024,,,
295,,,,,6069,4/1/2028,7/1/2029,,8/5/2024,8/5/2024,,,,
296,,,,,6018,3/17/2025,11/13/2026,3/13/2028,Completed,Completed,7/29/2024,,,
297,,,,,7036,4/1/2028,7/1/2029,,6/24/2024,6/24/2024,9/9/2024,,,
298,,,,,6006,8/22/2024,4/2/2026,8/2/2027,6/24/2024,6/24/2024,,,,
299,,,,,6066,7/1/2027,10/1/2028,,6/24/2024,6/24/2024,7/31/2024,,,
300,,,,,6006,8/22/2024,4/2/2026,8/2/2027,8/5/2024,8/5/2024,,,,
301,,,,,6006,8/22/2024,4/2/2026,8/2/2027,8/5/2024,8/5/2024,,,,
302,,,,,6066,7/1/2027,10/1/2028,,Completed,Completed,,,,
303,,,,,6018,3/17/2025,11/13/2026,3/13/2028,7/22/2024,7/22/2024,,,,
304,,,,,6066,7/1/2027,10/1/2028,,6/24/2024,6/24/2024,,,,
305,,,,,6011,Complete,9/12/2025,1/12/2027,7/22/2024,7/22/2024,,,,
306,,,,,6006,8/22/2024,4/2/2026,8/2/2027,6/24/2024,6/24/2024,,,,
307,,,,,6048,11/1/2026,2/1/2028,,Completed,Completed,,,Week 33,7/24/2024
308,,,,,6006,8/22/2024,4/2/2026,8/2/2027,6/24/2024,6/24/2024,,,,8/10/2024
309,,,,,6048,11/1/2026,2/1/2028,,7/22/2024,7/22/2024,,,,
310,,,,,6048,11/1/2026,2/1/2028,,6/24/2024,6/24/2024,,,,
