BU,Region,Market,Stores,Wk7,Wk8,Wk9,Wk10,Wk11,Wk12,Wk13,Wk14,,,
F,75,287,1730,"$15,377.73","$15,377.73","$15,377.73","$13,043.84","$13,043.84","$13,043.84","$13,043.84","$12,894.59",,,
F,17,192,1731,"$15,271.79","$15,271.79","$15,271.79","$12,917.12","$12,917.12","$12,917.12","$12,917.12","$11,027.60",,,
M,52,414,1732,"$11,010.44","$11,010.44","$11,010.44","$9,512.33","$9,512.33","$9,512.33","$9,512.33","$8,769.25",,,
E,19,203,1733,"$20,794.25","$20,794.25","$20,794.25","$16,353.17","$16,353.17","$16,353.17","$16,353.17","$14,032.36",,,
E,21,246,1734,"$19,816.32","$19,816.32","$19,816.32","$16,316.32","$16,316.32","$16,316.32","$16,316.32","$13,908.48",,,
E,25,269,1735,"$20,636.24","$20,636.24","$20,636.24","$16,524.37","$16,524.37","$16,524.37","$16,524.37","$16,866.74",,,
F,75,284,1736,"$26,593.94","$26,593.94","$26,593.94","$20,681.43","$20,681.43","$20,681.43","$20,681.43","$18,464.35",,,
E,25,268,1737,"$16,380.39","$16,380.39","$16,380.39","$14,341.23","$14,341.23","$14,341.23","$14,341.23","$12,953.96",,,
M,52,421,1738,"$16,945.98","$16,945.98","$16,945.98","$14,355.21","$14,355.21","$14,355.21","$14,355.21","$12,499.58",,,
E,20,227,1739,"$34,938.90","$34,938.90","$34,938.90","$29,124.61","$29,124.61","$29,124.61","$29,124.61","$25,910.83",,,
E,53,263,1740,"$21,853.41","$21,853.41","$21,853.41","$17,929.57","$17,929.57","$17,929.57","$17,929.57","$15,659.63",,,
F,75,284,1741,"$26,752.17","$26,752.17","$26,752.17","$21,832.48","$21,832.48","$21,832.48","$21,832.48","$18,863.30",,,
F,22,165,1742,"$25,927.66","$25,927.66","$25,927.66","$21,149.50","$21,149.50","$21,149.50","$21,149.50","$18,543.61",,,
E,41,258,1743,"$15,461.57","$15,461.57","$15,461.57","$12,768.89","$12,768.89","$12,768.89","$12,768.89","$11,816.82",,,
F,17,192,1744,"$25,237.73","$25,237.73","$25,237.73","$19,920.62","$19,920.62","$19,920.62","$19,920.62","$17,751.54",,,
E,21,239,1745,"$24,501.68","$24,501.68","$24,501.68","$20,156.64","$20,156.64","$20,156.64","$20,156.64","$18,520.44",,,
B,46,371,1746,"$26,576.58","$26,576.58","$26,576.58","$22,723.19","$22,723.19","$22,723.19","$22,723.19","$19,013.62",,,
M,57,461,1747,"$30,100.72","$30,100.72","$30,100.72","$24,375.00","$24,375.00","$24,375.00","$24,375.00","$21,413.18",,,
F,4,36,1748,"$21,435.16","$21,435.16","$21,435.16","$19,121.89","$19,121.89","$19,121.89","$19,121.89","$15,345.35",,,
F,16,183,1749,"$23,221.27","$23,221.27","$23,221.27","$18,972.07","$18,972.07","$18,972.07","$18,972.07","$17,044.17",,,
E,21,222,1750,"$21,600.59","$21,600.59","$21,600.59","$18,234.71","$18,234.71","$18,234.71","$18,234.71","$15,330.67",,,
F,26,297,1751,"$11,342.63","$11,342.63","$11,342.63","$9,120.17","$9,120.17","$9,120.17","$9,120.17","$7,831.39",,,
E,19,204,1752,"$24,666.69","$24,666.69","$24,666.69","$17,894.48","$17,894.48","$17,894.48","$17,894.48","$16,476.13",,,
F,16,184,1753,"$18,422.70","$18,422.70","$18,422.70","$16,361.25","$16,361.25","$16,361.25","$16,361.25","$13,876.88",,,
E,19,203,1754,"$20,744.79","$20,744.79","$20,744.79","$15,993.96","$15,993.96","$15,993.96","$15,993.96","$13,449.52",,,
M,56,453,1755,"$18,169.17","$18,169.17","$18,169.17","$15,499.26","$15,499.26","$15,499.26","$15,499.26","$12,754.68",,,
M,57,462,1756,"$20,822.98","$20,822.98","$20,822.98","$17,592.47","$17,592.47","$17,592.47","$17,592.47","$14,304.74",,,
M,52,419,1757,"$22,668.59","$22,668.59","$22,668.59","$18,237.89","$18,237.89","$18,237.89","$18,237.89","$16,398.86",,,
E,21,239,1758,"$20,424.42","$20,424.42","$20,424.42","$17,003.47","$17,003.47","$17,003.47","$17,003.47","$16,092.96",,,
F,75,288,1759,"$27,531.22","$27,531.22","$27,531.22","$23,082.67","$23,082.67","$23,082.67","$23,082.67","$19,296.32",,,
M,56,455,1760,"$15,268.86","$15,268.86","$15,268.86","$14,284.61","$14,284.61","$14,284.61","$14,284.61","$12,112.01",,,
E,25,341,1761,"$16,627.48","$16,627.48","$16,627.48","$14,350.78","$14,350.78","$14,350.78","$14,350.78","$12,699.86",,,
F,16,157,1762,"$26,080.04","$26,080.04","$26,080.04","$21,183.25","$21,183.25","$21,183.25","$21,183.25","$17,997.16",,,
E,20,311,1763,"$27,975.17","$27,975.17","$27,975.17","$23,308.78","$23,308.78","$23,308.78","$23,308.78","$20,452.36",,,
M,52,413,1764,"$26,332.71","$26,332.71","$26,332.71","$21,031.09","$21,031.09","$21,031.09","$21,031.09","$20,230.58",,,
F,22,237,1765,"$20,871.34","$20,871.34","$20,871.34","$17,950.83","$17,950.83","$17,950.83","$17,950.83","$15,247.09",,,
A,2,23,1766,"$11,807.44","$11,807.44","$11,807.44","$10,230.73","$10,230.73","$10,230.73","$10,230.73","$9,295.23",,,
F,26,300,1767,"$27,279.01","$27,279.01","$27,279.01","$21,767.92","$21,767.92","$21,767.92","$21,767.92","$18,974.64",,,
M,54,582,1768,"$32,820.30","$32,820.30","$32,820.30","$26,203.71","$26,203.71","$26,203.71","$26,203.71","$24,509.93",,,
F,22,231,1769,"$26,297.11","$26,297.11","$26,297.11","$20,815.83","$20,815.83","$20,815.83","$20,815.83","$18,213.43",,,
E,20,229,1770,"$30,089.54","$30,089.54","$30,089.54","$24,365.66","$24,365.66","$24,365.66","$24,365.66","$22,840.28",,,
E,19,202,1771,"$21,411.25","$21,411.25","$21,411.25","$17,556.71","$17,556.71","$17,556.71","$17,556.71","$14,364.61",,,
M,56,468,1772,"$30,413.61","$30,413.61","$30,413.61","$24,078.98","$24,078.98","$24,078.98","$24,078.98","$21,031.40",,,
F,75,288,1773,"$24,065.49","$24,065.49","$24,065.49","$20,429.92","$20,429.92","$20,429.92","$20,429.92","$18,933.64",,,
F,26,310,1774,"$27,335.67","$27,335.67","$27,335.67","$23,481.17","$23,481.17","$23,481.17","$23,481.17","$19,901.81",,,
M,60,478,1775,"$20,948.51","$20,948.51","$20,948.51","$18,300.94","$18,300.94","$18,300.94","$18,300.94","$16,983.84",,,
E,53,442,1776,"$17,945.05","$17,945.05","$17,945.05","$16,585.37","$16,585.37","$16,585.37","$16,585.37","$15,233.10",,,
F,22,168,1777,"$19,109.76","$19,109.76","$19,109.76","$14,926.63","$14,926.63","$14,926.63","$14,926.63","$13,432.92",,,
M,47,382,1778,"$22,606.85","$22,606.85","$22,606.85","$18,743.27","$18,743.27","$18,743.27","$18,743.27","$16,413.20",,,
E,25,265,1779,"$16,177.63","$16,177.63","$16,177.63","$13,941.74","$13,941.74","$13,941.74","$13,941.74","$12,981.39",,,
F,75,315,1780,"$19,071.78","$19,071.78","$19,071.78","$14,828.03","$14,828.03","$14,828.03","$14,828.03","$12,923.09",,,
F,17,190,1781,"$24,584.72","$24,584.72","$24,584.72","$20,770.28","$20,770.28","$20,770.28","$20,770.28","$18,624.08",,,
E,20,216,1782,"$26,730.20","$26,730.20","$26,730.20","$21,923.87","$21,923.87","$21,923.87","$21,923.87","$18,233.98",,,
E,25,580,1783,"$23,620.69","$23,620.69","$23,620.69","$18,880.83","$18,880.83","$18,880.83","$18,880.83","$19,291.51",,,
M,60,477,1784,"$30,391.71","$30,391.71","$30,391.71","$25,670.52","$25,670.52","$25,670.52","$25,670.52","$22,940.87",,,
F,16,184,1785,"$18,009.33","$18,009.33","$18,009.33","$14,394.36","$14,394.36","$14,394.36","$14,394.36","$12,173.78",,,
M,52,423,1786,"$10,293.55","$10,293.55","$10,293.55","$8,853.49","$8,853.49","$8,853.49","$8,853.49","$7,814.11",,,
M,52,414,1787,"$14,244.21","$14,244.21","$14,244.21","$12,484.50","$12,484.50","$12,484.50","$12,484.50","$12,027.13",,,
F,16,183,1788,"$24,980.58","$24,980.58","$24,980.58","$21,403.20","$21,403.20","$21,403.20","$21,403.20","$18,236.39",,,
M,56,452,1789,"$32,243.00","$32,243.00","$32,243.00","$24,323.06","$24,323.06","$24,323.06","$24,323.06","$21,764.47",,,
E,19,197,1790,"$22,167.61","$22,167.61","$22,167.61","$19,198.17","$19,198.17","$19,198.17","$19,198.17","$15,835.97",,,
E,19,200,1791,"$19,072.94","$19,072.94","$19,072.94","$15,059.45","$15,059.45","$15,059.45","$15,059.45","$14,130.07",,,
F,22,231,1792,"$21,208.79","$21,208.79","$21,208.79","$16,767.78","$16,767.78","$16,767.78","$16,767.78","$15,657.11",,,
M,60,477,1793,"$22,490.28","$22,490.28","$22,490.28","$18,157.93","$18,157.93","$18,157.93","$18,157.93","$16,966.89",,,
F,22,232,1794,"$30,260.15","$30,260.15","$30,260.15","$22,362.52","$22,362.52","$22,362.52","$22,362.52","$18,863.98",,,
A,2,294,1795,"$9,937.71","$9,937.71","$9,937.71","$7,822.96","$7,822.96","$7,822.96","$7,822.96","$6,663.12",,,
F,16,184,1796,"$25,706.00","$25,706.00","$25,706.00","$19,398.63","$19,398.63","$19,398.63","$19,398.63","$17,496.64",,,
F,16,179,1797,"$20,999.10","$20,999.10","$20,999.10","$16,576.81","$16,576.81","$16,576.81","$16,576.81","$14,782.47",,,
E,19,205,1798,"$19,189.47","$19,189.47","$19,189.47","$16,445.56","$16,445.56","$16,445.56","$16,445.56","$14,354.28",,,
E,53,441,1799,"$21,393.54","$21,393.54","$21,393.54","$17,865.92","$17,865.92","$17,865.92","$17,865.92","$14,938.60",,,
B,5,583,1800,"$23,277.02","$23,277.02","$23,277.02","$20,410.41","$20,410.41","$20,410.41","$20,410.41","$17,039.11",,,
B,5,44,1801,"$30,843.70","$30,843.70","$30,843.70","$26,200.44","$26,200.44","$26,200.44","$26,200.44","$21,709.81",,,
M,47,411,1802,"$22,949.02","$22,949.02","$22,949.02","$18,751.85","$18,751.85","$18,751.85","$18,751.85","$16,572.98",,,
B,6,87,1803,"$13,968.37","$13,968.37","$13,968.37","$12,195.49","$12,195.49","$12,195.49","$12,195.49","$10,852.87",,,
E,21,248,1804,"$20,450.88","$20,450.88","$20,450.88","$16,580.61","$16,580.61","$16,580.61","$16,580.61","$15,020.82",,,
M,57,463,1805,"$26,671.54","$26,671.54","$26,671.54","$24,279.14","$24,279.14","$24,279.14","$24,279.14","$18,325.41",,,
F,17,189,1806,"$22,937.77","$22,937.77","$22,937.77","$21,591.66","$21,591.66","$21,591.66","$21,591.66","$20,377.40",,,
F,22,165,1807,"$23,364.84","$23,364.84","$23,364.84","$18,561.15","$18,561.15","$18,561.15","$18,561.15","$15,703.75",,,
M,54,388,1808,"$9,897.40","$9,897.40","$9,897.40","$7,774.32","$7,774.32","$7,774.32","$7,774.32","$6,608.95",,,
E,19,202,1809,"$21,074.42","$21,074.42","$21,074.42","$18,397.58","$18,397.58","$18,397.58","$18,397.58","$15,836.22",,,
F,17,164,1810,"$32,153.56","$32,153.56","$32,153.56","$28,865.82","$28,865.82","$28,865.82","$28,865.82","$25,616.85",,,
F,75,288,1811,"$21,251.03","$21,251.03","$21,251.03","$19,234.62","$19,234.62","$19,234.62","$19,234.62","$15,698.19",,,
E,20,215,1812,"$28,276.18","$28,276.18","$28,276.18","$23,491.70","$23,491.70","$23,491.70","$23,491.70","$21,273.81",,,
F,17,192,1813,"$15,467.71","$15,467.71","$15,467.71","$13,700.34","$13,700.34","$13,700.34","$13,700.34","$12,708.48",,,
E,25,264,1814,"$20,119.44","$20,119.44","$20,119.44","$16,140.44","$16,140.44","$16,140.44","$16,140.44","$14,799.86",,,
M,57,449,1815,"$30,603.62","$30,603.62","$30,603.62","$26,454.86","$26,454.86","$26,454.86","$26,454.86","$22,997.85",,,
F,26,297,1816,"$11,575.58","$11,575.58","$11,575.58","$9,185.12","$9,185.12","$9,185.12","$9,185.12","$8,392.52",,,
M,60,475,1817,"$28,844.23","$28,844.23","$28,844.23","$24,038.22","$24,038.22","$24,038.22","$24,038.22","$20,473.44",,,
E,53,436,1819,"$23,743.02","$23,743.02","$23,743.02","$20,022.93","$20,022.93","$20,022.93","$20,022.93","$17,124.13",,,
E,20,229,1820,"$24,796.26","$24,796.26","$24,796.26","$20,396.27","$20,396.27","$20,396.27","$20,396.27","$19,261.32",,,
F,4,306,1821,"$12,726.36","$12,726.36","$12,726.36","$10,815.96","$10,815.96","$10,815.96","$10,815.96","$9,776.34",,,
F,22,234,1823,"$23,884.95","$23,884.95","$23,884.95","$22,015.35","$22,015.35","$22,015.35","$22,015.35","$18,671.41",,,
F,75,286,1825,"$24,333.84","$24,333.84","$24,333.84","$21,745.78","$21,745.78","$21,745.78","$21,745.78","$17,918.76",,,
M,57,581,1826,"$30,703.71","$30,703.71","$30,703.71","$24,972.49","$24,972.49","$24,972.49","$24,972.49","$22,767.51",,,
M,54,582,1827,"$12,209.02","$12,209.02","$12,209.02","$10,260.75","$10,260.75","$10,260.75","$10,260.75","$8,582.35",,,
E,53,439,1828,"$27,964.08","$27,964.08","$27,964.08","$22,282.73","$22,282.73","$22,282.73","$22,282.73","$20,245.94",,,
F,4,37,1829,"$17,979.07","$17,979.07","$17,979.07","$14,628.92","$14,628.92","$14,628.92","$14,628.92","$12,328.50",,,
F,17,191,1830,"$20,517.63","$20,517.63","$20,517.63","$17,644.15","$17,644.15","$17,644.15","$17,644.15","$15,927.05",,,
F,17,191,1831,"$19,746.12","$19,746.12","$19,746.12","$15,788.58","$15,788.58","$15,788.58","$15,788.58","$14,747.49",,,
M,57,463,1832,"$33,580.24","$33,580.24","$33,580.24","$29,274.97","$29,274.97","$29,274.97","$29,274.97","$24,222.50",,,
F,75,291,1833,"$30,295.85","$30,295.85","$30,295.85","$26,168.53","$26,168.53","$26,168.53","$26,168.53","$21,672.54",,,
M,56,468,1834,"$30,973.95","$30,973.95","$30,973.95","$26,074.46","$26,074.46","$26,074.46","$26,074.46","$21,895.86",,,
F,17,190,1835,"$29,273.22","$29,273.22","$29,273.22","$26,398.49","$26,398.49","$26,398.49","$26,398.49","$21,938.28",,,
E,19,202,1836,"$26,363.57","$26,363.57","$26,363.57","$22,802.18","$22,802.18","$22,802.18","$22,802.18","$18,162.11",,,
B,6,59,1837,"$23,837.88","$23,837.88","$23,837.88","$20,209.95","$20,209.95","$20,209.95","$20,209.95","$17,445.84",,,
M,57,394,1838,"$18,094.98","$18,094.98","$18,094.98","$14,547.96","$14,547.96","$14,547.96","$14,547.96","$12,920.49",,,
E,20,214,1839,"$20,954.73","$20,954.73","$20,954.73","$17,454.80","$17,454.80","$17,454.80","$17,454.80","$16,285.05",,,
M,56,511,1840,"$19,809.71","$19,809.71","$19,809.71","$17,157.90","$17,157.90","$17,157.90","$17,157.90","$15,391.48",,,
F,26,298,1842,"$22,295.90","$22,295.90","$22,295.90","$18,332.61","$18,332.61","$18,332.61","$18,332.61","$15,922.08",,,
M,60,477,1843,"$15,923.22","$15,923.22","$15,923.22","$13,666.47","$13,666.47","$13,666.47","$13,666.47","$11,780.75",,,
F,22,178,1844,"$17,838.08","$17,838.08","$17,838.08","$15,260.39","$15,260.39","$15,260.39","$15,260.39","$13,822.43",,,
A,9,109,1845,"$17,914.37","$17,914.37","$17,914.37","$16,835.84","$16,835.84","$16,835.84","$16,835.84","$14,306.45",,,
B,46,366,1846,"$23,636.63","$23,636.63","$23,636.63","$19,801.93","$19,801.93","$19,801.93","$19,801.93","$16,946.13",,,
A,3,93,1847,"$33,416.31","$33,416.31","$33,416.31","$28,982.87","$28,982.87","$28,982.87","$28,982.87","$25,129.85",,,
E,25,264,1848,"$19,717.98","$19,717.98","$19,717.98","$15,872.60","$15,872.60","$15,872.60","$15,872.60","$13,731.48",,,
F,26,308,1849,"$19,640.51","$19,640.51","$19,640.51","$16,274.61","$16,274.61","$16,274.61","$16,274.61","$14,095.60",,,
F,22,234,1850,"$30,380.69","$30,380.69","$30,380.69","$22,331.01","$22,331.01","$22,331.01","$22,331.01","$19,494.03",,,
A,9,109,1851,"$25,226.62","$25,226.62","$25,226.62","$21,814.16","$21,814.16","$21,814.16","$21,814.16","$18,467.94",,,
F,75,291,1852,"$25,839.17","$25,839.17","$25,839.17","$23,624.55","$23,624.55","$23,624.55","$23,624.55","$19,926.74",,,
M,57,461,1853,"$30,837.04","$30,837.04","$30,837.04","$25,315.03","$25,315.03","$25,315.03","$25,315.03","$22,400.71",,,
M,52,423,1855,"$13,651.38","$13,651.38","$13,651.38","$11,304.14","$11,304.14","$11,304.14","$11,304.14","$10,142.08",,,
F,16,179,1856,"$28,241.26","$28,241.26","$28,241.26","$22,892.16","$22,892.16","$22,892.16","$22,892.16","$21,266.49",,,
E,20,209,1857,"$15,692.13","$15,692.13","$15,692.13","$11,841.87","$11,841.87","$11,841.87","$11,841.87","$9,997.17",,,
M,52,421,1858,"$11,844.63","$11,844.63","$11,844.63","$10,512.71","$10,512.71","$10,512.71","$10,512.71","$8,736.61",,,
M,57,463,1859,"$36,979.34","$36,979.34","$36,979.34","$32,086.61","$32,086.61","$32,086.61","$32,086.61","$28,299.50",,,
F,75,284,1860,"$25,786.89","$25,786.89","$25,786.89","$20,813.06","$20,813.06","$20,813.06","$20,813.06","$18,364.06",,,
M,52,422,1861,"$19,690.26","$19,690.26","$19,690.26","$15,461.17","$15,461.17","$15,461.17","$15,461.17","$13,192.54",,,
M,57,462,1862,"$34,707.44","$34,707.44","$34,707.44","$30,989.63","$30,989.63","$30,989.63","$30,989.63","$26,569.52",,,
E,20,209,1863,"$24,002.05","$24,002.05","$24,002.05","$21,061.64","$21,061.64","$21,061.64","$21,061.64","$17,491.67",,,
M,52,422,1864,"$15,973.23","$15,973.23","$15,973.23","$13,720.89","$13,720.89","$13,720.89","$13,720.89","$12,462.62",,,
M,52,421,1865,"$8,414.25","$8,414.25","$8,414.25","$7,185.76","$7,185.76","$7,185.76","$7,185.76","$6,356.48",,,
F,16,180,1866,"$17,726.55","$17,726.55","$17,726.55","$14,810.34","$14,810.34","$14,810.34","$14,810.34","$13,432.26",,,
F,75,293,1867,"$15,144.08","$15,144.08","$15,144.08","$12,343.08","$12,343.08","$12,343.08","$12,343.08","$10,823.85",,,
F,16,180,1868,"$34,461.94","$34,461.94","$34,461.94","$29,046.85","$29,046.85","$29,046.85","$29,046.85","$26,205.62",,,
F,22,165,1869,"$16,639.23","$16,639.23","$16,639.23","$12,998.86","$12,998.86","$12,998.86","$12,998.86","$11,496.47",,,
M,60,475,1870,"$20,425.75","$20,425.75","$20,425.75","$15,975.67","$15,975.67","$15,975.67","$15,975.67","$12,986.35",,,
F,17,187,1871,"$30,502.90","$30,502.90","$30,502.90","$24,096.54","$24,096.54","$24,096.54","$24,096.54","$21,576.78",,,
M,47,383,1872,"$25,625.57","$25,625.57","$25,625.57","$21,015.06","$21,015.06","$21,015.06","$21,015.06","$18,403.82",,,
F,16,161,1873,"$23,619.37","$23,619.37","$23,619.37","$20,371.97","$20,371.97","$20,371.97","$20,371.97","$17,545.87",,,
A,9,118,1874,"$24,633.05","$24,633.05","$24,633.05","$22,235.38","$22,235.38","$22,235.38","$22,235.38","$18,156.33",,,
F,75,282,1875,"$32,596.87","$32,596.87","$32,596.87","$29,234.62","$29,234.62","$29,234.62","$29,234.62","$24,886.36",,,
M,60,476,1876,"$15,079.72","$15,079.72","$15,079.72","$11,198.99","$11,198.99","$11,198.99","$11,198.99","$9,825.42",,,
M,57,581,1877,"$24,601.20","$24,601.20","$24,601.20","$19,495.42","$19,495.42","$19,495.42","$19,495.42","$17,329.36",,,
M,56,400,1878,"$31,611.37","$31,611.37","$31,611.37","$27,598.80","$27,598.80","$27,598.80","$27,598.80","$23,970.59",,,
M,57,445,1879,"$22,001.50","$22,001.50","$22,001.50","$17,939.37","$17,939.37","$17,939.37","$17,939.37","$15,348.67",,,
M,56,468,1880,"$26,783.48","$26,783.48","$26,783.48","$22,105.77","$22,105.77","$22,105.77","$22,105.77","$19,466.30",,,
M,56,454,1881,"$15,848.85","$15,848.85","$15,848.85","$13,533.42","$13,533.42","$13,533.42","$13,533.42","$11,992.65",,,
M,57,581,1882,"$20,562.50","$20,562.50","$20,562.50","$16,900.53","$16,900.53","$16,900.53","$16,900.53","$15,045.71",,,
E,20,229,1883,"$23,174.86","$23,174.86","$23,174.86","$19,165.37","$19,165.37","$19,165.37","$19,165.37","$16,788.62",,,
F,17,226,1884,"$29,948.12","$29,948.12","$29,948.12","$23,801.50","$23,801.50","$23,801.50","$23,801.50","$21,226.42",,,
E,20,229,1885,"$28,829.64","$28,829.64","$28,829.64","$23,875.38","$23,875.38","$23,875.38","$23,875.38","$21,034.11",,,
F,22,234,1886,"$23,102.79","$23,102.79","$23,102.79","$21,015.32","$21,015.32","$21,015.32","$21,015.32","$17,710.03",,,
F,22,232,1887,"$16,721.81","$16,721.81","$16,721.81","$14,911.55","$14,911.55","$14,911.55","$14,911.55","$12,981.42",,,
M,54,401,1888,"$31,737.65","$31,737.65","$31,737.65","$24,299.14","$24,299.14","$24,299.14","$24,299.14","$19,681.09",,,
M,60,475,1889,"$25,306.92","$25,306.92","$25,306.92","$21,767.56","$21,767.56","$21,767.56","$21,767.56","$16,638.10",,,
F,75,285,1890,"$27,547.48","$27,547.48","$27,547.48","$24,346.15","$24,346.15","$24,346.15","$24,346.15","$23,101.32",,,
F,17,162,1891,"$23,219.25","$23,219.25","$23,219.25","$19,026.71","$19,026.71","$19,026.71","$19,026.71","$17,824.08",,,
E,25,268,1892,"$30,989.06","$30,989.06","$30,989.06","$25,316.25","$25,316.25","$25,316.25","$25,316.25","$22,406.94",,,
F,75,508,1893,"$20,733.58","$20,733.58","$20,733.58","$16,583.96","$16,583.96","$16,583.96","$16,583.96","$14,578.97",,,
E,20,215,1894,"$22,882.55","$22,882.55","$22,882.55","$20,493.36","$20,493.36","$20,493.36","$20,493.36","$16,584.08",,,
E,20,215,1895,"$12,362.86","$12,362.86","$12,362.86","$10,276.37","$10,276.37","$10,276.37","$10,276.37","$9,349.65",,,
M,54,391,1896,"$24,592.17","$24,592.17","$24,592.17","$20,598.29","$20,598.29","$20,598.29","$20,598.29","$18,296.29",,,
E,25,268,1897,"$16,956.32","$16,956.32","$16,956.32","$14,503.13","$14,503.13","$14,503.13","$14,503.13","$13,506.72",,,
E,25,264,1898,"$16,786.08","$16,786.08","$16,786.08","$12,731.06","$12,731.06","$12,731.06","$12,731.06","$12,114.62",,,
M,57,461,1899,"$29,664.08","$29,664.08","$29,664.08","$23,694.03","$23,694.03","$23,694.03","$23,694.03","$20,246.55",,,
M,56,400,1900,"$24,770.95","$24,770.95","$24,770.95","$18,070.29","$18,070.29","$18,070.29","$18,070.29","$15,432.83",,,
M,47,383,1901,"$31,833.94","$31,833.94","$31,833.94","$25,763.25","$25,763.25","$25,763.25","$25,763.25","$22,843.98",,,
M,56,400,1902,"$32,336.18","$32,336.18","$32,336.18","$27,466.26","$27,466.26","$27,466.26","$27,466.26","$23,650.75",,,
M,56,455,1903,"$27,061.20","$27,061.20","$27,061.20","$23,867.23","$23,867.23","$23,867.23","$23,867.23","$19,754.71",,,
F,75,292,1904,"$23,960.38","$23,960.38","$23,960.38","$21,112.65","$21,112.65","$21,112.65","$21,112.65","$17,101.26",,,
M,56,400,1905,"$19,665.12","$19,665.12","$19,665.12","$16,887.67","$16,887.67","$16,887.67","$16,887.67","$14,378.97",,,
F,16,160,1906,"$12,960.80","$12,960.80","$12,960.80","$11,322.35","$11,322.35","$11,322.35","$11,322.35","$10,104.19",,,
F,16,184,1907,"$15,460.90","$15,460.90","$15,460.90","$13,139.89","$13,139.89","$13,139.89","$13,139.89","$11,707.40",,,
E,53,440,1908,"$22,803.21","$22,803.21","$22,803.21","$18,681.42","$18,681.42","$18,681.42","$18,681.42","$16,280.99",,,
F,17,195,1909,"$26,637.38","$26,637.38","$26,637.38","$21,894.55","$21,894.55","$21,894.55","$21,894.55","$19,676.38",,,
M,56,457,1910,"$15,663.74","$15,663.74","$15,663.74","$13,435.17","$13,435.17","$13,435.17","$13,435.17","$11,592.87",,,
E,20,215,1911,"$22,968.50","$22,968.50","$22,968.50","$18,485.42","$18,485.42","$18,485.42","$18,485.42","$16,362.61",,,
M,57,461,1912,"$20,340.07","$20,340.07","$20,340.07","$19,985.61","$19,985.61","$19,985.61","$19,985.61","$17,233.44",,,
E,19,207,1913,"$17,808.87","$17,808.87","$17,808.87","$16,480.94","$16,480.94","$16,480.94","$16,480.94","$15,001.83",,,
M,57,445,1914,"$25,135.79","$25,135.79","$25,135.79","$21,770.02","$21,770.02","$21,770.02","$21,770.02","$17,890.85",,,
M,57,463,1915,"$27,740.25","$27,740.25","$27,740.25","$23,759.36","$23,759.36","$23,759.36","$23,759.36","$20,302.94",,,
A,9,108,1916,"$26,109.95","$26,109.95","$26,109.95","$22,666.28","$22,666.28","$22,666.28","$22,666.28","$18,718.15",,,
M,57,459,1917,"$17,064.82","$17,064.82","$17,064.82","$13,325.57","$13,325.57","$13,325.57","$13,325.57","$11,921.59",,,
F,16,156,1918,"$12,685.76","$12,685.76","$12,685.76","$11,246.84","$11,246.84","$11,246.84","$11,246.84","$10,287.61",,,
F,16,179,1919,"$7,398.50","$7,398.50","$7,398.50","$6,408.76","$6,408.76","$6,408.76","$6,408.76","$5,945.90",,,
M,60,477,1920,"$16,131.38","$16,131.38","$16,131.38","$13,856.22","$13,856.22","$13,856.22","$13,856.22","$12,202.70",,,
F,22,178,1921,"$15,524.91","$15,524.91","$15,524.91","$12,238.37","$12,238.37","$12,238.37","$12,238.37","$11,971.64",,,
M,57,462,1922,"$18,980.54","$18,980.54","$18,980.54","$15,879.26","$15,879.26","$15,879.26","$15,879.26","$13,040.06",,,
E,19,200,1923,"$24,038.16","$24,038.16","$24,038.16","$20,004.79","$20,004.79","$20,004.79","$20,004.79","$15,849.72",,,
F,16,179,1924,"$24,261.70","$24,261.70","$24,261.70","$20,528.99","$20,528.99","$20,528.99","$20,528.99","$18,455.16",,,
M,60,478,1925,"$16,988.21","$16,988.21","$16,988.21","$13,794.86","$13,794.86","$13,794.86","$13,794.86","$10,888.94",,,
F,17,191,1926,"$17,153.62","$17,153.62","$17,153.62","$14,792.77","$14,792.77","$14,792.77","$14,792.77","$12,978.34",,,
E,20,209,1927,"$17,969.68","$17,969.68","$17,969.68","$14,349.60","$14,349.60","$14,349.60","$14,349.60","$13,516.42",,,
E,19,205,1928,"$26,001.54","$26,001.54","$26,001.54","$20,628.28","$20,628.28","$20,628.28","$20,628.28","$17,708.52",,,
M,52,419,1929,"$22,342.48","$22,342.48","$22,342.48","$18,484.02","$18,484.02","$18,484.02","$18,484.02","$16,038.87",,,
F,16,184,1930,"$14,008.12","$14,008.12","$14,008.12","$12,571.74","$12,571.74","$12,571.74","$12,571.74","$10,720.48",,,
E,53,440,1931,"$25,318.54","$25,318.54","$25,318.54","$20,175.50","$20,175.50","$20,175.50","$20,175.50","$18,291.09",,,
F,16,179,1932,"$23,988.93","$23,988.93","$23,988.93","$19,775.84","$19,775.84","$19,775.84","$19,775.84","$17,417.07",,,
E,25,267,1933,"$16,741.21","$16,741.21","$16,741.21","$13,733.61","$13,733.61","$13,733.61","$13,733.61","$12,631.37",,,
F,75,314,1934,"$19,106.74","$19,106.74","$19,106.74","$16,773.23","$16,773.23","$16,773.23","$16,773.23","$14,214.53",,,
F,22,237,1935,"$28,997.16","$28,997.16","$28,997.16","$26,460.29","$26,460.29","$26,460.29","$26,460.29","$21,790.87",,,
E,53,196,1936,"$20,980.91","$20,980.91","$20,980.91","$17,163.04","$17,163.04","$17,163.04","$17,163.04","$15,100.10",,,
