BU,Region,Market,Stores,Wk7,Wk8,Wk9,Wk10,Wk11,Wk12,Wk13,Wk14,,,
A,42,328,71,"$15,880.65","$15,880.65","$15,880.65","$13,614.88","$13,614.88","$13,614.88","$13,614.88","$12,095.54",,,
B,44,410,72,"$21,389.13","$21,389.13","$21,389.13","$17,236.06","$17,236.06","$17,236.06","$17,236.06","$14,642.86",,,
B,44,356,73,"$19,002.97","$19,002.97","$19,002.97","$17,201.94","$17,201.94","$17,201.94","$17,201.94","$14,707.58",,,
A,12,329,74,"$8,776.59","$8,776.59","$8,776.59","$7,551.22","$7,551.22","$7,551.22","$7,551.22","$7,198.82",,,
B,13,134,75,"$22,933.79","$22,933.79","$22,933.79","$19,748.66","$19,748.66","$19,748.66","$19,748.66","$16,866.64",,,
A,42,322,76,"$18,200.27","$18,200.27","$18,200.27","$16,651.89","$16,651.89","$16,651.89","$16,651.89","$12,252.78",,,
B,5,83,77,"$16,346.28","$16,346.28","$16,346.28","$14,432.63","$14,432.63","$14,432.63","$14,432.63","$12,180.36",,,
E,40,357,78,"$18,075.22","$18,075.22","$18,075.22","$14,656.28","$14,656.28","$14,656.28","$14,656.28","$12,837.02",,,
A,42,334,79,"$22,127.42","$22,127.42","$22,127.42","$19,712.91","$19,712.91","$19,712.91","$19,712.91","$16,463.50",,,
E,40,359,80,"$16,079.90","$16,079.90","$16,079.90","$14,349.50","$14,349.50","$14,349.50","$14,349.50","$12,356.75",,,
B,44,347,81,"$11,551.04","$11,551.04","$11,551.04","$9,744.44","$9,744.44","$9,744.44","$9,744.44","$9,019.27",,,
E,40,335,82,"$11,817.66","$11,817.66","$11,817.66","$10,593.85","$10,593.85","$10,593.85","$10,593.85","$9,355.33",,,
A,42,327,83,"$15,967.52","$15,967.52","$15,967.52","$12,823.70","$12,823.70","$12,823.70","$12,823.70","$11,946.71",,,
A,42,324,85,"$25,128.48","$25,128.48","$25,128.48","$20,916.71","$20,916.71","$20,916.71","$20,916.71","$18,330.30",,,
E,40,357,86,"$20,803.71","$20,803.71","$20,803.71","$17,542.15","$17,542.15","$17,542.15","$17,542.15","$14,970.05",,,
A,42,127,87,"$23,212.46","$23,212.46","$23,212.46","$18,472.24","$18,472.24","$18,472.24","$18,472.24","$16,298.51",,,
