Region,Store # ,First Carrier Assigned,Fulfillment Type,Weeks With Status,Status,Trend,Directional Focus ,Max_WM_WK_ID,OTD*,Avg. OTP*,Avg. Dwell_Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
14,3785,SPARK,Scheduled Standard Delivery,7,Executive Review,Degrading,Store Focus,202226,79.80%,78.34%,14,86.40%,83.10%,84.00%,67.30%
14,3785,UBER,Scheduled Standard Delivery,5,At Risk,Recovering,Store Focus,202226,81.88%,74.49%,19.8,91.50%,91.70%,82.60%,67.40%
14,818,SPARK,Scheduled Standard Delivery,6,At Risk,Recovering,Driver Supply Focus,202226,88.20%,92.59%,8.3,90.70%,83.50%,89.20%,87.80%
14,919,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202226,87.34%,84.99%,13.1,80.90%,85.00%,89.70%,96.00%
14,919,UBER,Scheduled Standard Delivery,8,Executive Review,Degrading,Store Focus,202226,71.76%,85.61%,11.7,74.50%,75.00%,76.00%,59.30%
14,944,UBER,Scheduled Standard Delivery,13,Executive Review,Degrading,Store Focus,202226,77.33%,90.16%,14.1,77.30%,73.30%,74.70%,79.40%
14,1032,SPARK,Scheduled Standard Delivery,6,At Risk,Degrading,Store Focus,202226,87.16%,81.69%,11.2,87.90%,81.60%,92.10%,84.70%
14,1362,DOORDASH,Scheduled Standard Delivery,13,Executive Review,Degrading,Store Focus,202226,77.47%,96.21%,17.7,82.50%,75.50%,74.40%,75.80%
14,1362,SPARK,Scheduled Standard Delivery,9,Executive Review,Degrading,Store Focus,202226,80.04%,97.54%,12,89.20%,68.10%,87.10%,72.70%
14,3075,SPARK,Scheduled Standard Delivery,5,At Risk,Degrading,Store Focus,202226,88.12%,96.56%,10,89.40%,85.80%,92.50%,83.10%
14,3075,UBER,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Store Focus,202226,93.95%,96.54%,10.7,93.30%,97.30%,95.80%,88.80%
14,3119,SPARK,Scheduled Standard Delivery,5,At Risk,Recovering,Driver Supply Focus,202226,90.45%,96.33%,7.9,97.50%,85.10%,89.90%,90.20%
14,5845,UBER,Scheduled Standard Delivery,12,Executive Review,Recovering,Store Focus,202226,85.60%,93.99%,11.6,90.30%,80.40%,78.90%,88.70%
14,5872,DOORDASH,Scheduled Standard Delivery,7,Executive Review,Degrading,Store Focus,202226,72.00%,85.44%,12.2,72.20%,62.50%,69.40%,80.80%
14,5872,SPARK,Scheduled Standard Delivery,6,At Risk,Degrading,Driver Supply Focus,202226,84.86%,95.55%,8.1,88.10%,80.00%,88.60%,80.20%
14,495,DOORDASH,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Store Focus,202226,84.40%,85.43%,15.5,91.70%,72.20%,88.40%,83.80%
72,4504,SPARK,Scheduled Standard Delivery,13,Executive Review,Degrading,Store Focus,202226,70.91%,75.64%,17.8,84.50%,77.40%,55.10%,58.40%
72,5623,SPARK,Scheduled Standard Delivery,7,Executive Review,Degrading,Store Focus,202226,75.84%,84.60%,10.6,74.50%,63.70%,80.10%,84.50%
72,5740,SPARK,Scheduled Standard Delivery,24,Executive Review,Recovering,Store Focus,202226,88.75%,84.00%,12.9,92.30%,85.80%,91.70%,85.50%
72,5744,POINTPICKUP,Scheduled Standard Delivery,18,Executive Review,-,Store Focus,202226,57.14%,75.00%,24.9,,50.00%,,66.70%
5,1801,SPARK,Scheduled Standard Delivery,15,Executive Review,Degrading,Store Focus,202226,81.70%,69.94%,18.4,69.20%,90.20%,84.80%,84.70%
5,5147,SPARK,Scheduled Standard Delivery,36,Executive Review,Degrading,Store Focus,202226,88.66%,82.00%,15.6,86.60%,92.30%,84.00%,93.20%
5,3764,UBER,Scheduled Standard Delivery,6,At Risk,Degrading,Driver Supply Focus,202226,78.69%,96.88%,6.6,82.90%,72.40%,90.60%,65.40%
5,3828,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202226,89.88%,91.93%,9.5,85.80%,95.00%,95.60%,83.50%
5,471,SPARK,Scheduled Standard Delivery,24,Executive Review,Degrading,Store Focus,202226,85.86%,88.03%,14.1,88.10%,86.10%,78.40%,92.90%
5,4503,SPARK,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202226,79.45%,73.16%,21.8,80.80%,70.20%,72.80%,90.70%
5,5810,SPARK,Scheduled Standard Delivery,28,Executive Review,Degrading,Store Focus,202226,90.91%,96.97%,9.1,89.60%,92.80%,89.00%,92.40%
5,2649,SPARK,Scheduled Standard Delivery,15,Executive Review,Degrading,Store Focus,202226,75.24%,67.15%,21.8,75.90%,78.90%,67.50%,79.10%
5,2918,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202226,67.46%,51.39%,17.1,63.20%,67.50%,68.00%,70.20%
5,3406,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202226,82.05%,90.54%,17.9,89.00%,64.90%,83.00%,88.70%
5,206,SPARK,Scheduled Express Delivery ,1,Active Monitoring,Recovering,Store Focus,202226,88.52%,90.72%,14.5,95.60%,100.00%,85.70%,68.30%
5,2427,SPARK,Scheduled Standard Delivery,22,Executive Review,Degrading,Store Focus,202226,69.10%,66.44%,21.3,79.20%,62.40%,57.20%,76.10%
5,426,SPARK,Scheduled Standard Delivery,7,Executive Review,Degrading,Store Focus,202226,80.24%,62.61%,13.1,79.80%,85.20%,75.50%,80.40%
5,2105,SPARK,Scheduled Standard Delivery,5,At Risk,Recovering,Store Focus,202226,90.90%,75.27%,18.3,94.60%,95.20%,87.60%,85.50%
5,2996,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Store Focus,202226,83.36%,73.50%,17.1,94.10%,86.00%,61.90%,84.00%
5,5889,SPARK,Scheduled Standard Delivery,7,Executive Review,Recovering,Driver Supply Focus,202226,88.98%,90.79%,8.7,90.80%,89.70%,85.50%,90.40%
5,5191,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202226,90.71%,73.18%,18.7,82.80%,95.90%,93.50%,89.70%
5,535,POINTPICKUP,Scheduled Standard Delivery,17,Executive Review,Degrading,Store Focus,202226,57.14%,55.32%,47.5,53.80%,60.00%,53.30%,75.00%
