   ,SCO Lane Count  ,Original Date Scheduled,Time Scheduled,Planned Ship Date / Shipment Status,Tracking information (FedEx),,
8299,7,6/26/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4730,8,6/30/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6189,8,6/30/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6539,7,6/30/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6634,8,6/30/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6670,8,6/30/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
8228,8,6/30/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
8238,7,6/30/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
8287,8,6/30/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4798,8,7/1/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4828,8,7/1/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6671,8,7/1/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6976,8,7/1/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
8160,8,7/1/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4718,7,7/7/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4785,8,7/7/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4999,7,7/7/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6265,7,7/7/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6275,8,7/7/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
8116,8,7/7/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
8277,7,7/7/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4722,8,7/8/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4816,8,7/8/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6218,8,7/8/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6363,8,7/8/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6686,7,7/8/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
8157,7,7/8/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
8201,7,7/8/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
8248,8,7/8/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4736,7,7/9/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4777,7,7/9/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4782,8,7/9/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4925,2,7/9/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6347,7,7/9/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6485,6,7/9/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6568,8,7/9/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
8141,8,7/9/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4745,8,7/10/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4774,8,7/10/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4906,8,7/10/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4991,8,7/10/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6388,8,7/10/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6505,8,7/10/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
8290,7,7/10/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6188,8,7/14/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6257,8,7/14/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
8207,8,7/14/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
8254,7,7/14/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4857,8,7/15/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4933,8,7/15/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6524,8,7/15/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6567,7,7/15/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
8177,7,7/15/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
8208,8,7/15/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
8226,8,7/15/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4770,7,7/17/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4829,7,7/17/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4870,7,7/17/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6181,8,7/17/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6246,8,7/17/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6410,12,7/17/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6573,8,7/17/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
8130,8,7/17/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
8163,8,7/17/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
8279,8,7/17/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4950,8,7/21/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6633,7,7/21/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4974,7,7/23/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6213,7,7/23/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6312,7,7/23/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6379,7,7/23/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6385,7,7/23/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6418,7,7/23/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6487,8,7/23/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4983,7,7/24/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6355,8,7/24/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4942,7,7/28/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4915,8,7/29/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4961,8,7/29/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6339,7,7/29/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6535,8,7/29/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4703,7,7/30/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4738,8,7/30/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
8153,7,7/30/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4938,7,7/31/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
8280,7,7/31/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4707,8,8/4/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4939,8,8/4/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6461,7,8/4/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6556,8,8/4/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4713,7,8/5/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4791,7,8/5/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4955,7,8/5/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4972,8,8/5/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6247,8,8/5/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6262,8,8/5/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4914,7,8/6/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6440,8,8/6/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6502,7,8/6/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6520,8,8/6/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
8243,7,8/6/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
8270,9,8/6/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4784,8,8/7/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6350,8,8/7/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6366,7,8/7/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6408,8,8/7/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
8227,7,8/7/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4850,7,8/11/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6217,8,8/11/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6261,8,8/11/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6420,8,8/11/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
8267,8,8/11/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6269,7,8/12/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6367,7,8/12/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6382,7,8/12/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6403,8,8/12/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
8185,8,8/12/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4801,8,8/13/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6254,8,8/13/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6439,7,8/13/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4794,8,8/14/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4958,7,8/14/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
8288,7,8/14/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4772,8,8/18/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6202,8,8/19/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6259,8,8/19/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6334,7,8/19/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6421,7,8/19/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6472,8,8/19/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6413,7,8/20/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6443,8,8/21/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
8146,8,8/21/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4831,8,8/25/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6415,7,8/25/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6216,8,8/26/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
8162,7,8/26/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
8259,8,8/26/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4946,8,8/27/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6365,7,8/28/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6402,8,8/28/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6570,7,8/28/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4936,8,9/8/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4763,8,9/9/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
8189,8,9/9/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6354,7,9/15/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4769,8,9/16/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6343,8,9/16/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4711,7,9/17/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6514,7,9/17/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
8218,8,9/17/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6351,7,9/18/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6373,7,9/22/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6457,8,9/23/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4860,8,9/24/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4973,8,9/29/2025,5:30 AM,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4731,7,Canceled,Canceled,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4735,8,Canceled,Canceled,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4761,8,Canceled,Canceled,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4824,7,Canceled,Canceled,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4839,7,Canceled,Canceled,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6235,8,Canceled,Canceled,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6238,7,Canceled,Canceled,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6240,7,Canceled,Canceled,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6267,7,Canceled,Canceled,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6342,8,Canceled,Canceled,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6455,7,Canceled,Canceled,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6613,7,Canceled,Canceled,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6614,8,Canceled,Canceled,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6615,8,Canceled,Canceled,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6616,8,Canceled,Canceled,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6617,6,Canceled,Canceled,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6626,7,Canceled,Canceled,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6628,7,Canceled,Canceled,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
8117,7,Canceled,Canceled,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
8239,6,Canceled,Canceled,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
8241,6,Canceled,Canceled,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
8263,8,Canceled,Canceled,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
8289,8,Canceled,Canceled,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4109,7,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4704,8,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4709,8,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4724,7,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4728,8,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4740,7,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4741,7,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4749,7,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4750,7,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4755,12,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4767,8,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4768,7,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4771,7,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4775,7,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4778,7,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4780,8,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4781,7,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4787,7,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4790,7,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4797,8,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4799,7,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4802,8,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4805,8,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4808,8,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4815,7,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4819,7,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4820,8,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4822,8,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4825,7,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4836,8,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4837,7,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4851,7,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4855,7,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4871,7,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4873,7,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4875,7,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4876,8,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4878,8,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4879,7,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4901,7,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4908,7,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4917,7,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4920,8,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4926,8,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4930,8,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4944,8,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4947,8,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4962,7,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4963,7,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4982,8,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4985,7,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4989,8,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4990,8,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4992,8,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4994,8,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
4998,7,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6203,8,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6205,7,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6219,7,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6220,7,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6228,8,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
6236,8,In Progress,In Progress,"Pending install schedule, once install is confirmed, request shipment from BCS",,,
