StoreNumber,Category,Item #,Item Description,Hot PLU, New Retails  
7,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
7,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
7,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
7,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
7,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
7,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
7,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
7,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
7,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
9,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
9,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
9,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
9,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
9,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
9,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
9,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
9,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
9,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
9,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
10,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
10,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
10,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
10,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
10,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
10,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
10,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
10,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
10,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
10,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
11,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
11,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
11,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
11,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
11,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
11,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
11,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
11,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
11,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
11,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
12,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
12,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
12,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
12,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
12,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
12,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
12,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
12,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
12,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
12,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
13,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
13,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
13,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
13,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
13,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
13,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
13,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
13,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
13,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
13,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
14,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
14,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
14,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
14,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
14,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
14,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
14,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
14,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
14,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
14,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
15,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
15,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
15,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
15,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
15,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
15,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
15,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
15,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
15,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
15,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
16,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
16,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
16,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
16,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
16,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
16,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
16,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
16,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
16,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
16,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
17,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
17,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
17,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
17,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
17,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
17,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
17,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
17,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
17,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
17,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
18,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
18,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
18,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
18,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
18,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
18,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
19,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
19,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
19,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
19,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
19,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
19,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
19,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
19,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
19,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
19,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
20,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
20,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
20,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
20,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
20,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
20,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
20,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
20,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
20,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
20,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
21,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
21,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
21,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
21,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
21,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
21,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
21,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
21,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
21,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
21,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
22,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
22,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
22,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
22,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
22,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
22,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
22,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
22,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
22,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
22,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
23,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
23,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
23,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
23,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
23,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
23,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
23,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
23,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
23,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
23,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
24,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
24,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
24,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
24,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
24,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
24,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
24,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
24,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
24,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
24,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
25,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
25,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
25,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
25,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
25,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
25,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
25,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
25,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
25,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
25,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
26,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
26,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
26,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
26,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
26,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
26,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
26,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
26,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
26,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
26,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
27,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
27,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
27,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
27,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
27,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
27,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
27,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
27,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
27,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
27,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
28,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
28,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
28,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
28,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
28,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
28,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
28,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
28,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
28,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
28,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
29,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
29,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
29,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
29,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
29,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
29,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
29,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
29,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
29,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
29,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
30,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
30,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
30,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
30,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
30,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
30,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
30,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
30,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
30,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
30,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
31,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
31,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
31,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
31,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
31,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
31,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
31,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
31,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
31,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
31,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
33,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
33,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
33,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
33,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
33,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
33,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
33,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
33,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
33,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
33,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
34,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
34,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
34,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
34,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
34,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
34,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
34,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
34,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
34,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
34,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
35,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
35,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
35,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
35,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
35,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
35,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
35,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
35,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
35,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
35,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
36,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
36,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
36,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
36,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
36,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
36,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
36,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
36,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
36,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
36,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
37,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
37,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
37,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
37,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
37,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
37,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
37,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
37,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
37,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
37,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
38,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
38,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
38,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
38,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
38,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
38,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
38,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
38,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
38,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
38,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
39,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
39,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
39,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
39,HOT FOODS,596716294,8PC CHICKEN TENDERS,62867, $10.37 
39,HOT FOODS,596705093,3PC TENDER MEAL 1S,62853, $4.97 
39,HOT FOODS,596705094,3PC TENDER MEAL 2S,62854, $5.47 
39,HOT FOODS,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 
39,HOT FOODS,596716288,12PC CHKN TENDER MEAL,62860, $19.47 
39,HOT FOODS,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 
39,HOT FOODS,596716318,48PC FRIED CHICKEN,62888, $54.97 
40,HOT FOODS,576142436,16PC CHICKEN TENDER,62169, $14.84 
40,HOT FOODS,596716292,2PC CHICKEN TENDERS,62865, $2.67 
40,HOT FOODS,596716293,4PC CHICKEN TENDERS,62866, $5.37 
