Inventory Correction for Timestamp Issue,,,,,,,"Updated July 18, 2025"
BU,Reg,Mrkt,Store,City,ST,Sum of cost,Sum of retail
SOUTHEAST ,42,326,4168,BEEBE,AR,$0.00,"$5,445.86"
SOUTHEAST ,42,327,714,HELENA-WEST HELENA,AR,$0.00,"$5,898.69"
SOUTHEAST ,42,328,157,SEARCY,AR,$0.00,"$28,276.25"
SOUTHEAST ,42,328,788,CLINTON,AR,$0.00,"$8,839.81"
SOUTHEAST ,42,334,267,WEBB CITY,MO,$0.00,"$10,512.41"
SOUTHWEST ,5,45,1044,TYLER,TX,$0.00,"$7,701.65"
SOUTHWEST ,5,51,5672,LUCAS,TX,$0.00,"$7,832.41"
SOUTHWEST ,5,55,260,WAXAHACHIE,TX,$0.00,"$5,858.65"
SOUTHWEST ,5,583,1055,GARLAND,TX,$0.00,"$15,174.00"
SOUTHWEST ,6,61,462,ALVIN,TX,$0.00,"$8,612.66"
SOUTHWEST ,6,78,5898,CORPUS CHRISTI,TX,$0.00,"$5,308.17"
SOUTHWEST ,6,84,1098,PORT LAVACA,TX,$0.00,"$5,227.41"
SOUTHWEST ,7,73,513,BIG SPRING,TX,$0.00,"$8,747.24"
SOUTHWEST ,7,73,537,ODESSA,TX,$0.00,"$8,444.09"
SOUTHWEST ,7,73,608,MIDLAND,TX,$0.00,"$5,415.33"
SOUTHWEST ,7,74,1249,SAN ANGELO,TX,$0.00,"$5,830.17"
SOUTHWEST ,7,77,5245,SAN ANTONIO,TX,$0.00,"$5,473.60"
SOUTHWEST ,7,81,381,COPPERAS COVE,TX,$0.00,"$5,023.74"
SOUTHWEST ,7,82,1129,AUSTIN,TX,$0.00,"$13,611.60"
SOUTHWEST ,7,82,4554,AUSTIN,TX,$0.00,"$9,742.13"
SOUTHWEST ,7,83,1185,AUSTIN,TX,$0.00,"$20,383.17"
SOUTHWEST ,7,87,4055,UNIVERSAL CITY,TX,$0.00,"$8,388.40"
SOUTHWEST ,7,506,1154,FREDERICKSBURG,TX,$0.00,"$8,510.46"
SOUTHWEST ,7,506,3057,HELOTES,TX,$0.00,"$5,278.45"
SOUTHWEST ,13,128,1342,KENNER,LA,$0.00,"$6,641.12"
SOUTHWEST ,13,129,540,MORGAN CITY,LA,$0.00,"$9,325.90"
SOUTHWEST ,13,130,1102,BAKER,LA,$0.00,"$7,867.81"
SOUTHWEST ,13,131,2822,WALKER,LA,$0.00,"$6,932.40"
SOUTHWEST ,13,131,3288,BATON ROUGE,LA,$0.00,"$9,700.67"
SOUTHWEST ,13,141,785,WAYNESBORO,MS,$0.00,"$6,461.35"
SOUTHWEST ,13,141,874,NATCHEZ,MS,$0.00,"$11,521.84"
SOUTHWEST ,13,141,2717,HATTIESBURG,MS,$0.00,"$8,628.27"
SOUTHWEST ,13,143,1066,PASCAGOULA,MS,$0.00,"$10,439.39"
SOUTHWEST ,13,143,2715,DIBERVILLE,MS,$0.00,"$11,362.06"
SOUTHWEST ,13,503,140,LUFKIN,TX,$0.00,"$9,346.59"
SOUTHWEST ,13,503,214,JASPER,TX,$0.00,"$7,334.92"
SOUTHWEST ,44,47,148,PARIS,TX,$0.00,"$13,244.62"
SOUTHWEST ,44,47,240,COMMERCE,TX,$0.00,"$8,657.09"
SOUTHWEST ,44,47,468,TEXARKANA,AR,$0.00,"$14,347.70"
SOUTHWEST ,44,344,499,ENID,OK,$0.00,"$9,649.85"
SOUTHWEST ,44,345,168,OWASSO,OK,$0.00,"$10,396.56"
SOUTHWEST ,44,347,90,GROVE,OK,$0.00,"$5,939.19"
SOUTHWEST ,44,350,151,MCALESTER,OK,$0.00,"$5,055.76"
SOUTHWEST ,44,351,103,SHAWNEE,OK,$0.00,"$5,719.01"
SOUTHWEST ,44,352,137,STILLWATER,OK,$0.00,"$14,914.59"
SOUTHWEST ,44,356,324,BRISTOW,OK,$0.00,"$5,846.58"
SOUTHWEST ,44,356,4615,GLENPOOL,OK,$0.00,"$6,236.73"
SOUTHWEST ,44,410,2893,INDEPENDENCE,KS,$0.00,"$8,129.72"
SOUTHWEST ,46,367,3807,BENSON,AZ,$0.00,"$5,140.05"
SOUTHWEST ,46,368,3407,BUCKEYE,AZ,$0.00,"$6,241.03"
SOUTHWEST ,46,368,5369,GOODYEAR,AZ,$0.00,"$15,539.73"
SOUTHWEST ,46,372,1381,APACHE JUNCTION,AZ,$0.00,"$5,428.50"
SOUTHWEST ,46,375,869,ALAMOSA,CO,$0.00,"$11,408.02"
SOUTHWEST ,46,384,906,GALLUP,NM,$0.00,"$5,353.40"
SOUTHWEST ,46,385,3731,BERNALILLO,NM,$0.00,"$13,071.94"
SOUTHWEST ,46,385,4201,EDGEWOOD,NM,$0.00,"$8,892.85"
NORTH ,19,200,3328,GREENVILLE,MI,$0.00,"$19,128.48"
NORTH ,19,202,1836,ADRIAN,MI,$0.00,"$10,244.71"
NORTH ,19,203,1423,SAINT JOHNS,MI,$0.00,"$14,479.00"
NORTH ,19,203,1733,OWOSSO,MI,$0.00,"$19,145.70"
NORTH ,19,203,2869,LANSING,MI,$0.00,"$12,047.50"
NORTH ,19,204,1428,MOUNT PLEASANT,MI,$0.00,"$23,208.19"
NORTH ,19,204,5159,WEST BRANCH,MI,$0.00,"$17,660.43"
NORTH ,19,206,2959,ROSEVILLE,MI,$0.00,"$11,844.72"
NORTH ,19,206,4424,WARREN,MI,$0.00,"$13,184.50"
NORTH ,19,206,5844,LIVONIA,MI,$0.00,"$8,691.96"
NORTH ,19,207,3445,HOLLAND,OH,$0.00,"$12,605.31"
NORTH ,19,207,5030,TOLEDO,OH,$0.00,"$14,005.26"
NORTH ,19,213,1622,TIFFIN,OH,$0.00,"$9,196.09"
NORTH ,20,208,2197,CORTLAND,OH,$0.00,"$11,076.09"
NORTH ,20,208,2211,POLAND,OH,$0.00,"$12,314.11"
NORTH ,20,208,3722,KENT,OH,$0.00,"$9,491.48"
NORTH ,20,209,2313,STREETSBORO,OH,$0.00,"$11,283.28"
NORTH ,20,214,2073,CLEVELAND,OH,$0.00,"$9,761.30"
NORTH ,20,214,2266,STRONGSVILLE,OH,$0.00,"$9,859.31"
NORTH ,20,214,4255,ELYRIA,OH,$0.00,"$12,596.14"
NORTH ,20,215,2914,MASSILLON,OH,$0.00,"$7,139.82"
NORTH ,20,215,2966,WADSWORTH,OH,$0.00,"$9,010.79"
NORTH ,20,216,2078,MARIETTA,OH,$0.00,"$15,750.72"
NORTH ,20,229,2540,CLARION,PA,$0.00,"$5,914.21"
NORTH ,20,235,2420,BELLE VERNON,PA,$0.00,"$5,102.26"
NORTH ,20,258,739,MIDDLESBORO,KY,$0.00,"$5,235.43"
NORTH ,20,311,1302,NORTON,VA,$0.00,"$7,164.38"
NORTH ,20,311,3270,WYTHEVILLE,VA,$0.00,"$6,394.93"
NORTH ,21,217,1595,MARYSVILLE,OH,$0.00,"$11,352.56"
NORTH ,21,218,1427,CIRCLEVILLE,OH,$0.00,"$22,793.87"
NORTH ,21,218,1519,JACKSON,OH,$0.00,"$13,500.88"
NORTH ,21,218,2400,CHILLICOTHE,OH,$0.00,"$19,356.05"
NORTH ,21,218,3515,HILLSBORO,OH,$0.00,"$11,512.42"
NORTH ,21,219,5184,CANAL WINCHESTER,OH,$0.00,"$12,405.38"
NORTH ,21,221,3502,HAMILTON,OH,$0.00,"$8,217.97"
NORTH ,21,222,1264,BELLEFONTAINE,OH,$0.00,"$8,875.87"
NORTH ,21,222,1433,CELINA,OH,$0.00,"$19,326.41"
NORTH ,21,223,3641,SPRINGFIELD,OH,$0.00,"$5,409.76"
NORTH ,21,225,1521,CINCINNATI,OH,$0.00,"$5,402.09"
NORTH ,21,225,2967,FT WRIGHT,KY,$0.00,"$11,921.18"
NORTH ,21,239,1745,RICHMOND,IN,$0.00,"$5,396.37"
NORTH ,21,239,3747,MUNCIE,IN,$0.00,"$6,553.78"
NORTH ,21,246,1547,LAFAYETTE,IN,$0.00,"$8,027.08"
NORTH ,21,246,1728,ANDERSON,IN,$0.00,"$8,521.17"
NORTH ,21,246,1962,KOKOMO,IN,$0.00,"$5,113.46"
NORTH ,21,247,1294,MARION,IN,$0.00,"$5,483.05"
NORTH ,21,259,4461,LOUISA,KY,$0.00,"$5,697.05"
NORTH ,25,265,3400,OSWEGO,IL,$0.00,"$5,866.39"
NORTH ,25,265,3790,LOCKPORT,IL,$0.00,"$7,992.91"
NORTH ,25,270,1377,JOHNSBURG,IL,$0.00,"$5,470.11"
NORTH ,25,270,3434,WOODSTOCK,IL,$0.00,"$5,099.67"
NORTH ,25,270,5060,ALGONQUIN,IL,$0.00,"$5,787.85"
NORTH ,25,272,317,VANDALIA,IL,$0.00,"$6,205.37"
NORTH ,25,273,422,ROBINSON,IL,$0.00,"$5,100.29"
NORTH ,25,273,3255,SAVOY,IL,$0.00,"$10,649.98"
NORTH ,25,275,609,HANNIBAL,MO,$0.00,"$9,070.02"
NORTH ,40,333,32,BRANSON,MO,$0.00,"$7,051.17"
NORTH ,40,333,379,OZARK,MO,$0.00,"$11,874.89"
NORTH ,40,333,2175,BRANSON WEST,MO,$0.00,"$8,093.19"
NORTH ,40,333,4381,BRANSON,MO,$0.00,"$14,075.39"
NORTH ,40,336,89,CAMDENTON,MO,$0.00,"$9,443.16"
NORTH ,40,357,46,BOLIVAR,MO,$0.00,"$6,130.71"
NORTH ,40,357,86,SPRINGFIELD,MO,$0.00,"$12,903.81"
NORTH ,40,357,179,SPRINGFIELD,MO,$0.00,"$13,623.96"
NORTH ,40,359,159,COLUMBIA,MO,$0.00,"$9,748.80"
NORTH ,40,359,451,COLUMBIA,MO,$0.00,"$11,724.56"
NORTH ,40,360,135,CHILLICOTHE,MO,$0.00,"$12,943.93"
NORTH ,40,360,801,MARYVILLE,MO,$0.00,"$23,271.20"
NORTH ,40,360,2994,SAINT JOSEPH,MO,$0.00,"$10,224.19"
NORTH ,40,362,1691,OVERLAND PARK,KS,$0.00,"$6,690.21"
NORTH ,40,362,2490,ROELAND PARK,KS,$0.00,"$6,234.24"
NORTH ,41,243,1160,AURORA,IN,$0.00,"$11,134.38"
NORTH ,41,253,431,PADUCAH,KY,$0.00,"$9,330.27"
NORTH ,41,253,491,PADUCAH,KY,$0.00,"$21,063.36"
NORTH ,41,254,701,OWENSBORO,KY,$0.00,"$8,508.04"
NORTH ,41,254,3363,OWENSBORO,KY,$0.00,"$8,372.81"
NORTH ,41,260,1210,NICHOLASVILLE,KY,$0.00,"$5,258.89"
NORTH ,41,271,196,CARBONDALE,IL,$0.00,"$9,477.42"
NORTH ,41,271,262,BENTON,IL,$0.00,"$6,804.23"
NORTH ,41,580,566,BOONVILLE,IN,$0.00,"$15,569.73"
NORTH ,53,196,2434,IRON MOUNTAIN,MI,$0.00,"$11,154.59"
NORTH ,53,440,1931,RHINELANDER,WI,$0.00,"$9,579.83"
NORTH ,53,440,2813,MARSHFIELD,WI,$0.00,"$7,269.75"
NORTH ,53,444,1012,BEAVER DAM,WI,$0.00,"$13,948.00"
NORTH ,19,200,2238,MUSKEGON,MI,$0.00,"$5,224.68"
EAST,4,37,5087,NORTH MYRTLE BEACH,SC,$0.00,"$9,148.66"
EAST,4,38,511,SUMTER,SC,$0.00,"$8,470.49"
EAST,4,38,1135,HARTSVILLE,SC,$0.00,"$9,360.12"
EAST,4,39,1270,NORTH AUGUSTA,SC,$0.00,"$10,981.25"
EAST,4,39,1382,GREENWOOD,SC,$0.00,"$7,758.65"
EAST,4,41,1164,COLUMBIA,SC,$0.00,"$11,577.83"
EAST,4,41,1339,COLUMBIA,SC,$0.00,"$5,708.09"
EAST,4,42,4593,ROCK HILL,SC,$0.00,"$7,977.15"
EAST,4,294,1663,WAYNESVILLE,NC,$0.00,"$6,894.88"
EAST,4,294,2440,SYLVA,NC,$0.00,"$14,629.38"
EAST,16,154,2228,PITTSFIELD,MA,$0.00,"$5,254.67"
EAST,16,156,3409,LEICESTER,MA,$0.00,"$10,684.63"
EAST,16,179,1924,PRESQUE ISLE,ME,$0.00,"$5,688.55"
EAST,16,179,5076,BREWER,ME,$0.00,"$6,056.97"
EAST,16,180,2046,AUGUSTA,ME,$0.00,"$6,210.31"
EAST,16,180,2202,WINDHAM,ME,$0.00,"$5,165.47"
EAST,16,181,2530,RUTLAND,VT,$0.00,"$6,619.17"
EAST,16,187,1946,MASSENA,NY,$0.00,"$12,700.45"
EAST,16,187,1994,PLATTSBURGH,NY,$0.00,"$8,489.79"
EAST,16,187,2116,QUEENSBURY,NY,$0.00,"$8,271.17"
EAST,16,187,5497,EVANS MILLS,NY,$0.00,"$15,599.59"
EAST,16,188,1940,EAST GREENBUSH,NY,$0.00,"$7,989.90"
EAST,16,188,3583,GLENMONT,NY,$0.00,"$7,888.57"
EAST,17,162,2282,EAST WINDSOR,CT,$0.00,"$9,212.42"
EAST,17,162,2854,LISBON,CT,$0.00,"$6,843.56"
EAST,17,163,2719,BRISTOL,CT,$0.00,"$5,712.03"
EAST,17,173,5294,MILFORD,CT,$0.00,"$19,306.83"
EAST,17,190,1781,CORTLAND,NY,$0.00,"$6,357.15"
EAST,17,190,1835,VESTAL,NY,$0.00,"$6,988.92"
EAST,17,190,2120,NORWICH,NY,$0.00,"$6,312.99"
EAST,17,226,1945,MANSFIELD,PA,$0.00,"$6,163.14"
EAST,17,226,2024,TUNKHANNOCK,PA,$0.00,"$5,516.11"
EAST,22,165,1742,TURNERSVILLE,NJ,$0.00,"$7,522.60"
EAST,22,165,3774,WILLIAMSTOWN,NJ,$0.00,"$6,410.37"
EAST,22,165,5476,WOODBURY,NJ,$0.00,"$6,525.58"
EAST,22,168,1777,READING,PA,$0.00,"$7,225.46"
EAST,22,168,3563,BETHLEHEM,PA,$0.00,"$7,228.41"
EAST,22,170,2445,HATFIELD,PA,$0.00,"$5,537.77"
EAST,22,170,3564,WILLOW GROVE,PA,$0.00,"$5,421.17"
EAST,22,170,5130,PHILADELPHIA,PA,$0.00,"$7,547.46"
EAST,22,170,5131,BENSALEM,PA,$0.00,"$5,747.79"
EAST,22,178,3830,LITTLE EGG HARBOR,NJ,$0.00,"$5,400.56"
EAST,22,178,5142,NEPTUNE,NJ,$0.00,"$8,901.89"
EAST,22,232,1887,MONTOURSVILLE,PA,$0.00,"$14,481.21"
EAST,22,232,2528,MILL HALL,PA,$0.00,"$11,123.73"
EAST,22,234,1537,GETTYSBURG,PA,$0.00,"$7,619.72"
EAST,22,234,3633,WAYNESBORO,PA,$0.00,"$8,529.01"
EAST,22,284,1741,MILFORD,DE,$0.00,"$5,536.44"
EAST,22,284,5039,CAMDEN,DE,$0.00,"$8,424.33"
EAST,22,285,2460,SEAFORD,DE,$0.00,"$10,659.44"
EAST,22,285,2514,POCOMOKE CITY,MD,$0.00,"$6,587.21"
EAST,22,285,2791,GEORGETOWN,DE,$0.00,"$5,443.32"
EAST,22,285,4378,ONLEY,VA,$0.00,"$5,854.53"
EAST,22,558,3422,DEPTFORD,NJ,$0.00,"$6,441.71"
EAST,26,296,2137,DURHAM,NC,$0.00,"$29,625.52"
EAST,26,297,5292,RALEIGH,NC,$0.00,"$11,820.67"
EAST,26,299,1664,WILSON,NC,$0.00,"$5,145.03"
EAST,26,302,1300,NEW BERN,NC,$0.00,"$8,944.41"
EAST,26,302,3825,HAVELOCK,NC,$0.00,"$5,770.57"
EAST,26,302,3864,JACKSONVILLE,NC,$0.00,"$6,963.89"
EAST,26,304,1290,WILKESBORO,NC,$0.00,"$11,911.46"
EAST,26,309,1097,ABERDEEN,NC,$0.00,"$6,470.52"
EAST,75,281,1968,ABERDEEN,MD,$0.00,"$8,748.93"
EAST,75,281,5450,NORTH EAST,MD,$0.00,"$13,997.16"
EAST,75,282,2435,DUNDALK,MD,$0.00,"$15,286.88"
EAST,75,287,1525,MECHANICSVILLE,VA,$0.00,"$10,523.99"
EAST,75,287,2295,RICHMOND,VA,$0.00,"$8,636.98"
EAST,75,288,1759,GLOUCESTER,VA,$0.00,"$6,894.99"
EAST,75,288,3831,PORTSMOUTH,VA,$0.00,"$6,471.82"
EAST,75,289,5488,NORFOLK,VA,$0.00,"$6,248.52"
EAST,75,290,5847,POWHATAN,VA,$0.00,"$6,963.19"
EAST,75,291,1852,WOODBRIDGE,VA,$0.00,"$5,763.61"
EAST,75,291,2520,FREDERICKSBURG,VA,$0.00,"$11,910.65"
EAST,75,291,3588,DUMFRIES,VA,$0.00,"$5,250.35"
EAST,75,312,2762,FAIRLAWN,VA,$0.00,"$21,249.47"
EAST,75,312,3243,ROANOKE,VA,$0.00,"$20,425.37"
EAST,75,315,1350,LYNCHBURG,VA,$0.00,"$29,677.64"
EAST,75,315,1726,HARRISONBURG,VA,$0.00,"$25,578.89"
EAST,75,508,1717,WALDORF,MD,$0.00,"$5,713.54"
EAST,76,189,1806,GLOVERSVILLE,NY,$0.00,"$5,124.27"
EAST,76,189,2444,ONEIDA,NY,$0.00,"$7,391.63"
EAST,76,192,2859,ROCHESTER,NY,$0.00,"$16,356.96"
EAST,76,194,1973,LAKEWOOD,NY,$0.00,"$12,467.00"
EAST,76,194,2159,OLEAN,NY,$0.00,"$22,409.70"
EAST,76,195,1909,NIAGARA FALLS,NY,$0.00,"$21,589.25"
EAST,76,195,2107,LOCKPORT,NY,$0.00,"$19,442.36"
EAST,76,195,4597,NORTH TONAWANDA,NY,$0.00,"$9,545.52"
EAST,76,228,1656,MEADVILLE,PA,$0.00,"$5,047.44"
EAST,76,228,2597,CRANBERRY,PA,$0.00,"$6,506.39"
EAST,76,228,3514,BRADFORD,PA,$0.00,"$7,303.08"
EAST,76,231,2664,PUNXSUTAWNEY,PA,$0.00,"$5,255.77"
EAST,76,286,1406,WINCHESTER,VA,$0.00,"$5,939.79"
EAST,76,286,1825,MANASSAS,VA,$0.00,"$6,833.91"
EAST,76,286,3573,MANASSAS,VA,$0.00,"$9,108.46"
WEST,47,381,1457,RIVERTON,WY,$0.00,"$10,603.76"
WEST,47,381,3778,CASPER,WY,$0.00,"$5,335.68"
WEST,47,383,2147,MISSOULA,MT,$0.00,"$15,836.98"
WEST,47,383,2259,KALISPELL,MT,$0.00,"$12,152.97"
WEST,47,383,2455,GREAT FALLS,MT,$0.00,"$10,186.24"
WEST,47,383,2607,POLSON,MT,$0.00,"$8,622.13"
WEST,47,383,3259,MISSOULA,MT,$0.00,"$20,919.53"
WEST,47,383,7199,GREAT FALLS,MT,$0.00,"$7,708.55"
WEST,47,406,369,WINFIELD,KS,$0.00,"$7,002.87"
WEST,47,406,592,DERBY,KS,$0.00,"$18,935.80"
WEST,47,406,790,MCCOOK,NE,$0.00,"$13,741.02"
WEST,47,406,978,ARKANSAS CITY,KS,$0.00,"$8,441.15"
WEST,47,407,35,MANHATTAN,KS,$0.00,"$14,386.22"
WEST,47,407,43,JUNCTION CITY,KS,$0.00,"$5,470.69"
WEST,47,407,558,SALINA,KS,$0.00,"$14,795.11"
WEST,47,432,1671,PAPILLION,NE,$0.00,"$13,409.61"
WEST,47,432,5141,OMAHA,NE,$0.00,"$15,065.50"
WEST,47,432,5361,OMAHA,NE,$0.00,"$15,716.47"
WEST,52,412,2957,DETROIT LAKES,MN,$0.00,"$7,543.10"
WEST,52,413,1723,DES MOINES,IA,$0.00,"$16,813.18"
WEST,52,414,892,ANKENY,IA,$0.00,"$9,099.42"
WEST,52,414,1389,BOONE,IA,$0.00,"$8,226.70"
WEST,52,415,646,ANAMOSA,IA,$0.00,"$5,638.39"
WEST,52,418,784,MOUNT PLEASANT,IA,$0.00,"$12,111.52"
WEST,52,418,1431,KEOKUK,IA,$0.00,"$10,412.40"
WEST,52,419,2367,PINE CITY,MN,$0.00,"$10,147.13"
WEST,52,421,3760,NEW ULM,MN,$0.00,"$7,704.48"
WEST,52,422,1864,BROOKLYN PARK,MN,$0.00,"$5,437.01"
WEST,52,422,2087,VADNAIS HEIGHTS,MN,$0.00,"$5,376.01"
WEST,52,424,1633,SARTELL,MN,$0.00,"$5,741.29"
WEST,52,424,2352,CAMBRIDGE,MN,$0.00,"$11,420.36"
WEST,54,378,980,GREELEY,CO,$0.00,"$8,122.59"
WEST,54,378,3177,FORT COLLINS,CO,$0.00,"$6,506.95"
WEST,54,378,4599,TIMNATH,CO,$0.00,"$13,898.36"
WEST,54,378,5051,GREELEY,CO,$0.00,"$10,748.63"
WEST,54,379,1231,THORNTON,CO,$0.00,"$12,839.53"
WEST,54,391,3227,MONUMENT,CO,$0.00,"$13,589.41"
WEST,54,391,4335,FALCON,CO,$0.00,"$9,385.88"
WEST,54,401,1699,LAYTON,UT,$0.00,"$10,361.35"
