,,,,Dairy ,
,,,,2334,581
Market ,Region ,Store Format ,Store Number,Milk,Butter
83,7,WM Supercenter,77,1,
357,40,WM Supercenter,78,,
334,42,WM Supercenter,79,,
359,40,WM Supercenter,80,1,
347,44,WM Supercenter,81,,
335,40,WM Supercenter,82,,
327,42,WM Supercenter,83,,
324,42,WM Supercenter,85,,
357,40,WM Supercenter,86,,
127,42,WM Supercenter,87,,
357,40,WM Supercenter,88,,
336,40,WM Supercenter,89,,
347,44,WM Supercenter,90,,
329,11,WM Supercenter,91,,
334,42,WM Supercenter,92,,
146,11,WM Supercenter,93,,1
145,11,WM Supercenter,94,1,1
335,40,WM Supercenter,95,,
361,40,WM Supercenter,96,1,
146,11,WM Supercenter,97,1,
135,42,WM Supercenter,98,,
340,40,WM Supercenter,99,1,
323,42,WM Supercenter,100,1,
336,40,WM Supercenter,101,,
327,42,WM Supercenter,102,,
351,44,WM Supercenter,103,1,
146,11,WM Supercenter,104,1,
4,11,WM Supercenter,105,,
146,11,WM Supercenter,106,,
146,11,WM Supercenter,107,,
344,44,WM Supercenter,108,1,
360,40,WM Supercenter,109,,
89,3,WM Supercenter,110,1,
410,44,WM Supercenter,111,,
138,11,WM Supercenter,112,1,
349,44,WM Supercenter,113,,
4,11,WM Supercenter,114,1,
138,11,WM Supercenter,115,,
127,42,Wal-Mart,116,,
47,44,Wal-Mart,117,,
4,11,WM Supercenter,118,,
328,42,WM Supercenter,119,1,
146,11,WM Supercenter,120,,
351,44,WM Supercenter,121,,
335,40,WM Supercenter,122,,
351,44,WM Supercenter,123,1,
324,42,WM Supercenter,124,,1
321,42,WM Supercenter,125,1,1
324,42,WM Supercenter,126,1,
325,42,WM Supercenter,127,,
329,11,WM Supercenter,128,,
350,44,WM Supercenter,129,,
347,44,WM Supercenter,130,1,
47,44,WM Supercenter,131,,
344,44,WM Supercenter,132,,
325,42,WM Supercenter,133,,
344,44,WM Supercenter,134,,
360,40,WM Supercenter,135,1,
345,44,Wal-Mart,136,,
352,44,WM Supercenter,137,1,
357,40,WM Supercenter,138,1,
353,44,WM Supercenter,139,1,
503,13,WM Supercenter,140,1,
321,42,WM Supercenter,141,1,1
253,41,WM Supercenter,143,,
322,42,WM Supercenter,144,,1
339,40,WM Supercenter,145,,
46,13,WM Supercenter,146,,
350,44,WM Supercenter,147,1,1
47,44,WM Supercenter,148,1,1
135,42,WM Supercenter,149,,
344,44,WM Supercenter,150,,
350,44,WM Supercenter,151,1,
335,40,WM Supercenter,152,,
4,11,WM Supercenter,153,,
311,20,WM Supercenter,154,1,
136,11,WM Supercenter,155,,
328,42,WM Supercenter,157,,1
350,44,WM Supercenter,158,,
359,40,WM Supercenter,159,,
328,42,WM Supercenter,160,,
147,11,WM Supercenter,161,,
349,44,WM Supercenter,162,,
503,13,WM Supercenter,163,,
4,11,WM Supercenter,164,,
46,13,WM Supercenter,165,1,
357,40,WM Supercenter,166,1,
327,42,WM Supercenter,167,,
345,44,WM Supercenter,168,1,
326,42,WM Supercenter,169,,
134,13,WM Supercenter,170,,
327,42,WM Supercenter,171,,
340,40,WM Supercenter,172,,
357,40,WM Supercenter,173,,
92,9,WM Supercenter,174,,1
144,11,WM Supercenter,175,1,1
4,11,Wal-Mart,176,,
146,11,WM Supercenter,177,,
344,44,WM Supercenter,178,,
357,40,WM Supercenter,179,,
46,13,WM Supercenter,180,,
47,44,WM Supercenter,181,,
136,11,WM Supercenter,182,,1
138,11,WM Supercenter,183,,
361,40,WM Supercenter,184,1,1
350,44,WM Supercenter,185,,1
409,44,WM Supercenter,186,1,
335,40,WM Supercenter,188,,
359,40,WM Supercenter,189,,
329,11,WM Supercenter,190,1,
153,12,WM Supercenter,192,,
60,6,WM Supercenter,194,1,
360,40,WM Supercenter,195,1,
271,41,WM Supercenter,196,1,
278,25,WM Supercenter,197,1,
272,25,WM Supercenter,198,1,
278,25,WM Supercenter,199,1,
275,25,WM Supercenter,200,1,
341,40,WM Supercenter,201,1,
51,5,WM Supercenter,202,,
359,40,WM Supercenter,203,1,
253,41,WM Supercenter,204,1,
138,11,WM Supercenter,205,,
52,5,WM Supercenter,206,1,
345,44,WM Supercenter,207,,
321,42,Wal-Mart,209,,
351,44,Wal-Mart,210,,
76,5,WM Supercenter,211,,
353,44,WM Supercenter,212,1,
272,25,WM Supercenter,213,,
503,13,WM Supercenter,214,1,
271,41,WM Supercenter,216,1,
53,5,WM Supercenter,217,1,
147,11,WM Supercenter,218,,
336,40,WM Supercenter,219,,1
48,5,WM Supercenter,220,,1
344,44,WM Supercenter,221,,
271,41,WM Supercenter,222,,
272,25,WM Supercenter,224,1,
350,44,WM Supercenter,225,,
47,44,WM Supercenter,226,,
344,44,WM Supercenter,227,,
48,5,WM Supercenter,228,,
329,11,WM Supercenter,229,,
321,42,Wal-Mart,230,,
351,44,WM Supercenter,231,,
350,44,Wal-Mart,232,,
