Store #,First Carrier Assigned,Fulfilment Type, Status,Weeks With Status, Trend,Directional Focus ,Max WM WK ID,OTD* %,OTP* % ,Dwell Time* ,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
1178,,Scheduled Delivery Standard,Executive Review,16,Degrading,Store Focus,202245,84.93%,69.66%,13.91,81.91%,82.25%,85.95%,89.86%
3044,,Scheduled Delivery Standard,Active Monitoring,1,Degrading,Store Focus,202245,68.98%,64.74%,20.27,61.61%,60.87%,73.54%,79.19%
5080,,Scheduled Delivery Express,Active Monitoring,3,Recovering,Store Focus,202245,89.29%,72.30%,15.73,94.69%,92.21%,96.70%,71.08%
5080,,Scheduled Delivery Standard,Active Monitoring,3,Degrading,Store Focus,202245,64.53%,51.19%,21.83,84.34%,51.17%,61.19%,63.67%
5416,,Scheduled Delivery Express,Active Monitoring,3,Recovering,Store Focus,202245,93.25%,71.13%,12.83,97.76%,91.49%,95.80%,86.61%
5416,,Scheduled Delivery Standard,Active Monitoring,1,Degrading,Store Focus,202245,67.43%,65.57%,19.63,81.93%,54.75%,62.69%,68.68%
1117,,Scheduled Delivery Standard,At Risk,4,Degrading,Store Focus,202245,78.47%,73.40%,12.06,83.31%,65.10%,82.33%,84.85%
2918,,Scheduled Delivery Standard,Active Monitoring,1,Degrading,Store Focus,202245,83.51%,76.85%,13.43,86.40%,80.89%,78.88%,87.65%
3406,,Scheduled Delivery Express,Active Monitoring,3,Recovering,Store Focus,202245,84.40%,75.09%,16.3,94.92%,96.49%,91.07%,62.82%
3482,,Scheduled Delivery Express,At Risk,4,Recovering,Store Focus,202245,85.26%,68.93%,15.16,100.00%,96.97%,95.65%,50.00%
5210,,Scheduled Delivery Express,Active Monitoring,3,Recovering,Store Focus,202245,95.08%,75.81%,9.74,98.72%,100.00%,96.39%,84.00%
5673,,Scheduled Delivery Express,Executive Review,17,Recovering,Store Focus,202245,96.51%,84.33%,12.98,100.00%,98.68%,100.00%,87.80%
206,,Scheduled Delivery Standard,Executive Review,14,Degrading,Store Focus,202245,73.23%,70.27%,20.45,84.59%,57.92%,54.40%,86.78%
2427,,Scheduled Delivery Standard,Active Monitoring,1,Recovering,Store Focus,202245,87.29%,86.31%,15.59,94.42%,88.08%,82.29%,83.12%
4627,,Scheduled Delivery Express,Executive Review,15,Recovering,Store Focus,202245,95.12%,62.41%,12.15,96.20%,99.17%,98.15%,86.27%
5707,,Scheduled Delivery Express,At Risk,4,Recovering,Store Focus,202245,94.26%,71.15%,10.04,100.00%,96.97%,95.67%,80.18%
6963,,Scheduled Delivery Standard,Active Monitoring,1,Degrading,Store Focus,202245,82.72%,89.18%,14.04,88.70%,78.10%,77.30%,85.71%
426,,Scheduled Delivery Express,At Risk,4,Recovering,Store Focus,202245,94.68%,65.17%,12.52,96.72%,96.97%,100.00%,78.57%
426,,Scheduled Delivery Standard,Active Monitoring,2,Degrading,Store Focus,202245,84.25%,72.70%,10.7,84.75%,86.50%,79.94%,85.21%
2105,,Scheduled Delivery Express,At Risk,4,Recovering,Store Focus,202245,82.43%,68.36%,15.37,98.44%,98.36%,93.88%,43.08%
2105,,Scheduled Delivery Standard,Active Monitoring,1,Degrading,Store Focus,202245,83.65%,80.83%,16.97,86.73%,83.66%,84.39%,80.00%
2996,,Scheduled Delivery Standard,Active Monitoring,1,Recovering,Store Focus,202245,87.49%,90.45%,13.82,93.54%,88.45%,87.84%,80.38%
5889,,Scheduled Delivery Express,Active Monitoring,3,Recovering,Store Focus,202245,95.08%,82.61%,10.58,95.31%,100.00%,98.15%,88.24%
1118,,Scheduled Delivery Express,At Risk,5,Recovering,Store Focus,202245,87.83%,76.19%,17.43,98.57%,92.92%,96.15%,59.09%
1118,,Scheduled Delivery Standard,Executive Review,14,Degrading,Store Focus,202245,77.45%,79.07%,19.38,84.20%,69.36%,62.66%,88.75%
2667,,Scheduled Delivery Standard,Active Monitoring,1,Degrading,Store Focus,202245,85.71%,94.18%,13.75,87.02%,89.79%,77.25%,87.97%
5191,,Scheduled Delivery Express,At Risk,4,Recovering,Store Focus,202245,93.74%,82.66%,12.42,97.83%,95.61%,98.60%,80.10%
5191,,Scheduled Delivery Standard,Active Monitoring,1,Degrading,Store Focus,202245,85.41%,75.54%,16.89,83.10%,85.62%,89.71%,83.51%
2086,,Scheduled Delivery Express,At Risk,4,Recovering,Store Focus,202245,78.61%,59.47%,12.98,98.08%,95.65%,93.75%,25.58%
2086,,Scheduled Delivery Standard,At Risk,4,Degrading,Store Focus,202245,80.01%,92.25%,14.22,88.16%,75.60%,76.53%,78.64%
7178,,Scheduled Delivery Express,Active Monitoring,3,Recovering,Store Focus,202245,95.91%,79.30%,11.64,100.00%,99.04%,100.00%,85.29%
536,,Scheduled Delivery Express,Active Monitoring,3,Recovering,Store Focus,202245,96.97%,76.47%,13.38,96.88%,100.00%,100.00%,80.00%
536,,Scheduled Delivery Standard,Active Monitoring,1,Recovering,Store Focus,202245,84.84%,61.91%,16.76,91.87%,87.14%,76.64%,80.59%
3381,,Scheduled Delivery Express,Executive Review,9,Recovering,Store Focus,202245,83.02%,74.21%,9.8,96.55%,83.33%,75.00%,75.00%
610,,Scheduled Delivery Express,At Risk,5,Degrading,Store Focus,202245,88.89%,73.86%,14.27,88.46%,94.12%,89.47%,84.21%
939,,Scheduled Delivery Standard,Active Monitoring,1,Degrading,Store Focus,202245,83.54%,81.99%,13.21,88.70%,83.74%,71.66%,88.94%
1254,,Scheduled Delivery Express,Executive Review,16,Recovering,Store Focus,202245,95.97%,74.51%,9.69,100.00%,100.00%,100.00%,76.92%
6929,,Scheduled Delivery Express,At Risk,4,Recovering,Store Focus,202245,97.01%,71.98%,17.02,100.00%,92.86%,96.55%,100.00%
6929,,Scheduled Delivery Standard,Active Monitoring,3,Degrading,Store Focus,202245,72.11%,51.04%,22.82,75.72%,59.17%,74.38%,77.98%
7156,,Scheduled Delivery Express,Executive Review,7,Recovering,Store Focus,202245,94.92%,75.79%,14.27,98.28%,92.16%,100.00%,87.10%
781,,Scheduled Delivery Standard,Executive Review,8,Recovering,Store Focus,202245,90.36%,74.56%,11.01,95.00%,91.07%,77.42%,95.12%
1303,,Scheduled Delivery Express,Active Monitoring,3,Recovering,Store Focus,202245,91.53%,72.80%,13.02,100.00%,97.14%,60.00%,82.76%
1253,,Scheduled Delivery Standard,Executive Review,9,Degrading,Store Focus,202245,72.34%,70.61%,17.82,81.65%,66.01%,65.22%,75.55%
2133,,Scheduled Delivery Standard,Executive Review,10,Degrading,Store Focus,202245,76.10%,65.95%,18.01,77.56%,66.67%,70.53%,89.34%
2991,,Scheduled Delivery Standard,Active Monitoring,3,Degrading,Store Focus,202245,71.29%,60.53%,21.22,73.56%,58.42%,71.02%,83.48%
4130,,Scheduled Delivery Express,At Risk,4,Recovering,Store Focus,202245,89.90%,71.15%,13.89,98.53%,100.00%,97.70%,63.51%
4163,,Scheduled Delivery Standard,Executive Review,7,Recovering,Store Focus,202245,85.71%,92.73%,12.45,93.36%,83.10%,82.64%,83.33%
4219,,Scheduled Delivery Express,Executive Review,17,Degrading,Store Focus,202245,80.49%,73.91%,15.7,83.33%,77.78%,80.00%,80.00%
4219,,Scheduled Delivery Standard,Executive Review,39,Degrading,Store Focus,202245,78.50%,88.64%,11.51,84.81%,75.91%,66.67%,85.11%
4554,,Scheduled Delivery Standard,At Risk,4,Degrading,Store Focus,202245,68.11%,85.82%,14.37,83.76%,58.29%,52.21%,75.44%
5317,,Scheduled Delivery Express,Active Monitoring,3,Recovering,Store Focus,202245,93.15%,74.06%,15.04,100.00%,91.80%,92.98%,88.00%
475,,Scheduled Delivery Express,Active Monitoring,2,Recovering,Store Focus,202245,86.32%,78.21%,13.22,98.39%,90.91%,82.69%,73.85%
475,,Scheduled Delivery Standard,Executive Review,11,Recovering,Store Focus,202245,79.31%,90.09%,16.08,93.34%,78.81%,58.87%,84.72%
1185,,Scheduled Delivery Standard,Executive Review,13,Degrading,Store Focus,202245,75.91%,93.20%,15.36,89.56%,65.18%,65.73%,79.77%
3169,,Scheduled Delivery Standard,Active Monitoring,1,Degrading,Store Focus,202245,79.28%,72.51%,12.12,88.41%,80.81%,64.50%,82.00%
3170,,Scheduled Delivery Express,Active Monitoring,3,Degrading,Store Focus,202245,86.36%,61.43%,13.14,84.21%,92.86%,100.00%,68.75%
3569,,Scheduled Delivery Standard,Active Monitoring,2,Degrading,Store Focus,202245,74.89%,85.91%,14.78,87.72%,70.53%,53.17%,86.59%
5480,,Scheduled Delivery Standard,Active Monitoring,1,Degrading,Store Focus,202245,76.67%,72.21%,17.31,87.56%,62.40%,66.67%,87.47%
940,,Scheduled Delivery Standard,Executive Review,48,Degrading,Store Focus,202245,79.64%,78.80%,14.52,87.55%,81.30%,65.87%,80.92%
972,,Scheduled Delivery Express,At Risk,5,Recovering,Store Focus,202245,93.67%,78.30%,15.76,98.86%,95.18%,93.28%,87.64%
972,,Scheduled Delivery Standard,At Risk,5,Degrading,Store Focus,202245,77.49%,84.47%,17.07,76.61%,79.39%,73.24%,80.29%
4165,,Scheduled Delivery Standard,Active Monitoring,3,Degrading,Store Focus,202245,80.97%,84.91%,12.19,85.68%,81.90%,70.40%,84.46%
5316,,Scheduled Delivery Standard,Active Monitoring,1,Degrading,Store Focus,202245,81.64%,71.75%,20.37,78.69%,81.38%,83.11%,82.92%
5764,,Scheduled Delivery Standard,At Risk,4,Recovering,Store Focus,202245,82.95%,66.72%,14.74,95.00%,80.72%,88.91%,72.69%
259,,Scheduled Delivery Express,At Risk,5,Recovering,Store Focus,202245,93.78%,81.01%,14.96,97.22%,100.00%,94.90%,81.11%
789,,Scheduled Delivery Express,Executive Review,18,Recovering,Store Focus,202245,88.44%,77.47%,15.44,96.92%,99.07%,96.70%,63.93%
1055,,Scheduled Delivery Express,Active Monitoring,2,Recovering,Store Focus,202245,86.03%,71.94%,11.23,96.43%,78.05%,88.24%,76.60%
1055,,Scheduled Delivery Standard,At Risk,4,Degrading,Store Focus,202245,70.36%,77.70%,17.35,84.88%,63.60%,64.12%,64.08%
1800,,Scheduled Delivery Express,Executive Review,9,Recovering,Store Focus,202245,93.11%,67.70%,13.55,100.00%,94.87%,91.67%,87.63%
1800,,Scheduled Delivery Standard,Executive Review,15,Degrading,Store Focus,202245,77.41%,75.72%,18.79,85.46%,69.95%,65.64%,83.63%
3224,,Scheduled Delivery Standard,Active Monitoring,1,Degrading,Store Focus,202245,78.32%,69.46%,18.28,85.67%,73.49%,70.27%,82.34%
5823,,Scheduled Delivery Standard,Active Monitoring,2,Degrading,Store Focus,202245,75.61%,82.13%,22.65,89.74%,71.04%,67.99%,70.56%
8930,,Scheduled Delivery Standard,Executive Review,15,Recovering,Store Focus,202245,84.87%,87.13%,14.28,90.00%,85.26%,78.52%,84.34%
417,,Scheduled Delivery Express,Active Monitoring,2,Degrading,Store Focus,202245,69.77%,77.70%,13.83,73.73%,71.70%,63.22%,68.60%
427,,Scheduled Delivery Express,Active Monitoring,3,Recovering,Store Focus,202245,94.22%,72.89%,14.49,97.06%,96.97%,96.15%,86.15%
468,,Scheduled Delivery Express,Active Monitoring,3,Recovering,Store Focus,202245,90.76%,63.47%,15.52,100.00%,100.00%,95.45%,67.11%
2123,,Scheduled Delivery Express,At Risk,4,Recovering,Store Focus,202245,93.83%,69.65%,14.79,99.09%,100.00%,92.92%,80.25%
2123,,Scheduled Delivery Standard,Active Monitoring,1,Degrading,Store Focus,202245,77.70%,52.65%,17.29,75.65%,77.58%,69.42%,87.77%
392,,Scheduled Delivery Express,Active Monitoring,2,Degrading,Store Focus,202245,79.66%,72.76%,15.35,88.24%,70.97%,72.09%,84.13%
564,,Scheduled Delivery Standard,Active Monitoring,1,Degrading,Store Focus,202245,85.50%,89.51%,14.52,81.93%,85.17%,88.21%,87.33%
168,,Scheduled Delivery Express,At Risk,4,Recovering,Store Focus,202245,100.00%,80.80%,13.12,100.00%,100.00%,100.00%,
576,,Scheduled Delivery Standard,Active Monitoring,2,Recovering,Store Focus,202245,85.22%,81.00%,15.21,93.24%,80.88%,76.37%,89.83%
3055,,Scheduled Delivery Express,Active Monitoring,3,Recovering,Store Focus,202245,92.97%,82.44%,8.83,97.37%,96.77%,97.30%,72.73%
28,,Scheduled Delivery Standard,Active Monitoring,1,Degrading,Store Focus,202245,85.87%,69.74%,14.25,84.57%,88.27%,81.08%,88.07%
113,,Scheduled Delivery Express,Executive Review,9,Recovering,Store Focus,202245,85.96%,84.16%,10.71,93.88%,92.86%,89.74%,65.85%
1116,,Scheduled Delivery Express,Active Monitoring,3,Recovering,Store Focus,202245,94.19%,90.38%,17.13,100.00%,100.00%,100.00%,72.73%
5071,,Scheduled Delivery Express,At Risk,5,Recovering,Store Focus,202245,95.10%,82.98%,12.69,98.99%,98.17%,100.00%,83.17%
129,,Scheduled Delivery Express,Active Monitoring,2,Recovering,Store Focus,202245,90.22%,81.13%,16.45,93.33%,92.31%,0.00%,89.47%
129,,Scheduled Delivery Standard,Active Monitoring,1,Recovering,Store Focus,202245,86.46%,83.55%,10.78,92.56%,87.95%,76.92%,83.90%
185,,Scheduled Delivery Express,Executive Review,21,Recovering,Store Focus,202245,83.02%,82.61%,9.75,100.00%,83.33%,86.67%,61.54%
975,,Scheduled Delivery Express,At Risk,5,Degrading,Store Focus,202245,90.82%,72.47%,12.41,87.72%,92.00%,96.08%,87.76%
975,,Scheduled Delivery Standard,At Risk,4,Recovering,Store Focus,202245,91.40%,80.17%,8.31,93.94%,93.75%,88.24%,81.82%
389,,Scheduled Delivery Standard,At Risk,4,Degrading,Store Focus,202245,89.11%,88.45%,14.36,89.39%,84.53%,91.00%,92.48%
1626,,Scheduled Delivery Standard,Active Monitoring,3,Degrading,Store Focus,202245,75.40%,69.90%,20.15,82.68%,68.74%,74.85%,74.24%
2803,,Scheduled Delivery Express,Active Monitoring,3,Recovering,Store Focus,202245,92.55%,75.62%,13.74,98.04%,95.00%,97.03%,74.24%
2804,,Scheduled Delivery Express,At Risk,5,Recovering,Store Focus,202245,91.50%,76.69%,12.21,99.10%,92.98%,90.16%,78.46%
2804,,Scheduled Delivery Standard,Active Monitoring,1,Degrading,Store Focus,202245,76.24%,75.86%,16.97,89.61%,75.07%,63.33%,73.51%
3430,,Scheduled Delivery Standard,Active Monitoring,1,Degrading,Store Focus,202245,87.35%,77.37%,13.31,87.06%,88.87%,88.53%,85.15%
4241,,Scheduled Delivery Express,Executive Review,9,Recovering,Store Focus,202245,93.89%,78.23%,12.35,100.00%,100.00%,87.50%,85.19%
544,,Scheduled Delivery Standard,Executive Review,17,Degrading,Store Focus,202245,81.42%,81.72%,21,85.45%,80.41%,79.16%,79.91%
743,,Scheduled Delivery Standard,Active Monitoring,2,Degrading,Store Focus,202245,73.26%,71.03%,20.76,89.17%,85.71%,63.80%,47.19%
7326,,Scheduled Delivery Standard,Active Monitoring,1,Degrading,Store Focus,202245,82.91%,78.87%,17.52,82.82%,75.25%,88.29%,86.62%
992,,Scheduled Delivery Express,At Risk,5,Recovering,Store Focus,202245,94.38%,80.95%,12.36,98.29%,98.91%,99.13%,80.58%
3295,,Scheduled Delivery Express,Active Monitoring,3,Recovering,Store Focus,202245,92.54%,84.05%,9.57,100.00%,98.46%,100.00%,72.00%
186,,Scheduled Delivery Express,At Risk,4,Recovering,Store Focus,202245,100.00%,90.63%,11.3,100.00%,100.00%,100.00%,100.00%
1507,,Scheduled Delivery Express,At Risk,4,Recovering,Store Focus,202245,93.48%,75.00%,12.91,100.00%,100.00%,100.00%,62.50%
331,,Scheduled Delivery Express,Active Monitoring,3,Recovering,Store Focus,202245,95.36%,79.84%,13.43,98.06%,100.00%,94.19%,85.48%
384,,Scheduled Delivery Express,At Risk,6,Recovering,Store Focus,202245,94.42%,82.91%,11.3,97.22%,94.74%,92.59%,93.02%
1204,,Scheduled Delivery Standard,Executive Review,18,Recovering,Store Focus,202245,90.34%,85.46%,13.85,93.87%,91.91%,78.50%,96.10%
553,,Scheduled Delivery Express,At Risk,5,Recovering,Store Focus,202245,93.23%,76.24%,14.26,98.63%,98.55%,96.51%,80.49%
553,,Scheduled Delivery Standard,At Risk,5,Recovering,Store Focus,202245,88.24%,81.18%,14.89,92.68%,90.69%,74.32%,93.07%
909,,Scheduled Delivery Express,At Risk,5,Recovering,Store Focus,202245,87.36%,64.20%,13.93,91.38%,94.74%,68.75%,89.62%
909,,Scheduled Delivery Standard,At Risk,5,Degrading,Store Focus,202245,63.67%,67.12%,21.3,62.18%,78.08%,21.15%,82.06%
912,,Scheduled Delivery Standard,At Risk,6,Recovering,Store Focus,202245,78.41%,87.06%,14.85,91.46%,78.46%,69.21%,67.24%
1163,,Scheduled Delivery Express,Active Monitoring,3,Recovering,Store Focus,202245,85.11%,76.24%,12.46,93.58%,95.33%,93.55%,61.54%
1163,,Scheduled Delivery Standard,Active Monitoring,1,Degrading,Store Focus,202245,84.30%,84.87%,12.06,87.17%,80.12%,80.98%,88.34%
2665,,Scheduled Delivery Express,At Risk,5,Recovering,Store Focus,202245,90.75%,76.73%,13.85,100.00%,98.02%,93.88%,73.91%
2665,,Scheduled Delivery Standard,At Risk,5,Recovering,Store Focus,202245,86.55%,79.04%,15.45,94.83%,96.26%,63.09%,88.92%
2706,,Scheduled Delivery Standard,Active Monitoring,1,Degrading,Store Focus,202245,79.36%,81.86%,15.84,83.63%,79.79%,68.21%,83.29%
3167,,Scheduled Delivery Express,Active Monitoring,3,Degrading,Store Focus,202245,37.08%,72.54%,11.49,42.16%,28.86%,32.75%,43.02%
3167,,Scheduled Delivery Standard,At Risk,5,Degrading,Store Focus,202245,69.76%,78.17%,13.2,73.35%,69.84%,58.24%,73.07%
5022,,Scheduled Delivery Standard,At Risk,5,Degrading,Store Focus,202245,50.57%,75.18%,22.46,60.13%,41.15%,54.34%,42.05%
489,,Scheduled Delivery Standard,Active Monitoring,1,Degrading,Store Focus,202245,77.87%,59.83%,19.41,81.79%,74.23%,65.92%,88.03%
541,,Scheduled Delivery Standard,At Risk,5,Degrading,Store Focus,202245,69.25%,57.19%,19.89,75.96%,59.24%,73.46%,69.72%
803,,Scheduled Delivery Express,Executive Review,10,Recovering,Store Focus,202245,94.74%,80.00%,15.63,91.89%,96.55%,93.33%,100.00%
911,,Scheduled Delivery Express,At Risk,5,Recovering,Store Focus,202245,92.52%,76.32%,11.75,98.36%,97.73%,98.95%,79.41%
989,,Scheduled Delivery Standard,Active Monitoring,2,Degrading,Store Focus,202245,54.87%,52.23%,21.66,74.11%,46.28%,43.46%,47.29%
1342,,Scheduled Delivery Express,Active Monitoring,3,Recovering,Store Focus,202245,89.26%,65.29%,15.6,93.94%,95.83%,84.13%,84.54%
1342,,Scheduled Delivery Standard,At Risk,5,Degrading,Store Focus,202245,73.19%,81.35%,19.82,87.62%,66.27%,51.16%,80.55%
1353,,Scheduled Delivery Standard,At Risk,5,Degrading,Store Focus,202245,82.22%,93.67%,14.71,88.64%,81.85%,75.79%,80.07%
4129,,Scheduled Delivery Standard,At Risk,5,Degrading,Store Focus,202245,73.83%,68.95%,22.06,79.47%,53.16%,70.19%,89.57%
485,,Scheduled Delivery Express,At Risk,5,Degrading,Store Focus,202245,76.92%,80.00%,14.41,80.00%,100.00%,90.00%,42.86%
485,,Scheduled Delivery Standard,Executive Review,16,Degrading,Store Focus,202245,75.43%,85.19%,8.58,75.21%,71.58%,68.82%,85.71%
2913,,Scheduled Delivery Standard,At Risk,5,Degrading,Store Focus,202245,75.44%,62.46%,21.36,85.75%,74.48%,71.25%,68.24%
428,,Scheduled Delivery Standard,At Risk,6,Recovering,Store Focus,202245,88.31%,83.66%,12.94,91.96%,82.79%,85.84%,93.07%
532,,Scheduled Delivery Standard,Active Monitoring,1,Degrading,Store Focus,202245,72.47%,71.42%,21.87,88.32%,49.13%,69.10%,76.22%
839,,Scheduled Delivery Standard,Executive Review,12,Degrading,Store Focus,202245,88.00%,86.82%,13.73,89.87%,89.48%,84.62%,87.32%
935,,Scheduled Delivery Standard,Executive Review,8,Degrading,Store Focus,202245,65.93%,61.19%,24.23,76.08%,59.59%,64.13%,60.11%
1102,,Scheduled Delivery Standard,Executive Review,11,Degrading,Store Focus,202245,63.46%,76.72%,22.33,71.56%,54.85%,59.77%,64.71%
1206,,Scheduled Delivery Standard,Executive Review,12,Degrading,Store Focus,202245,77.75%,80.12%,13.56,78.97%,70.45%,80.44%,88.03%
1266,,Scheduled Delivery Express,At Risk,5,Recovering,Store Focus,202245,80.74%,69.20%,14.72,100.00%,100.00%,97.37%,51.58%
1266,,Scheduled Delivery Standard,Executive Review,10,Recovering,Store Focus,202245,72.24%,69.57%,20.38,93.26%,65.30%,63.00%,58.42%
4683,,Scheduled Delivery Standard,At Risk,5,Degrading,Store Focus,202245,73.42%,71.41%,16.06,80.04%,69.19%,61.52%,81.86%
1136,,Scheduled Delivery Express,Active Monitoring,3,Recovering,Store Focus,202245,85.37%,72.49%,14.65,98.06%,98.04%,92.73%,55.13%
1136,,Scheduled Delivery Standard,At Risk,5,Recovering,Store Focus,202245,74.14%,66.26%,17.12,96.97%,65.73%,67.56%,76.25%
2132,,Scheduled Delivery Standard,Executive Review,31,Degrading,Store Focus,202245,80.72%,89.26%,14.91,84.55%,77.44%,75.54%,84.77%
2822,,Scheduled Delivery Standard,At Risk,5,Recovering,Store Focus,202245,88.29%,85.87%,12.68,93.38%,89.94%,88.19%,80.40%
3288,,Scheduled Delivery Express,Active Monitoring,3,Recovering,Store Focus,202245,93.67%,67.98%,15.05,98.86%,95.71%,100.00%,84.29%
3288,,Scheduled Delivery Standard,At Risk,5,Degrading,Store Focus,202245,75.18%,64.84%,18.57,86.91%,75.34%,65.63%,72.88%
5056,,Scheduled Delivery Standard,Executive Review,11,Degrading,Store Focus,202245,77.72%,82.85%,16.9,89.32%,54.26%,76.47%,93.64%
402,,Scheduled Delivery Express,Executive Review,7,Recovering,Store Focus,202245,88.64%,86.46%,12.34,95.24%,93.18%,95.74%,69.77%
543,,Scheduled Delivery Express,At Risk,4,Degrading,Store Focus,202245,81.62%,73.83%,14.66,86.84%,96.88%,100.00%,47.22%
