Market,Store Number,Fashion Op Model Tier,Fashion Coach?,Coach Action,Total TL Headcount,Go-Live Week,Fashion Stocking Team Hours
160,3561,2,YES,MOVE EXISTING,4,WK 37,120
160,5448,2,YES,HIRE,4,WK 37,120
179,1797,3,NO,-,4,WK 37,80
179,1856,1,YES,MOVE EXISTING,4,WK 37,140
179,1919,3,NO,-,3,WK 37,80
179,1924,2,YES,MOVE EXISTING,4,WK 37,120
179,1932,2,YES,MOVE EXISTING,4,WK 37,120
179,1974,3,NO,-,3,WK 37,80
179,2013,2,YES,HIRE,4,WK 37,120
179,2047,2,YES,HIRE,4,WK 37,120
179,2143,3,NO,-,4,WK 37,80
179,2178,3,NO,-,3,WK 37,80
179,5076,2,YES,MOVE EXISTING,4,WK 37,120
180,1866,3,NO,-,4,WK 37,80
180,1868,1,YES,MOVE EXISTING,4,WK 37,140
180,1939,2,YES,MOVE EXISTING,4,WK 37,120
180,2046,2,YES,MOVE EXISTING,4,WK 37,120
180,2140,2,YES,MOVE EXISTING,4,WK 37,120
180,2183,3,NO,-,4,WK 37,80
180,2202,2,YES,MOVE EXISTING,4,WK 37,120
180,2634,3,NO,-,3,WK 37,80
180,2681,3,NO,-,3,WK 37,80
180,3269,3,NO,-,3,WK 37,80
181,1975,2,YES,HIRE,4,WK 37,120
181,2138,2,YES,MOVE EXISTING,4,WK 37,120
181,2224,2,YES,MOVE EXISTING,4,WK 37,120
181,2332,2,YES,HIRE,4,WK 37,120
181,2369,2,YES,HIRE,4,WK 37,120
181,2530,2,YES,HIRE,4,WK 37,120
181,2639,3,NO,-,3,WK 37,80
181,2682,3,NO,-,3,WK 37,80
181,2758,3,NO,-,3,WK 37,80
181,4156,3,NO,-,3,WK 37,80
181,4389,3,NO,-,3,WK 37,80
183,1698,2,YES,HIRE,4,WK 37,120
183,1749,2,YES,MOVE EXISTING,4,WK 37,120
183,1788,1,YES,MOVE EXISTING,4,WK 37,140
183,1954,2,YES,HIRE,4,WK 37,120
183,2055,1,YES,HIRE,4,WK 37,140
183,2130,3,NO,-,3,WK 37,80
183,2153,2,YES,HIRE,4,WK 37,120
183,2330,1,YES,MOVE EXISTING,4,WK 37,140
183,2398,3,NO,-,3,WK 37,80
183,2659,3,NO,-,3,WK 37,80
184,1753,2,YES,HIRE,4,WK 37,120
184,1785,1,YES,MOVE EXISTING,4,WK 37,140
184,1796,1,YES,MOVE EXISTING,4,WK 37,140
184,1907,3,NO,-,4,WK 37,80
184,1930,2,YES,MOVE EXISTING,4,WK 37,120
184,2057,3,NO,-,3,WK 37,80
184,2142,1,YES,MOVE EXISTING,4,WK 37,140
184,2399,2,YES,MOVE EXISTING,4,WK 37,120
184,3491,1,YES,HIRE,4,WK 37,140
184,3549,2,YES,HIRE,4,WK 37,120
188,1940,2,YES,HIRE,4,WK 37,120
188,1997,2,YES,MOVE EXISTING,4,WK 37,120
188,2056,2,YES,HIRE,4,WK 37,120
188,2097,3,NO,-,4,WK 37,80
188,2152,2,YES,MOVE EXISTING,4,WK 37,120
188,2351,2,YES,HIRE,4,WK 37,120
188,2370,2,YES,MOVE EXISTING,4,WK 37,120
188,2504,2,YES,HIRE,4,WK 37,120
188,2844,1,YES,MOVE EXISTING,4,WK 37,140
188,3583,2,YES,MOVE EXISTING,4,WK 37,120
161,1873,2,YES,MOVE EXISTING,4,WK 37,120
161,1964,3,NO,-,4,WK 37,80
161,2225,2,YES,MOVE EXISTING,4,WK 37,120
161,2261,3,NO,-,4,WK 37,80
161,2283,1,YES,MOVE EXISTING,4,WK 37,140
161,2373,2,YES,HIRE,4,WK 37,120
161,2747,2,YES,HIRE,4,WK 37,120
161,2885,3,NO,-,3,WK 37,80
161,3301,1,YES,HIRE,4,WK 37,140
162,1891,1,YES,MOVE EXISTING,4,WK 37,140
162,1980,2,YES,HIRE,4,WK 37,120
162,2022,2,YES,HIRE,4,WK 37,120
162,2170,2,YES,HIRE,4,WK 37,120
162,2200,2,YES,HIRE,4,WK 37,120
162,2282,1,YES,MOVE EXISTING,4,WK 37,140
162,2331,2,YES,MOVE EXISTING,4,WK 37,120
162,2854,2,YES,HIRE,4,WK 37,120
162,2898,3,NO,-,3,WK 37,80
162,5777,3,NO,-,4,WK 37,80
163,2144,2,YES,MOVE EXISTING,4,WK 37,120
163,2299,2,YES,HIRE,4,WK 37,120
163,2371,1,YES,MOVE EXISTING,4,WK 37,140
163,2719,1,YES,HIRE,4,WK 37,140
163,2897,2,YES,HIRE,4,WK 37,120
163,2899,3,NO,-,3,WK 37,80
163,2900,2,YES,HIRE,4,WK 37,120
163,2965,1,YES,HIRE,4,WK 37,140
163,3548,1,YES,MOVE EXISTING,4,WK 37,140
163,5095,1,YES,MOVE EXISTING,4,WK 37,140
164,1810,1,YES,MOVE EXISTING,4,WK 37,140
164,1959,1,YES,MOVE EXISTING,4,WK 37,140
164,2064,1,YES,HIRE,4,WK 37,140
164,2104,1,YES,MOVE EXISTING,4,WK 37,140
164,2531,1,YES,MOVE EXISTING,4,WK 37,140
164,2547,1,YES,HIRE,4,WK 37,140
164,2637,1,YES,MOVE EXISTING,4,WK 37,140
164,2905,1,YES,MOVE EXISTING,4,WK 37,140
164,4570,3,NO,-,3,WK 37,80
171,2156,2,YES,MOVE EXISTING,4,WK 37,120
171,2286,1,YES,MOVE EXISTING,4,WK 37,140
171,2906,1,YES,MOVE EXISTING,4,WK 37,140
171,2915,2,YES,HIRE,4,WK 37,120
171,2917,1,YES,MOVE EXISTING,4,WK 37,140
171,5202,1,YES,MOVE EXISTING,4,WK 37,140
171,8331,1,YES,MOVE EXISTING,4,WK 37,140
172,2583,1,YES,HIRE,4,WK 37,140
172,2916,1,YES,HIRE,4,WK 37,140
172,3420,1,YES,MOVE EXISTING,4,WK 37,140
172,5293,1,YES,MOVE EXISTING,4,WK 37,140
172,5295,1,YES,MOVE EXISTING,4,WK 37,140
173,2163,1,YES,HIRE,4,WK 37,140
173,2232,2,YES,MOVE EXISTING,4,WK 37,120
173,2284,2,YES,MOVE EXISTING,4,WK 37,120
173,2585,1,YES,HIRE,4,WK 37,140
173,2954,1,YES,MOVE EXISTING,4,WK 37,140
173,3543,1,YES,MOVE EXISTING,4,WK 37,140
173,3545,2,YES,HIRE,4,WK 37,120
173,3546,2,YES,HIRE,4,WK 37,120
173,3803,2,YES,MOVE EXISTING,4,WK 37,120
173,5294,2,YES,MOVE EXISTING,4,WK 37,120
173,5439,2,YES,MOVE EXISTING,4,WK 37,120
174,2003,1,YES,MOVE EXISTING,4,WK 37,140
174,2090,2,YES,MOVE EXISTING,4,WK 37,120
174,2294,3,NO,-,4,WK 37,80
174,2365,1,YES,MOVE EXISTING,4,WK 37,140
174,2368,1,YES,MOVE EXISTING,4,WK 37,140
174,2497,2,YES,HIRE,4,WK 37,120
174,2503,3,NO,-,4,WK 37,80
174,2582,3,NO,-,3,WK 37,80
174,2604,2,YES,MOVE EXISTING,4,WK 37,120
174,3291,2,YES,HIRE,4,WK 37,120
175,2633,2,YES,MOVE EXISTING,4,WK 37,120
175,2651,1,YES,MOVE EXISTING,4,WK 37,140
175,2825,1,YES,HIRE,4,WK 37,140
175,3078,2,YES,MOVE EXISTING,4,WK 37,120
175,3469,1,YES,MOVE EXISTING,4,WK 37,140
175,4153,2,YES,HIRE,4,WK 37,120
175,5201,2,YES,MOVE EXISTING,4,WK 37,120
175,5281,1,YES,HIRE,4,WK 37,140
176,3292,1,YES,MOVE EXISTING,4,WK 37,140
176,3598,2,YES,MOVE EXISTING,4,WK 37,120
176,3912,2,YES,HIRE,4,WK 37,120
176,5111,1,YES,HIRE,4,WK 37,140
176,5178,2,YES,MOVE EXISTING,4,WK 37,120
176,5447,1,YES,MOVE EXISTING,4,WK 37,140
176,5867,2,YES,MOVE EXISTING,4,WK 37,120
190,1781,2,YES,MOVE EXISTING,4,WK 37,120
190,1835,1,YES,MOVE EXISTING,4,WK 37,140
190,1976,1,YES,MOVE EXISTING,4,WK 37,140
190,2120,2,YES,HIRE,4,WK 37,120
190,2135,3,NO,-,4,WK 37,80
190,2262,2,YES,MOVE EXISTING,4,WK 37,120
190,2992,2,YES,MOVE EXISTING,4,WK 37,120
190,3221,3,NO,-,4,WK 37,80
190,5240,3,NO,-,4,WK 37,80
190,5732,2,YES,HIRE,4,WK 37,120
226,1623,1,YES,MOVE EXISTING,4,WK 37,140
226,1884,1,YES,MOVE EXISTING,4,WK 37,140
226,1945,3,NO,-,4,WK 37,80
226,2024,2,YES,HIRE,4,WK 37,120
226,2208,2,YES,MOVE EXISTING,4,WK 37,120
226,2480,2,YES,HIRE,4,WK 37,120
226,2543,2,YES,HIRE,4,WK 37,120
226,4276,2,YES,HIRE,4,WK 37,120
296,1191,2,YES,HIRE,4,WK 37,120
296,1287,2,YES,MOVE EXISTING,4,WK 37,120
296,1288,3,NO,-,4,WK 37,80
296,1579,3,NO,-,4,WK 37,80
296,2137,2,YES,MOVE EXISTING,4,WK 37,120
296,2256,2,YES,HIRE,4,WK 37,120
296,2845,3,NO,-,4,WK 37,80
296,3182,3,NO,-,4,WK 37,80
296,3612,2,YES,MOVE EXISTING,4,WK 37,120
296,5346,2,YES,MOVE EXISTING,4,WK 37,120
297,1614,2,YES,MOVE EXISTING,4,WK 37,120
297,1751,3,NO,-,3,WK 37,80
297,1816,3,NO,-,3,WK 37,80
297,1953,3,NO,-,3,WK 37,80
297,2058,2,YES,HIRE,4,WK 37,120
297,4250,2,YES,HIRE,4,WK 37,120
297,4484,2,YES,MOVE EXISTING,4,WK 37,120
297,5118,2,YES,MOVE EXISTING,4,WK 37,120
297,5254,2,YES,MOVE EXISTING,4,WK 37,120
297,5292,2,YES,MOVE EXISTING,4,WK 37,120
299,1237,2,YES,HIRE,4,WK 37,120
299,1321,1,YES,MOVE EXISTING,4,WK 37,140
299,1372,2,YES,MOVE EXISTING,4,WK 37,120
299,1664,1,YES,HIRE,4,WK 37,140
299,2247,2,YES,HIRE,4,WK 37,120
299,2836,2,YES,MOVE EXISTING,4,WK 37,120
299,3889,3,NO,-,4,WK 37,80
299,4458,3,NO,-,4,WK 37,80
299,4499,2,YES,HIRE,4,WK 37,120
299,4564,3,NO,-,4,WK 37,80
299,5046,2,YES,MOVE EXISTING,4,WK 37,120
299,5743,2,YES,HIRE,4,WK 37,120
301,1197,2,YES,MOVE EXISTING,4,WK 37,120
301,1354,2,YES,HIRE,4,WK 37,120
301,1379,2,YES,MOVE EXISTING,4,WK 37,120
301,1502,2,YES,MOVE EXISTING,4,WK 37,120
301,1527,1,YES,MOVE EXISTING,4,WK 37,140
301,1641,2,YES,HIRE,4,WK 37,120
301,1950,3,NO,-,3,WK 37,80
301,2000,2,YES,MOVE EXISTING,4,WK 37,120
301,2730,3,NO,-,3,WK 37,80
301,4459,3,NO,-,3,WK 37,80
301,5851,2,YES,HIRE,4,WK 37,120
302,1236,2,YES,MOVE EXISTING,4,WK 37,120
302,1298,1,YES,MOVE EXISTING,4,WK 37,140
302,1300,2,YES,MOVE EXISTING,4,WK 37,120
302,1355,2,YES,MOVE EXISTING,4,WK 37,120
302,1661,2,YES,HIRE,4,WK 37,120
302,3701,3,NO,-,3,WK 37,80
302,3825,2,YES,HIRE,4,WK 37,120
302,3864,2,YES,MOVE EXISTING,4,WK 37,120
302,7009,3,NO,-,4,WK 37,80
302,7179,2,YES,HIRE,4,WK 37,120
302,7238,3,NO,-,3,WK 37,80
304,948,2,YES,MOVE EXISTING,4,WK 37,120
304,1039,2,YES,MOVE EXISTING,4,WK 37,120
304,1060,2,YES,MOVE EXISTING,4,WK 37,120
304,1064,2,YES,MOVE EXISTING,4,WK 37,120
304,1096,2,YES,HIRE,4,WK 37,120
304,1131,3,NO,-,3,WK 37,80
304,1290,2,YES,HIRE,4,WK 37,120
304,1337,2,YES,HIRE,4,WK 37,120
304,1662,2,YES,MOVE EXISTING,4,WK 37,120
304,4224,2,YES,HIRE,4,WK 37,120
304,4410,2,YES,MOVE EXISTING,4,WK 37,120
305,1034,1,YES,MOVE EXISTING,4,WK 37,140
305,1209,2,YES,MOVE EXISTING,4,WK 37,120
305,1385,2,YES,MOVE EXISTING,4,WK 37,120
305,1464,1,YES,MOVE EXISTING,4,WK 37,140
305,4274,2,YES,MOVE EXISTING,4,WK 37,120
305,4594,3,NO,-,4,WK 37,80
305,5085,2,YES,MOVE EXISTING,4,WK 37,120
305,5298,2,YES,MOVE EXISTING,4,WK 37,120
305,5481,3,NO,-,4,WK 37,80
305,5745,2,YES,MOVE EXISTING,4,WK 37,120
306,1027,2,YES,HIRE,4,WK 37,120
306,1133,2,YES,MOVE EXISTING,4,WK 37,120
306,1156,1,YES,MOVE EXISTING,4,WK 37,140
306,1821,2,YES,HIRE,4,WK 37,120
306,2005,1,YES,MOVE EXISTING,4,WK 37,140
306,2134,2,YES,MOVE EXISTING,4,WK 37,120
306,4574,2,YES,HIRE,4,WK 37,120
306,5747,2,YES,HIRE,4,WK 37,120
306,5879,3,NO,-,4,WK 37,80
308,1322,2,YES,HIRE,4,WK 37,120
308,1552,2,YES,MOVE EXISTING,4,WK 37,120
308,1613,2,YES,HIRE,4,WK 37,120
308,1849,2,YES,MOVE EXISTING,4,WK 37,120
308,2472,2,YES,MOVE EXISTING,4,WK 37,120
308,2793,2,YES,MOVE EXISTING,4,WK 37,120
308,3503,2,YES,MOVE EXISTING,4,WK 37,120
308,3626,2,YES,MOVE EXISTING,4,WK 37,120
308,4477,2,YES,MOVE EXISTING,4,WK 37,120
308,6789,2,YES,HIRE,4,WK 37,120
309,877,1,YES,MOVE EXISTING,4,WK 37,140
309,1010,2,YES,MOVE EXISTING,4,WK 37,120
309,1097,2,YES,MOVE EXISTING,4,WK 37,120
309,1255,2,YES,HIRE,4,WK 37,120
309,1452,3,NO,-,3,WK 37,80
309,1666,2,YES,MOVE EXISTING,4,WK 37,120
309,2908,3,NO,-,3,WK 37,80
309,3371,2,YES,MOVE EXISTING,4,WK 37,120
309,3700,2,YES,HIRE,4,WK 37,120
309,5063,2,YES,MOVE EXISTING,4,WK 37,120
281,1968,2,YES,HIRE,4,WK 37,120
281,2009,3,NO,-,3,WK 37,80
281,2045,2,YES,MOVE EXISTING,4,WK 37,120
281,2577,2,YES,MOVE EXISTING,4,WK 37,120
281,3489,2,YES,HIRE,4,WK 37,120
281,3780,2,YES,MOVE EXISTING,4,WK 37,120
281,5450,2,YES,HIRE,4,WK 37,120
282,1875,1,YES,MOVE EXISTING,4,WK 37,140
282,2279,1,YES,MOVE EXISTING,4,WK 37,140
282,2435,1,YES,MOVE EXISTING,4,WK 37,140
282,3481,2,YES,HIRE,4,WK 37,120
282,3490,2,YES,HIRE,4,WK 37,120
282,5228,2,YES,HIRE,4,WK 37,120
282,5382,2,YES,MOVE EXISTING,4,WK 37,120
287,1525,2,YES,MOVE EXISTING,4,WK 37,120
287,1730,3,NO,-,4,WK 37,80
287,2295,2,YES,MOVE EXISTING,4,WK 37,120
287,2795,3,NO,-,4,WK 37,80
287,3219,2,YES,MOVE EXISTING,4,WK 37,120
287,3869,3,NO,-,3,WK 37,80
287,4191,3,NO,-,3,WK 37,80
287,4350,3,NO,-,3,WK 37,80
287,7032,2,YES,MOVE EXISTING,4,WK 37,120
288,1631,2,YES,MOVE EXISTING,4,WK 37,120
288,1682,2,YES,HIRE,4,WK 37,120
288,1687,2,YES,MOVE EXISTING,4,WK 37,120
288,1759,2,YES,HIRE,4,WK 37,120
288,1773,2,YES,MOVE EXISTING,4,WK 37,120
288,3214,2,YES,MOVE EXISTING,4,WK 37,120
288,3265,1,YES,HIRE,4,WK 37,140
288,3831,2,YES,MOVE EXISTING,4,WK 37,120
288,4623,3,NO,-,3,WK 37,80
289,1688,2,YES,HIRE,4,WK 37,120
289,1811,2,YES,MOVE EXISTING,4,WK 37,120
289,1841,1,YES,MOVE EXISTING,4,WK 37,140
289,2529,2,YES,MOVE EXISTING,4,WK 37,120
289,3216,2,YES,MOVE EXISTING,4,WK 37,120
289,3644,3,NO,-,4,WK 37,80
289,4064,2,YES,HIRE,4,WK 37,120
289,5253,2,YES,MOVE EXISTING,4,WK 37,120
289,5488,1,YES,MOVE EXISTING,4,WK 37,140
289,5922,3,NO,-,4,WK 37,80
290,1424,1,YES,MOVE EXISTING,4,WK 37,140
290,1523,2,YES,MOVE EXISTING,4,WK 37,120
290,1524,2,YES,MOVE EXISTING,4,WK 37,120
290,1969,2,YES,MOVE EXISTING,4,WK 37,120
290,2160,3,NO,-,4,WK 37,80
290,2808,2,YES,MOVE EXISTING,4,WK 37,120
290,2821,2,YES,MOVE EXISTING,4,WK 37,120
290,4476,2,YES,HIRE,4,WK 37,120
290,5847,3,NO,-,4,WK 37,80
291,1833,2,YES,MOVE EXISTING,4,WK 37,120
291,1852,1,YES,MOVE EXISTING,4,WK 37,140
291,2136,2,YES,MOVE EXISTING,4,WK 37,120
291,2438,2,YES,MOVE EXISTING,4,WK 37,120
291,2520,3,NO,-,4,WK 37,80
291,3588,2,YES,HIRE,4,WK 37,120
291,4258,3,NO,-,4,WK 37,80
291,4638,3,NO,-,4,WK 37,80
291,5343,1,YES,MOVE EXISTING,4,WK 37,140
291,5731,3,NO,-,4,WK 37,80
293,1867,2,YES,MOVE EXISTING,4,WK 37,120
293,2248,1,YES,MOVE EXISTING,4,WK 37,140
293,2412,2,YES,MOVE EXISTING,4,WK 37,120
293,2436,2,YES,HIRE,4,WK 37,120
293,2850,3,NO,-,4,WK 37,80
293,3720,1,YES,MOVE EXISTING,4,WK 37,140
293,3804,2,YES,MOVE EXISTING,4,WK 37,120
312,1243,2,YES,MOVE EXISTING,4,WK 37,120
312,1292,2,YES,MOVE EXISTING,4,WK 37,120
312,1301,2,YES,MOVE EXISTING,4,WK 37,120
312,1309,2,YES,HIRE,4,WK 37,120
312,1652,3,NO,-,4,WK 37,80
312,2312,2,YES,MOVE EXISTING,4,WK 37,120
312,2337,3,NO,-,4,WK 37,80
312,2762,3,NO,-,4,WK 37,80
312,3243,2,YES,MOVE EXISTING,4,WK 37,120
312,3770,3,NO,-,3,WK 37,80
314,1345,2,YES,MOVE EXISTING,4,WK 37,120
314,1399,3,NO,-,4,WK 37,80
314,1465,1,YES,MOVE EXISTING,4,WK 37,140
314,1486,2,YES,MOVE EXISTING,4,WK 37,120
314,1934,2,YES,HIRE,4,WK 37,120
314,2645,3,NO,-,3,WK 37,80
314,2705,3,NO,-,4,WK 37,80
314,2805,3,NO,-,3,WK 37,80
314,3768,3,NO,-,4,WK 37,80
314,4636,3,NO,-,3,WK 37,80
508,1716,2,YES,MOVE EXISTING,4,WK 37,120
508,1717,1,YES,MOVE EXISTING,4,WK 37,140
508,1893,1,YES,MOVE EXISTING,4,WK 37,140
508,1981,2,YES,HIRE,4,WK 37,120
508,2799,1,YES,HIRE,4,WK 37,140
508,2853,1,YES,MOVE EXISTING,4,WK 37,140
508,5345,3,NO,-,3,WK 37,80
508,5779,3,NO,-,4,WK 37,80
189,1677,2,YES,MOVE EXISTING,4,WK 37,120
189,1806,2,YES,MOVE EXISTING,4,WK 37,120
189,2093,2,YES,MOVE EXISTING,4,WK 37,120
189,2146,2,YES,MOVE EXISTING,4,WK 37,120
189,2234,2,YES,MOVE EXISTING,4,WK 37,120
189,2264,2,YES,MOVE EXISTING,4,WK 37,120
189,2285,1,YES,HIRE,4,WK 37,140
189,2444,2,YES,MOVE EXISTING,4,WK 37,120
189,2874,2,YES,MOVE EXISTING,4,WK 37,120
191,1705,3,NO,-,4,WK 37,80
191,1830,2,YES,MOVE EXISTING,4,WK 37,120
191,1831,2,YES,MOVE EXISTING,4,WK 37,120
191,1926,3,NO,-,4,WK 37,80
