Store #, Market #,Store Type, Volume Classification
292,87,SUP,Low
293,85,W/M,Low
294,253,SUP,Low
295,340,SUP,Medium
296,325,SUP,Low
297,59,SUP,Medium
298,3,SUP,Medium
299,254,SUP,Medium
300,3,SUP,Medium
301,3,SUP,Medium
302,271,SUP,Low
303,4,SUP,Low
304,149,SUP,Medium
305,138,SUP,Low
306,5,SUP,Medium
307,135,SUP,Medium
308,151,SUP,Medium
309,132,SUP,Low
310,132,SUP,Low
311,129,W/M,Low
312,134,SUP,Low
313,340,SUP,Medium
314,5,SUP,Low
315,3,SUP,Low
316,3,SUP,Medium
317,272,SUP,Low
318,325,SUP,Low
319,361,SUP,Medium
321,85,SUP,Low
322,85,SUP,Medium
323,127,SUP,Low
324,356,SUP,Low
325,360,SUP,Low
328,341,SUP,Low
329,10,SUP,Medium
330,84,SUP,Medium
331,66,SUP,Medium
332,5,SUP,Medium
333,254,SUP,Low
334,275,SUP,Low
335,146,SUP,Medium
336,325,SUP,Low
337,335,SUP,Low
338,334,SUP,Low
340,351,SUP,Low
342,411,,Low
343,275,SUP,Low
344,65,SUP,Low
345,46,SUP,Low
346,409,SUP,Low
347,136,SUP,Low
348,327,SUP,Low
350,433,SUP,Low
351,68,SUP,Medium
353,48,SUP,Low
354,336,,Low
355,10,SUP,Medium
356,10,SUP,Medium
357,336,,Low
358,321,SUP,Low
359,322,SUP,High
360,352,SUP,Low
361,341,SUP,Medium
362,11,SUP,Low
363,359,SUP,Low
364,503,SUP,Low
365,140,SUP,Medium
366,121,SUP,Medium
368,410,SUP,Low
369,406,SUP,Low
370,406,,Low
371,48,SUP,Low
372,406,SUP,Low
373,322,SUP,Medium
374,347,SUP,Low
375,5,SUP,Medium
376,127,SUP,Medium
377,516,WNM,Low
378,411,SUP,Low
379,333,SUP,Medium
381,81,SUP,Medium
382,410,SUP,Low
383,66,SUP,Medium
384,66,SUP,Medium
386,132,SUP,Low
387,352,,Low
388,321,SUP,Medium
389,352,SUP,Medium
390,149,SUP,Low
391,4,SUP,Low
392,344,SUP,Low
393,147,SUP,Medium
394,137,SUP,Low
395,80,SUP,Medium
396,39,SUP,Medium
397,80,SUP,Medium
398,46,SUP,Medium
399,46,SUP,Medium
400,68,SUP,Medium
401,131,SUP,Low
402,132,SUP,Medium
403,137,SUP,Low
404,87,SUP,Medium
405,134,SUP,Low
406,151,SUP,Medium
407,81,SUP,Medium
408,66,SUP,Medium
409,137,SUP,Low
410,146,SUP,Low
412,45,SUP,Low
413,569,SUP,Low
414,349,SUP,Medium
415,132,SUP,High
416,151,SUP,Medium
417,47,SUP,Low
418,407,,Low
419,406,,Low
420,349,SUP,Medium
421,479,SUP,Low
422,273,SUP,Low
423,13,SUP,Medium
424,8,SUP,Low
425,11,SUP,Low
426,53,SUP,Medium
427,47,SUP,Low
428,130,SUP,Low
429,80,SUP,Medium
430,253,SUP,Low
431,253,SUP,Medium
432,10,SUP,Medium
433,5,SUP,Medium
434,5,SUP,Medium
435,272,SUP,Low
436,272,SUP,Low
437,84,SUP,Low
438,74,SUP,Low
440,78,SUP,Low
442,78,SUP,Low
443,88,SUP,Low
444,333,SUP,Medium
445,256,SUP,Low
447,88,SUP,Low
448,127,SUP,Medium
449,66,SUP,Medium
450,127,SUP,Medium
451,359,SUP,Medium
452,80,SUP,Medium
454,272,SUP,Low
456,569,SUP,Medium
457,66,SUP,Medium
458,78,SUP,Low
459,25,SUP,Medium
461,88,SUP,Low
462,61,SUP,Medium
463,84,SUP,Low
464,78,SUP,Medium
465,77,SUP,Low
466,147,SUP,Low
467,52,SUP,Medium
468,47,SUP,Medium
469,66,SUP,Medium
470,78,SUP,Medium
471,49,SUP,Medium
472,356,SUP,Medium
475,83,SUP,Medium
476,81,SUP,Low
477,119,SUP,Medium
479,349,SUP,Low
481,273,SUP,Low
482,61,W/M,Low
483,8,SUP,Medium
484,411,SUP,Medium
485,129,SUP,Low
486,362,SUP,Medium
488,97,SUP,Low
489,128,SUP,Medium
490,78,SUP,Medium
491,253,SUP,Medium
492,580,SUP,Medium
493,259,SUP,Low
494,16,SUP,Medium
495,138,SUP,Low
497,242,SUP,Low
498,134,SUP,Low
499,344,SUP,Medium
500,505,SUP,Medium
501,141,SUP,Low
502,129,SUP,Low
504,61,SUP,Low
505,134,SUP,Low
506,272,SUP,Low
507,260,SUP,Low
508,506,SUP,Low
510,21,SUP,Medium
511,38,SUP,Medium
512,505,SUP,Medium
513,73,SUP,Low
514,39,SUP,Medium
515,18,SUP,Low
516,45,SUP,Low
517,353,SUP,Medium
518,24,SUP,Medium
519,260,SUP,Low
520,21,SUP,Medium
521,66,SUP,Medium
522,60,SUP,Medium
523,46,SUP,Low
524,84,SUP,Low
525,549,WNM,Medium
526,242,SUP,Medium
527,61,SUP,Low
528,115,SUP,Medium
529,61,SUP,Medium
530,327,SUP,Low
531,132,SUP,Medium
532,130,SUP,Medium
533,132,SUP,Medium
535,74,SUP,Medium
536,74,SUP,Medium
537,73,SUP,Medium
538,93,SUP,Medium
539,134,SUP,Medium
540,129,SUP,Low
541,128,SUP,Medium
542,129,SUP,Medium
543,132,SUP,Medium
544,353,SUP,Medium
546,62,SUP,Medium
547,114,SUP,Medium
548,25,SUP,Medium
549,71,SUP,Low
550,273,SUP,Medium
551,93,SUP,Medium
552,258,W/M,Low
553,125,SUP,Medium
554,88,W/M,Low
555,32,SUP,Low
556,28,SUP,Low
557,407,SUP,Low
558,407,SUP,Low
559,418,SUP,Low
560,360,SUP,Medium
561,76,SUP,Low
562,2,SUP,Medium
563,94,SUP,Medium
564,344,SUP,Medium
565,55,SUP,Low
566,580,SUP,Medium
567,85,W/M,Low
568,152,SUP,Low
569,257,SUP,Low
571,260,SUP,Medium
572,46,SUP,Medium
573,361,SUP,Medium
574,37,SUP,Medium
575,26,SUP,Medium
576,345,SUP,Medium
577,362,SUP,Medium
578,123,SUP,Medium
579,94,SUP,Medium
580,116,SUP,Medium
581,414,SUP,Low
582,94,SUP,Medium
583,121,SUP,Low
584,260,SUP,Low
585,42,SUP,Medium
586,37,SUP,Medium
587,121,SUP,Low
588,27,SUP,Medium
589,256,SUP,Medium
590,48,SUP,Medium
591,259,SUP,Low
592,406,SUP,Medium
593,28,SUP,Low
594,19,SUP,Medium
595,569,SUP,Medium
596,271,W/M,Low
598,429,SUP,Low
599,124,SUP,Medium
600,70,SUP,Low
601,74,SUP,Low
602,68,SUP,Medium
603,278,SUP,Medium
604,7,SUP,Medium
605,29,SUP,Medium
606,29,W/M,Medium
608,73,SUP,Medium
609,275,SUP,Low
610,76,SUP,Low
611,387,SUP,Low
612,273,SUP,Low
613,94,SUP,Medium
614,16,SUP,Medium
615,22,SUP,Medium
616,41,SUP,Medium
618,26,SUP,Medium
619,119,SUP,Low
620,124,SUP,Medium
621,38,SUP,Low
622,344,SUP,High
623,118,SUP,Medium
624,39,SUP,Low
625,36,SUP,Low
627,38,SUP,Low
628,33,SUP,Medium
629,39,SUP,Low
630,38,SUP,Medium
631,35,SUP,Medium
632,36,SUP,Medium
633,279,SUP,Low
634,38,SUP,Medium
635,29,SUP,Medium
636,279,SUP,Low
637,429,SUP,Low
638,42,SUP,Low
639,28,SUP,Medium
640,35,SUP,Medium
641,35,SUP,High
642,38,SUP,Low
643,37,SUP,Medium
644,39,SUP,Medium
645,433,SUP,Low
646,415,,Low
647,414,SUP,Low
648,339,SUP,High
649,92,SUP,Medium
651,66,SUP,Medium
652,406,SUP,Low
653,253,SUP,Medium
655,253,SUP,Medium
656,151,SUP,Low
657,121,SUP,Medium
658,120,SUP,Medium
659,153,SUP,Medium
660,137,SUP,Medium
661,137,SUP,Medium
662,137,SUP,Medium
663,119,SUP,Medium
664,406,SUP,Low
665,257,SUP,Low
666,116,SUP,Medium
667,151,SUP,Medium
668,151,SUP,Low
669,120,SUP,Medium
670,2,SUP,Medium
671,152,SUP,Medium
672,122,SUP,Medium
673,149,SUP,Medium
674,152,SUP,High
675,146,SUP,Low
676,121,SUP,Medium
677,146,SUP,Low
678,123,SUP,Medium
680,123,SUP,Medium
681,5,SUP,Medium
682,151,SUP,Medium
683,147,SUP,Low
684,147,SUP,Low
685,123,SUP,Medium
686,28,SUP,Low
687,121,SUP,Medium
688,153,SUP,Medium
689,257,SUP,Medium
690,124,SUP,Medium
691,3,SUP,Medium
692,260,SUP,Medium
694,254,SUP,Medium
695,152,SUP,Medium
696,258,W/M,Low
697,93,SUP,Medium
698,119,SUP,High
699,136,SUP,Low
700,8,SUP,Low
701,254,SUP,Medium
702,259,SUP,Low
703,67,SUP,Medium
705,89,SUP,Medium
706,89,SUP,Medium
707,136,SUP,Low
708,140,SUP,Low
709,256,SUP,Medium
710,152,SUP,Medium
711,257,SUP,Medium
712,5,SUP,Low
713,89,W/M,Low
714,327,SUP,Low
715,11,SUP,Medium
716,136,SUP,Low
718,116,SUP,Medium
719,257,SUP,Medium
720,260,SUP,Medium
721,118,SUP,Medium
722,22,SUP,Medium
723,7,SUP,Low
724,123,SUP,Medium
725,116,SUP,Medium
726,10,SUP,Low
727,22,SUP,Low
728,29,SUP,Low
729,256,SUP,Medium
730,10,SUP,Low
731,11,SUP,Low
733,10,SUP,Medium
734,7,SUP,Medium
735,151,SUP,Low
736,253,SUP,Low
737,151,SUP,Low
738,147,SUP,Low
739,258,SUP,Low
740,7,SUP,Medium
741,121,SUP,Medium
742,124,SUP,Medium
743,353,SUP,Medium
744,59,SUP,Medium
745,19,SUP,Medium
746,76,SUP,Medium
748,414,SUP,Low
749,414,SUP,Low
750,415,SUP,Low
751,413,SUP,Low
752,63,SUP,Medium
753,415,SUP,Medium
754,30,SUP,Medium
755,70,SUP,Medium
756,120,SUP,Low
757,77,SUP,Low
758,32,SUP,Low
759,116,SUP,Low
761,129,SUP,Medium
762,2,SUP,Medium
764,11,SUP,Medium
765,87,SUP,Medium
766,137,SUP,Medium
767,101,SUP,Medium
768,65,SUP,Medium
769,115,SUP,Medium
770,406,SUP,Low
771,92,SUP,High
772,64,SUP,Medium
773,134,SUP,Low
774,433,SUP,Low
775,279,SUP,Low
776,433,SUP,Low
777,66,SUP,Medium
778,118,SUP,Medium
779,114,SUP,High
780,21,SUP,Medium
781,81,SUP,Low
782,88,SUP,Low
783,359,W/M,Low
784,418,SUP,Low
785,141,SUP,Low
786,264,SUP,Low
787,19,SUP,High
788,328,SUP,Low
789,583,SUP,Medium
790,406,SUP,Low
791,78,SUP,Low
793,70,SUP,Low
794,409,SUP,Low
795,33,SUP,Low
796,279,SUP,Medium
797,418,SUP,Low
798,273,SUP,Low
799,406,SUP,Low
800,89,SUP,Medium
801,360,SUP,Low
802,263,SUP,Low
803,128,SUP,Low
804,48,SUP,Low
805,340,SUP,Medium
806,387,SUP,Medium
807,50,SUP,High
808,61,SUP,Medium
809,10,SUP,Medium
810,426,SUP,Low
811,118,SUP,Low
812,70,SUP,Low
813,81,SUP,Low
814,107,SUP,Low
815,336,SUP,Low
816,141,SUP,Low
817,90,SUP,Medium
818,15,SUP,Medium
819,105,SUP,High
820,359,SUP,Low
821,71,SUP,Low
822,70,SUP,Medium
823,345,SUP,Low
824,385,SUP,Medium
825,257,SUP,Low
826,375,SUP,Low
827,45,SUP,Low
828,251,SUP,Medium
829,385,W/M,Medium
830,279,W/M,Low
833,271,SUP,Low
834,360,,Low
835,385,SUP,Medium
836,28,SUP,Low
837,333,SUP,Low
838,345,SUP,Medium
839,130,SUP,Medium
840,546,WNM,Low
842,389,SUP,Medium
843,27,SUP,Low
844,262,SUP,Low
846,85,SUP,Low
847,438,SUP,Low
848,144,SUP,Medium
849,59,SUP,High
850,385,SUP,Medium
851,387,SUP,Low
852,262,SUP,Low
853,1,SUP,Medium
854,246,SUP,Low
855,20,SUP,Medium
856,22,SUP,Medium
857,94,SUP,Medium
858,97,SUP,Low
859,116,SUP,Medium
860,94,SUP,Medium
861,71,SUP,Medium
862,28,SUP,Low
863,10,SUP,Low
864,28,SUP,Low
865,87,SUP,Medium
866,1,SUP,Medium
867,429,SUP,Low
868,387,SUP,Low
869,375,SUP,Low
870,580,SUP,Low
872,62,SUP,Medium
873,375,W/M,Low
874,141,SUP,Low
875,140,SUP,Medium
876,127,SUP,Low
877,309,SUP,Medium
878,24,SUP,Medium
879,152,SUP,Low
880,50,SUP,Medium
881,41,SUP,Medium
882,425,SUP,Low
884,249,SUP,Low
885,433,,Low
886,426,SUP,Low
887,141,SUP,Low
888,334,,Low
889,27,SUP,Low
890,91,SUP,Medium
891,279,SUP,Medium
892,414,SUP,Medium
894,356,SUP,Medium
895,336,W/M,Low
896,49,SUP,Medium
897,73,SUP,Low
899,27,SUP,Medium
900,70,SUP,Low
901,77,SUP,Low
902,251,SUP,Low
903,140,SUP,Medium
904,1,SUP,Medium
905,379,SUP,Medium
906,384,SUP,Low
907,32,SUP,Low
908,90,SUP,High
909,125,SUP,Medium
910,442,SUP,Medium
911,128,SUP,Medium
912,125,SUP,Medium
913,425,SUP,Low
914,322,SUP,Low
915,62,SUP,Medium
916,141,SUP,Medium
917,81,SUP,Low
918,46,SUP,Low
919,15,SUP,Medium
920,546,WNM,Low
921,388,SUP,Low
922,243,SUP,Low
923,482,SUP,High
924,378,SUP,Low
925,112,W/M,Medium
927,71,SUP,Low
928,98,SUP,Medium
929,107,SUP,Medium
930,8,SUP,Medium
931,92,SUP,Medium
932,16,SUP,Medium
933,263,SUP,Low
934,1,SUP,Medium
935,130,SUP,Medium
936,272,SUP,Low
937,26,SUP,Medium
938,8,SUP,Medium
939,76,SUP,Medium
940,479,SUP,Medium
941,114,SUP,Medium
942,89,SUP,Medium
943,91,SUP,High
944,15,SUP,Medium
945,71,SUP,Medium
947,350,SUP,Medium
948,304,SUP,Medium
950,145,SUP,Medium
952,27,SUP,Low
953,378,SUP,Medium
954,141,SUP,Low
955,91,SUP,High
956,92,W/M,Medium
957,279,W/M,Low
958,263,SUP,Low
959,95,SUP,Low
960,93,SUP,Medium
961,129,SUP,Low
962,389,SUP,Low
963,48,SUP,Medium
964,505,SUP,Medium
965,438,SUP,Low
966,375,SUP,Low
967,104,SUP,Medium
968,116,SUP,High
969,143,SUP,Medium
970,143,SUP,Medium
971,438,SUP,Low
972,479,SUP,Medium
973,92,SUP,Medium
974,92,SUP,High
975,350,SUP,Low
976,135,SUP,Low
977,98,W/M,Low
978,406,SUP,Low
979,438,SUP,Low
980,378,SUP,Medium
981,138,SUP,Medium
982,425,SUP,Low
984,376,SUP,Medium
985,418,SUP,Low
986,388,W/M,Low
987,105,SUP,Medium
988,104,SUP,Medium
989,128,SUP,Medium
990,14,SUP,Medium
991,1,SUP,Medium
992,356,SUP,Medium
993,407,SUP,Low
994,104,SUP,Medium
995,251,SUP,Medium
998,485,WNM,Medium
999,86,SUP,Medium
1000,569,SUP,Medium
1001,389,SUP,Medium
1002,580,SUP,Low
1003,262,SUP,Low
1004,115,SUP,Medium
1005,426,SUP,Low
1006,27,SUP,Low
1007,438,SUP,Low
1008,378,SUP,Medium
1009,333,SUP,Medium
1010,309,SUP,Medium
1011,29,SUP,Medium
1012,444,SUP,Low
1013,251,W/M,Low
1014,361,SUP,Medium
1015,505,SUP,Medium
1016,129,SUP,Medium
1017,36,SUP,Medium
1018,28,SUP,Low
1019,389,SUP,Low
1020,425,SUP,Low
1021,339,SUP,Low
1022,45,SUP,Medium
1023,311,SUP,Low
1024,30,SUP,Low
1025,141,SUP,Low
1026,580,SUP,Low
1027,306,SUP,Medium
1028,278,SUP,Medium
1029,95,SUP,Medium
1030,42,SUP,Medium
1032,15,SUP,Medium
1033,243,SUP,Medium
1034,305,SUP,Medium
1035,42,SUP,Medium
1036,294,SUP,Medium
1037,33,SUP,Medium
1038,425,SUP,Low
1039,304,SUP,Medium
1040,65,SUP,High
1041,569,SUP,Medium
1042,85,SUP,Low
1043,350,SUP,Low
1044,45,SUP,Medium
1045,379,SUP,Medium
1047,20,SUP,Medium
1048,257,SUP,Low
1051,71,SUP,Low
1052,11,SUP,Low
1053,242,SUP,Medium
1054,411,SUP,Low
1055,583,SUP,Medium
1056,353,SUP,Medium
1057,10,SUP,Low
1058,388,SUP,Low
1059,138,,Low
1060,304,SUP,Medium
1061,28,SUP,Low
1062,63,SUP,High
1063,7,W/M,Low
1064,304,SUP,Medium
1065,325,SUP,Low
1066,143,SUP,Low
1068,92,SUP,Medium
1069,138,SUP,Low
1070,18,SUP,Low
1071,341,SUP,Medium
1072,27,SUP,Low
1073,81,SUP,Low
1074,136,SUP,Low
1075,149,SUP,Medium
1076,32,SUP,Medium
1077,97,SUP,Medium
1079,94,SUP,Medium
1080,124,SUP,Medium
1081,93,SUP,Medium
1082,98,SUP,High
1083,101,SUP,Medium
1084,91,W/M,Medium
1085,104,SUP,High
1086,90,SUP,Medium
1087,107,SUP,Medium
1088,143,SUP,Medium
1089,120,SUP,Low
1090,101,SUP,Medium
1091,7,SUP,Low
1093,273,SUP,Low
1094,361,SUP,Medium
1095,388,W/M,Low
1096,304,SUP,Medium
1097,309,SUP,Medium
1098,84,SUP,Low
1099,409,SUP,Medium
1100,137,SUP,Low
1101,8,SUP,Low
1102,130,SUP,Low
1103,59,SUP,High
1104,95,SUP,Medium
1105,326,SUP,Medium
1106,141,SUP,Low
1107,134,SUP,Low
1108,135,SUP,Low
1109,135,SUP,Low
1110,135,SUP,Low
1111,21,SUP,Low
1112,16,SUP,Low
1113,258,SUP,Medium
1114,328,SUP,Low
1115,147,SUP,Low
1116,349,SUP,Low
1117,51,SUP,Medium
1118,55,SUP,Medium
1119,105,W/M,Medium
1120,360,SUP,Medium
1121,21,SUP,Low
1122,18,SUP,Medium
1123,35,SUP,Medium
1124,137,SUP,Low
1125,278,SUP,Medium
1126,506,SUP,Low
1128,134,SUP,Low
1129,82,SUP,Medium
1130,39,SUP,Low
1131,304,SUP,Low
1132,298,SUP,Medium
1133,306,SUP,Medium
1134,7,SUP,Low
1135,38,SUP,Low
1136,131,SUP,Low
1137,60,SUP,Medium
1138,441,W/M,Medium
1139,259,SUP,Low
1140,259,SUP,Low
1141,249,SUP,Medium
1142,243,SUP,Low
1143,30,SUP,Low
1144,42,SUP,Medium
1146,36,SUP,Medium
1147,328,SUP,Low
1148,349,SUP,Medium
1149,367,SUP,Low
1150,85,SUP,Medium
1151,362,SUP,Medium
1153,32,SUP,Medium
1154,506,SUP,Low
1155,310,SUP,Medium
1156,306,SUP,Medium
1157,243,SUP,Low
1158,2,SUP,Medium
1159,123,W/M,Low
1160,243,SUP,Medium
1161,339,SUP,High
1162,580,SUP,Low
1163,125,SUP,Medium
1164,41,SUP,High
1165,256,SUP,Medium
1166,300,W/M,Low
1167,435,SUP,Medium
1168,141,SUP,Low
1169,127,SUP,Low
1170,256,SUP,Medium
1171,115,SUP,Medium
1172,98,SUP,Medium
1173,98,SUP,Medium
1174,14,SUP,Low
1175,364,W/M,Low
1176,441,SUP,Medium
1177,340,SUP,Medium
1178,50,SUP,Medium
1179,294,SUP,Medium
1180,243,SUP,Low
1181,26,SUP,Medium
1182,94,SUP,Medium
1183,41,SUP,Medium
1184,23,SUP,Medium
1185,83,SUP,Medium
1186,60,SUP,Low
1187,410,W/M,Low
1188,339,SUP,Medium
1190,257,SUP,Medium
1191,296,SUP,Medium
1192,141,SUP,Low
1193,135,SUP,Medium
1194,121,SUP,Medium
1195,143,SUP,Low
1196,131,SUP,Low
1197,301,SUP,Medium
1198,506,SUP,Medium
1199,388,SUP,Low
1200,391,SUP,Medium
1201,3,SUP,Medium
1202,439,SUP,Medium
1203,114,SUP,High
1204,66,SUP,Medium
1205,101,SUP,Low
1206,130,SUP,Medium
1207,15,SUP,Medium
1209,305,SUP,Medium
1210,260,SUP,Medium
1211,270,SUP,Low
1212,1,SUP,Medium
1213,95,SUP,Medium
1214,406,,Low
1215,120,SUP,Medium
1216,53,SUP,Medium
1217,294,SUP,Low
1218,366,SUP,Medium
1219,101,SUP,Medium
1220,90,SUP,Medium
1221,409,SUP,Medium
1222,14,SUP,Medium
1223,97,SUP,Medium
1224,14,SUP,Medium
1225,101,SUP,Medium
1226,149,SUP,Low
1227,30,SUP,Medium
1228,269,SUP,Medium
1229,13,SUP,Medium
1230,364,SUP,Low
1231,379,SUP,Medium
1232,81,SUP,Medium
1233,258,SUP,Low
1234,257,SUP,Low
1235,86,SUP,Low
1236,302,SUP,Medium
1237,299,SUP,Medium
1238,310,SUP,Medium
1239,217,SUP,Medium
1240,367,SUP,Medium
1241,418,SUP,Medium
1242,294,SUP,Medium
1243,312,SUP,Low
1244,35,SUP,Medium
1245,114,SUP,Medium
1247,258,SUP,Low
1248,144,SUP,Medium
1249,74,SUP,Low
1252,380,SUP,Medium
1253,82,SUP,Medium
1254,76,SUP,Low
1255,309,SUP,Low
1256,266,SUP,High
1257,74,SUP,Low
1259,258,SUP,Medium
1260,143,SUP,Low
1261,310,SUP,Medium
1263,254,SUP,Medium
1264,222,SUP,Low
1265,339,SUP,Medium
1266,130,SUP,Medium
1267,441,SUP,Medium
1268,300,SUP,Low
1270,39,SUP,Medium
1271,138,SUP,Low
1272,74,SUP,Low
1273,389,SUP,Medium
1274,441,SUP,Low
1275,482,SUP,Low
1276,444,SUP,Low
1277,438,SUP,Low
1279,59,SUP,Medium
1280,388,SUP,Medium
1281,42,SUP,Medium
1282,407,SUP,Low
1283,93,SUP,Low
1284,16,SUP,Medium
1285,418,SUP,Low
1286,41,SUP,Medium
1287,296,SUP,Medium
1288,296,SUP,Low
1289,221,SUP,Low
1290,304,SUP,Medium
1291,367,SUP,Medium
1292,312,SUP,Medium
1293,30,SUP,Medium
1294,247,SUP,Medium
1295,350,SUP,Low
1296,569,SUP,Medium
1297,93,SUP,Low
1298,302,SUP,Medium
1299,364,SUP,Low
1300,302,SUP,Medium
