Store number,Group
6879,Group C
6887,Group C
6932,Group C
6958,Group C
6964,Group C
7020,Group C
7181,Group C
7188,Group C
7245,Group C
7246,Group C
7247,Group C
7301,Group C
