Location ID#,Year,Wk 21,Wk 22,Wk 23,Wk 24,Wk 25,,,,,,,,
6543,2024,13,14,17,13,17,,,,,,,,
6547,2024,12,13,15,12,14,,,,,,,,
6549,2024,15,15,17,15,16,,,,,,,,
6556,2024,10,10,9,11,10,,,,,,,,
6562,2024,10,11,13,12,10,,,,,,,,
6565,2024,18,16,17,15,18,,,,,,,,
6567,2024,11,12,11,11,12,,,,,,,,
6568,2024,8,7,8,8,6,,,,,,,,
6569,2024,7,7,8,8,9,,,,,,,,
6570,2024,10,11,12,12,12,,,,,,,,
6571,2024,18,15,15,15,13,,,,,,,,
6572,2024,18,19,20,20,20,,,,,,,,
6573,2024,17,15,16,14,17,,,,,,,,
6575,2024,12,11,13,11,13,,,,,,,,
6581,2024,16,18,18,17,19,,,,,,,,
6582,2024,14,12,13,12,13,,,,,,,,
6604,2024,14,15,17,15,15,,,,,,,,
6605,2024,15,15,14,14,14,,,,,,,,
6606,2024,17,17,18,15,18,,,,,,,,
6608,2024,13,14,14,13,13,,,,,,,,
6609,2024,12,12,11,14,11,,,,,,,,
6610,2024,14,14,13,12,13,,,,,,,,
6612,2024,14,15,12,14,13,,,,,,,,
6613,2024,17,17,14,16,14,,,,,,,,
6614,2024,19,20,18,19,21,,,,,,,,
6615,2024,13,17,13,16,16,,,,,,,,
6616,2024,14,17,15,16,15,,,,,,,,
6617,2024,18,22,16,21,21,,,,,,,,
6619,2024,17,20,15,20,19,,,,,,,,
6620,2024,9,9,9,9,10,,,,,,,,
6621,2024,12,13,13,13,12,,,,,,,,
6622,2024,15,16,14,15,15,,,,,,,,
6624,2024,17,17,17,19,18,,,,,,,,
6626,2024,25,24,18,22,25,,,,,,,,
6628,2024,14,14,12,12,14,,,,,,,,
6630,2024,11,10,12,9,10,,,,,,,,
6631,2024,18,17,17,16,18,,,,,,,,
6632,2024,10,9,9,9,9,,,,,,,,
6633,2024,8,9,8,7,9,,,,,,,,
6634,2024,8,9,8,9,7,,,,,,,,
6635,2024,10,8,9,8,9,,,,,,,,
6636,2024,14,15,16,15,15,,,,,,,,
6637,2024,12,14,15,12,15,,,,,,,,
6643,2024,14,14,14,13,14,,,,,,,,
6644,2024,15,17,17,15,16,,,,,,,,
6646,2024,9,9,9,9,9,,,,,,,,
6650,2024,15,15,15,17,15,,,,,,,,
6651,2024,16,16,16,16,16,,,,,,,,
6652,2024,12,14,13,12,13,,,,,,,,
6653,2024,17,16,17,17,18,,,,,,,,
6655,2024,14,13,14,14,13,,,,,,,,
6657,2024,11,10,11,10,11,,,,,,,,
6658,2024,12,12,13,12,11,,,,,,,,
6659,2024,16,17,18,18,17,,,,,,,,
6660,2024,9,10,11,9,10,,,,,,,,
6661,2024,11,11,12,12,10,,,,,,,,
6662,2024,14,14,15,15,14,,,,,,,,
6663,2024,14,14,15,14,13,,,,,,,,
6664,2024,16,16,16,18,17,,,,,,,,
6666,2024,13,15,14,15,15,,,,,,,,
6667,2024,9,9,10,9,9,,,,,,,,
6670,2024,14,14,15,14,14,,,,,,,,
6671,2024,14,16,15,15,16,,,,,,,,
6672,2024,12,11,14,10,13,,,,,,,,
6673,2024,15,14,13,17,15,,,,,,,,
6674,2024,16,17,16,15,18,,,,,,,,
6675,2024,17,16,16,16,19,,,,,,,,
6676,2024,14,14,14,13,15,,,,,,,,
6677,2024,11,11,12,12,11,,,,,,,,
6678,2024,10,11,11,10,11,,,,,,,,
6679,2024,15,14,14,13,16,,,,,,,,
6680,2024,17,13,17,14,17,,,,,,,,
6682,2024,13,13,12,13,12,,,,,,,,
6683,2024,8,9,8,8,9,,,,,,,,
6684,2024,14,12,13,12,13,,,,,,,,
6685,2024,13,12,13,12,13,,,,,,,,
6686,2024,13,12,11,11,11,,,,,,,,
6689,2024,15,14,18,15,17,,,,,,,,
6690,2024,16,14,18,15,17,,,,,,,,
6692,2024,20,20,19,18,19,,,,,,,,
6693,2024,13,15,15,12,14,,,,,,,,
6779,2024,10,10,11,9,12,,,,,,,,
6781,2024,11,12,12,12,10,,,,,,,,
6845,2024,43,46,48,45,48,,,,,,,,
6867,2024,12,13,13,11,15,,,,,,,,
6976,2024,12,12,15,14,14,,,,,,,,
6979,2024,13,13,13,13,12,,,,,,,,
7189,2024,9,11,11,9,11,,,,,,,,
7191,2024,23,22,20,15,20,,,,,,,,
7658,2024,13,13,12,12,10,,,,,,,,
7676,2024,16,16,20,14,18,,,,,,,,
8102,2024,16,17,16,16,17,,,,,,,,
8104,2024,14,14,15,14,14,,,,,,,,
8106,2024,21,23,21,18,20,,,,,,,,
8107,2024,13,11,11,12,11,,,,,,,,
8111,2024,13,13,16,13,15,,,,,,,,
8112,2024,20,22,20,20,20,,,,,,,,
8114,2024,17,20,18,15,19,,,,,,,,
8115,2024,21,18,17,16,16,,,,,,,,
8116,2024,16,16,14,13,16,,,,,,,,
8117,2024,8,9,10,8,11,,,,,,,,
8119,2024,19,19,22,19,19,,,,,,,,
8120,2024,11,14,13,13,13,,,,,,,,
8123,2024,15,18,18,15,17,,,,,,,,
8125,2024,7,10,6,8,8,,,,,,,,
8126,2024,16,19,17,16,19,,,,,,,,
8128,2024,11,9,11,9,10,,,,,,,,
