DC #,Wk14,Wk15,Wk16,Wk17,Wk18,Wk19,Wk20,Wk21,Wk22,Wk23,Wk24,Wk25,Wk26,Wk27,Wk28,Wk29,Wk30,Wk31,Wk32
7015,1306,1306,2272,2550,3011,3082,3139,3797,3950,3281,3129,2564,1619,2732,2150,1918,595,38,0
7016,2479,2479,4597,4660,5072,5022,5352,5793,5509,5373,5278,5123,4451,4114,4122,3999,3504,2049,0
7017,2043,2133,3671,4101,4524,4481,4953,5779,5393,5091,4463,4779,4588,3754,2545,2380,1902,1076,0
7018,2023,2073,4126,4374,5032,5358,5672,5938,5717,5513,5178,5153,4589,4185,3110,2538,2371,2273,0
7019,1378,1346,2960,3050,2699,2815,3194,3170,2950,2808,2814,2728,2717,2447,1746,1493,1318,981,0
7021,2031,2105,3896,4810,4036,5029,5839,6276,5496,5772,5767,5307,4888,4111,3150,2749,3172,2155,0
7023,3167,3255,4001,3559,3768,3863,4111,4476,4344,4227,4688,4130,3996,3490,2455,2577,2420,2150,0
7024,1911,1933,2964,4051,4267,4273,4443,4690,4376,4526,4773,4414,3734,3536,2771,2634,1270,179,0
7030,1580,1577,3430,4225,4340,4475,4669,5372,5562,5718,5596,5230,4512,4257,3193,3280,2876,2407,0
7047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7048,2056,2022,2868,3361,3046,3212,3368,3461,3180,2920,3034,2603,2486,2775,2026,1882,1470,1176,0
7055,2045,2128,2216,2973,3538,3520,3499,3864,4363,3595,3601,3603,3242,2729,2197,2383,1801,1047,0
7077,1189,1226,2408,2585,2777,2885,3272,3248,3156,3144,3419,3174,2261,2396,1870,1567,1496,964,0
7079,1027,968,3371,3331,3730,3751,4305,4640,4425,4318,4302,4163,3533,2776,2142,1741,1491,901,0
7084,2976,1899,3375,3641,3566,3743,3726,4744,4139,3670,4120,3424,3414,4008,2892,1565,1015,378,0
8397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8851,1211,1211,1475,1881,2092,2000,2141,2026,2323,2364,2289,1869,1854,1643,1330,1173,1070,984,0
8852,2389,2350,3233,3024,2857,3007,3092,3995,3682,2974,3314,2663,2786,2997,1850,1541,978,650,0
