Store,E-Stamp State
1148,Yes
1150,Yes
1152,Yes
1153,Yes
1154,Yes
1164,Yes
1169,Yes
1177,Yes
1178,Yes
1183,Yes
1187,Yes
1188,Yes
1193,Yes
1195,Yes
1196,Yes
1197,Yes
1202,Yes
1204,Yes
1206,Yes
1212,Yes
1214,Yes
1221,Yes
1223,Yes
1226,Yes
1236,Yes
1237,Yes
1241,Yes
1254,Yes
1256,No
1263,No
1264,No
1267,Yes
1271,Yes
1274,Yes
1282,Yes
1286,Yes
1296,Yes
1302,Yes
1305,Yes
1307,No
1315,Yes
1316,Yes
1321,Yes
1322,Yes
1326,Yes
1332,Yes
1341,No
1342,Yes
1347,Yes
1354,Yes
1361,Yes
1377,No
1378,No
1382,Yes
1383,Yes
1385,Yes
1388,No
1389,Yes
1392,Yes
1393,Yes
1405,Yes
1407,No
1415,Yes
1425,No
1426,No
1427,No
1429,No
1431,Yes
1433,No
1435,Yes
1437,Yes
1441,No
1446,Yes
1447,Yes
1448,No
1451,No
1454,No
1456,Yes
1460,Yes
1468,Yes
1470,Yes
1471,Yes
1472,Yes
1473,Yes
1475,Yes
1479,No
1483,Yes
1488,Yes
1491,Yes
1494,Yes
1496,Yes
1497,No
1500,Yes
1502,Yes
1504,No
1507,Yes
1509,Yes
1515,Yes
1516,Yes
1520,Yes
1526,Yes
1528,Yes
1530,Yes
1534,Yes
1535,Yes
1538,Yes
1539,No
1542,Yes
1543,Yes
1546,Yes
1548,No
1562,Yes
1564,No
1565,Yes
1566,No
1567,Yes
1570,No
1571,Yes
1572,Yes
1576,No
1577,Yes
1581,Yes
1585,Yes
1592,Yes
1594,No
1602,No
1604,Yes
1606,Yes
1609,Yes
1610,No
1617,Yes
1625,Yes
1632,Yes
1633,Yes
1634,Yes
1636,Yes
1641,Yes
1649,Yes
1654,Yes
1657,Yes
1675,No
1676,No
1678,Yes
1679,Yes
1683,Yes
1685,Yes
1690,No
1695,Yes
1696,Yes
1707,No
1709,No
1713,No
1718,No
1719,Yes
1721,Yes
1722,Yes
1723,Yes
1727,Yes
1730,Yes
1732,Yes
1734,No
1736,No
1738,Yes
1750,No
1752,Yes
1757,Yes
1759,Yes
1762,No
1764,Yes
1771,Yes
1776,Yes
1778,Yes
1786,Yes
1787,Yes
1790,Yes
1798,Yes
1799,Yes
1809,Yes
1812,No
1829,Yes
1855,Yes
1858,Yes
1861,Yes
1865,Yes
1870,No
1871,No
1872,No
1875,Yes
1878,Yes
1890,Yes
1900,Yes
1901,No
1902,Yes
1905,Yes
1909,No
1924,No
1926,No
1929,Yes
1931,Yes
1932,No
1936,Yes
1939,No
1942,Yes
1943,Yes
1953,Yes
1956,No
1962,No
1965,Yes
1969,Yes
1971,Yes
1974,No
1986,No
1987,Yes
1993,No
1995,Yes
1999,Yes
2004,Yes
2007,No
2014,Yes
2033,Yes
2061,Yes
2079,Yes
2084,No
2087,Yes
2092,No
2101,No
2107,No
2114,Yes
2123,Yes
2127,Yes
2132,Yes
2149,No
2164,No
2191,No
2192,Yes
2193,No
2198,Yes
2210,No
2214,Yes
2231,No
2241,No
2247,Yes
2259,No
2269,No
2272,Yes
2273,Yes
2274,Yes
2276,No
2309,No
2322,Yes
2323,No
2338,Yes
2352,Yes
2354,Yes
2358,Yes
2367,Yes
2400,No
2421,Yes
2428,Yes
2429,No
2432,Yes
2443,Yes
2448,Yes
2450,No
2455,No
2460,No
2485,Yes
2491,No
2508,Yes
2514,Yes
2520,Yes
2522,Yes
2532,Yes
2541,No
2542,No
2544,No
2560,Yes
2562,Yes
2575,Yes
2579,Yes
2595,No
2596,No
2607,No
2608,No
2616,Yes
2642,Yes
2643,Yes
2659,No
2668,Yes
2674,Yes
2678,No
2688,Yes
2693,Yes
2705,Yes
2711,No
2714,Yes
2715,Yes
2720,Yes
2728,No
2755,Yes
2764,Yes
2771,No
2772,Yes
2781,Yes
2782,Yes
2784,Yes
2785,No
2805,Yes
2820,Yes
2822,Yes
2827,Yes
2831,Yes
2846,Yes
2847,Yes
2861,Yes
2882,Yes
2889,Yes
2893,Yes
2913,Yes
2914,No
2934,No
2937,Yes
2938,Yes
2939,Yes
2955,Yes
2957,Yes
2958,Yes
2966,No
2986,Yes
2990,Yes
2991,Yes
2992,No
3060,Yes
3088,Yes
3093,Yes
3102,Yes
3118,Yes
3150,Yes
3209,Yes
3217,No
3229,Yes
3233,Yes
3237,Yes
3245,Yes
3252,Yes
3253,Yes
3255,No
3259,No
3260,No
3261,No
3262,No
3267,Yes
3273,Yes
3278,Yes
3283,Yes
3288,Yes
3295,Yes
3298,Yes
3319,Yes
3324,Yes
3329,No
3331,Yes
3336,Yes
3342,No
3362,No
3363,No
3367,Yes
3383,Yes
3394,Yes
3395,Yes
3402,Yes
3454,Yes
3460,No
3483,Yes
3486,No
3488,Yes
3492,Yes
3495,Yes
3497,Yes
3498,Yes
3505,Yes
3510,Yes
3513,Yes
3528,Yes
3531,No
3534,Yes
3572,Yes
3581,No
3585,Yes
3590,Yes
3602,No
3616,Yes
3624,Yes
3632,Yes
3641,No
3643,Yes
3648,Yes
3726,Yes
3734,Yes
3739,Yes
3758,Yes
3760,Yes
3761,Yes
3762,Yes
3783,No
3806,Yes
3809,No
3823,Yes
3825,Yes
3826,Yes
3828,Yes
3837,No
3840,No
3843,Yes
3853,Yes
3857,Yes
3868,Yes
3872,Yes
3875,Yes
3897,Yes
4103,Yes
4115,Yes
4183,Yes
4209,Yes
4231,No
4241,Yes
4243,Yes
4246,Yes
4247,No
4253,Yes
4256,Yes
4281,Yes
4295,Yes
4299,Yes
4321,Yes
4323,No
4350,Yes
4352,Yes
4358,Yes
4359,No
4374,Yes
4394,No
4395,Yes
4412,No
4461,No
4474,No
4477,Yes
4487,Yes
4533,Yes
4568,Yes
4569,Yes
4600,Yes
4611,Yes
4637,Yes
4660,Yes
4664,Yes
4679,Yes
4849,Yes
4865,Yes
5029,No
5039,No
5044,No
5066,No
5104,No
5115,Yes
5116,Yes
5127,Yes
5141,Yes
5157,No
5159,Yes
5167,Yes
5170,Yes
5184,No
5197,Yes
5199,No
5219,Yes
5246,Yes
5251,Yes
5307,Yes
5361,Yes
5373,Yes
5376,Yes
5385,No
5419,Yes
5432,Yes
5441,Yes
5444,Yes
5449,Yes
5460,Yes
5479,Yes
5705,Yes
5728,No
5747,Yes
5748,Yes
5806,Yes
5841,Yes
5898,Yes
5976,Yes
5977,Yes
5987,Yes
5992,Yes
6286,Yes
6300,Yes
6392,Yes
6469,Yes
6878,Yes
6887,Yes
6898,Yes
6929,Yes
6963,Yes
7020,Yes
7129,Yes
7179,Yes
7199,No
7301,Yes
