BU,Region Number,Market Number,Store Number,Item Description,Over Shipped Qty
SOUTHWEST BU,6,85,1150,WAL VEST PETE 2XL WMN BLU,161
SOUTHWEST BU,13,125,1163,WAL VEST PETE XS WMN BLU,69
SOUTHWEST BU,13,125,1163,WAL VEST PETE XL WMN BLU,70
SOUTHWEST BU,13,125,1163,WAL VEST PETE 2XL WMN BLU,71
NORTH BU,40,340,1177,WAL VEST PETE XS WMN BLU,126
NORTH BU,40,340,1177,WAL VEST PETE XL WMN BLU,127
WEST BU,52,426,1332,WAL VEST PETE XS WMN BLU,19
WEST BU,52,426,1332,WAL VEST PETE XL WMN BLU,18
WEST BU,52,426,1332,WAL VEST PETE 2XL WMN BLU,17
NORTH BU,53,441,1396,WAL VEST PETE 2XL WMN BLU,116
NORTH BU,19,204,1422,WAL VEST PETE XS WMN BLU,63
NORTH BU,19,204,1422,WAL VEST PETE XL WMN BLU,64
NORTH BU,19,204,1422,WAL VEST PETE 2XL WMN BLU,62
WEST BU,54,403,1440,WAL VEST PETE XS WMN BLU,112
WEST BU,54,403,1440,WAL VEST PETE 2XL WMN BLU,111
EAST BU,26,309,1452,WAL VEST PETE XS WMN BLU,53
EAST BU,26,309,1452,WAL VEST PETE XS WMN BLU,66
EAST BU,26,309,1452,WAL VEST PETE XL WMN BLU,120
EAST BU,26,309,1452,WAL VEST PETE 2XL WMN BLU,10
EAST BU,26,309,1452,WAL VEST PETE 2XL WMN BLU,111
NORTH BU,41,251,1629,WAL VEST PETE 2XL WMN BLU,24
NORTH BU,41,251,1629,WAL VEST PETE 2XL WMN BLU,141
WEST BU,56,453,1704,WAL VEST PETE XL WMN BLU,41
NORTH BU,19,203,1754,WAL VEST PETE XL WMN BLU,63
NORTH BU,53,441,1799,WAL VEST PETE 2XL WMN BLU,180
EAST BU,22,558,1807,WAL VEST PETE XL WMN BLU,78
WEST BU,57,394,1838,WAL VEST PETE 2XL WMN BLU,100
PR BU,29,811,1854,WAL VEST PETE XL WMN BLU,25
PR BU,29,811,1854,WAL VEST PETE XL WMN BLU,30
NORTH BU,20,215,1894,WAL VEST PETE XL WMN BLU,15
NORTH BU,20,215,1894,WAL VEST PETE XL WMN BLU,52
NORTH BU,20,215,1894,WAL VEST PETE 2XL WMN BLU,68
EAST BU,75,290,1969,WAL VEST PETE 2XL WMN BLU,146
EAST BU,16,154,1984,WAL VEST PETE 2XL WMN BLU,169
EAST BU,16,160,2021,WAL VEST PETE XS WMN BLU,83
EAST BU,16,160,2021,WAL VEST PETE XL WMN BLU,85
EAST BU,16,160,2021,WAL VEST PETE 2XL WMN BLU,84
WEST BU,56,453,2048,WAL VEST PETE XS WMN BLU,53
WEST BU,60,469,2070,WAL VEST PETE 2XL WMN BLU,40
SOUTHEAST BU,3,111,2081,WAL VEST PETE 2XL WMN BLU,150
WEST BU,57,465,2110,WAL VEST PETE XS WMN BLU,8
WEST BU,57,465,2110,WAL VEST PETE XS WMN BLU,35
WEST BU,57,465,2110,WAL VEST PETE XL WMN BLU,42
WEST BU,57,465,2110,WAL VEST PETE 2XL WMN BLU,12
WEST BU,57,465,2110,WAL VEST PETE 2XL WMN BLU,32
EAST BU,16,156,2155,WAL VEST PETE XL WMN BLU,15
EAST BU,16,156,2155,WAL VEST PETE XL WMN BLU,75
EAST BU,22,178,2195,WAL VEST PETE XS WMN BLU,79
EAST BU,22,178,2195,WAL VEST PETE XL WMN BLU,122
EAST BU,22,178,2195,WAL VEST PETE 2XL WMN BLU,124
WEST BU,57,484,2251,WAL VEST PETE XS WMN BLU,46
WEST BU,57,484,2251,WAL VEST PETE XL WMN BLU,13
WEST BU,57,484,2251,WAL VEST PETE XL WMN BLU,34
WEST BU,57,484,2251,WAL VEST PETE 2XL WMN BLU,45
EAST BU,22,285,2272,WAL VEST PETE XS WMN BLU,21
EAST BU,22,285,2272,WAL VEST PETE XS WMN BLU,87
EAST BU,22,285,2272,WAL VEST PETE XL WMN BLU,1
EAST BU,22,285,2272,WAL VEST PETE XL WMN BLU,109
EAST BU,22,285,2272,WAL VEST PETE 2XL WMN BLU,24
EAST BU,22,285,2272,WAL VEST PETE 2XL WMN BLU,85
PR BU,29,811,2302,WAL VEST PETE XS WMN BLU,54
NORTH BU,53,196,2338,WAL VEST PETE 2XL WMN BLU,154
NORTH BU,53,196,2417,WAL VEST PETE 2XL WMN BLU,183
EAST BU,22,285,2460,WAL VEST PETE XL WMN BLU,59
EAST BU,22,285,2460,WAL VEST PETE 2XL WMN BLU,60
EAST BU,22,285,2514,WAL VEST PETE 2XL WMN BLU,133
WEST BU,57,446,2526,WAL VEST PETE 2XL WMN BLU,1
WEST BU,57,446,2526,WAL VEST PETE 2XL WMN BLU,112
EAST BU,16,156,2629,WAL VEST PETE XS WMN BLU,118
EAST BU,16,156,2629,WAL VEST PETE XL WMN BLU,15
EAST BU,16,156,2629,WAL VEST PETE XL WMN BLU,102
EAST BU,76,231,2664,WAL VEST PETE 2XL WMN BLU,162
WEST BU,54,380,2751,WAL VEST PETE XS WMN BLU,49
WEST BU,54,380,2751,WAL VEST PETE XL WMN BLU,50
WEST BU,54,380,2751,WAL VEST PETE 2XL WMN BLU,51
EAST BU,4,42,2806,WAL VEST PETE 2XL WMN BLU,157
EAST BU,16,159,2904,WAL VEST PETE 2XL WMN BLU,145
NORTH BU,53,439,2986,WAL VEST PETE 2XL WMN BLU,114
SOUTHWEST BU,7,83,3169,WAL VEST PETE 2XL WMN BLU,96
WEST BU,47,383,3259,WAL VEST PETE 2XL WMN BLU,34
WEST BU,47,383,3259,WAL VEST PETE 2XL WMN BLU,129
SOUTHWEST BU,44,352,3430,WAL VEST PETE 2XL WMN BLU,147
WEST BU,57,470,3478,WAL VEST PETE XS WMN BLU,48
NORTH BU,53,441,3505,WAL VEST PETE XS WMN BLU,61
WEST BU,56,455,3587,WAL VEST PETE XS WMN BLU,101
WEST BU,56,455,3587,WAL VEST PETE 2XL WMN BLU,102
WEST BU,58,462,3796,WAL VEST PETE 2XL WMN BLU,13
WEST BU,58,462,3796,WAL VEST PETE 2XL WMN BLU,157
NHM BU,59,496,3899,WAL VEST PETE 2XL WMN BLU,30
SOUTHWEST BU,7,77,4103,WAL VEST PETE XL WMN BLU,33
SOUTHWEST BU,7,77,4103,WAL VEST PETE 2XL WMN BLU,34
EAST BU,22,237,4348,WAL VEST PETE 2XL WMN BLU,130
SOUTHWEST BU,6,67,4538,WAL VEST PETE XS WMN BLU,73
SOUTHWEST BU,6,67,4538,WAL VEST PETE XL WMN BLU,72
SOUTHWEST BU,6,67,4538,WAL VEST PETE 2XL WMN BLU,74
NHM BU,64,570,4676,WAL VEST PETE XL WMN BLU,65
NHM BU,64,570,4676,WAL VEST PETE 2XL WMN BLU,66
SOUTHWEST BU,13,125,5022,WAL VEST PETE XS WMN BLU,91
NORTH BU,20,214,5082,WAL VEST PETE XL WMN BLU,15
NORTH BU,20,214,5082,WAL VEST PETE XL WMN BLU,91
NORTH BU,20,214,5082,WAL VEST PETE 2XL WMN BLU,107
SOUTHEAST BU,3,93,5326,WAL VEST PETE XS WMN BLU,56
SOUTHEAST BU,3,93,5326,WAL VEST PETE XL WMN BLU,58
SOUTHEAST BU,3,93,5326,WAL VEST PETE 2XL WMN BLU,57
EAST BU,16,187,5497,WAL VEST PETE 2XL WMN BLU,178
WEST BU,57,465,5807,WAL VEST PETE XL WMN BLU,22
WEST BU,57,465,5807,WAL VEST PETE 2XL WMN BLU,23
SOUTHWEST BU,5,56,6300,WAL VEST PETE XL WMN BLU,35
SOUTHWEST BU,5,56,6300,WAL VEST PETE 2XL WMN BLU,36
EAST BU,75,287,7032,WAL VEST PETE XS WMN BLU,28
EAST BU,75,287,7032,WAL VEST PETE XL WMN BLU,27
EAST BU,75,287,7032,WAL VEST PETE 2XL WMN BLU,29
SOUTHWEST BU,5,56,7178,WAL VEST PETE XS WMN BLU,38
SOUTHWEST BU,5,56,7178,WAL VEST PETE XL WMN BLU,39
SOUTHWEST BU,5,56,7178,WAL VEST PETE 2XL WMN BLU,37
NHM BU,72,545,8861,WAL VEST PETE XS WMN BLU,31
NHM BU,72,545,8861,WAL VEST PETE XL WMN BLU,32
