Store,Store Type,Servicing DC,Top Loss,Countermeasure
2019,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
2059,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
2063,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
2073,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
2078,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
2083,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
2115,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
2164,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
2193,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
2197,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
2199,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
2209,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
2210,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
2211,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
2266,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
2278,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
2281,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
2287,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
2300,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
2313,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
2316,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
2323,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
2359,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
2361,Wal-Mart,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
2362,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
2405,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
2420,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
2502,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
2506,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
2540,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
2541,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
2561,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
2586,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
2588,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
2597,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
2603,Wal-Mart,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
2611,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
2674,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
2684,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
2809,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
2823,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
2833,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
2852,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
2909,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
2910,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
2914,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
2966,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
3215,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
3223,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
3228,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
3250,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
3253,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
3262,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
3281,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
3293,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
3429,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
3581,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
3608,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
3722,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
3738,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
3838,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
3860,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
4255,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
4285,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
4372,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
4501,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
4597,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
4643,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
4644,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
5027,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
5040,Wal-Mart,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
5066,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
5082,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
5088,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
5241,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
5285,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
5309,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
5360,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
5379,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
5381,Wal-Mart,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
5387,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
5410,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
5445,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
5446,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
6951,WM Supercenter,7017,Freight Fallen Over,Shipping managers will conduct load quality audits daily
423,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
424,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
425,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
483,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
488,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
604,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
700,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
723,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
731,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
734,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
740,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
785,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
818,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
843,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
853,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
858,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
866,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
887,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
904,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
916,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
919,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
930,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
934,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
938,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
944,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
990,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
991,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
1032,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
1057,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
1063,Wal-Mart,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
1066,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
1091,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
1101,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
1134,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
1174,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
1207,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
1212,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
1222,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
1224,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
1229,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
1260,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
1346,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
1362,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
1375,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
1462,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
1493,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
1605,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
1620,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
1638,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
2114,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
2533,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
2534,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
2717,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
2739,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
2748,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
2760,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
2801,Neighborhood Market,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
3075,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
3119,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
3271,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
3439,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
3484,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
3785,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
4189,Neighborhood Market,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
4210,Neighborhood Market,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
4318,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
4333,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
4357,Neighborhood Market,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
4407,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
4581,WM Supercenter,7019,Poorly Built Pallet,Shipping managers will conduct load quality audits daily with focus on upstacks
