Store,Item Nbr,Item Description,ON HAND QTY,PO NUMBER,MABD,PO EVENT CODE
2085,585107769,PD DELUXE COMFORT PO,13,2026980044,10/2/2022,WHS2WHWK36
2085,651339992,PR 10FT FRAME POOL,13,2026980044,10/2/2022,WHS2WHWK36
2085,651706227,PR  14X33 FRAME POOL,20,2026980044,10/2/2022,WHS2WHWK36
2085,651706220,PR 8 POOL,55,2026980044,10/2/2022,WHS2WHWK36
2085 Total,,,187,,,
2240,593987030,"PR 120"" FAMILY POOL",13,2026980048,10/2/2022,WHS2WHWK36
2240,596510474,PD 3 RING POOL PINK,43,2026980048,10/2/2022,WHS2WHWK36
2240,596502782,PD 8FT QUICKET POOL,45,2026980048,10/2/2022,WHS2WHWK36
2240,596510475,PD 3 RING POOL BLUE,78,2026980048,10/2/2022,WHS2WHWK36
2240,651706227,PR  14X33 FRAME POOL,26,2026980048,10/2/2022,WHS2WHWK36
2240,651706220,PR 8 POOL,55,2026980048,10/2/2022,WHS2WHWK36
2240,651339992,PR 10FT FRAME POOL,35,2026980048,10/2/2022,WHS2WHWK36
2240,585107769,PD DELUXE COMFORT PO,48,2026980048,10/2/2022,WHS2WHWK36
2240,593986914,PR 10X30 RING POOL,112,2026980048,10/2/2022,WHS2WHWK36
2240,"585443200
593987243",PR 15X33 FRAME POOL,59,2026980048,10/2/2022,WHS2WHWK36
2240,585374674,PD 3D QUICKSET POOL,128,2026980048,10/2/2022,WHS2WHWK36
2240 Total,,,642,,,
2302,593987030,"PR 120"" FAMILY POOL",7,2026980041,10/2/2022,WHS2WHWK36
2302,596510474,PD 3 RING POOL PINK,16,2026980041,10/2/2022,WHS2WHWK36
2302,596510475,PD 3 RING POOL BLUE,55,2026980041,10/2/2022,WHS2WHWK36
2302,596502782,PD 8FT QUICKET POOL,52,2026980041,10/2/2022,WHS2WHWK36
2302,651706227,PR  14X33 FRAME POOL,22,2026980041,10/2/2022,WHS2WHWK36
2302,"585443200
593987243",PR 15X33 FRAME POOL,22,2026980041,10/2/2022,WHS2WHWK36
2302,651339992,PR 10FT FRAME POOL,24,2026980041,10/2/2022,WHS2WHWK36
2302,651706220,PR 8 POOL,60,2026980041,10/2/2022,WHS2WHWK36
2302,593986914,PR 10X30 RING POOL,61,2026980041,10/2/2022,WHS2WHWK36
2302,585374674,PD 3D QUICKSET POOL,70,2026980041,10/2/2022,WHS2WHWK36
2302,585107769,PD DELUXE COMFORT PO,56,2026980041,10/2/2022,WHS2WHWK36
2302 Total,,,445,,,
2346,596510474,PD 3 RING POOL PINK,68,2026980047,10/2/2022,WHS2WHWK36
2346,596510475,PD 3 RING POOL BLUE,76,2026980047,10/2/2022,WHS2WHWK36
2346,593987030,"PR 120"" FAMILY POOL",72,2026980047,10/2/2022,WHS2WHWK36
2346,596502782,PD 8FT QUICKET POOL,77,2026980047,10/2/2022,WHS2WHWK36
2346,651706227,PR  14X33 FRAME POOL,21,2026980047,10/2/2022,WHS2WHWK36
2346,651339992,PR 10FT FRAME POOL,25,2026980047,10/2/2022,WHS2WHWK36
2346,585374674,PD 3D QUICKSET POOL,55,2026980047,10/2/2022,WHS2WHWK36
2346,593986914,PR 10X30 RING POOL,70,2026980047,10/2/2022,WHS2WHWK36
2346,651706220,PR 8 POOL,71,2026980047,10/2/2022,WHS2WHWK36
2346,585107769,PD DELUXE COMFORT PO,45,2026980047,10/2/2022,WHS2WHWK36
2346,"585443200
593987243",PR 15X33 FRAME POOL,48,2026980047,10/2/2022,WHS2WHWK36
2346 Total,,,628,,,
2423,593987030,"PR 120"" FAMILY POOL",5,2026980050,10/2/2022,WHS2WHWK36
2423,593986914,PR 10X30 RING POOL,15,2026980050,10/2/2022,WHS2WHWK36
2423,596510475,PD 3 RING POOL BLUE,55,2026980050,10/2/2022,WHS2WHWK36
2423,651706220,PR 8 POOL,43,2026980050,10/2/2022,WHS2WHWK36
2423,651339992,PR 10FT FRAME POOL,27,2026980050,10/2/2022,WHS2WHWK36
2423,651706227,PR  14X33 FRAME POOL,27,2026980050,10/2/2022,WHS2WHWK36
2423,596510474,PD 3 RING POOL PINK,137,2026980050,10/2/2022,WHS2WHWK36
2423,596502782,PD 8FT QUICKET POOL,126,2026980050,10/2/2022,WHS2WHWK36
2423,"585443200
593987243",PR 15X33 FRAME POOL,66,2026980050,10/2/2022,WHS2WHWK36
2423,585374674,PD 3D QUICKSET POOL,137,2026980050,10/2/2022,WHS2WHWK36
2423,585107769,PD DELUXE COMFORT PO,75,2026980050,10/2/2022,WHS2WHWK36
2423 Total,,,713,,,
2449,593986914,PR 10X30 RING POOL,34,2026980040,10/2/2022,WHS2WHWK36
2449,596510475,PD 3 RING POOL BLUE,94,2026980040,10/2/2022,WHS2WHWK36
2449,651706220,PR 8 POOL,53,2026980040,10/2/2022,WHS2WHWK36
2449,651706227,PR  14X33 FRAME POOL,31,2026980040,10/2/2022,WHS2WHWK36
2449,596502782,PD 8FT QUICKET POOL,129,2026980040,10/2/2022,WHS2WHWK36
2449,596510474,PD 3 RING POOL PINK,165,2026980040,10/2/2022,WHS2WHWK36
2449,651339992,PR 10FT FRAME POOL,46,2026980040,10/2/2022,WHS2WHWK36
2449,"585443200
593987243",PR 15X33 FRAME POOL,46,2026980040,10/2/2022,WHS2WHWK36
2449,585374674,PD 3D QUICKSET POOL,131,2026980040,10/2/2022,WHS2WHWK36
2449,585107769,PD DELUXE COMFORT PO,74,2026980040,10/2/2022,WHS2WHWK36
2449 Total,,,803,,,
2501,593987030,"PR 120"" FAMILY POOL",2,2026980052,10/2/2022,WHS2WHWK36
2501,651339992,PR 10FT FRAME POOL,5,2026980052,10/2/2022,WHS2WHWK36
2501,596510475,PD 3 RING POOL BLUE,43,2026980052,10/2/2022,WHS2WHWK36
2501,596510474,PD 3 RING POOL PINK,101,2026980052,10/2/2022,WHS2WHWK36
2501,651706227,PR  14X33 FRAME POOL,21,2026980052,10/2/2022,WHS2WHWK36
2501,651706220,PR 8 POOL,61,2026980052,10/2/2022,WHS2WHWK36
2501,596502782,PD 8FT QUICKET POOL,162,2026980052,10/2/2022,WHS2WHWK36
2501,593986914,PR 10X30 RING POOL,102,2026980052,10/2/2022,WHS2WHWK36
2501,585374674,PD 3D QUICKSET POOL,107,2026980052,10/2/2022,WHS2WHWK36
2501,585107769,PD DELUXE COMFORT PO,72,2026980052,10/2/2022,WHS2WHWK36
2501,"585443200
593987243",PR 15X33 FRAME POOL,104,2026980052,10/2/2022,WHS2WHWK36
2501 Total,,,780,,,
2721,651339992,PR 10FT FRAME POOL,1,2026980036,10/2/2022,WHS2WHWK36
2721,593987030,"PR 120"" FAMILY POOL",5,2026980036,10/2/2022,WHS2WHWK36
2721,596510475,PD 3 RING POOL BLUE,39,2026980036,10/2/2022,WHS2WHWK36
2721,585107769,PD DELUXE COMFORT PO,17,2026980036,10/2/2022,WHS2WHWK36
2721,596502782,PD 8FT QUICKET POOL,72,2026980036,10/2/2022,WHS2WHWK36
2721,651706227,PR  14X33 FRAME POOL,22,2026980036,10/2/2022,WHS2WHWK36
2721,651706220,PR 8 POOL,47,2026980036,10/2/2022,WHS2WHWK36
2721,596510474,PD 3 RING POOL PINK,124,2026980036,10/2/2022,WHS2WHWK36
2721,585374674,PD 3D QUICKSET POOL,54,2026980036,10/2/2022,WHS2WHWK36
2721,593986914,PR 10X30 RING POOL,62,2026980036,10/2/2022,WHS2WHWK36
2721,"585443200
593987243",PR 15X33 FRAME POOL,38,2026980036,10/2/2022,WHS2WHWK36
2721 Total,,,481,,,
3693,593986914,PR 10X30 RING POOL,4,2026980046,10/2/2022,WHS2WHWK36
3693,585107769,PD DELUXE COMFORT PO,5,2026980046,10/2/2022,WHS2WHWK36
3693,596510475,PD 3 RING POOL BLUE,27,2026980046,10/2/2022,WHS2WHWK36
3693,596502782,PD 8FT QUICKET POOL,37,2026980046,10/2/2022,WHS2WHWK36
3693,651339992,PR 10FT FRAME POOL,10,2026980046,10/2/2022,WHS2WHWK36
3693,596510474,PD 3 RING POOL PINK,52,2026980046,10/2/2022,WHS2WHWK36
3693,651706227,PR  14X33 FRAME POOL,19,2026980046,10/2/2022,WHS2WHWK36
3693,651706220,PR 8 POOL,63,2026980046,10/2/2022,WHS2WHWK36
3693,593987030,"PR 120"" FAMILY POOL",631,2026980046,10/2/2022,WHS2WHWK36
3693 Total,,,848,,,
3716,593987030,"PR 120"" FAMILY POOL",2,2026980045,10/2/2022,WHS2WHWK36
3716,"585443200
593987243",PR 15X33 FRAME POOL,1,2026980045,10/2/2022,WHS2WHWK36
3716,596510475,PD 3 RING POOL BLUE,8,2026980045,10/2/2022,WHS2WHWK36
3716,596502782,PD 8FT QUICKET POOL,37,2026980045,10/2/2022,WHS2WHWK36
3716,596510474,PD 3 RING POOL PINK,63,2026980045,10/2/2022,WHS2WHWK36
3716,585107769,PD DELUXE COMFORT PO,16,2026980045,10/2/2022,WHS2WHWK36
3716,651706227,PR  14X33 FRAME POOL,19,2026980045,10/2/2022,WHS2WHWK36
3716,651339992,PR 10FT FRAME POOL,21,2026980045,10/2/2022,WHS2WHWK36
3716,651706220,PR 8 POOL,64,2026980045,10/2/2022,WHS2WHWK36
3716,585374674,PD 3D QUICKSET POOL,81,2026980045,10/2/2022,WHS2WHWK36
3716 Total,,,312,,,
5793,593987030,"PR 120"" FAMILY POOL",4,2026980051,10/2/2022,WHS2WHWK36
5793,596510475,PD 3 RING POOL BLUE,10,2026980051,10/2/2022,WHS2WHWK36
5793,"585443200
593987243",PR 15X33 FRAME POOL,4,2026980051,10/2/2022,WHS2WHWK36
5793,596510474,PD 3 RING POOL PINK,79,2026980051,10/2/2022,WHS2WHWK36
5793,596502782,PD 8FT QUICKET POOL,69,2026980051,10/2/2022,WHS2WHWK36
5793,651706227,PR  14X33 FRAME POOL,21,2026980051,10/2/2022,WHS2WHWK36
5793,593986914,PR 10X30 RING POOL,46,2026980051,10/2/2022,WHS2WHWK36
5793,651339992,PR 10FT FRAME POOL,30,2026980051,10/2/2022,WHS2WHWK36
5793,651706220,PR 8 POOL,68,2026980051,10/2/2022,WHS2WHWK36
5793,585374674,PD 3D QUICKSET POOL,76,2026980051,10/2/2022,WHS2WHWK36
5793,585107769,PD DELUXE COMFORT PO,48,2026980051,10/2/2022,WHS2WHWK36
5793 Total,,,455,,,
5802,596510474,PD 3 RING POOL PINK,4,2026980037,10/2/2022,WHS2WHWK36
5802,585374674,PD 3D QUICKSET POOL,2,2026980037,10/2/2022,WHS2WHWK36
5802,596510475,PD 3 RING POOL BLUE,25,2026980037,10/2/2022,WHS2WHWK36
5802,596502782,PD 8FT QUICKET POOL,50,2026980037,10/2/2022,WHS2WHWK36
5802,593986914,PR 10X30 RING POOL,38,2026980037,10/2/2022,WHS2WHWK36
5802,651706227,PR  14X33 FRAME POOL,19,2026980037,10/2/2022,WHS2WHWK36
5802,585107769,PD DELUXE COMFORT PO,20,2026980037,10/2/2022,WHS2WHWK36
5802,651339992,PR 10FT FRAME POOL,23,2026980037,10/2/2022,WHS2WHWK36
5802,651706220,PR 8 POOL,53,2026980037,10/2/2022,WHS2WHWK36
5802,"585443200
593987243",PR 15X33 FRAME POOL,38,2026980037,10/2/2022,WHS2WHWK36
5802 Total,,,272,,,
5803,596510474,PD 3 RING POOL PINK,6,2026980049,10/2/2022,WHS2WHWK36
5803,596510475,PD 3 RING POOL BLUE,16,2026980049,10/2/2022,WHS2WHWK36
5803,"585443200
593987243",PR 15X33 FRAME POOL,9,2026980049,10/2/2022,WHS2WHWK36
5803,596502782,PD 8FT QUICKET POOL,48,2026980049,10/2/2022,WHS2WHWK36
5803,593986914,PR 10X30 RING POOL,28,2026980049,10/2/2022,WHS2WHWK36
5803,651339992,PR 10FT FRAME POOL,18,2026980049,10/2/2022,WHS2WHWK36
5803,651706227,PR  14X33 FRAME POOL,19,2026980049,10/2/2022,WHS2WHWK36
5803,651706220,PR 8 POOL,42,2026980049,10/2/2022,WHS2WHWK36
5803,585374674,PD 3D QUICKSET POOL,54,2026980049,10/2/2022,WHS2WHWK36
5803,585107769,PD DELUXE COMFORT PO,41,2026980049,10/2/2022,WHS2WHWK36
5803 Total,,,281,,,
