Store Number,Mrkt,Reg,BU,4pm-4am DC Delivery Go Live Week,Adjust Team Shift Time Week,Associate Conversation Week,Write First Schedule Week,Work First  Schedule Week
1191,296,26,F,23,18,19,20,23
1288,296,26,F,23,18,19,20,23
1296,569,6,B,23,18,19,20,23
1321,299,26,F,23,18,19,20,23
1335,315,75,F,23,18,19,20,23
1345,314,75,F,23,18,19,20,23
1399,314,75,F,23,18,19,20,23
1407,221,21,E,23,18,19,20,23
1504,223,21,E,23,18,19,20,23
1564,218,21,E,23,18,19,20,23
1595,217,21,E,23,18,19,20,23
1599,362,40,E,23,18,19,20,23
1958,80,6,B,23,18,19,20,23
2124,223,21,E,23,18,19,20,23
2565,315,75,F,23,18,19,20,23
2580,300,4,F,23,18,19,20,23
2839,538,72,O,23,18,19,20,23
2845,296,26,F,23,18,19,20,23
2955,362,40,E,23,18,19,20,23
3056,506,7,B,23,18,19,20,23
3062,538,72,O,23,18,19,20,23
3111,538,72,O,23,18,19,20,23
3170,83,7,B,23,18,19,20,23
3238,538,72,O,23,18,19,20,23
3320,80,6,B,23,18,19,20,23
3447,219,21,E,23,18,19,20,23
3452,562,64,O,23,18,19,20,23
3515,218,21,E,23,18,19,20,23
3542,562,64,O,23,18,19,20,23
3567,80,6,B,23,18,19,20,23
3569,83,7,B,23,18,19,20,23
3571,221,21,E,23,18,19,20,23
3623,88,7,B,23,18,19,20,23
3768,314,75,F,23,18,19,20,23
3784,221,21,E,23,18,19,20,23
4102,86,7,B,23,18,19,20,23
4194,84,6,B,23,18,19,20,23
4466,562,64,O,23,18,19,20,23
4484,297,26,F,23,18,19,20,23
4508,80,6,B,23,18,19,20,23
4590,361,40,E,23,18,19,20,23
4611,362,40,E,23,18,19,20,23
4697,315,75,F,23,18,19,20,23
5094,562,64,O,23,18,19,20,23
5149,485,59,O,23,18,19,20,23
5165,80,6,B,23,18,19,20,23
5203,217,21,E,23,18,19,20,23
5207,485,59,O,23,18,19,20,23
5346,296,26,F,23,18,19,20,23
5693,538,72,O,23,18,19,20,23
5809,80,6,B,23,18,19,20,23
6233,509,59,O,23,18,19,20,23
6590,562,64,O,23,18,19,20,23
7281,74,7,B,23,18,19,20,23
802,263,53,E,25,20,21,22,25
1256,266,25,E,25,20,21,22,25
1404,269,25,E,25,20,21,22,25
1420,264,25,E,25,20,21,22,25
1681,268,25,E,25,20,21,22,25
1735,269,25,E,25,20,21,22,25
1848,264,25,E,25,20,21,22,25
1897,268,25,E,25,20,21,22,25
1898,264,25,E,25,20,21,22,25
2215,265,25,E,25,20,21,22,25
3004,268,25,E,25,20,21,22,25
3488,435,53,E,25,20,21,22,25
3891,269,25,E,25,20,21,22,25
3893,269,25,E,25,20,21,22,25
4405,264,25,E,25,20,21,22,25
4531,265,25,E,25,20,21,22,25
5060,270,25,E,25,20,21,22,25
5157,278,25,E,25,20,21,22,25
5352,264,25,E,25,20,21,22,25
81,347,44,B,25,20,21,22,25
98,135,42,A,25,20,21,22,25
160,328,42,A,25,20,21,22,25
356,10,14,A,25,20,21,22,25
489,128,13,B,25,20,21,22,25
803,128,13,B,25,20,21,22,25
855,20,2,A,25,20,21,22,25
863,10,14,A,25,20,21,22,25
1076,32,2,A,25,20,21,22,25
1766,24,2,A,25,20,21,22,25
2393,533,64,O,25,20,21,22,25
2732,22,2,A,25,20,21,22,25
2876,533,64,O,25,20,21,22,25
3118,20,2,A,25,20,21,22,25
3164,534,72,O,25,20,21,22,25
3471,26,2,A,25,20,21,22,25
3611,26,2,A,25,20,21,22,25
3637,533,64,O,25,20,21,22,25
3741,22,2,A,25,20,21,22,25
4128,537,72,O,25,20,21,22,25
4200,16,14,A,25,20,21,22,25
4472,25,2,A,25,20,21,22,25
5081,543,64,O,25,20,21,22,25
5390,26,2,A,25,20,21,22,25
5706,324,42,A,25,20,21,22,25
6577,543,64,O,25,20,21,22,25
6963,52,5,B,25,20,21,22,25
7242,537,72,O,25,20,21,22,25
7601,554,59,O,25,20,21,22,25
1344,315,75,F,25,20,21,22,25
1726,315,75,F,25,20,21,22,25
1730,287,75,F,25,20,21,22,25
1780,315,75,F,25,20,21,22,25
1825,286,76,F,25,20,21,22,25
1852,291,75,F,25,20,21,22,25
2015,292,76,F,25,20,21,22,25
2136,291,75,F,25,20,21,22,25
2577,281,75,F,25,20,21,22,25
2795,287,75,F,25,20,21,22,25
2807,315,75,F,25,20,21,22,25
3720,293,75,F,25,20,21,22,25
3869,287,75,F,25,20,21,22,25
3880,502,59,O,25,20,21,22,25
4191,287,75,F,25,20,21,22,25
4682,315,75,F,25,20,21,22,25
5117,315,75,F,25,20,21,22,25
5880,292,76,F,25,20,21,22,25
5936,283,76,F,25,20,21,22,25
60,339,40,E,26,21,22,23,26
61,361,40,E,26,21,22,23,26
109,360,40,E,26,21,22,23,26
173,357,40,E,26,21,22,23,26
195,360,40,E,26,21,22,23,26
314,5,12,A,26,21,22,23,26
325,360,40,E,26,21,22,23,26
363,359,40,E,26,21,22,23,26
500,505,7,B,26,21,22,23,26
568,152,12,A,26,21,22,23,26
655,253,41,E,26,21,22,23,26
751,413,52,M,26,21,22,23,26
835,385,46,B,26,21,22,23,26
1161,339,40,E,26,21,22,23,26
1393,413,52,M,26,21,22,23,26
1451,275,25,E,26,21,22,23,26
2612,505,7,B,26,21,22,23,26
2653,71,7,B,26,21,22,23,26
2694,340,40,E,26,21,22,23,26
2764,414,52,M,26,21,22,23,26
2856,361,40,E,26,21,22,23,26
2935,413,52,M,26,21,22,23,26
3136,505,7,B,26,21,22,23,26
3317,570,64,O,26,21,22,23,26
3423,385,46,B,26,21,22,23,26
3660,120,12,A,26,21,22,23,26
5150,340,40,E,26,21,22,23,26
5477,336,40,E,26,21,22,23,26
5717,505,7,B,26,21,22,23,26
5927,339,40,E,26,21,22,23,26
5947,505,7,B,26,21,22,23,26
1698,183,16,F,30,25,26,27,30
1749,183,16,F,30,25,26,27,30
1762,157,16,F,30,25,26,27,30
1909,195,76,F,30,25,26,27,30
1964,161,17,F,30,25,26,27,30
1967,154,16,F,30,25,26,27,30
2012,156,16,F,30,25,26,27,30
2130,183,16,F,30,25,26,27,30
2202,180,16,F,30,25,26,27,30
2369,181,16,F,30,25,26,27,30
2386,154,16,F,30,25,26,27,30
2639,181,16,F,30,25,26,27,30
2833,320,76,F,30,25,26,27,30
2953,160,16,F,30,25,26,27,30
2964,156,16,F,30,25,26,27,30
3099,551,61,O,30,25,26,27,30
3114,157,16,F,30,25,26,27,30
3215,320,76,F,30,25,26,27,30
3223,229,20,E,30,25,26,27,30
3409,156,16,F,30,25,26,27,30
4156,181,16,F,30,25,26,27,30
4169,551,61,O,30,25,26,27,30
4387,156,16,F,30,25,26,27,30
4597,195,76,F,30,25,26,27,30
5601,551,61,O,30,25,26,27,30
5661,551,61,O,30,25,26,27,30
1314,24,2,A,30,25,26,27,30
2754,30,2,A,30,25,26,27,30
4206,497,59,O,30,25,26,27,30
5482,21,2,A,30,25,26,27,30
604,7,14,A,32,27,28,29,32
734,7,14,A,32,27,28,29,32
810,426,52,M,32,27,28,29,32
886,426,52,M,32,27,28,29,32
990,14,14,A,32,27,28,29,32
1134,7,14,A,32,27,28,29,32
1152,426,52,M,32,27,28,29,32
1415,421,52,M,32,27,28,29,32
1428,204,19,E,32,27,28,29,32
1429,213,19,E,32,27,28,29,32
1432,204,19,E,32,27,28,29,32
1470,421,52,M,32,27,28,29,32
1535,430,47,M,32,27,28,29,32
1625,426,52,M,32,27,28,29,32
1633,424,52,M,32,27,28,29,32
1696,412,52,M,32,27,28,29,32
1722,421,52,M,32,27,28,29,32
1732,414,52,M,32,27,28,29,32
1738,421,52,M,32,27,28,29,32
1764,413,52,M,32,27,28,29,32
1787,414,52,M,32,27,28,29,32
1836,202,19,E,32,27,28,29,32
1858,421,52,M,32,27,28,29,32
1864,422,52,M,32,27,28,29,32
1913,207,19,E,32,27,28,29,32
1923,200,19,E,32,27,28,29,32
1928,205,19,E,32,27,28,29,32
1936,196,53,E,32,27,28,29,32
1952,422,52,M,32,27,28,29,32
1999,424,52,M,32,27,28,29,32
2061,201,19,E,32,27,28,29,32
2062,201,19,E,32,27,28,29,32
2087,422,52,M,32,27,28,29,32
2198,423,52,M,32,27,28,29,32
2338,196,53,E,32,27,28,29,32
2631,197,19,E,32,27,28,29,32
2642,423,52,M,32,27,28,29,32
2693,205,19,E,32,27,28,29,32
2873,206,19,E,32,27,28,29,32
2959,206,19,E,32,27,28,29,32
3088,424,52,M,32,27,28,29,32
3119,15,14,A,32,27,28,29,32
3364,422,52,M,32,27,28,29,32
3439,15,14,A,32,27,28,29,32
3445,207,19,E,32,27,28,29,32
3498,422,52,M,32,27,28,29,32
3590,426,52,M,32,27,28,29,32
3760,421,52,M,32,27,28,29,32
3761,412,52,M,32,27,28,29,32
3840,222,21,E,32,27,28,29,32
4189,544,72,O,32,27,28,29,32
4243,205,19,E,32,27,28,29,32
4253,412,52,M,32,27,28,29,32
4374,421,52,M,32,27,28,29,32
4424,206,19,E,32,27,28,29,32
4439,201,19,E,32,27,28,29,32
4479,207,19,E,32,27,28,29,32
4660,206,19,E,32,27,28,29,32
5028,207,19,E,32,27,28,29,32
5029,207,19,E,32,27,28,29,32
5030,207,19,E,32,27,28,29,32
5048,203,19,E,32,27,28,29,32
5064,201,19,E,32,27,28,29,32
5065,201,19,E,32,27,28,29,32
5160,202,19,E,32,27,28,29,32
5280,201,19,E,32,27,28,29,32
5348,8,14,A,32,27,28,29,32
5472,202,19,E,32,27,28,29,32
5623,545,72,O,32,27,28,29,32
5653,545,72,O,32,27,28,29,32
5748,414,52,M,32,27,28,29,32
5769,544,72,O,32,27,28,29,32
5872,15,14,A,32,27,28,29,32
5893,203,19,E,32,27,28,29,32
