DC,Store,City,State,Banner,Commodity,Delivery Class,Delivery Saturday,Delivery Sunday,Delivery Monday,Delivery Tuesday,Delivery Wednesday,Delivery Thursday,Delivery Friday,Store Delivery Frequency,DC Order fill comments,Store Notification
6082,38,IDABEL OK,OK,WM Supercenter,DRY,Same Day Delivery,1,1,1,1,1,Closed,1,6,No change needed,No change needed
6065,39,FORT SCOTT KS,KS,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6065,40,MOBERLY MO,MO,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
7015,41,BARTLESVILLE OK,OK,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
7015,42,COFFEYVILLE KS,KS,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6065,43,JUNCTION CITY KS,KS,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6065,44,ELDON MO,MO,Wal-Mart,DRY,Next Day Delivery,0,0,1,0,1,Closed,1,3,Add Order fill on Wed,No change needed
6072,45,JONESBORO AR,AR,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6065,46,BOLIVAR MO,MO,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6082,47,SALLISAW OK,OK,WM Supercenter,DRY,Same Day Delivery,1,1,1,1,1,Closed,1,6,No change needed,No change needed
6082,48,MONETT MO,MO,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6042,49,HUGO OK,OK,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
7015,50,VINITA OK,OK,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6065,51,FULTON MO,MO,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6082,52,HOT SPRINGS AR,AR,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6082,54,SPRINGDALE AR,AR,WM Supercenter,DRY,Same Day Delivery,1,1,1,1,1,Closed,1,6,No change needed,No change needed
6082,55,BOONEVILLE AR,AR,WM Supercenter,DRY,Same Day Delivery,1,1,1,1,1,Closed,1,6,No change needed,No change needed
6082,56,AVA MO,MO,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6072,57,WALNUT RIDGE AR,AR,Wal-Mart,DRY,Next Day Delivery,0,0,1,0,1,Closed,1,3,Add Order fill on Wed,No change needed
6082,58,RUSSELLVILLE AR,AR,WM Supercenter,DRY,Same Day Delivery,1,1,1,1,1,Closed,1,6,No change needed,No change needed
7015,59,JOPLIN MO,MO,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6059,60,TROY MO,MO,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6065,61,WARRENSBURG MO,MO,WM Supercenter,DRY,Same Day Delivery,1,1,1,1,1,Closed,1,6,No change needed,No change needed
6072,62,BLYTHEVILLE AR,AR,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
7015,63,WAGONER OK,OK,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6072,64,BROWNSVILLE TN,TN,WM Supercenter,DRY,Next Day Delivery,0,1,1,1,1,Closed,1,5,No change needed. Keep existing Order fill on Wed,No change needed
6059,65,SULLIVAN MO,MO,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6082,66,CLARKSVILLE AR,AR,WM Supercenter,DRY,Same Day Delivery,1,1,1,1,1,Closed,1,6,No change needed,No change needed
6082,67,MENA AR,AR,WM Supercenter,DRY,Same Day Delivery,1,1,1,1,1,Closed,1,6,No change needed,No change needed
6072,68,WYNNE AR,AR,WM Supercenter,DRY,Same Day Delivery,1,1,1,1,1,Closed,1,6,No change needed,No change needed
6059,69,FESTUS MO,MO,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6072,70,WEST MEMPHIS AR,AR,WM Supercenter,DRY,Same Day Delivery,1,1,1,1,1,Closed,1,6,No change needed,No change needed
6072,71,POCAHONTAS AR,AR,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
7015,72,PITTSBURG KS,KS,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
7015,73,SAPULPA OK,OK,WM Supercenter,DRY,Same Day Delivery,1,1,1,1,1,Closed,1,6,No change needed,No change needed
6072,74,OSCEOLA AR,AR,WM Supercenter,DRY,Next Day Delivery,1,0,1,1,1,Closed,1,5,No change needed. Keep existing Order fill on Wed,No change needed
7010,75,PINEVILLE LA,LA,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6082,76,BERRYVILLE AR,AR,WM Supercenter,DRY,Same Day Delivery,1,1,1,1,1,Closed,1,6,No change needed,No change needed
6083,77,TAYLOR TX,TX,WM Supercenter,DRY,Same Day Delivery,1,1,1,1,1,Closed,1,6,No change needed,No change needed
6065,78,MARSHFIELD MO,MO,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
7015,79,WEST JOPLIN MO,MO,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6065,80,COLUMBIA MO,MO,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6082,81,STILWELL OK,OK,WM Supercenter,DRY,Same Day Delivery,1,1,1,1,1,Closed,1,6,No change needed,No change needed
6059,82,PERRYVILLE MO,MO,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6082,83,MAGNOLIA AR,AR,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6082,85,BENTON AR,AR,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6065,86,SPRINGFIELD MO,MO,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
7010,87,MINDEN LA,LA,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6082,88,MOUNTAIN GROVE MO,MO,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6065,89,CAMDENTON MO,MO,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
7015,90,GROVE OK,OK,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6072,91,FORREST CITY AR,AR,WM Supercenter,DRY,Same Day Delivery,1,1,1,1,1,Closed,1,6,No change needed,No change needed
6082,92,AURORA MO,MO,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6072,93,COVINGTON TN,TN,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6072,94,MILLINGTON TN,TN,WM Supercenter,DRY,Same Day Delivery,1,1,1,1,1,Closed,1,6,No change needed,No change needed
6059,95,DESLOGE MO,MO,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6065,96,HARRISONVILLE MO,MO,WM Supercenter,DRY,Same Day Delivery,1,1,1,1,1,Closed,1,6,No change needed,No change needed
6072,97,RIPLEY TN,TN,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6082,98,BASTROP LA,LA,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6059,99,UNION MO,MO,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6082,100,"BENTONVILLE, AR",AR,WM Supercenter,DRY,Same Day Delivery,1,1,1,1,1,Closed,1,6,No change needed,No change needed
6065,101,ROLLA MO,MO,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6082,102,STUTTGART AR,AR,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6042,103,SHAWNEE OK,OK,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6072,104,MILAN TN,TN,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6072,105,CORINTH MS,MS,WM Supercenter,DRY,Same Day Delivery,1,1,1,1,1,Closed,1,6,No change needed,No change needed
6072,106,FULTON KY,KY,WM Supercenter,DRY,Next Day Delivery,0,1,1,1,1,Closed,1,5,No change needed. Keep existing Order fill on Wed,No change needed
6072,107,MARTIN TN,TN,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6042,108,GUTHRIE OK,OK,WM Supercenter,DRY,Same Day Delivery,1,1,1,1,1,Closed,1,6,No change needed,No change needed
6065,109,CAMERON MO,MO,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
2364,110,WINTER GARDEN FL,FL,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
7015,111,CHANUTE KS,KS,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6072,112,STARKVILLE MS,MS,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6042,113,CHICKASHA OK,OK,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6072,114,BOONEVILLE MS,MS,WM Supercenter,DRY,Same Day Delivery,1,1,1,1,1,Closed,1,6,No change needed,No change needed
6072,115,"WEST POINT, MS",MS,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
7010,116,VIVIAN LA,LA,Wal-Mart,DRY,Next Day Delivery,0,1,0,1,1,Closed,1,4,Add Order fill on Tue. Keep existing Order fill on Wed,New delivery on Wed
6082,117,BROKEN BOW OK,OK,Wal-Mart,DRY,Same Day Delivery,1,0,1,0,1,Closed,1,4,No change needed,No change needed
6072,118,AMORY MS,MS,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6082,119,BATESVILLE AR,AR,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6072,120,HUMBOLDT TN,TN,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
7015,121,OKMULGEE OK,OK,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6059,122,JACKSON MO,MO,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6042,123,SEMINOLE OK,OK,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6082,124,LITTLE ROCK AR,AR,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6082,125,"FORT SMITH (S), AR",AR,WM Supercenter,DRY,Same Day Delivery,1,1,1,1,1,Closed,1,6,No change needed,No change needed
6082,126,LITTLE ROCK AR,AR,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6082,127,MALVERN AR,AR,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6072,128,"JONESBORO (W), AR",AR,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6042,129,ARDMORE OK,OK,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6082,130,MUSKOGEE OK,OK,WM Supercenter,DRY,Same Day Delivery,1,1,1,1,1,Closed,1,6,No change needed,No change needed
6042,131,MT PLEASANT TX,TX,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6042,132,KINGFISHER OK,OK,WM Supercenter,DRY,Same Day Delivery,1,1,1,0,1,Closed,1,5,No change needed,No change needed
6082,133,ASHDOWN AR,AR,WM Supercenter,DRY,Next Day Delivery,1,1,1,0,1,Closed,1,5,Add Order fill on Wed,No change needed
6042,134,ELK CITY OK,OK,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6065,135,CHILLICOTHE MO,MO,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
7015,136,BLACKWELL OK EF,OK,Wal-Mart,DRY,Next Day Delivery,1,1,0,1,0,Closed,1,4,No change needed. Keep existing Order fill on Wed,New delivery on Fri
7015,137,STILLWATER OK,OK,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6065,138,"SPRINGFIELD (NE), MO",MO,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6042,139,PURCELL OK,OK,WM Supercenter,DRY,Same Day Delivery,1,1,1,1,1,Closed,1,6,No change needed,No change needed
7010,140,LUFKIN TX,TX,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6082,141,"FORT SMITH, AR",AR,WM Supercenter,DRY,Same Day Delivery,1,1,1,1,1,Closed,1,6,No change needed,No change needed
6072,143,BENTON KY,KY,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6082,144,FAYETTEVILLE AR (WEST),AR,WM Supercenter,DRY,Same Day Delivery,1,1,1,1,1,Closed,1,6,No change needed,No change needed
6059,145,BOWLING GREEN MO,MO,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,New delivery on Fri
6064,146,GILMER TX,TX,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6042,147,DENISON TX,TX,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6042,148,PARIS TX,TX,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
7010,149,"JONESBORO, LA",LA,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6042,150,WOODWARD OK,OK,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6042,151,MCALESTER OK,OK,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6059,152,DESOTO MO,MO,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6072,153,NEW ALBANY MS,MS,WM Supercenter,DRY,Same Day Delivery,1,1,1,1,1,Closed,1,6,No change needed,No change needed
6097,154,ABINGDON VA,VA,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6072,155,SENATOBIA MS,MS,WM Supercenter,DRY,Same Day Delivery,1,1,1,1,1,Closed,1,6,No change needed,No change needed
6082,157,SEARCY AR,AR,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6042,158,BONHAM TX,TX,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6065,159,COLUMBIA MO,MO,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6082,160,ASH FLAT AR,AR,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6072,161,HUNTINGDON TN,TN,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6042,162,"ANADARKO, OK",OK,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
7010,163,NACOGDOCHES TX,TX,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6072,164,PONTOTOC MS,MS,WM Supercenter,DRY,Same Day Delivery,1,1,1,1,1,Closed,1,6,No change needed,No change needed
7010,165,HENDERSON TX,TX,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6082,166,HOUSTON MO,MO,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6082,167,CROSSETT AR,AR,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
7015,168,OWASSO OK,OK,WM Supercenter,DRY,Same Day Delivery,1,1,1,1,1,Closed,1,6,No change needed,No change needed
6082,169,LONOKE AR,AR,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
7010,170,NATCHITOCHES LA,LA,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6082,171,"CAMDEN, AR",AR,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6059,172,WASHINGTON MO,MO,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6059,173,POTOSI MO,MO,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
2364,174,ROCKLEDGE FL,FL,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6072,175,COLLIERVILLE TN,TN,WM Supercenter,DRY,Same Day Delivery,1,1,1,1,1,Closed,1,6,No change needed,No change needed
6072,176,RIPLEY MS,MS,Wal-Mart,DRY,Same Day Delivery,0,1,1,0,1,Closed,1,4,No change needed,No change needed
6072,177,"PARIS, TN",TN,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
7015,178,"ALVA, OK",OK,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,Add Order fill on Tue. Keep existing Order fill on Wed,New delivery on Wed
7015,179,"SPRINGFIELD, MO",MO,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
7010,180,JACKSONVILLE TX,TX,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6082,181,NEW BOSTON TX,TX,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
6072,182,GREENVILLE MS,MS,WM Supercenter,DRY,Next Day Delivery,1,1,1,1,1,Closed,1,6,No change needed. Keep existing Order fill on Wed,No change needed
