Store,Tier
2628,Tier 1 
2633,Tier 1 
2642,Tier 2
2651,Tier 2
2653,Tier 2
2663,Tier 2
2672,Tier 2
2678,Tier 1 
2683,Tier 1 
2688,Tier 2
2710,Tier 2
2717,Tier 1 
2720,Tier 2
2722,Tier 2
2729,Tier 1 
2733,Tier 2
2734,Tier 1 
2747,Tier 2
2755,Tier 2
2756,Tier 2
2762,Tier 1 
2774,Tier 2
2778,Tier 2
2784,Tier 2
2788,Tier 2
2794,Tier 2
2803,Tier 2
2804,Tier 2
2806,Tier 2
2809,Tier 2
2811,Tier 1 
2818,Tier 2
2821,Tier 1 
2821,Tier 2
2827,Tier 1 
2834,Tier 2
2857,Tier 2
2859,Tier 2
2866,Tier 1 
2867,Tier 1 
2882,Tier 2
2883,Tier 2
2890,Tier 2
2906,Tier 2
2909,Tier 2
2915,Tier 1 
2918,Tier 2
2931,Tier 1 
2938,Tier 1 
2954,Tier 2
2956,Tier 2
2967,Tier 2
2987,Tier 1 
2990,Tier 2
3035,Tier 2
3044,Tier 2
3053,Tier 2
3078,Tier 2
3088,Tier 2
3102,Tier 2
3159,Tier 2
3167,Tier 2
3177,Tier 2
3182,Tier 1 
3206,Tier 2
3208,Tier 2
3212,Tier 2
3215,Tier 1 
3219,Tier 1 
3220,Tier 2
3221,Tier 2
3222,Tier 1 
3227,Tier 2
3233,Tier 1 
3253,Tier 2
3254,Tier 1 
3255,Tier 1 
3259,Tier 2
3267,Tier 2
3270,Tier 2
3273,Tier 2
3274,Tier 2
3277,Tier 2
3278,Tier 2
3285,Tier 2
3290,Tier 2
3301,Tier 1 
3329,Tier 1 
3366,Tier 2
3404,Tier 1 
3420,Tier 2
3436,Tier 1 
3443,Tier 2
3455,Tier 2
3461,Tier 1 
3476,Tier 2
3478,Tier 1 
3482,Tier 2
3486,Tier 1 
3494,Tier 2
3498,Tier 2
3514,Tier 2
3520,Tier 2
3533,Tier 2
3541,Tier 2
3543,Tier 2
3561,Tier 2
3564,Tier 2
3573,Tier 2
3585,Tier 2
3589,Tier 1 
3620,Tier 2
3624,Tier 2
3648,Tier 2
3659,Tier 1 
3722,Tier 2
3722,Tier 2
3733,Tier 2
3734,Tier 2
3750,Tier 2
3760,Tier 2
3761,Tier 2
3773,Tier 2
3803,Tier 1 
3812,Tier 1 
3823,Tier 2
3826,Tier 1 
3829,Tier 1 
3840,Tier 2
3842,Tier 2
3851,Tier 2
3857,Tier 1 
3858,Tier 2
