Store Number,Fashion Op Model Tier,Fashion Coach?,Coach Action,Total TL Headcount,Go-Live Week,Fashion Stocking Team Hours
629,3,NO,-,4,WK 37,80
644,2,YES,HIRE,4,WK 37,120
1130,2,YES,MOVE EXISTING,4,WK 37,120
1270,2,YES,MOVE EXISTING,4,WK 37,120
1382,2,YES,MOVE EXISTING,4,WK 37,120
1603,3,NO,-,3,WK 37,80
4487,2,YES,HIRE,4,WK 37,120
6576,3,NO,-,4,WK 37,80
6887,3,NO,-,3,WK 37,80
616,2,YES,MOVE EXISTING,4,WK 37,120
881,2,YES,HIRE,4,WK 37,120
1164,2,YES,MOVE EXISTING,4,WK 37,120
1183,1,YES,HIRE,4,WK 37,140
1286,2,YES,HIRE,4,WK 37,120
1339,2,YES,MOVE EXISTING,4,WK 37,120
2214,2,YES,MOVE EXISTING,4,WK 37,120
4420,2,YES,MOVE EXISTING,4,WK 37,120
4440,2,YES,HIRE,4,WK 37,120
4506,2,YES,MOVE EXISTING,4,WK 37,120
4521,1,YES,MOVE EXISTING,4,WK 37,140
585,2,YES,MOVE EXISTING,4,WK 37,120
638,2,YES,HIRE,4,WK 37,120
1030,2,YES,MOVE EXISTING,4,WK 37,120
1035,1,YES,MOVE EXISTING,4,WK 37,140
1144,2,YES,HIRE,4,WK 37,120
1281,2,YES,HIRE,4,WK 37,120
2806,1,YES,MOVE EXISTING,4,WK 37,140
3733,2,YES,MOVE EXISTING,4,WK 37,120
4237,2,YES,MOVE EXISTING,4,WK 37,120
4593,2,YES,HIRE,4,WK 37,120
1036,2,YES,HIRE,4,WK 37,120
1179,2,YES,MOVE EXISTING,4,WK 37,120
1217,2,YES,HIRE,4,WK 37,120
1242,1,YES,HIRE,4,WK 37,140
1317,3,NO,-,4,WK 37,80
1663,1,YES,HIRE,4,WK 37,140
1795,3,NO,-,3,WK 37,80
2440,2,YES,HIRE,4,WK 37,120
4334,2,YES,MOVE EXISTING,4,WK 37,120
4428,3,NO,-,3,WK 37,80
1155,1,YES,MOVE EXISTING,4,WK 37,140
1238,2,YES,MOVE EXISTING,4,WK 37,120
1261,2,YES,MOVE EXISTING,4,WK 37,120
1312,3,NO,-,4,WK 37,80
1774,2,YES,MOVE EXISTING,4,WK 37,120
2929,2,YES,MOVE EXISTING,4,WK 37,120
3595,2,YES,MOVE EXISTING,4,WK 37,120
5489,3,NO,-,4,WK 37,80
5787,3,NO,-,4,WK 37,80
6879,2,YES,MOVE EXISTING,4,WK 37,120
6958,2,YES,MOVE EXISTING,4,WK 37,120
1967,1,YES,MOVE EXISTING,4,WK 37,140
1984,3,NO,-,4,WK 37,80
2174,1,YES,MOVE EXISTING,4,WK 37,140
2228,2,YES,MOVE EXISTING,4,WK 37,120
2289,3,NO,-,4,WK 37,80
2386,2,YES,HIRE,4,WK 37,120
2683,3,NO,-,3,WK 37,80
2797,3,NO,-,3,WK 37,80
2901,3,NO,-,3,WK 37,80
5278,1,YES,MOVE EXISTING,4,WK 37,140
1918,1,YES,HIRE,4,WK 37,140
2012,2,YES,HIRE,4,WK 37,120
2118,2,YES,HIRE,4,WK 37,120
2155,2,YES,HIRE,4,WK 37,120
2158,2,YES,HIRE,4,WK 37,120
2267,2,YES,HIRE,4,WK 37,120
2329,3,NO,-,3,WK 37,80
2629,2,YES,MOVE EXISTING,4,WK 37,120
2964,2,YES,HIRE,4,WK 37,120
3409,2,YES,HIRE,4,WK 37,120
4387,1,YES,MOVE EXISTING,4,WK 37,140
1762,1,YES,MOVE EXISTING,4,WK 37,140
2139,1,YES,HIRE,4,WK 37,140
2180,1,YES,MOVE EXISTING,4,WK 37,140
2222,1,YES,HIRE,4,WK 37,140
2640,2,YES,MOVE EXISTING,4,WK 37,120
2660,2,YES,HIRE,4,WK 37,120
2903,2,YES,HIRE,4,WK 37,120
3114,1,YES,HIRE,4,WK 37,140
3535,2,YES,HIRE,4,WK 37,120
1970,2,YES,MOVE EXISTING,4,WK 37,120
2103,1,YES,MOVE EXISTING,4,WK 37,140
2122,2,YES,MOVE EXISTING,4,WK 37,120
2128,3,NO,-,3,WK 37,80
2227,2,YES,HIRE,4,WK 37,120
2336,2,YES,MOVE EXISTING,4,WK 37,120
2341,1,YES,HIRE,4,WK 37,140
2902,1,YES,MOVE EXISTING,4,WK 37,140
2904,2,YES,HIRE,4,WK 37,120
3200,2,YES,MOVE EXISTING,4,WK 37,120
1906,2,YES,MOVE EXISTING,4,WK 37,120
2021,1,YES,MOVE EXISTING,4,WK 37,140
2095,2,YES,HIRE,4,WK 37,120
2157,2,YES,HIRE,4,WK 37,120
2184,2,YES,MOVE EXISTING,4,WK 37,120
2366,1,YES,MOVE EXISTING,4,WK 37,140
2953,2,YES,HIRE,4,WK 37,120
3560,1,YES,HIRE,4,WK 37,140
3561,2,YES,MOVE EXISTING,4,WK 37,120
5448,2,YES,HIRE,4,WK 37,120
1797,3,NO,-,4,WK 37,80
1856,1,YES,MOVE EXISTING,4,WK 37,140
1919,3,NO,-,3,WK 37,80
1924,2,YES,MOVE EXISTING,4,WK 37,120
1932,2,YES,MOVE EXISTING,4,WK 37,120
1974,3,NO,-,3,WK 37,80
2013,2,YES,HIRE,4,WK 37,120
2047,2,YES,HIRE,4,WK 37,120
2143,3,NO,-,4,WK 37,80
2178,3,NO,-,3,WK 37,80
5076,2,YES,MOVE EXISTING,4,WK 37,120
1866,3,NO,-,4,WK 37,80
1868,1,YES,MOVE EXISTING,4,WK 37,140
1939,2,YES,MOVE EXISTING,4,WK 37,120
2046,2,YES,MOVE EXISTING,4,WK 37,120
2140,2,YES,MOVE EXISTING,4,WK 37,120
2183,3,NO,-,4,WK 37,80
2202,2,YES,MOVE EXISTING,4,WK 37,120
2634,3,NO,-,3,WK 37,80
2681,3,NO,-,3,WK 37,80
3269,3,NO,-,3,WK 37,80
1975,2,YES,HIRE,4,WK 37,120
2138,2,YES,MOVE EXISTING,4,WK 37,120
2224,2,YES,MOVE EXISTING,4,WK 37,120
2332,2,YES,HIRE,4,WK 37,120
2369,2,YES,HIRE,4,WK 37,120
2530,2,YES,HIRE,4,WK 37,120
2639,3,NO,-,3,WK 37,80
2682,3,NO,-,3,WK 37,80
2758,3,NO,-,3,WK 37,80
4156,3,NO,-,3,WK 37,80
4389,3,NO,-,3,WK 37,80
1698,2,YES,HIRE,4,WK 37,120
1749,2,YES,MOVE EXISTING,4,WK 37,120
1788,1,YES,MOVE EXISTING,4,WK 37,140
1954,2,YES,HIRE,4,WK 37,120
2055,1,YES,HIRE,4,WK 37,140
2130,3,NO,-,3,WK 37,80
2153,2,YES,HIRE,4,WK 37,120
2330,1,YES,MOVE EXISTING,4,WK 37,140
2398,3,NO,-,3,WK 37,80
2659,3,NO,-,3,WK 37,80
1753,2,YES,HIRE,4,WK 37,120
1785,1,YES,MOVE EXISTING,4,WK 37,140
1796,1,YES,MOVE EXISTING,4,WK 37,140
1907,3,NO,-,4,WK 37,80
1930,2,YES,MOVE EXISTING,4,WK 37,120
2057,3,NO,-,3,WK 37,80
2142,1,YES,MOVE EXISTING,4,WK 37,140
2399,2,YES,MOVE EXISTING,4,WK 37,120
3491,1,YES,HIRE,4,WK 37,140
3549,2,YES,HIRE,4,WK 37,120
1940,2,YES,HIRE,4,WK 37,120
1997,2,YES,MOVE EXISTING,4,WK 37,120
2056,2,YES,HIRE,4,WK 37,120
2097,3,NO,-,4,WK 37,80
2152,2,YES,MOVE EXISTING,4,WK 37,120
2351,2,YES,HIRE,4,WK 37,120
2370,2,YES,MOVE EXISTING,4,WK 37,120
2504,2,YES,HIRE,4,WK 37,120
2844,1,YES,MOVE EXISTING,4,WK 37,140
3583,2,YES,MOVE EXISTING,4,WK 37,120
1873,2,YES,MOVE EXISTING,4,WK 37,120
1964,3,NO,-,4,WK 37,80
2225,2,YES,MOVE EXISTING,4,WK 37,120
2261,3,NO,-,4,WK 37,80
2283,1,YES,MOVE EXISTING,4,WK 37,140
2373,2,YES,HIRE,4,WK 37,120
2747,2,YES,HIRE,4,WK 37,120
2885,3,NO,-,3,WK 37,80
3301,1,YES,HIRE,4,WK 37,140
1891,1,YES,MOVE EXISTING,4,WK 37,140
1980,2,YES,HIRE,4,WK 37,120
2022,2,YES,HIRE,4,WK 37,120
2170,2,YES,HIRE,4,WK 37,120
2200,2,YES,HIRE,4,WK 37,120
2282,1,YES,MOVE EXISTING,4,WK 37,140
2331,2,YES,MOVE EXISTING,4,WK 37,120
2854,2,YES,HIRE,4,WK 37,120
2898,3,NO,-,3,WK 37,80
5777,3,NO,-,4,WK 37,80
2144,2,YES,MOVE EXISTING,4,WK 37,120
2299,2,YES,HIRE,4,WK 37,120
2371,1,YES,MOVE EXISTING,4,WK 37,140
2719,1,YES,HIRE,4,WK 37,140
2897,2,YES,HIRE,4,WK 37,120
2899,3,NO,-,3,WK 37,80
2900,2,YES,HIRE,4,WK 37,120
2965,1,YES,HIRE,4,WK 37,140
3548,1,YES,MOVE EXISTING,4,WK 37,140
5095,1,YES,MOVE EXISTING,4,WK 37,140
1810,1,YES,MOVE EXISTING,4,WK 37,140
1959,1,YES,MOVE EXISTING,4,WK 37,140
2064,1,YES,HIRE,4,WK 37,140
2104,1,YES,MOVE EXISTING,4,WK 37,140
2531,1,YES,MOVE EXISTING,4,WK 37,140
2547,1,YES,HIRE,4,WK 37,140
2637,1,YES,MOVE EXISTING,4,WK 37,140
2905,1,YES,MOVE EXISTING,4,WK 37,140
4570,3,NO,-,3,WK 37,80
2156,2,YES,MOVE EXISTING,4,WK 37,120
2286,1,YES,MOVE EXISTING,4,WK 37,140
2906,1,YES,MOVE EXISTING,4,WK 37,140
2915,2,YES,HIRE,4,WK 37,120
2917,1,YES,MOVE EXISTING,4,WK 37,140
5202,1,YES,MOVE EXISTING,4,WK 37,140
8331,1,YES,MOVE EXISTING,4,WK 37,140
2583,1,YES,HIRE,4,WK 37,140
2916,1,YES,HIRE,4,WK 37,140
3420,1,YES,MOVE EXISTING,4,WK 37,140
5293,1,YES,MOVE EXISTING,4,WK 37,140
5295,1,YES,MOVE EXISTING,4,WK 37,140
2163,1,YES,HIRE,4,WK 37,140
2232,2,YES,MOVE EXISTING,4,WK 37,120
2284,2,YES,MOVE EXISTING,4,WK 37,120
2585,1,YES,HIRE,4,WK 37,140
2954,1,YES,MOVE EXISTING,4,WK 37,140
3543,1,YES,MOVE EXISTING,4,WK 37,140
3545,2,YES,HIRE,4,WK 37,120
3546,2,YES,HIRE,4,WK 37,120
3803,2,YES,MOVE EXISTING,4,WK 37,120
5294,2,YES,MOVE EXISTING,4,WK 37,120
5439,2,YES,MOVE EXISTING,4,WK 37,120
2003,1,YES,MOVE EXISTING,4,WK 37,140
2090,2,YES,MOVE EXISTING,4,WK 37,120
2294,3,NO,-,4,WK 37,80
2365,1,YES,MOVE EXISTING,4,WK 37,140
2368,1,YES,MOVE EXISTING,4,WK 37,140
2497,2,YES,HIRE,4,WK 37,120
2503,3,NO,-,4,WK 37,80
2582,3,NO,-,3,WK 37,80
2604,2,YES,MOVE EXISTING,4,WK 37,120
3291,2,YES,HIRE,4,WK 37,120
2633,2,YES,MOVE EXISTING,4,WK 37,120
2651,1,YES,MOVE EXISTING,4,WK 37,140
2825,1,YES,HIRE,4,WK 37,140
3078,2,YES,MOVE EXISTING,4,WK 37,120
3469,1,YES,MOVE EXISTING,4,WK 37,140
4153,2,YES,HIRE,4,WK 37,120
5201,2,YES,MOVE EXISTING,4,WK 37,120
5281,1,YES,HIRE,4,WK 37,140
3292,1,YES,MOVE EXISTING,4,WK 37,140
3598,2,YES,MOVE EXISTING,4,WK 37,120
3912,2,YES,HIRE,4,WK 37,120
5111,1,YES,HIRE,4,WK 37,140
5178,2,YES,MOVE EXISTING,4,WK 37,120
5447,1,YES,MOVE EXISTING,4,WK 37,140
5867,2,YES,MOVE EXISTING,4,WK 37,120
1781,2,YES,MOVE EXISTING,4,WK 37,120
1835,1,YES,MOVE EXISTING,4,WK 37,140
1976,1,YES,MOVE EXISTING,4,WK 37,140
2120,2,YES,HIRE,4,WK 37,120
2135,3,NO,-,4,WK 37,80
2262,2,YES,MOVE EXISTING,4,WK 37,120
2992,2,YES,MOVE EXISTING,4,WK 37,120
3221,3,NO,-,4,WK 37,80
5240,3,NO,-,4,WK 37,80
5732,2,YES,HIRE,4,WK 37,120
1623,1,YES,MOVE EXISTING,4,WK 37,140
1884,1,YES,MOVE EXISTING,4,WK 37,140
1945,3,NO,-,4,WK 37,80
2024,2,YES,HIRE,4,WK 37,120
2208,2,YES,MOVE EXISTING,4,WK 37,120
2480,2,YES,HIRE,4,WK 37,120
2543,2,YES,HIRE,4,WK 37,120
4276,2,YES,HIRE,4,WK 37,120
1191,2,YES,HIRE,4,WK 37,120
1287,2,YES,MOVE EXISTING,4,WK 37,120
1288,3,NO,-,4,WK 37,80
1579,3,NO,-,4,WK 37,80
2137,2,YES,MOVE EXISTING,4,WK 37,120
2256,2,YES,HIRE,4,WK 37,120
2845,3,NO,-,4,WK 37,80
3182,3,NO,-,4,WK 37,80
3612,2,YES,MOVE EXISTING,4,WK 37,120
5346,2,YES,MOVE EXISTING,4,WK 37,120
1614,2,YES,MOVE EXISTING,4,WK 37,120
1751,3,NO,-,3,WK 37,80
1816,3,NO,-,3,WK 37,80
1953,3,NO,-,3,WK 37,80
2058,2,YES,HIRE,4,WK 37,120
4250,2,YES,HIRE,4,WK 37,120
4484,2,YES,MOVE EXISTING,4,WK 37,120
5118,2,YES,MOVE EXISTING,4,WK 37,120
5254,2,YES,MOVE EXISTING,4,WK 37,120
5292,2,YES,MOVE EXISTING,4,WK 37,120
1237,2,YES,HIRE,4,WK 37,120
1321,1,YES,MOVE EXISTING,4,WK 37,140
1372,2,YES,MOVE EXISTING,4,WK 37,120
1664,1,YES,HIRE,4,WK 37,140
2247,2,YES,HIRE,4,WK 37,120
2836,2,YES,MOVE EXISTING,4,WK 37,120
3889,3,NO,-,4,WK 37,80
4458,3,NO,-,4,WK 37,80
4499,2,YES,HIRE,4,WK 37,120
4564,3,NO,-,4,WK 37,80
5046,2,YES,MOVE EXISTING,4,WK 37,120
5743,2,YES,HIRE,4,WK 37,120
1197,2,YES,MOVE EXISTING,4,WK 37,120
1354,2,YES,HIRE,4,WK 37,120
1379,2,YES,MOVE EXISTING,4,WK 37,120
1502,2,YES,MOVE EXISTING,4,WK 37,120
1527,1,YES,MOVE EXISTING,4,WK 37,140
1641,2,YES,HIRE,4,WK 37,120
1950,3,NO,-,3,WK 37,80
2000,2,YES,MOVE EXISTING,4,WK 37,120
2730,3,NO,-,3,WK 37,80
4459,3,NO,-,3,WK 37,80
5851,2,YES,HIRE,4,WK 37,120
1236,2,YES,MOVE EXISTING,4,WK 37,120
1298,1,YES,MOVE EXISTING,4,WK 37,140
1300,2,YES,MOVE EXISTING,4,WK 37,120
1355,2,YES,MOVE EXISTING,4,WK 37,120
1661,2,YES,HIRE,4,WK 37,120
3701,3,NO,-,3,WK 37,80
3825,2,YES,HIRE,4,WK 37,120
3864,2,YES,MOVE EXISTING,4,WK 37,120
7009,3,NO,-,4,WK 37,80
7179,2,YES,HIRE,4,WK 37,120
7238,3,NO,-,3,WK 37,80
948,2,YES,MOVE EXISTING,4,WK 37,120
1039,2,YES,MOVE EXISTING,4,WK 37,120
1060,2,YES,MOVE EXISTING,4,WK 37,120
1064,2,YES,MOVE EXISTING,4,WK 37,120
1096,2,YES,HIRE,4,WK 37,120
1131,3,NO,-,3,WK 37,80
1290,2,YES,HIRE,4,WK 37,120
1337,2,YES,HIRE,4,WK 37,120
1662,2,YES,MOVE EXISTING,4,WK 37,120
4224,2,YES,HIRE,4,WK 37,120
4410,2,YES,MOVE EXISTING,4,WK 37,120
1034,1,YES,MOVE EXISTING,4,WK 37,140
1209,2,YES,MOVE EXISTING,4,WK 37,120
1385,2,YES,MOVE EXISTING,4,WK 37,120
1464,1,YES,MOVE EXISTING,4,WK 37,140
4274,2,YES,MOVE EXISTING,4,WK 37,120
4594,3,NO,-,4,WK 37,80
5085,2,YES,MOVE EXISTING,4,WK 37,120
5298,2,YES,MOVE EXISTING,4,WK 37,120
5481,3,NO,-,4,WK 37,80
5745,2,YES,MOVE EXISTING,4,WK 37,120
1027,2,YES,HIRE,4,WK 37,120
1133,2,YES,MOVE EXISTING,4,WK 37,120
1156,1,YES,MOVE EXISTING,4,WK 37,140
1821,2,YES,HIRE,4,WK 37,120
2005,1,YES,MOVE EXISTING,4,WK 37,140
2134,2,YES,MOVE EXISTING,4,WK 37,120
4574,2,YES,HIRE,4,WK 37,120
5747,2,YES,HIRE,4,WK 37,120
5879,3,NO,-,4,WK 37,80
1322,2,YES,HIRE,4,WK 37,120
1552,2,YES,MOVE EXISTING,4,WK 37,120
1613,2,YES,HIRE,4,WK 37,120
1849,2,YES,MOVE EXISTING,4,WK 37,120
2472,2,YES,MOVE EXISTING,4,WK 37,120
2793,2,YES,MOVE EXISTING,4,WK 37,120
3503,2,YES,MOVE EXISTING,4,WK 37,120
3626,2,YES,MOVE EXISTING,4,WK 37,120
4477,2,YES,MOVE EXISTING,4,WK 37,120
6789,2,YES,HIRE,4,WK 37,120
877,1,YES,MOVE EXISTING,4,WK 37,140
1010,2,YES,MOVE EXISTING,4,WK 37,120
1097,2,YES,MOVE EXISTING,4,WK 37,120
1255,2,YES,HIRE,4,WK 37,120
1452,3,NO,-,3,WK 37,80
1666,2,YES,MOVE EXISTING,4,WK 37,120
2908,3,NO,-,3,WK 37,80
3371,2,YES,MOVE EXISTING,4,WK 37,120
3700,2,YES,HIRE,4,WK 37,120
5063,2,YES,MOVE EXISTING,4,WK 37,120
1968,2,YES,HIRE,4,WK 37,120
2009,3,NO,-,3,WK 37,80
2045,2,YES,MOVE EXISTING,4,WK 37,120
2577,2,YES,MOVE EXISTING,4,WK 37,120
3489,2,YES,HIRE,4,WK 37,120
3780,2,YES,MOVE EXISTING,4,WK 37,120
5450,2,YES,HIRE,4,WK 37,120
1875,1,YES,MOVE EXISTING,4,WK 37,140
2279,1,YES,MOVE EXISTING,4,WK 37,140
2435,1,YES,MOVE EXISTING,4,WK 37,140
3481,2,YES,HIRE,4,WK 37,120
3490,2,YES,HIRE,4,WK 37,120
5228,2,YES,HIRE,4,WK 37,120
5382,2,YES,MOVE EXISTING,4,WK 37,120
1525,2,YES,MOVE EXISTING,4,WK 37,120
1730,3,NO,-,4,WK 37,80
2295,2,YES,MOVE EXISTING,4,WK 37,120
2795,3,NO,-,4,WK 37,80
3219,2,YES,MOVE EXISTING,4,WK 37,120
3869,3,NO,-,3,WK 37,80
4191,3,NO,-,3,WK 37,80
4350,3,NO,-,3,WK 37,80
7032,2,YES,MOVE EXISTING,4,WK 37,120
1631,2,YES,MOVE EXISTING,4,WK 37,120
1682,2,YES,HIRE,4,WK 37,120
1687,2,YES,MOVE EXISTING,4,WK 37,120
1759,2,YES,HIRE,4,WK 37,120
1773,2,YES,MOVE EXISTING,4,WK 37,120
3214,2,YES,MOVE EXISTING,4,WK 37,120
3265,1,YES,HIRE,4,WK 37,140
3831,2,YES,MOVE EXISTING,4,WK 37,120
4623,3,NO,-,3,WK 37,80
1688,2,YES,HIRE,4,WK 37,120
1811,2,YES,MOVE EXISTING,4,WK 37,120
1841,1,YES,MOVE EXISTING,4,WK 37,140
2529,2,YES,MOVE EXISTING,4,WK 37,120
3216,2,YES,MOVE EXISTING,4,WK 37,120
3644,3,NO,-,4,WK 37,80
4064,2,YES,HIRE,4,WK 37,120
5253,2,YES,MOVE EXISTING,4,WK 37,120
5488,1,YES,MOVE EXISTING,4,WK 37,140
5922,3,NO,-,4,WK 37,80
1424,1,YES,MOVE EXISTING,4,WK 37,140
1523,2,YES,MOVE EXISTING,4,WK 37,120
1524,2,YES,MOVE EXISTING,4,WK 37,120
1969,2,YES,MOVE EXISTING,4,WK 37,120
2160,3,NO,-,4,WK 37,80
2808,2,YES,MOVE EXISTING,4,WK 37,120
2821,2,YES,MOVE EXISTING,4,WK 37,120
4476,2,YES,HIRE,4,WK 37,120
5847,3,NO,-,4,WK 37,80
1833,2,YES,MOVE EXISTING,4,WK 37,120
1852,1,YES,MOVE EXISTING,4,WK 37,140
2136,2,YES,MOVE EXISTING,4,WK 37,120
2438,2,YES,MOVE EXISTING,4,WK 37,120
2520,3,NO,-,4,WK 37,80
3588,2,YES,HIRE,4,WK 37,120
4258,3,NO,-,4,WK 37,80
4638,3,NO,-,4,WK 37,80
5343,1,YES,MOVE EXISTING,4,WK 37,140
5731,3,NO,-,4,WK 37,80
1867,2,YES,MOVE EXISTING,4,WK 37,120
2248,1,YES,MOVE EXISTING,4,WK 37,140
2412,2,YES,MOVE EXISTING,4,WK 37,120
2436,2,YES,HIRE,4,WK 37,120
2850,3,NO,-,4,WK 37,80
3720,1,YES,MOVE EXISTING,4,WK 37,140
3804,2,YES,MOVE EXISTING,4,WK 37,120
1243,2,YES,MOVE EXISTING,4,WK 37,120
1292,2,YES,MOVE EXISTING,4,WK 37,120
1301,2,YES,MOVE EXISTING,4,WK 37,120
1309,2,YES,HIRE,4,WK 37,120
1652,3,NO,-,4,WK 37,80
2312,2,YES,MOVE EXISTING,4,WK 37,120
2337,3,NO,-,4,WK 37,80
2762,3,NO,-,4,WK 37,80
3243,2,YES,MOVE EXISTING,4,WK 37,120
3770,3,NO,-,3,WK 37,80
1345,2,YES,MOVE EXISTING,4,WK 37,120
1399,3,NO,-,4,WK 37,80
1465,1,YES,MOVE EXISTING,4,WK 37,140
1486,2,YES,MOVE EXISTING,4,WK 37,120
1934,2,YES,HIRE,4,WK 37,120
2645,3,NO,-,3,WK 37,80
2705,3,NO,-,4,WK 37,80
2805,3,NO,-,3,WK 37,80
3768,3,NO,-,4,WK 37,80
4636,3,NO,-,3,WK 37,80
1716,2,YES,MOVE EXISTING,4,WK 37,120
1717,1,YES,MOVE EXISTING,4,WK 37,140
1893,1,YES,MOVE EXISTING,4,WK 37,140
1981,2,YES,HIRE,4,WK 37,120
2799,1,YES,HIRE,4,WK 37,140
2853,1,YES,MOVE EXISTING,4,WK 37,140
5345,3,NO,-,3,WK 37,80
5779,3,NO,-,4,WK 37,80
1677,2,YES,MOVE EXISTING,4,WK 37,120
1806,2,YES,MOVE EXISTING,4,WK 37,120
2093,2,YES,MOVE EXISTING,4,WK 37,120
2146,2,YES,MOVE EXISTING,4,WK 37,120
2234,2,YES,MOVE EXISTING,4,WK 37,120
2264,2,YES,MOVE EXISTING,4,WK 37,120
2285,1,YES,HIRE,4,WK 37,140
2444,2,YES,MOVE EXISTING,4,WK 37,120
2874,2,YES,MOVE EXISTING,4,WK 37,120
1705,3,NO,-,4,WK 37,80
1830,2,YES,MOVE EXISTING,4,WK 37,120
1831,2,YES,MOVE EXISTING,4,WK 37,120
1926,3,NO,-,4,WK 37,80
2166,1,YES,MOVE EXISTING,4,WK 37,140
2581,1,YES,MOVE EXISTING,4,WK 37,140
2911,3,NO,-,4,WK 37,80
3332,2,YES,MOVE EXISTING,4,WK 37,120
5242,1,YES,MOVE EXISTING,4,WK 37,140
1619,1,YES,MOVE EXISTING,4,WK 37,140
1673,2,YES,HIRE,4,WK 37,120
1731,3,NO,-,4,WK 37,80
1744,2,YES,MOVE EXISTING,4,WK 37,120
1813,3,NO,-,4,WK 37,80
2785,3,NO,-,3,WK 37,80
2859,2,YES,MOVE EXISTING,4,WK 37,120
3280,2,YES,MOVE EXISTING,4,WK 37,120
3842,3,NO,-,4,WK 37,80
1949,2,YES,MOVE EXISTING,4,WK 37,120
1966,2,YES,MOVE EXISTING,4,WK 37,120
1973,2,YES,HIRE,4,WK 37,120
2043,3,NO,-,3,WK 37,80
2088,2,YES,HIRE,4,WK 37,120
2159,1,YES,MOVE EXISTING,4,WK 37,140
2164,2,YES,HIRE,4,WK 37,120
2326,2,YES,HIRE,4,WK 37,120
2405,1,YES,MOVE EXISTING,4,WK 37,140
5027,2,YES,MOVE EXISTING,4,WK 37,120
1610,2,YES,MOVE EXISTING,4,WK 37,120
1909,1,YES,HIRE,4,WK 37,140
1993,2,YES,MOVE EXISTING,4,WK 37,120
2107,2,YES,HIRE,4,WK 37,120
2210,1,YES,MOVE EXISTING,4,WK 37,140
2355,2,YES,HIRE,4,WK 37,120
2586,1,YES,MOVE EXISTING,4,WK 37,140
3607,3,NO,-,3,WK 37,80
4597,2,YES,HIRE,4,WK 37,120
5282,2,YES,MOVE EXISTING,4,WK 37,120
1656,2,YES,MOVE EXISTING,4,WK 37,120
2278,2,YES,MOVE EXISTING,4,WK 37,120
2561,2,YES,MOVE EXISTING,4,WK 37,120
2597,2,YES,MOVE EXISTING,4,WK 37,120
2674,3,NO,-,4,WK 37,80
2909,3,NO,-,3,WK 37,80
3253,3,NO,-,4,WK 37,80
3281,2,YES,MOVE EXISTING,4,WK 37,120
3429,2,YES,MOVE EXISTING,4,WK 37,120
3514,3,NO,-,4,WK 37,80
5360,3,NO,-,3,WK 37,80
5445,3,NO,-,4,WK 37,80
