Store Number,Department Category Description ,WK05,WK06,WK07,WK08,WK09,WK10,WK11,WK12,WK13,WK14,WK15,WK16,WK17,WK18,WK19,WK20,WK21,WK22,WK23,WK24,WK25,WK26,WK27,WK28,WK29,WK30,WK31,WK32,WK33,WK34,WK35,WK36,WK37,WK38,WK39,WK40,WK41,WK42,WK43,WK44,WK45,WK46,WK47,WK48,WK49,WK50,WK51,WK52,WK01,WK02,WK03,WK04,WK05,,,
7,FULL SIZE GRIDDLES,3,1,,3,2,2,3,3,3,3,3,4,2,5,2,5,6,5,2,1,1,1,,1,1,3,1,2,,2,1,2,1,,2,,1,2,2,3,2,3,4,,2,,,1,,1,,1,,,,
7,FULL SIZE PELLET GRILLS,2,1,,1,2,0,1,1,2,1,,,1,3,,2,2,,1,,1,2,,1,1,,1,1,1,3,3,,1,1,1,1,2,,1,2,,,3,1,0,,,1,,1,3,1,,,,
8,FULL SIZE GAS GRILLS,2,3,1,1,1,2,7,2,,3,,2,3,1,6,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
8,FULL SIZE GRIDDLES,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,COMBO GRILLS,,,,1,,,1,,,,2,1,1,,,,2,,2,,,,,,,2,,1,,1,,1,1,,,,,,,,,,,,,,,1,,,,,,,,
9,FULL SIZE GAS GRILLS,,,3,1,3,1,1,3,1,1,2,3,2,2,1,1,3,3,5,,2,0,1,4,4,1,6,3,0,3,1,,3,,,,,,1,,,,1,,,,1,,1,,,,,,,
9,FULL SIZE GRIDDLES,,2,1,1,4,1,2,5,6,,5,2,3,2,3,4,2,4,1,,2,1,,2,4,15,14,6,1,,2,,,,,2,,1,1,,,1,2,,,,,2,,1,1,1,,,,
9,FULL SIZE PELLET GRILLS,4,5,1,1,2,2,4,2,1,2,4,6,1,7,1,6,6,1,4,1,4,2,1,2,3,4,1,4,1,5,2,,2,,2,,,1,1,3,,3,3,,1,,,,1,3,,3,,,,
10,COMBO GRILLS,,,3,,1,1,1,1,,,,,,,,1,2,,,2,,,,2,1,,1,3,,3,1,,1,,,1,,,,,,,,,,1,,,,,,,,,,
10,FULL SIZE GAS GRILLS,4,2,3,2,2,5,3,3,1,4,5,6,1,8,1,8,13,7,4,3,1,2,3,2,4,4,2,3,1,3,2,,2,1,,1,,1,,,2,1,1,2,4,3,0,6,1,1,6,1,,,,
10,FULL SIZE GRIDDLES,,,3,4,3,5,,,2,4,4,,2,5,5,12,5,3,1,4,2,3,4,2,1,,2,2,,1,,,1,1,1,2,0,1,4,1,,2,1,,8,1,,1,2,1,3,4,2,,,
10,FULL SIZE PELLET GRILLS,,1,1,3,,1,4,,1,2,3,2,1,2,0,3,3,4,3,2,2,1,1,1,2,,,,2,6,1,,,1,2,,,,1,,,1,,,,1,1,2,,,1,2,,,,
11,COMBO GRILLS,,,1,2,,,,1,1,2,1,1,1,1,2,1,7,1,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,
11,FULL SIZE GAS GRILLS,3,4,3,6,5,4,2,2,2,6,9,9,9,9,3,3,4,19,15,4,7,7,5,11,5,5,12,17,10,9,3,3,1,3,,2,2,,,,1,2,1,,1,3,2,3,,3,5,6,2,,,
11,FULL SIZE GRIDDLES,3,2,1,6,4,2,3,,6,5,7,6,8,8,2,10,10,14,5,7,3,1,3,1,1,5,9,2,3,1,5,2,3,1,2,,1,1,2,4,1,,7,1,3,3,2,1,1,,3,3,3,,,
11,FULL SIZE PELLET GRILLS,0,,4,2,4,3,2,7,4,4,7,4,4,5,3,3,11,6,7,3,3,1,2,0,2,2,3,2,,1,1,3,2,1,2,,,1,2,1,2,4,7,,2,2,1,2,1,2,3,1,2,,,
12,COMBO GRILLS,,,,1,2,,1,,2,1,,1,2,2,1,2,1,1,1,1,1,,,,1,,2,1,1,2,3,,1,,1,,,,,,,,,,1,1,,2,1,,,,,,,
12,FULL SIZE GAS GRILLS,3,2,1,5,4,3,2,1,5,3,5,2,8,3,4,3,5,5,7,3,1,2,1,4,4,4,2,6,,3,1,5,1,2,2,2,,,2,,1,,5,,2,1,2,1,,,1,1,1,,,
12,FULL SIZE GRIDDLES,1,2,4,3,6,4,2,4,3,,4,3,8,4,4,11,13,3,7,3,1,7,2,,2,5,2,6,1,,1,2,1,,3,1,0,,4,1,1,2,4,,1,3,2,1,2,,2,,,,,
12,FULL SIZE PELLET GRILLS,2,5,1,1,,2,3,2,2,,4,3,3,2,1,2,3,3,2,1,1,2,1,3,,1,,5,,3,5,1,1,1,,,2,2,,1,,2,2,2,,3,,,1,,3,1,,,,
13,COMBO GRILLS,,,,,2,,1,,,2,,,,1,,2,1,1,,1,,1,,,1,,1,3,3,2,1,2,,,,,,,,,,,,,,1,1,,,2,4,1,,,,
13,FULL SIZE GAS GRILLS,,,1,1,4,3,1,3,2,3,1,1,,2,3,4,3,4,3,1,1,1,1,,1,1,4,5,3,1,4,3,2,,,,,,,,,2,1,1,,,,1,,1,,2,1,,,
13,FULL SIZE GRIDDLES,4,1,2,1,1,4,5,,2,1,5,,5,1,3,4,6,5,5,3,2,2,2,3,,3,10,2,2,3,2,2,,,,,,,,1,,2,1,1,2,1,1,2,,1,1,1,,,,
13,FULL SIZE PELLET GRILLS,2,2,1,3,1,1,,3,,4,3,,2,4,1,3,1,,1,,,1,,,,,5,3,,7,,1,1,,,1,,1,1,,1,2,8,1,,1,,,,1,,,,,,
14,COMBO GRILLS,4,,,,,,,,3,,,1,1,2,1,4,1,,,,1,1,,,,1,1,3,2,,1,0,,,,,,,,,,,,,3,4,,,,,,,,,,
14,FULL SIZE GAS GRILLS,2,,1,,4,5,2,3,6,3,2,3,4,5,6,3,8,8,11,2,1,5,1,3,2,,0,2,3,3,2,1,1,1,3,2,1,,,,,,1,,,,3,1,,1,4,3,2,,,
14,FULL SIZE GRIDDLES,,2,1,,,5,4,2,7,6,2,3,4,6,6,12,10,4,4,2,2,6,,2,4,,7,9,5,5,2,3,1,,,1,,1,8,,1,2,,,,1,,,1,1,,3,,,,
14,FULL SIZE PELLET GRILLS,2,,,2,2,,1,2,,1,2,,2,9,1,3,2,3,1,2,0,1,2,1,3,2,1,,3,1,4,1,2,2,,,3,,,1,,,1,,2,1,1,,,1,2,2,,,,
15,COMBO GRILLS,4,1,,,,,,3,1,3,,,2,1,,1,1,1,,1,2,,2,,,,3,6,,1,2,,1,1,1,1,,,,,,1,,,,,,,,1,1,,1,,,
15,FULL SIZE GAS GRILLS,7,4,10,5,9,10,10,7,5,12,11,12,11,19,9,14,8,22,11,7,2,8,8,5,13,9,7,11,6,2,3,3,5,3,7,4,5,7,8,5,8,,6,1,3,1,3,1,4,4,2,5,1,,,
15,FULL SIZE GRIDDLES,4,2,2,5,1,2,3,1,5,5,4,5,2,4,5,5,7,2,10,2,5,1,1,6,3,2,8,7,3,1,1,,2,1,,1,2,,4,,1,2,4,2,,,1,3,1,,1,5,,,,
15,FULL SIZE PELLET GRILLS,4,3,4,5,4,2,4,4,2,5,4,3,9,11,6,20,10,8,6,1,3,1,2,3,2,3,4,1,1,11,5,1,2,1,,4,7,4,8,7,5,8,9,3,3,1,2,2,2,3,4,5,4,,,
16,COMBO GRILLS,,,1,2,,,,,,,,2,,,,2,1,1,,1,1,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,1,,,,
16,FULL SIZE GAS GRILLS,2,1,,3,1,2,1,2,2,,1,1,3,3,4,7,5,13,10,6,2,,1,2,1,5,5,7,7,6,5,6,5,1,2,1,2,,2,3,1,2,3,,,1,,,,1,,5,,,,
16,FULL SIZE GRIDDLES,3,2,,,2,1,2,1,4,2,1,2,1,2,2,9,8,1,3,2,1,1,2,1,3,1,6,2,6,2,2,5,3,3,2,,,,1,2,1,4,1,1,,1,,,,1,1,,1,,,
16,FULL SIZE PELLET GRILLS,1,,2,,1,,1,,,1,1,3,2,2,2,2,7,1,1,,1,1,1,,2,3,2,7,4,1,1,1,,,2,1,2,,,1,,1,1,,,1,1,,1,2,,1,,,,
17,COMBO GRILLS,,,,3,1,1,1,,,2,1,4,2,3,1,,1,2,1,,1,,,,,1,3,1,2,2,3,3,1,1,,,,,,2,,,,,,3,1,2,,,,,1,,,
17,FULL SIZE GAS GRILLS,2,1,3,5,5,3,3,1,4,2,5,2,2,6,9,4,12,12,6,2,4,4,1,,3,6,2,1,1,5,,1,2,2,,1,,,,,1,1,,2,1,5,1,0,2,7,2,1,1,,,
17,FULL SIZE GRIDDLES,2,1,,2,3,2,4,2,1,,1,3,4,6,3,11,4,2,4,2,3,2,1,,3,3,8,3,5,3,1,2,,,,1,1,,1,5,,1,2,,1,2,1,3,1,1,2,2,,,,
17,FULL SIZE PELLET GRILLS,0,3,,1,4,5,3,2,2,7,,2,4,8,3,6,10,5,3,2,1,,,1,1,,6,2,1,3,,1,1,3,1,1,2,4,1,1,1,3,5,,,2,,1,2,3,,2,1,,,
18,COMBO GRILLS,,,,,,,,,1,,,,,1,,,,,,,,,,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,FULL SIZE GAS GRILLS,1,3,,1,1,1,,0,2,,1,1,1,3,3,1,1,3,4,2,,1,,3,,1,1,5,1,1,1,,2,0,2,,,,1,2,1,,,,,,1,,,1,,,1,,,
18,FULL SIZE GRIDDLES,1,,,,,2,1,1,3,2,1,1,1,1,1,1,3,2,1,1,,1,,,,1,,1,1,,1,,1,1,,,,1,2,3,,,1,,,,2,1,1,1,1,3,,,,
18,FULL SIZE PELLET GRILLS,1,2,3,,3,1,,1,3,2,3,2,,1,2,2,,1,1,1,,,,2,2,5,2,0,,1,2,1,,1,,,2,,1,,,,1,,1,,1,1,,,3,1,,,,
19,COMBO GRILLS,,1,1,,,1,1,,,2,,2,3,,,1,0,2,2,,1,,1,,,2,2,,,1,0,1,,,1,1,,,,,,1,1,,,,,,,,,,,,,
19,FULL SIZE GAS GRILLS,1,1,,,,7,3,7,4,3,3,3,2,7,7,7,8,9,10,6,2,2,3,2,3,2,4,5,2,3,2,2,1,1,,3,2,,1,1,,,1,1,,1,1,,,1,2,5,,,,
19,FULL SIZE GRIDDLES,3,3,4,5,2,1,4,4,8,4,7,3,6,4,6,11,6,8,5,10,3,5,4,2,5,1,2,2,,2,,1,2,,2,1,3,,7,1,0,1,1,,1,0,,,3,1,,2,1,,,
19,FULL SIZE PELLET GRILLS,2,2,3,5,5,5,4,1,5,2,4,8,4,5,6,23,14,7,10,4,1,2,6,,2,3,1,4,4,5,,1,1,,1,,,,2,1,2,3,2,1,1,,,2,2,4,1,3,3,,,
20,COMBO GRILLS,,1,1,,,1,,1,,2,1,0,,2,2,2,2,1,,0,,1,,,,1,2,6,5,1,1,,,1,3,,,,,,,,1,,,1,1,,7,,1,,,,,
20,FULL SIZE GAS GRILLS,,2,3,2,,3,2,3,1,6,4,2,,4,2,1,10,6,6,4,3,2,3,2,1,,2,5,1,4,3,2,1,2,2,,,,1,1,,,,,1,1,,,,,,1,1,,,
20,FULL SIZE GRIDDLES,2,,,1,4,2,1,1,2,1,1,3,8,5,6,4,9,7,7,5,5,,2,4,2,,11,14,3,4,5,7,7,6,6,1,,,2,2,,3,3,1,,1,3,1,,1,1,3,,,,
20,FULL SIZE PELLET GRILLS,,1,0,3,4,2,2,1,,2,8,1,1,3,6,5,9,5,3,4,1,1,5,2,1,1,5,2,5,2,,,2,1,1,1,1,,,1,,1,2,1,,1,,,6,,5,3,3,,,
21,COMBO GRILLS,,,1,,,2,1,2,1,2,2,1,1,4,1,2,3,2,1,,,1,,,,,5,2,4,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,
21,FULL SIZE GAS GRILLS,,1,2,3,3,7,7,4,7,3,8,5,4,4,3,5,11,10,8,7,1,3,4,2,2,2,3,5,4,2,3,,2,,1,1,1,1,,2,1,1,3,1,1,,1,3,3,,1,2,,,,
21,FULL SIZE GRIDDLES,2,,6,7,4,7,2,3,6,2,4,2,3,6,9,7,9,9,5,2,1,2,4,5,4,3,12,15,2,3,3,3,1,,1,1,,,4,3,,2,1,2,,,2,1,,2,2,3,,,,
21,FULL SIZE PELLET GRILLS,2,1,1,1,3,,3,4,1,3,2,5,2,5,3,4,4,8,5,1,,2,4,,3,1,8,4,,2,3,3,,1,,,4,1,3,4,1,,,2,,1,3,2,,1,2,2,3,,,
22,COMBO GRILLS,,,2,,,2,,,,1,1,,2,2,,2,,1,1,0,,,,,,1,3,,,,3,1,,,,1,,,1,,,,,,,,,,,,,,,,,
22,FULL SIZE GAS GRILLS,,2,2,3,1,1,2,2,1,3,5,,3,5,4,8,8,5,4,2,1,2,1,2,,,10,8,3,0,3,1,,,1,,2,,,,,1,3,0,,,,1,4,,,3,2,,,
22,FULL SIZE GRIDDLES,,,1,4,6,3,1,1,4,2,5,5,2,4,4,10,7,5,1,5,1,2,,4,2,3,4,4,4,3,1,1,3,1,3,1,1,,3,5,,2,10,,,1,,4,,,1,1,1,,,
22,FULL SIZE PELLET GRILLS,4,,4,3,6,1,1,5,2,4,4,1,1,4,2,3,5,3,2,1,1,1,4,1,3,5,4,3,,,1,,1,,2,,2,,3,1,1,,2,1,1,1,3,9,4,,,1,,,,
23,COMBO GRILLS,,1,,,,,,1,,,1,,,1,1,,,,,1,,,,,,1,,4,,,,,,,,,,,,,,,,,,,2,,3,,,,,,,
23,FULL SIZE GAS GRILLS,1,,,1,2,,1,,,1,2,,,,,2,2,3,3,0,1,1,1,,0,,2,4,1,2,,2,1,,,,,,,,,,1,,2,,,,,2,0,,,,,
23,FULL SIZE GRIDDLES,1,1,1,2,,2,1,1,1,2,1,,4,5,,7,4,5,2,1,5,2,2,1,1,,1,2,1,2,1,,1,,,1,,1,2,1,2,3,2,,,1,3,,1,1,,,,,,
23,FULL SIZE PELLET GRILLS,,,,1,1,,1,2,1,,3,,1,3,1,5,7,,2,2,1,1,,1,,,1,3,1,,1,1,,1,,,1,,1,1,1,3,3,,1,0,,,,1,2,,1,,,
24,COMBO GRILLS,,1,,,2,,,,1,,,,,1,1,,,,,,,1,,,,,2,1,2,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,
24,FULL SIZE GAS GRILLS,1,1,2,2,1,4,3,,3,2,2,3,,4,2,3,4,3,5,2,4,1,1,3,4,3,3,3,2,2,2,2,1,2,1,3,2,,1,1,0,,1,1,,,,1,,1,3,2,,,,
24,FULL SIZE GRIDDLES,,1,4,,,4,2,,,4,,1,2,2,1,2,3,3,2,5,1,1,1,,,0,2,2,,,,2,1,,,1,,2,,2,,2,1,4,1,3,,,2,,2,1,,,,
24,FULL SIZE PELLET GRILLS,1,1,,1,1,,,,,2,3,2,1,2,1,2,1,,1,1,2,,,,3,,,4,,8,1,0,,,1,,1,1,0,1,,2,3,1,1,,,,,,,,,,,
25,COMBO GRILLS,,,,,2,2,2,,2,1,1,2,2,0,,,1,1,,,,,,,1,,1,9,,,3,,1,1,,1,,,,1,,,,,,,1,4,,,,,,,,
25,FULL SIZE GAS GRILLS,1,,2,3,1,,2,1,2,2,3,5,3,2,3,,4,9,3,2,3,2,2,3,4,1,4,4,2,1,4,2,2,1,1,1,1,,1,3,,,,,,,3,1,2,2,1,1,1,,,
25,FULL SIZE GRIDDLES,1,,,,,1,3,2,3,2,1,4,1,5,2,3,1,4,,2,2,4,,2,,1,,12,0,1,1,,2,1,,,1,,1,,,2,,1,,,2,3,1,1,,2,1,,,
25,FULL SIZE PELLET GRILLS,,2,1,1,1,1,1,3,1,4,3,1,,4,1,3,2,2,2,1,1,,1,,1,1,2,7,2,2,2,,,,2,1,1,,3,,,2,1,,,,,1,,1,2,2,,,,
26,COMBO GRILLS,,1,,1,,,,,1,,3,,,3,,1,1,,,,,,,,,1,2,2,,,,1,2,1,,,,1,1,,,,,,,,1,,,1,,,,,,
26,FULL SIZE GAS GRILLS,4,,3,1,3,4,3,2,8,7,6,5,5,2,4,5,9,9,9,7,8,3,2,2,4,2,7,3,4,3,,5,1,2,2,3,3,3,1,3,2,4,,,,,,2,,,2,3,1,,,
26,FULL SIZE GRIDDLES,1,,1,2,3,2,0,6,,3,2,2,1,2,2,2,9,5,2,3,4,4,,3,3,,1,3,,,2,,1,1,,,2,,,4,3,,,1,1,,,4,,,,1,1,,,
26,FULL SIZE PELLET GRILLS,2,1,1,,2,1,2,2,1,1,2,3,1,6,4,3,1,4,5,1,,1,,2,,,,,1,2,,,,1,1,1,2,1,,,1,2,1,,,,,,,,,,,,,
27,COMBO GRILLS,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
27,FULL SIZE GAS GRILLS,,,,,2,,1,2,2,4,4,6,5,3,5,1,4,3,4,3,,3,2,1,1,1,,,,1,,1,,,1,,0,,,,,,,,,,,,,,,2,,,,
27,FULL SIZE GRIDDLES,2,2,2,2,3,2,1,1,,3,2,2,2,3,1,6,3,3,2,,,,1,1,1,1,6,3,,,,,,1,,,,1,2,2,1,2,1,1,,,1,,3,2,2,,,,,
27,FULL SIZE PELLET GRILLS,2,2,3,1,,2,,1,5,,1,3,2,3,3,4,2,2,1,3,,1,1,,4,2,5,4,,,2,,,,,,,,1,1,1,2,1,1,2,,,1,1,1,2,2,1,,,
28,COMBO GRILLS,,,1,1,,,1,,1,,,1,1,2,2,1,2,,,,,,,1,,1,,,,3,,,,,,,1,0,,1,,,,,1,,,,,,,,,,,
28,FULL SIZE GAS GRILLS,4,,3,1,3,4,,2,1,6,2,7,4,3,3,4,6,10,7,6,9,3,1,4,2,7,4,8,4,1,6,9,3,,1,,1,,2,,1,,,1,1,,1,,,1,1,3,1,,,
28,FULL SIZE GRIDDLES,1,,1,3,3,1,4,2,1,3,3,2,2,,4,4,4,3,2,,5,2,,3,1,4,2,1,2,2,2,1,3,1,,1,2,,0,4,4,2,4,,,,,,1,,,,,,,
28,FULL SIZE PELLET GRILLS,,1,2,1,3,1,2,,1,2,2,4,3,2,,,3,1,3,,0,1,1,2,,3,3,2,3,1,,2,,,,1,,3,5,,2,,3,1,1,,0,1,,1,2,1,1,,,
29,COMBO GRILLS,,1,,1,,,2,,,,1,,,2,0,2,,,,,,1,,,,3,3,4,2,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,
29,FULL SIZE GAS GRILLS,2,5,1,4,1,3,3,1,1,2,1,1,3,2,1,1,6,8,2,,1,1,1,3,2,1,3,9,4,2,3,6,8,4,1,,,,1,1,,,1,1,,1,1,,,,1,3,,,,
29,FULL SIZE GRIDDLES,5,1,4,1,2,3,,3,1,2,1,6,5,4,5,10,9,4,2,3,1,3,1,1,1,7,8,7,3,1,4,3,,1,1,5,0,,6,1,,,1,,,,1,,,1,2,6,,,,
29,FULL SIZE PELLET GRILLS,,1,,4,4,1,2,1,,1,1,7,4,4,6,7,7,3,4,,3,1,3,1,1,3,3,3,2,2,5,4,5,1,,,,,1,3,,3,0,,1,1,,1,1,1,2,4,,,,
30,COMBO GRILLS,,,,2,,2,,1,,1,,,1,1,1,,1,1,,,,,,,1,,1,2,,7,,1,,,,,1,1,,,,1,1,,,,,,,1,1,1,,,,
30,FULL SIZE GAS GRILLS,1,,1,1,,2,2,5,1,4,3,4,3,4,2,1,5,3,2,2,1,4,2,1,,2,2,,,,1,,2,1,1,,,,,,,,,,,,1,2,,,,2,1,,,
30,FULL SIZE GRIDDLES,2,,2,,,,1,3,5,2,4,2,2,5,,10,5,3,2,4,2,1,3,,2,1,2,,,5,2,,3,1,,,4,1,4,2,2,,5,1,1,,2,3,2,2,2,2,1,,,
30,FULL SIZE PELLET GRILLS,4,3,3,6,2,2,3,2,6,5,0,,4,4,5,2,12,8,7,,2,4,1,2,1,,2,3,,9,4,,,1,1,,1,1,3,1,1,3,3,1,2,1,1,8,2,1,4,3,2,,,
31,COMBO GRILLS,1,,,1,,,,1,,,2,2,,,,,,,1,,,,,,1,,3,4,,,1,1,,,,,,,,,1,,,,,,1,,,,1,1,,,,
31,FULL SIZE GAS GRILLS,3,3,4,5,4,7,6,1,4,1,2,4,3,3,3,7,4,9,10,5,1,3,1,6,3,3,2,19,2,3,0,2,2,2,,,3,,,,1,,,1,1,,1,1,,2,6,0,,,,
31,FULL SIZE GRIDDLES,2,2,4,3,3,4,6,3,1,2,3,3,13,4,7,10,9,5,2,3,1,4,0,2,3,4,1,1,3,1,,,2,,2,2,1,2,5,4,,,0,2,2,,3,,,,1,1,1,,,
31,FULL SIZE PELLET GRILLS,1,1,,5,1,1,6,2,1,5,1,1,2,2,2,5,7,3,3,,4,4,,1,,1,7,3,1,1,4,1,,,3,,1,2,2,1,,2,3,1,1,2,2,1,1,,,,1,,,
32,FULL SIZE GAS GRILLS,,,,,,,,,0,,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
32,FULL SIZE PELLET GRILLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
33,COMBO GRILLS,,,,1,1,,,,,,1,,,1,1,1,,,1,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,1,,,,
33,FULL SIZE GAS GRILLS,,,3,,6,2,,2,1,1,4,1,2,3,1,1,6,9,5,2,3,2,,1,,3,1,5,,,,1,,1,2,1,1,,1,1,1,,1,,,,3,,,2,,2,,,,
33,FULL SIZE GRIDDLES,2,,,,1,1,2,2,2,1,1,6,4,4,3,7,2,3,,2,1,,2,,1,1,2,,2,2,,,,2,,2,,1,4,4,,,,1,2,2,3,1,,1,,1,,,,
33,FULL SIZE PELLET GRILLS,,,1,1,,3,2,1,2,1,2,1,3,7,3,4,4,1,0,2,,,2,1,1,1,,,,,,,,,,,1,1,2,,1,1,1,1,,,,1,,1,2,1,,,,
34,COMBO GRILLS,,,,,,,1,1,1,1,1,1,,,3,2,3,3,1,,,,,,,,,1,5,12,0,,,,,,1,1,1,1,,,,,,1,3,,1,,,,,,,
34,FULL SIZE GAS GRILLS,2,2,4,3,2,2,6,2,2,4,6,3,5,0,3,6,2,4,5,1,2,2,5,2,0,3,3,7,,2,2,2,,3,1,3,1,1,1,0,,2,1,1,0,,1,3,3,3,1,6,,,,
34,FULL SIZE GRIDDLES,4,1,3,1,2,3,2,4,2,3,2,3,7,2,2,8,12,6,0,2,3,6,1,2,2,,6,6,11,4,8,6,1,1,1,,,,4,5,,1,5,1,1,,1,2,3,6,4,8,1,,,
