Store Number,Outlet Number,Asset Number,Tracking Number,Shipment Date,Received Date
2842,200003-124,51500218,5.88E+11,1/24/2023,1/26/2023
5425,200003-175,51500232,5.88E+11,1/24/2023,1/26/2023
1853,200003-035,51500316,5.88E+11,1/23/2023,1/27/2023
1910,200003-044,51500328,5.88E+11,1/23/2023,1/27/2023
2251,200003-087,51500684,5.88E+11,1/23/2023,1/27/2023
2985,200003-132,51500394,5.88E+11,1/24/2023,1/27/2023
2989,200003-133,51500404,5.88E+11,1/24/2023,1/27/2023
3408,200003-137,51500358,5.88E+11,1/24/2023,1/27/2023
3455,200003-138,51500402,5.88E+11,1/24/2023,1/27/2023
3464,200003-139,51500406,5.88E+11,1/24/2023,1/27/2023
3587,200003-147,51500398,5.88E+11,1/24/2023,1/27/2023
3652,200003-148,51500392,5.88E+11,1/24/2023,1/27/2023
3712,200003-149,51500391,5.88E+11,1/24/2023,1/27/2023
4238,200003-151,51500387,5.88E+11,1/24/2023,1/27/2023
5133,200003-159,51500254,5.88E+11,1/24/2023,1/27/2023
5136,200003-160,51500245,5.88E+11,1/24/2023,1/27/2023
5139,200003-161,51500247,5.88E+11,1/24/2023,1/27/2023
5140,200003-162,51500231,5.88E+11,1/24/2023,1/27/2023
5154,200003-164,51500229,5.88E+11,1/24/2023,1/27/2023
5156,200003-165,51500259,5.88E+11,1/24/2023,1/27/2023
5192,200003-168,51500248,5.88E+11,1/24/2023,1/27/2023
5335,200003-172,51500255,5.88E+11,1/24/2023,1/27/2023
5394,200003-174,51500258,5.88E+11,1/24/2023,1/27/2023
5426,200003-176,51500233,5.88E+11,1/24/2023,1/27/2023
5710,200003-179,51500228,5.88E+11,1/24/2023,1/27/2023
5884,200003-185,51500418,5.88E+11,1/24/2023,1/27/2023
5956,200003-186,51500335,5.88E+11,1/24/2023,1/27/2023
5886,200003-187,51500332,5.88E+11,1/24/2023,1/27/2023
5629,200003-188,51500361,5.88E+11,1/24/2023,1/27/2023
5435,200003-189,51500409,5.88E+11,1/24/2023,1/27/2023
3352,200003-190,51500421,5.88E+11,1/24/2023,1/27/2023
5641,200003-193,51500420,5.88E+11,1/24/2023,1/27/2023
3087,200003-199,51500422,5.88E+11,1/24/2023,1/27/2023
5644,200003-200,51500423,5.88E+11,1/24/2023,1/27/2023
5337,200003-202,51500433,5.88E+11,1/24/2023,1/27/2023
5701,200003-204,51500419,5.88E+11,1/24/2023,1/27/2023
5215,200003-203,51500431,5.88E+11,1/24/2023,1/29/2023
2609,200003-117,51500581,5.88E+11,1/23/2023,1/30/2023
2886,200003-125,51500397,5.88E+11,1/24/2023,1/30/2023
2925,200003-126,51500396,5.88E+11,1/24/2023,1/30/2023
2950,200003-128,51500357,5.88E+11,1/24/2023,1/30/2023
2951,200003-129,51500395,5.88E+11,1/24/2023,1/30/2023
2952,200003-130,51500393,5.88E+11,1/24/2023,1/30/2023
3248,200003-134,51500388,5.88E+11,1/24/2023,1/30/2023
3276,200003-136,51500390,5.88E+11,1/24/2023,1/30/2023
3477,200003-140,51500399,5.88E+11,1/24/2023,1/30/2023
3494,200003-142,51500407,5.88E+11,1/24/2023,1/30/2023
3516,200003-143,51500414,5.88E+11,1/24/2023,1/30/2023
3522,200003-144,51500413,5.88E+11,1/24/2023,1/30/2023
3523,200003-145,51500403,5.88E+11,1/24/2023,1/30/2023
3524,200003-146,51500405,5.88E+11,1/24/2023,1/30/2023
5023,200003-154,51500244,5.88E+11,1/24/2023,1/30/2023
5032,200003-155,51500243,5.88E+11,1/24/2023,1/30/2023
5096,200003-158,51500246,5.88E+11,1/24/2023,1/30/2023
5162,200003-166,51500251,5.88E+11,1/24/2023,1/30/2023
5193,200003-169,51500252,5.88E+11,1/24/2023,1/30/2023
5305,200003-171,51500256,5.88E+11,1/24/2023,1/30/2023
5338,200003-173,51500257,5.88E+11,1/24/2023,1/30/2023
5930,200003-183,51500364,5.88E+11,1/24/2023,1/30/2023
5874,200003-191,51500435,5.88E+11,1/24/2023,1/30/2023
4340,200003-192,51500401,5.88E+11,1/24/2023,1/30/2023
5938,200003-195,51500426,5.88E+11,1/24/2023,1/30/2023
5954,200003-196,51500427,5.88E+11,1/24/2023,1/30/2023
5996,200003-205,51500408,5.88E+11,1/24/2023,1/30/2023
3796,200003-206,51500424,5.88E+11,1/24/2023,1/30/2023
3650,200003-207,51500416,5.88E+11,1/24/2023,1/30/2023
3180,200003-208,51500417,5.88E+11,1/24/2023,1/30/2023
4392,200003-209,51500412,5.88E+11,1/24/2023,1/30/2023
5632,200003-215,51500346,5.88E+11,1/24/2023,1/30/2023
4101,200003-218,51500368,5.88E+11,1/24/2023,1/30/2023
4132,200003-221,51500344,5.88E+11,1/25/2023,1/30/2023
5686,200003-222,51500333,5.88E+11,1/24/2023,1/30/2023
2948,200003-224,51500362,5.88E+11,1/25/2023,1/30/2023
3947,200003-225,51500330,5.88E+11,1/25/2023,1/30/2023
2464,200003-226,51500331,5.88E+11,1/25/2023,1/30/2023
4317,200003-227,51500339,5.88E+11,1/25/2023,1/30/2023
5075,200003-157,51500249,5.88E+11,1/24/2023,1/31/2023
5751,200003-180,51500425,5.88E+11,1/24/2023,
5890,200003-182,51500411,5.88E+11,1/24/2023,
5231,200003-210,51500410,5.88E+11,1/24/2023,
4171,200003-211,51500348,5.88E+11,1/24/2023,
2181,200003-213,51500340,5.88E+11,1/24/2023,
4202,200003-214,51500347,5.88E+11,1/24/2023,
3708,200003-216,51500367,5.88E+11,1/24/2023,
4393,200003-217,51500363,5.88E+11,1/24/2023,Refused by location
5859,200003-220,51500366,5.88E+11,1/24/2023,
