Store Number,Address,City,State,Switch Needed?,Printer 2 Shipping Status
784,1045 N GRAND AVE,MOUNT PLEASANT,IA,No,Pending Shipment
786,2300 SYCAMORE RD,DEKALB,IL,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277960920893
789,200 US HIGHWAY 80 E,MESQUITE,TX,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=277965796092
793,1701 N 23RD ST,CANYON,TX,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278008892945
807,6401 NE LOOP 820,NORTH RICHLAND HILLS,TX,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=278008857921
822,3700 E INTERSTATE 40,AMARILLO,TX,Yes,Pending Shipment
827,603 E HIGHWAY 243,CANTON,TX,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278053066938
828,2373 E MAIN ST,PLAINFIELD,IN,No,Pending Shipment
847,601 E LEFFLER ST,DODGEVILLE,WI,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277750609151
849,155 LOUETTA XING,SPRING,TX,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=278053452612
854,2460 E WABASH ST,FRANKFORT,IN,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277750585080
865,1209 S INTERSTATE 35,NEW BRAUNFELS,TX,No,Pending Shipment
867,3322 AVENUE I,SCOTTSBLUFF,NE,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277779714895
870,4040 N NEWTON ST,JASPER,IN,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=277784777660
872,1919 N MAIN ST,PEARLAND,TX,No,Pending Shipment
884,2500 PROGRESS PKWY,SHELBYVILLE,IN,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277750804784
901,550 SOUTH 123 BYPASS,SEGUIN,TX,No,Pending Shipment
902,1750 INDIANAPOLIS RD,GREENCASTLE,IN,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277780228376
910,201 S EDWARDS BLVD,LAKE GENEVA,WI,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277784787271
918,1701 E END BLVD N,MARSHALL,TX,No,Pending Shipment
923,16865 CLOVER RD,NOBLESVILLE,IN,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277871906806
936,1204 AVENUE OF MID AMERICA,EFFINGHAM,IL,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278008900660
965,222 W MCCOY BLVD,TOMAH,WI,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277750683253
979,1600 W WISCONSIN ST,SPARTA,WI,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277779699300
982,1130 W FRONTAGE RD,OWATONNA,MN,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277871890207
995,2125 N MORTON ST,FRANKLIN,IN,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277863591652
1042,488 HIGHWAY 71 W,BASTROP,TX,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277878306414
1044,5050 TROUP HWY,TYLER,TX,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277927589727
1051,407 E STATE ROAD 114,LEVELLAND,TX,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277975253123
1055,5302 N GARLAND AVE,GARLAND,TX,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=277965894552
1062,150 W EL DORADO BLVD,FRIENDSWOOD,TX,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278008886983
1098,400 TINEY BROWNING BLVD,PORT LAVACA,TX,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278005442995
1117,6001 N CENTRAL EXPY,PLANO,TX,No,Pending Shipment
1118,12300 LAKE JUNE RD,BALCH SPRINGS,TX,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=278052939380
1129,13201 RANCH ROAD 620 N,AUSTIN,TX,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=278053446753
1154,1435 E MAIN ST,FREDERICKSBURG,TX,Yes,Pending Shipment
1178,4101 HIGHWAY 121,BEDFORD,TX,No,Pending Shipment
1185,1030 NORWOOD PARK BLVD,AUSTIN,TX,No,Pending Shipment
1186,2121 HIGHWAY 146 BYP,LIBERTY,TX,No,Pending Shipment
1204,3451 NELSON RD,LAKE CHARLES,LA,No,Pending Shipment
1412,4308 E GRAND AVE,LARAMIE,WY,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277975229828
1438,1330 S PROVIDENCE CENTER DR,CEDAR CITY,UT,Yes,Pending Shipment
1439,625 W TELEGRAPH ST,WASHINGTON,UT,No,Pending Shipment
1440,99 W 1280 N,TOOELE,UT,No,Pending Shipment
1483,3001 BROADWAY AVE,YANKTON,SD,Yes,Pending Shipment
1485,2300 S DOUGLAS HWY,GILLETTE,WY,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277965786595
1494,4109 S STAPLES ST,CORPUS CHRISTI,TX,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277863548078
1516,1501 ROOSEVELT,BORGER,TX,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277878329702
1520,3820 7TH AVE SE,ABERDEEN,SD,No,Pending Shipment
1538,2233 6TH ST.,BROOKINGS,SD,No,Pending Shipment
1594,911 HEBRON RD,HEATH,OH,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277863345496
1595,555 COLEMANS CROSSING BLVD,MARYSVILLE,OH,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=277880211123
1602,3401 FREEDOM DR,SPRINGFIELD,IL,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278003407155
1604,1200 N LACROSSE ST,RAPID CITY,SD,Yes,Pending Shipment
1625,1111 HOLTON DR,LE MARS,IA,Yes,Pending Shipment
1626,2000 W MEMORIAL RD,OKLAHOMA CITY,OK,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277863286070
1627,415 34TH ST N,DILWORTH,MN,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277863314155
1628,5500 MILAN RD STE 200,SANDUSKY,OH,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277927621837
1634,15091 18TH ST NE,LITTLE FALLS,MN,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277925775653
1642,1680 PACKARD HWY,CHARLOTTE,MI,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277780219095
1643,377 N ROLLING MEADOWS DR,FOND DU LAC,WI,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277871879305
1652,5225 ALEXANDER RD,DUBLIN,VA,No,Pending Shipment
1654,7295 GLORY RD,BAXTER,MN,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=277917990661
1655,1835 S US HIGHWAY 231,CRAWFORDSVILLE,IN,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=277918074049
1657,150 WESTERN AVE NW,FARIBAULT,MN,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277968064958
1672,2500 LAKE SHORE DR E,ASHLAND,WI,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277863246272
1674,17850 GARLAND GROH BLVD,HAGERSTOWN,MD,No,Pending Shipment
1698,3 COMMERCE DR,HOOKSETT,NH,No,Pending Shipment
1705,1860 N ROAD,WATERLOO,NY,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277918190622
1709,2016 N WAYNE ST,ANGOLA,IN,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=277918276460
1719,21400 PERRY AVE,BIG RAPIDS,MI,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277871774572
1722,1221 E MAIN ST,MARSHALL,MN,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277965885672
1723,5101 SE 14TH ST,DES MOINES,IA,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=277751847533
1733,1621 E M 21,OWOSSO,MI,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=277863189423
1738,1300 HIGHWAY 15 S,HUTCHINSON,MN,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278013235941
1739,30 TRINITY POINT DR,WASHINGTON,PA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277750744524
1740,2545 IL ROUTE 26 S,FREEPORT,IL,No,Pending Shipment
1741,939 N DUPONT BLVD,MILFORD,DE,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277784828746
1750,1546 MARION-MT. GILEAD ROAD,MARION,OH,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=277968056147
1759,6819 WALTON LN,GLOUCESTER,VA,No,Pending Shipment
1762,700 LAFAYETTE ROAD UNIT #1,SEABROOK,NH,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278052983641
1764,1001 73RD ST,DES MOINES,IA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277784836928
1765,2028 N CENTER AVE,SOMERSET,PA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277779668138
1771,1500 S CENTERVILLE RD,STURGIS,MI,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277927537145
1775,3290 S SANTIAM HWY,LEBANON,OR,No,Pending Shipment
1776,1901 MARKET WAY,WATERTOWN,WI,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277925697070
1782,701 GRAND CENTRAL AVE,VIENNA,WV,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277965736763
1783,2700 W BROADWAY ST,PRINCETON,IN,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277968048767
1788,500 GALLERY BLVD,SCARBOROUGH,ME,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278053420709
1792,1102 MILLION DOLLAR HWY,SAINT MARYS,PA,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=277871789690
1794,100 LUNGER DR,BLOOMSBURG,PA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277863156362
1799,2950 NEW PINERY RD,PORTAGE,WI,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277927579120
1809,701 OLDS ST,JONESVILLE,MI,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277925748914
1811,1170 N MILITARY HWY,NORFOLK,VA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277780305529
1817,1350 N 1ST ST,HERMISTON,OR,No,Pending Shipment
1819,180 CEDAR FALLS RD,MENOMONIE,WI,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277968040295
1828,250 CROSSROADS DR,PLOVER,WI,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277965865177
1830,297 GRANT AVE,AUBURN,NY,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=277918005417
1833,1800 CARL D SILVER PKWY,FREDERICKSBURG,VA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277780192691
1839,4380 LEAVITT RD,LORAIN,OH,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277965746753
1861,5815 NORELL AVE N,OAK PARK HEIGHTS,MN,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278005401610
1866,615 WILTON RD,FARMINGTON,ME,No,Pending Shipment
1880,2051 NEWMARK AVE,COOS BAY,OR,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278053300510
1884,900 COMMERCE BLVD,DICKSON CITY,PA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277918089795
1885,400 BUTLER CMNS,BUTLER,PA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277918287629
1890,2702 N SALISBURY BLVD,SALISBURY,MD,No,Pending Shipment
1894,4141 PEARL RD,MEDINA,OH,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=5196 1479 4166
1900,385 N OVERLAND AVE,BURLEY,ID,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=277918203486
1907,724 BRATTLEBORO RD,HINSDALE,NH,Yes,Pending Shipment
1909,1540 MILITARY RD,NIAGARA FALLS,NY,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277968029810
1913,131 W GYPSY LANE RD,BOWLING GREEN,OH,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278003386430
1923,3999 ALPINE AVE NW,COMSTOCK PARK,MI,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277968175671
1927,8160 MACEDONIA COMMONS BLVD,MACEDONIA,OH,No,Pending Shipment
1928,4313 CORUNNA RD,FLINT,MI,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277965856713
1929,1308 HIGHWAY 33 S,CLOQUET,MN,No,Pending Shipment
1931,2121 LINCOLN ST,RHINELANDER,WI,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278013244795
1932,17 MYRICK ST,ELLSWORTH,ME,No,Pending Shipment
1934,315 FURR ST,SOUTH HILL,VA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277750850257
1935,150 TOWN CENTRE DR,JOHNSTOWN,PA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277968122760
1936,3763 I-75 BUSINESS SPUR,SAULT SAINTE MARIE,MI,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278013254693
1937,23605 AIRPORT RD,COSHOCTON,OH,Yes,Pending Shipment
1946,43 STEPHENVILLE ST,MASSENA,NY,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277965728754
1948,400 THREE SPRINGS DR,WEIRTON,WV,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278013264227
1949,10401 BENNETT RD,FREDONIA,NY,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278013272534
1955,3849 NORTHRIDGE DR,ROCKFORD,IL,Yes,Pending Shipment
1962,1920 E MARKLAND AVE,KOKOMO,IN,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=277965841158
1965,3201 MANAWA CENTRE DR,COUNCIL BLUFFS,IA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277751885280
1971,3400 55TH ST NW,ROCHESTER,MN,No,Pending Shipment
1973,350 E FAIRMOUNT AVE,LAKEWOOD,NY,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278003492600
1975,14 BOWEN ST,CLAREMONT,NH,No,Pending Shipment
1981,45485 MIRAMAR WAY,CALIFORNIA,MD,No,Pending Shipment
1987,555 E GENESEE ST,LAPEER,MI,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278003483010
1991,3313 W STATE RD 45,BLOOMINGTON,IN,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278013281539
1993,6265 BROCKPORT SPENCERPORT RD,BROCKPORT,NY,No,Pending Shipment
2006,306 5TH ST,CLARKSTON,WA,No,Pending Shipment
2013,80 WATERVILLE COMMONS DR,WATERVILLE,ME,No,Pending Shipment
2016,810 NORTH HIGHWAY,COLVILLE,WA,Yes,Pending Shipment
2019,355 WALMART DR,UNIONTOWN,PA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277965718260
2022,474 BOSTON POST RD,NORTH WINDHAM,CT,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277780327339
2023,1355 E LEHMAN ST,LEBANON,PA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278013395273
2027,12500 COUNTRY CLUB MALL RD,LAVALE,MD,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277779779686
2036,2700 MOUNTAINEER BLVD,SOUTH CHARLESTON,WV,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277871825084
2056,16 OLD GICK RD,SARATOGA SPRINGS,NY,No,Pending Shipment
2059,2200 GREENGATE CENTRE CIR,GREENSBURG,PA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278003358738
2061,412 OAKS XING,PLAINWELL,MI,No,Pending Shipment
2062,1400 MALL DR,BENTON HARBOR,MI,No,Pending Shipment
2063,6001 MAHONING AVE,AUSTINTOWN,OH,No,Pending Shipment
2064,220 ROUTE 6 & 209,MILFORD,PA,No,Pending Shipment
2078,804 PIKE ST,MARIETTA,OH,Yes,Pending Shipment
2079,3225 US HIGHWAY 41 W,MARQUETTE,MI,No,Pending Shipment
2080,6020 B DR N,BATTLE CREEK,MI,Yes,Pending Shipment
2083,75 RETAIL CIRCLE,MORGANTOWN,WV,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278003373852
2086,1700 DALLAS PKWY,PLANO,TX,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=277927603106
2092,3000 FORD STREET EXT,OGDENSBURG,NY,No,Pending Shipment
2098,3900 MORSE RD,COLUMBUS,OH,No,Pending Shipment
2100,1150 S MAIN ST,CHEBOYGAN,MI,No,Pending Shipment
2101,2720 S QUILLAN ST,KENNEWICK,WA,No,Pending Shipment
2102,4854 W US HIGHWAY 10,LUDINGTON,MI,No,Pending Shipment
2104,1201 ROUTE 300,NEWBURGH,NY,No,Pending Shipment
2105,4122 LBJ FREEWAY,DALLAS,TX,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=277968114040
2107,5735 SOUTH TRANSIT ROAD,LOCKPORT,NY,No,Pending Shipment
2108,4620 BLACK HORSE PIKE,MAYS LANDING,NJ,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277755768008
2115,231 BLUEBELL DR SW,NEW PHILADELPHIA,OH,No,Pending Shipment
2116,891 ROUTE #9,QUEENSBURY,NY,No,Pending Shipment
2120,5396 STATE HIGHWAY 12,NORWICH,NY,No,Pending Shipment
2123,4000 NEW BOSTON RD,TEXARKANA,TX,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277965832407
2129,100 SUPERCENTER DR,CLEARFIELD,PA,No,Pending Shipment
2130,2460 LAFAYETTE RD,PORTSMOUTH,NH,No,Pending Shipment
2133,5017 W HIGHWAY 290,AUSTIN,TX,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278013388455
2136,801 JAMES MADISON HWY,CULPEPER,VA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277782465118
2143,60 FAIRGROUNDS MKT PL,SKOWHEGAN,ME,No,Pending Shipment
2149,1575 COSHOCTON AVE,MOUNT VERNON,OH,No,Pending Shipment
2153,50 BOULDER WAY,BIDDEFORD,ME,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277782495257
2155,677 TIMPANY BLVD,GARDNER,MA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278052805840
2156,750 MIDDLE COUNTRY RD,MIDDLE ISLAND,NY,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277782515631
2159,1869 PLAZA DR,OLEAN,NY,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=277780187648
2160,3500 S CRATER RD,PETERSBURG,VA,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277871850410
2164,317 S CASCADE DR,SPRINGVILLE,NY,Yes,https://www.fedex.com/apps/fedextrack/?tracknumbers=277752016973
2169,1731 BLAKESLEE BOULEVARD DR E,LEHIGHTON,PA,No,Pending Shipment
2170,220 SALEM TPKE,NORWICH,CT,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277863394472
2178,379 SOUTH ST,CALAIS,ME,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277780180183
2191,1215 S MAIN ST,BRYAN,OH,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277782445057
2193,100 MALL DR,STEUBENVILLE,OH,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277782637000
2197,2016 MILLENNIUM BLVD,CORTLAND,OH,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277752104480
2199,50739 VALLEY PLAZA DR,SAINT CLAIRSVILLE,OH,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277782484812
2201,7101 GATEWAY BLVD W,EL PASO,TX,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=278003348200
2202,30 LANDING RD,WINDHAM,ME,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277752044366
2204,1300 DES PLAINES AVE,FOREST PARK,IL,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277782603803
2205,1000 TOWN CENTER DRIVE,YORK,PA,No,Pending Shipment
2207,7250 UNION PARK AVE,MIDVALE,UT,No,https://www.fedex.com/apps/fedextrack/?tracknumbers=277863023699
