Store #,City,Category,Declaration Category,Declared Items,UPC ,Cat,Sub-Cat,Change Request Action ,Store-UPC,Zahra Comments
131,MOUNT PLEASANT,Cheese,Mozzarella 2 lb,GV Mozzarella,78742119076,2,12,No Change,131-78742119076,
131,MOUNT PLEASANT,Cheese,Sharp Cheddar 1 lb,GV Sharp Cheddar 1lb,78742430225,2,12,No Change,131-78742430225,
131,MOUNT PLEASANT,Cheese,Sharp Cheddar 2 lb,GV Sharp Cheddar 2lb,78742148786,2,12,No Change,131-78742148786,
131,MOUNT PLEASANT,Cheese,String ,Frigo String Cheese,41716232163,2,12,No Change,131-41716232163,
131,MOUNT PLEASANT,Cheese,X Sharp Cheddar 1 lb,GV XSharp Cheddar 1lb,78742062570,2,12,No Change,131-78742062570,
131,MOUNT PLEASANT,Frozen Juice,Apple 12 oz Frozen,GV Apple 12 oz Frozen,78742352282,4,5,No Change,131-78742352282,
131,MOUNT PLEASANT,Frozen Juice,Grape P 12 oz Frozen,GV Grape P 12 oz Frozen,78742229799,4,5,No Change,131-78742229799,
131,MOUNT PLEASANT,Frozen Juice,Orange 12 oz - Other Pulp Free Frozen ,GV Orange Pulp Free 12 oz Frozen,78742122373,4,5,No Change,131-78742122373,
131,MOUNT PLEASANT,Frozen Juice,Orange 12 oz Frozen,GV Orange 12 oz Frozen,78742371672,4,5,No Change,131-78742371672,
131,MOUNT PLEASANT,Juice,Apple 48 oz.,Tex Sun Apple 48 oz,16300220017,4,5,No Change,131-16300220017,
131,MOUNT PLEASANT,Juice,Apple 64 oz.,GV Apple 64 oz,78742088198,4,4,No Change,131-78742088198,
131,MOUNT PLEASANT,Juice,Cranberry 64 oz,GV Cranberry 64 oz,78742066929,4,4,No Change,131-78742066929,
131,MOUNT PLEASANT,Juice,Cranberry Grape 64 oz,GV Crangrape 64 oz,78742069906,4,4,No Change,131-78742069906,
131,MOUNT PLEASANT,Juice,Grape Purple 64 oz.,GV Grape Purple 64 oz,78742226903,4,4,No Change,131-78742226903,
131,MOUNT PLEASANT,Juice,Grape White 64 oz.,GV Grape White 64 oz,78742226897,4,4,No Change,131-78742226897,
131,MOUNT PLEASANT,Juice,Orange 48 oz - Non Refrigerated,Tex Sun Orange 48 oz NR,16300220055,4,5,No Change,131-16300220055,
131,MOUNT PLEASANT,Juice,Orange 64 oz - Non Refrigerated,GV Orange 64 oz NR- 7874229660,78742296609,4,4,No Change,131-78742296609,
131,MOUNT PLEASANT,Juice,Orange Pineapple 48 oz,Tex Sun Orange Pineapple 48 oz,16300220062,4,5,No Change,131-16300220062,
131,MOUNT PLEASANT,Juice,Pineapple 64 oz,GV Pineapple 64 oz NR,78742014678,4,4,No Change,131-78742014678,
131,MOUNT PLEASANT,Juice,Tomato 64 oz,GV Tomato 64 oz,78742062099,4,4,No Change,131-78742062099,
131,MOUNT PLEASANT,Juice,Vegetable 64 oz,GV Vegetable 64 oz,78742062037,4,4,No Change,131-78742062037,
131,MOUNT PLEASANT,Milk,1% Gallon Milk,GV 1% Milk Gallon,78742351889,1,2,No Change,131-78742351889,
131,MOUNT PLEASANT,Milk,1% Half Gallon Milk,GV 1% Milk Half Gallon,78742352022,1,6,No Change,131-78742352022,
131,MOUNT PLEASANT,Milk,Skim Gallon Milk,GV Skim Milk Gallon,78742351896,1,2,No Change,131-78742351896,
131,MOUNT PLEASANT,Milk,Skim Half Gallon Milk,GV Skim Milk Half Gallon,78742352039,1,6,No Change,131-78742352039,
131,MOUNT PLEASANT,Milk,Whole Gallon Milk,GV Whole Milk Gallon,78742351865,51,1,No Change,131-78742351865,
131,MOUNT PLEASANT,Milk,Whole Half Gallon Milk,GV Whole Milk Half Gallon,78742352008,51,2,No Change,131-78742352008,
131,MOUNT PLEASANT,Refrigerated Juice,Orange 64 oz Country Style Refrigerated,GV Orange Country Style 64 oz R,78742228822,4,4,No Change,131-78742228822,
131,MOUNT PLEASANT,Refrigerated Juice,Orange 64 oz Refrigerated,GV Orange Juice 64 oz R,78742352169,4,4,No Change,131-78742352169,
131,MOUNT PLEASANT,Refrigerated Juice,Orange 64 oz w/ Calcium Refrigerated,GV Orange w calc Juice 64 oz R,78742229126,4,4,No Change,131-78742229126,
140,LUFKIN,Milk,1% Buttermilk,PRAIRIE FARMS HILAND LOWFAT BUTTERMILK HG-064OZ,72060025118,1,3,Add,140-72060025118,
140,LUFKIN,Milk,1% Quart Milk,PRAIRIE FARMS HILAND 1% QT-032OZ,72060000559,52,1,Add,140-72060000559,
140,LUFKIN,Milk,Skim Quart Milk,PRAIRIE FARMS HILAND SKIM QT-032OZ,72060000863,52,1,Add,140-72060000863,
140,LUFKIN,Milk,Whole Quart Milk,PRAIRIE FARMS HILAND WHOLE QT-032OZ,72060000122,50,1,Add,140-72060000122,
140,LUFKIN,Bread,Whole Wheat Bread,Sara Lee 100% Whole Wheat Bread,72945611030,16,1,No Change,140-72945611030,
140,LUFKIN,Cheese,American,GV Deluxe Sliced American ,78742353272,2,12,No Change,140-78742353272,
140,LUFKIN,Cheese,Colby 1 lb,GV Colby 1lb,78742430201,2,12,No Change,140-78742430201,
140,LUFKIN,Cheese,Colby Jack 1 lb,GV Colby Jack,78742079646,2,12,No Change,140-78742079646,
140,LUFKIN,Cheese,Med Cheddar 1 lb,GV Med Cheddar 1lb,78742217307,2,12,No Change,140-78742217307,
140,LUFKIN,Cheese,Mild Cheddar 1 lb,GV Mild Cheddar 1lb,78742374581,2,12,No Change,140-78742374581,
140,LUFKIN,Cheese,Mild Cheddar 2 lb,GV Mild Cheddar 2lb,78742067735,2,12,No Change,140-78742067735,
140,LUFKIN,Cheese,Monterey Jack - 1 lb,GV Mont Jack,78742430218,2,12,No Change,140-78742430218,
