Store,Phase 1 Signing,Phase 2 Signing,Scan and Pass Fixture Delivery,Scan and Pass Fixture Install,Transition to Reusable Only Bag,Curbside Pickup,Last Mile Delivery Bag Options
1308,Week 44,Week 48,Verified Delivered,Verified Installed,1/1/2023,Bagless,Paper
2125,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
2751,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
3566,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
4284,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
5049,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
5676,Week 44,Week 48,Verified Delivered,Verified Installed,1/1/2023,Bagless,Paper
921,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
986,Week 44,Week 48,Verified Delivered,Verified Installed,1/1/2023,Bagless,Paper
1058,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
1095,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
1199,Week 44,Week 48,Verified Delivered,Verified Installed,1/1/2023,Bagless,Paper
1280,Week 44,Week 48,Verified Delivered,Week 48,1/1/2023,Bagless,Paper
1550,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
1808,Week 44,Week 48,Verified Delivered,Verified Installed,1/1/2023,Bagless,Paper
4377,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
5099,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
5232,Week 44,Week 48,Verified Delivered,Verified Installed,1/1/2023,Bagless,Paper
5458,Week 44,Week 48,Verified Delivered,Verified Installed,1/1/2023,Bagless,Paper
842,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
962,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
1001,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
1019,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
1273,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
1384,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
2672,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
3018,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
3382,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
984,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
1200,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
1434,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
1896,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
3227,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
3582,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
3805,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
4335,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
5123,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
2223,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
2293,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
2752,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
3533,Week 44,Week 48,Verified Delivered,Verified Installed,1/1/2023,Bagless,Paper
3824,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
4734,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
5957,Week 44,Week 48,Verified Delivered,Week 48,1/1/2023,Bagless,Paper
3019,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
3082,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
3083,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
3126,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
3127,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
3128,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
3175,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
3176,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
3740,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
4196,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
4491,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
4747,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
5828,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
6178,Week 44,Week 48,Week 46-47,Week 48,1/1/2023,Bagless,Paper
1610,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
1619,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
1673,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
1677,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
1705,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
1731,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
1744,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
1781,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
1806,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
1810,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
1813,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
1830,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
1831,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
1835,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
1871,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
1891,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
1909,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
1926,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
1940,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
1946,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
1949,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
1959,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
1966,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
1973,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
1976,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
1980,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
1993,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
1994,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
1997,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2022,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2043,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2056,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2088,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2092,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2093,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2097,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2104,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2107,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2116,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2120,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2135,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2144,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2146,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2152,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2156,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2159,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2163,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2164,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2166,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2170,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2200,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2210,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2232,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2234,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2262,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2264,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2282,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2284,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2285,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2286,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2299,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2321,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2326,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2331,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2351,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2355,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2370,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2371,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2405,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2424,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2444,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2473,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2504,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2531,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2547,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2581,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2583,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2585,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2586,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2637,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2719,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2785,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2844,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2854,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2859,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2874,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2897,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2898,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2899,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2900,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2905,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2906,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2911,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2915,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2916,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2917,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2954,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2965,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
2992,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
3221,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
3280,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
3329,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
3332,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
3334,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
3420,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
3543,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
3545,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
3546,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
3547,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
3548,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
3583,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
3607,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
3803,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
3842,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
4403,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
4570,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
4597,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
5027,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
5095,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
5202,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
5240,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
5242,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
5282,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
5293,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
5294,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
5295,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
5439,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
5497,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
5498,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
5732,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
5777,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
8331,Week 44,Week 48,N/A,N/A,1/18/2023,Bagless,Paper
