Store,Guide,Dept,Item Description,Feature Type,Feature Order Quantity,Feature Arrival WK,Comments
38,2025 Winter,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,1,2,
38,2025 Winter,Dept 40,EQ Small Bag Cough Drops,PDQ,1,2,
39,2025 Winter,Dept 79,Single Fruit 36 units,SDK,1,2,
39,2025 Winter,Dept 95,Strawberry Twinkies 8-count 10.86oz,Half Endcap,1,2,
40,2025 Winter,Dept 02,EOS 40PC BODY MIST,SDK,1,2,
40,2025 Winter,Dept 02,eos Body Lotion 24pc,SDK,1,2,
40,2025 Winter,Dept 13,"Mr. Clean Magic Eraser, 20 count",SDK,1,2,
40,2025 Winter,Dept 16,"18IN SNOWSHVL COMBO, 10 units",PDQ,1,2,
40,2025 Winter,Dept 16,"27IN SNOW ROLLER, 6 units",PDQ,1,2,
40,2025 Winter,Dept 16,"PREM BLEND Ice Melt, 100pcs",Full Stack,2,2,
40,2025 Winter,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
40,2025 Winter,Dept 40,EQ No Drip Nasal Sprays 36PC,SDK,1,2,
40,2025 Winter,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,1,2,
40,2025 Winter,Dept 46,Neutrogena Wipes 25 ct - 100pc,Full Endcap,1,2,
40,2025 Winter,Dept 79,Assortment: Parent's Choice 4PK Electrolyte Drink,4-way,1,2,
40,2025 Winter,Dept 79,Single Fruit 36 units,SDK,1,2,
40,2025 Winter,Dept 82,BIC 2pk Ult Ltr,Full Endcap,1,2,
40,2025 Winter,Dept 92,"Quaker Protein Oatmeal Half Pallet, 184ct",Half Stack,1,2,
40,2025 Winter,Dept 95,Carrot Cake Donettes Bag 9.5oz,Half Endcap,2,2,
40,2025 Winter,Dept 95,Strawberry Twinkies 8-count 10.86oz,Half Endcap,1,2,
41,2025 Winter,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
41,2025 Winter,Dept 95,Carrot Cake Donettes Bag 9.5oz,Half Endcap,2,2,
41,2025 Winter,Dept 95,Strawberry Twinkies 8-count 10.86oz,Half Endcap,1,2,
43,2025 Winter,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
43,2025 Winter,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,1,2,
43,2025 Winter,Dept 40,EQ Small Bag Cough Drops,PDQ,1,2,
44,2025 Winter,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
44,2025 Winter,Dept 40,EQ Small Bag Cough Drops,PDQ,1,2,
44,2025 Winter,Dept 79,Assortment: Parent's Choice 4PK Electrolyte Drink,4-way,1,2,
45,2025 Winter,Dept 13,Ajax Dish 90oz Shipper 144 units,Full Stack,1,2,
45,2025 Winter,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
45,2025 Winter,Dept 40,EQ No Drip Nasal Sprays 36PC,SDK,1,2,
45,2025 Winter,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,1,2,
45,2025 Winter,Dept 40,EQ Small Bag Cough Drops,PDQ,1,2,
45,2025 Winter,Dept 71,"MS 6FT BM TABLE White, 8 units",Full Stack,1,2,
45,2025 Winter,Dept 71,"MS LW FLD CHR Black, 36 units",Full Endcap,1,2,
45,2025 Winter,Dept 79,Assortment: Parent's Choice 4PK Electrolyte Drink,4-way,1,2,
46,2025 Winter,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
46,2025 Winter,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,1,2,
47,2025 Winter,Dept 13,Windex 32oz 120 units,PDQ,1,2,
47,2025 Winter,Dept 16,"PREM BLEND Ice Melt, 100pcs",Full Stack,1,2,
47,2025 Winter,Dept 40,EQ Small Bag Cough Drops,PDQ,2,2,
47,2025 Winter,Dept 79,Assortment: Parent's Choice 4PK Electrolyte Drink,4-way,1,2,
47,2025 Winter,Dept 92,Ocean's Halo Half Pallet Dump Bin - 120 units,Half Stack,1,2,
48,2025 Winter,Dept 71,"MS LW FLD CHR Black, 36 units",Full Endcap,1,2,
48,2025 Winter,Dept 95,Strawberry Twinkies 8-count 10.86oz,Half Endcap,1,2,
49,2025 Winter,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,1,2,
51,2025 Winter,Dept 02,"EQ Jumbo Pouf, 312pcs",Full Endcap,1,2,
51,2025 Winter,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,1,2,
52,2025 Winter,Dept 02,eos Body Lotion 24pc,SDK,1,2,
52,2025 Winter,Dept 16,"PREM BLEND Ice Melt, 100pcs",Full Stack,1,2,
52,2025 Winter,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
52,2025 Winter,Dept 95,Carrot Cake Donettes Bag 9.5oz,Half Endcap,1,2,
54,2025 Winter,Dept 40,EQ No Drip Nasal Sprays 36PC,SDK,1,2,
54,2025 Winter,Dept 40,EQ Small Bag Cough Drops,PDQ,1,2,
55,2025 Winter,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
56,2025 Winter,Dept 16,"PREM BLEND Ice Melt, 100pcs",Full Stack,1,2,
56,2025 Winter,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
56,2025 Winter,Dept 95,Carrot Cake Donettes Bag 9.5oz,Half Endcap,1,2,
58,2025 Winter,Dept 02,294 PC Working Hands Combo Pallet,Full Stack,1,2,
58,2025 Winter,Dept 02,Cetaphil Moisturizing Cream and Lotion,SDK,1,2,
58,2025 Winter,Dept 02,Olay 24PC Lotion,SDK,1,2,
58,2025 Winter,Dept 13,Ajax Dish 90oz Shipper 144 units,Full Stack,1,2,
58,2025 Winter,Dept 13,Windex 32oz 120 units,PDQ,1,2,
58,2025 Winter,Dept 16,"18IN SNOWSHVL COMBO, 10 units",PDQ,3,2,
58,2025 Winter,Dept 16,"ESP 48IN USA SLED, 72 units",Full Stack,1,2,
58,2025 Winter,Dept 40,EQ CCF BASE 12OZ,Full Endcap,2,2,
58,2025 Winter,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,2,2,
58,2025 Winter,Dept 40,EQ Small Bag Cough Drops,PDQ,2,2,
58,2025 Winter,Dept 79,Assortment: Parent's Choice 4PK Electrolyte Drink,4-way,1,2,
59,2025 Winter,Dept 16,"ESP 26IN USA DISC, 12 units",PDQ,2,2,
59,2025 Winter,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
59,2025 Winter,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,2,2,
59,2025 Winter,Dept 40,EQ Small Bag Cough Drops,PDQ,1,2,
59,2025 Winter,Dept 79,Assortment: Parent's Choice 4PK Electrolyte Drink,4-way,1,2,
60,2025 Winter,Dept 02,EOS 40PC BODY MIST,SDK,1,2,
60,2025 Winter,Dept 02,eos Body Lotion 24pc,SDK,1,2,
60,2025 Winter,Dept 02,"EQ Jumbo Pouf, 312pcs",Full Endcap,1,2,
60,2025 Winter,Dept 13,Ajax Dish 90oz Shipper 144 units,Full Stack,1,2,
60,2025 Winter,Dept 13,Drano 96 units,PDQ,1,2,
60,2025 Winter,Dept 13,"Mr. Clean Magic Eraser, 20 count",SDK,2,2,
60,2025 Winter,Dept 13,Windex 32oz 120 units,PDQ,1,2,
60,2025 Winter,Dept 16,"PREM BLEND Ice Melt, 100pcs",Full Stack,2,2,
60,2025 Winter,Dept 24,120PC BOYS WN NOVELTY 4PK BOXER BRIEF,Half Stack,2,2,
60,2025 Winter,Dept 24,"Boys and Girls Cotton License Briefs, 240pcs",Half Stack,1,2,
60,2025 Winter,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
60,2025 Winter,Dept 40,EQ No Drip Nasal Sprays 36PC,SDK,1,2,
60,2025 Winter,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,2,2,
60,2025 Winter,Dept 40,EQ Small Bag Cough Drops,PDQ,1,2,
60,2025 Winter,Dept 67,Stick Balloons PDQ Assorted 24ct,PDQ,2,2,
60,2025 Winter,Dept 71,"MS 6FT BM TABLE White, 8 units",Full Stack,1,2,
60,2025 Winter,Dept 71,"MS LW FLD CHR Black, 36 units",Full Endcap,1,2,
60,2025 Winter,Dept 79,Assortment: Parent's Choice 4PK Electrolyte Drink,4-way,2,2,
60,2025 Winter,Dept 79,Single Fruit 36 units,SDK,2,2,
60,2025 Winter,Dept 92,"FL Sweethearts Half Pallet, 126ct",Half Stack,1,2,
60,2025 Winter,Dept 95,Carrot Cake Donettes Bag 9.5oz,Half Endcap,1,2,
60,2025 Winter,Dept 95,Strawberry Twinkies 8-count 10.86oz,Half Endcap,1,2,
61,2025 Winter,Dept 40,EQ No Drip Nasal Sprays 36PC,SDK,1,2,
61,2025 Winter,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,1,2,
62,2025 Winter,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
62,2025 Winter,Dept 40,EQ Small Bag Cough Drops,PDQ,1,2,
63,2025 Winter,Dept 16,"PREM BLEND Ice Melt, 100pcs",Full Stack,1,2,
63,2025 Winter,Dept 79,Assortment: Parent's Choice 4PK Electrolyte Drink,4-way,1,2,
64,2025 Winter,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
64,2025 Winter,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,1,2,
64,2025 Winter,Dept 79,Assortment: Parent's Choice 4PK Electrolyte Drink,4-way,1,2,
65,2025 Winter,Dept 02,eos Body Lotion 24pc,SDK,1,2,
65,2025 Winter,Dept 13,"Mr. Clean Magic Eraser, 20 count",SDK,1,2,
65,2025 Winter,Dept 24,120PC BOYS WN NOVELTY 4PK BOXER BRIEF,Half Stack,1,2,
65,2025 Winter,Dept 79,Single Fruit 36 units,SDK,1,2,
65,2025 Winter,Dept 95,Carrot Cake Donettes Bag 9.5oz,Half Endcap,1,2,
67,2025 Winter,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
67,2025 Winter,Dept 40,EQ Small Bag Cough Drops,PDQ,1,2,
68,2025 Winter,Dept 02,EOS 40PC BODY MIST,SDK,1,2,
69,2025 Winter,Dept 13,Drano 96 units,PDQ,1,2,
69,2025 Winter,Dept 40,EQ CCF BASE 12OZ,Full Endcap,2,2,
69,2025 Winter,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,2,2,
69,2025 Winter,Dept 40,EQ Small Bag Cough Drops,PDQ,2,2,
69,2025 Winter,Dept 82,BIC 2pk Ult Ltr,Full Endcap,1,2,
70,2025 Winter,Dept 02,294 PC Working Hands Combo Pallet,Full Stack,1,2,
70,2025 Winter,Dept 02,eos Body Lotion 24pc,SDK,1,2,
70,2025 Winter,Dept 04,Ziploc Holiday Freezer,Half Stack,1,2,
70,2025 Winter,Dept 13,Ajax Dish 90oz Shipper 144 units,Full Stack,1,2,
70,2025 Winter,Dept 13,Windex 32oz 120 units,PDQ,2,2,
70,2025 Winter,Dept 16,"PREM BLEND Ice Melt, 100pcs",Full Stack,2,2,
70,2025 Winter,Dept 40,EQ CCF BASE 12OZ,Full Endcap,2,2,
70,2025 Winter,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,3,2,
70,2025 Winter,Dept 40,EQ Small Bag Cough Drops,PDQ,2,2,
70,2025 Winter,Dept 79,Assortment: Parent's Choice 4PK Electrolyte Drink,4-way,2,2,
70,2025 Winter,Dept 95,Strawberry Twinkies 8-count 10.86oz,Half Endcap,1,2,
71,2025 Winter,Dept 16,"ESP 26IN USA DISC, 12 units",PDQ,1,2,
71,2025 Winter,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,1,2,
71,2025 Winter,Dept 79,Assortment: Parent's Choice 4PK Electrolyte Drink,4-way,1,2,
72,2025 Winter,Dept 02,"EQ Jumbo Pouf, 312pcs",Full Endcap,1,2,
72,2025 Winter,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
72,2025 Winter,Dept 40,EQ Small Bag Cough Drops,PDQ,1,2,
72,2025 Winter,Dept 79,Assortment: Parent's Choice 4PK Electrolyte Drink,4-way,1,2,
73,2025 Winter,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
73,2025 Winter,Dept 40,EQ Small Bag Cough Drops,PDQ,1,2,
73,2025 Winter,Dept 79,Assortment: Parent's Choice 4PK Electrolyte Drink,4-way,1,2,
74,2025 Winter,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,1,2,
74,2025 Winter,Dept 95,Strawberry Twinkies 8-count 10.86oz,Half Endcap,1,2,
75,2025 Winter,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
75,2025 Winter,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,1,2,
75,2025 Winter,Dept 71,"MS LW FLD CHR Black, 36 units",Full Endcap,2,2,
76,2025 Winter,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
76,2025 Winter,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,1,2,
76,2025 Winter,Dept 40,EQ Small Bag Cough Drops,PDQ,1,2,
76,2025 Winter,Dept 40,Quest Bars 72 pieces,4-way,1,2,
78,2025 Winter,Dept 13,"Mr. Clean Magic Eraser, 20 count",SDK,1,2,
78,2025 Winter,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
78,2025 Winter,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,1,2,
78,2025 Winter,Dept 95,Carrot Cake Donettes Bag 9.5oz,Half Endcap,1,2,
78,2025 Winter,Dept 95,Strawberry Twinkies 8-count 10.86oz,Half Endcap,1,2,
79,2025 Winter,Dept 16,"PREM BLEND Ice Melt, 100pcs",Full Stack,2,2,
79,2025 Winter,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
79,2025 Winter,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,1,2,
79,2025 Winter,Dept 40,EQ Small Bag Cough Drops,PDQ,1,2,
79,2025 Winter,Dept 79,Single Fruit 36 units,SDK,1,2,
80,2025 Winter,Dept 02,"EQ Jumbo Pouf, 312pcs",Full Endcap,1,2,
80,2025 Winter,Dept 13,"Mr. Clean Magic Eraser, 20 count",SDK,1,2,
80,2025 Winter,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
80,2025 Winter,Dept 40,EQ No Drip Nasal Sprays 36PC,SDK,1,2,
80,2025 Winter,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,1,2,
80,2025 Winter,Dept 40,EQ Small Bag Cough Drops,PDQ,1,2,
80,2025 Winter,Dept 46,Neutrogena Wipes 25 ct - 100pc,Full Endcap,1,2,
80,2025 Winter,Dept 95,Strawberry Twinkies 8-count 10.86oz,Half Endcap,1,2,
81,2025 Winter,Dept 79,Assortment: Parent's Choice 4PK Electrolyte Drink,4-way,2,2,
82,2025 Winter,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
82,2025 Winter,Dept 40,EQ No Drip Nasal Sprays 36PC,SDK,1,2,
82,2025 Winter,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,1,2,
82,2025 Winter,Dept 40,EQ Small Bag Cough Drops,PDQ,1,2,
82,2025 Winter,Dept 95,Carrot Cake Donettes Bag 9.5oz,Half Endcap,2,2,
82,2025 Winter,Dept 95,Strawberry Twinkies 8-count 10.86oz,Half Endcap,1,2,
83,2025 Winter,Dept 79,Assortment: Parent's Choice 4PK Electrolyte Drink,4-way,1,2,
85,2025 Winter,Dept 02,"EQ Jumbo Pouf, 312pcs",Full Endcap,1,2,
85,2025 Winter,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
85,2025 Winter,Dept 40,EQ No Drip Nasal Sprays 36PC,SDK,1,2,
85,2025 Winter,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,2,2,
85,2025 Winter,Dept 40,EQ Small Bag Cough Drops,PDQ,1,2,
85,2025 Winter,Dept 79,Assortment: Parent's Choice 4PK Electrolyte Drink,4-way,2,2,
85,2025 Winter,Dept 82,BIC 2pk Ult Ltr,Full Endcap,1,2,
86,2025 Winter,Dept 13,"Mr. Clean Magic Eraser, 20 count",SDK,1,2,
86,2025 Winter,Dept 16,"18IN SNOWSHVL COMBO, 10 units",PDQ,1,2,
86,2025 Winter,Dept 16,"27IN SNOW ROLLER, 6 units",PDQ,1,2,
86,2025 Winter,Dept 16,"PREM BLEND Ice Melt, 100pcs",Full Stack,1,2,
86,2025 Winter,Dept 40,EQ CCF BASE 12OZ,Full Endcap,1,2,
86,2025 Winter,Dept 40,EQ No Drip Nasal Sprays 36PC,SDK,1,2,
86,2025 Winter,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,1,2,
86,2025 Winter,Dept 40,EQ Small Bag Cough Drops,PDQ,1,2,
86,2025 Winter,Dept 46,Neutrogena 50ct Wipe PDQ - 100pc,Full Endcap,1,2,
