Store,Commodity,SAT,SUN,MON,TUE,WED,THU,FRI
1657,GM,1,1,1,1,0,1,1
1668,GM,1,1,1,1,1,0,1
1704,GM,1,1,1,1,1,1,1
1715,GM,0,1,1,1,0,1,1
1727,GM,1,1,1,0,1,1,0
1735,GM,1,1,1,1,1,1,1
1755,GM,1,1,1,1,1,1,1
1776,GM,1,1,1,0,1,1,1
1779,GM,1,1,1,1,1,1,1
1780,GM,1,1,1,1,1,1,1
1838,GM,1,1,0,1,1,1,1
1918,GM,1,1,1,1,1,1,1
1921,GM,1,1,0,1,1,1,1
1930,GM,1,1,1,1,1,1,1
1945,GM,1,1,1,1,1,1,1
1957,GM,1,1,1,0,1,1,0
2000,GM,1,1,1,1,1,1,1
2014,GM,1,1,1,1,1,1,1
2054,GM,1,1,1,1,1,0,1
2058,GM,1,1,1,0,1,1,1
2090,GM,1,0,1,1,0,1,1
2092,HVDC,1,1,1,1,0,1,1
2092,GM,1,0,1,1,1,1,1
2100,GM,1,1,1,1,1,1,1
2106,GM,1,1,1,1,1,1,1
2140,GM,1,1,1,1,1,1,1
2144,GM,1,1,1,1,1,1,1
2167,GM,1,1,1,1,0,1,1
2224,GM,1,1,1,1,1,1,1
2228,GM,1,1,1,1,1,1,1
2232,GM,1,1,1,1,1,1,1
2236,GM,1,0,1,1,0,1,1
2313,GM,1,1,1,1,1,1,1
2337,GM,1,1,1,1,1,1,1
2348,GM,1,1,1,1,1,1,0
2350,GM,1,1,1,1,1,1,1
2418,GM,1,1,1,1,1,1,1
2437,GM,1,1,1,1,1,1,1
2493,GM,0,1,1,1,1,1,1
2495,GM,1,1,1,1,1,1,1
2510,GM,1,1,1,1,1,1,1
2522,GM,1,1,1,1,1,1,1
2538,GM,1,1,1,0,1,1,1
2556,GM,1,1,1,1,1,1,1
2562,GM,1,0,1,0,1,0,1
2571,GM,1,1,1,1,0,1,1
2608,GM,1,0,1,1,1,1,1
2617,GM,1,1,1,1,1,1,1
2618,GM,1,1,0,1,1,1,1
2620,GM,1,0,1,1,1,1,1
2633,GM,1,1,1,1,1,1,1
2639,FDD,0,1,1,1,1,0,1
2639,GM,1,0,1,1,1,1,1
2645,GM,1,0,1,0,1,0,1
2659,HVDC,1,0,1,0,1,1,0
2659,GM,1,1,0,1,1,0,1
2662,GM,1,0,1,1,1,1,1
2705,GM,1,0,1,1,1,1,1
2734,GM,1,1,1,1,1,1,1
2758,FDD,1,0,1,1,1,0,1
2758,GM,1,1,1,0,1,1,1
2761,GM,1,1,1,1,1,1,0
2772,GM,1,1,1,1,1,1,1
2782,GM,1,1,1,1,1,1,1
2787,GM,1,1,1,1,1,1,1
2805,GM,1,1,0,1,0,1,0
2850,GM,1,1,1,1,1,1,1
2866,FDD,0,1,0,0,1,0,1
2866,HVDC,1,0,1,0,0,1,0
2866,GM,1,0,1,0,1,0,1
2900,GM,1,1,1,1,0,1,1
2903,HVDC,0,1,1,1,0,1,1
2903,GM,1,1,0,1,1,1,1
2913,GM,1,1,1,0,1,1,1
2925,GM,1,1,0,1,1,1,1
2941,GM,1,1,1,1,1,1,1
2947,GM,1,1,1,1,1,1,0
2989,GM,1,1,1,1,1,1,1
3088,GM,1,0,1,1,1,1,1
3103,GM,1,0,1,1,0,1,1
3151,GM,0,1,1,1,1,1,1
3208,GM,1,1,1,1,1,1,1
3221,GM,1,0,1,1,1,1,1
3245,GM,1,1,1,1,1,0,1
3286,GM,1,1,1,1,1,1,1
3300,GM,1,1,0,1,1,1,1
3322,FDD,0,1,1,1,1,1,1
3322,GM,1,1,0,1,0,1,0
3328,GM,1,1,1,1,1,1,1
3362,GM,0,1,1,1,1,1,1
3372,GM,0,1,1,1,1,1,1
3412,GM,1,1,1,1,1,1,0
3430,GM,1,1,1,0,1,1,0
3432,GM,1,1,1,0,1,1,1
3458,GM,0,1,1,1,1,1,1
3471,GM,0,1,1,1,1,1,1
3491,GM,1,1,1,1,1,1,1
3505,GM,1,1,1,1,1,1,1
3534,GM,1,1,0,1,1,1,1
3561,GM,1,1,1,1,1,1,1
3611,GM,1,1,1,1,1,1,1
3616,GM,1,1,1,1,0,1,1
3632,GM,1,1,1,1,1,0,1
3660,GM,1,1,1,1,1,1,1
3710,GM,1,1,1,1,1,1,1
3791,GM,1,0,1,1,0,1,1
3803,GM,1,1,1,1,1,1,1
3843,GM,1,1,1,0,1,1,1
3847,GM,0,1,1,1,1,1,1
3848,GM,1,1,1,1,1,1,1
4101,GM,1,1,1,1,1,1,1
4102,GM,0,1,1,1,1,1,1
4162,GM,1,1,1,0,1,1,1
4232,GM,1,1,1,1,1,0,1
4244,GM,1,1,1,1,1,1,1
4355,GM,1,1,1,1,1,1,0
4378,GM,1,0,1,1,1,1,1
4384,GM,0,1,1,1,1,1,1
4407,GM,1,1,1,1,1,1,1
4428,GM,0,1,0,1,0,1,1
4436,GM,1,1,0,1,1,0,1
4439,GM,1,1,1,1,1,0,1
4446,GM,1,1,1,1,1,1,1
4472,GM,1,0,1,1,1,1,1
4477,GM,1,1,1,1,1,1,1
4479,GM,1,1,1,0,1,1,1
4540,GM,1,0,1,1,1,1,1
4554,GM,0,1,0,1,0,1,1
4557,GM,1,1,1,1,1,1,1
4570,GM,0,1,1,1,1,1,1
4581,GM,1,1,1,1,0,1,1
4681,GM,1,1,1,1,0,1,1
4683,GM,1,0,1,1,1,1,1
4695,GM,1,1,1,1,1,1,0
4697,GM,1,1,1,1,1,1,1
5003,GM,1,1,0,1,1,0,1
5028,GM,1,1,0,1,1,1,1
5047,GM,1,1,1,1,1,1,0
5060,GM,1,1,1,0,1,1,1
5064,GM,1,0,1,1,0,1,1
5126,GM,1,1,1,1,1,1,1
5127,GM,1,1,1,0,1,1,1
5146,GM,1,0,1,1,1,1,1
5166,GM,1,1,1,1,1,1,1
5172,GM,0,1,1,1,1,1,1
5227,GM,1,1,1,1,1,1,1
5280,GM,1,1,1,1,1,1,1
5303,GM,1,1,1,1,1,1,1
5311,GM,1,1,1,1,1,1,1
5335,GM,1,1,1,1,0,1,1
5360,GM,0,1,1,1,0,1,1
5374,GM,1,1,1,1,1,1,0
5376,GM,1,1,1,1,1,1,1
5385,GM,1,0,1,1,1,1,1
5386,GM,1,1,1,1,0,1,1
5387,GM,1,1,1,1,1,1,1
5470,GM,1,1,1,1,1,1,1
5477,GM,1,1,1,1,1,1,0
5616,GM,1,1,0,1,1,0,1
5761,GM,1,1,1,1,0,1,1
5893,GM,1,1,1,0,1,1,1
5912,GM,1,1,1,1,1,1,0
5957,GM,1,1,1,1,1,1,1
6392,GM,1,1,1,0,1,1,0
6395,GM,1,1,1,1,1,1,0
6932,GM,1,1,1,1,1,0,1
6951,FDD,1,1,1,1,0,1,0
6951,GM,1,0,1,1,0,1,1
7020,GM,1,1,1,1,1,1,1
7181,GM,1,1,1,0,1,1,1
