Store,System Modular Capacity,Total Inventory,Total Replenishable Inventory,Dot.com,Mod Deleted,L52 Avg Units,4 Tire Instock,Total Valid,Total Traited,
513,780,881,851,28,2, 133 ,91.0%,130,130,
514,550,665,619,39,7, 51 ,93.5%,93,93,
515,550,751,693,52,6, 156 ,92.2%,101,101,
516,915,876,836,35,5, 81 ,93.8%,141,141,
517,1120,676,614,47,15, 74 ,70.0%,137,137,
518,1200,1021,964,57,0, 168 ,80.5%,162,162,
519,855,650,602,45,3, 61 ,89.4%,111,111,
520,1320,938,878,41,19, 89 ,85.9%,156,156,
521,662,617,518,83,16, 58 ,89.6%,92,92,
522,915,722,671,32,19, 66 ,84.4%,126,126,
527,780,671,617,33,21, 48 ,92.0%,110,110,
528,662,696,634,45,17, 99 ,83.2%,110,110,
529,855,774,749,10,15, 61 ,88.9%,113,113,
530,616,637,586,37,14, 45 ,87.9%,98,98,
531,1320,1036,946,56,34, 125 ,93.3%,160,160,
532,915,1001,827,143,31, 102 ,90.1%,137,137,
533,616,704,669,32,3, 86 ,87.6%,103,103,
535,780,744,717,22,5, 82 ,92.6%,117,117,
536,1000,898,866,26,6, 118 ,84.3%,149,149,
537,780,1039,1004,32,3, 161 ,93.4%,133,133,
539,780,796,730,29,37, 79 ,91.1%,121,121,
540,1320,1206,1185,18,3, 111 ,91.1%,164,164,
541,1000,893,872,21,0, 105 ,89.5%,149,149,
542,1320,1023,998,23,2, 118 ,89.2%,163,164,
543,915,1063,962,65,36, 123 ,94.0%,145,145,
544,1320,1161,1009,109,43, 94 ,92.3%,164,164,
546,915,748,691,40,17, 96 ,82.2%,128,128,
548,1320,992,824,154,14, 67 ,88.7%,151,151,
549,1120,899,825,62,12, 82 ,88.2%,150,150,
551,1320,1143,1007,122,14, 152 ,89.0%,168,168,
553,780,842,723,103,16, 88 ,86.0%,125,125,
554,1120,1266,1185,73,8, 210 ,94.0%,147,147,
555,1320,887,819,46,22, 130 ,72.0%,159,159,
556,780,888,760,123,5, 103 ,88.5%,130,130,
557,780,824,741,68,15, 70 ,96.6%,114,114,
558,855,777,763,12,2, 121 ,75.7%,140,140,
559,700,858,765,79,14, 118 ,90.6%,114,114,
560,915,808,771,24,13, 103 ,83.7%,143,143,
562,662,807,752,52,3, 67 ,94.5%,110,110,
563,1320,955,903,38,14, 130 ,80.1%,168,168,
564,498,578,531,33,14, 75 ,91.8%,84,84,
565,1120,1134,1044,86,4, 120 ,94.8%,150,150,
566,1320,988,934,39,15, 74 ,92.0%,160,160,
571,780,807,789,17,1, 99 ,87.2%,130,130,
572,1200,900,880,19,1, 71 ,92.8%,150,150,
573,855,960,815,131,14, 110 ,87.9%,131,131,
575,855,834,687,127,20, 63 ,92.3%,117,117,
576,616,612,583,18,11, 66 ,88.1%,100,100,
577,1320,1042,1003,26,13, 74 ,95.7%,160,160,
578,915,939,902,37,0, 240 ,83.2%,151,151,
579,550,609,557,35,17, 80 ,82.2%,88,88,
580,855,802,777,17,8, 108 ,90.1%,129,129,
581,700,834,757,67,10, 99 ,86.3%,114,114,
582,780,781,747,24,10, 113 ,81.2%,135,135,
583,550,584,504,75,5, 56 ,80.7%,86,86,
584,780,654,629,22,3, 86 ,80.8%,117,117,
585,915,954,792,155,7, 76 ,81.1%,128,128,
586,616,693,600,91,2, 88 ,84.5%,103,103,
587,1320,893,871,16,6, 103 ,84.6%,158,158,
588,780,767,661,86,20, 93 ,85.2%,121,121,
589,662,619,599,17,3, 71 ,89.2%,100,100,
590,662,678,638,15,25, 62 ,81.4%,101,101,
591,1320,944,900,35,9, 87 ,90.0%,159,159,
592,915,851,816,35,0, 95 ,90.2%,139,139,
593,498,589,436,147,6, 55 ,78.3%,83,83,
594,662,638,588,49,1, 67 ,87.5%,96,96,
595,915,946,852,86,8, 122 ,90.0%,128,128,
598,1120,1161,1037,107,17, 131 ,90.5%,165,165,
599,1120,964,899,53,12, 113 ,86.5%,152,152,
600,1120,1233,1042,170,21, 93 ,89.7%,152,152,
601,616,641,566,72,3, 64 ,92.0%,97,97,
603,780,953,819,128,6, 105 ,91.5%,128,128,
604,1120,899,884,12,3, 114 ,90.2%,152,152,
605,780,745,677,65,3, 72 ,89.7%,117,117,
608,550,690,597,87,6, 108 ,88.8%,95,95,
609,780,669,650,18,1, 91 ,83.1%,114,114,
610,662,642,595,46,1, 113 ,85.8%,102,102,
611,855,704,646,40,18, 59 ,88.2%,116,116,
612,1200,939,877,59,3, 66 ,95.5%,151,151,
613,1000,855,792,37,26, 89 ,88.4%,143,143,
614,550,643,591,44,8, 133 ,88.9%,89,89,
615,855,866,823,42,1, 101 ,93.2%,131,131,
616,700,751,673,66,12, 71 ,82.4%,106,106,
619,855,779,723,54,2, 75 ,88.2%,124,124,
620,1320,867,810,45,12, 85 ,80.4%,149,149,
622,616,640,528,91,21, 63 ,84.4%,95,95,
623,915,1066,973,91,2, 142 ,94.6%,144,144,
624,1000,864,815,36,13, 89 ,82.1%,149,149,
627,915,879,849,25,5, 92 ,86.7%,141,141,
628,616,673,578,90,5, 56 ,93.8%,96,96,
630,1320,1288,1249,31,8, 133 ,89.3%,167,167,
633,662,623,593,26,4, 54 ,88.2%,101,101,
634,550,488,474,14,0, 113 ,69.6%,91,91,
635,1320,1025,933,89,3, 129 ,86.4%,167,167,
636,915,835,732,60,43, 70 ,87.0%,134,134,
637,1320,996,896,74,26, 88 ,81.5%,165,165,
638,1000,813,797,12,4, 76 ,85.7%,139,139,
639,855,764,721,42,1, 123 ,85.9%,127,127,
640,616,697,591,104,2, 89 ,83.2%,102,102,
641,662,619,607,12,0, 63 ,85.3%,103,103,
642,855,958,897,61,0, 129 ,90.5%,138,138,
643,662,713,649,61,3, 51 ,95.2%,103,103,
644,550,566,542,23,1, 64 ,84.3%,84,84,
645,780,870,775,80,15, 117 ,83.2%,134,134,
648,1000,870,819,51,0, 97 ,89.1%,143,143,
649,780,863,743,81,39, 73 ,89.1%,125,125,
651,616,729,654,48,27, 74 ,86.1%,112,112,
652,700,775,698,68,9, 112 ,83.1%,120,120,
653,780,977,839,129,9, 154 ,88.7%,129,129,
655,915,884,853,31,0, 107 ,89.4%,138,138,
656,915,812,764,42,6, 94 ,85.3%,134,134,
657,780,735,695,40,0, 138 ,81.4%,126,126,
658,855,698,662,32,4, 53 ,91.4%,115,115,
659,498,583,517,61,5, 92 ,84.9%,83,83,
660,780,833,819,14,0, 114 ,88.1%,133,133,
661,1320,1007,944,56,7, 165 ,78.3%,164,164,
662,1320,1035,943,85,7, 122 ,88.3%,170,170,
