Store,System Modular Capacity,Total Inventory,Total Replenishable Inventory,Dot.com,Mod Deleted,L52 Avg Units,4 Tire Instock,Total Valid,Total Traited,
1571,1000,1057,946,110,1, 101 ,92.9%,151,151,
1572,1320,908,888,19,1, 88 ,91.8%,154,154,
1573,915,841,701,106,34, 71 ,93.5%,119,119,
1577,915,837,816,16,5, 84 ,94.3%,137,137,
1578,915,672,610,55,7, 91 ,73.8%,121,121,
1580,855,696,642,29,25, 33 ,95.7%,116,116,
1581,1320,1016,964,44,8, 120 ,83.3%,170,170,
1586,616,675,590,73,12, 81 ,92.0%,87,87,
1588,616,568,529,31,8, 74 ,79.6%,99,99,
1590,1120,1071,976,51,44, 134 ,84.6%,155,155,
1592,915,807,776,27,4, 46 ,94.6%,127,127,
1593,1320,876,855,18,3, 80 ,90.4%,153,153,
1594,1320,988,966,20,2, 102 ,90.2%,169,169,
1595,1320,1088,1022,52,14, 108 ,91.7%,164,164,
1597,1320,960,912,23,25, 66 ,89.5%,150,150,
1599,780,772,721,45,6, 90 ,94.0%,116,116,
1602,780,709,673,14,22, 61 ,93.2%,117,117,
1604,915,861,830,25,6, 120 ,88.6%,136,136,
1606,1320,884,853,20,11, 73 ,91.7%,156,156,
1609,1320,1003,961,28,14, 95 ,91.1%,154,154,
1611,1000,820,776,31,13, 91 ,90.3%,142,142,
1612,662,869,757,103,9, 133 ,96.2%,104,104,
1615,780,842,719,92,31, 74 ,91.5%,117,117,
1620,780,814,765,48,1, 124 ,87.4%,125,125,
1622,1320,1133,1101,31,1, 121 ,94.8%,170,170,
1623,1320,1042,1026,8,8, 137 ,95.1%,158,158,
1625,855,798,693,75,30, 47 ,90.4%,122,122,
1626,855,819,795,19,5, 77 ,96.0%,125,125,
1627,1320,1032,993,32,7, 123 ,92.5%,160,160,
1628,1320,1050,923,94,33, 76 ,95.1%,161,161,
1632,1320,1007,972,34,1, 125 ,86.1%,162,162,
1634,1320,1016,954,54,8, 106 ,85.8%,159,159,
1636,1320,1038,988,43,7, 144 ,81.1%,171,171,
1637,1200,963,890,50,23, 93 ,89.7%,162,162,
1642,1120,860,804,33,23, 103 ,87.3%,146,146,
1643,1120,944,896,41,7, 93 ,91.1%,155,155,
1644,1320,1299,1242,56,1, 193 ,93.0%,169,169,
1645,1320,1067,1045,9,13, 95 ,93.4%,162,162,
1647,855,778,725,31,22, 70 ,92.4%,118,118,
1648,1320,904,856,31,17, 60 ,89.0%,160,160,
1652,780,905,889,16,0, 150 ,89.7%,134,134,
1654,1320,1112,1087,18,7, 145 ,90.9%,162,162,
1655,1320,1032,985,36,11, 119 ,89.2%,164,164,
1657,915,792,758,32,2, 70 ,88.7%,137,137,
1660,1320,1210,1065,125,20, 139 ,94.6%,165,165,
1662,780,802,763,39,0, 128 ,89.4%,120,120,
1665,855,785,716,48,21, 79 ,91.8%,120,120,
1667,1320,1156,1075,65,16, 92 ,86.7%,170,170,
1671,1320,1048,979,51,18, 112 ,85.4%,169,169,
1672,1320,1116,1042,57,17, 106 ,94.0%,162,162,
1673,1320,1121,1018,77,26, 130 ,89.7%,170,170,
1674,616,807,693,102,12, 142 ,92.2%,99,99,
1676,780,840,752,68,20, 82 ,95.1%,120,120,
1677,1320,908,856,42,10, 77 ,85.0%,163,163,
1679,1320,1188,1076,96,16, 110 ,94.5%,161,161,
1682,1120,875,856,13,6, 95 ,89.1%,145,145,
1685,1000,839,782,39,18, 68 ,86.4%,128,128,
1686,915,852,840,12,0, 82 ,89.9%,146,146,
1689,855,868,765,68,35, 92 ,92.7%,123,123,
1690,1120,1084,1026,33,25, 105 ,98.1%,156,156,
1691,780,850,837,10,3, 122 ,94.5%,126,126,
1692,780,889,741,118,30, 78 ,93.9%,113,113,
1693,780,793,698,52,43, 109 ,87.5%,119,119,
1695,700,706,661,38,7, 73 ,91.4%,113,113,
1698,700,653,623,29,1, 104 ,89.6%,103,103,
1699,855,800,728,38,34, 56 ,92.9%,122,122,
1704,662,701,644,41,16, 46 ,95.2%,103,103,
1705,915,829,803,21,5, 78 ,87.7%,136,136,
1707,1320,940,885,51,4, 125 ,91.7%,154,154,
1708,780,708,644,55,9, 70 ,85.7%,115,115,
1709,1320,1037,1022,12,3, 104 ,94.1%,167,167,
1710,616,642,552,77,13, 134 ,82.0%,99,99,
1719,780,840,788,37,15, 84 ,94.6%,127,127,
1720,855,816,684,101,31, 77 ,90.4%,114,114,
1722,855,868,747,103,18, 70 ,90.2%,129,129,
1723,1320,957,918,15,24, 103 ,86.5%,167,167,
1724,1120,899,813,55,31, 64 ,93.8%,143,143,
1726,1320,1129,1049,71,9, 142 ,87.4%,170,170,
1728,1320,1064,1044,20,0, 146 ,87.3%,170,170,
1733,1320,1015,933,66,16, 98 ,89.9%,155,155,
1734,855,899,808,75,16, 81 ,91.1%,131,131,
1738,780,756,721,34,1, 75 ,93.2%,115,115,
1739,550,733,601,122,10, 109 ,86.0%,91,91,
1740,1320,999,955,29,15, 87 ,94.4%,158,158,
1741,1120,928,880,41,7, 108 ,84.1%,154,154,
1745,1320,1074,1044,30,0, 116 ,91.2%,167,167,
1748,1320,1088,961,120,7, 89 ,90.8%,171,171,
1750,1320,954,884,42,28, 75 ,90.5%,156,156,
1756,662,791,750,25,16, 86 ,98.0%,100,100,
1758,915,734,697,31,6, 87 ,86.1%,133,133,
1759,915,1005,950,52,3, 143 ,93.2%,143,143,
1760,700,712,607,69,36, 58 ,87.6%,103,103,
1761,616,719,536,172,11, 78 ,74.3%,100,100,
1762,400,660,514,108,38, 79 ,88.3%,74,74,
1763,1320,1186,1119,49,18, 154 ,94.1%,169,169,
1764,550,676,578,76,22, 79 ,86.0%,92,92,
1765,1120,988,939,45,4, 105 ,94.8%,151,151,
1767,616,549,497,25,27, 53 ,80.6%,101,101,
1768,1200,968,914,27,27, 94 ,89.6%,160,160,
1771,1000,885,870,14,1, 86 ,93.0%,138,138,
1772,1320,962,880,63,19, 80 ,86.4%,151,151,
1775,1320,960,881,52,27, 59 ,91.4%,148,148,
1776,915,869,841,28,0, 76 ,97.2%,140,140,
1777,1320,1058,927,99,32, 80 ,92.0%,162,162,
1778,1200,1113,924,171,18, 95 ,89.4%,156,156,
1782,662,746,715,30,1, 111 ,88.1%,116,116,
1783,780,859,750,94,15, 115 ,88.9%,124,124,
1787,915,846,799,38,9, 73 ,90.9%,141,141,
1788,1320,1200,852,246,102, 107 ,83.4%,167,167,
1789,1120,914,821,81,12, 76 ,87.3%,153,153,
1791,1320,969,918,34,17, 103 ,89.5%,159,159,
1792,1200,1153,1041,96,16, 109 ,96.3%,157,157,
1794,780,845,764,66,15, 119 ,88.2%,125,125,
1798,855,832,791,29,12, 81 ,92.3%,129,129,
1799,1320,991,957,23,11, 105 ,89.4%,167,167,
1801,662,715,646,54,15, 57 ,91.4%,92,92,
1802,1000,938,849,66,23, 73 ,96.7%,147,147,
1803,498,493,428,53,12, 42 ,96.1%,76,76,
1804,855,751,698,38,15, 78 ,92.8%,124,124,
1805,1120,834,750,43,41, 88 ,80.9%,148,148,
1809,915,874,833,38,3, 75 ,90.5%,133,133,
1811,855,821,751,27,43, 92 ,82.8%,127,127,
1817,915,793,698,90,5, 75 ,84.8%,128,128,
1819,1200,980,959,19,2, 107 ,90.7%,158,158,
1826,915,844,816,19,9, 95 ,89.0%,133,133,
1828,1320,1039,998,37,4, 117 ,91.1%,166,166,
1829,855,739,720,19,0, 65 ,88.1%,125,125,
1830,616,595,507,77,11, 51 ,85.9%,96,96,
1832,1320,766,757,7,2, 85 ,74.5%,162,162,
1833,1320,1110,1043,65,2, 130 ,91.3%,170,170,
1834,915,895,854,27,14, 86 ,93.6%,136,136,
1836,700,676,617,29,30, 53 ,94.3%,105,105,
1837,1320,955,781,128,46, 87 ,81.9%,158,158,
1839,855,761,715,32,14, 67 ,98.3%,118,118,
1846,1320,1134,988,126,20, 124 ,89.9%,166,166,
1849,855,745,682,35,28, 63 ,84.7%,129,129,
1853,1320,1346,1011,304,31, 88 ,90.2%,150,150,
1859,1120,1094,1064,25,5, 222 ,88.6%,165,165,
1860,1120,1026,914,82,30, 112 ,91.8%,157,157,
1861,855,874,844,29,1, 53 ,92.5%,119,119,
1862,700,767,607,115,45, 59 ,97.0%,99,99,
1866,915,822,772,39,11, 77 ,91.5%,128,128,
1868,1120,1044,985,49,10, 127 ,92.3%,154,154,
1872,855,777,648,119,10, 50 ,88.8%,122,122,
1874,1200,1020,897,94,29, 107 ,88.6%,147,147,
1875,1320,1114,908,175,31, 181 ,80.8%,169,169,
1877,855,691,663,12,16, 57 ,89.3%,120,120,
1878,1000,898,792,91,15, 91 ,88.8%,130,130,
1879,1000,908,864,40,4, 141 ,89.4%,137,137,
1880,915,846,751,73,22, 76 ,87.8%,135,135,
1881,855,645,619,21,5, 47 ,93.3%,103,103,
1882,550,504,490,13,1, 66 ,84.6%,90,90,
1884,700,698,686,12,0, 121 ,94.3%,104,104,
1885,1320,1209,967,188,54, 135 ,93.0%,168,168,
1888,1320,1020,943,43,34, 76 ,92.8%,163,163,
1890,1200,966,928,31,7, 119 ,88.3%,160,160,
1894,1000,890,819,60,11, 89 ,92.4%,143,143,
1900,855,700,651,39,10, 60 ,87.1%,120,120,
1901,1320,819,776,39,4, 57 ,87.2%,144,144,
1902,1320,1106,1057,38,11, 98 ,93.7%,154,154,
1903,1320,910,825,62,23, 71 ,87.1%,152,152,
1904,1120,1018,785,206,27, 131 ,84.7%,130,130,
1907,855,659,651,8,0, 84 ,81.7%,124,124,
1909,1200,946,933,13,0, 150 ,85.5%,156,156,
1912,780,805,755,31,19, 83 ,94.2%,119,119,
1913,1320,914,895,15,4, 78 ,94.9%,156,156,
1915,780,809,755,45,9, 142 ,77.0%,132,132,
1917,662,485,444,63,-22, 69 ,90.9%,95,95,
1922,780,717,662,19,36, 80 ,92.0%,109,109,
1923,1320,965,893,28,44, 68 ,88.6%,162,162,
1924,855,769,674,75,20, 72 ,77.8%,143,143,
1927,550,524,481,28,15, 51 ,89.3%,83,83,
1928,550,587,527,48,12, 48 ,91.9%,84,84,
1929,1320,1072,962,94,16, 102 ,88.6%,162,162,
1931,780,748,724,19,5, 84 ,87.4%,124,124,
1932,1320,1008,901,73,34, 102 ,84.8%,161,161,
1934,915,800,784,14,2, 77 ,91.2%,133,133,
1935,1320,1194,1027,118,49, 80 ,95.0%,158,158,
1936,1320,976,955,18,3, 97 ,89.5%,149,149,
1937,1320,919,882,34,3, 79 ,92.4%,155,155,
1939,1000,928,846,79,3, 127 ,87.7%,145,145,
1940,1120,847,827,19,1, 106 ,86.0%,149,149,
1941,780,852,661,142,49, 78 ,88.7%,120,120,
1942,1320,946,931,15,0, 78 ,94.9%,154,154,
1943,1120,1039,920,98,21, 141 ,90.6%,156,156,
1946,1320,1022,971,48,3, 89 ,91.5%,152,152,
1947,1000,965,810,132,23, 64 ,93.6%,137,137,
1948,780,706,689,15,2, 80 ,90.8%,118,118,
1949,915,781,768,12,1, 100 ,84.1%,135,135,
1954,1320,1010,939,65,6, 112 ,86.5%,167,167,
1955,616,604,564,30,10, 50 ,95.6%,90,90,
1956,780,738,712,23,3, 78 ,90.7%,125,125,
1958,915,995,899,93,3, 180 ,92.4%,141,141,
1959,662,717,659,54,4, 89 ,89.4%,111,111,
1961,915,868,829,25,14, 86 ,88.8%,140,140,
1962,855,744,693,45,6, 62 ,88.0%,122,122,
1963,662,739,624,89,26, 85 ,83.8%,98,98,
1965,915,916,870,38,8, 116 ,88.9%,140,142,
1966,1320,1128,1105,23,0, 122 ,93.0%,167,167,
1971,915,975,877,78,20, 48 ,95.2%,124,124,
1972,700,669,596,44,29, 70 ,86.6%,110,110,
1973,550,647,619,26,2, 79 ,87.5%,92,92,
1975,550,610,560,12,38, 56 ,85.0%,97,97,
1976,1320,1169,1159,10,0, 246 ,86.5%,168,168,
1978,780,806,778,15,13, 111 ,92.0%,123,123,
1979,780,749,711,34,4, 101 ,87.7%,120,120,
1981,1320,1184,1047,105,32, 106 ,93.0%,169,169,
1983,,0,0,0,0, -   ,#DIV/0!,0,0,
1986,1200,891,843,37,11, 115 ,83.4%,155,155,
1987,915,789,769,20,0, 80 ,93.5%,134,134,
1988,1000,906,771,49,86, 49 ,94.5%,141,141,
1990,780,702,654,36,12, 75 ,90.2%,119,119,
1991,1320,1007,930,44,33, 126 ,89.2%,163,163,
1992,662,680,643,31,6, 85 ,94.7%,94,94,
1993,1320,1097,1004,76,17, 131 ,86.1%,163,163,
1995,915,808,759,39,10, 84 ,92.3%,127,127,
2002,915,925,813,88,24, 67 ,92.4%,129,129,
2004,498,582,540,26,16, 46 ,89.4%,83,83,
2005,1320,1078,1002,41,35, 112 ,84.4%,165,165,
2006,1320,905,836,51,18, 84 ,84.6%,152,152,
2007,1320,997,881,104,12, 67 ,90.6%,155,155,
2010,780,775,743,14,18, 75 ,93.2%,116,116,
2013,1320,953,900,47,6, 104 ,89.0%,153,153,
2014,780,668,621,33,14, 49 ,88.2%,115,115,
2016,915,899,674,190,35, 72 ,84.7%,120,120,
2019,1320,1388,1281,100,7, 235 ,92.5%,172,172,
2022,616,621,582,32,7, 60 ,94.8%,96,104,
2023,855,780,691,55,34, 54 ,96.0%,125,125,
2025,855,900,778,74,48, 75 ,90.8%,129,129,
2027,1000,974,927,38,9, 176 ,87.5%,149,149,
2030,662,722,675,47,0, 93 ,91.4%,113,113,
2031,700,679,632,32,15, 103 ,90.9%,98,98,
2032,700,781,689,63,29, 73 ,86.7%,118,118,
2033,400,485,432,33,20, 42 ,85.1%,70,70,
2035,498,602,544,56,2, 65 ,94.2%,85,85,
2036,1320,1152,1076,70,6, 286 ,84.7%,172,172,
2038,915,1020,868,131,21, 245 ,86.1%,134,134,
2039,662,613,610,3,0, 86 ,88.3%,101,101,
2044,855,1096,850,139,107, 36 ,95.7%,115,115,
2049,1200,1174,1115,46,13, 131 ,92.3%,165,165,
2050,550,571,503,54,14, 56 ,94.1%,82,82,
2051,1000,922,852,66,4, 114 ,84.6%,139,139,
2052,780,844,812,31,1, 109 ,85.6%,130,135,
2054,662,613,541,30,42, 30 ,88.8%,97,97,
2056,915,1046,841,157,48, 109 ,90.8%,138,138,
2058,855,869,735,90,44, 62 ,83.1%,123,123,
2059,1320,1070,1040,24,6, 146 ,91.8%,168,168,
2061,915,853,816,32,5, 73 ,96.2%,127,127,
2062,498,473,464,7,2, 50 ,92.7%,79,79,
2063,780,787,703,77,7, 122 ,89.3%,120,120,
2064,1000,980,893,65,22, 117 ,91.7%,141,141,
2065,780,750,700,37,13, 83 ,88.0%,115,115,
2066,915,944,844,77,23, 113 ,90.7%,128,128,
2073,780,708,671,31,6, 83 ,88.7%,114,114,
2077,,223,31,0,192, -   ,#DIV/0!,0,0,
2078,700,631,617,14,0, 97 ,86.3%,113,113,
2079,780,839,810,27,2, 78 ,93.4%,133,133,
2080,780,810,795,14,1, 93 ,90.8%,128,128,
2083,1320,1098,1004,91,3, 197 ,87.3%,169,169,
2084,1000,869,825,36,8, 115 ,76.2%,143,153,
2086,855,798,705,78,15, 101 ,81.0%,120,120,
2087,855,804,769,24,11, 83 ,93.0%,127,127,
2088,915,930,886,33,11, 113 ,92.4%,141,141,
2089,1000,865,824,26,15, 98 ,81.8%,150,150,
2092,616,653,588,49,16, 47 ,88.0%,106,106,
2094,700,615,522,78,15, 58 ,88.8%,95,95,
2097,550,721,539,156,26, 56 ,88.8%,87,87,
2098,855,786,659,87,40, 75 ,88.6%,122,122,
2099,662,700,619,64,17, 57 ,90.9%,95,95,
2100,780,763,745,18,0, 48 ,96.7%,116,116,
2101,855,720,669,42,9, 60 ,87.7%,119,119,
2102,855,742,715,27,0, 72 ,87.8%,127,127,
2104,915,889,845,29,15, 128 ,84.9%,136,136,
2105,1000,857,844,9,4, 107 ,92.8%,138,138,
2107,915,874,833,31,10, 105 ,91.5%,138,138,
2108,616,956,800,132,24, 106 ,96.9%,96,96,
2110,780,933,871,40,22, 147 ,93.9%,114,114,
2111,1000,826,786,30,10, 59 ,87.4%,141,141,
2112,662,748,694,28,26, 49 ,96.0%,99,99,
2113,1320,958,846,66,46, 85 ,92.2%,153,153,
2114,550,682,648,34,0, 128 ,92.8%,93,93,
2115,616,764,690,57,17, 113 ,86.8%,111,111,
2116,662,662,617,31,14, 78 ,88.5%,109,109,
2117,855,943,921,23,-1, 148 ,90.1%,128,128,
2118,550,539,504,27,8, 71 ,89.0%,90,90,
2119,700,952,695,229,28, 126 ,79.6%,102,102,
2120,780,933,900,31,2, 111 ,85.9%,125,125,
2121,780,754,741,13,0, 66 ,88.3%,117,117,
2123,780,771,747,24,0, 93 ,89.0%,124,124,
2125,1200,1052,943,69,40, 99 ,88.5%,155,155,
2127,700,731,687,45,-1, 66 ,89.4%,111,111,
2129,1000,1148,1012,135,1, 133 ,91.9%,156,156,
2130,915,742,700,41,1, 59 ,86.5%,131,131,
2131,915,807,720,55,32, 60 ,93.7%,125,125,
2132,780,750,656,64,30, 53 ,89.9%,117,117,
2133,915,851,710,121,20, 80 ,84.8%,135,135,
2135,780,774,742,19,13, 91 ,90.2%,119,119,
2136,498,745,591,127,27, 90 ,87.0%,89,89,
2137,700,596,571,17,8, 57 ,84.3%,106,106,
2142,915,943,834,81,28, 121 ,85.3%,127,127,
2143,550,533,484,41,8, 62 ,84.5%,83,83,
2146,780,803,747,34,22, 69 ,92.7%,122,122,
2149,780,786,689,79,18, 90 ,90.5%,123,123,
2150,915,966,909,57,0, 176 ,89.0%,144,144,
2153,915,819,729,38,52, 76 ,86.5%,130,130,
2154,1320,955,884,64,7, 125 ,87.4%,160,160,
2155,915,1055,962,57,36, 92 ,94.9%,137,137,
2156,498,573,500,66,7, 54 ,91.4%,79,79,
2159,855,892,848,41,3, 121 ,90.5%,136,136,
2160,780,776,645,72,59, 40 ,94.4%,105,105,
2161,662,628,602,12,14, 74 ,93.1%,101,101,
2164,780,809,753,43,13, 79 ,88.5%,119,119,
2166,662,667,588,69,10, 82 ,90.2%,100,100,
2167,915,748,656,65,27, 51 ,88.0%,116,116,
2169,915,873,806,53,14, 136 ,86.7%,133,133,
2170,616,639,576,63,0, 65 ,91.3%,90,90,
2175,855,811,769,27,15, 76 ,90.8%,126,126,
2177,915,795,789,5,1, 105 ,88.1%,131,131,
2178,915,838,778,53,7, 61 ,92.7%,120,120,
2183,780,727,674,46,7, 101 ,77.7%,120,120,
2189,915,929,835,62,32, 69 ,94.7%,130,130,
2190,550,530,458,39,33, 34 ,95.2%,79,79,
2191,1320,1169,1131,37,1, 101 ,95.7%,162,162,
2193,1200,870,826,40,4, 88 ,88.6%,156,156,
2194,780,1190,803,376,11, 329 ,80.2%,105,105,
2197,1320,1121,1083,34,4, 194 ,90.2%,170,170,
2199,915,919,862,41,16, 99 ,91.5%,138,138,
2201,550,550,525,23,2, 76 ,93.8%,80,80,
2202,915,832,820,11,1, 113 ,89.1%,136,136,
2204,780,914,809,67,38, 113 ,85.1%,120,120,
2205,700,768,652,86,30, 68 ,86.0%,112,112,
2206,915,958,828,106,24, 112 ,92.0%,124,124,
2207,780,686,657,15,14, 56 ,92.9%,112,112,
2209,780,651,625,22,4, 57 ,90.9%,118,118,
2213,1200,1086,983,71,32, 101 ,95.2%,163,163,
2214,780,726,648,61,17, 48 ,90.8%,118,118,
2215,700,693,668,20,5, 56 ,95.3%,105,105,
2218,855,809,773,25,11, 80 ,91.1%,123,123,
2221,1320,1083,974,98,11, 112 ,89.0%,169,169,
2223,915,834,792,26,16, 67 ,91.9%,133,133,
2228,855,833,731,83,19, 70 ,91.0%,121,121,
2230,616,819,682,104,33, 115 ,94.4%,105,105,
2233,780,822,717,71,34, 118 ,86.6%,125,126,
2234,1000,896,887,9,0, 89 ,89.3%,147,147,
2237,915,943,843,72,28, 158 ,85.7%,145,145,
2238,1200,936,920,11,5, 72 ,92.4%,154,154,
2239,1000,926,895,25,6, 148 ,89.9%,148,148,
2241,662,682,634,32,16, 60 ,87.6%,104,104,
2242,700,1039,945,68,26, 124 ,95.1%,121,121,
2243,1320,1290,1007,256,27, 73 ,90.2%,160,160,
2244,1320,1095,1029,60,6, 184 ,93.1%,171,171,
2245,915,858,792,40,26, 63 ,86.0%,135,135,
2249,915,778,758,16,4, 81 ,90.4%,132,132,
2251,662,830,720,89,21, 79 ,91.1%,100,100,
2252,855,813,728,47,38, 103 ,87.7%,128,128,
2253,550,555,498,54,3, 61 ,87.5%,84,84,
2255,855,788,782,5,1, 110 ,82.6%,67,130,
2256,700,727,676,49,2, 89 ,92.5%,103,103,
2257,1200,1014,933,58,23, 109 ,90.2%,152,152,
2262,1000,1022,953,31,38, 104 ,93.3%,146,146,
2264,662,653,618,17,18, 82 ,90.0%,99,99,
2265,616,757,640,116,1, 95 ,78.7%,94,94,
2269,700,676,571,93,12, 55 ,84.6%,101,101,
2270,780,833,747,51,35, 37 ,88.9%,113,113,
2271,700,701,677,23,1, 68 ,94.7%,112,112,
2273,915,902,838,59,5, 82 ,93.9%,127,127,
2274,662,708,656,37,15, 62 ,90.7%,105,105,
2275,780,567,530,37,0, 53 ,88.7%,96,96,
2276,780,902,833,57,12, 91 ,92.8%,124,124,
2277,780,829,786,35,8, 94 ,92.5%,119,119,
2281,1320,1089,1049,31,9, 129 ,97.1%,169,169,
2283,1000,1139,999,137,3, 195 ,94.0%,148,148,
2285,498,677,555,102,20, 55 ,89.3%,81,81,
2286,498,674,543,83,48, 66 ,93.9%,81,81,
2287,915,835,789,31,15, 98 ,90.1%,139,139,
2288,662,682,619,39,24, 64 ,89.5%,94,94,
2291,700,661,584,47,30, 85 ,87.5%,102,102,
2292,700,743,678,55,10, 73 ,87.4%,102,102,
2293,915,888,728,116,44, 49 ,89.4%,128,128,
2295,662,618,597,21,0, 92 ,78.1%,103,103,
2297,915,924,883,13,28, 99 ,94.5%,125,125,
2300,498,635,530,87,18, 79 ,84.0%,80,80,
2306,616,654,594,58,2, 74 ,81.0%,104,104,
2307,915,929,812,78,39, 74 ,91.0%,129,129,
2309,1320,1060,1001,36,23, 137 ,91.4%,160,160,
2310,780,829,720,90,19, 110 ,81.2%,131,131,
2311,1320,1072,1020,37,15, 103 ,93.3%,162,162,
2312,915,991,844,107,40, 79 ,90.6%,137,137,
2313,780,963,887,42,34, 70 ,94.2%,119,119,
2315,550,565,539,21,5, 55 ,94.5%,88,88,
2317,550,505,472,22,11, 32 ,95.0%,78,78,
2318,1120,1126,1098,25,3, 206 ,93.9%,160,160,
2319,662,597,548,25,24, 40 ,86.7%,102,102,
2322,915,1016,903,63,50, 60 ,86.0%,142,142,
2325,498,615,519,75,21, 53 ,87.6%,85,85,
2326,1000,1040,965,52,23, 145 ,92.9%,152,152,
2330,915,1070,873,163,34, 148 ,84.3%,137,137,
2331,1120,970,884,47,39, 75 ,89.5%,151,151,
2332,1120,932,772,126,34, 86 ,79.2%,151,151,
2333,662,546,477,53,16, 63 ,77.3%,93,93,
2334,550,751,600,125,26, 56 ,90.1%,90,90,
2335,498,465,434,31,0, 83 ,85.4%,79,79,
2336,1320,1137,1033,60,44, 95 ,82.8%,165,165,
2337,915,924,849,57,18, 84 ,94.0%,131,131,
2339,1320,941,919,15,7, 71 ,94.5%,161,161,
2350,1000,832,802,29,1, 83 ,92.6%,146,146,
2351,1320,1158,1007,93,58, 113 ,86.3%,164,164,
2352,400,516,484,32,0, 125 ,88.0%,72,72,
2354,915,880,782,60,38, 58 ,88.1%,125,125,
2355,700,874,786,47,41, 92 ,94.5%,126,126,
2357,550,1046,701,276,69, 88 ,90.9%,76,83,
2358,700,727,672,55,0, 98 ,92.0%,109,109,
2359,1000,860,827,33,0, 142 ,85.9%,152,152,
2361,498,566,529,34,3, 76 ,93.9%,80,80,
2367,855,873,829,42,2, 119 ,90.5%,133,133,
2369,915,1016,874,118,24, 103 ,87.4%,140,140,
2387,1320,1063,946,95,22, 161 ,87.8%,162,162,
2388,855,666,642,21,3, 56 ,90.6%,115,115,
2400,1120,900,878,14,8, 138 ,81.5%,158,158,
2402,1200,934,846,50,38, 81 ,86.7%,154,154,
2405,700,589,573,16,0, 80 ,87.9%,104,104,
2417,616,600,501,86,13, 42 ,80.2%,93,93,
2418,1000,1086,929,103,54, 88 ,91.0%,151,151,
2420,915,832,814,15,3, 112 ,87.4%,140,140,
2421,1200,963,916,41,6, 93 ,89.6%,160,160,
2422,498,503,467,30,6, 48 ,91.3%,79,79,
2426,550,712,655,49,8, 77 ,92.8%,82,82,
2428,780,772,664,87,21, 100 ,79.7%,130,130,
2429,1320,1051,959,76,16, 102 ,90.2%,161,161,
2434,780,717,710,7,0, 81 ,94.3%,120,120,
2435,616,720,662,39,19, 94 ,94.2%,85,85,
2436,1000,874,777,82,15, 67 ,92.4%,130,130,
2437,498,637,557,50,30, 75 ,78.9%,86,86,
2438,616,770,692,59,19, 117 ,84.8%,102,102,
2439,616,554,501,50,3, 63 ,78.6%,95,95,
2441,855,689,671,9,9, 74 ,85.3%,125,125,
2443,1000,948,855,68,25, 85 ,94.4%,139,139,
2444,915,875,724,134,17, 49 ,88.7%,122,122,
2447,855,596,582,14,0, 79 ,91.8%,96,96,
2450,662,550,489,44,17, 34 ,90.9%,87,87,
2453,1000,917,867,39,11, 104 ,90.7%,146,146,
2455,700,683,674,8,1, 63 ,93.7%,108,108,
2460,780,1082,832,176,74, 124 ,91.5%,126,126,
2463,1000,1120,981,111,28, 83 ,91.7%,131,131,
2464,1000,901,792,56,53, 66 ,89.1%,133,133,
2469,616,637,622,10,5, 67 ,95.0%,98,98,
2471,700,964,933,29,2, 65 ,97.9%,94,94,
2472,700,701,652,34,15, 66 ,91.2%,101,101,
2474,550,780,684,92,4, 115 ,91.8%,95,95,
2475,855,682,594,74,14, 84 ,71.3%,122,122,
2476,1320,867,857,8,2, 64 ,87.0%,158,158,
2480,700,725,651,59,15, 61 ,88.7%,105,105,
2481,662,551,497,47,7, 72 ,79.4%,106,106,
2482,780,814,779,34,1, 117 ,88.8%,124,124,
2484,662,590,517,58,15, 70 ,81.1%,88,88,
2485,550,628,427,201,0, 54 ,80.0%,81,81,
2491,550,638,576,44,18, 87 ,81.8%,97,97,
2492,400,484,405,56,23, 43 ,79.7%,76,76,
2494,700,617,584,19,14, 57 ,86.9%,98,98,
2495,662,855,716,119,20, 115 ,91.2%,101,101,
2502,915,1147,983,135,29, 170 ,95.2%,146,146,
2504,662,941,655,265,21, 105 ,94.1%,100,100,
2505,550,581,472,62,47, 60 ,82.6%,85,85,
2506,616,580,551,23,6, 71 ,93.8%,96,96,
2507,662,702,643,43,16, 80 ,93.8%,96,96,
2508,700,665,574,89,2, 52 ,89.4%,101,101,
2509,855,692,685,6,1, 48 ,96.6%,117,117,
2511,855,878,825,26,27, 60 ,87.7%,127,127,
2512,1320,1019,966,53,0, 119 ,92.0%,159,159,
2514,498,530,466,47,17, 63 ,84.3%,81,81,
2517,662,793,694,87,12, 141 ,90.7%,106,106,
2518,662,683,598,78,7, 81 ,89.0%,99,99,
2519,498,552,517,36,-1, 54 ,91.4%,79,79,
2520,662,697,605,47,45, 88 ,86.9%,98,98,
2522,662,666,629,36,1, 80 ,86.5%,100,100,
2523,662,770,604,153,13, 86 ,90.1%,100,100,
2527,780,757,659,63,35, 65 ,89.3%,120,120,
2528,616,736,716,18,2, 113 ,94.3%,102,102,
2532,616,648,610,32,6, 62 ,92.9%,97,97,
2533,498,532,478,51,3, 60 ,83.3%,93,93,
2534,662,681,665,16,0, 96 ,86.9%,107,107,
2535,1120,899,838,34,27, 89 ,88.5%,156,156,
2536,616,575,554,21,0, 67 ,89.7%,94,94,
2537,498,621,553,64,4, 63 ,87.8%,79,79,
2539,498,658,537,104,17, 83 ,85.9%,81,81,
2540,616,656,638,17,1, 74 ,94.2%,101,101,
