,,,,Action Alley,,,,Endcaps,,,,,,,,,,,Frozen Doors ,,,,
Store Nbr,Bakecenter + Trian ,Train No Bakecenter,Bakecenter No Train ,AA - Sparkling Water Pallet,AA - Tortilla Chips Pallet,AA - Potato Chips Pallet,AA - Cookies 1/2 Stack,1/2 EC - Coffee,1/2 EC - Soup,1/2 EC - Crackers,1/2 EC - Pasta,1/2 EC - Pasta Sauce,1/2 EC - Sparkling Water,1/2 EC - Fruit Juice,1/2 EC - Tortilla Chips,1/2 EC - Potato Chips,1/2 EC - Cookies,1/2 EC - Fruit Snacks,FD - Frozen Pizza,FD - Frozen Pot Pie,FD - Frozen Potatoes,FD - Frozen Smoothies,FD - Frozen Wings
150,,No Bakecenter,,YES,YES,YES,,YES,YES,,,,,,,,,,YES,YES,YES,YES,
151,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,YES,YES,,YES
152,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,,,YES,YES
153,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,,,YES
154,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
155,Both ,,,YES,,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,,YES
157,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,YES,,,
158,Both ,,,YES,YES,YES,YES,YES,,YES,,,,,,,,,,,YES,,YES
159,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,,YES
161,Both ,,,YES,,,,YES,,,,,,,,,,,,YES,YES,,YES
162,,No Bakecenter,,YES,,,,YES,YES,,,,,,,,,,,,,,
163,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
164,Both ,,,YES,YES,YES,,YES,,YES,YES,YES,,,,,,,,,,,
165,Both ,,,,YES,YES,,YES,,,,,,,,,,,YES,,YES,YES,
166,,No Bakecenter,,YES,,,,,,,,,,,,,,,,,,,
168,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
169,,No Bakecenter,,,,,,,,,,,,,,,,,,,,,
170,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,,YES,YES,YES
171,Both ,,,YES,YES,YES,,YES,,YES,YES,YES,,,,,,,YES,YES,,YES,YES
172,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
