,,,,Action Alley,,,,Endcaps,,,,,,,,,,,Frozen Doors ,,,,
Store Nbr,Bakecenter + Trian ,Train No Bakecenter,Bakecenter No Train ,AA - Sparkling Water Pallet,AA - Tortilla Chips Pallet,AA - Potato Chips Pallet,AA - Cookies 1/2 Stack,1/2 EC - Coffee,1/2 EC - Soup,1/2 EC - Crackers,1/2 EC - Pasta,1/2 EC - Pasta Sauce,1/2 EC - Sparkling Water,1/2 EC - Fruit Juice,1/2 EC - Tortilla Chips,1/2 EC - Potato Chips,1/2 EC - Cookies,1/2 EC - Fruit Snacks,FD - Frozen Pizza,FD - Frozen Pot Pie,FD - Frozen Potatoes,FD - Frozen Smoothies,FD - Frozen Wings
2692,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2693,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
2694,,No Bakecenter,,,,,,,,,,,,,,,,,,YES,YES,,YES
2695,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
2696,,No Bakecenter,,YES,,,,YES,,,,,,,,,,,YES,,YES,,YES
2697,Both ,,,YES,YES,,YES,YES,YES,YES,YES,YES,,,,,,,YES,,YES,YES,YES
2700,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
2702,,No Bakecenter,,YES,YES,YES,,YES,YES,,YES,YES,,,,,,,YES,,,YES,YES
2703,Both ,,,YES,YES,YES,YES,YES,YES,,YES,YES,,,,,,,YES,YES,YES,YES,YES
2704,,No Bakecenter,,YES,YES,YES,,YES,,,,,,,,,,,YES,,YES,YES,YES
2705,,No Bakecenter,,YES,YES,YES,YES,YES,,YES,,,,,,,,,YES,YES,,,YES
2706,Both ,,,YES,YES,YES,YES,YES,,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2708,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
2711,,No Bakecenter,,,,,,,,,,,,,,,,,,,,,
2712,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2713,Both ,,,YES,YES,YES,YES,YES,,YES,YES,YES,,,,,,,,,,,
2714,,No Bakecenter,,YES,,,,YES,,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2715,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2716,Both ,,,YES,YES,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2717,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,,,,YES
2719,,No Bakecenter,,,,,,YES,,,,,,,,,,,,,,,
2720,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,,YES,YES,YES
2722,Both ,,,YES,YES,YES,,,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2723,,No Bakecenter,,YES,YES,YES,,YES,YES,YES,YES,YES,,,,,,,,,,,YES
2725,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
2726,Both ,,,YES,YES,YES,YES,YES,,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2727,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2728,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,YES,YES,,YES
2729,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2732,,No Bakecenter,,YES,YES,YES,,YES,,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2733,,No Bakecenter,,YES,YES,YES,,YES,YES,YES,,,,,,,,,YES,,YES,YES,YES
2734,Both ,,,YES,YES,YES,,YES,YES,,YES,YES,,,,,,,,YES,YES,,YES
2739,Both ,,,YES,,,,YES,,,YES,YES,,,,,,,,YES,YES,,YES
2740,,No Bakecenter,,YES,YES,YES,,YES,YES,,YES,YES,,,,,,,YES,YES,YES,YES,YES
2748,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
2749,,No Bakecenter,,YES,YES,YES,YES,YES,,,YES,YES,,,,,,,YES,,,YES,YES
2751,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,,
2753,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
2755,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,YES,YES,,YES
2756,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
2757,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2760,,No Bakecenter,,YES,,,,,YES,,YES,YES,,,,,,,,,,,
2761,Both ,,,YES,,,,,YES,,YES,YES,,,,,,,YES,YES,,,YES
2762,Both ,,,YES,YES,YES,,YES,YES,YES,YES,YES,,,,,,,,YES,YES,,YES
2764,,No Bakecenter,,YES,YES,,YES,YES,YES,YES,YES,YES,,,,,,,YES,,,YES,YES
2766,Both ,,,YES,YES,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2767,Both ,,,YES,YES,,YES,YES,YES,YES,YES,YES,,,,,,,YES,,YES,YES,YES
2771,,No Bakecenter,,YES,,,,YES,,,YES,YES,,,,,,,YES,YES,,,YES
2772,,No Bakecenter,,YES,YES,YES,,,,,YES,YES,,,,,,,YES,YES,YES,YES,YES
2777,Both ,,,YES,,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2780,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2781,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2782,,No Bakecenter,,YES,YES,YES,,YES,YES,,,,,,,,,,YES,YES,YES,YES,YES
2783,Both ,,,YES,,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2784,,No Bakecenter,,YES,,,,YES,,,YES,YES,,,,,,,YES,YES,YES,YES,
2785,,No Bakecenter,,,,,,,,,,,,,,,,,,,,,
2786,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2787,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2788,,No Bakecenter,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,YES,YES,,
2789,,No Bakecenter,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2790,Both ,,,YES,YES,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2791,,No Bakecenter,,YES,,,,YES,,,,,,,,,,,YES,YES,YES,YES,YES
2793,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
2794,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
2795,,No Bakecenter,,YES,,,YES,YES,,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2797,,No Bakecenter,,,,,,YES,,,,,,,,,,,,,,,
2799,,No Bakecenter,,,,,,,,,,,,,,,,,,,,,
2803,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
2804,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2805,,No Bakecenter,,YES,,,,YES,,,,,,,,,,,,,,,
2806,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,
2807,,No Bakecenter,,YES,YES,YES,,YES,,YES,YES,YES,,,,,,,YES,,YES,YES,YES
2808,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
2809,Both ,,,YES,YES,YES,,YES,,,YES,YES,,,,,,,YES,YES,,YES,YES
2811,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,
2812,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
2813,,No Bakecenter,,,,,,,,,,,,,,,,,,,YES,,YES
2816,,No Bakecenter,,,,,,,,,,,,,,,,,,,,,
2817,Both ,,,YES,YES,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2818,Both ,,,YES,,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2819,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2820,,No Bakecenter,,YES,,,,YES,,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2821,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2822,,No Bakecenter,,YES,YES,YES,YES,,,YES,YES,YES,,,,,,,YES,,YES,YES,YES
2823,,No Bakecenter,,YES,YES,YES,,YES,,,YES,YES,,,,,,,,YES,,,YES
2825,,No Bakecenter,,YES,,,,,,,,,,,,,,,,,,,
2827,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
2830,,No Bakecenter,,YES,,,,,,,YES,YES,,,,,,,,,,,
2832,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
2833,,No Bakecenter,,,,,,YES,,,YES,YES,,,,,,,,,,,
2834,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
2836,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
2838,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
2843,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,YES,YES,,YES
2844,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
2846,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,,YES,YES
2847,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2850,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
2852,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2853,,No Bakecenter,,YES,YES,YES,YES,,YES,YES,YES,YES,,,,,,,,,,,
2854,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,
2855,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2856,Both ,,,,,,,YES,,,YES,YES,,,,,,,YES,,,YES,YES
2857,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2859,Both ,,,YES,,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2860,Both ,,,YES,YES,YES,YES,YES,YES,,YES,YES,,,,,,,YES,,YES,YES,YES
2861,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2862,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2864,,No Bakecenter,,YES,,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2869,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2871,Both ,,,YES,YES,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2874,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
2881,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
2882,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
2883,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,,YES
2884,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
2886,,No Bakecenter,,YES,YES,,YES,YES,,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2888,Both ,,,YES,YES,,,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2889,Both ,,,YES,YES,,YES,YES,YES,YES,YES,YES,,,,,,,,YES,YES,,
2890,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2892,,No Bakecenter,,,,,,,,,,,,,,,,,YES,,YES,YES,YES
2893,Both ,,,YES,,,,YES,YES,,,,,,,,,,,YES,,,YES
2894,,No Bakecenter,,YES,YES,,,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2906,,No Bakecenter,,YES,,,,,,,YES,YES,,,,,,,,,,,
2908,,No Bakecenter,,,,,,YES,,,,,,,,,,,YES,YES,YES,YES,YES
2909,,No Bakecenter,,YES,YES,YES,,YES,,YES,,,,,,,,,YES,YES,YES,YES,YES
2910,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2911,,No Bakecenter,,YES,YES,,YES,YES,,YES,YES,YES,,,,,,,YES,,YES,YES,YES
2912,Both ,,,YES,,,YES,YES,YES,YES,YES,YES,,,,,,,,,,,
2913,,No Bakecenter,,YES,YES,YES,,YES,,,YES,YES,,,,,,,YES,,YES,YES,YES
2914,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2915,,No Bakecenter,,YES,,,,,,,,,,,,,,,,,,,
2916,,No Bakecenter,,,,,,,,YES,,,,,,,,,,,,,
2917,,No Bakecenter,,,,,,YES,,,,,,,,,,,,,,,
2918,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
2920,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
2921,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2922,Both ,,,YES,YES,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2923,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,
2926,,No Bakecenter,,,,,,,,,,,,,,,,,,,,,
2927,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
2928,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2929,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2931,Both ,,,YES,YES,YES,,YES,,YES,YES,YES,,,,,,,,,,,
2932,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,,YES
2933,Both ,,,YES,YES,YES,,YES,,,YES,YES,,,,,,,,YES,YES,,YES
2934,,No Bakecenter,,YES,YES,YES,,,,,,,,,,,,,,,,,
2937,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2938,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2939,,No Bakecenter,,YES,,,,YES,,,,,,,,,,,,YES,,,YES
2945,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
2946,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,,,,YES
2947,,No Bakecenter,,,,,,YES,,,,,,,,,,,,,,,
2951,Both ,,,YES,,,,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2953,Both ,,,YES,YES,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,,,YES
2955,,No Bakecenter,,,,,,,,,,,,,,,,,YES,,YES,YES,YES
2956,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
2957,,No Bakecenter,,,,,,,,,,,,,,,,,,,YES,,YES
2958,,No Bakecenter,,,,,,,,,,,,,,,,,,YES,YES,,YES
2959,Both ,,,YES,,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2962,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2963,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2964,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
2966,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
2967,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2973,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,,YES
2978,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,
2980,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,YES,YES,,YES
2985,Both ,,,YES,YES,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2986,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
2988,,No Bakecenter,,YES,YES,YES,,YES,YES,,YES,YES,,,,,,,YES,YES,,YES,YES
2990,,No Bakecenter,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,YES,YES,,YES
2991,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,,YES
2992,Both ,,,YES,YES,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2993,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
2994,Both ,,,YES,YES,YES,,YES,,YES,YES,YES,,,,,,,,,,,YES
2996,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
3014,Both ,,,YES,,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
3017,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
3018,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
3035,,No Bakecenter,,YES,,,,,YES,,YES,YES,,,,,,,YES,YES,YES,YES,YES
3044,Both ,,,YES,,,,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
3055,,No Bakecenter,,YES,YES,YES,,YES,YES,,YES,YES,,,,,,,YES,YES,YES,YES,YES
3056,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
3059,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
3060,,No Bakecenter,,,,,,,,,,,,,,,,,,,,,
3061,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,,YES,YES
3075,,No Bakecenter,,,,,,,,,,,,,,,,,,,,,
3077,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
3078,,No Bakecenter,,YES,YES,,YES,YES,,YES,YES,YES,,,,,,,YES,,YES,,YES
3081,Both ,,,YES,YES,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
3088,Both ,,,YES,,,YES,YES,YES,YES,YES,YES,,,,,,,,,,,
3093,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
3102,,No Bakecenter,,,,,,,,,,,,,,,,,,YES,YES,,YES
3103,,No Bakecenter,,,,,,,,,,,,,,,,,,,,,
3112,Both ,,,YES,,,,YES,YES,,YES,YES,,,,,,,YES,,,YES,YES
3119,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
3150,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
3151,Both ,,,YES,,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
3159,,No Bakecenter,,YES,YES,,,YES,,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
3163,Both ,,,YES,YES,YES,,,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
3167,,No Bakecenter,,YES,,,YES,YES,,YES,YES,YES,,,,,,,YES,,,,YES
3169,Both ,,,YES,,,,YES,YES,,YES,YES,,,,,,,YES,YES,YES,YES,YES
3177,,No Bakecenter,,,,,,,,,,,,,,,,,,,,,
3191,,No Bakecenter,,YES,YES,YES,,YES,,,,,,,,,,,,,,,
3192,Both ,,,YES,YES,YES,,YES,YES,,YES,YES,,,,,,,YES,,YES,YES,YES
3201,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
3205,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
3206,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
3207,Both ,,,YES,YES,YES,,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
3208,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
3209,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
3210,Both ,,,YES,YES,YES,,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
3212,Both ,,,YES,YES,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
3213,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
3214,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
3215,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
3216,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,,YES
3218,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
3219,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
3220,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
3221,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
3222,Both ,,,YES,YES,YES,YES,,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
3223,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
3224,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
3225,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
3226,Both ,,,YES,YES,YES,,YES,YES,,YES,YES,,,,,,,YES,YES,YES,,YES
3227,,No Bakecenter,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
3228,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
3230,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
3231,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,,YES,YES
3232,,No Bakecenter,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
3233,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
3234,,No Bakecenter,,,,,,,,,YES,YES,,,,,,,YES,YES,YES,YES,YES
3236,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
3237,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
3239,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
3241,,No Bakecenter,,YES,YES,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
3243,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
3247,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
3250,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
3251,Both ,,,YES,,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
3253,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,,,YES,YES
3254,Both ,,,YES,YES,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
3255,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
3258,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
3259,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
3260,,No Bakecenter,,YES,,,,YES,YES,,,,,,,,,,YES,YES,YES,YES,YES
3261,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,
3262,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
3265,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
3266,,No Bakecenter,,,,,,,,,,,,,,,,,,,,,
3267,,No Bakecenter,,,,,,,,,,,,,,,,,YES,,YES,,YES
3268,,No Bakecenter,,YES,,,YES,YES,YES,YES,YES,YES,,,,,,,YES,,YES,YES,YES
3269,,No Bakecenter,,,,,,,,,,,,,,,,,,,,,
3270,Both ,,,YES,YES,YES,YES,,,YES,YES,YES,,,,,,,,YES,,,YES
3271,Both ,,,YES,YES,YES,,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,,YES
3273,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
3274,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
3277,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
3278,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
3279,Both ,,,YES,,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
3280,,No Bakecenter,,YES,,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
3281,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
3282,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
3283,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
3284,Both ,,,YES,YES,YES,,,YES,,YES,YES,,,,,,,YES,YES,YES,YES,YES
3285,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
3286,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
3288,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
3289,,No Bakecenter,,YES,YES,YES,YES,,YES,,YES,YES,,,,,,,YES,YES,YES,YES,YES
3290,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,,,YES
3291,,No Bakecenter,,YES,,,,YES,,,,,,,,,,,,,,,
3292,,No Bakecenter,,,,,,,,,,,,,,,,,,,,,
3293,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
3294,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
3295,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
3297,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
