Store Nbr,Spring 23 Layout,Link,SET Tool Status
44,No Indoor Mod,,TBD
45,C,https://one.walmart.com/content/dam/us-wire-wm1/documents/work/merchandise/seasonal/lawn-and-garden/spring-modular/lookup-tools/foliage/Foliage-Layout-C.pdf,Live
46,C,https://one.walmart.com/content/dam/us-wire-wm1/documents/work/merchandise/seasonal/lawn-and-garden/spring-modular/lookup-tools/foliage/Foliage-Layout-C.pdf,Live
47,D,https://one.walmart.com/content/dam/us-wire-wm1/documents/work/merchandise/seasonal/lawn-and-garden/spring-modular/lookup-tools/foliage/Foliage-Layout-D.pdf,Live
48,C,https://one.walmart.com/content/dam/us-wire-wm1/documents/work/merchandise/seasonal/lawn-and-garden/spring-modular/lookup-tools/foliage/Foliage-Layout-C.pdf,Live
49,C,https://one.walmart.com/content/dam/us-wire-wm1/documents/work/merchandise/seasonal/lawn-and-garden/spring-modular/lookup-tools/foliage/Foliage-Layout-C.pdf,Live
50,D,https://one.walmart.com/content/dam/us-wire-wm1/documents/work/merchandise/seasonal/lawn-and-garden/spring-modular/lookup-tools/foliage/Foliage-Layout-D.pdf,TBD
51,D,https://one.walmart.com/content/dam/us-wire-wm1/documents/work/merchandise/seasonal/lawn-and-garden/spring-modular/lookup-tools/foliage/Foliage-Layout-D.pdf,TBD
52,C,https://one.walmart.com/content/dam/us-wire-wm1/documents/work/merchandise/seasonal/lawn-and-garden/spring-modular/lookup-tools/foliage/Foliage-Layout-C.pdf,Live
54,B,https://one.walmart.com/content/dam/us-wire-wm1/documents/work/merchandise/seasonal/lawn-and-garden/spring-modular/lookup-tools/foliage/Foliage-Layout-B.pdf,Live
55,D,https://one.walmart.com/content/dam/us-wire-wm1/documents/work/merchandise/seasonal/lawn-and-garden/spring-modular/lookup-tools/foliage/Foliage-Layout-D.pdf,TBD
56,D,https://one.walmart.com/content/dam/us-wire-wm1/documents/work/merchandise/seasonal/lawn-and-garden/spring-modular/lookup-tools/foliage/Foliage-Layout-D.pdf,TBD
57,No Indoor Mod,,TBD
58,C,https://one.walmart.com/content/dam/us-wire-wm1/documents/work/merchandise/seasonal/lawn-and-garden/spring-modular/lookup-tools/foliage/Foliage-Layout-C.pdf,Live
59,D,https://one.walmart.com/content/dam/us-wire-wm1/documents/work/merchandise/seasonal/lawn-and-garden/spring-modular/lookup-tools/foliage/Foliage-Layout-D.pdf,Live
60,C,https://one.walmart.com/content/dam/us-wire-wm1/documents/work/merchandise/seasonal/lawn-and-garden/spring-modular/lookup-tools/foliage/Foliage-Layout-C.pdf,TBD
61,D,https://one.walmart.com/content/dam/us-wire-wm1/documents/work/merchandise/seasonal/lawn-and-garden/spring-modular/lookup-tools/foliage/Foliage-Layout-D.pdf,Live
62,D,https://one.walmart.com/content/dam/us-wire-wm1/documents/work/merchandise/seasonal/lawn-and-garden/spring-modular/lookup-tools/foliage/Foliage-Layout-D.pdf,TBD
63,D,https://one.walmart.com/content/dam/us-wire-wm1/documents/work/merchandise/seasonal/lawn-and-garden/spring-modular/lookup-tools/foliage/Foliage-Layout-D.pdf,TBD
