Store Nbr,Event 1 Total Pallets,Event 2 Total Pallets,Event 3 Total Pallets
268,47,46,109
269,53,42,116
271,29,29,72
272,40,33,88
273,37,42,90
274,33,24,57
275,45,45,118
276,25,29,70
277,75,48,153
278,49,38,109
279,29,29,72
280,23,28,64
281,33,31,86
282,36,38,96
283,30,32,74
284,63,50,137
285,60,33,122
286,45,38,109
287,54,52,129
288,27,31,80
289,33,28,63
290,29,33,77
292,38,33,97
293,27,26,69
294,33,33,75
295,31,28,69
296,33,29,70
297,71,49,185
298,53,57,131
299,61,56,152
300,37,34,77
301,56,45,133
302,32,27,66
303,30,22,68
304,53,56,106
305,40,27,90
306,40,36,92
307,57,40,138
308,38,36,94
309,45,33,110
310,40,32,98
311,36,21,73
312,28,20,65
313,32,31,90
314,35,31,93
315,47,44,114
316,41,36,93
317,32,34,69
318,35,28,79
319,48,34,97
320,25,24,58
321,40,45,110
322,52,44,131
323,27,22,55
324,34,44,105
325,32,29,73
326,29,23,56
328,42,36,79
329,48,35,99
330,49,40,171
331,52,40,141
332,33,31,90
333,31,31,71
334,27,22,58
335,56,41,137
336,37,31,88
337,29,29,70
338,25,25,58
339,33,23,63
340,39,40,113
341,25,25,58
342,26,28,57
343,38,41,84
344,36,34,98
345,51,42,135
346,27,31,56
347,35,22,82
348,40,34,123
350,29,30,63
351,37,28,78
352,29,24,56
353,36,30,71
354,27,26,60
355,45,39,124
356,45,41,106
357,26,27,64
358,28,28,70
359,52,48,123
360,29,28,68
361,51,38,110
362,36,57,77
363,32,28,75
364,39,34,95
365,49,42,106
366,37,33,81
368,31,30,78
369,29,28,68
370,31,28,68
371,56,44,147
372,42,50,119
373,26,25,60
374,38,41,112
375,35,27,73
376,57,40,142
378,27,24,58
379,39,34,90
381,47,39,117
382,42,35,77
383,36,39,106
384,42,41,110
385,29,28,59
386,39,27,95
387,31,35,71
388,37,28,88
389,40,38,103
390,28,30,67
391,49,30,93
392,40,42,102
393,49,37,113
394,40,35,92
395,85,48,206
396,60,41,134
397,84,51,204
398,58,55,157
399,64,39,144
400,57,49,148
401,29,27,66
402,43,31,96
403,45,35,110
404,53,41,119
405,44,35,111
406,49,36,117
407,74,53,157
408,60,38,156
409,35,29,73
410,49,47,105
411,39,30,78
412,37,39,110
413,38,33,79
414,48,50,112
415,50,36,125
416,41,41,100
417,50,49,119
418,26,24,52
419,29,28,55
420,39,39,111
421,43,39,112
422,34,27,72
423,48,37,109
424,40,29,82
425,34,29,76
426,36,33,79
427,50,43,115
428,40,29,92
429,46,37,130
430,45,35,85
431,39,36,83
432,31,25,77
433,34,21,75
434,36,31,83
435,40,32,84
436,27,25,63
437,37,32,101
438,25,26,55
440,33,30,84
442,44,43,133
443,31,24,71
444,44,39,101
445,47,44,105
446,26,27,65
447,71,43,174
448,35,28,88
449,39,23,88
450,45,30,93
451,37,30,72
452,57,44,135
453,27,30,60
454,31,31,69
456,100,44,205
457,35,33,86
458,38,35,99
459,58,39,145
461,76,49,223
462,58,41,153
463,44,34,119
464,71,55,201
465,45,38,102
466,34,25,80
467,50,37,116
468,45,37,96
469,46,35,116
470,52,41,137
471,53,30,123
472,55,61,149
473,27,28,67
475,45,29,107
476,29,32,83
477,30,29,72
478,31,25,71
479,40,41,100
480,26,25,60
481,49,35,104
482,34,26,72
483,50,36,124
484,34,29,81
485,29,22,66
486,29,29,57
488,28,25,71
489,53,37,119
490,39,30,100
491,64,54,143
492,52,47,111
493,31,37,77
494,61,40,146
495,54,41,136
497,43,39,98
498,31,30,69
499,51,46,122
500,64,46,162
501,55,34,112
502,36,34,94
503,30,32,73
504,39,33,89
505,41,40,102
506,30,25,60
507,43,38,104
508,50,41,125
510,51,37,143
511,63,42,144
512,75,52,186
513,42,48,124
514,43,32,102
515,42,37,113
516,51,37,121
517,65,59,131
518,41,35,122
519,32,27,77
520,44,37,123
521,38,33,91
522,48,44,112
523,34,34,83
524,28,27,69
526,42,30,86
527,34,33,88
528,38,29,98
529,69,37,148
530,46,38,115
531,60,39,154
532,58,47,163
533,44,31,106
535,64,53,160
536,58,44,137
537,97,64,202
538,40,29,93
539,37,42,95
540,37,34,102
541,61,44,132
542,59,44,137
543,39,32,105
544,50,61,167
545,35,34,73
546,57,38,140
547,51,40,108
548,44,30,111
549,87,69,178
550,25,27,61
551,53,37,121
552,31,30,69
553,54,33,111
554,106,44,232
555,58,36,135
556,54,35,124
557,53,47,96
558,51,49,126
559,49,40,116
560,51,40,115
561,29,30,76
562,40,37,99
563,52,39,120
564,56,47,141
565,45,35,101
566,33,31,72
567,29,26,62
568,35,25,61
569,45,42,116
571,52,42,126
572,37,30,101
573,45,34,93
574,53,45,112
575,43,41,93
576,60,42,131
577,45,44,99
578,81,47,180
579,46,35,102
580,47,36,138
581,48,35,105
582,43,30,113
583,38,35,92
584,36,37,85
585,56,32,109
586,45,44,110
587,41,33,78
588,55,39,139
589,62,38,122
590,60,43,128
591,33,27,70
592,46,44,124
593,45,39,112
594,54,34,129
595,85,49,165
596,31,20,67
598,49,42,121
599,49,38,131
600,36,34,84
601,50,41,108
602,45,31,104
603,49,41,109
604,72,39,162
605,45,25,101
606,37,25,72
607,30,24,53
608,84,55,204
609,47,36,105
610,51,50,120
611,40,32,111
612,34,25,78
613,39,33,100
614,49,38,139
615,50,49,133
616,47,28,96
617,30,29,59
618,58,42,145
619,36,32,80
620,39,41,101
621,36,30,97
622,53,44,138
623,49,36,118
624,34,33,88
625,44,35,106
626,29,38,69
627,38,26,84
628,42,40,114
629,28,30,82
630,50,37,121
631,50,41,109
632,34,24,70
633,30,28,69
634,41,32,86
635,52,32,112
636,28,21,62
637,34,32,73
638,51,35,116
639,49,35,116
640,51,31,113
641,35,24,80
642,34,26,81
643,51,44,111
644,42,32,113
645,54,49,118
646,25,25,62
647,30,25,65
648,49,37,121
649,47,38,123
651,65,43,168
652,69,43,136
653,76,66,157
655,50,37,122
656,44,41,94
657,60,70,121
658,48,36,117
659,39,25,94
660,48,41,117
661,55,47,111
662,53,40,124
663,43,44,94
664,49,50,115
665,47,46,96
666,66,49,151
667,42,51,96
668,46,41,111
669,56,37,126
670,84,68,158
671,48,40,125
672,50,37,120
673,66,45,141
674,55,40,126
675,37,32,78
676,41,41,100
677,62,42,130
678,49,42,118
680,52,47,117
681,48,44,119
682,63,42,141
683,40,37,104
684,40,39,97
685,63,50,153
686,32,27,84
687,52,40,110
688,45,27,79
689,92,79,201
690,50,41,106
691,54,53,130
692,50,49,115
693,34,30,80
694,42,31,93
695,50,26,94
696,42,35,97
697,75,50,159
698,47,42,120
699,47,41,110
700,40,27,91
701,47,40,107
702,53,47,125
703,47,36,124
705,51,46,137
706,47,37,119
707,34,25,80
708,45,31,101
709,68,55,156
710,46,30,81
711,76,71,158
712,49,42,111
713,28,25,62
714,34,26,78
715,60,33,151
716,38,26,87
718,54,34,132
719,71,51,155
720,50,41,112
721,48,44,120
722,57,49,150
723,42,36,90
724,46,40,99
725,54,41,158
726,44,42,116
727,34,28,83
728,30,23,54
729,51,40,114
730,40,31,100
731,38,24,79
733,33,38,102
734,55,44,122
735,44,38,99
736,50,43,99
737,38,35,89
738,38,31,82
739,48,54,104
740,33,30,80
741,41,39,96
742,52,48,143
743,84,50,173
744,77,55,189
745,43,30,120
746,55,44,114
747,31,18,64
748,32,33,63
749,27,28,57
750,27,23,62
751,28,27,57
752,65,39,154
753,63,49,153
754,62,43,132
755,55,53,144
756,35,30,89
757,42,41,120
758,31,25,82
759,35,28,81
760,29,27,57
761,44,30,96
762,39,26,75
764,37,28,89
765,49,35,119
766,65,48,158
767,44,42,140
768,58,41,140
769,41,28,84
770,47,42,135
771,42,40,105
772,48,32,102
773,39,31,96
774,39,38,103
775,52,38,114
776,41,37,101
777,46,38,112
778,45,34,104
779,41,35,107
780,45,33,110
781,49,40,127
782,53,59,160
783,23,30,57
784,33,30,65
785,42,31,93
786,39,29,93
787,46,30,110
788,27,26,59
789,56,49,135
790,35,33,75
791,48,46,138
792,22,24,54
793,35,30,78
794,67,55,137
795,30,23,71
796,42,35,91
797,51,39,118
798,25,30,59
799,36,34,89
800,36,29,97
801,32,28,74
802,32,27,63
803,36,31,79
804,43,41,113
805,41,32,100
806,45,44,116
807,53,38,122
808,59,57,181
809,54,37,124
810,54,40,112
811,42,33,84
812,42,34,88
813,64,46,157
814,60,49,131
815,37,27,100
816,44,47,104
817,51,43,110
818,37,31,88
819,57,42,142
820,35,32,69
821,60,45,137
822,43,37,114
823,48,42,126
824,35,23,73
825,33,32,83
826,55,43,140
827,42,38,126
828,59,40,133
829,35,29,77
830,27,18,52
831,33,28,67
833,32,29,59
834,27,27,66
835,47,35,113
836,42,32,101
837,27,25,57
838,71,64,142
839,54,29,101
841,28,23,50
842,58,36,123
843,31,20,59
844,41,32,94
845,31,28,64
846,33,35,88
847,33,21,64
848,60,51,144
849,70,41,145
850,41,29,100
851,34,27,73
852,44,35,95
853,66,52,168
854,37,24,83
855,43,26,100
856,51,33,116
857,45,24,97
858,28,25,76
859,38,30,112
860,50,38,122
861,49,42,131
862,68,48,172
863,38,35,77
864,56,36,128
865,63,52,179
866,56,43,125
867,43,39,99
868,48,46,120
869,51,35,101
870,51,32,95
871,29,26,69
872,53,39,141
873,32,25,63
874,36,28,88
875,37,26,77
876,33,30,79
877,49,41,119
878,37,35,94
879,37,35,93
880,55,42,111
881,46,44,107
882,38,28,75
884,48,38,103
885,23,21,51
886,51,38,118
887,40,30,94
888,29,27,59
889,38,31,86
890,71,45,166
891,44,33,96
892,57,38,136
893,28,28,56
894,68,54,148
895,25,25,60
896,73,41,155
897,34,40,97
898,33,32,89
899,55,44,128
900,31,27,63
901,44,37,112
902,39,32,81
903,34,24,71
904,43,34,101
905,39,31,78
906,69,55,151
907,39,30,94
908,59,44,132
909,48,27,122
910,35,26,76
911,73,37,149
912,40,22,89
913,41,35,78
914,30,28,73
915,61,44,133
916,44,38,119
917,26,24,68
918,45,37,111
919,51,36,122
921,26,19,51
922,52,38,115
923,55,47,130
924,31,24,71
925,40,27,88
927,42,44,102
928,48,33,102
929,47,38,129
930,36,21,72
931,40,39,106
932,60,51,165
933,30,23,64
934,46,36,98
935,46,36,99
936,58,45,123
937,53,39,114
938,41,23,92
939,56,41,151
940,45,34,105
941,43,34,98
942,57,35,137
943,55,34,120
944,47,48,119
945,53,39,125
947,61,50,146
948,59,40,119
950,54,34,119
951,29,23,76
952,44,33,101
953,35,28,87
954,38,25,72
955,57,33,143
956,33,26,70
957,25,21,57
958,43,30,89
959,38,32,91
960,33,31,84
961,45,32,119
962,26,24,59
963,46,38,112
964,81,46,172
965,37,33,74
966,39,28,89
967,45,37,129
968,48,32,131
969,64,34,134
970,48,37,122
971,27,25,59
972,52,47,126
973,44,29,114
974,37,35,108
975,49,43,117
976,35,27,91
977,25,21,53
978,33,31,76
979,29,24,66
980,42,27,92
981,56,35,138
982,38,28,79
984,36,26,76
985,25,26,55
986,30,21,58
987,37,28,95
988,49,34,115
989,67,36,169
990,58,47,142
991,43,28,104
992,45,44,104
993,32,28,75
994,53,41,139
995,46,38,108
996,33,25,58
999,55,43,118
1000,96,42,184
1001,55,41,111
1002,33,34,80
1003,35,30,77
1004,51,42,113
1005,41,26,79
1006,40,30,99
1007,32,24,68
1008,43,36,73
1009,38,35,96
1010,60,45,130
1011,47,34,119
1012,46,31,103
1013,31,27,69
1014,59,39,134
1015,78,50,179
1016,55,47,125
1017,37,30,98
1018,30,24,75
1019,35,31,80
1020,37,32,78
1021,31,28,76
1022,42,35,97
1023,67,45,154
1024,33,30,90
1025,52,45,125
1026,68,47,116
1027,52,37,119
1028,53,30,105
1029,32,28,75
1030,50,40,117
1032,46,36,126
1033,46,40,115
1034,56,36,130
1035,52,33,114
1036,61,41,138
1037,53,38,148
1038,28,24,62
1039,41,38,116
1040,71,42,147
1041,79,43,165
1042,51,36,130
1043,29,34,75
1044,43,35,102
1045,33,25,65
1046,29,30,89
1047,45,31,105
1048,43,39,112
1051,34,34,87
1052,29,40,76
1053,42,42,95
1054,26,25,59
1055,53,34,120
1056,48,52,120
1057,41,30,70
1058,31,35,85
1059,40,31,81
1060,45,37,101
1061,31,27,76
1062,57,44,141
1063,27,27,60
1064,39,33,95
1065,42,34,89
1066,48,35,135
1067,29,23,60
1068,43,29,91
1069,28,29,70
1070,39,39,88
1071,60,39,127
1072,66,39,118
1073,28,26,70
1074,58,44,129
1075,58,40,122
1076,41,28,88
1077,35,23,81
1078,27,26,58
1079,40,30,92
1080,51,45,115
1081,58,41,129
1082,39,33,95
1083,42,30,117
1084,43,31,86
1085,45,31,116
1086,60,41,144
1087,47,38,109
1088,36,29,86
1089,41,44,103
1090,37,24,101
1091,60,53,133
1093,34,20,66
1094,44,30,100
1095,32,24,68
1096,35,33,93
1097,77,41,151
1098,34,34,85
1099,48,33,112
1100,33,29,74
1101,43,32,91
1102,37,21,74
1103,56,38,121
1104,47,35,109
1105,52,39,123
1106,33,23,70
1107,31,27,60
1108,34,27,64
1109,29,27,71
1110,32,24,60
1111,45,33,120
1112,41,33,94
1113,54,54,132
1114,27,29,67
1115,32,35,61
1116,47,49,119
1117,41,33,88
1118,55,31,118
1119,28,23,62
1120,46,32,105
1121,61,39,123
1122,48,39,93
1123,61,43,128
1124,37,27,73
1125,46,34,99
1126,33,34,80
1128,32,26,78
1129,39,30,81
1130,37,29,93
1131,39,31,78
1132,74,57,146
1133,42,45,113
1134,41,37,104
1135,36,31,94
1136,36,27,78
1137,48,34,104
1138,36,23,75
1139,60,49,134
1140,54,54,107
1141,49,37,93
1142,37,33,95
1143,37,29,96
1144,33,28,94
1146,51,41,125
1147,26,27,61
1148,53,49,129
1149,49,38,127
1150,76,49,148
1151,49,35,116
1152,35,29,73
1153,50,28,114
1154,34,27,72
1155,75,44,165
1156,57,36,140
1157,30,30,68
1158,35,27,82
1159,28,31,69
1160,64,59,136
1161,47,34,118
1162,40,35,89
1163,42,28,93
1164,51,29,112
1165,45,34,104
1166,30,29,69
1167,47,30,112
1168,47,37,97
1169,31,27,67
1170,35,33,83
1171,47,30,91
1172,40,35,100
1173,43,29,91
1174,41,30,90
1175,31,23,66
1176,29,22,60
1177,38,32,81
1178,47,38,101
1179,37,31,80
1180,43,45,102
1181,45,27,85
1182,42,35,121
1183,45,31,118
1184,39,25,83
1185,50,33,108
1186,41,40,105
1187,28,29,74
1188,43,28,95
1189,31,31,79
1190,40,45,93
1191,30,22,74
1192,35,32,86
1193,53,33,110
1194,42,34,95
1195,43,37,99
1196,32,27,73
1197,48,33,105
1198,59,43,127
1199,34,26,69
1200,47,30,103
1201,47,46,114
1202,52,41,105
1203,59,45,139
1204,54,46,111
1205,46,41,120
1206,38,24,83
1207,39,40,104
1209,42,37,107
1210,49,36,104
1211,29,21,59
1212,44,42,111
1213,53,39,170
1214,24,27,57
1215,60,48,142
1216,41,31,86
1217,41,35,90
1218,76,46,172
1219,33,25,78
1220,65,47,129
1221,58,37,134
1222,55,42,144
1223,43,27,87
1224,42,34,114
1225,40,34,107
1226,31,27,67
1227,60,37,114
1228,46,38,103
1229,54,37,117
1230,53,41,97
1231,63,37,137
1232,41,34,98
1233,63,54,134
1234,47,33,87
1235,35,26,75
1236,41,32,90
1237,46,35,110
1238,56,32,126
1239,49,40,70
1240,62,45,141
1241,61,51,148
1242,35,31,83
1243,45,33,102
1244,37,34,93
1245,58,56,157
1247,61,56,122
1248,71,29,119
1249,31,30,83
1252,35,27,70
1253,56,40,110
1254,49,41,121
1255,42,32,105
1256,41,29,93
1257,25,21,56
1259,54,64,130
1260,36,37,96
1261,40,35,99
1263,59,43,132
1264,58,38,99
1265,35,22,67
1266,43,26,88
1267,37,27,76
1268,44,38,106
1270,40,35,102
1271,44,35,100
1272,31,34,72
1273,49,37,112
1274,28,22,58
1275,34,27,66
1276,38,25,81
1277,26,25,65
1279,64,44,131
1280,44,35,95
1281,45,34,108
1282,28,26,70
1283,48,28,89
1284,55,34,138
1285,51,39,109
1286,36,36,81
1287,54,38,122
1288,40,30,81
1289,44,36,95
1290,44,48,112
1291,62,40,149
1292,47,34,98
1293,46,28,102
1294,63,44,110
1295,32,28,71
1296,49,37,121
1297,39,37,106
1298,59,38,125
1299,42,30,92
1300,46,35,111
1301,56,35,105
1302,65,58,141
1303,52,47,122
1304,61,44,112
1305,54,46,128
1306,52,40,113
1307,47,34,117
1308,39,22,68
1309,46,40,90
1310,67,55,118
1311,43,37,120
1312,35,24,93
1313,54,44,128
1314,45,36,96
1315,59,44,101
1316,30,20,57
1317,42,30,99
1318,51,39,103
1319,43,39,104
1320,44,38,111
1321,50,41,118
1322,42,42,112
1323,31,19,62
1324,61,35,161
1325,40,24,86
1326,38,34,100
1327,47,46,82
1328,42,32,86
1329,42,33,89
1330,47,39,109
1331,40,39,91
1332,41,34,86
1333,42,34,79
1334,36,30,91
1335,33,26,74
1336,29,40,67
1337,61,51,122
1338,45,24,90
1339,48,33,103
1340,44,25,88
1341,64,36,123
1342,38,29,115
1344,39,34,91
1345,56,41,104
1346,48,38,109
1347,40,28,96
1348,43,32,93
1349,42,32,88
1350,51,38,107
1351,60,37,120
1352,33,24,88
1353,53,32,133
1354,40,30,93
1355,40,38,106
1356,37,34,82
1357,32,25,79
1358,43,35,110
1359,43,30,92
1360,43,34,90
1361,46,42,108
1362,38,27,93
1363,45,53,96
1364,56,43,116
1365,35,31,79
1366,31,22,65
1367,74,42,173
1368,36,31,79
1369,31,26,70
1370,43,30,86
1371,46,41,117
1372,40,27,87
1373,53,33,120
1374,38,28,89
1375,45,36,100
1376,64,45,120
1377,44,31,94
1378,52,29,101
1379,47,27,114
1380,29,25,74
1381,39,34,99
1382,54,37,134
1383,39,28,89
1384,30,27,63
1385,46,38,101
1386,34,29,76
1387,42,32,104
1388,44,31,97
1389,26,24,59
1390,60,38,138
1391,37,32,92
1392,41,28,111
1393,41,34,76
1394,50,34,108
1395,32,30,81
1396,42,29,93
1397,58,33,128
1398,36,29,89
1399,38,30,90
1400,69,47,159
1401,38,28,80
1403,40,35,99
1404,28,25,63
1405,51,54,109
1406,46,35,102
1407,37,31,77
1408,39,25,100
1409,42,29,93
1410,50,37,107
1411,55,33,139
1412,30,25,66
1413,40,31,77
1414,45,30,94
1415,35,31,78
1416,29,30,61
1417,37,30,86
1418,56,34,118
1419,47,34,106
1420,48,24,88
1421,41,30,91
1422,39,26,90
1423,48,34,86
1424,51,40,140
1425,36,33,75
1426,63,47,164
1427,43,33,90
1428,76,51,152
1429,54,35,95
1430,43,34,112
1431,42,36,83
1432,46,38,101
1433,55,40,120
1434,33,26,74
1435,36,27,77
1436,40,34,79
1437,38,42,84
1438,60,42,133
1439,46,33,114
1440,61,49,170
1441,46,37,99
1442,30,25,75
1443,55,38,126
1444,41,38,108
1445,31,27,60
1446,48,40,106
1447,43,38,118
1448,53,39,95
1449,48,31,103
1450,40,37,88
1451,27,28,56
1452,38,22,67
1453,63,41,138
1454,62,48,132
1455,46,31,108
1456,33,30,74
1457,39,37,76
1458,63,53,153
1459,51,30,108
1460,38,35,84
1461,47,45,126
1462,40,28,89
1463,46,32,97
1464,60,30,92
1465,55,41,149
1466,42,42,124
1467,30,28,69
1468,40,31,101
1469,44,41,114
1470,43,37,102
1471,34,24,71
1472,29,26,59
1473,48,48,105
1474,57,40,146
1475,26,24,67
1476,61,50,159
1477,47,40,90
1478,68,41,119
1479,49,38,126
1480,30,23,62
1481,43,25,91
1482,36,23,98
1483,49,35,100
1485,43,34,104
1486,43,35,98
1487,52,30,96
1488,57,39,146
1489,28,20,59
1490,47,29,109
1491,39,32,91
1492,44,25,80
1493,39,31,82
1494,50,42,132
1495,54,37,116
1496,66,55,124
1497,30,23,66
1498,38,29,79
1499,40,31,96
1500,39,34,99
1501,31,24,87
1502,48,33,117
1503,49,33,93
1504,41,32,95
1505,76,54,153
1506,26,25,62
1507,45,38,105
1508,35,32,68
1509,26,22,58
1510,74,44,176
1511,42,27,100
1512,35,26,91
1513,35,33,74
1514,55,42,139
1515,44,26,94
1516,37,37,90
1517,32,22,87
1518,53,26,94
1519,40,38,92
1520,44,38,99
1521,42,25,91
1522,42,44,95
1523,42,38,100
1524,55,35,106
1525,56,35,123
1526,36,28,84
1527,72,53,135
1528,48,32,106
1529,72,49,141
1530,39,34,89
1531,38,28,87
1532,50,32,120
1533,61,45,143
1534,43,39,84
1535,46,41,111
1536,51,36,114
1537,37,41,77
1538,45,31,93
1539,75,48,138
1540,34,27,83
1541,56,47,146
1542,47,46,104
1543,45,41,81
1544,65,46,130
1545,35,30,79
1546,27,26,58
1547,50,39,117
1548,31,26,73
1549,65,39,151
1550,27,22,46
1551,41,29,100
1552,51,34,105
1553,45,36,91
1554,88,43,162
1555,60,40,145
1556,53,36,114
1557,49,32,98
1558,34,37,84
1559,56,32,108
1560,57,41,121
1561,53,30,107
1562,29,28,69
1563,56,47,148
1564,72,46,148
1565,70,50,116
1566,53,49,120
1567,49,48,98
1568,81,54,130
1569,80,45,151
1570,45,31,106
1571,34,34,63
1572,57,39,134
1573,38,33,92
1574,87,48,163
1575,53,40,124
1576,52,35,117
1577,34,25,76
1578,39,30,82
1579,36,23,71
1580,57,32,120
1581,44,34,101
1583,73,40,147
1584,52,39,112
1585,42,39,96
1586,57,42,103
1587,45,33,104
1588,56,41,153
1589,36,28,68
1590,52,42,136
1591,59,43,126
1592,42,30,85
1593,43,43,95
1594,60,36,134
1595,44,37,93
1596,33,23,70
1597,51,54,127
1598,43,29,90
1599,37,27,73
1600,48,40,98
1601,40,33,94
1602,42,34,88
1603,35,23,63
1604,52,42,110
1605,37,25,93
1606,42,33,96
1607,65,41,124
1608,52,35,99
1609,37,31,89
1610,35,29,86
1611,55,42,113
1612,70,45,167
1613,43,36,88
1614,39,23,88
1615,43,24,98
1616,31,24,65
1617,40,33,85
1618,50,37,123
1619,42,33,106
1620,34,33,89
1621,37,33,81
1622,55,40,101
1623,78,54,131
1624,67,42,147
1625,34,27,72
1626,58,40,113
1627,40,36,93
1628,37,28,95
1629,26,27,67
1630,29,28,62
1631,63,37,118
1632,41,33,90
1633,51,40,118
1634,52,40,101
1635,36,23,80
1636,58,41,117
1637,42,35,105
1638,36,31,69
1639,32,28,68
1640,33,27,69
1641,39,34,100
1642,37,32,80
1643,70,45,112
1644,72,46,114
1645,75,50,162
1646,43,33,108
1647,38,32,95
1648,35,28,69
1649,35,28,69
1650,31,25,59
1651,51,34,108
1652,32,26,87
1653,41,32,88
1654,64,51,126
1655,51,35,97
1656,69,46,116
1657,36,22,76
1658,42,30,88
1659,50,35,113
1660,61,43,140
1661,47,28,85
1662,50,38,116
1663,53,40,117
1664,52,42,128
1665,52,44,132
1666,42,32,71
1667,39,33,88
1668,41,29,91
1669,49,34,115
1670,48,35,103
1671,52,39,118
1672,34,34,70
1673,45,39,112
1674,56,37,113
1675,35,30,71
1676,39,34,79
1677,57,46,119
1678,33,24,69
1679,48,40,123
1680,61,44,165
1681,36,28,77
1682,38,27,85
1683,31,30,66
1684,34,26,71
1685,41,33,79
1686,60,44,116
1687,49,37,110
1688,42,31,79
1689,45,36,97
1690,44,28,111
1691,35,29,96
1692,49,37,121
1693,50,34,113
1694,45,42,93
1695,34,27,67
1696,40,29,88
1697,43,30,88
1698,59,55,127
1699,63,51,144
1700,47,39,104
1701,30,31,86
1702,40,29,95
1703,53,41,111
1704,38,26,81
1705,35,26,76
1707,48,39,106
1708,54,44,143
1709,41,33,95
1710,44,24,93
1711,35,23,76
1712,39,29,86
1713,37,29,72
1714,49,37,108
1715,36,27,80
1716,35,37,85
1717,47,29,103
1718,54,41,102
1719,46,42,99
1720,49,30,115
1721,35,25,74
1722,44,47,93
