Inventory Correction for Timestamp Issue,,,,"Updated July 18, 2025"
785,WAYNESBORO,MS,$0.00,"$6,461.35"
874,NATCHEZ,MS,$0.00,"$11,521.84"
2717,HATTIESBURG,MS,$0.00,"$8,628.27"
1066,PASCAGOULA,MS,$0.00,"$10,439.39"
2715,DIBERVILLE,MS,$0.00,"$11,362.06"
140,LUFKIN,TX,$0.00,"$9,346.59"
214,JASPER,TX,$0.00,"$7,334.92"
148,PARIS,TX,$0.00,"$13,244.62"
240,COMMERCE,TX,$0.00,"$8,657.09"
468,TEXARKANA,AR,$0.00,"$14,347.70"
499,ENID,OK,$0.00,"$9,649.85"
168,OWASSO,OK,$0.00,"$10,396.56"
90,GROVE,OK,$0.00,"$5,939.19"
151,MCALESTER,OK,$0.00,"$5,055.76"
103,SHAWNEE,OK,$0.00,"$5,719.01"
137,STILLWATER,OK,$0.00,"$14,914.59"
324,BRISTOW,OK,$0.00,"$5,846.58"
4615,GLENPOOL,OK,$0.00,"$6,236.73"
2893,INDEPENDENCE,KS,$0.00,"$8,129.72"
3807,BENSON,AZ,$0.00,"$5,140.05"
3407,BUCKEYE,AZ,$0.00,"$6,241.03"
5369,GOODYEAR,AZ,$0.00,"$15,539.73"
1381,APACHE JUNCTION,AZ,$0.00,"$5,428.50"
869,ALAMOSA,CO,$0.00,"$11,408.02"
906,GALLUP,NM,$0.00,"$5,353.40"
3731,BERNALILLO,NM,$0.00,"$13,071.94"
4201,EDGEWOOD,NM,$0.00,"$8,892.85"
3328,GREENVILLE,MI,$0.00,"$19,128.48"
1836,ADRIAN,MI,$0.00,"$10,244.71"
1423,SAINT JOHNS,MI,$0.00,"$14,479.00"
1733,OWOSSO,MI,$0.00,"$19,145.70"
2869,LANSING,MI,$0.00,"$12,047.50"
1428,MOUNT PLEASANT,MI,$0.00,"$23,208.19"
5159,WEST BRANCH,MI,$0.00,"$17,660.43"
2959,ROSEVILLE,MI,$0.00,"$11,844.72"
4424,WARREN,MI,$0.00,"$13,184.50"
5844,LIVONIA,MI,$0.00,"$8,691.96"
3445,HOLLAND,OH,$0.00,"$12,605.31"
5030,TOLEDO,OH,$0.00,"$14,005.26"
1622,TIFFIN,OH,$0.00,"$9,196.09"
2197,CORTLAND,OH,$0.00,"$11,076.09"
2211,POLAND,OH,$0.00,"$12,314.11"
3722,KENT,OH,$0.00,"$9,491.48"
2313,STREETSBORO,OH,$0.00,"$11,283.28"
2073,CLEVELAND,OH,$0.00,"$9,761.30"
2266,STRONGSVILLE,OH,$0.00,"$9,859.31"
4255,ELYRIA,OH,$0.00,"$12,596.14"
2914,MASSILLON,OH,$0.00,"$7,139.82"
2966,WADSWORTH,OH,$0.00,"$9,010.79"
2078,MARIETTA,OH,$0.00,"$15,750.72"
2540,CLARION,PA,$0.00,"$5,914.21"
2420,BELLE VERNON,PA,$0.00,"$5,102.26"
739,MIDDLESBORO,KY,$0.00,"$5,235.43"
1302,NORTON,VA,$0.00,"$7,164.38"
3270,WYTHEVILLE,VA,$0.00,"$6,394.93"
1595,MARYSVILLE,OH,$0.00,"$11,352.56"
1427,CIRCLEVILLE,OH,$0.00,"$22,793.87"
1519,JACKSON,OH,$0.00,"$13,500.88"
2400,CHILLICOTHE,OH,$0.00,"$19,356.05"
3515,HILLSBORO,OH,$0.00,"$11,512.42"
5184,CANAL WINCHESTER,OH,$0.00,"$12,405.38"
3502,HAMILTON,OH,$0.00,"$8,217.97"
1264,BELLEFONTAINE,OH,$0.00,"$8,875.87"
1433,CELINA,OH,$0.00,"$19,326.41"
3641,SPRINGFIELD,OH,$0.00,"$5,409.76"
1521,CINCINNATI,OH,$0.00,"$5,402.09"
2967,FT WRIGHT,KY,$0.00,"$11,921.18"
1745,RICHMOND,IN,$0.00,"$5,396.37"
3747,MUNCIE,IN,$0.00,"$6,553.78"
1547,LAFAYETTE,IN,$0.00,"$8,027.08"
1728,ANDERSON,IN,$0.00,"$8,521.17"
1962,KOKOMO,IN,$0.00,"$5,113.46"
1294,MARION,IN,$0.00,"$5,483.05"
4461,LOUISA,KY,$0.00,"$5,697.05"
3400,OSWEGO,IL,$0.00,"$5,866.39"
3790,LOCKPORT,IL,$0.00,"$7,992.91"
1377,JOHNSBURG,IL,$0.00,"$5,470.11"
3434,WOODSTOCK,IL,$0.00,"$5,099.67"
5060,ALGONQUIN,IL,$0.00,"$5,787.85"
317,VANDALIA,IL,$0.00,"$6,205.37"
422,ROBINSON,IL,$0.00,"$5,100.29"
3255,SAVOY,IL,$0.00,"$10,649.98"
609,HANNIBAL,MO,$0.00,"$9,070.02"
32,BRANSON,MO,$0.00,"$7,051.17"
379,OZARK,MO,$0.00,"$11,874.89"
2175,BRANSON WEST,MO,$0.00,"$8,093.19"
4381,BRANSON,MO,$0.00,"$14,075.39"
89,CAMDENTON,MO,$0.00,"$9,443.16"
46,BOLIVAR,MO,$0.00,"$6,130.71"
86,SPRINGFIELD,MO,$0.00,"$12,903.81"
179,SPRINGFIELD,MO,$0.00,"$13,623.96"
159,COLUMBIA,MO,$0.00,"$9,748.80"
451,COLUMBIA,MO,$0.00,"$11,724.56"
135,CHILLICOTHE,MO,$0.00,"$12,943.93"
801,MARYVILLE,MO,$0.00,"$23,271.20"
2994,SAINT JOSEPH,MO,$0.00,"$10,224.19"
1691,OVERLAND PARK,KS,$0.00,"$6,690.21"
2490,ROELAND PARK,KS,$0.00,"$6,234.24"
1160,AURORA,IN,$0.00,"$11,134.38"
431,PADUCAH,KY,$0.00,"$9,330.27"
491,PADUCAH,KY,$0.00,"$21,063.36"
701,OWENSBORO,KY,$0.00,"$8,508.04"
3363,OWENSBORO,KY,$0.00,"$8,372.81"
1210,NICHOLASVILLE,KY,$0.00,"$5,258.89"
196,CARBONDALE,IL,$0.00,"$9,477.42"
262,BENTON,IL,$0.00,"$6,804.23"
566,BOONVILLE,IN,$0.00,"$15,569.73"
2434,IRON MOUNTAIN,MI,$0.00,"$11,154.59"
1931,RHINELANDER,WI,$0.00,"$9,579.83"
2813,MARSHFIELD,WI,$0.00,"$7,269.75"
1012,BEAVER DAM,WI,$0.00,"$13,948.00"
2238,MUSKEGON,MI,$0.00,"$5,224.68"
5087,NORTH MYRTLE BEACH,SC,$0.00,"$9,148.66"
511,SUMTER,SC,$0.00,"$8,470.49"
1135,HARTSVILLE,SC,$0.00,"$9,360.12"
1270,NORTH AUGUSTA,SC,$0.00,"$10,981.25"
1382,GREENWOOD,SC,$0.00,"$7,758.65"
1164,COLUMBIA,SC,$0.00,"$11,577.83"
1339,COLUMBIA,SC,$0.00,"$5,708.09"
4593,ROCK HILL,SC,$0.00,"$7,977.15"
1663,WAYNESVILLE,NC,$0.00,"$6,894.88"
2440,SYLVA,NC,$0.00,"$14,629.38"
2228,PITTSFIELD,MA,$0.00,"$5,254.67"
3409,LEICESTER,MA,$0.00,"$10,684.63"
1924,PRESQUE ISLE,ME,$0.00,"$5,688.55"
5076,BREWER,ME,$0.00,"$6,056.97"
2046,AUGUSTA,ME,$0.00,"$6,210.31"
2202,WINDHAM,ME,$0.00,"$5,165.47"
2530,RUTLAND,VT,$0.00,"$6,619.17"
1946,MASSENA,NY,$0.00,"$12,700.45"
1994,PLATTSBURGH,NY,$0.00,"$8,489.79"
2116,QUEENSBURY,NY,$0.00,"$8,271.17"
5497,EVANS MILLS,NY,$0.00,"$15,599.59"
1940,EAST GREENBUSH,NY,$0.00,"$7,989.90"
3583,GLENMONT,NY,$0.00,"$7,888.57"
2282,EAST WINDSOR,CT,$0.00,"$9,212.42"
2854,LISBON,CT,$0.00,"$6,843.56"
2719,BRISTOL,CT,$0.00,"$5,712.03"
5294,MILFORD,CT,$0.00,"$19,306.83"
1781,CORTLAND,NY,$0.00,"$6,357.15"
1835,VESTAL,NY,$0.00,"$6,988.92"
2120,NORWICH,NY,$0.00,"$6,312.99"
1945,MANSFIELD,PA,$0.00,"$6,163.14"
2024,TUNKHANNOCK,PA,$0.00,"$5,516.11"
1742,TURNERSVILLE,NJ,$0.00,"$7,522.60"
3774,WILLIAMSTOWN,NJ,$0.00,"$6,410.37"
5476,WOODBURY,NJ,$0.00,"$6,525.58"
1777,READING,PA,$0.00,"$7,225.46"
3563,BETHLEHEM,PA,$0.00,"$7,228.41"
2445,HATFIELD,PA,$0.00,"$5,537.77"
3564,WILLOW GROVE,PA,$0.00,"$5,421.17"
5130,PHILADELPHIA,PA,$0.00,"$7,547.46"
5131,BENSALEM,PA,$0.00,"$5,747.79"
3830,LITTLE EGG HARBOR,NJ,$0.00,"$5,400.56"
5142,NEPTUNE,NJ,$0.00,"$8,901.89"
1887,MONTOURSVILLE,PA,$0.00,"$14,481.21"
2528,MILL HALL,PA,$0.00,"$11,123.73"
1537,GETTYSBURG,PA,$0.00,"$7,619.72"
3633,WAYNESBORO,PA,$0.00,"$8,529.01"
1741,MILFORD,DE,$0.00,"$5,536.44"
5039,CAMDEN,DE,$0.00,"$8,424.33"
2460,SEAFORD,DE,$0.00,"$10,659.44"
2514,POCOMOKE CITY,MD,$0.00,"$6,587.21"
2791,GEORGETOWN,DE,$0.00,"$5,443.32"
4378,ONLEY,VA,$0.00,"$5,854.53"
3422,DEPTFORD,NJ,$0.00,"$6,441.71"
2137,DURHAM,NC,$0.00,"$29,625.52"
5292,RALEIGH,NC,$0.00,"$11,820.67"
1664,WILSON,NC,$0.00,"$5,145.03"
1300,NEW BERN,NC,$0.00,"$8,944.41"
3825,HAVELOCK,NC,$0.00,"$5,770.57"
3864,JACKSONVILLE,NC,$0.00,"$6,963.89"
1290,WILKESBORO,NC,$0.00,"$11,911.46"
1097,ABERDEEN,NC,$0.00,"$6,470.52"
1968,ABERDEEN,MD,$0.00,"$8,748.93"
5450,NORTH EAST,MD,$0.00,"$13,997.16"
2435,DUNDALK,MD,$0.00,"$15,286.88"
1525,MECHANICSVILLE,VA,$0.00,"$10,523.99"
2295,RICHMOND,VA,$0.00,"$8,636.98"
1759,GLOUCESTER,VA,$0.00,"$6,894.99"
3831,PORTSMOUTH,VA,$0.00,"$6,471.82"
5488,NORFOLK,VA,$0.00,"$6,248.52"
5847,POWHATAN,VA,$0.00,"$6,963.19"
1852,WOODBRIDGE,VA,$0.00,"$5,763.61"
2520,FREDERICKSBURG,VA,$0.00,"$11,910.65"
3588,DUMFRIES,VA,$0.00,"$5,250.35"
2762,FAIRLAWN,VA,$0.00,"$21,249.47"
3243,ROANOKE,VA,$0.00,"$20,425.37"
1350,LYNCHBURG,VA,$0.00,"$29,677.64"
1726,HARRISONBURG,VA,$0.00,"$25,578.89"
1717,WALDORF,MD,$0.00,"$5,713.54"
1806,GLOVERSVILLE,NY,$0.00,"$5,124.27"
2444,ONEIDA,NY,$0.00,"$7,391.63"
2859,ROCHESTER,NY,$0.00,"$16,356.96"
1973,LAKEWOOD,NY,$0.00,"$12,467.00"
2159,OLEAN,NY,$0.00,"$22,409.70"
1909,NIAGARA FALLS,NY,$0.00,"$21,589.25"
2107,LOCKPORT,NY,$0.00,"$19,442.36"
4597,NORTH TONAWANDA,NY,$0.00,"$9,545.52"
1656,MEADVILLE,PA,$0.00,"$5,047.44"
2597,CRANBERRY,PA,$0.00,"$6,506.39"
3514,BRADFORD,PA,$0.00,"$7,303.08"
2664,PUNXSUTAWNEY,PA,$0.00,"$5,255.77"
1406,WINCHESTER,VA,$0.00,"$5,939.79"
1825,MANASSAS,VA,$0.00,"$6,833.91"
3573,MANASSAS,VA,$0.00,"$9,108.46"
1457,RIVERTON,WY,$0.00,"$10,603.76"
3778,CASPER,WY,$0.00,"$5,335.68"
2147,MISSOULA,MT,$0.00,"$15,836.98"
2259,KALISPELL,MT,$0.00,"$12,152.97"
2455,GREAT FALLS,MT,$0.00,"$10,186.24"
2607,POLSON,MT,$0.00,"$8,622.13"
3259,MISSOULA,MT,$0.00,"$20,919.53"
7199,GREAT FALLS,MT,$0.00,"$7,708.55"
369,WINFIELD,KS,$0.00,"$7,002.87"
592,DERBY,KS,$0.00,"$18,935.80"
790,MCCOOK,NE,$0.00,"$13,741.02"
978,ARKANSAS CITY,KS,$0.00,"$8,441.15"
35,MANHATTAN,KS,$0.00,"$14,386.22"
43,JUNCTION CITY,KS,$0.00,"$5,470.69"
558,SALINA,KS,$0.00,"$14,795.11"
1671,PAPILLION,NE,$0.00,"$13,409.61"
5141,OMAHA,NE,$0.00,"$15,065.50"
5361,OMAHA,NE,$0.00,"$15,716.47"
2957,DETROIT LAKES,MN,$0.00,"$7,543.10"
1723,DES MOINES,IA,$0.00,"$16,813.18"
892,ANKENY,IA,$0.00,"$9,099.42"
1389,BOONE,IA,$0.00,"$8,226.70"
646,ANAMOSA,IA,$0.00,"$5,638.39"
784,MOUNT PLEASANT,IA,$0.00,"$12,111.52"
1431,KEOKUK,IA,$0.00,"$10,412.40"
2367,PINE CITY,MN,$0.00,"$10,147.13"
3760,NEW ULM,MN,$0.00,"$7,704.48"
1864,BROOKLYN PARK,MN,$0.00,"$5,437.01"
2087,VADNAIS HEIGHTS,MN,$0.00,"$5,376.01"
1633,SARTELL,MN,$0.00,"$5,741.29"
2352,CAMBRIDGE,MN,$0.00,"$11,420.36"
980,GREELEY,CO,$0.00,"$8,122.59"
3177,FORT COLLINS,CO,$0.00,"$6,506.95"
4599,TIMNATH,CO,$0.00,"$13,898.36"
5051,GREELEY,CO,$0.00,"$10,748.63"
1231,THORNTON,CO,$0.00,"$12,839.53"
3227,MONUMENT,CO,$0.00,"$13,589.41"
4335,FALCON,CO,$0.00,"$9,385.88"
1699,LAYTON,UT,$0.00,"$10,361.35"
4208,SALT LAKE CITY,UT,$0.00,"$10,806.19"
1686,TAYLORSVILLE,UT,$0.00,"$11,020.02"
4438,SARATOGA SPRINGS,UT,$0.00,"$16,835.45"
5167,PAYSON,UT,$0.00,"$7,308.85"
2223,WESTMINSTER,CO,$0.00,"$15,274.17"
3533,DENVER,CO,$0.00,"$13,642.83"
5494,IDAHO FALLS,ID,$0.00,"$11,080.80"
3352,STOCKTON,CA,$0.00,"$5,698.81"
3408,CARSON CITY,NV,$0.00,"$5,055.11"
2052,UKIAH,CA,$0.00,"$8,367.34"
1834,GRANTS PASS,OR,$0.00,"$10,657.19"
5424,EAGLE POINT,OR,$0.00,"$14,513.04"
2031,UNION CITY,CA,$0.00,"$9,840.38"
1560,LAS VEGAS,NV,$0.00,"$5,408.25"
2507,SANTA MARIA,CA,$0.00,"$6,101.11"
5072,TORRANCE,CA,$0.00,"$5,463.66"
2536,TULARE,CA,$0.00,"$7,801.17"
1588,VICTORVILLE,CA,$0.00,"$12,123.00"
2333,APPLE VALLEY,CA,$0.00,"$6,993.02"
4340,HESPERIA,CA,$0.00,"$11,267.18"
2150,SAN DIEGO,CA,$0.00,"$23,535.71"
2291,CHULA VISTA,CA,$0.00,"$9,990.79"
1917,SANTEE,CA,$0.00,"$10,326.47"
2177,SAN DIEGO,CA,$0.00,"$14,847.80"
2245,OCEANSIDE,CA,$0.00,"$10,343.98"
1859,CALEXICO,CA,$0.00,"$7,189.56"
2469,LONGVIEW,WA,$0.00,"$10,354.92"
2319,OAK HARBOR,WA,$0.00,"$11,807.94"
3260,EPHRATA,WA,$0.00,"$12,440.92"
2101,KENNEWICK,WA,$0.00,"$13,669.51"
2476,COLLEGE PLACE,WA,$0.00,"$5,596.26"
3261,RICHLAND,WA,$0.00,"$11,961.50"
1843,MCMINNVILLE,OR,$0.00,"$10,319.42"
2315,DALLAS,OR,$0.00,"$5,745.91"
2385,AUBURN,WA,$0.00,"$5,291.57"
3794,FEDERAL WAY,WA,$0.00,"$5,683.75"
