Club #,Workgroup,Role,FY23 FT HC Pln,FY23 PT HC Pln,FY23 Total HC Pln,YoY FT HC Change,YoY PT HC Change,YoY Total HC Change
4870,Merchandising Team,Forklift Driver,4,0,4,0,0,0
4870,Merchandising Team,Merchandising,10,9,19,0,2,2
4870,Merchandising Team,Merchandising Lead,4,0,4,0,0,0
4870,Personal Shopper,Personal Shopper,6,4,10,-1,2,1
4870,Personal Shopper,Personal Shopper Lead,1,0,1,0,0,0
4870,Specialty,Fuel/Car Wash,2,1,3,0,0,0
4870,Specialty,Maintenance,3,1,4,0,0,0
4870,Specialty,Optical,1,1,2,0,0,0
4870,Specialty,Pharmacy Tech,2,1,3,0,0,0
4870,Specialty,TBC Lead,1,0,1,0,0,0
4870,Specialty,TBC Tire Tech,4,2,6,0,0,0
4920,Fresh,Baker/Packager,2,2,4,0,1,1
4920,Fresh,Bakery Lead,1,0,1,0,0,0
4920,Fresh,Café,2,4,6,0,1,1
4920,Fresh,Cake Decorator,3,0,3,0,0,0
4920,Fresh,Freezer/Cooler/Deli,3,1,4,0,0,0
4920,Fresh,HMS/Rotisserie,2,2,4,0,0,0
4920,Fresh,Meat Cutter/Wrapper,1,1,2,0,0,0
4920,Fresh,Meat Lead,1,0,1,0,0,0
4920,Fresh,Prepared Food Lead,1,0,1,0,0,0
4920,Fresh,Produce,2,3,5,0,1,1
4920,Fresh,Produce Lead,1,0,1,0,0,0
4920,Fresh,Senior Meat Cutter,3,1,4,0,0,0
4920,Member Team,Member Assist,3,4,7,0,0,0
4920,Member Team,Member Frontline,6,15,21,0,0,0
4920,Member Team,Member Specialist,6,3,9,0,1,1
4920,Member Team,Member Support,0,0,0,0,0,0
4920,Member Team,Member Team Lead,4,0,4,0,0,0
4920,Merchandising Team,Backroom Associate,4,0,4,0,0,0
4920,Merchandising Team,Forklift Driver,4,0,4,1,0,1
4920,Merchandising Team,Merchandising,8,8,16,0,0,0
4920,Merchandising Team,Merchandising Lead,4,0,4,0,0,0
4920,Personal Shopper,Personal Shopper,4,2,6,0,2,2
4920,Personal Shopper,Personal Shopper Lead,1,0,1,0,0,0
4920,Specialty,Fuel/Car Wash,2,1,3,0,0,0
4920,Specialty,Maintenance,2,2,4,0,0,0
4920,Specialty,Optical,1,1,2,0,0,0
4920,Specialty,Pharmacy Tech,3,1,4,0,0,0
4920,Specialty,TBC Lead,1,0,1,0,0,0
4920,Specialty,TBC Tire Tech,4,2,6,0,0,0
6247,Fresh,Baker/Packager,2,1,3,0,0,0
6247,Fresh,Bakery Lead,1,0,1,0,0,0
6247,Fresh,Café,2,3,5,0,-1,-1
6247,Fresh,Cake Decorator,3,1,4,0,0,0
6247,Fresh,Freezer/Cooler/Deli,4,2,6,1,0,1
6247,Fresh,HMS/Rotisserie,3,2,5,0,0,0
6247,Fresh,Meat Cutter/Wrapper,1,2,3,0,0,0
6247,Fresh,Meat Lead,1,0,1,0,0,0
6247,Fresh,Prepared Food Lead,1,0,1,0,0,0
6247,Fresh,Produce,3,3,6,0,0,0
6247,Fresh,Produce Lead,1,0,1,0,0,0
6247,Fresh,Senior Meat Cutter,3,1,4,0,0,0
6247,Member Team,Member Assist,3,4,7,0,1,1
6247,Member Team,Member Frontline,6,16,22,0,0,0
6247,Member Team,Member Specialist,7,4,11,0,1,1
6247,Member Team,Member Support,0,0,0,0,0,0
6247,Member Team,Member Team Lead,5,0,5,0,0,0
6247,Merchandising Team,Backroom Associate,4,0,4,0,0,0
6247,Merchandising Team,Forklift Driver,4,0,4,0,0,0
6247,Merchandising Team,Merchandising,9,9,18,0,1,1
6247,Merchandising Team,Merchandising Lead,4,0,4,0,0,0
6247,Personal Shopper,Personal Shopper,8,4,12,-1,2,1
6247,Personal Shopper,Personal Shopper Lead,1,0,1,0,0,0
6247,Specialty,Fuel/Car Wash,2,1,3,0,0,0
6247,Specialty,Maintenance,3,1,4,0,0,0
6247,Specialty,Optical,1,1,2,0,0,0
6247,Specialty,Pharmacy Tech,2,1,3,0,0,0
6247,Specialty,TBC Lead,1,0,1,0,0,0
6247,Specialty,TBC Tire Tech,4,2,6,0,0,0
6275,Fresh,Baker/Packager,2,1,3,0,0,0
6275,Fresh,Bakery Lead,1,0,1,0,0,0
6275,Fresh,Café,2,5,7,0,2,2
6275,Fresh,Cake Decorator,2,1,3,0,0,0
6275,Fresh,Freezer/Cooler/Deli,3,1,4,0,0,0
6275,Fresh,HMS/Rotisserie,2,2,4,0,0,0
6275,Fresh,Meat Cutter/Wrapper,1,2,3,0,0,0
6275,Fresh,Meat Lead,1,0,1,0,0,0
6275,Fresh,Prepared Food Lead,1,0,1,0,0,0
6275,Fresh,Produce,2,3,5,0,1,1
6275,Fresh,Produce Lead,1,0,1,0,0,0
6275,Fresh,Senior Meat Cutter,3,1,4,0,0,0
6275,Member Team,Member Assist,2,4,6,0,0,0
6275,Member Team,Member Frontline,4,15,19,0,0,0
6275,Member Team,Member Specialist,6,2,8,0,1,1
6275,Member Team,Member Support,0,0,0,0,0,0
6275,Member Team,Member Team Lead,4,0,4,0,0,0
6275,Merchandising Team,Backroom Associate,4,0,4,0,0,0
6275,Merchandising Team,Forklift Driver,3,0,3,0,0,0
6275,Merchandising Team,Merchandising,7,8,15,0,1,1
6275,Merchandising Team,Merchandising Lead,4,0,4,0,0,0
6275,Personal Shopper,Personal Shopper,6,2,8,0,0,0
6275,Personal Shopper,Personal Shopper Lead,1,0,1,0,0,0
6275,Specialty,Fuel/Car Wash,2,1,3,0,0,0
6275,Specialty,Maintenance,2,2,4,0,0,0
6275,Specialty,Optical,1,1,2,0,0,0
6275,Specialty,Pharmacy Tech,1,2,3,0,0,0
6275,Specialty,TBC Lead,1,0,1,0,0,0
6275,Specialty,TBC Tire Tech,4,2,6,0,0,0
6418,Fresh,Baker/Packager,2,1,3,0,0,0
6418,Fresh,Bakery Lead,1,0,1,0,0,0
6418,Fresh,Café,3,4,7,1,0,1
6418,Fresh,Cake Decorator,3,1,4,0,0,0
6418,Fresh,Freezer/Cooler/Deli,3,2,5,0,0,0
6418,Fresh,HMS/Rotisserie,3,2,5,0,0,0
6418,Fresh,Meat Cutter/Wrapper,1,2,3,0,0,0
6418,Fresh,Meat Lead,1,0,1,0,0,0
6418,Fresh,Prepared Food Lead,1,0,1,0,0,0
6418,Fresh,Produce,2,4,6,0,1,1
6418,Fresh,Produce Lead,1,0,1,0,0,0
6418,Fresh,Senior Meat Cutter,3,1,4,0,0,0
6418,Member Team,Member Assist,3,5,8,0,0,0
6418,Member Team,Member Frontline,6,16,22,0,0,0
6418,Member Team,Member Specialist,6,3,9,0,0,0
6418,Member Team,Member Support,0,0,0,0,0,0
6418,Member Team,Member Team Lead,5,0,5,0,0,0
6418,Merchandising Team,Backroom Associate,4,0,4,0,0,0
6418,Merchandising Team,Forklift Driver,4,0,4,0,0,0
6418,Merchandising Team,Merchandising,9,9,18,0,0,0
6418,Merchandising Team,Merchandising Lead,4,0,4,0,0,0
6418,Personal Shopper,Personal Shopper,8,4,12,-1,2,1
6418,Personal Shopper,Personal Shopper Lead,1,0,1,0,0,0
6418,Specialty,Fuel/Car Wash,2,1,3,0,0,0
6418,Specialty,Maintenance,3,1,4,0,0,0
6418,Specialty,Optical,1,1,2,0,0,0
6418,Specialty,Pharmacy Tech,1,2,3,0,0,0
6418,Specialty,TBC Lead,1,0,1,0,0,0
6418,Specialty,TBC Tire Tech,5,4,9,0,0,0
6426,Fresh,Baker/Packager,1,1,2,0,0,0
6426,Fresh,Bakery Lead,1,0,1,0,0,0
6426,Fresh,Café,2,3,5,0,1,1
6426,Fresh,Cake Decorator,1,1,2,0,0,0
6426,Fresh,Freezer/Cooler/Deli,3,1,4,0,0,0
6426,Fresh,HMS/Rotisserie,2,2,4,0,0,0
6426,Fresh,Meat Cutter/Wrapper,1,1,2,0,0,0
6426,Fresh,Meat Lead,1,0,1,0,0,0
6426,Fresh,Prepared Food Lead,1,0,1,0,0,0
6426,Fresh,Produce,2,2,4,0,0,0
6426,Fresh,Produce Lead,1,0,1,0,0,0
6426,Fresh,Senior Meat Cutter,3,1,4,0,0,0
6426,Member Team,Member Assist,2,4,6,0,1,1
6426,Member Team,Member Frontline,4,14,18,0,0,0
6426,Member Team,Member Specialist,6,2,8,0,0,0
6426,Member Team,Member Support,0,0,0,0,0,0
6426,Member Team,Member Team Lead,4,0,4,0,0,0
6426,Merchandising Team,Backroom Associate,4,0,4,0,0,0
6426,Merchandising Team,Forklift Driver,3,0,3,0,0,0
6426,Merchandising Team,Merchandising,8,7,15,0,0,0
6426,Merchandising Team,Merchandising Lead,4,0,4,0,0,0
6426,Personal Shopper,Personal Shopper,3,2,5,0,1,1
6426,Personal Shopper,Personal Shopper Lead,1,0,1,0,0,0
6426,Specialty,Fuel/Car Wash,2,1,3,0,0,0
6426,Specialty,Maintenance,2,2,4,0,0,0
6426,Specialty,Pharmacy Tech,2,2,4,0,0,0
6426,Specialty,TBC Lead,1,0,1,0,0,0
6426,Specialty,TBC Tire Tech,4,2,6,0,0,0
6505,Fresh,Baker/Packager,2,1,3,0,0,0
6505,Fresh,Bakery Lead,1,0,1,0,0,0
6505,Fresh,Café,3,4,7,1,1,2
6505,Fresh,Cake Decorator,3,0,3,0,0,0
6505,Fresh,Freezer/Cooler/Deli,3,1,4,0,0,0
6505,Fresh,HMS/Rotisserie,2,2,4,0,0,0
6505,Fresh,Meat Cutter/Wrapper,1,1,2,0,0,0
6505,Fresh,Meat Lead,1,0,1,0,0,0
6505,Fresh,Prepared Food Lead,1,0,1,0,0,0
6505,Fresh,Produce,2,3,5,0,1,1
6505,Fresh,Produce Lead,1,0,1,0,0,0
6505,Fresh,Senior Meat Cutter,3,1,4,0,0,0
6505,Member Team,Member Assist,2,5,7,0,1,1
6505,Member Team,Member Frontline,6,14,20,0,0,0
6505,Member Team,Member Specialist,5,4,9,0,0,0
6505,Member Team,Member Support,0,0,0,0,0,0
6505,Member Team,Member Team Lead,4,0,4,0,0,0
6505,Merchandising Team,Backroom Associate,4,0,4,0,0,0
6505,Merchandising Team,Forklift Driver,4,0,4,0,0,0
6505,Merchandising Team,Merchandising,9,9,18,0,2,2
6505,Merchandising Team,Merchandising Lead,4,0,4,0,0,0
6505,Personal Shopper,Personal Shopper,5,3,8,-1,3,2
6505,Personal Shopper,Personal Shopper Lead,1,0,1,0,0,0
6505,Specialty,Fuel/Car Wash,2,1,3,0,0,0
6505,Specialty,Liquor,3,2,5,0,2,2
6505,Specialty,Maintenance,2,2,4,0,0,0
6505,Specialty,Optical,1,1,2,0,0,0
6505,Specialty,Pharmacy Tech,2,0,2,0,0,0
6505,Specialty,TBC Lead,1,0,1,0,0,0
6505,Specialty,TBC Tire Tech,3,3,6,0,0,0
8163,Fresh,Baker/Packager,2,3,5,0,2,2
8163,Fresh,Bakery Lead,1,0,1,0,0,0
8163,Fresh,Café,3,3,6,0,-1,-1
8163,Fresh,Cake Decorator,3,0,3,0,0,0
8163,Fresh,Freezer/Cooler/Deli,4,2,6,1,0,1
8163,Fresh,HMS/Rotisserie,2,3,5,0,0,0
8163,Fresh,Meat Cutter/Wrapper,1,2,3,0,0,0
8163,Fresh,Meat Lead,1,0,1,0,0,0
8163,Fresh,Prepared Food Lead,1,0,1,0,0,0
8163,Fresh,Produce,3,2,5,0,0,0
8163,Fresh,Produce Lead,1,0,1,0,0,0
8163,Fresh,Senior Meat Cutter,4,1,5,0,0,0
8163,Member Team,Member Assist,3,6,9,0,0,0
8163,Member Team,Member Frontline,7,21,28,0,0,0
8163,Member Team,Member Specialist,7,4,11,0,0,0
8163,Member Team,Member Support,0,0,0,0,0,0
8163,Member Team,Member Team Lead,5,0,5,0,0,0
8163,Merchandising Team,Backroom Associate,4,0,4,0,0,0
8163,Merchandising Team,Forklift Driver,5,0,5,0,0,0
8163,Merchandising Team,Merchandising,11,11,22,1,0,1
8163,Merchandising Team,Merchandising Lead,4,0,4,0,0,0
8163,Personal Shopper,Personal Shopper,8,4,12,-1,2,1
8163,Personal Shopper,Personal Shopper Lead,1,0,1,0,0,0
8163,Specialty,Maintenance,3,2,5,0,0,0
8163,Specialty,Optical,2,1,3,0,0,0
8163,Specialty,Pharmacy Tech,2,0,2,0,0,0
8163,Specialty,TBC Lead,1,0,1,0,0,0
8163,Specialty,TBC Tire Tech,5,2,7,0,0,0
8176,Fresh,Baker/Packager,2,3,5,0,2,2
8176,Fresh,Bakery Lead,1,0,1,0,0,0
8176,Fresh,Café,4,4,8,0,1,1
8176,Fresh,Cake Decorator,2,1,3,0,0,0
8176,Fresh,Freezer/Cooler/Deli,4,2,6,1,0,1
8176,Fresh,HMS/Rotisserie,2,3,5,0,0,0
8176,Fresh,Meat Cutter/Wrapper,2,1,3,0,0,0
8176,Fresh,Meat Lead,1,0,1,0,0,0
8176,Fresh,Prepared Food Lead,1,0,1,0,0,0
8176,Fresh,Produce,2,4,6,0,0,0
8176,Fresh,Produce Lead,1,0,1,0,0,0
8176,Fresh,Senior Meat Cutter,3,1,4,0,0,0
8176,Member Team,Member Assist,3,5,8,0,0,0
8176,Member Team,Member Frontline,6,16,22,0,0,0
8176,Member Team,Member Specialist,8,3,11,0,0,0
8176,Member Team,Member Support,0,0,0,0,0,0
8176,Member Team,Member Team Lead,5,0,5,0,0,0
8176,Merchandising Team,Backroom Associate,4,0,4,0,0,0
8176,Merchandising Team,Forklift Driver,5,0,5,0,0,0
8176,Merchandising Team,Merchandising,10,10,20,0,1,1
8176,Merchandising Team,Merchandising Lead,4,0,4,0,0,0
8176,Personal Shopper,Personal Shopper,8,4,12,-1,2,1
8176,Personal Shopper,Personal Shopper Lead,1,0,1,0,0,0
8176,Specialty,Fuel/Car Wash,2,1,3,0,0,0
8176,Specialty,Maintenance,3,2,5,0,0,0
8176,Specialty,Optical,1,1,2,0,0,0
8176,Specialty,Pharmacy Tech,4,1,5,0,0,0
8176,Specialty,TBC Lead,1,0,1,0,0,0
8176,Specialty,TBC Tire Tech,4,3,7,0,0,0
8207,Fresh,Baker/Packager,2,3,5,0,0,0
8207,Fresh,Bakery Lead,1,0,1,0,0,0
8207,Fresh,Café,3,5,8,0,1,1
8207,Fresh,Cake Decorator,3,0,3,0,-1,-1
8207,Fresh,Freezer/Cooler/Deli,3,2,5,0,0,0
8207,Fresh,HMS/Rotisserie,3,4,7,0,0,0
8207,Fresh,Meat Cutter/Wrapper,1,2,3,0,0,0
8207,Fresh,Meat Lead,1,0,1,0,0,0
8207,Fresh,Prepared Food Lead,1,0,1,0,0,0
8207,Fresh,Produce,3,3,6,0,0,0
8207,Fresh,Produce Lead,1,0,1,0,0,0
8207,Fresh,Senior Meat Cutter,4,1,5,0,0,0
8207,Member Team,Member Assist,3,5,8,0,1,1
8207,Member Team,Member Frontline,6,17,23,0,0,0
8207,Member Team,Member Specialist,8,3,11,0,0,0
8207,Member Team,Member Support,0,0,0,0,0,0
8207,Member Team,Member Team Lead,5,0,5,0,0,0
8207,Merchandising Team,Backroom Associate,4,0,4,0,0,0
8207,Merchandising Team,Forklift Driver,5,0,5,0,0,0
8207,Merchandising Team,Merchandising,10,9,19,0,0,0
8207,Merchandising Team,Merchandising Lead,4,0,4,0,0,0
8207,Personal Shopper,Personal Shopper,12,6,18,1,5,6
8207,Personal Shopper,Personal Shopper Lead,1,0,1,0,0,0
8207,Specialty,Fuel/Car Wash,2,3,5,0,0,0
8207,Specialty,Maintenance,3,2,5,0,0,0
8207,Specialty,Optical,2,1,3,0,0,0
8207,Specialty,Pharmacy Tech,4,1,5,0,0,0
8207,Specialty,TBC Lead,1,0,1,0,0,0
8207,Specialty,TBC Tire Tech,4,3,7,0,0,0
8208,Fresh,Baker/Packager,3,3,6,0,2,2
8208,Fresh,Bakery Lead,1,0,1,0,0,0
8208,Fresh,Café,3,5,8,0,1,1
8208,Fresh,Cake Decorator,3,0,3,0,0,0
8208,Fresh,Freezer/Cooler/Deli,4,3,7,1,1,2
8208,Fresh,HMS/Rotisserie,3,3,6,0,0,0
8208,Fresh,Meat Cutter/Wrapper,1,2,3,0,0,0
8208,Fresh,Meat Lead,1,0,1,0,0,0
8208,Fresh,Prepared Food Lead,1,0,1,0,0,0
8208,Fresh,Produce,4,5,9,0,0,0
8208,Fresh,Produce Lead,1,0,1,0,0,0
8208,Fresh,Senior Meat Cutter,3,1,4,0,0,0
8208,Member Team,Member Assist,4,4,8,0,0,0
8208,Member Team,Member Frontline,5,18,23,0,1,1
8208,Member Team,Member Specialist,8,4,12,0,2,2
8208,Member Team,Member Support,0,0,0,0,0,0
8208,Member Team,Member Team Lead,5,0,5,0,0,0
8208,Merchandising Team,Backroom Associate,4,0,4,0,0,0
8208,Merchandising Team,Forklift Driver,5,0,5,0,0,0
8208,Merchandising Team,Merchandising,11,10,21,0,0,0
8208,Merchandising Team,Merchandising Lead,4,0,4,0,0,0
8208,Personal Shopper,Personal Shopper,8,3,11,-1,2,1
8208,Personal Shopper,Personal Shopper Lead,1,0,1,0,0,0
8208,Specialty,Fuel/Car Wash,2,3,5,0,0,0
8208,Specialty,Maintenance,3,2,5,0,0,0
8208,Specialty,Optical,2,2,4,0,0,0
8208,Specialty,Pharmacy Tech,3,3,6,0,0,0
8208,Specialty,TBC Lead,1,0,1,0,0,0
8208,Specialty,TBC Tire Tech,4,3,7,0,0,0
8243,Fresh,Baker/Packager,2,2,4,0,1,1
8243,Fresh,Bakery Lead,1,0,1,0,0,0
8243,Fresh,Café,3,3,6,1,0,1
8243,Fresh,Cake Decorator,2,2,4,0,0,0
8243,Fresh,Freezer/Cooler/Deli,3,2,5,0,0,0
8243,Fresh,HMS/Rotisserie,3,2,5,0,0,0
8243,Fresh,Meat Cutter/Wrapper,1,2,3,0,0,0
8243,Fresh,Meat Lead,1,0,1,0,0,0
8243,Fresh,Prepared Food Lead,1,0,1,0,0,0
8243,Fresh,Produce,2,4,6,0,1,1
8243,Fresh,Produce Lead,1,0,1,0,0,0
8243,Fresh,Senior Meat Cutter,3,1,4,0,0,0
8243,Member Team,Member Assist,3,3,6,0,0,0
8243,Member Team,Member Frontline,6,16,22,0,0,0
8243,Member Team,Member Specialist,6,3,9,0,0,0
8243,Member Team,Member Support,0,0,0,0,0,0
8243,Member Team,Member Team Lead,4,0,4,0,0,0
8243,Merchandising Team,Backroom Associate,4,0,4,0,0,0
8243,Merchandising Team,Forklift Driver,4,0,4,0,0,0
8243,Merchandising Team,Merchandising,9,9,18,0,1,1
8243,Merchandising Team,Merchandising Lead,4,0,4,0,0,0
8243,Personal Shopper,Personal Shopper,5,4,9,-1,4,3
8243,Personal Shopper,Personal Shopper Lead,1,0,1,0,0,0
8243,Specialty,Fuel/Car Wash,2,1,3,0,0,0
8243,Specialty,Maintenance,2,2,4,0,0,0
8243,Specialty,Optical,1,1,2,0,0,0
8243,Specialty,Pharmacy Tech,3,1,4,0,0,0
8243,Specialty,TBC Lead,1,0,1,0,0,0
8243,Specialty,TBC Tire Tech,4,2,6,0,0,0
8254,Fresh,Baker/Packager,2,1,3,0,0,0
8254,Fresh,Bakery Lead,1,0,1,0,0,0
8254,Fresh,Café,3,4,7,1,1,2
8254,Fresh,Cake Decorator,3,1,4,0,0,0
8254,Fresh,Freezer/Cooler/Deli,3,2,5,0,0,0
8254,Fresh,HMS/Rotisserie,2,3,5,0,0,0
8254,Fresh,Meat Cutter/Wrapper,1,2,3,0,0,0
8254,Fresh,Meat Lead,1,0,1,0,0,0
8254,Fresh,Prepared Food Lead,1,0,1,0,0,0
8254,Fresh,Produce,2,3,5,0,0,0
8254,Fresh,Produce Lead,1,0,1,0,0,0
8254,Fresh,Senior Meat Cutter,3,1,4,0,0,0
8254,Member Team,Member Assist,3,4,7,0,1,1
8254,Member Team,Member Frontline,6,17,23,0,0,0
8254,Member Team,Member Specialist,6,3,9,0,0,0
8254,Member Team,Member Support,0,0,0,0,0,0
8254,Member Team,Member Team Lead,5,0,5,0,0,0
8254,Merchandising Team,Backroom Associate,4,0,4,0,0,0
8254,Merchandising Team,Forklift Driver,4,0,4,0,0,0
8254,Merchandising Team,Merchandising,8,9,17,0,0,0
8254,Merchandising Team,Merchandising Lead,4,0,4,0,0,0
8254,Personal Shopper,Personal Shopper,7,3,10,-1,2,1
8254,Personal Shopper,Personal Shopper Lead,1,0,1,0,0,0
8254,Specialty,Fuel/Car Wash,2,1,3,0,0,0
8254,Specialty,Maintenance,3,0,3,0,0,0
8254,Specialty,Optical,1,1,2,0,0,0
8254,Specialty,Pharmacy Tech,1,1,2,0,0,0
8254,Specialty,TBC Lead,1,0,1,0,0,0
8254,Specialty,TBC Tire Tech,4,3,7,0,0,0
8293,Fresh,Baker/Packager,3,3,6,0,2,2
8293,Fresh,Bakery Lead,1,0,1,0,0,0
8293,Fresh,Café,3,3,6,0,1,1
8293,Fresh,Cake Decorator,3,1,4,0,0,0
8293,Fresh,Freezer/Cooler/Deli,4,3,7,1,1,2
8293,Fresh,HMS/Rotisserie,3,3,6,0,0,0
8293,Fresh,Meat Cutter/Wrapper,4,1,5,0,0,0
8293,Fresh,Meat Lead,1,0,1,0,0,0
8293,Fresh,Prepared Food Lead,1,0,1,0,0,0
8293,Fresh,Produce,3,5,8,0,1,1
8293,Fresh,Produce Lead,1,0,1,0,0,0
8293,Fresh,Senior Meat Cutter,4,1,5,0,0,0
8293,Member Team,Member Assist,4,4,8,0,0,0
8293,Member Team,Member Frontline,6,17,23,0,0,0
8293,Member Team,Member Specialist,7,5,12,0,0,0
8293,Member Team,Member Support,0,0,0,0,0,0
8293,Member Team,Member Team Lead,5,0,5,0,0,0
8293,Merchandising Team,Backroom Associate,4,0,4,0,0,0
8293,Merchandising Team,Forklift Driver,5,0,5,0,0,0
8293,Merchandising Team,Merchandising,11,11,22,1,1,2
8293,Merchandising Team,Merchandising Lead,4,0,4,0,0,0
8293,Personal Shopper,Personal Shopper,7,3,10,0,1,1
8293,Personal Shopper,Personal Shopper Lead,1,0,1,0,0,0
8293,Specialty,Fuel/Car Wash,2,1,3,0,0,0
8293,Specialty,Maintenance,3,2,5,0,0,0
8293,Specialty,Optical,1,1,2,0,0,0
8293,Specialty,Pharmacy Tech,3,1,4,0,0,0
8293,Specialty,TBC Lead,1,0,1,0,0,0
8293,Specialty,TBC Tire Tech,5,2,7,0,0,0
4731,Fresh,Baker/Packager,2,2,4,0,1,1
4731,Fresh,Bakery Lead,1,0,1,0,0,0
4731,Fresh,Café,3,5,8,0,1,1
4731,Fresh,Cake Decorator,2,1,3,0,0,0
4731,Fresh,Freezer/Cooler/Deli,3,1,4,0,0,0
4731,Fresh,HMS/Rotisserie,2,3,5,0,0,0
4731,Fresh,Meat Cutter/Wrapper,1,1,2,0,0,0
4731,Fresh,Meat Lead,1,0,1,0,0,0
4731,Fresh,Prepared Food Lead,1,0,1,0,0,0
4731,Fresh,Produce,2,4,6,0,1,1
4731,Fresh,Produce Lead,1,0,1,0,0,0
4731,Fresh,Senior Meat Cutter,3,1,4,0,0,0
4731,Member Team,Member Assist,2,5,7,0,1,1
4731,Member Team,Member Frontline,5,15,20,0,0,0
4731,Member Team,Member Specialist,6,2,8,0,0,0
4731,Member Team,Member Support,0,0,0,0,0,0
4731,Member Team,Member Team Lead,4,0,4,0,0,0
4731,Merchandising Team,Backroom Associate,4,0,4,0,0,0
4731,Merchandising Team,Forklift Driver,4,0,4,0,0,0
4731,Merchandising Team,Merchandising,9,9,18,0,0,0
