Region,Market,Store Number,Percentage,
3,112,5964,96.60%,
3,114,547,99.57%,
3,114,779,61.58%,
3,114,941,60.83%,
3,114,1203,36.92%,
3,114,1245,78.13%,
3,114,2387,62.47%,
3,114,3463,86.98%,
3,114,5300,100.58%,
3,Region Total,,70.16%,
4,29,605,113.06%,
4,29,606,122.11%,
4,29,635,86.59%,
4,29,728,46.75%,
4,29,1011,125.00%,
4,29,2832,91.87%,
4,29,2860,125.00%,
4,29,4556,47.74%,
4,29,6395,104.86%,
4,33,628,101.16%,
4,33,795,37.95%,
4,33,1037,125.00%,
4,33,1358,71.98%,
4,33,1383,125.00%,
4,33,1748,81.84%,
4,33,2348,125.00%,
4,33,7181,106.76%,
4,35,631,114.69%,
4,35,640,117.97%,
4,35,641,98.87%,
4,35,1123,125.00%,
4,35,1244,101.80%,
4,35,2265,125.00%,
4,35,2687,118.81%,
4,35,3191,88.86%,
4,35,3192,77.49%,
4,35,3222,47.96%,
4,35,4583,77.73%,
4,35,5487,72.94%,
4,36,625,75.19%,
4,36,632,125.00%,
4,36,1017,88.43%,
4,36,1146,104.94%,
4,36,1359,125.00%,
4,36,2928,125.00%,
4,36,3367,125.00%,
4,36,4384,125.00%,
4,37,574,47.14%,
4,37,586,83.47%,
4,37,643,37.91%,
4,37,1767,51.92%,
4,37,2712,39.90%,
4,37,4664,69.85%,
4,37,5087,49.36%,
4,37,5705,75.34%,
4,38,511,67.89%,
4,38,621,50.82%,
4,38,627,100.16%,
4,38,630,33.84%,
4,38,634,125.00%,
4,38,642,67.26%,
4,38,1135,83.15%,
4,38,1829,58.37%,
4,38,2703,58.21%,
4,38,4457,36.09%,
4,38,7188,48.22%,
4,39,396,125.00%,
4,39,514,41.92%,
4,39,624,42.70%,
4,39,629,78.23%,
4,39,644,70.79%,
4,39,1130,46.55%,
4,39,1270,123.12%,
4,39,1382,98.76%,
4,39,1603,101.83%,
4,39,4487,98.66%,
4,39,6576,92.48%,
4,39,6887,62.62%,
4,41,616,114.40%,
4,41,881,80.18%,
4,41,1164,125.00%,
4,41,1183,94.33%,
4,41,1286,118.49%,
4,41,1339,105.92%,
4,41,2214,84.94%,
4,41,4420,114.06%,
4,41,4440,87.71%,
4,41,4506,82.44%,
4,41,4521,65.84%,
4,42,585,59.05%,
4,42,638,110.93%,
4,42,1030,54.22%,
4,42,1035,95.78%,
4,42,1144,48.31%,
4,42,1281,62.47%,
4,42,2806,101.16%,
4,42,3733,119.10%,
4,42,4237,125.00%,
4,42,4593,79.04%,
4,294,1036,42.41%,
4,294,1179,119.04%,
4,294,1217,53.21%,
4,294,1242,42.01%,
4,294,1317,85.78%,
4,294,1663,58.77%,
4,294,1795,39.08%,
4,294,2440,81.84%,
4,294,4334,124.33%,
4,294,4428,88.40%,
4,300,1166,74.98%,
4,300,1268,50.35%,
4,300,1348,125.00%,
4,300,1352,93.40%,
4,300,1392,125.00%,
4,300,2580,63.31%,
4,300,2772,73.03%,
4,300,4065,118.65%,
4,300,4273,83.07%,
4,300,7243,84.70%,
4,310,1155,66.44%,
4,310,1238,91.34%,
4,310,1261,71.69%,
4,310,1312,48.15%,
4,310,1774,60.42%,
4,310,2929,60.38%,
4,310,3595,94.53%,
4,310,5489,42.67%,
4,310,5787,84.97%,
4,310,6879,65.67%,
4,310,6958,73.59%,
4,Region Total,,84.83%,
5,44,1455,88.77%,
5,44,1801,82.37%,
5,44,2978,68.25%,
5,44,3284,125.00%,
5,44,3285,50.63%,
5,44,3631,112.81%,
5,44,4279,78.04%,
5,44,4503,75.95%,
5,44,5147,125.00%,
5,45,251,87.41%,
5,45,265,51.24%,
5,45,412,95.16%,
5,45,516,103.05%,
5,45,827,47.90%,
5,45,1022,75.92%,
5,45,1044,79.08%,
5,45,2688,62.45%,
5,45,3764,61.48%,
5,45,6467,87.71%,
5,48,220,68.04%,
5,48,228,64.50%,
5,48,353,42.42%,
5,48,371,74.53%,
5,48,590,56.21%,
5,48,804,60.86%,
5,48,963,50.50%,
5,48,3431,90.45%,
5,48,4509,46.86%,
5,48,5359,78.68%,
5,49,284,76.49%,
5,49,471,118.71%,
5,49,896,63.64%,
5,49,3014,100.06%,
5,49,3432,90.19%,
5,49,3433,61.04%,
5,49,5288,90.80%,
5,49,5810,108.88%,
5,50,266,121.92%,
5,50,807,77.09%,
5,50,880,125.00%,
5,50,1178,78.64%,
5,50,2649,111.18%,
5,50,2834,82.68%,
5,50,3044,69.37%,
5,50,3274,78.44%,
5,50,5080,78.06%,
5,50,5416,99.61%,
5,51,202,104.82%,
5,51,1117,95.85%,
5,51,2918,36.71%,
5,51,2973,73.44%,
5,51,3406,105.47%,
5,51,3482,70.98%,
5,51,5210,88.15%,
5,51,5672,69.59%,
5,51,5673,87.60%,
5,52,206,93.74%,
5,52,467,111.88%,
5,52,3286,81.58%,
5,52,4627,96.36%,
5,52,5211,125.00%,
5,52,5311,73.80%,
5,52,5707,125.00%,
5,52,6963,103.35%,
5,53,217,39.82%,
5,53,426,125.00%,
5,53,1216,44.48%,
5,53,2105,57.88%,
5,53,2427,60.78%,
5,53,2996,75.26%,
5,53,4240,62.62%,
5,53,5092,55.01%,
5,53,5889,34.90%,
5,55,260,73.34%,
5,55,286,66.59%,
5,55,565,120.98%,
5,55,1118,100.31%,
5,55,2667,61.47%,
5,55,4164,56.52%,
5,55,4215,99.49%,
5,55,5191,125.00%,
5,56,2086,95.94%,
5,56,2463,42.13%,
5,56,2883,71.42%,
5,56,2926,39.99%,
5,56,3777,113.43%,
5,56,5866,90.76%,
5,56,6300,125.00%,
5,56,7178,89.71%,
5,76,211,58.11%,
5,76,248,88.20%,
5,76,320,31.59%,
5,76,561,52.11%,
5,76,610,68.25%,
5,76,746,98.13%,
5,76,939,53.66%,
5,76,1254,53.69%,
5,76,5389,38.38%,
5,76,6929,43.25%,
5,76,7156,66.48%,
5,479,421,68.34%,
5,479,940,79.36%,
5,479,972,64.11%,
5,479,2980,40.14%,
5,479,3773,70.84%,
5,479,4165,35.43%,
5,479,5247,96.69%,
5,479,5312,56.23%,
5,479,5316,80.42%,
5,479,5764,75.64%,
5,583,259,75.63%,
5,583,789,53.35%,
5,583,1055,39.15%,
5,583,1800,58.47%,
5,583,3224,63.99%,
5,583,3225,23.88%,
5,583,5823,110.67%,
5,583,5987,55.39%,
5,583,8930,84.62%,
5,Region Total,,77.13%,
6,59,297,55.21%,
6,59,744,73.05%,
6,59,849,101.62%,
6,59,1103,87.66%,
6,59,1279,94.89%,
6,59,1837,88.11%,
6,59,4298,90.06%,
6,59,6579,65.67%,
6,60,194,61.59%,
6,60,522,55.18%,
6,60,1137,49.62%,
6,60,1186,50.81%,
6,60,2439,70.41%,
6,60,3298,39.36%,
6,60,3500,33.01%,
6,60,5116,68.74%,
6,61,462,42.44%,
6,61,482,0.00%,
6,61,504,45.63%,
6,61,527,103.31%,
6,61,529,62.87%,
6,61,808,73.23%,
6,61,1405,42.56%,
6,61,5388,84.48%,
6,62,546,82.10%,
6,62,872,64.13%,
6,62,915,73.14%,
6,62,2505,89.73%,
6,62,2993,64.63%,
6,62,3510,62.53%,
6,62,3572,63.27%,
6,62,5449,28.26%,
6,63,752,44.53%,
6,63,1062,61.51%,
6,63,2724,38.39%,
6,63,3425,39.76%,
6,63,4526,82.65%,
6,63,5612,32.24%,
6,63,5959,63.76%,
6,64,772,49.02%,
6,64,2066,100.18%,
6,64,2718,77.95%,
6,64,3296,62.87%,
6,64,3302,61.71%,
6,64,3584,62.23%,
6,64,3827,56.26%,
6,65,344,17.99%,
6,65,768,37.21%,
6,65,1040,50.90%,
6,65,1409,53.50%,
6,65,3226,50.65%,
6,65,3640,68.32%,
6,65,4111,47.29%,
6,65,4512,63.37%,
6,65,5246,79.20%,
6,67,703,57.00%,
6,67,2257,71.98%,
6,67,3297,37.04%,
6,67,4416,26.24%,
6,67,4538,62.61%,
6,67,5045,53.23%,
6,67,5091,90.48%,
6,67,6930,41.04%,
6,78,440,90.78%,
6,78,442,25.28%,
6,78,458,83.56%,
6,78,464,40.92%,
6,78,470,53.81%,
6,78,490,74.65%,
6,78,791,17.19%,
6,78,1494,40.61%,
6,78,5460,100.91%,
6,78,5898,52.39%,
6,80,395,46.84%,
6,80,397,48.06%,
6,80,429,44.84%,
6,80,452,31.17%,
6,80,1958,32.59%,
6,80,3320,37.74%,
6,80,3567,22.15%,
6,80,3886,38.64%,
6,80,4508,26.27%,
6,80,5165,26.94%,
6,80,5809,39.92%,
6,84,330,64.64%,
6,84,385,72.03%,
6,84,437,49.36%,
6,84,463,29.48%,
6,84,503,54.72%,
6,84,524,27.63%,
6,84,1067,57.49%,
6,84,1098,39.21%,
6,84,4194,73.22%,
6,85,293,14.44%,
6,85,321,50.42%,
6,85,322,125.00%,
6,85,446,0.00%,
6,85,473,42.61%,
6,85,567,14.29%,
6,85,846,24.47%,
6,85,951,47.66%,
6,85,1042,102.18%,
6,85,1150,48.44%,
6,85,4183,125.00%,
6,569,413,27.34%,
6,569,456,46.41%,
6,569,595,73.32%,
6,569,1000,53.81%,
6,569,1041,45.49%,
6,569,1296,55.02%,
6,569,2763,44.46%,
6,569,2765,50.96%,
6,569,4112,50.45%,
6,569,5808,60.63%,
6,Region Total,,55.74%,
7,70,600,97.33%,
7,70,755,103.87%,
7,70,793,86.51%,
7,70,812,77.17%,
7,70,822,95.26%,
7,70,900,85.01%,
7,70,1516,49.99%,
7,70,3383,75.12%,
7,70,3384,67.03%,
7,70,5216,72.15%,
7,71,549,125.00%,
7,71,821,104.42%,
7,71,861,63.34%,
7,71,927,88.83%,
7,71,945,109.63%,
7,71,1051,47.22%,
7,71,2653,77.42%,
7,71,3826,35.57%,
7,71,4299,42.02%,
7,71,6898,71.99%,
7,73,513,56.24%,
7,73,537,56.04%,
7,73,608,42.46%,
7,73,626,20.56%,
7,73,897,39.28%,
7,73,898,76.20%,
7,73,2891,42.78%,
7,73,3645,66.10%,
7,74,438,34.38%,
7,74,535,115.23%,
7,74,536,76.55%,
7,74,601,55.36%,
7,74,1078,125.00%,
7,74,1249,57.43%,
7,74,1257,100.22%,
7,74,1272,125.00%,
7,74,3381,119.67%,
7,74,7281,37.16%,
7,77,290,28.39%,
7,77,465,41.50%,
7,77,478,23.58%,
7,77,757,60.18%,
7,77,901,64.42%,
7,77,1313,55.32%,
7,77,3112,55.33%,
7,77,3279,62.46%,
7,77,4103,93.29%,
7,77,5144,45.91%,
7,77,5245,74.68%,
7,81,381,85.48%,
7,81,407,55.89%,
7,81,476,58.90%,
7,81,781,96.81%,
7,81,813,113.05%,
7,81,917,125.00%,
7,81,1073,92.03%,
7,81,1232,68.41%,
7,81,1303,58.22%,
7,81,3319,109.79%,
7,81,6286,57.41%,
7,82,1129,81.76%,
7,82,1253,70.60%,
7,82,2133,125.00%,
7,82,2991,84.12%,
7,82,4130,73.03%,
7,82,4163,65.89%,
7,82,4219,77.95%,
7,82,4554,75.10%,
7,82,5317,125.00%,
7,83,77,59.27%,
7,83,280,60.21%,
7,83,475,121.86%,
7,83,1185,66.03%,
7,83,3169,94.97%,
7,83,3170,81.12%,
7,83,3569,62.47%,
7,83,5479,106.76%,
7,83,5480,81.07%,
7,86,999,20.56%,
7,86,1235,33.68%,
7,86,2239,83.98%,
7,86,2599,56.82%,
7,86,3058,60.79%,
7,86,3106,55.19%,
7,86,3888,72.99%,
7,86,4102,62.25%,
7,86,5145,75.60%,
7,87,292,30.09%,
7,87,404,73.61%,
7,87,765,42.24%,
7,87,865,67.95%,
7,87,1347,83.59%,
7,87,1803,32.18%,
7,87,2404,73.67%,
7,87,2769,71.29%,
7,87,3391,49.42%,
7,87,4055,43.78%,
7,87,4115,50.56%,
7,88,443,90.30%,
7,88,447,36.38%,
7,88,461,45.80%,
7,88,554,13.54%,
7,88,782,39.16%,
7,88,1046,20.23%,
7,88,3518,35.48%,
7,88,3623,62.26%,
7,88,5713,53.16%,
7,505,500,54.68%,
7,505,512,55.55%,
7,505,964,37.49%,
7,505,1015,35.31%,
7,505,2201,45.37%,
7,505,2612,46.75%,
7,505,3136,47.46%,
7,505,3763,82.18%,
7,505,5717,49.19%,
7,505,5947,54.59%,
7,506,508,77.74%,
7,506,1126,71.11%,
7,506,1154,91.30%,
7,506,1198,38.04%,
7,506,2864,93.54%,
7,506,3056,78.92%,
7,506,3057,52.92%,
7,506,3107,94.23%,
7,506,4131,60.17%,
7,506,4162,78.24%,
7,506,5146,44.60%,
7,Region Total,,67.85%,
9,90,817,51.59%,
9,90,908,41.55%,
9,90,1086,54.81%,
9,90,1220,44.94%,
9,90,2881,57.36%,
9,90,4332,46.67%,
9,90,4365,55.44%,
9,90,5214,68.56%,
9,90,5250,43.40%,
9,90,5420,59.54%,
9,91,890,81.24%,
9,91,943,81.01%,
9,91,955,49.26%,
9,91,1084,12.62%,
9,91,1374,61.13%,
9,91,3782,43.64%,
9,91,4588,55.46%,
9,91,5871,62.31%,
9,91,5894,43.77%,
9,92,174,68.52%,
9,92,649,76.31%,
9,92,771,90.39%,
9,92,931,73.99%,
9,92,956,68.51%,
9,92,973,80.44%,
9,92,974,65.84%,
9,92,1068,36.42%,
9,92,1702,97.61%,
9,92,3538,81.52%,
9,92,5455,60.09%,
9,105,819,27.77%,
9,105,987,43.83%,
9,105,1119,16.83%,
9,105,1957,69.45%,
9,105,3417,62.16%,
9,105,4063,69.85%,
9,105,5034,63.84%,
9,105,5055,65.05%,
9,105,5347,94.61%,
9,105,5391,44.69%,
9,107,814,59.04%,
9,107,929,68.68%,
9,107,1087,116.25%,
9,107,1436,68.99%,
9,107,1541,69.76%,
9,107,2176,93.47%,
9,107,3348,81.10%,
9,107,3527,73.84%,
9,107,4260,66.11%,
9,107,4446,86.73%,
9,107,5301,48.42%,
9,108,1387,36.73%,
9,108,1398,32.72%,
9,108,1517,39.16%,
9,108,1589,52.64%,
9,108,1916,60.45%,
9,108,2789,25.11%,
9,108,2962,56.99%,
9,108,2963,84.33%,
9,108,3858,40.79%,
9,108,5882,68.25%,
9,108,5911,125.00%,
9,109,1349,51.51%,
9,109,1845,39.05%,
9,109,1851,29.57%,
9,109,2151,88.26%,
9,109,2591,99.25%,
9,109,2946,24.58%,
9,109,2987,64.56%,
9,109,3625,33.18%,
9,109,5325,86.32%,
9,109,5932,35.12%,
9,110,1680,24.78%,
9,110,2091,48.23%,
9,110,2727,51.48%,
9,110,2814,64.78%,
9,110,4161,55.66%,
9,110,4303,59.67%,
9,110,5671,68.19%,
9,110,5854,48.41%,
9,110,5912,47.82%,
9,110,6397,98.68%,
9,115,528,47.52%,
9,115,769,64.55%,
9,115,1004,72.65%,
9,115,1171,54.08%,
9,115,2459,74.26%,
9,115,3370,87.09%,
9,115,3474,66.16%,
9,115,5264,48.79%,
9,115,5727,62.02%,
9,116,580,53.40%,
9,116,666,55.77%,
9,116,718,77.16%,
9,116,725,46.54%,
9,116,759,65.50%,
9,116,859,79.38%,
9,116,968,59.01%,
9,116,3347,70.43%,
9,116,3887,65.07%,
9,116,5035,95.03%,
9,118,623,45.43%,
9,118,721,70.40%,
9,118,778,64.62%,
9,118,811,23.87%,
9,118,1874,101.46%,
9,118,2237,37.82%,
9,118,2484,28.52%,
9,118,3349,78.74%,
9,118,3387,40.90%,
9,118,6190,70.44%,
9,553,1511,52.62%,
9,553,1590,34.59%,
9,553,1996,51.01%,
9,553,3163,41.89%,
9,553,3235,47.91%,
9,553,3311,33.76%,
9,553,3397,65.84%,
9,Region Total,,60.00%,
11,4,105,86.64%,
11,4,114,70.88%,
11,4,118,75.87%,
11,4,153,107.85%,
11,4,164,69.64%,
11,4,176,18.31%,
11,4,258,58.81%,
11,4,273,119.57%,
11,4,274,21.06%,
11,4,303,35.61%,
11,4,391,118.37%,
11,11,287,91.53%,
11,11,362,46.30%,
11,11,425,64.19%,
11,11,715,125.00%,
11,11,731,54.36%,
11,11,764,125.00%,
11,11,1052,18.06%,
11,11,2306,125.00%,
11,136,155,70.83%,
11,136,182,65.16%,
11,136,347,64.69%,
11,136,699,89.93%,
11,136,707,55.76%,
11,136,716,125.00%,
11,136,1074,70.21%,
11,136,1468,92.61%,
11,136,1530,95.16%,
11,137,394,49.54%,
11,137,403,67.77%,
11,137,409,59.74%,
11,137,660,58.00%,
11,137,661,100.66%,
11,137,662,123.94%,
11,137,766,80.12%,
11,137,1100,38.23%,
11,137,1124,86.86%,
11,137,2690,105.05%,
11,137,4187,68.62%,
11,137,5703,63.01%,
11,138,112,93.07%,
11,138,115,64.65%,
11,138,183,53.75%,
11,138,205,53.40%,
11,138,239,65.16%,
11,138,305,101.62%,
11,138,411,10.70%,
11,138,495,125.00%,
11,138,981,120.36%,
11,138,1059,46.62%,
11,138,1069,111.17%,
11,138,1271,66.37%,
11,140,365,125.00%,
11,140,708,103.58%,
11,140,875,58.33%,
11,140,903,38.21%,
11,140,1710,120.71%,
11,140,2720,111.75%,
11,140,2755,61.94%,
11,140,2939,40.40%,
11,140,3059,98.77%,
11,140,3060,111.99%,
11,140,6469,58.75%,
11,144,175,125.00%,
11,144,848,125.00%,
11,144,1248,123.53%,
11,144,2846,72.74%,
11,144,5196,98.04%,
11,144,5419,125.00%,
11,144,6964,125.00%,
11,145,94,42.50%,
11,145,950,116.47%,
11,145,1561,78.33%,
11,145,2322,87.96%,
11,145,4533,94.03%,
11,145,6807,104.26%,
11,146,64,125.00%,
11,146,93,62.17%,
11,146,97,67.37%,
11,146,104,125.00%,
11,146,106,125.00%,
11,146,107,59.50%,
11,146,120,62.33%,
11,146,177,53.89%,
11,146,335,101.56%,
11,146,410,59.12%,
11,146,675,60.33%,
11,146,677,125.00%,
11,147,161,70.27%,
11,147,218,63.18%,
11,147,238,79.29%,
11,147,268,84.04%,
11,147,393,85.73%,
11,147,466,78.60%,
11,147,683,65.35%,
11,147,684,55.55%,
11,147,738,40.09%,
11,147,1115,113.48%,
11,329,36,68.28%,
11,329,45,66.11%,
11,329,62,55.80%,
11,329,68,85.66%,
11,329,70,97.02%,
11,329,74,105.28%,
11,329,91,54.54%,
11,329,128,125.00%,
11,329,190,89.96%,
11,329,229,41.27%,
11,329,453,125.00%,
11,Region Total,,81.63%,
12,5,306,85.81%,
12,5,314,77.43%,
12,5,332,120.29%,
12,5,375,125.00%,
12,5,433,121.14%,
12,5,434,107.79%,
12,5,681,87.13%,
12,5,712,74.53%,
12,5,5197,59.96%,
12,5,6878,84.49%,
12,5,7324,83.17%,
12,119,477,73.48%,
12,119,619,78.97%,
12,119,663,69.33%,
12,119,698,54.40%,
12,119,1469,105.60%,
12,119,1606,110.94%,
12,119,3659,108.45%,
12,119,3835,56.71%,
12,119,4226,55.70%,
12,119,5251,116.44%,
12,119,5263,67.29%,
12,120,658,49.44%,
12,120,669,39.23%,
12,120,756,82.37%,
12,120,1089,51.67%,
12,120,1215,97.35%,
12,120,1458,121.30%,
12,120,2988,40.45%,
12,120,3660,21.66%,
12,120,5151,75.07%,
12,120,5173,94.11%,
12,121,366,63.80%,
12,121,583,44.97%,
12,121,587,75.36%,
12,121,657,67.23%,
12,121,676,59.74%,
12,121,687,68.12%,
12,121,741,94.67%,
12,121,1194,79.46%,
12,121,1467,35.26%,
12,121,4166,90.48%,
12,121,5175,54.48%,
12,122,672,63.37%,
12,122,1318,82.55%,
12,122,1319,102.76%,
12,122,1320,82.61%,
12,122,1466,61.10%,
12,122,2065,116.39%,
12,122,2310,114.29%,
12,122,2932,60.32%,
12,122,4635,125.00%,
12,123,578,56.50%,
12,123,678,50.99%,
12,123,680,90.99%,
12,123,685,66.67%,
12,123,724,72.77%,
12,123,1159,95.49%,
12,123,3234,65.09%,
12,123,4223,62.15%,
12,123,6370,100.06%,
12,124,599,84.43%,
12,124,620,80.17%,
12,124,690,76.03%,
12,124,742,49.94%,
12,124,1080,69.60%,
12,124,1694,42.19%,
12,124,2496,71.59%,
12,124,2749,64.31%,
12,124,3289,52.38%,
12,124,3829,87.62%,
12,124,3852,103.79%,
12,149,264,62.29%,
12,149,304,43.88%,
12,149,390,37.67%,
12,149,673,102.69%,
12,149,1075,38.06%,
12,149,1226,125.00%,
12,149,3137,103.11%,
12,149,3495,76.62%,
12,149,4435,125.00%,
12,149,4483,57.19%,
12,151,308,81.17%,
12,151,406,52.12%,
12,151,416,65.75%,
12,151,656,74.40%,
12,151,667,52.59%,
12,151,668,60.63%,
12,151,682,84.40%,
12,151,735,91.19%,
12,151,737,99.59%,
12,151,2757,68.38%,
12,151,5057,88.16%,
12,152,568,69.38%,
12,152,671,61.46%,
12,152,674,81.36%,
12,152,695,125.00%,
12,152,710,61.15%,
12,152,879,62.54%,
12,152,1376,68.86%,
12,152,4414,56.61%,
12,152,4482,71.87%,
12,153,192,103.78%,
12,153,272,88.23%,
12,153,659,93.38%,
12,153,688,30.37%,
12,153,3017,78.28%,
12,153,3717,99.23%,
12,153,5058,92.39%,
12,153,5616,62.79%,
12,153,7020,76.50%,
12,Region Total,,77.07%,
13,46,146,68.96%,
13,46,165,46.46%,
13,46,180,76.94%,
13,46,345,55.49%,
13,46,398,43.94%,
13,46,399,81.93%,
13,46,523,65.92%,
13,46,572,52.41%,
13,46,918,58.08%,
13,46,3828,62.09%,
13,66,283,19.48%,
13,66,331,73.75%,
13,66,383,69.98%,
13,66,384,97.01%,
13,66,408,73.25%,
13,66,449,48.47%,
13,66,457,80.42%,
13,66,469,51.52%,
13,66,521,122.59%,
13,66,651,78.19%,
13,66,777,63.63%,
13,66,1204,107.94%,
13,68,351,47.02%,
13,68,400,79.61%,
13,68,602,39.00%,
13,68,3213,109.74%,
13,68,3390,65.72%,
13,68,3585,83.56%,
13,68,3591,35.52%,
13,68,5287,50.46%,
13,125,553,118.23%,
13,125,909,76.62%,
13,125,912,98.05%,
13,125,1163,125.00%,
13,125,2665,76.88%,
13,125,2706,68.28%,
13,125,3167,105.85%,
13,125,5022,125.00%,
13,128,489,81.64%,
13,128,541,125.00%,
13,128,803,35.29%,
13,128,911,86.65%,
13,128,989,114.62%,
13,128,1342,69.09%,
13,128,1353,47.96%,
13,128,3616,125.00%,
13,128,4129,99.63%,
13,129,311,57.81%,
13,129,485,104.04%,
13,129,502,90.45%,
13,129,540,77.87%,
13,129,542,56.50%,
13,129,761,68.00%,
13,129,961,65.97%,
13,129,1016,99.83%,
13,129,2913,116.41%,
