Store,OP Model Tier,Fashion Coach,Coach Movement ,Approved TL Headcount,RFID Tracking ,Link to Tracking
79,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
82,3,NO,N/A,3,#N/A,FedEx Tracking
83,3,NO,N/A,3,#N/A,FedEx Tracking
85,2,YES,Hire,4,#N/A,FedEx Tracking
87,2,YES,Hire,4,#N/A,FedEx Tracking
92,3,NO,N/A,3,#N/A,FedEx Tracking
93,2,YES,Hire,4,#N/A,FedEx Tracking
95,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
97,3,NO,N/A,3,#N/A,FedEx Tracking
98,3,NO,N/A,4,#N/A,FedEx Tracking
100,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
102,3,NO,N/A,3,#N/A,FedEx Tracking
104,3,NO,N/A,4,#N/A,FedEx Tracking
106,3,NO,N/A,3,#N/A,FedEx Tracking
107,3,NO,N/A,4,#N/A,FedEx Tracking
116,3,NO,N/A,2,#N/A,FedEx Tracking
119,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
120,3,NO,N/A,4,#N/A,FedEx Tracking
122,3,NO,N/A,4,#N/A,FedEx Tracking
124,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
125,2,YES,Hire,4,https://www.fedex.com/wtrk/track/?tracknumbers=881052829173,FedEx Tracking
126,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
127,3,NO,N/A,4,#N/A,FedEx Tracking
133,3,NO,N/A,3,#N/A,FedEx Tracking
141,2,YES,Move Existing Coach,4,https://www.fedex.com/wtrk/track/?tracknumbers=881052881991,FedEx Tracking
144,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881053531480,FedEx Tracking
149,3,NO,N/A,3,#N/A,FedEx Tracking
152,3,NO,N/A,4,#N/A,FedEx Tracking
157,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
160,3,NO,N/A,4,#N/A,FedEx Tracking
167,3,NO,N/A,3,#N/A,FedEx Tracking
169,3,NO,N/A,3,#N/A,FedEx Tracking
171,3,NO,N/A,3,#N/A,FedEx Tracking
174,2,YES,Hire,4,#N/A,FedEx Tracking
177,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
188,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
194,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
202,3,NO,N/A,4,#N/A,FedEx Tracking
206,2,YES,Hire,4,https://www.fedex.com/wtrk/track/?tracknumbers=881053668918,FedEx Tracking
209,3,NO,N/A,2,https://www.fedex.com/wtrk/track/?tracknumbers=881053725675,FedEx Tracking
211,2,YES,Hire,4,#N/A,FedEx Tracking
217,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881053850267,FedEx Tracking
220,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
228,1,YES,Hire,4,#N/A,FedEx Tracking
230,3,NO,N/A,2,https://www.fedex.com/wtrk/track/?tracknumbers=881053918587,FedEx Tracking
244,3,NO,N/A,3,#N/A,FedEx Tracking
248,2,YES,Hire,4,#N/A,FedEx Tracking
251,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
259,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881053978251,FedEx Tracking
260,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
261,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
265,2,YES,Hire,4,#N/A,FedEx Tracking
266,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881054026245,FedEx Tracking
267,3,NO,N/A,4,#N/A,FedEx Tracking
278,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
279,3,NO,N/A,3,https://www.fedex.com/wtrk/track/?tracknumbers=881054080643,FedEx Tracking
281,3,NO,N/A,4,#N/A,FedEx Tracking
284,1,YES,Hire,4,#N/A,FedEx Tracking
286,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
289,3,NO,N/A,2,#N/A,FedEx Tracking
292,2,YES,Hire,4,#N/A,FedEx Tracking
293,3,NO,N/A,3,#N/A,FedEx Tracking
296,3,NO,N/A,3,#N/A,FedEx Tracking
297,1,YES,Hire,4,#N/A,FedEx Tracking
307,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
308,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
309,2,YES,Hire,4,#N/A,FedEx Tracking
310,2,YES,Hire,4,#N/A,FedEx Tracking
318,3,NO,N/A,4,#N/A,FedEx Tracking
320,3,NO,N/A,2,#N/A,FedEx Tracking
321,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
322,1,YES,Hire,4,#N/A,FedEx Tracking
323,3,NO,N/A,3,#N/A,FedEx Tracking
324,3,NO,N/A,3,#N/A,FedEx Tracking
330,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
335,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
336,3,NO,N/A,3,#N/A,FedEx Tracking
337,3,NO,N/A,3,#N/A,FedEx Tracking
338,3,NO,N/A,3,#N/A,FedEx Tracking
339,3,NO,N/A,2,#N/A,FedEx Tracking
344,3,NO,N/A,3,#N/A,FedEx Tracking
348,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
353,3,NO,N/A,4,#N/A,FedEx Tracking
358,3,NO,N/A,3,https://www.fedex.com/wtrk/track/?tracknumbers=881054124624,FedEx Tracking
359,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881054179612,FedEx Tracking
371,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
373,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881054233242,FedEx Tracking
376,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
385,3,NO,N/A,3,#N/A,FedEx Tracking
386,2,YES,Hire,4,#N/A,FedEx Tracking
388,2,YES,Move Existing Coach,4,https://www.fedex.com/wtrk/track/?tracknumbers=881054290124,FedEx Tracking
395,1,YES,Hire,4,#N/A,FedEx Tracking
397,1,YES,Hire,4,#N/A,FedEx Tracking
402,2,YES,Hire,4,#N/A,FedEx Tracking
404,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
406,2,YES,Hire,4,#N/A,FedEx Tracking
410,2,YES,Hire,4,#N/A,FedEx Tracking
412,2,YES,Hire,4,#N/A,FedEx Tracking
413,2,YES,Hire,4,#N/A,FedEx Tracking
415,2,YES,Hire,4,#N/A,FedEx Tracking
416,2,YES,Hire,4,#N/A,FedEx Tracking
421,1,YES,Move Existing Coach,4,https://www.fedex.com/wtrk/track/?tracknumbers=881054346212,FedEx Tracking
426,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881054384810,FedEx Tracking
429,2,YES,Hire,4,#N/A,FedEx Tracking
437,3,NO,N/A,4,#N/A,FedEx Tracking
440,2,YES,Hire,4,#N/A,FedEx Tracking
442,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
446,3,NO,N/A,3,#N/A,FedEx Tracking
448,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
450,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
452,1,YES,Hire,4,#N/A,FedEx Tracking
456,1,YES,Hire,4,#N/A,FedEx Tracking
458,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
462,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
463,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
464,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
467,2,YES,Hire,4,#N/A,FedEx Tracking
470,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
471,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
472,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
473,3,NO,N/A,3,#N/A,FedEx Tracking
482,3,NO,N/A,2,#N/A,FedEx Tracking
488,3,NO,N/A,3,#N/A,FedEx Tracking
490,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
492,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
503,3,NO,N/A,3,#N/A,FedEx Tracking
504,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
516,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
522,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
524,3,NO,N/A,3,#N/A,FedEx Tracking
527,2,YES,Hire,4,#N/A,FedEx Tracking
528,2,YES,Hire,4,#N/A,FedEx Tracking
529,1,YES,Hire,4,#N/A,FedEx Tracking
530,2,YES,Hire,4,#N/A,FedEx Tracking
531,1,YES,Hire,4,#N/A,FedEx Tracking
533,2,YES,Hire,4,#N/A,FedEx Tracking
543,2,YES,Hire,4,#N/A,FedEx Tracking
546,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
561,3,NO,N/A,3,#N/A,FedEx Tracking
565,2,YES,Hire,4,#N/A,FedEx Tracking
566,3,NO,N/A,4,#N/A,FedEx Tracking
567,3,NO,N/A,3,#N/A,FedEx Tracking
575,2,YES,Hire,4,#N/A,FedEx Tracking
580,2,YES,Hire,4,#N/A,FedEx Tracking
590,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
595,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
610,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
617,3,NO,N/A,3,#N/A,FedEx Tracking
618,2,YES,Hire,4,#N/A,FedEx Tracking
623,1,YES,Hire,4,#N/A,FedEx Tracking
649,2,YES,Hire,4,#N/A,FedEx Tracking
656,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
666,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
667,3,NO,N/A,4,#N/A,FedEx Tracking
668,2,YES,Hire,4,#N/A,FedEx Tracking
675,3,NO,N/A,4,#N/A,FedEx Tracking
677,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
682,1,YES,Hire,4,#N/A,FedEx Tracking
703,2,YES,Hire,4,#N/A,FedEx Tracking
714,3,NO,N/A,3,#N/A,FedEx Tracking
718,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
721,2,YES,Hire,4,#N/A,FedEx Tracking
725,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
735,2,YES,Hire,4,#N/A,FedEx Tracking
737,3,NO,N/A,4,#N/A,FedEx Tracking
744,1,YES,Hire,4,#N/A,FedEx Tracking
746,1,YES,Hire,4,#N/A,FedEx Tracking
752,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881054423203,FedEx Tracking
759,3,NO,N/A,3,#N/A,FedEx Tracking
765,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
768,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
769,2,YES,Hire,4,#N/A,FedEx Tracking
771,2,YES,Hire,4,#N/A,FedEx Tracking
772,2,YES,Hire,4,#N/A,FedEx Tracking
778,2,YES,Hire,4,#N/A,FedEx Tracking
788,3,NO,N/A,3,#N/A,FedEx Tracking
789,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881054472175,FedEx Tracking
791,1,YES,Hire,4,#N/A,FedEx Tracking
804,2,YES,Move Existing Coach,4,https://www.fedex.com/wtrk/track/?tracknumbers=881054520825,FedEx Tracking
807,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
808,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
810,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
811,2,YES,Hire,4,#N/A,FedEx Tracking
814,2,YES,Hire,4,#N/A,FedEx Tracking
817,1,YES,Hire,4,#N/A,FedEx Tracking
819,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881062518890,FedEx Tracking
827,2,YES,Hire,4,#N/A,FedEx Tracking
842,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
846,3,NO,N/A,3,#N/A,FedEx Tracking
849,1,YES,Hire,4,#N/A,FedEx Tracking
858,3,NO,N/A,2,#N/A,FedEx Tracking
859,2,YES,Hire,4,#N/A,FedEx Tracking
865,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
870,2,YES,Hire,4,#N/A,FedEx Tracking
872,1,YES,Hire,4,#N/A,FedEx Tracking
876,3,NO,N/A,3,#N/A,FedEx Tracking
880,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
886,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
888,3,NO,N/A,3,#N/A,FedEx Tracking
890,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
894,1,YES,Hire,4,#N/A,FedEx Tracking
896,1,YES,Hire,4,#N/A,FedEx Tracking
905,2,YES,Hire,4,#N/A,FedEx Tracking
908,1,YES,Hire,4,#N/A,FedEx Tracking
914,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881054625359,FedEx Tracking
915,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
921,3,NO,N/A,4,#N/A,FedEx Tracking
924,3,NO,N/A,4,#N/A,FedEx Tracking
928,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
929,2,YES,Hire,4,#N/A,FedEx Tracking
931,2,YES,Hire,4,#N/A,FedEx Tracking
937,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
939,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
940,2,YES,Hire,4,#N/A,FedEx Tracking
943,1,YES,Hire,4,#N/A,FedEx Tracking
951,3,NO,N/A,3,#N/A,FedEx Tracking
953,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
955,1,YES,Hire,4,#N/A,FedEx Tracking
956,3,NO,N/A,3,#N/A,FedEx Tracking
962,3,NO,N/A,4,#N/A,FedEx Tracking
963,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
968,1,YES,Hire,4,#N/A,FedEx Tracking
972,2,YES,Move Existing Coach,4,https://www.fedex.com/wtrk/track/?tracknumbers=881054677746,FedEx Tracking
973,1,YES,Hire,4,#N/A,FedEx Tracking
974,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
976,3,NO,N/A,3,#N/A,FedEx Tracking
977,3,NO,N/A,3,#N/A,FedEx Tracking
980,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
984,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881054722363,FedEx Tracking
986,3,NO,N/A,3,#N/A,FedEx Tracking
987,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881054804106,FedEx Tracking
992,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1000,1,YES,Hire,4,#N/A,FedEx Tracking
1001,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1002,3,NO,N/A,4,#N/A,FedEx Tracking
1004,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1005,3,NO,N/A,4,#N/A,FedEx Tracking
1008,2,YES,Hire,4,#N/A,FedEx Tracking
1019,2,YES,Hire,4,#N/A,FedEx Tracking
1022,2,YES,Hire,4,#N/A,FedEx Tracking
1026,2,YES,Hire,4,#N/A,FedEx Tracking
1040,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1041,1,YES,Hire,4,#N/A,FedEx Tracking
1042,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1044,2,YES,Hire,4,#N/A,FedEx Tracking
1045,3,NO,N/A,4,#N/A,FedEx Tracking
1055,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881054849010,FedEx Tracking
1058,2,YES,Hire,4,#N/A,FedEx Tracking
1062,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881054884630,FedEx Tracking
1065,3,NO,N/A,4,#N/A,FedEx Tracking
1067,3,NO,N/A,3,#N/A,FedEx Tracking
1068,2,YES,Hire,4,#N/A,FedEx Tracking
1077,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1082,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1084,2,YES,Hire,4,#N/A,FedEx Tracking
1086,1,YES,Hire,4,#N/A,FedEx Tracking
1087,1,YES,Hire,4,#N/A,FedEx Tracking
1095,2,YES,Hire,4,#N/A,FedEx Tracking
1098,3,NO,N/A,4,#N/A,FedEx Tracking
1103,1,YES,Hire,4,#N/A,FedEx Tracking
1105,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1108,3,NO,N/A,3,#N/A,FedEx Tracking
1109,3,NO,N/A,3,#N/A,FedEx Tracking
1110,3,NO,N/A,3,#N/A,FedEx Tracking
1114,3,NO,N/A,3,#N/A,FedEx Tracking
1117,2,YES,Move Existing Coach,4,https://www.fedex.com/wtrk/track/?tracknumbers=881054937203,FedEx Tracking
1118,1,YES,Hire,4,#N/A,FedEx Tracking
1119,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881054977056,FedEx Tracking
1132,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1137,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1147,3,NO,N/A,3,#N/A,FedEx Tracking
1150,1,YES,Hire,4,#N/A,FedEx Tracking
1152,3,NO,N/A,3,#N/A,FedEx Tracking
1162,2,YES,Hire,4,#N/A,FedEx Tracking
1166,3,NO,N/A,3,#N/A,FedEx Tracking
1169,3,NO,N/A,3,#N/A,FedEx Tracking
1171,2,YES,Hire,4,#N/A,FedEx Tracking
1172,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1173,2,YES,Hire,4,#N/A,FedEx Tracking
1178,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1181,2,YES,Hire,4,#N/A,FedEx Tracking
1186,2,YES,Hire,4,#N/A,FedEx Tracking
1193,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1199,2,YES,Hire,4,#N/A,FedEx Tracking
1200,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1216,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881055091213,FedEx Tracking
1220,1,YES,Hire,4,#N/A,FedEx Tracking
1223,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1228,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1231,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1252,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1254,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1264,2,YES,Hire,4,#N/A,FedEx Tracking
1268,2,YES,Hire,4,#N/A,FedEx Tracking
1273,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1279,1,YES,Hire,4,#N/A,FedEx Tracking
1280,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1296,2,YES,Hire,4,#N/A,FedEx Tracking
1308,3,NO,N/A,4,#N/A,FedEx Tracking
1330,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1332,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1333,3,NO,N/A,4,#N/A,FedEx Tracking
1335,3,NO,N/A,4,#N/A,FedEx Tracking
1344,2,YES,Hire,4,#N/A,FedEx Tracking
1347,2,YES,Hire,4,#N/A,FedEx Tracking
1348,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1349,1,YES,Hire,4,#N/A,FedEx Tracking
1350,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1352,3,NO,N/A,3,#N/A,FedEx Tracking
1361,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1366,3,NO,N/A,3,#N/A,FedEx Tracking
1371,2,YES,Hire,4,#N/A,FedEx Tracking
1374,2,YES,Hire,4,#N/A,FedEx Tracking
1375,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1384,3,NO,N/A,4,#N/A,FedEx Tracking
1387,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1392,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1398,2,YES,Hire,4,#N/A,FedEx Tracking
1404,3,NO,N/A,4,#N/A,FedEx Tracking
1405,2,YES,Hire,4,#N/A,FedEx Tracking
1408,2,YES,Hire,4,#N/A,FedEx Tracking
1409,2,YES,Hire,4,#N/A,FedEx Tracking
1416,3,NO,N/A,3,#N/A,FedEx Tracking
1422,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881055132743,FedEx Tracking
1423,3,NO,N/A,4,#N/A,FedEx Tracking
1428,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881055179730,FedEx Tracking
1429,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1432,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881055288094,FedEx Tracking
1433,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1434,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1436,2,YES,Hire,4,#N/A,FedEx Tracking
1440,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1444,2,YES,Hire,4,#N/A,FedEx Tracking
1445,3,NO,N/A,4,#N/A,FedEx Tracking
1448,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1453,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1455,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1479,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1487,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1489,3,NO,N/A,3,#N/A,FedEx Tracking
1492,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881055342728,FedEx Tracking
1494,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1498,3,NO,N/A,4,#N/A,FedEx Tracking
1511,2,YES,Hire,4,#N/A,FedEx Tracking
1517,2,YES,Hire,4,#N/A,FedEx Tracking
1522,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1526,3,NO,N/A,4,#N/A,FedEx Tracking
1529,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1537,3,NO,N/A,3,#N/A,FedEx Tracking
1539,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1540,3,NO,N/A,4,#N/A,FedEx Tracking
1541,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1544,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1546,3,NO,N/A,3,#N/A,FedEx Tracking
1550,3,NO,N/A,2,#N/A,FedEx Tracking
1555,1,YES,Hire,4,#N/A,FedEx Tracking
1558,2,YES,Hire,4,#N/A,FedEx Tracking
1568,1,YES,Hire,4,#N/A,FedEx Tracking
1572,2,YES,Hire,4,#N/A,FedEx Tracking
1576,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1586,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1589,2,YES,Hire,4,#N/A,FedEx Tracking
1590,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1591,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1592,3,NO,N/A,4,#N/A,FedEx Tracking
1593,2,YES,Hire,4,#N/A,FedEx Tracking
1597,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1598,2,YES,Hire,4,#N/A,FedEx Tracking
1607,1,YES,Hire,4,#N/A,FedEx Tracking
1611,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1618,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1622,2,YES,Hire,4,#N/A,FedEx Tracking
1625,3,NO,N/A,3,#N/A,FedEx Tracking
1628,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1637,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1640,3,NO,N/A,4,#N/A,FedEx Tracking
1642,3,NO,N/A,4,#N/A,FedEx Tracking
1644,1,YES,Hire,4,#N/A,FedEx Tracking
1653,3,NO,N/A,3,#N/A,FedEx Tracking
1659,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1668,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1670,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881055392273,FedEx Tracking
1671,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1680,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881055471407,FedEx Tracking
1684,3,NO,N/A,3,#N/A,FedEx Tracking
1686,1,YES,Hire,4,#N/A,FedEx Tracking
1689,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881052387389,FedEx Tracking
1699,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1702,2,YES,Hire,4,#N/A,FedEx Tracking
1708,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1714,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1715,3,NO,N/A,3,#N/A,FedEx Tracking
1718,2,YES,Hire,4,#N/A,FedEx Tracking
1719,N/A,N/A,N/A,N/A,https://www.fedex.com/wtrk/track/?tracknumbers=881052519185,FedEx Tracking
1726,2,YES,Hire,4,#N/A,FedEx Tracking
1733,2,YES,Hire,4,#N/A,FedEx Tracking
1735,2,YES,Hire,4,#N/A,FedEx Tracking
1736,2,YES,Hire,4,#N/A,FedEx Tracking
1741,1,YES,Hire,4,#N/A,FedEx Tracking
1742,1,YES,Move Existing Coach,4,#N/A,FedEx Tracking
1750,2,YES,Move Existing Coach,4,#N/A,FedEx Tracking
